安居,an'ju
青年广场,qing'nian'guang'chang
清湾二桥,qing'wan'er'qiao
人民公园,ren'min'gong'yuan
人民一环路口,ren'min'yi'huan'lu'kou
三医院住院部,san'yi'yuan'zhu'yuan'bu
商贸技校,shang'mao'ji'xiao
商务大厦,shang'wu'da'sha
上洋村路口,shang'yang'cun'lu'kou
深塘路口,shen'tang'lu'kou
胜利路口,sheng'li'lu'kou
盛世百汇,sheng'shi'bai'hui
石材厂,shi'cai'chang
市二医院,shi'er'yi'yuan
市国税局,shi'guo'shui'ju
石化公司,shi'hua'gong'si
市建筑设计院,shi'jian'zhu'she'ji'yuan
石棠村,shi'tang'cun
市体育中心,shi'ti'yu'zhong'xin
实验小学,shi'yan'xiao'xue
实验中学,shi'yan'zhong'xue
市一医院,shi'yi'yi'yuan
师院东区,shi'yuan'dong'qu
师院附中,shi'yuan'fu'zhong
师院西区,shi'yuan'xi'qu
市政府,shi'zheng'fu
市政工程处,shi'zheng'gong'cheng'chu
市职中,shi'zhi'zhong
水产市场,shui'chan'shi'chang
水电大厦,shui'dian'da'sha
水军塘,shui'jun'tang
水洗厂路口,shui'xi'chang'lu'kou
塘步岭,tang'bu'ling
体育路口,ti'yu'lu'kou
田丰西南商城,tian'feng'xi'nan'shang'cheng
天心菜市,tian'xin'cai'shi
铁路四区,tie'lu'si'qu
同安小区,tong'an'xiao'qu
土地所,tu'di'suo
图书馆,tu'shu'guan
万升招待所,wan'sheng'zhao'dai'suo
旺旺大道,wang'wang'da'dao
文化广场,wen'hua'guang'chang
文化广场路口,wen'hua'guang'chang'lu'kou
五灯坡,wu'deng'po
五联,wu'lian
西岸路口,xi'an'lu'kou
西城车站,xi'cheng'che'zhan
下凤村路口,xia'feng'cun'lu'kou
下坜头,xia'li'tou
香港城,xiang'gang'cheng
香格里花园,xiang'ge'li'hua'yuan
香格里拉花园,xiang'ge'li'la'hua'yuan
消防支队,xiao'fang'zhi'dui
新民小学,xin'min'xiao'xue
秀杆岭村委,xiu'gan'ling'cun'wei
秀杆岭路口,xiu'gan'ling'lu'kou
秀水村,xiu'shui'cun
燕京大道,yan'jing'da'dao
洋桥,yang'qiao
沂山路口,yi'shan'lu'kou
游泳场,you'yong'chang
育才中学,yu'cai'zhong'xue
玉柴动力公司,yu'chai'dong'li'gong'si
玉柴二区,yu'chai'er'qu
玉柴工业园,yu'chai'gong'ye'yuan
玉柴南区,yu'chai'nan'qu
玉柴铸造中心,yu'chai'zhu'zao'zhong'xin
玉柴总厂,yu'chai'zong'chang
玉福加油站,yu'fu'jia'you'zhan
玉林宾馆,yu'lin'bin'guan
玉林海关,yu'lin'hai'guan
玉林日报社,yu'lin'ri'bao'she
玉林市场,yu'lin'shi'chang
玉林师院,yu'lin'shi'yuan
玉林镇法庭,yu'lin'zhen'fa'ting
玉林中山医院,yu'lin'zhong'shan'yi'yuan
玉豸村,yu'zhi'cun
玉州妇幼保健院,yu'zhou'fu'you'bao'jian'yuan
玉州区妇幼保健院,yu'zhou'qu'fu'you'bao'jian'yuan
玉州区卫校,yu'zhou'qu'wei'xiao
玉州区政府,yu'zhou'qu'zheng'fu
玉州市场,yu'zhou'shi'chang
园滨路口,yuan'bin'lu'kou
远东复合肥厂,yuan'dong'fu'he'fei'chang
园艺场,yuan'yi'chang
运旅大酒店,yun'lv'da'jiu'dian
云天文化城,yun'tian'wen'hua'cheng
政务中心,zheng'wu'zhong'xin
众顺公司,zhong'shun'gong'si
中药港路口,zhong'yao'gang'lu'kou
中药港市场,zhong'yao'gang'shi'chang
钟周村,zhong'zhou'cun
周村,zhou'cun
周屋村路口,zhou'wu'cun'lu'kou
竹尾桥,zhu'wei'qiao
