按图纸技术要求,an'tu'zhi'ji'shu'yao'qiu
翻身架,fan'shen'jia
方钢,fang'gang
方钢拉筋,fang'gang'la'jin
放样,fang'yang
放样线,fang'yang'xian
防止变形,fang'zhi'bian'xing
分瓣式中间环,fen'ban'shi'zhong'jian'huan
分瓣数,fen'ban'shu
分厂,fen'chang
分段退步焊接,fen'duan'tui'bu'han'jie
风铲,feng'chan
封底,feng'di
腹板,fu'ban
付康,fu'kang
附录,fu'lu
盖板,gai'ban
甘洪丰,gan'hong'feng
钢板,gang'ban
钢板热成型工艺守则,gang'ban're'cheng'xing'gong'yi'shou'ze
钢琴线,gang'qin'xian
高压顶油管,gao'ya'ding'you'guan
高压油顶起,gao'ya'you'ding'qi
各层,ge'ceng
割出坡口,ge'chu'po'kou
葛为民,ge'wei'min
割渣,ge'zha
工具螺钉,gong'ju'luo'ding
工艺部,gong'yi'bu
工艺守则,gong'yi'shou'ze
固定导叶,gu'ding'dao'ye
关富雷,guan'fu'lei
灌江砂后加热弯形,guan'jiang'sha'hou'jia're'wan'xing
贯流式,guan'liu'shi
管形座,guan'xing'zuo
管形座内壳,guan'xing'zuo'nei'ke
滚板机,gun'ban'ji
滚压成形,gun'ya'cheng'xing
焊缝,han'feng
焊缝搭焊点,han'feng'da'han'dian
焊机,han'ji
焊角尺寸,han'jiao'chi'cun
焊接工艺规范,han'jie'gong'yi'gui'fan
焊接工艺规范参照,han'jie'gong'yi'gui'fan'can'zhao
焊接规范,han'jie'gui'fan
焊接滚轮架,han'jie'gun'lun'jia
焊接结构,han'jie'jie'gou
焊接结构自由公差标准,han'jie'jie'gou'zi'you'gong'cha'biao'zhun
焊接顺序,han'jie'shun'xu
焊瘤,han'liu
焊前预热,han'qian'yu're
焊丝,han'si
焊透,han'tou
焊至图纸尺寸,han'zhi'tu'zhi'chi'cun
合缝错牙,he'feng'cuo'ya
合缝面,he'feng'mian
合缝面法兰,he'feng'mian'fa'lan
合格后转加工,he'ge'hou'zhuan'jia'gong
盒型筋,he'xing'jin
横焊,heng'han
划通风孔位置线,hua'tong'feng'kong'wei'zhi'xian
划线割掉成型余量,hua'xian'ge'diao'cheng'xing'yu'liang
环板半径,huan'ban'ban'jing
环焊缝,huan'han'feng
环筋,huan'jin
混合气体保护焊,hun'he'qi'ti'bao'hu'han
混流式,hun'liu'shi
活动导叶,huo'dong'dao'ye
基础环,ji'chu'huan
加强筋板,jia'qiang'jin'ban
加强圈,jia'qiang'quan
贾瑞燕,jia'rui'yan
检查涂漆质量,jian'cha'tu'qi'zhi'liang
检查样板,jian'cha'yang'ban
检查样板架,jian'cha'yang'ban'jia
剪床,jian'chuang
江砂,jiang'sha
江砂使用前烘干,jiang'sha'shi'yong'qian'hong'gan
角钢,jiao'gang
角向,jiao'xiang
角向砂轮机,jiao'xiang'sha'lun'ji
解体,jie'ti
进出水室,jin'chu'shui'shi
进口角度,jin'kou'jiao'du
井字梁,jing'zi'liang
锯床,ju'chuang
看线,kan'xian
控制环,kong'zhi'huan
控制设备事业部,kong'zhi'she'bei'shi'ye'bu
空中翻身,kong'zhong'fan'shen
冷作,leng'zuo
立焊,li'han
立焊缝,li'han'feng
立筋,li'jin
李荣生,li'rong'sheng
连接板,lian'jie'ban
两瓣,liang'ban
梁旭阳,liang'xu'yang
林磊,lin'lei
刘玉兰,liu'yu'lan
卢昌福,lu'chang'fu
轮毂,lun'gu
螺孔,luo'kong
螺纹孔,luo'wen'kong
螺旋拉紧器,luo'xuan'la'jin'qi
吕胜海,lv'sheng'hai
埋弧焊机,mai'hu'han'ji
米尺,mi'chi
名义尺寸,ming'yi'chi'cun
母材,mu'cai
内径千分尺,nei'jing'qian'fen'chi
内配水环,nei'pei'shui'huan
内圆,nei'yuan
内罩,nei'zhao
爬焊,pa'han
泡头,pao'tou
泡头球壁,pao'tou'qiu'bi
泡头球壁压模,pao'tou'qiu'bi'ya'mu
配割,pei'ge
配割余量,pei'ge'yu'liang
喷丸室,pen'wan'shi
拼焊缝,pin'han'feng
拼焊坡口朝上,pin'han'po'kou'chao'shang
平焊,ping'han
平行度,ping'xing'du
坡口,po'kou
坡口线,po'kou'xian
普通电焊件退火工艺守则,pu'tong'dian'han'jian'tui'huo'gong'yi'shou'ze
起吊管,qi'diao'guan
汽发,qi'fa
气割面,qi'ge'mian
气割枪,qi'ge'qiang
千斤顶,qian'jin'ding
铅坠,qian'zhui
乔宏来,qiao'hong'lai
切割机辅助工具,qie'ge'ji'fu'zhu'gong'ju
秦坤涛,qin'kun'tao
清根,qing'gen
清理,qing'li
清理修整部分及割渣,qing'li'xiu'zheng'bu'fen'ji'ge'zha
球缺形壁,qiu'que'xing'bi
热滚校圆,re'gun'xiao'yuan
熔宽,rong'kuan
熔深,rong'shen
砂轮机,sha'lun'ji
砂轮机打磨光滑,sha'lun'ji'da'mo'guang'hua
筛紧,shai'jin
扇形球壁,shan'xing'qiu'bi
上齿压板,shang'chi'ya'ban
上齿压板装焊胎具,shang'chi'ya'ban'zhuang'han'tai'ju
上导轴承,shang'dao'zhou'cheng
上导轴承座,shang'dao'zhou'cheng'zuo
上环板,shang'huan'ban
上机架,shang'ji'jia
上筋板,shang'jin'ban
上下环板,shang'xia'huan'ban
上翼板,shang'yi'ban
上圆板,shang'yuan'ban
舌板,she'ban
设计部,she'ji'bu
设计名义尺寸,she'ji'ming'yi'chi'cun
施焊,shi'han
实际尺寸,shi'ji'chi'cun
石棉绳,shi'mian'sheng
实体,shi'ti
十字型,shi'zi'xing
手工开坡口,shou'gong'kai'po'kou
手拉葫芦,shou'la'hu'lu
竖筋,shu'jin
竖井头,shu'jing'tou
数控气割机,shu'kong'qi'ge'ji
数控气割下料,shu'kong'qi'ge'xia'liao
双幅板转子支架,shuang'fu'ban'zhuan'zi'zhi'jia
水电,shui'dian
水电加工,shui'dian'jia'gong
水准仪,shui'zhun'yi
胎具,tai'ju
碳弧气刨机,tan'hu'qi'bao'ji
探伤,tan'shang
套材,tao'cai
陶瓷衬垫,tao'ci'chen'dian
调平,tiao'ping
铁丸,tie'wan
通风孔,tong'feng'kong
通风孔位置线,tong'feng'kong'wei'zhi'xian
投影线,tou'ying'xian
凸凹缺陷,tu'ao'que'xian
涂漆,tu'qi
退火,tui'huo
退火炉,tui'huo'lu
椭圆筒,tuo'yuan'tong
外壁,wai'bi
外径千分尺,wai'jing'qian'fen'chi
外壳,wai'ke
王江,wang'jiang
围板,wei'ban
魏方锴,wei'fang'kai
未焊透,wei'han'tou
未熔合,wei'rong'he
位置线,wei'zhi'xian
温控柜,wen'kong'gui
蜗壳,wo'ke
下齿压板,xia'chi'ya'ban
下齿压板装焊胎具,xia'chi'ya'ban'zhuang'han'tai'ju
下环板,xia'huan'ban
下机架,xia'ji'jia
下筋板,xia'jin'ban
下序,xia'xu
下序工作,xia'xu'gong'zuo
下圆板,xia'yuan'ban
弦距,xian'ju
线圈,xian'quan
相贯线,xiang'guan'xian
消泡箱,xiao'pao'xiang
校圆,xiao'yuan
校直,xiao'zhi
修割,xiu'ge
修整部分,xiu'zheng'bu'fen
修整切割过程,xiu'zheng'qie'ge'guo'cheng
压平,ya'ping
压胎,ya'tai
闫海滨,yan'hai'bin
阎海滨,yan'hai'bin
研究所,yan'jiu'suo
样冲,yang'chong
样冲打上标记,yang'chong'da'shang'biao'ji
样冲眼,yang'chong'yan
仰焊,yang'han
仰焊缝,yang'han'feng
摇臂钻床,yao'bi'zuan'chuang
咬边,yao'bian
翼板,yi'ban
依次分段,yi'ci'fen'duan
以上工序完成后,yi'shang'gong'xu'wan'cheng'hou
溢油,yi'you
油槽,you'cao
油槽壁,you'cao'bi
油钢管,you'gang'guan
油腔,you'qiang
油箱,you'xiang
油压机,you'ya'ji
油压千斤顶,you'ya'qian'jin'ding
余高,yu'gao
余量线,yu'liang'xian
预先放好,yu'xian'fang'hao
圆盘,yuan'pan
圆筒筋,yuan'tong'jin
张淮,zhang'huai
张伟华,zhang'wei'hua
张艳军,zhang'yan'jun
赵永胜,zhao'yong'sheng
质保部,zhi'bao'bu
支臂,zhi'bi
支墩,zhi'dun
质量保证部,zhi'liang'bao'zheng'bu
制造工艺部,zhi'zao'gong'yi'bu
中环板,zhong'huan'ban
中心体,zhong'xin'ti
中心筒,zhong'xin'tong
中心柱,zhong'xin'zhu
轴承支架,zhou'cheng'zhi'jia
轴向支撑,zhou'xiang'zhi'cheng
主立筋,zhu'li'jin
转轮,zhuan'lun
转下序,zhuan'xia'xu
转油压机压平,zhuan'you'ya'ji'ya'ping
转子,zhuan'zi
转子支架,zhuan'zi'zhi'jia
装焊,zhuang'han
装配,zhuang'pei
装配位置线,zhuang'pei'wei'zhi'xian
自检装配尺寸,zi'jian'zhuang'pei'chi'cun
自下而上,zi'xia'er'shang
自由公差标准,zi'you'gong'cha'biao'zhun
钻床,zuan'chuang
钻孔,zuan'kong
坐标线,zuo'biao'xian
座环,zuo'huan
