白板,bai'ban
其他涂改用品,qi'ta'tu'gai'yong'pin
其他未分类,qi'ta'wei'fen'lei
其他文化办公设备,qi'ta'wen'hua'ban'gong'she'bei
其他学习文具,qi'ta'xue'xi'wen'ju
其他学校家具,qi'ta'xue'xiao'jia'ju
其他眼镜及配件,qi'ta'yan'jing'ji'pei'jian
其他装订用品,qi'ta'zhuang'ding'yong'pin
铅笔,qian'bi
容量瓶,rong'liang'ping
三脚架,san'jiao'jia
扫描仪,sao'miao'yi
色差计,se'cha'ji
色带,se'dai
晒图机,shai'tu'ji
烧杯,shao'bei
烧瓶,shao'ping
摄录一体机,she'lu'yi'ti'ji
摄像器材,she'xiang'qi'cai
摄影背景,she'ying'bei'jing
摄影灯具,she'ying'deng'ju
摄影灯泡,she'ying'deng'pao
摄影棚,she'ying'peng
摄影器材,she'ying'qi'cai
摄影摄像服务,she'ying'she'xiang'fu'wu
石膏教具,shi'gao'jiao'ju
试管,shi'guan
食堂餐桌椅,shi'tang'can'zhuo'yi
视讯会议系统,shi'xun'hui'yi'xi'tong
实验室用品,shi'yan'shi'yong'pin
实验室专用设备,shi'yan'shi'zhuan'yong'she'bei
收纳用品,shou'na'yong'pin
收银纸,shou'yin'zhi
书包,shu'bao
书立,shu'li
数码摄像机,shu'ma'she'xiang'ji
数码相机,shu'ma'xiang'ji
书写板,shu'xie'ban
书写纸,shu'xie'zhi
水准仪,shui'zhun'yi
塑封机,su'feng'ji
算盘,suan'pan
碎纸机,sui'zhi'ji
太阳镜,tai'yang'jing
碳带,tan'dai
碳粉,tan'fen
提款箱,ti'kuan'xiang
调色用品,tiao'se'yong'pin
贴纸相机,tie'zhi'xiang'ji
通讯录,tong'xun'lu
透镜,tou'jing
投影机,tou'ying'ji
图钉,tu'ding
涂改用品,tu'gai'yong'pin
万用手册,wan'yong'shou'ce
望远镜,wang'yuan'jing
文化办公设备,wen'hua'ban'gong'she'bei
文件柜,wen'jian'gui
文件夹,wen'jian'jia
文教项目合作,wen'jiao'xiang'mu'he'zuo
文教用品,wen'jiao'yong'pin
文教用橡胶制品,wen'jiao'yong'xiang'jiao'zhi'pin
文具,wen'ju
文具盒,wen'ju'he
文具胶带,wen'ju'jiao'dai
文具配件,wen'ju'pei'jian
硒鼓,xi'gu
线圈本,xian'quan'ben
显微镜,xian'wei'jing
相册,xiang'ce
橡皮擦,xiang'pi'ca
相纸,xiang'zhi
信封,xin'feng
修正带,xiu'zheng'dai
修正液,xiu'zheng'ye
宣纸,xuan'zhi
削笔器,xue'bi'qi
学生床,xue'sheng'chuang
学习机,xue'xi'ji
学习文具,xue'xi'wen'ju
学校家具,xue'xiao'jia'ju
验钞机,yan'chao'ji
眼镜布,yan'jing'bu
眼镜盒,yan'jing'he
眼镜及配件,yan'jing'ji'pei'jian
眼镜架,yan'jing'jia
眼镜片,yan'jing'pian
夜视仪,ye'shi'yi
一体机办公设备,yi'ti'ji'ban'gong'she'bei
隐型眼镜,yin'xing'yan'jing
印章用品,yin'zhang'yong'pin
荧光笔,ying'guang'bi
语音室成套设备,yu'yin'shi'cheng'tao'she'bei
圆规,yuan'gui
圆珠笔,yuan'zhu'bi
阅览室桌椅,yue'lan'shi'zhuo'yi
展示台,zhan'shi'tai
帐簿,zhang'bu
折射仪,zhe'she'yi
证卡,zheng'ka
蒸馏器,zheng'liu'qi
职员椅,zhi'yuan'yi
中性笔,zhong'xing'bi
装订机,zhuang'ding'ji
装订用品,zhuang'ding'yong'pin
桌上文件柜,zhuo'shang'wen'jian'gui
桌上文件柜架,zhuo'shang'wen'jian'gui'jia
组合文具,zu'he'wen'ju
