暗黑的傀儡师,an'hei'de'kui'lei'shi
独眼的罗刹,du'yan'de'luo'cha
断肠,duan'chang
断粮,duan'liang
恩怨,en'yuan
尔等敢应战否,er'deng'gan'ying'zhan'fou
二哥,er'ge
二号位,er'hao'wei
二十年后又是一条好汉,er'shi'nian'hou'you'shi'yi'tiao'hao'han
二血,er'xue
法正,fa'zheng
反间,fan'jian
反馈,fan'kui
翻面,fan'mian
反贼,fan'zei
反装忠,fan'zhuang'zhong
防具,fang'ju
方块,fang'kuai
方块闪,fang'kuai'shan
方块桃,fang'kuai'tao
放权,fang'quan
方天画戟,fang'tian'hua'ji
放逐,fang'zhu
飞将,fei'jiang
非延时类锦囊,fei'yan'shi'lei'jin'nang
飞影,fei'ying
风包,feng'bao
风驰电掣,feng'chi'dian'che
凤雏,feng'chu
凤雏岂能消亡,feng'chu'qi'neng'xiao'wang
锋芒毕露,feng'mang'bi'lu
锋线杀手,feng'xian'sha'shou
复活,fu'huo
夫君你要替妾身做主啊,fu'jun'ni'yao'ti'qie'shen'zuo'zhu'a
夫君身体要紧,fu'jun'shen'ti'yao'jin
父亲大哥仲谋溃矣,fu'qin'da'ge'zhong'mou'kui'yi
父亲大人对不起,fu'qin'da'ren'dui'bu'qi
改判,gai'pan
甘露,gan'lu
甘宁,gan'ning
刚烈,gang'lie
刚直壮烈,gang'zhi'zhuang'lie
高贵的名门,gao'gui'de'ming'men
高级杀手,gao'ji'sha'shou
高顺,gao'shun
高玩,gao'wan
给牌,gei'pai
更大的炮灰,geng'da'de'pao'hui
攻击范围,gong'ji'fan'wei
弓箭手准备放箭,gong'jian'shou'zhun'bei'fang'jian
公瑾我先走一步,gong'jin'wo'xian'zou'yi'bu
攻其不备,gong'qi'bu'bei
公孙瓒,gong'sun'zan
攻无不克,gong'wu'bu'ke
攻心,gong'xin
弓腰姬,gong'yao'ji
苟延残喘,gou'yan'can'chuan
古锭刀,gu'ding'dao
蛊惑,gu'huo
固若金汤,gu'ruo'jin'tang
固政,gu'zheng
古之恶来,gu'zhi'e'lai
观不到,guan'bu'dao
观尔乃插标卖首,guan'er'nai'cha'biao'mai'shou
观好,guan'hao
观今夜之天象知天下之大事,guan'jin'ye'zhi'tian'xiang'zhi'tian'xia'zhi'da'shi
贯石斧,guan'shi'fu
观五张,guan'wu'zhang
观星,guan'xing
关兴张苞,guan'xing'zhang'bao
关羽,guan'yu
关羽在此尔等受死,guan'yu'zai'ci'er'deng'shou'si
鬼才,gui'cai
鬼道,gui'dao
鬼神再临,gui'shen'zai'lin
归心,gui'xin
归隐的杰女,gui'yin'de'jie'nv
过河拆桥,guo'he'chai'qiao
郭嘉,guo'jia
国色,guo'se
国战,guo'zhan
还不够,hai'bu'gou
咳咳,hai'hai
寒冰剑,han'bing'jian
韩当,han'dang
汉寿亭侯,han'shou'ting'hou
毫发无伤,hao'fa'wu'shang
豪情烈胆,hao'qing'lie'dan
好施,hao'shi
喝酒,he'jiu
何以解忧,he'yi'jie'you
黑杀,hei'sha
黑桃,hei'tao
横扫千军,heng'sao'qian'jun
横置,heng'zhi
红莲业火,hong'lian'ye'huo
红杀,hong'sha
红桃,hong'tao
红桃闪,hong'tao'shan
红颜,hong'yan
鸿运当头,hong'yun'dang'tou
后发制人,hou'fa'zhi'ren
虎痴,hu'chi
护国军师,hu'guo'jun'shi
护驾,hu'jia
虎狼兄弟,hu'lang'xiong'di
虎牢关,hu'lao'guan
骅骝,hua'liu
化身,hua'shen
华佗,hua'tuo
华雄,hua'xiong
怀才自负,huai'cai'zi'fu
换斗移星,huan'dou'yi'xing
换桃,huan'tao
黄盖,huang'gai
黄天,huang'tian
黄天也死了,huang'tian'ye'si'le
黄月英,huang'yue'ying
黄忠,huang'zhong
回合,hui'he
回合结束阶段,hui'he'jie'shu'jie'duan
回合开始阶段,hui'he'kai'shi'jie'duan
回合外,hui'he'wai
挥泪,hui'lei
回血,hui'xue
昏君,hun'jun
浑身是胆,hun'shen'shi'dan
魂姿,hun'zi
火包,huo'bao
火攻,huo'gong
火计,huo'ji
火杀,huo'sha
火扇,huo'shan
祸首,huo'shou
激昂,ji'ang
基本牌,ji'ben'pai
饥肠辘辘,ji'chang'lu'lu
激将,ji'jiang
急救,ji'jiu
极乐世界,ji'le'shi'jie
鸡肋,ji'lei
技能,ji'neng
既生瑜何生,ji'sheng'yu'he'sheng
疾行的猎豹,ji'xing'de'lie'bao
集智,ji'zhi
贾诩,jia'xu
箭无虚发,jian'wu'xu'fa
奸雄,jian'xiong
江东的铁壁,jiang'dong'de'tie'bi
江东的小霸王,jiang'dong'de'xiao'ba'wang
江东之虎,jiang'dong'zhi'hu
姜维,jiang'wei
酱油内,jiang'you'nei
交给你了,jiao'gei'ni'le
矫情之花,jiao'qing'zhi'hua
矫然的壮士,jiao'ran'de'zhuang'shi
借刀,jie'dao
借刀杀人,jie'dao'sha'ren
节命,jie'ming
借你之手与他一搏吧,jie'ni'zhi'shou'yu'ta'yi'bo'ba
结算,jie'suan
结姻,jie'yin
接招吧,jie'zhao'ba
接着哦,jie'zhe'o
竭智尽忠,jie'zhi'jin'zhong
金璧之才,jin'bi'zhi'cai
矜持之花,jin'chi'zhi'hua
锦帆游侠,jin'fan'you'xia
尽管来吧,jin'guan'lai'ba
巾帼英雄,jin'guo'ying'xiong
晋国之祖,jin'guo'zhi'zu
禁酒,jin'jiu
锦囊袋,jin'nang'dai
锦囊牌,jin'nang'pai
金枪不倒,jin'qiang'bu'dao
荆楚之高俊,jing'chu'zhi'gao'jun
竞技场,jing'ji'chang
竟然被猜到了,jing'ran'bei'cai'dao'le
竟然比我还快,jing'ran'bi'wo'hai'kuai
惊天逆转,jing'tian'ni'zhuan
经天纬地,jing'tian'wei'di
酒池,jiu'chi
酒火杀,jiu'huo'sha
纠结之心,jiu'jie'zhi'xin
酒杀,jiu'sha
酒诗,jiu'shi
救我,jiu'wo
救援,jiu'yuan
就这样吧,jiu'zhe'yang'ba
菊花刀,ju'hua'dao
举荐,ju'jian
距离不够,ju'li'bu'gou
据守,ju'shou
巨象,ju'xiang
绝处逢生,jue'chu'feng'sheng
决斗,jue'dou
绝对零度,jue'dui'ling'du
绝境,jue'jing
绝情,jue'qing
绝世的舞姬,jue'shi'de'wu'ji
觉醒技,jue'xing'ji
绝影,jue'ying
君临天下,jun'lin'tian'xia
军争包,jun'zheng'bao
军争场,jun'zheng'chang
军争篇,jun'zheng'pian
看来我命中注定将丧命于此,kan'lai'wo'ming'zhong'zhu'ding'jiang'sang'ming'yu'ci
看脸,kan'lian
看破,kan'po
看我三步之内取你小命,kan'wo'san'bu'zhi'nei'qu'ni'xiao'ming
克己,ke'ji
可恶就差一步了,ke'wu'jiu'cha'yi'bu'le
控场,kong'chang
控场内,kong'chang'nei
空城,kong'cheng
空城绝唱,kong'cheng'jue'chang
苦肉,ku'rou
快来与我等决一死战,kuai'lai'yu'wo'deng'jue'yi'si'zhan
快速场,kuai'su'chang
狂暴,kuang'bao
狂奔的蜗牛,kuang'ben'de'wo'niu
狂风,kuang'feng
狂风标记,kuang'feng'biao'ji
狂骨,kuang'gu
溃围,kui'wei
垃圾技能,la'ji'ji'neng
辣手摧花,la'shou'cui'hua
来人护驾,lai'ren'hu'jia
狼顾之鬼,lang'gu'zhi'gui
老不死的,lao'bu'si'de
老当益壮,lao'dang'yi'zhuang
老奸巨猾,lao'jian'ju'hua
老将的逆袭,lao'jiang'de'ni'xi
老谋深算,lao'mou'shen'suan
老天不助我袁家啊,lao'tian'bu'zhu'wo'yuan'jia'a
老诸葛,lao'zhu'ge
乐不思蜀,le'bu'si'shu
雷公助我,lei'gong'zhu'wo
雷击,lei'ji
雷杀,lei'sha
冷好冷啊,leng'hao'leng'a
冷酷的毒士,leng'ku'de'du'shi
冷色,leng'se
冷血皇后,leng'xue'huang'hou
离魂,li'hun
离间,li'jian
离线,li'xian
历战之躯,li'zhan'zhi'qu
连环,lian'huan
连绵不绝,lian'mian'bu'jue
连弩,lian'nu
连破,lian'po
怜香惜玉,lian'xiang'xi'yu
连营,lian'ying
炼狱武神,lian'yu'wu'shen
两边都看不见啦,liang'bian'dou'kan'bu'jian'la
粮尽援绝,liang'jin'yuan'jue
两张牌,liang'zhang'pai
料敌机先,liao'di'ji'xian
廖化,liao'hua
烈弓,lie'gong
烈刃,lie'ren
林包,lin'bao
凌波微步罗袜生尘,ling'bo'wei'bu'luo'wa'sheng'chen
凌统,ling'tong
刘备,liu'bei
刘表,liu'biao
六号位,liu'hao'wei
流离,liu'li
六人局,liu'ren'ju
刘禅,liu'shan
龙胆,long'dan
龙的衣钵,long'de'yi'bo
龙魂,long'hun
鲁大师,lu'da'shi
鲁肃,lu'su
陆逊,lu'xun
乱臣贼子,luan'chen'zei'zi
乱击,luan'ji
乱箭肃敌,luan'jian'su'di
乱世的奸雄,luan'shi'de'jian'xiong
乱世的枭雄,luan'shi'de'xiao'xiong
乱世名医,luan'shi'ming'yi
乱武,luan'wu
裸奔,luo'ben
落井下石,luo'jing'xia'shi
洛神,luo'shen
洛神赋,luo'shen'fu
裸衣,luo'yi
落英,luo'ying
吕布,lv'bu
吕蒙,lv'meng
马超,ma'chao
马岱,ma'dai
马术,ma'shu
马谡,ma'su
妈我冷,ma'wo'leng
卖血,mai'xue
漫卷,man'juan
满血,man'xue
梅花,mei'hua
每回合,mei'hui'he
美髯公,mei'ran'gong
没想到吧,mei'xiang'dao'ba
孟获,meng'huo
猛进,meng'jin
梦魇标记,meng'yan'biao'ji
梦醉良缘,meng'zui'liang'yuan
谜之仙人,mi'zhi'xian'ren
面杀,mian'sha
妙脆角,miao'cui'jiao
命不该绝,ming'bu'gai'jue
明策,ming'ce
摸牌,mo'pai
摸牌阶段,mo'pai'jie'duan
魔王,mo'wang
谋略过人,mou'lue'guo'ren
目标角色,mu'biao'jue'se
难道被看穿了吗,nan'dao'bei'kan'chuan'le'ma
难道这就是失败的滋味吗,nan'dao'zhe'jiu'shi'shi'bai'de'zi'wei'ma
难道这就是桃园吗,nan'dao'zhe'jiu'shi'tao'yuan'ma
难道真的是天命难违,nan'dao'zhen'de'shi'tian'ming'nan'wei
南蛮,nan'man
南蛮入侵,nan'man'ru'qin
南蛮王,nan'man'wang
内奸,nei'jian
能进能退乃真正法器,neng'jin'neng'tui'nai'zhen'zheng'fa'qi
你的计谋被识破了,ni'de'ji'mou'bei'shi'po'le
你的牌太多啦,ni'de'pai'tai'duo'la
你可敢挡我,ni'ke'gan'dang'wo
你可识得此阵,ni'ke'shi'de'ci'zhen
你死我活,ni'si'wo'huo
你信么,ni'xin'me
年轻的贤君,nian'qing'de'xian'jun
涅槃,nie'pan
宁可我负天下人休教天下人负我,ning'ke'wo'fu'tian'xia'ren'xiu'jiao'tian'xia'ren'fu'wo
暖色,nuan'se
牌堆,pai'dui
牌堆底,pai'dui'di
牌堆顶,pai'dui'ding
判定,pan'ding
判定阶段,pan'ding'jie'duan
判定牌,pan'ding'pai
判定区,pan'ding'qu
庞德,pang'de
庞统,pang'tong
炮灰,pao'hui
咆哮,pao'xiao
劈中,pi'zhong
拼点,pin'dian
平反大将,ping'fan'da'jiang
破军,po'jun
破掳大将军,po'lu'da'jiang'jun
破一个,po'yi'ge
普通杀,pu'tong'sha
奇才,qi'cai
七号位,qi'hao'wei
旗开得胜,qi'kai'de'sheng
其利断金,qi'li'duan'jin
麒麟弓,qi'lin'gong
弃牌,qi'pai
弃牌堆,qi'pai'dui
弃牌阶段,qi'pai'jie'duan
七擒七纵,qi'qin'qi'zong
七人局,qi'ren'ju
弃桃,qi'tao
奇袭,qi'xi
七星,qi'xing
弃置,qi'zhi
前锋,qian'feng
前将军,qian'jiang'jun
谦逊,qian'xun
强袭,qiang'xi
巧变,qiao'bian
琴音,qin'yin
请鞭挞我吧公瑾,qing'bian'ta'wo'ba'gong'jin
青釭剑,qing'gang'jian
倾国,qing'guo
倾国倾城,qing'guo'qing'cheng
青龙刀,qing'long'dao
青龙偃月刀,qing'long'yan'yue'dao
青囊,qing'nang
轻身为国,qing'shen'wei'guo
请休息吧,qing'xiu'xi'ba
请助我一臂之力,qing'zhu'wo'yi'bi'zhi'li
求桃,qiu'tao
驱虎,qu'hu
驱虎吞狼,qu'hu'tun'lang
取汝首级犹如探囊取物,qu'ru'shou'ji'you'ru'tan'nang'qu'wu
全都去死吧,quan'dou'qu'si'ba
全军突击,quan'jun'tu'ji
全职杀手,quan'zhi'sha'shou
群雄,qun'xiong
群雄霸者,qun'xiong'ba'zhe
群雄武者,qun'xiong'wu'zhe
燃烧吧,ran'shao'ba
惹火上身,re'huo'shang'shen
仁德,ren'de
忍戒,ren'jie
人马一体,ren'ma'yi'ti
仁王盾,ren'wang'dun
任意张牌,ren'yi'zhang'pai
容我三思,rong'wo'san'si
肉林,rou'lin
肉山,rou'shan
汝等给我看好了,ru'deng'gei'wo'kan'hao'le
儒生雄才,ru'sheng'xiong'cai
若愚,ruo'yu
塞翁失马,sai'weng'shi'ma
三国杀,san'guo'sha
三号位,san'hao'wei
三禁,san'jin
三血,san'xue
三张牌,san'zhang'pai
杀当闪,sha'dang'shan
杀很大,sha'hen'da
杀闪桃,sha'shan'tao
山包,shan'bao
闪当杀,shan'dang'sha
闪电,shan'dian
伤害来源,shang'hai'lai'yuan
伤逝,shang'shi
伤一敌可连其百,shang'yi'di'ke'lian'qi'bai
少年将军,shao'nian'jiang'jun
涉猎,she'lie
射马,she'ma
射人先射马,she'ren'xian'she'ma
舍生取义,she'sheng'qu'yi
神曹操,shen'cao'cao
神出鬼没,shen'chu'gui'mo
神愤,shen'fen
身份局,shen'fen'ju
身份牌,shen'fen'pai
神关羽,shen'guan'yu
神鬼莫测,shen'gui'mo'ce
神话再临,shen'hua'zai'lin
神戟,shen'ji
神将,shen'jiang
神吕布,shen'lv'bu
神吕蒙,shen'lv'meng
什么此地叫麦城,shen'me'ci'di'jiao'mai'cheng
神司马懿,shen'si'ma'yi
神速,shen'su
神威,shen'wei
神威如龙,shen'wei'ru'long
神医,shen'yi
神赵云,shen'zhao'yun
神周瑜,shen'zhou'yu
神诸葛亮,shen'zhu'ge'liang
圣光之国士,sheng'guang'zhi'guo'shi
剩余体力,sheng'yu'ti'li
恃才放旷,shi'cai'fang'kuang
十甘九反,shi'gan'jiu'fan
失礼了,shi'li'le
失去体力,shi'qu'ti'li
势如破竹,shi'ru'po'zhu
嗜血成性,shi'xue'cheng'xing
嗜血的独狼,shi'xue'de'du'lang
失血过多了,shi'xue'guo'duo'le
实在是杀不动啦,shi'zai'shi'sha'bu'dong'la
实在是守不住了,shi'zai'shi'shou'bu'zhu'le
收南蛮,shou'nan'man
手牌,shou'pai
收人,shou'ren
收万箭,shou'wan'jian
手眼通天,shou'yan'tong'tian
鼠辈竟敢伤我,shu'bei'jing'gan'shang'wo
蜀汉的辅翼,shu'han'de'fu'yi
蜀将,shu'jiang
蜀将何在,shu'jiang'he'zai
蜀之霸者,shu'zhi'ba'zhe
蜀之武者,shu'zhi'wu'zhe
双将,shuang'jiang
双内局,shuang'nei'ju
双雄,shuang'xiong
谁的无懈,shui'de'wu'xie
谁敢杀我啊,shui'gan'sha'wo'a
睡觉,shui'jiao
谁来和我大战三百回合,shui'lai'he'wo'da'zhan'san'bai'hui'he
谁能挡我,shui'neng'dang'wo
顺兵粮,shun'bing'liang
顺盾,shun'dun
顺乐,shun'le
顺马,shun'ma
顺手牌,shun'shou'pai
顺手牵羊,shun'shou'qian'yang
顺武器,shun'wu'qi
四号位,si'hao'wei
伺机待发,si'ji'dai'fa
四禁,si'jin
司马懿,si'ma'yi
四面都是水我命休矣,si'mian'dou'shi'shui'wo'ming'xiu'yi
四世三公,si'shi'san'gong
肆无忌惮,si'wu'ji'dan
四血,si'xue
死忠内,si'zhong'nei
颂威,song'wei
速战速决,su'zhan'su'jue
算无遗策,suan'wu'yi'ce
岁在甲子天下大吉,sui'zai'jia'zi'tian'xia'da'ji
孙策,sun'ce
孙坚,sun'jian
孙权,sun'quan
孙尚香,sun'shang'xiang
损失体力,sun'shi'ti'li
锁定技,suo'ding'ji
抬榇之悟,tai'chen'zhi'wu
太平道人,tai'ping'dao'ren
太史慈,tai'shi'ci
逃跑,tao'pao
桃王,tao'wang
桃仙,tao'xian
桃园,tao'yuan
桃园结义,tao'yuan'jie'yi
藤甲,teng'jia
藤甲兵,teng'jia'bing
体力流失,ti'li'liu'shi
体力牌,ti'li'pai
体力上限,ti'li'shang'xian
替我挡着,ti'wo'dang'zhe
天道威仪,tian'dao'wei'yi
天妒,tian'du
天公将军,tian'gong'jiang'jun
天火燎原,tian'huo'liao'yuan
天命哈哈哈哈,tian'ming'ha'ha'ha'ha
天谴,tian'qian
天下大势为我所控,tian'xia'da'shi'wei'wo'suo'kong
天香,tian'xiang
天义,tian'yi
跳反,tiao'fan
跳内,tiao'nei
挑衅,tiao'xin
跳忠,tiao'zhong
铁骑,tie'qi
铁索,tie'suo
铁索连环,tie'suo'lian'huan
铁锁连舟,tie'suo'lian'zhou
通通连起来吧,tong'tong'lian'qi'lai'ba
偷牌,tou'pai
突袭,tu'xi
屯牌,tun'pai
屯田,tun'tian
托管,tuo'guan
托管内,tuo'guan'nei
万夫不当,wan'fu'bu'dang
万箭,wan'jian
万箭齐发,wan'jian'qi'fa
完杀,wan'sha
王异,wang'yi
王佐之才,wang'zuo'zhi'cai
伪帝,wei'di
魏将,wei'jiang
魏将何在,wei'jiang'he'zai
帷幕,wei'mu
魏文帝,wei'wen'di
唯我独尊,wei'wo'du'zun
魏武帝,wei'wu'di
魏武之刚,wei'wu'zhi'gang
惟贤惟德仁服于人,wei'xian'wei'de'ren'fu'yu'ren
魏延,wei'yan
唯有杜康,wei'you'du'kang
魏之霸者,wei'zhi'ba'zhe
魏之武者,wei'zhi'wu'zhe
文功,wen'gong
我当要替天行道,wo'dang'yao'ti'tian'xing'dao
我的计谋竟被,wo'de'ji'mou'jing'bei
我还是太年轻了,wo'hai'shi'tai'nian'qing'le
我绝不会倒下,wo'jue'bu'hui'dao'xia
卧龙,wo'long
我先休息一会儿,wo'xian'xiu'xi'yi'hui'er
我要杀你们个片甲不留,wo'yao'sha'ni'men'ge'pian'jia'bu'liu
我永不背弃,wo'yong'bu'bei'qi
武的化身,wu'de'hua'shen
五谷,wu'gu
五谷丰登,wu'gu'feng'deng
吴国太,wu'guo'tai
五号位,wu'hao'wei
武魂,wu'hun
吴将,wu'jiang
武将,wu'jiang
武将技,wu'jiang'ji
武将牌,wu'jiang'pai
无尽的鞭挞,wu'jin'de'bian'ta
无尽的挣扎,wu'jin'de'zheng'zha
武烈帝,wu'lie'di
武烈皇后,wu'lie'huang'hou
吾们乃河北上将颜良文丑是也,wu'men'nai'he'bei'shang'jiang'yan'liang'wen'chou'shi'ye
无谋,wu'mou
无前,wu'qian
五人局,wu'ren'ju
无色杀,wu'se'sha
吾擅于千里袭人,wu'shan'yu'qian'li'xi'ren
武神,wu'shen
武圣,wu'sheng
武圣显灵,wu'sheng'xian'ling
无视防具,wu'shi'fang'ju
无双,wu'shuang
无为的真命主,wu'wei'de'zhen'ming'zhu
无懈,wu'xie
无懈的快点,wu'xie'de'kuai'dian
无懈可击,wu'xie'ke'ji
五血,wu'xue
武勋,wu'xun
无言,wu'yan
吴之霸者,wu'zhi'ba'zhe
吴之武者,wu'zhi'wu'zhe
无中,wu'zhong
无中生有,wu'zhong'sheng'you
西凉的猛狮,xi'liang'de'meng'shi
吸血,xi'xue
下次注意点,xia'ci'zhu'yi'dian
夏侯惇,xia'hou'dun
夏侯渊,xia'hou'yuan
先拔头筹,xian'ba'tou'chou
险不辞难,xian'bu'ci'nan
现存角色,xian'cun'jue'se
限定技,xian'ding'ji
先发制人,xian'fa'zhi'ren
先锋,xian'feng
羡慕吧,xian'mu'ba
陷阵,xian'zhen
享乐,xiang'le
相同花色,xiang'tong'hua'se
相同颜色,xiang'tong'yan'se
香香,xiang'xiang
枭姬,xiao'ji
小内,xiao'nei
小乔,xiao'qiao
小试牛刀,xiao'shi'niu'dao
小有名气,xiao'you'ming'qi
小诸葛,xiao'zhu'ge
新生,xin'sheng
新手场,xin'shou'chang
心战,xin'zhan
行动顺序,xing'dong'shun'xu
行殇,xing'shang
修罗,xiu'luo
修罗之道,xiu'luo'zhi'dao
许褚,xu'chu
徐晃,xu'huang
徐盛,xu'sheng
徐庶,xu'shu
旋风,xuan'feng
眩惑,xuan'huo
血裔,xue'yi
荀攸,xun'you
荀彧,xun'yu
颜良文丑,yan'liang'wen'chou
掩其无备,yan'qi'wu'bei
燕人的咆哮,yan'ren'de'pao'xiao
延时类锦囊,yan'shi'lei'jin'nang
严整,yan'zheng
杨修,yang'xiu
也好,ye'hao
野性的女王,ye'xing'de'nv'wang
业炎,ye'yan
义从,yi'cong
以德服人,yi'de'fu'ren
一分内,yi'fen'nei
一夫当关,yi'fu'dang'guan
一鼓作气,yi'gu'zuo'qi
一号位,yi'hao'wei
移花接木,yi'hua'jie'mu
遗计,yi'ji
一将,yi'jiang
一将成名,yi'jiang'cheng'ming
已经尽力了,yi'jing'jin'li'le
一骑当千,yi'qi'dang'qian
一骑讨,yi'qi'tao
以我之真气合天地之造化,yi'wo'zhi'zhen'qi'he'tian'di'zhi'zao'hua
异乡的孤女,yi'xiang'de'gu'nv
异性角色,yi'xing'jue'se
一张牌,yi'zhang'pai
医者不能自医啊,yi'zhe'bu'neng'zi'yi'a
毅重,yi'zhong
异族之愤,yi'zu'zhi'fen
因祸得福,yin'huo'de'fu
银月枪,yin'yue'qiang
英魂,ying'hun
英姿,ying'zi
用兵有方,yong'bing'you'fang
勇猛过人,yong'meng'guo'ren
庸肆,yong'si
有难同当,you'nan'tong'dang
有勇无谋,you'yong'wu'mou
浴火重生,yu'huo'chong'sheng
于吉,yu'ji
于禁,yu'jin
玉玺在手天下我有,yu'xi'zai'shou'tian'xia'wo'you
袁绍,yuan'shao
袁术,yuan'shu
越老越要补啊,yue'lao'yue'yao'bu'a
月月,yue'yue
运筹帷幄,yun'chou'wei'wo
再起,zai'qi
造成伤害,zao'cheng'shang'hai
早睡早起方能养生,zao'shui'zao'qi'fang'neng'yang'sheng
凿险,zao'xian
早终的先知,zao'zhong'de'xian'zhi
战场新兵,zhan'chang'xin'bing
战功称号,zhan'gong'cheng'hao
展示,zhan'shi
丈八,zhang'ba
丈八蛇矛,zhang'ba'she'mao
张春华,zhang'chun'hua
张飞,zhang'fei
张郃,zhang'he
张角,zhang'jiao
张辽,zhang'liao
张昭张纮,zhang'zhao'zhang'hong
爪黄飞电,zhao'huang'fei'dian
赵云,zhao'yun
这红脸长须大将是,zhe'hong'lian'chang'xu'da'jiang'shi
甄姬,zhen'ji
真没想到,zhen'mei'xiang'dao
挣扎吧在血和暗的深渊里,zheng'zha'ba'zai'xue'he'an'de'shen'yuan'li
制霸,zhi'ba
智迟,zhi'chi
直捣黄龙,zhi'dao'huang'long
制衡,zhi'heng
志继,zhi'ji
直谏,zhi'jian
指囷相赠,zhi'qun'xiang'zeng
至圣至明,zhi'sheng'zhi'ming
知天易逆天难,zhi'tian'yi'ni'tian'nan
智勇双全,zhi'yong'shuang'quan
忠臣,zhong'chen
忠肝义胆,zhong'gan'yi'dan
