暗杠,an'gang
绿一色,lv'yi'se
麻将,ma'jiang
麻将词库,ma'jiang'ci'ku
麻雀,ma'que
满贯,man'guan
么九头,me'jiu'tou
门风,men'feng
门风刻,men'feng'ke
门前清,men'qian'qing
门清,men'qing
妙手回春,miao'shou'hui'chun
明杠,ming'gang
南风,nan'feng
南风圈,nan'feng'quan
牌城,pai'cheng
牌池,pai'chi
牌友,pai'you
盘分,pan'fen
碰牌,peng'pai
碰碰和,peng'peng'he
碰碰和,peng'peng'hu
屁和,pi'hu
拼音佳佳,pin'yin'jia'jia
拼音佳佳词库,pin'yin'jia'jia'ci'ku
平和,ping'he
平和,ping'hu
铺铺倒,pu'pu'dao
七饼,qi'bing
七对,qi'dui
七对子,qi'dui'zi
起和,qi'hu
起和分,qi'hu'fen
砌牌,qi'pai
七巧,qi'qiao
七小对,qi'xiao'dui
七星,qi'xing
七星不靠,qi'xing'bu'kao
七星聚会,qi'xing'ju'hui
七星聚义,qi'xing'ju'yi
嵌单,qian'dan
抢杠,qiang'gang
抢杠和,qiang'gang'hu
清老头,qing'lao'tou
清龙,qing'long
青龙,qing'long
清三节,qing'san'jie
清四碰,qing'si'peng
清幺九,qing'yao'jiu
清一色,qing'yi'se
清一条龙,qing'yi'tiao'long
全不靠,quan'bu'kao
全大,quan'da
全大由序数牌,quan'da'you'xu'shu'pai
全带,quan'dai
全带五,quan'dai'wu
全带幺,quan'dai'yao
圈风,quan'feng
圈风刻,quan'feng'ke
全求人,quan'qiu'ren
全是幺,quan'shi'yao
全双刻,quan'shuang'ke
全双由序数牌,quan'shuang'you'xu'shu'pai
全小,quan'xiao
全小由序数牌,quan'xiao'you'xu'shu'pai
全幺,quan'yao
全幺九,quan'yao'jiu
全中由序数牌,quan'zhong'you'xu'shu'pai
全字,quan'zi
缺门,que'men
缺一门,que'yi'men
人和,ren'he
人和,ren'hu
三暗刻,san'an'ke
三倍满,san'bei'man
三倍役满,san'bei'yi'man
三饼,san'bing
三风刻,san'feng'ke
三杠,san'gang
三杠子,san'gang'zi
三连刻,san'lian'ke
三连碰,san'lian'peng
三摸一,san'mo'yi
三缺一,san'que'yi
三人麻将,san'ren'ma'jiang
三色节节高,san'se'jie'jie'gao
三色三步高,san'se'san'bu'gao
三色三节高,san'se'san'jie'gao
三色三同顺,san'se'san'tong'shun
三色双龙会,san'se'shuang'long'hui
三色同刻,san'se'tong'ke
三色同顺,san'se'tong'shun
三条,san'tiao
三同刻,san'tong'ke
三万,san'wan
三元会,san'yuan'hui
三元及第,san'yuan'ji'di
散张,san'zhang
三姊妹,san'zi'mei
上海麻将,shang'hai'ma'jiang
上家,shang'jia
上牌,shang'pai
上张,shang'zhang
少张,shao'zhang
十八罗汉,shi'ba'luo'han
十三不靠,shi'san'bu'kao
十三烂,shi'san'lan
十三幺,shi'san'yao
手牌,shou'pai
双暗杠,shuang'an'gang
双暗刻,shuang'an'ke
双箭刻,shuang'jian'ke
双六,shuang'liu
双明杠,shuang'ming'gang
双同刻,shuang'tong'ke
顺子,shun'zi
四暗刻,si'an'ke
四倍役满,si'bei'yi'man
四饼,si'bing
四方大发,si'fang'da'fa
四方大发财,si'fang'da'fa'cai
四风会,si'feng'hui
四杠,si'gang
四杠子,si'gang'zi
四归一,si'gui'yi
四连刻,si'lian'ke
四人麻将,si'ren'ma'jiang
四顺子,si'shun'zi
四条,si'tiao
四万,si'wan
天和,tian'he
天和,tian'hu
跳牌,tiao'pai
听牌,ting'pai
同三句,tong'san'ju
同顺,tong'shun
同四句,tong'si'ju
推不倒,tui'bu'dao
无财神,wu'cai'shen
无番和,wu'fan'he
无番和,wu'fan'hu
五门齐,wu'men'qi
无字,wu'zi
西风,xi'feng
西风圈,xi'feng'quan
洗牌,xi'pai
喜相逢,xi'xiang'feng
下家,xia'jia
小和,xiao'he
小三元,xiao'san'yuan
小四风会,xiao'si'feng'hui
小四喜,xiao'si'xi
小于五,xiao'yu'wu
斜坡,xie'po
眼镜,yan'jing
幺鸡,yao'ji
幺九刻,yao'jiu'ke
幺九牌,yao'jiu'pai
一般高,yi'ban'gao
一杯口,yi'bei'kou
一饼,yi'bing
一对,yi'dui
一番,yi'fan
役牌,yi'pai
一炮多响,yi'pao'duo'xiang
一炮两响,yi'pao'liang'xiang
一炮三响,yi'pao'san'xiang
一圈,yi'quan
一色三步高,yi'se'san'bu'gao
一色三节高,yi'se'san'jie'gao
一色三同顺,yi'se'san'tong'shun
一色双龙会,yi'se'shuang'long'hui
一色四步高,yi'se'si'bu'gao
一色四节高,yi'se'si'jie'gao
一色四顺,yi'se'si'shun
一色四同顺,yi'se'si'tong'shun
一条,yi'tiao
一条龙,yi'tiao'long
一听一和,yi'ting'yi'hu
增强人民体质,zeng'qiang'ren'min'ti'zhi
诈和,zha'hu
智取生辰纲,zhi'qu'sheng'chen'gang
中发白,zhong'fa'bai
庄家,zhuang'jia
桌子,zhuo'zi
自摸,zi'mo
自摸和,zi'mo'hu
字一色,zi'yi'se
组合龙,zu'he'long
做相公,zuo'xiang'gong
坐庄,zuo'zhuang
