俺正搁街上走劳嘞,an'zheng'ge'jie'shang'zou'lao'lei
溜光,liu'guang
龙黄,long'huang
乱哩洋帐样,luan'li'yang'zhang'yang
马岔裤,ma'cha'ku
麻糊,ma'hu
麻溜,ma'liu
麻雀蛋皮子,ma'que'dan'pi'zi
妈穗子,ma'sui'zi
妈头,ma'tou
嘛澡,ma'zao
麻渣子,ma'zha'zi
麦秸莛子,mai'jie'ting'zi
麦莛儿,mai'ting'er
牤牛,mang'niu
猫耳朵,mao'er'duo
帽壳子,mao'ke'zi
茅坑,mao'keng
毛团,mao'tuan
毛娃,mao'wa
米茶,mi'cha
米猫,mi'mao
米油子,mi'you'zi
面糊儿,mian'hu'er
面糊涂,mian'hu'tu
明儿个,ming'er'ge
木屐子,mu'ji'zi
拿捏,na'nie
拿糖作醋,na'tang'zuo'cu
脑袋瓜子,nao'dai'gua'zi
恁些人,nen'xie'ren
能,neng
泥巴蛋子,ni'ba'dan'zi
泥巴狗,ni'ba'gou
泥屐子,ni'ji'zi
你靠歹人,ni'kao'dai'ren
你真全伙儿,ni'zhen'quan'huo'er
年时个,nian'shi'ge
年头里,nian'tou'li
脓,nong
弄啥也,nong'sha'ye
怕恁,pa'nen
胖臭,pang'chou
皮儿,pi'er
皮闺女,pi'gui'nv
皮口袋,pi'kou'dai
皮脸,pi'lian
撇拉子,pie'la'zi
铺底,pu'di
前儿个,qian'er'ge
秦椒,qin'jiao
蛐蛐儿,qu'qu'er
蛐蟮,qu'shan
全乎人,quan'hu'ren
认生,ren'sheng
日头,ri'tou
日头地儿,ri'tou'di'er
茸垢,rong'gou
腮帮子,sai'bang'zi
骚马,sao'ma
傻不愣登的,sha'bu'leng'deng'de
啥架势,sha'jia'shi
骟羯子,shan'jie'zi
上冻,shang'dong
糁子,shen'zi
手箍子,shou'gu'zi
手脶脶,shou'luo'luo
秫秸,shu'jie
秫秫,shu'shu
树桠子,shu'ya'zi
双身子了,shuang'shen'zi'le
双生子,shuang'sheng'zi
水筲,shui'shao
水羊,shui'yang
斯气了,si'qi'le
四下里,si'xia'li
送祝米,song'zhu'mi
他仿他爸的脸面儿,ta'fang'ta'ba'de'lian'mian'er
他格蔫人哩狠,ta'ge'nian'ren'li'hen
胎,tai
抬杠,tai'gang
胎孩,tai'hai
摊,tan
疼毁唻,teng'hui'lai
舔肥,tian'fei
甜秫秸,tian'shu'jie
亭范,ting'fan
头子后个,tou'zi'hou'ge
秃叉子,tu'cha'zi
土坷拉,tu'ke'la
土垃,tu'la
推板,tui'ban
腿裤子,tui'ku'zi
洼子,wa'zi
崴,wai
王八,wang'ba
亡蛋,wang'dan
苇瓮子,wei'weng'zi
莴瓜,wo'gua
倭瓜,wo'gua
我喝叠稀里,wo'he'die'xi'li
蜗拉头儿,wo'la'tou'er
蜗拉头子,wo'la'tou'zi
小毛孩,xiao'mao'hai
小妮子,xiao'ni'zi
小小虫,xiao'xiao'chong
小小种,xiao'xiao'zhong
楔,xie
澥,xie
歇屌能台,xie'diao'neng'tai
鞋呱搭子,xie'gua'da'zi
蝎虎子,xie'hu'zi
泻酒,xie'jiu
鞋塔拉子,xie'ta'la'zi
囟门子,xin'men'zi
徐百,xu'bai
雪子儿,xue'zi'er
牙狗,ya'gou
眼帘子,yan'lian'zi
盐子子,yan'zi'zi
洋车子,yang'che'zi
洋硷,yang'jian
洋铁,yang'tie
洋熊样,yang'xiong'yang
药芹,yao'qin
夜蝙蝠子,ye'bian'fu'zi
也不长眼,ye'bu'zhang'yan
夜儿个,ye'er'ge
夜儿个晚上歇楼,ye'er'ge'wan'shang'xie'lou
衣胞,yi'bao
一个熊孩子,yi'ge'xiong'hai'zi
一家湿,yi'jia'shi
一块佛,yi'kuai'fo
一坨,yi'tuo
一小会儿就找不到你了,yi'xiao'hui'er'jiu'zhao'bu'dao'ni'le
胰子,yi'zi
油递子,you'di'zi
有嚼头,you'jiao'tou
油舀子,you'yao'zi
油子,you'zi
雨淋子,yu'lin'zi
玉榴,yu'liu
雨头里,yu'tou'li
圆坟,yuan'fen
愿月儿,yuan'yue'er
月白,yue'bai
匀,yun
咋,za
咋嫩多里,za'nen'duo'li
栽叉唻,zai'cha'lai
栽烂唻,zai'lan'lai
栽哩,zai'li
扎布理,zha'bu'li
粘牙,zhan'ya
掌柜娘,zhang'gui'niang
枕褡布子,zhen'da'bu'zi
真管,zhen'guan
真管弹,zhen'guan'tan
枕头胆,zhen'tou'dan
枕头瓤子,zhen'tou'rang'zi
真沾,zhen'zhan
中,zhong
猪尿脬,zhu'sui'pao
猪旺子,zhu'wang'zi
撞栽倒唻,zhuang'zai'dao'lai
走了,zou'le
走水了,zou'shui'le
昨儿个,zuo'er'ge
作假,zuo'jia
作心,zuo'xin
