白云石,bai'yun'shi
锡槽底壳冷却,xi'cao'di'ke'leng'que
锡槽底砖,xi'cao'di'zhuan
锡槽顶盖,xi'cao'ding'gai
锡槽顶盖外壳,xi'cao'ding'gai'wai'ke
锡槽分段,xi'cao'fen'duan
锡槽肩部,xi'cao'jian'bu
锡槽进口横梁,xi'cao'jin'kou'heng'liang
锡槽内,xi'cao'nei
锡槽热端,xi'cao're'duan
锡槽水冷却器,xi'cao'shui'leng'que'qi
锡槽箱,xi'cao'xiang
锡槽专用砖,xi'cao'zhuan'yong'zhuan
限流砖,xian'liu'zhuan
小炉后墙,xiao'lu'hou'qiang
小炉口,xiao'lu'kou
小炉平碹,xiao'lu'ping'xuan
小炉斜碹,xiao'lu'xie'xuan
小炉之间胸墙,xiao'lu'zhi'jian'xiong'qiang
卸料料仓,xie'liao'liao'cang
楔型砖,xie'xing'zhuan
胸墙,xiong'qiang
修改,xiu'gai
蓄热室,xu're'shi
蓄热室大碹,xu're'shi'da'xuan
蓄热室门,xu're'shi'men
蓄热室锁断,xu're'shi'suo'duan
蓄热室烟道,xu're'shi'yan'dao
碹碴,xuan'cha
碹脚砖,xuan'jiao'zhuan
碹跨度,xuan'kua'du
压力转换器,ya'li'zhuan'huan'qi
烟囱,yan'cong
烟道,yan'dao
窑头料仓,yao'tou'liao'cang
液面线,ye'mian'xian
应变,ying'bian
应力,ying'li
预热区,yu're'qu
预退火区,yu'tui'huo'qu
原料部分,yuan'liao'bu'fen
原料仓库,yuan'liao'cang'ku
闸板砖,zha'ban'zhuan
止推螺丝和止推板,zhi'tui'luo'si'he'zhi'tui'ban
直线马达,zhi'xian'ma'da
支烟道,zhi'yan'dao
支烟道闸板,zhi'yan'dao'zha'ban
止窑,zhi'yao
重热区,zhong're'qu
主管道,zhu'guan'dao
