艾叶,ai'ye
市公安局招呼站,shi'gong'an'ju'zhao'hu'zhan
石灰窑,shi'hui'yao
石灰窑招呼站,shi'hui'yao'zhao'hu'zhan
市耐酸泵厂,shi'nai'suan'beng'chang
市委,shi'wei
市中医院,shi'zhong'yi'yuan
十字口,shi'zi'kou
蜀光校区,shu'guang'xiao'qu
蜀光中学,shu'guang'zhong'xue
舒坪,shu'ping
舒坪招呼站,shu'ping'zhao'hu'zhan
舒坪镇政府招呼站,shu'ping'zhen'zheng'fu'zhao'hu'zhan
双河口大桥,shuang'he'kou'da'qiao
双龙汇,shuang'long'hui
双龙桥招呼站,shuang'long'qiao'zhao'hu'zhan
双牌坊,shuang'pai'fang
双塘,shuang'tang
四川理工学院,si'chuan'li'gong'xue'yuan
四医院,si'yi'yuan
泰丰,tai'feng
泰丰大厦,tai'feng'da'sha
碳黑研究院,tan'hei'yan'jiu'yuan
唐家坝,tang'jia'ba
塘坎上,tang'kan'shang
体育场,ti'yu'chang
体育中心,ti'yu'zhong'xin
天然居,tian'ran'ju
同兴路,tong'xing'lu
土地河,tu'di'he
土柱村招呼站,tu'zhu'cun'zhao'hu'zhan
王家大院,wang'jia'da'yuan
威鹏线缆公司,wei'peng'xian'lan'gong'si
卫坪,wei'ping
沃尔玛,wo'er'ma
五车间,wu'che'jian
伍家坡,wu'jia'po
污水厂招呼站,wu'shui'chang'zhao'hu'zhan
五星街,wu'xing'jie
五医院,wu'yi'yuan
武装部招呼站,wu'zhuang'bu'zhao'hu'zhan
犀牛口,xi'niu'kou
西山公园,xi'shan'gong'yuan
西苑街招呼站,xi'yuan'jie'zhao'hu'zhan
下坝,xia'ba
夏洞寺,xia'dong'si
箱板厂,xiang'ban'chang
小市场招呼站,xiao'shi'chang'zhao'hu'zhan
筱溪街,xiao'xi'jie
筱溪街招呼站,xiao'xi'jie'zhao'hu'zhan
新成车业,xin'cheng'che'ye
鑫驰车业,xin'chi'che'ye
新美国际商城,xin'mei'guo'ji'shang'cheng
新桥,xin'qiao
兴大金茂大厦,xing'da'jin'mao'da'sha
雄飞,xiong'fei
旭川中学,xu'chuan'zhong'xue
学苑街,xue'yuan'jie
学苑街招呼站,xue'yuan'jie'zhao'hu'zhan
盐仓,yan'cang
盐厂医院,yan'chang'yi'yuan
盐都花园,yan'du'hua'yuan
盐都花园招呼站,yan'du'hua'yuan'zhao'hu'zhan
颜家湾,yan'jia'wan
盐卡子,yan'qia'zi
盐卡子招呼站,yan'qia'zi'zhao'hu'zhan
沿滩,yan'tan
沿滩便民中心,yan'tan'bian'min'zhong'xin
沿滩加油站,yan'tan'jia'you'zhan
沿滩区委文体广场,yan'tan'qu'wei'wen'ti'guang'chang
沿滩区政府招呼站,yan'tan'qu'zheng'fu'zhao'hu'zhan
杨家冲,yang'jia'chong
一对山,yi'dui'shan
一对山乳业,yi'dui'shan'ru'ye
一对山招呼站,yi'dui'shan'zhao'hu'zhan
怡景园招呼站,yi'jing'yuan'zhao'hu'zhan
一桥,yi'qiao
一桥招呼站,yi'qiao'zhao'hu'zhan
一碗水,yi'wan'shui
一医院,yi'yi'yuan
园丁苑,yuan'ding'yuan
张家坝,zhang'jia'ba
张家花园,zhang'jia'hua'yuan
招呼站,zhao'hu'zhan
制钉厂招呼站,zhi'ding'chang'zhao'hu'zhan
中段,zhong'duan
肿瘤医院,zhong'liu'yi'yuan
钟云山,zhong'yun'shan
周家冲,zhou'jia'chong
竹棚子,zhu'peng'zi
自贡市舞蹈学校,zi'gong'shi'wu'dao'xue'xiao
自贡同心医院,zi'gong'tong'xin'yi'yuan
自贡职业技术学校,zi'gong'zhi'ye'ji'shu'xue'xiao
紫荆花都招呼站,zi'jing'hua'dou'zhao'hu'zhan
紫荆路,zi'jing'lu
