癌细胞,ai'xi'bao
生物电,sheng'wu'dian
生物电流,sheng'wu'dian'liu
生物防治,sheng'wu'fang'zhi
生物工程,sheng'wu'gong'cheng
生物合成,sheng'wu'he'cheng
生物化学,sheng'wu'hua'xue
生物机制,sheng'wu'ji'zhi
生物检测,sheng'wu'jian'ce
生物鉴定,sheng'wu'jian'ding
生物界,sheng'wu'jie
生物节律,sheng'wu'jie'lv
生物科学,sheng'wu'ke'xue
生物控制论,sheng'wu'kong'zhi'lun
生物力学,sheng'wu'li'xue
生物量,sheng'wu'liang
生物品系,sheng'wu'pin'xi
生物平衡,sheng'wu'ping'heng
生物气候,sheng'wu'qi'hou
生物气候论,sheng'wu'qi'hou'lun
生物圈,sheng'wu'quan
生物群落,sheng'wu'qun'luo
生物衰老,sheng'wu'shuai'lao
生物体,sheng'wu'ti
生物效应,sheng'wu'xiao'ying
生物学,sheng'wu'xue
生物遗传学,sheng'wu'yi'chuan'xue
生物医学,sheng'wu'yi'xue
生物钟,sheng'wu'zhong
生长,sheng'zhang
生长曲线,sheng'zhang'qu'xian
生殖细胞,sheng'zhi'xi'bao
噬菌体,shi'jun'ti
食物链,shi'wu'lian
适应性免疫,shi'ying'xing'mian'yi
衰老,shuai'lao
衰老形,shuai'lao'xing
衰退期,shuai'tui'qi
双杆菌,shuang'gan'jun
双球菌,shuang'qiu'jun
水华,shui'hua
水生植物,shui'sheng'zhi'wu
碎屑,sui'xie
糖蛋白,tang'dan'bai
体细胞,ti'xi'bao
体液免疫,ti'ye'mian'yi
天赋免疫,tian'fu'mian'yi
天然免疫,tian'ran'mian'yi
调节基因,tiao'jie'ji'yin
同工酶,tong'gong'mei
同源,tong'yuan
同源染色体,tong'yuan'ran'se'ti
同种免疫,tong'zhong'mian'yi
突变,tu'bian
退化,tui'hua
脱氢酶,tuo'qing'mei
脱水酶,tuo'shui'mei
脱氧核糖核酸,tuo'yang'he'tang'he'suan
外殖体,wai'zhi'ti
微生物,wei'sheng'wu
微生物学,wei'sheng'wu'xue
微生物遗传学,wei'sheng'wu'yi'chuan'xue
无核细胞,wu'he'xi'bao
无生命,wu'sheng'ming
污水生物,wu'shui'sheng'wu
无水酸,wu'shui'suan
物种起源,wu'zhong'qi'yuan
物种形成,wu'zhong'xing'cheng
无滋养水,wu'zi'yang'shui
细胞壁,xi'bao'bi
细胞成分,xi'bao'cheng'fen
细胞分化,xi'bao'fen'hua
细胞分类学,xi'bao'fen'lei'xue
细胞分裂,xi'bao'fen'lie
细胞合并,xi'bao'he'bing
细胞化学,xi'bao'hua'xue
细胞结合,xi'bao'jie'he
细胞免疫,xi'bao'mian'yi
细胞膜,xi'bao'mo
细胞溶解,xi'bao'rong'jie
细胞生理学,xi'bao'sheng'li'xue
细胞生物学,xi'bao'sheng'wu'xue
细胞生长素,xi'bao'sheng'zhang'su
细胞形成,xi'bao'xing'cheng
细胞形态学,xi'bao'xing'tai'xue
细胞学,xi'bao'xue
细胞遗传学,xi'bao'yi'chuan'xue
细胞质,xi'bao'zhi
细菌,xi'jun
细菌病毒,xi'jun'bing'du
细菌传染,xi'jun'chuan'ran
细菌毒素,xi'jun'du'su
细菌接种,xi'jun'jie'zhong
细菌培养,xi'jun'pei'yang
细菌芽孢,xi'jun'ya'bao
细菌作用,xi'jun'zuo'yong
喜水植物,xi'shui'zhi'wu
系统树,xi'tong'shu
夏孢子,xia'bao'zi
纤维素,xian'wei'su
腺细胞,xian'xi'bao
小孢子,xiao'bao'zi
消化酶,xiao'hua'mei
硝化细菌,xiao'hua'xi'jun
小配子,xiao'pei'zi
新达尔文主义,xin'da'er'wen'zhu'yi
性细胞,xing'xi'bao
雄孢子,xiong'bao'zi
雄激素,xiong'ji'su
雄配子,xiong'pei'zi
休眠孢子,xiu'mian'bao'zi
需氧菌,xu'yang'jun
需氧状态,xu'yang'zhuang'tai
血钙,xue'gai
血红蛋白,xue'hong'dan'bai
血浆蛋白,xue'jiang'dan'bai
血清,xue'qing
血清病,xue'qing'bing
血清疗法,xue'qing'liao'fa
血清酶,xue'qing'mei
血清学,xue'qing'xue
血细胞,xue'xi'bao
血纤维蛋白,xue'xian'wei'dan'bai
血原性免疫,xue'yuan'xing'mian'yi
循环进化说,xun'huan'jin'hua'shuo
亚纲,ya'gang
亚科,ya'ke
亚门,ya'men
亚目,ya'mu
亚属,ya'shu
亚种,ya'zhong
演变,yan'bian
厌氧条件,yan'yang'tiao'jian
养分,yang'fen
异常发育,yi'chang'fa'yu
遗传,yi'chuan
遗传变量,yi'chuan'bian'liang
遗传隔离,yi'chuan'ge'li
遗传公式,yi'chuan'gong'shi
遗传进展,yi'chuan'jin'zhan
遗传密码,yi'chuan'mi'ma
遗传品系,yi'chuan'pin'xi
遗传缺陷,yi'chuan'que'xian
遗传生态学,yi'chuan'sheng'tai'xue
遗传特性,yi'chuan'te'xing
遗传物质,yi'chuan'wu'zhi
遗传系统,yi'chuan'xi'tong
遗传性变异,yi'chuan'xing'bian'yi
遗传异常,yi'chuan'yi'chang
遗传因子,yi'chuan'yin'zi
胰蛋白酶,yi'dan'bai'mei
衣原体,yi'yuan'ti
异种免疫,yi'zhong'mian'yi
因子,yin'zi
因子对,yin'zi'dui
诱导酶,you'dao'mei
游动配子,you'dong'pei'zi
有核细胞,you'he'xi'bao
有机酸,you'ji'suan
预防血清,yu'fang'xue'qing
原始种,yuan'shi'zhong
杂交品种,za'jiao'pin'zhong
杂种,za'zhong
杂种群,za'zhong'qun
杂种优势,za'zhong'you'shi
藻花,zao'hua
藻华,zao'hua
早衰,zao'shuai
真菌,zhen'jun
真菌病毒,zhen'jun'bing'du
政治生理学,zheng'zhi'sheng'li'xue
致癌病毒,zhi'ai'bing'du
脂蛋白,zhi'dan'bai
脂肪酶,zhi'fang'mei
脂肪酸,zhi'fang'suan
脂肪组织,zhi'fang'zu'zhi
支原体,zhi'yuan'ti
中等耗水植物,zhong'deng'hao'shui'zhi'wu
中等兹育湖,zhong'deng'zi'yu'hu
中间代谢,zhong'jian'dai'xie
种族,zhong'zu
自动免疫性,zi'dong'mian'yi'xing
子菌,zi'jun
自然更新,zi'ran'geng'xin
自然选择,zi'ran'xuan'ze
自然演替,zi'ran'yan'ti
自溶酸,zi'rong'suan
自体毒素,zi'ti'du'su
自游生物,zi'you'sheng'wu
组蛋白,zu'dan'bai
组织,zu'zhi
组织病理学,zu'zhi'bing'li'xue
组织蛋白酶,zu'zhi'dan'bai'mei
组织发生,zu'zhi'fa'sheng
组织分化,zu'zhi'fen'hua
组织化学,zu'zhi'hua'xue
组织免疫,zu'zhi'mian'yi
组织溶解,zu'zhi'rong'jie
组织细胞,zu'zhi'xi'bao
组织形态学,zu'zhi'xing'tai'xue
组织学,zu'zhi'xue
