爱民医院,ai'min'yi'yuan
鲁竹坝,lu'zhu'ba
落仙洞,luo'xian'dong
旅游专线规划中,lv'you'zhuan'xian'gui'hua'zhong
马鞍山,ma'an'shan
麻场,ma'chang
麻纺厂,ma'fang'chang
麻纺厂现行终点,ma'fang'chang'xian'xing'zhong'dian
马路口,ma'lu'kou
茅坝,mao'ba
茅坝村委会,mao'ba'cun'wei'hui
毛店子,mao'dian'zi
么堰湾,me'yan'wan
面粉厂,mian'fen'chang
民爆站,min'bao'zhan
民院附属医院,min'yuan'fu'shu'yi'yuan
沐抚,mu'fu
南门大桥,nan'men'da'qiao
南门加油站,nan'men'jia'you'zhan
楠木园,nan'mu'yuan
潘家店,pan'jia'dian
平桥,ping'qiao
旗峰坝,qi'feng'ba
旗峰加油站,qi'feng'jia'you'zhan
七里坪,qi'li'ping
青岗树,qing'gang'shu
清江凤凰城,qing'jiang'feng'huang'cheng
清江桥,qing'jiang'qiao
清江种业,qing'jiang'zhong'ye
人民路口,ren'min'lu'kou
日内瓦风情苑,ri'nei'wa'feng'qing'yuan
三孔桥优抚医院,san'kong'qiao'you'fu'yi'yuan
盛世家园小区,sheng'shi'jia'yuan'xiao'qu
石板溪,shi'ban'xi
市公安局,shi'gong'an'ju
市公安局宿舍,shi'gong'an'ju'su'she
世纪花园,shi'ji'hua'yuan
市检察院,shi'jian'cha'yuan
市交警大队,shi'jiao'jing'da'dui
石门坎,shi'men'kan
市体育场,shi'ti'yu'chang
石油公司,shi'you'gong'si
市政府,shi'zheng'fu
市中心医院,shi'zhong'xin'yi'yuan
施州大桥,shi'zhou'da'qiao
收费站,shou'fei'zhan
书院,shu'yuan
双耳洞,shuang'er'dong
水泥厂,shui'ni'chang
梭布垭,suo'bu'ya
谭家坝,tan'jia'ba
谭家坝隧道,tan'jia'ba'sui'dao
唐家弯铁路桥,tang'jia'wan'tie'lu'qiao
天桥,tian'qiao
头道水,tou'dao'shui
土桥坝,tu'qiao'ba
土司城,tu'si'cheng
屯堡,tun'bao
瓦店子,wa'dian'zi
瓦庙子,wa'miao'zi
翁家湾,weng'jia'wan
五峰山,wu'feng'shan
舞阳坝,wu'yang'ba
舞阳坝客运站,wu'yang'ba'ke'yun'zhan
舞阳小学,wu'yang'xiao'xue
硒都广场,xi'dou'guang'chang
喜福汇家居广场,xi'fu'hui'jia'ju'guang'chang
下官田,xia'guan'tian
乡政府,xiang'zheng'fu
小渡船,xiao'du'chuan
小渡船小学,xiao'du'chuan'xiao'xue
小渡船中学,xiao'du'chuan'zhong'xue
小十街,xiao'shi'jie
小学,xiao'xue
新兴电脑城,xin'xing'dian'nao'cheng
许家坪机场路口,xu'jia'ping'ji'chang'lu'kou
血站,xue'zhan
鸭子塘,ya'zi'tang
盐水溪,yan'shui'xi
堰塘湾,yan'tang'wan
阳光花园,yang'guang'hua'yuan
阳雀坝,yang'que'ba
幺堰湾,yao'yan'wan
叶挺纪念馆,ye'ting'ji'nian'guan
移动公司,yi'dong'gong'si
一水厂,yi'shui'chang
一碗水,yi'wan'shui
月亮岩,yue'liang'yan
赵家坝,zhao'jia'ba
纸厂,zhi'chang
芝麻岭,zhi'ma'ling
种子站,zhong'zi'zhan
州地税局,zhou'di'shui'ju
州电力总公司,zhou'dian'li'zong'gong'si
州二中,zhou'er'zhong
州公安局,zhou'gong'an'ju
州公路局,zhou'gong'lu'ju
周家田,zhou'jia'tian
州劳动就业局,zhou'lao'dong'jiu'ye'ju
州农科院,zhou'nong'ke'yuan
州体育馆,zhou'ti'yu'guan
州委,zhou'wei
州委党校,zhou'wei'dang'xiao
州卫生局,zhou'wei'sheng'ju
州中心医院,zhou'zhong'xin'yi'yuan
朱家坳,zhu'jia'ao
朱砂溪,zhu'sha'xi
竹园坡,zhu'yuan'po
