啊得得,a'de'de
脚猪,jiao'zhu
接新迎子,jie'xin'ying'zi
紧倒,jin'dao
今年个儿,jin'nian'ge'er
今年子,jin'nian'zi
今瓦西,jin'wa'xi
今晚夕,jin'wan'xi
警防,jing'fang
惊风忽扯,jing'feng'hu'che
惊风火扯,jing'feng'huo'che
京果铺,jing'guo'pu
惊叫唤,jing'jiao'huan
精灵,jing'ling
经使,jing'shi
精瘦,jing'shou
经佑,jing'you
九斗碗,jiu'dou'wan
酒米饭,jiu'mi'fan
酒窝儿,jiu'wo'er
卷人,juan'ren
咔咔壳壳,ka'ka'ke'ke
开黄腔,kai'huang'qiang
开腔,kai'qiang
看倒,kan'dao
坎肩子,kan'jian'zi
砍脑壳,kan'nao'ke
考惜球,kao'xi'qiu
客膝头,ke'xi'tou
磕膝头儿,ke'xi'tou'er
空了吹,kong'le'chui
孔明乡,kong'ming'xiang
抠的很,kou'de'hen
抠门,kou'men
跍到,ku'dao
垮杆,kua'gan
快点儿,kuai'dian'er
诓睡着,kuang'shui'zhao
拉豁,la'huo
拉稀摆带,la'xi'bai'dai
来得陡,lai'de'dou
癞疙宝,lai'ge'bao
来尿狗儿,lai'niao'gou'er
癞皮狗儿,lai'pi'gou'er
懒虫子,lan'chong'zi
懒得烧蛇吃,lan'de'shao'she'chi
烂牙巴,lan'ya'ba
拦中半腰,lan'zhong'ban'yao
浪高,lang'gao
啷个,lang'ge
朗个,lang'ge
啷个嘛,lang'ge'ma
浪块,lang'kuai
浪块起,lang'kuai'qi
老把子,lao'ba'zi
老庚,lao'geng
老汉儿,lao'han'er
老坎,lao'kan
痨老水子,lao'lao'shui'zi
老练,lao'lian
老南桥,lao'nan'qiao
老牛吃嫩草,lao'niu'chi'nen'cao
捞前,lao'qian
捞轻,lao'qing
老人公,lao'ren'gong
老人婆,lao'ren'po
老水子,lao'shui'zi
痨死,lao'si
老太娘,lao'tai'niang
老太爷,lao'tai'ye
醪糟蛋,lao'zao'dan
老丈母,lao'zhang'mu
老丈人,lao'zhang'ren
姥子,lao'zi
老子,lao'zi
老嘴,lao'zui
肋巴骨,lei'ba'gu
李扯火,li'che'huo
梨儿,li'er
哩拉,li'la
理抹,li'mo
连二杆,lian'er'gan
莲花白,lian'hua'bai
两耳屎,liang'er'shi
亮火虫,liang'huo'chong
两娘母,liang'niang'mu
亮皮子,liang'pi'zi
亮爽,liang'shuang
两爷子,liang'ye'zi
临济镇,lin'ji'zhen
临邛镇,lin'qiong'zhen
流鼻子,liu'bi'zi
绺倒不放,liu'dao'bu'fang
绺得紧,liu'de'jin
溜肩膀,liu'jian'bang
绺起,liu'qi
溜酸,liu'suan
龙拱车,long'gong'che
龙门阵,long'men'zhen
垄门子,long'men'zi
笼起,long'qi
瘘瘦,lou'shou
落教,luo'jiao
落气,luo'qi
啰唣,luo'zao
码不实在,ma'bu'shi'zai
马倒,ma'dao
蚂嘟子,ma'du'zi
麻广广,ma'guang'guang
麻螂子,ma'lang'zi
麻了,ma'le
马连骨,ma'lian'gu
麻麻亮,ma'ma'liang
麻批,ma'pi
马起脸,ma'qi'lian
麻人,ma'ren
麻窝子,ma'wo'zi
妈哟,ma'yo
卖勾子,mai'gou'zi
慢慢摆,man'man'bai
铓铓,mang'mang
莽起是整,mang'qi'shi'zheng
毛厕,mao'ce
猫儿狐,mao'er'hu
毛根儿,mao'gen'er
毛焦火辣,mao'jiao'huo'la
毛了,mao'le
冒皮皮,mao'pi'pi
毛起,mao'qi
猫起麻起,mao'qi'ma'qi
毛血旺,mao'xue'wang
么姑娘,me'gu'niang
没得,mei'de
没得点样子气气,mei'de'dian'yang'zi'qi'qi
没得搞,mei'de'gao
煤油灯,mei'you'deng
煤油灯儿,mei'you'deng'er
没长醒,mei'zhang'xing
闷墩,men'dun
