丁坝,ding'ba
二甲酚橙,er'jia'fen'cheng
二甲弗林,er'jia'fu'lin
二甲基丙酰胺,er'jia'ji'bing'xian'an
二价体,er'jia'ti
二甲亚枫,er'jia'ya'feng
二尖瓣,er'jian'ban
二尖瓣关闭不全,er'jian'ban'guan'bi'bu'quan
二尖瓣交界分离术,er'jian'ban'jiao'jie'fen'li'shu
二尖瓣狭窄,er'jian'ban'xia'zhai
二江,er'jiang
二进制,er'jin'zhi
二京,er'jing
二京赋,er'jing'fu
二九惨案,er'jiu'can'an
二郎山,er'lang'shan
二郎神,er'lang'shen
二老,er'lao
二棱大麦,er'leng'da'mai
二立,er'li
二里岗遗址,er'li'gang'yi'zhi
二里头遗址,er'li'tou'yi'zhi
二连浩特,er'lian'hao'te
二磷酸核酮糖羧化酶,er'lin'suan'he'tong'tang'suo'hua'mei
二琉丙醇,er'liu'bing'chun
二硫化钼,er'liu'hua'mu
二硫化碳,er'liu'hua'tan
二流子,er'liu'zi
二陆,er'lu
二律背反,er'lv'bei'fan
二氯喹啉酸,er'lv'kui'lin'suan
二氯乙烷,er'lv'yi'wan
二毛,er'mao
二茂铬,er'mao'ge
二茂基二氯化钛,er'mao'ji'er'lv'hua'tai
二茂铁,er'mao'tie
二面角,er'mian'jiao
二妙丸,er'miao'wan
二名法,er'ming'fa
二南,er'nan
二难推理,er'nan'tui'li
二年生植物,er'nian'sheng'zhi'wu
二圃制,er'pu'zhi
二气,er'qi
二七宝银,er'qi'bao'yin
二七惨案,er'qi'can'an
二七大罢工,er'qi'da'ba'gong
二歧分模式,er'qi'fen'mo'shi
二千石,er'qian'shi
二羟丙茶碱,er'qiang'bing'cha'jian
二桥,er'qiao
二乔玉兰,er'qiao'yu'lan
二嗪磷,er'qin'lin
二泉映月,er'quan'ying'yue
二人台,er'ren'tai
二人转,er'ren'zhuan
二三,er'san
二三子,er'san'zi
二色,er'se
二色补血草,er'se'bu'xue'cao
二陕,er'shan
二氏,er'shi
二十八宿,er'shi'ba'xiu
二十等爵,er'shi'deng'jue
二十二省,er'shi'er'sheng
二十二史,er'shi'er'shi
二十二子,er'shi'er'zi
二十年目睹之怪现状,er'shi'nian'mu'du'zhi'guai'xian'zhuang
二十七松堂集,er'shi'qi'song'tang'ji
二十七宿,er'shi'qi'su
二十三路,er'shi'san'lu
二十世纪大舞台,er'shi'shi'ji'da'wu'tai
二十世纪的音系学,er'shi'shi'ji'de'yin'xi'xue
二十世纪福克斯影片公司,er'shi'shi'ji'fu'ke'si'ying'pian'gong'si
二十世纪之支那,er'shi'shi'ji'zhi'zhi'na
二十四国集团,er'shi'si'guo'ji'tuan
二十四节气,er'shi'si'jie'qi
二十四桥,er'shi'si'qiao
二十四史,er'shi'si'shi
二十四诗品,er'shi'si'shi'pin
二十四孝,er'shi'si'xiao
二十四衙门,er'shi'si'ya'men
二十四要,er'shi'si'yao
二十天,er'shi'tian
二十五史,er'shi'wu'shi
二十五史补编,er'shi'wu'shi'bu'bian
二十一史,er'shi'yi'shi
二十一条,er'shi'yi'tiao
二竖,er'shu
二桃杀三士,er'tao'sha'san'shi
二体问题,er'ti'wen'ti
二条叶甲,er'tiao'ye'jia
二庭,er'ting
二万五千里长征,er'wan'wu'qian'li'chang'zheng
二王八司马,er'wang'ba'si'ma
二王庙,er'wang'miao
二维材料,er'wei'cai'liao
二为方针,er'wei'fang'zhen
二五府券,er'wu'fu'quan
二五减租,er'wu'jian'zu
二五耦,er'wu'ou
二烯烃,er'xi'ting
二向色性,er'xiang'se'xing
二项式定理,er'xiang'shi'ding'li
二殽,er'xiao
二硝基氯苯,er'xiao'ji'lv'ben
二硝基重氮酚,er'xiao'ji'zhong'dan'fen
二心,er'xin
二姓,er'xing
二雅,er'ya
二氧化铂,er'yang'hua'bo
二氧化锆,er'yang'hua'gao
二氧化硅,er'yang'hua'gui
二氧化硫,er'yang'hua'liu
二氧化硫污染,er'yang'hua'liu'wu'ran
二氧化锰,er'yang'hua'meng
二氧化铅,er'yang'hua'qian
二氧化钛,er'yang'hua'tai
二氧化碳,er'yang'hua'tan
二氧化碳电弧焊,er'yang'hua'tan'dian'hu'han
二氧化碳激光器,er'yang'hua'tan'ji'guang'qi
二氧化碳结合力测定,er'yang'hua'tan'jie'he'li'ce'ding
二氧化碳气候转暖理论,er'yang'hua'tan'qi'hou'zhuan'nuan'li'lun
二氧化碳施肥,er'yang'hua'tan'shi'fei
二氧六环,er'yang'liu'huan
二叶亭四迷,er'ye'ting'si'mi
二仪,er'yi
二因素说,er'yin'su'shuo
二酉堂丛书,er'you'tang'cong'shu
二元化学武器,er'yuan'hua'xue'wu'qi
二元经济,er'yuan'jing'ji
二元论,er'yuan'lun
二元神教,er'yuan'shen'jiao
二元酸,er'yuan'suan
二元制,er'yuan'zhi
二月抗争,er'yue'kang'zheng
二月逆流,er'yue'ni'liu
二月事件,er'yue'shi'jian
二月提纲,er'yue'ti'gang
二至点,er'zhi'dian
二值逻辑,er'zhi'luo'ji
二至圈,er'zhi'quan
二至丸,er'zhi'wan
二轴晶,er'zhou'jing
二子登舟,er'zi'deng'zhou
二罪从重,er'zui'cong'zhong
七哀诗,qi'ai'shi
七艕,qi'bang
七宝,qi'bao
七步,qi'bu
七部乐,qi'bu'le
七尺,qi'chi
七冲门,qi'chong'men
七出,qi'chu
七大洲,qi'da'zhou
七德,qi'de
七颠八倒,qi'dian'ba'dao
七二六运动,qi'er'liu'yun'dong
七发,qi'fa
七番,qi'fan
七方,qi'fang
七佛,qi'fo
七公,qi'gong
七古,qi'gu
七国经济最高级会议,qi'guo'jing'ji'zui'gao'ji'hui'yi
七国考,qi'guo'kao
七国时代,qi'guo'shi'dai
七海,qi'hai
七和弦,qi'he'xian
七家后汉书,qi'jia'hou'han'shu
七谏,qi'jian
七件事,qi'jian'shi
七角井,qi'jiao'jing
七经,qi'jing
七经小传,qi'jing'xiao'zhuan
七绝,qi'jue
七君子事件,qi'jun'zi'shi'jian
七科谪,qi'ke'zhe
七老图山,qi'lao'tu'shan
七里海,qi'li'hai
七里泷,qi'li'long
七厘散,qi'li'san
七录,qi'lu
七略,qi'lue
七律,qi'lv
七庙,qi'miao
七闽,qi'min
七年战争,qi'nian'zhan'zheng
七女湖起义,qi'nv'hu'qi'yi
七盘关,qi'pan'guan
七盘舞,qi'pan'wu
七七,qi'qi
七七事变,qi'qi'shi'bian
七七宪章运动,qi'qi'xian'zhang'yun'dong
七千人大会,qi'qian'ren'da'hui
七窍,qi'qiao
七巧板,qi'qiao'ban
七窍生烟,qi'qiao'sheng'yan
七桥问题,qi'qiao'wen'ti
七情,qi'qing
七丘,qi'qiu
七日来复,qi'ri'lai'fu
七腮鳗,qi'sai'man
七杀,qi'sha
七伤,qi'shang
七声,qi'sheng
七省号起义,qi'sheng'hao'qi'yi
七十二地煞,qi'shi'er'di'sha
七十二行,qi'shi'er'hang
七十二侯,qi'shi'er'hou
七十二冢,qi'shi'er'zhong
七十毫米电影,qi'shi'hao'mi'dian'ying
七十家赋钞,qi'shi'jia'fu'chao
七十七国集团,qi'shi'qi'guo'ji'tuan
七十子,qi'shi'zi
七台河,qi'tai'he
七王,qi'wang
七纬,qi'wei
七夕,qi'xi
七侠五义,qi'xia'wu'yi
七弦琴,qi'xian'qin
七襄,qi'xiang
七香车,qi'xiang'che
七项全能运动,qi'xiang'quan'neng'yun'dong
七星,qi'xing
七星草,qi'xing'cao
七星关,qi'xing'guan
七星瓢虫,qi'xing'piao'chong
七星期战争,qi'xing'qi'zhan'zheng
七星神,qi'xing'shen
七星诗社,qi'xing'shi'she
七星岩,qi'xing'yan
七星鱼,qi'xing'yu
七星针,qi'xing'zhen
七修类稿,qi'xiu'lei'gao
七言诗,qi'yan'shi
七曜,qi'yao
七曜历,qi'yao'li
七叶树,qi'ye'shu
七叶一枝花,qi'ye'yi'zhi'hua
七艺,qi'yi
七一五反革命政变,qi'yi'wu'fan'ge'ming'zheng'bian
七音,qi'yin
七音略,qi'yin'lue
七月,qi'yue
七月二十日事件,qi'yue'er'shi'ri'shi'jian
七月革命,qi'yue'ge'ming
七月派,qi'yue'pai
七月王朝,qi'yue'wang'chao
七战七捷,qi'zhan'qi'jie
七政,qi'zheng
七致,qi'zhi
七志,qi'zhi
七指蕨,qi'zhi'jue
七洲,qi'zhou
七洲洋,qi'zhou'yang
七纵七禽,qi'zong'qi'qin
七族,qi'zu
三巴,san'ba
三宝,san'bao
三表,san'biao
三才,san'cai
三仓,san'cang
三辰,san'chen
三尺,san'chi
三川,san'chuan
三春,san'chun
三刺,san'ci
三代,san'dai
三刀,san'dao
三岛,san'dao
三典,san'dian
三东,san'dong
三冬,san'dong
三多,san'duo
三法,san'fa
三防,san'fang
三坟,san'fen
三伏,san'fu
三纲,san'gang
三革,san'ge
三更,san'geng
三公,san'gong
三古,san'gu
三孤,san'gu
三关,san'guan
三官,san'guan
三光,san'guang
三归,san'gui
三国,san'guo
三行,san'hang
三昊,san'hao
三河,san'he
三户,san'hu
三季,san'ji
三江,san'jiang
三角,san'jiao
三交,san'jiao
三戒,san'jie
三界,san'jie
三径,san'jing
三经,san'jing
三九,san'jiu
三莒,san'ju
三军,san'jun
三考,san'kao
三老,san'lao
三乐,san'le
三吏,san'li
三礼,san'li
三良,san'liang
三灵,san'ling
三六,san'liu
三麦,san'mai
三昧,san'mei
三门,san'men
三苗,san'miao
三明,san'ming
三木,san'mu
三品,san'pin
三齐,san'qi
三七,san'qi
三迁,san'qian
三秋,san'qiu
三仁,san'ren
三山,san'shan
三少,san'shao
三舍,san'she
三牲,san'sheng
三生,san'sheng
三省,san'sheng
三世,san'shi
三事,san'shi
三史,san'shi
三始,san'shi
三尸,san'shi
三师,san'shi
三时,san'shi
三水,san'shui
三司,san'si
三巳,san'si
三思,san'si
三苏,san'su
三台,san'tai
三体,san'ti
三王,san'wang
三卫,san'wei
三畏,san'wei
三五,san'wu
三峡,san'xia
三弦,san'xian
三相,san'xiang
三姓,san'xing
三性,san'xing
三星,san'xing
三秀,san'xiu
三玄,san'xuan
三学,san'xue
三亚,san'ya
三岩,san'yan
三阳,san'yang
三杨,san'yang
三艺,san'yi
三衣,san'yi
三迤,san'yi
三易,san'yi
三阴,san'yin
三因,san'yin
三友,san'you
三余,san'yu
三屿,san'yu
三远,san'yuan
三元,san'yuan
三垣,san'yuan
三张,san'zhang
三政,san'zheng
三正,san'zheng
三至,san'zhi
三众,san'zhong
三终,san'zhong
一八九一年社会民主党纲领草案批判,yi'ba'jiu'yi'nian'she'hui'min'zhu'dang'gang'ling'cao'an'pi'pan
一把伞南星,yi'ba'san'nan'xing
一八四四年经济学哲学手稿,yi'ba'si'si'nian'jing'ji'xue'zhe'xue'shou'gao
一八四一年至一八五年的法兰西阶级斗争,yi'ba'si'yi'nian'zhi'yi'ba'wu'nian'de'fa'lan'xi'jie'ji'dou'zheng
一百六,yi'bai'liu
一败涂地,yi'bai'tu'di
一般,yi'ban
一斑,yi'ban
一般等价物,yi'ban'deng'jia'wu
一般法,yi'ban'fa
一般费用,yi'ban'fei'yong
一般规律,yi'ban'gui'lv
一般价值形式,yi'ban'jia'zhi'xing'shi
一般交易条件,yi'ban'jiao'yi'tiao'jian
一般解释学,yi'ban'jie'shi'xue
一般均衡,yi'ban'jun'heng
一般利润率,yi'ban'li'run'lv
一般利润率规律,yi'ban'li'run'lv'gui'lv
一般力学,yi'ban'li'xue
一般提款权,yi'ban'ti'kuan'quan
一般拓扑学,yi'ban'tuo'pu'xue
一瓣香,yi'ban'xiang
一般训练,yi'ban'xun'lian
一壁厢,yi'bi'xiang
一表人才,yi'biao'ren'cai
一波三折,yi'bo'san'zhe
一步成像摄影,yi'bu'cheng'xiang'she'ying
一步登天,yi'bu'deng'tian
一步摄影,yi'bu'she'ying
一部准备法,yi'bu'zhun'bei'fa
一不做二不休,yi'bu'zuo'er'bu'xiu
一层楼,yi'ceng'lou
一阐提迦,yi'chan'ti'jia
一倡百和,yi'chang'bai'he
一倡三叹,yi'chang'san'tan
一尘不染,yi'chen'bu'ran
一成不变,yi'cheng'bu'bian
一成一旅,yi'cheng'yi'lv
一筹莫展,yi'chou'mo'zhan
一川,yi'chuan
一椽,yi'chuan
一串红,yi'chuan'hong
一串铃法,yi'chuan'ling'fa
一次采油,yi'ci'cai'you
一次方程,yi'ci'fang'cheng
一次革命论,yi'ci'ge'ming'lun
一次回路,yi'ci'hui'lu
一次结实植物,yi'ci'jie'shi'zhi'wu
一赐乐业教,yi'ci'le'ye'jiao
一次能源,yi'ci'neng'yuan
一蹴,yi'cu
一寸,yi'cun
一代风流,yi'dai'feng'liu
一代楷模,yi'dai'kai'mo
一旦,yi'dan
一党制,yi'dang'zhi
一刀两断,yi'dao'liang'duan
一得,yi'de
一得之愚,yi'de'zhi'yu
一递里,yi'di'li
一点论,yi'dian'lun
一定,yi'ding
一萼红,yi'e'hong
一二,yi'er
一二八抗战,yi'er'ba'kang'zhan
一二八事变,yi'er'ba'shi'bian
一二九运动,yi'er'jiu'yun'dong
一二一运动,yi'er'yi'yun'dong
一发,yi'fa
一发千钧,yi'fa'qian'jun
一帆风顺,yi'fan'feng'shun
一饭千金,yi'fan'qian'jin
一方,yi'fang
一分为二,yi'fen'wei'er
一佛出世二佛涅槃,yi'fo'chu'shi'er'fo'nie'pan
一夫,yi'fu
一夫当关万夫莫开,yi'fu'dang'guan'wan'fu'mo'kai
一夫多妻制,yi'fu'duo'qi'zhi
一夫一妻制,yi'fu'yi'qi'zhi
一傅众咻,yi'fu'zhong'xiu
一概,yi'gai
一干,yi'gan
一个国家两种制度,yi'ge'guo'jia'liang'zhong'zhi'du
一个人的遭遇,yi'ge'ren'de'zao'yu
一个世纪儿的忏悔,yi'ge'shi'ji'er'de'chan'hui
一个中心两个基本点,yi'ge'zhong'xin'liang'ge'ji'ben'dian
一顾倾城,yi'gu'qing'cheng
一鼓作气,yi'gu'zuo'qi
一贯,yi'guan
一贯道,yi'guan'dao
一贯肥育法,yi'guan'fei'yu'fa
一轨,yi'gui
一国两制,yi'guo'liang'zhi
一国三公,yi'guo'san'gong
一毫,yi'hao
一呼百诺,yi'hu'bai'nuo
一狐之腋,yi'hu'zhi'ye
一斛珠,yi'hu'zhu
一化二放,yi'hua'er'fang
一麾出守,yi'hui'chu'shou
一挥而就,yi'hui'er'jiu
一火,yi'huo
一己,yi'ji
一纪,yi'ji
一级相变,yi'ji'xiang'bian
一基因一多肽假设,yi'ji'yin'yi'duo'tai'jia'she
一基因一酶假设,yi'ji'yin'yi'mei'jia'she
一技之长,yi'ji'zhi'chang
一家眷属,yi'jia'juan'shu
一家之言,yi'jia'zhi'yan
一间,yi'jian
一剪梅,yi'jian'mei
一见如故,yi'jian'ru'gu
一箭双雕,yi'jian'shuang'diao
一见喜,yi'jian'xi
一江春水向东流,yi'jiang'chun'shui'xiang'dong'liu
一江风,yi'jiang'feng
一江山岛,yi'jiang'shan'dao
一江山岛战役,yi'jiang'shan'dao'zhan'yi
一角兽,yi'jiao'shou
一介,yi'jie
一径,yi'jing
一九六年莫斯科声明,yi'jiu'liu'nian'mo'si'ke'sheng'ming
一九五七年莫斯科宣言,yi'jiu'wu'qi'nian'mo'si'ke'xuan'yan
一举两得,yi'ju'liang'de
一蹶不振,yi'jue'bu'zhen
一决雌雄,yi'jue'ci'xiong
一刻千金,yi'ke'qian'jin
一孔之见,yi'kong'zhi'jian
一口,yi'kou
一口钟,yi'kou'zhong
一匡,yi'kuang
一鲲身,yi'kun'shen
一来,yi'lai
一览图,yi'lan'tu
一劳永逸,yi'lao'yong'yi
一粒小麦,yi'li'xiao'mai
一了百当,yi'liao'bai'dang
一了百了,yi'liao'bai'liao
一列式推带法,yi'lie'shi'tui'dai'fa
一鳞半爪,yi'lin'ban'zhao
一菱已足,yi'ling'yi'zu
一溜烟,yi'liu'yan
一龙一蛇,yi'long'yi'she
一路哭,yi'lu'ku
一落千丈,yi'luo'qian'zhang
一落索,yi'luo'suo
一律,yi'lv
一马当先,yi'ma'dang'xian
一脉相传,yi'mai'xiang'chuan
一毛不拔,yi'mao'bu'ba
一门,yi'men
一迷,yi'mi
一面之交,yi'mian'zhi'jiao
一命,yi'ming
一鸣惊人,yi'ming'jing'ren
一抹,yi'mo
一目,yi'mu
一目了然,yi'mu'liao'ran
一木难支,yi'mu'nan'zhi
一目十行,yi'mu'shi'hang
一念,yi'nian
一年蓬,yi'nian'peng
一年生植物,yi'nian'sheng'zhi'wu
一宁,yi'ning
一弄,yi'nong
一诺千金,yi'nuo'qian'jin
一捧雪,yi'peng'xue
一偏,yi'pian
一片冰心,yi'pian'bing'xin
一瞥,yi'pie
一品红,yi'pin'hong
一贫如洗,yi'pin'ru'xi
一平浪,yi'ping'lang
一抔土,yi'pou'tu
一曝十寒,yi'pu'shi'han
一齐,yi'qi
一气,yi'qi
一妻多夫制,yi'qi'duo'fu'zhi
一气呵成,yi'qi'he'cheng
一千零一夜,yi'qian'ling'yi'ye
一窍不通,yi'qiao'bu'tong
一切经音义,yi'qie'jing'yin'yi
一切险,yi'qie'xian
一芹,yi'qin
一琴一鹤,yi'qin'yi'he
一丘之貉,yi'qiu'zhi'he
一曲,yi'qu
一然,yi'ran
一日九迁,yi'ri'jiu'qian
一日千里,yi'ri'qian'li
一日三秋,yi'ri'san'qiu
一日之长,yi'ri'zhi'chang
一日之雅,yi'ri'zhi'ya
一戎,yi'rong
一戎衣,yi'rong'yi
一霎,yi'sha
一山,yi'shan
一神教,yi'shen'jiao
一生,yi'sheng
一眚,yi'sheng
一生人,yi'sheng'ren
一世,yi'shi
一时,yi'shi
一是,yi'shi
一事不再理,yi'shi'bu'zai'li
一视同仁,yi'shi'tong'ren
一树百获,yi'shu'bai'huo
一瞬,yi'shun
一丝不苟,yi'si'bu'gou
一丝不挂,yi'si'bu'gua
一四库券,yi'si'ku'quan
一体,yi'ti
一体化经营战略,yi'ti'hua'jing'ying'zhan'lue
一体化理论,yi'ti'hua'li'lun
一条安达鲁狗,yi'tiao'an'da'lu'gou
一条鞭法,yi'tiao'bian'fa
一统,yi'tong
一团和气,yi'tuan'he'qi
一往,yi'wang
一王,yi'wang
一网打尽,yi'wang'da'jin
一往情深,yi'wang'qing'shen
一苇,yi'wei
一味,yi'wei
一位论派,yi'wei'lun'pai
一窝蜂,yi'wo'feng
一无长物,yi'wu'chang'wu
一误再误,yi'wu'zai'wu
一息,yi'xi
一昔,yi'xi
一席之地,yi'xi'zhi'di
一饷,yi'xiang
一向,yi'xiang
一向宗徒暴动,yi'xiang'zong'tu'bao'dong
一蟹不如一蟹,yi'xie'bu'ru'yi'xie
一泻千里,yi'xie'qian'li
一心,yi'xin
一心一意,yi'xin'yi'yi
一行,yi'xing
一性论派,yi'xing'lun'pai
一星终,yi'xing'zhong
一行作吏,yi'xing'zuo'li
一薰一莸,yi'xun'yi'you
一言既出驷马难追,yi'yan'ji'chu'si'ma'nan'zhui
一言九鼎,yi'yan'jiu'ding
一言以蔽之,yi'yan'yi'bi'zhi
一氧化镍,yi'yang'hua'nie
一氧化碳,yi'yang'hua'tan
一氧化碳污染,yi'yang'hua'tan'wu'ran
一氧化碳中毒,yi'yang'hua'tan'zhong'du
一阳来复,yi'yang'lai'fu
一阳生,yi'yang'sheng
一叶,yi'ye
一叶障目,yi'ye'zhang'mu
一叶知秋,yi'ye'zhi'qiu
一艺,yi'yi
一一,yi'yi
一衣带水,yi'yi'dai'shui
一意孤行,yi'yi'gu'xing
一一映射,yi'yi'ying'she
一阴生,yi'yin'sheng
一饮一啄,yi'yin'yi'zhuo
一应,yi'ying
一又,yi'you
一隅,yi'yu
一元,yi'yuan
一元大武,yi'yuan'da'wu
一元方程,yi'yuan'fang'cheng
一元论,yi'yuan'lun
一元论历史观,yi'yuan'lun'li'shi'guan
一元酸,yi'yuan'suan
一院制,yi'yuan'zhi
一月风暴,yi'yue'feng'bao
一张一弛,yi'zhang'yi'chi
一朝一夕,yi'zhao'yi'xi
一辙,yi'zhe
一致,yi'zhi
一掷,yi'zhi
一枝,yi'zhi
一知半解,yi'zhi'ban'jie
一指禅推法,yi'zhi'chan'tui'fa
一枝春,yi'zhi'chun
一枝蒿,yi'zhi'hao
一枝花,yi'zhi'hua
一枝黄花,yi'zhi'huang'hua
一支箭,yi'zhi'jian
一致收敛,yi'zhi'shou'lian
一之谓甚,yi'zhi'wei'shen
一种,yi'zhong
一终,yi'zhong
一轴晶,yi'zhou'jing
一字褒贬,yi'zi'bao'bian
一字千金,yi'zi'qian'jin
一字师,yi'zi'shi
一字王,yi'zi'wang
一字重音说,yi'zi'zhong'yin'shuo
一祖三宗,yi'zu'san'zong
一昨,yi'zuo
