安身乐业,an'shen'le'ye
兴衰际遇,xing'shuai'ji'yu
形体,xing'ti
行止,xing'zhi
凶恶,xiong'e
须得,xu'de
须眉,xu'mei
艳赋,yan'fu
炎凉世态,yan'liang'shi'tai
眼目,yan'mu
野史,ye'shi
也是宝物,ye'shi'bao'wu
一把辛酸泪,yi'ba'xin'suan'lei
一遍,yi'bian
一并,yi'bing
一段,yi'duan
一二等,yi'er'deng
一番,yi'fan
以及,yi'ji
一技无成,yi'ji'wu'cheng
一家,yi'jia
一见便知,yi'jian'bian'zhi
一绝,yi'jue
一看,yi'kan
亦可,yi'ke
易名,yi'ming
一日,yi'ri
亦如,yi'ru
一僧一道,yi'seng'yi'dao
衣食,yi'shi
一时,yi'shi
亦是,yi'shi
一事无成,yi'shi'wu'cheng
一首,yi'shou
以往,yi'wang
一味,yi'wei
意为,yi'wei
亦无,yi'wu
异样,yi'yang
一一,yi'yi
一隅,yi'yu
意欲,yi'yu
以至,yi'zhi
以致,yi'zhi
一种,yi'zhong
因见,yin'jian
因空见色,yin'kong'jian'se
淫滥,yin'lan
隐去,yin'qu
淫邀艳约,yin'yao'yan'yue
莹洁,ying'jie
又非,you'fei
有个,you'ge
有工夫,you'gong'fu
又何妨,you'he'fang
由色生情,you'se'sheng'qing
有些,you'xie
有些趣味,you'xie'qu'wei
又有,you'you
又有何难,you'you'he'nan
有余,you'yu
又云,you'yun
饫甘餍肥,yu'gan'yan'fei
茒椽蓬牖,yuan'chuan'peng'you
原来,yuan'lai
原委,yuan'wei
远远,yuan'yuan
阅者,yue'zhe
云云,yun'yun
在此,zai'ci
在下,zai'xia
再者,zai'zhe
增删五次,zeng'shan'wu'ci
窄狭,zhai'xia
章回,zhang'hui
昭传,zhao'chuan
者也之乎,zhe'ye'zhi'hu
真传,zhen'chuan
真事,zhen'shi
甄士隐,zhen'shi'yin
甄士隐梦幻识通灵,zhen'shi'yin'meng'huan'shi'tong'ling
正当,zheng'dang
只不过,zhi'bu'guo
只单单,zhi'dan'dan
之后,zhi'hou
指奸责佞,zhi'jian'ze'ning
至若,zhi'ruo
脂砚斋重评石头记,zhi'yan'zhai'chong'ping'shi'tou'ji
只愿,zhi'yuan
终不能,zhong'bu'neng
众石,zhong'shi
注明,zhu'ming
逐一,zhu'yi
坠落之乡,zhui'luo'zhi'xiang
追踪摄迹,zhui'zong'she'ji
自护己短,zi'hu'ji'duan
自己,zi'ji
字迹分明,zi'ji'fen'ming
子建,zi'jian
子建文君,zi'jian'wen'jun
自然,zi'ran
自色悟空,zi'se'wu'kong
自相矛盾,zi'xiang'mao'dun
自欲,zi'yu
自怨自叹,zi'yuan'zi'tan
自云,zi'yun
祖德,zu'de
最是,zui'shi
醉淫饱卧,zui'yin'bao'wo
作者,zuo'zhe
