阿布石,a'bu'shi
白垩纪海进,bai'e'ji'hai'jin
白垩软泥,bai'e'ruan'ni
摆方法,bai'fang'fa
白沸石,bai'fei'shi
白钙镁沸石,bai'gai'mei'fei'shi
白岗岩,bai'gang'yan
白硅钙石,bai'gui'gai'shi
白假霞石,bai'jia'xia'shi
白磷碱铝钙石,bai'lin'jian'lv'gai'shi
白磷铁矿,bai'lin'tie'kuang
白榴斑岩,bai'liu'ban'yan
白榴粗面岩,bai'liu'cu'mian'yan
白榴橄辉岩,bai'liu'gan'hui'yan
白榴碱玄响岩,bai'liu'jian'xuan'xiang'yan
白榴碱玄岩,bai'liu'jian'xuan'yan
白榴熔岩,bai'liu'rong'yan
白榴石,bai'liu'shi
白榴石火灰,bai'liu'shi'huo'hui
白榴霞斑岩,bai'liu'xia'ban'yan
白榴响岩,bai'liu'xiang'yan
白榴岩,bai'liu'yan
白榴正长岩,bai'liu'zheng'chang'yan
白氯铅矿,bai'lv'qian'kuang
白锰矾,bai'meng'fan
白钠镁矾,bai'na'mei'fan
白霓霞斑岩,bai'ni'xia'ban'yan
白霓霞岩,bai'ni'xia'yan
白粘土,bai'nian'tu
白硼钙石,bai'peng'gai'shi
白硼镁锰矿,bai'peng'mei'meng'kuang
白铍石,bai'pi'shi
白铅矿,bai'qian'kuang
白蛇纹石,bai'she'wen'shi
白砷镍矿,bai'shen'nie'kuang
白砷石,bai'shen'shi
白钛石,bai'tai'shi
白炭,bai'tan
白陶石,bai'tao'shi
白铁矿,bai'tie'kuang
白透辉石,bai'tou'hui'shi
白头岩,bai'tou'yan
百万分率,bai'wan'fen'lv
百万分之当量,bai'wan'fen'zhi'dang'liang
白钨矿,bai'wu'kuang
白霞石,bai'xia'shi
白岩,bai'yan
白云灰岩,bai'yun'hui'yan
白云母,bai'yun'mu
白云母片岩,bai'yun'mu'pian'yan
白云石,bai'yun'shi
白云石化,bai'yun'shi'hua
白针柱石,bai'zhen'zhu'shi
白侏罗统,bai'zhu'luo'tong
半暗煤,ban'an'mei
半波偶极子,ban'bo'ou'ji'zi
半波天线,ban'bo'tian'xian
半玻质的,ban'bo'zhi'de
半翅鞘,ban'chi'qiao
半储热层,ban'chu're'ceng
半岛,ban'dao
斑点板岩,ban'dian'ban'yan
斑点矿,ban'dian'kuang
斑点状的,ban'dian'zhuang'de
斑点状构造,ban'dian'zhuang'gou'zao
半动操纵,ban'dong'cao'zong
斑花大理石,ban'hua'da'li'shi
半化石,ban'hua'shi
半荒漠,ban'huang'mo
半极性键,ban'ji'xing'jian
半价层,ban'jia'ceng
半胶体,ban'jiao'ti
半金属,ban'jin'shu
半金属光泽,ban'jin'shu'guang'ze
斑晶,ban'jing
半径比,ban'jing'bi
斑晶变晶,ban'jing'bian'jing
半晶质斑状的,ban'jing'zhi'ban'zhuang'de
半晶质的,ban'jing'zhi'de
半晶质结构,ban'jing'zhi'jie'gou
板块边缘,ban'kuai'bian'yuan
板块地层学,ban'kuai'di'ceng'xue
板块构造,ban'kuai'gou'zao
板块内部地震,ban'kuai'nei'bu'di'zhen
板块碰撞,ban'kuai'peng'zhuang
板块运动,ban'kuai'yun'dong
板块运动学,ban'kuai'yun'dong'xue
半沥青煤,ban'li'qing'mei
半亮煤,ban'liang'mei
斑烈,ban'lie
板磷钙石,ban'lin'gai'shi
板磷铁矿,ban'lin'tie'kuang
半面形,ban'mian'xing
半粘性怜,ban'nian'xing'lian
半凝胶化组分,ban'ning'jiao'hua'zu'fen
板硼石,ban'peng'shi
板劈理,ban'pi'li
半片岩,ban'pian'yan
半潜式钻探平台,ban'qian'shi'zuan'tan'ping'tai
板铅铀矿,ban'qian'you'kuang
半球,ban'qiu
半日波,ban'ri'bo
瓣鳃类,ban'sai'lei
半深成的,ban'shen'cheng'de
半深海带,ban'shen'hai'dai
半深海相,ban'shen'hai'xiang
伴生构造,ban'sheng'gou'zao
伴生矿,ban'sheng'kuang
伴生矿物,ban'sheng'kuang'wu
伴生种,ban'sheng'zhong
半衰期,ban'shuai'qi
半丝质体,ban'si'zhi'ti
斑苏玄武岩,ban'su'xuan'wu'yan
板钛矿,ban'tai'kuang
半体双晶,ban'ti'shuang'jing
斑铜矿,ban'tong'kuang
斑脱岩,ban'tuo'yan
斑脱页岩,ban'tuo'ye'yan
半无烟煤,ban'wu'yan'mei
斑霞正长细晶岩,ban'xia'zheng'chang'xi'jing'yan
半咸水湖,ban'xian'shui'hu
半纤维素,ban'xian'wei'su
斑岩,ban'yan
板岩,ban'yan
斑岩铜矿床,ban'yan'tong'kuang'chuang
板岩土壤,ban'yan'tu'rang
半远洋性沉积物,ban'yuan'yang'xing'chen'ji'wu
搬运,ban'yun
搬运沉积,ban'yun'chen'ji
斑杂辉绿结构,ban'za'hui'lv'jie'gou
斑杂岩,ban'za'yan
半沼泽土,ban'zhao'ze'tu
半周,ban'zhou
半柱,ban'zhu
斑状变晶,ban'zhuang'bian'jing
斑状变晶的,ban'zhuang'bian'jing'de
斑状的,ban'zhuang'de
板状的,ban'zhuang'de
板状构造,ban'zhuang'gou'zao
斑状花岗岩,ban'zhuang'hua'gang'yan
斑状结构,ban'zhuang'jie'gou
板状节理,ban'zhuang'jie'li
板状磷锌矿,ban'zhuang'lin'xin'kuang
板状脉,ban'zhuang'mai
半自动的,ban'zi'dong'de
半自形的,ban'zi'xing'de
半自形构造,ban'zi'xing'gou'zao
半自形结构,ban'zi'xing'jie'gou
半自形晶粒状结构,ban'zi'xing'jing'li'zhuang'jie'gou
半自形粒状的,ban'zi'xing'li'zhuang'de
磅金矿,bang'jin'kuang
棒磨机,bang'mo'ji
磅铁矿,bang'tie'kuang
棒皱晶,bang'zhou'jing
棒状的,bang'zhuang'de
棒状晶体,bang'zhuang'jing'ti
堡坝,bao'ba
堡坝泉,bao'ba'quan
孢壁,bao'bi
薄壁孢子体,bao'bi'bao'zi'ti
孢表壁,bao'biao'bi
薄层,bao'ceng
薄层面,bao'ceng'mian
保持继电器,bao'chi'ji'dian'qi
保存,bao'cun
保存差的化石,bao'cun'cha'de'hua'shi
苞的,bao'de
暴发高潮,bao'fa'gao'chao
爆发角砾岩,bao'fa'jiao'li'yan
孢粉地层学,bao'fen'di'ceng'xue
孢粉学,bao'fen'xue
孢粉植物群,bao'fen'zhi'wu'qun
饱和,bao'he
饱和差,bao'he'cha
饱和磁化,bao'he'ci'hua
饱和点,bao'he'dian
饱和度,bao'he'du
饱和分布,bao'he'fen'bu
饱和绝热递减率,bao'he'jue're'di'jian'lv
饱和空气,bao'he'kong'qi
饱和怜,bao'he'lian
饱和情况,bao'he'qing'kuang
饱和溶液,bao'he'rong'ye
饱和压力,bao'he'ya'li
饱和岩,bao'he'yan
饱和阈,bao'he'yu
暴洪,bao'hong
保护胶体,bao'hu'jiao'ti
保护套,bao'hu'tao
堡礁,bao'jiao
包晶,bao'jing
抱茎的,bao'jing'de
包晶点,bao'jing'dian
包晶结晶,bao'jing'jie'jing
爆裂,bao'lie
爆裂法,bao'lie'fa
爆裂火口,bao'lie'huo'kou
爆裂巨火口,bao'lie'ju'huo'kou
爆裂酌,bao'lie'zhuo
包林皂石,bao'lin'zao'shi
暴露,bao'lu
暴露年岭,bao'lu'nian'ling
包络层,bao'luo'ceng
胞囊,bao'nang
孢囊柄,bao'nang'bing
薄片,bao'pian
爆破,bao'po
爆破井,bao'po'jing
爆破指数,bao'po'zhi'shu
饱气带,bao'qi'dai
抱球虫类,bao'qiu'chong'lei
抱球虫软泥,bao'qiu'chong'ruan'ni
宝石,bao'shi
宝石学,bao'shi'xue
饱水带,bao'shui'dai
包体,bao'ti
包体结构,bao'ti'jie'gou
包头矿,bao'tou'kuang
包析点,bao'xi'dian
包析反应,bao'xi'fan'ying
保险装置,bao'xian'zhuang'zhi
爆炸点,bao'zha'dian
保真性,bao'zhen'xing
孢子,bao'zi
孢子残殖煤,bao'zi'can'zhi'mei
孢子虫类,bao'zi'chong'lei
孢子果,bao'zi'guo
孢子煤,bao'zi'mei
孢子囊,bao'zi'nang
孢子群,bao'zi'qun
孢子体,bao'zi'ti
孢子外壁,bao'zi'wai'bi
孢子叶,bao'zi'ye
孢子植物,bao'zi'zhi'wu
倍斑安山岩,bei'ban'an'shan'yan
钡冰长石,bei'bing'chang'shi
背部,bei'bu
北部阿尔卑斯前沿地,bei'bu'a'er'bei'si'qian'yan'di
倍长辉长岩,bei'chang'hui'chang'yan
钡长石,bei'chang'shi
倍长石,bei'chang'shi
倍长苏玄岩,bei'chang'su'xuan'yan
北大误地块,bei'da'wu'di'kuai
被导波,bei'dao'bo
北的,bei'de
贝得石,bei'de'shi
被动式遥感,bei'dong'shi'yao'gan
背钭的,bei'dou'de
被短柔毛的,bei'duan'rou'mao'de
钡沸石,bei'fei'shi
北极,bei'ji
焙剂,bei'ji
北极锋,bei'ji'feng
北极峰,bei'ji'feng
北极高山的,bei'ji'gao'shan'de
北极气团,bei'ji'qi'tuan
北极圈,bei'ji'quan
北极亚区,bei'ji'ya'qu
北极植物,bei'ji'zhi'wu
备件,bei'jian
钡解石,bei'jie'shi
背景值,bei'jing'zhi
贝壳断口,bei'ke'duan'kou
贝壳构造,bei'ke'gou'zao
贝壳灰岩,bei'ke'hui'yan
贝壳活门,bei'ke'huo'men
贝壳甲,bei'ke'jia
贝克线,bei'ke'xian
贝类学,bei'lei'xue
背离型板块,bei'li'xing'ban'kuai
钡磷铝石,bei'lin'lv'shi
杯龙类,bei'long'lei
钡镁锰矿,bei'mei'meng'kuang
背面的,bei'mian'de
焙烧矿石,bei'shao'kuang'shi
贝塔石,bei'ta'shi
钡天青石,bei'tian'qing'shi
北投石,bei'tou'shi
北纬,bei'wei
北潍平洋海岭,bei'wei'ping'yang'hai'ling
钡硝石,bei'xiao'shi
背斜,bei'xie
钡斜长岩,bei'xie'chang'yan
背斜带,bei'xie'dai
背斜顶,bei'xie'ding
背斜断层,bei'xie'duan'ceng
背斜谷,bei'xie'gu
背斜脊,bei'xie'ji
背斜理论,bei'xie'li'lun
背斜隆起,bei'xie'long'qi
背斜圈闭,bei'xie'quan'bi
背斜弯曲,bei'xie'wan'qu
背斜型构造,bei'xie'xing'gou'zao
背斜型向斜,bei'xie'xing'xiang'xie
背斜翼,bei'xie'yi
背斜轴,bei'xie'zhou
钡硬锰矿,bei'ying'meng'kuang
钡铀云母,bei'you'yun'mu
背震中,bei'zhen'zhong
贝冢,bei'zhong
被状,bei'zhuang
被子的,bei'zi'de
被子植物,bei'zi'zhi'wu
被子植物时代,bei'zi'zhi'wu'shi'dai
本底,ben'di
苯偶姻肟,ben'ou'yin'wo
苯三酚,ben'san'fen
本哲量,ben'zhe'liang
崩积坡地,beng'ji'po'di
崩落,beng'luo
崩落线,beng'luo'xian
崩塌酌,beng'ta'zhuo
泵站,beng'zhan
比电导率,bi'dian'dao'lv
比电荷,bi'dian'he
比电离,bi'dian'li
碧矾,bi'fan
鼻骨,bi'gu
闭管分析,bi'guan'fen'xi
闭合断层,bi'he'duan'ceng
闭合误差,bi'he'wu'cha
闭合褶皱,bi'he'zhe'zhou
铋华,bi'hua
鼻甲,bi'jia
比较器,bi'jiao'qi
比较生化学,bi'jiao'sheng'hua'xue
比较行星学,bi'jiao'xing'xing'xue
比例,bi'li
比例法则,bi'li'fa'ze
比例模型,bi'li'mo'xing
铋磷灰石,bi'lin'hui'shi
比率,bi'lv
比密度,bi'mi'du
毕鸟夫带,bi'niao'fu'dai
鼻腔,bi'qiang
比热,bi're
比容,bi'rong
闭塞,bi'se
比色法,bi'se'fa
比色法定量,bi'se'fa'ding'liang
比色分析,bi'se'fen'xi
比色计,bi'se'ji
比色器,bi'se'qi
闭式节理,bi'shi'jie'li
笔石类,bi'shi'lei
闭锁植物群落,bi'suo'zhi'wu'qun'luo
铋钽铁矿,bi'tan'tie'kuang
铋铜矿,bi'tong'kuang
铋土,bi'tu
碧玄岩,bi'xuan'yan
比液面下降,bi'ye'mian'xia'jiang
碧玉,bi'yu
碧玉化,bi'yu'hua
碧玉铁质岩,bi'yu'tie'zhi'yan
比重,bi'zhong
比重计,bi'zhong'ji
比重瓶,bi'zhong'ping
变安山岩化,bian'an'shan'yan'hua
变白云母,bian'bai'yun'mu
变玻英安岩,bian'bo'ying'an'yan
变成化石,bian'cheng'hua'shi
变成交代说,bian'cheng'jiao'dai'shuo
扁豆状的,bian'dou'zhuang'de
扁豆状夹层,bian'dou'zhuang'jia'ceng
扁豆状矿脉,bian'dou'zhuang'kuang'mai
扁豆状矿体,bian'dou'zhuang'kuang'ti
扁豆状双晶,bian'dou'zhuang'shuang'jing
边渡点,bian'du'dian
边渡壳,bian'du'ke
边渡区,bian'du'qu
扁方三四面体,bian'fang'san'si'mian'ti
变革,bian'ge
变花岗岩,bian'hua'gang'yan
变化系数,bian'hua'xi'shu
变换劈理,bian'huan'pi'li
变辉绿岩,bian'hui'lv'yan
变胶状构造,bian'jiao'zhuang'gou'zao
边界,bian'jie
边界层,bian'jie'ceng
边界面,bian'jie'mian
边界品位,bian'jie'pin'wei
边界条件,bian'jie'tiao'jian
变晶,bian'jing
变晶的,bian'jing'de
变晶结构,bian'jing'jie'gou
变晶系列,bian'jing'xi'lie
变晶岩,bian'jing'yan
扁砾石,bian'li'shi
鞭毛,bian'mao
鞭毛虫类,bian'mao'chong'lei
变嵌晶,bian'qian'jing
变嵌晶结构,bian'qian'jing'jie'gou
变嵌晶状的,bian'qian'jing'zhuang'de
辨认,bian'ren
变熔体,bian'rong'ti
变色柱石,bian'se'zhu'shi
变闪长岩,bian'shan'chang'yan
边水,bian'shui
变水方硼石,bian'shui'fang'peng'shi
变水锆石,bian'shui'gao'shi
变燧石,bian'sui'shi
变态,bian'tai
变位,bian'wei
变温层,bian'wen'ceng
变温的,bian'wen'de
变温动物,bian'wen'dong'wu
边限,bian'xian
变形虫,bian'xing'chong
变形带,bian'xing'dai
变形构造,bian'xing'gou'zao
变形椭球体,bian'xing'tuo'qiu'ti
变形组构,bian'xing'zu'gou
变玄武岩,bian'xuan'wu'yan
变压区,bian'ya'qu
变异,bian'yi
变异图解,bian'yi'tu'jie
变异性,bian'yi'xing
变余斑晶构造,bian'yu'ban'jing'gou'zao
变余斑状长英麻粒岩,bian'yu'ban'zhuang'chang'ying'ma'li'yan
变余斑状的,bian'yu'ban'zhuang'de
变余构造,bian'yu'gou'zao
变余花岗状结构,bian'yu'hua'gang'zhuang'jie'gou
变余辉绿岩的,bian'yu'hui'lv'yan'de
变余辉绿状结构,bian'yu'hui'lv'zhuang'jie'gou
变余砾状的,bian'yu'li'zhuang'de
变余砾状结构,bian'yu'li'zhuang'jie'gou
变余糜陵岩,bian'yu'mi'ling'yan
变余砂状结构,bian'yu'sha'zhuang'jie'gou
边缘,bian'yuan
边缘带,bian'yuan'dai
边缘地槽,bian'yuan'di'cao
边缘断层,bian'yuan'duan'ceng
边缘高原,bian'yuan'gao'yuan
边缘海,bian'yuan'hai
边缘节理,bian'yuan'jie'li
边缘隆起,bian'yuan'long'qi
边缘片理,bian'yuan'pian'li
变针钒钙石,bian'zhen'fan'gai'shi
变质,bian'zhi
变质沉积物,bian'zhi'chen'ji'wu
变质程度,bian'zhi'cheng'du
变质带,bian'zhi'dai
变质的,bian'zhi'de
变质反应,bian'zhi'fan'ying
变质分异酌,bian'zhi'fen'yi'zhuo
变质黑土,bian'zhi'hei'tu
变质矿床,bian'zhi'kuang'chuang
变质扩散酌,bian'zhi'kuo'san'zhuo
变质圈,bian'zhi'quan
变质事件,bian'zhi'shi'jian
变质水,bian'zhi'shui
变质图,bian'zhi'tu
变质相,bian'zhi'xiang
变质旋回,bian'zhi'xuan'hui
变质岩,bian'zhi'yan
变质营力,bian'zhi'ying'li
变种,bian'zhong
标本,biao'ben
表层,biao'ceng
表层套管,biao'ceng'tao'guan
标称直径,biao'cheng'zhi'jing
标尺测杆,biao'chi'ce'gan
标定,biao'ding
标度因数,biao'du'yin'shu
表观比重,biao'guan'bi'zhong
标记化合物,biao'ji'hua'he'wu
表面层,biao'mian'ceng
表面电荷,biao'mian'dian'he
表面反应,biao'mian'fan'ying
表面活度,biao'mian'huo'du
表面活性剂法,biao'mian'huo'xing'ji'fa
表面径流,biao'mian'jing'liu
表面扩散,biao'mian'kuo'san
表面扩张,biao'mian'kuo'zhang
表面漏泄,biao'mian'lou'xie
表面密度,biao'mian'mi'du
表面膜,biao'mian'mo
表面能,biao'mian'neng
表面粘性,biao'mian'nian'xing
表面侵蚀,biao'mian'qin'shi
表面熵,biao'mian'shang
表面渗透,biao'mian'shen'tou
表面蚀变,biao'mian'shi'bian
表面系数,biao'mian'xi'shu
表面张力,biao'mian'zhang'li
表面自由能,biao'mian'zi'you'neng
表内储量,biao'nei'chu'liang
表皮,biao'pi
表皮的,biao'pi'de
表皮土,biao'pi'tu
表皮褶皱,biao'pi'zhe'zhou
表碛,biao'qi
表碛石,biao'qi'shi
标签标记,biao'qian'biao'ji
表生成岩酌,biao'sheng'cheng'yan'zhuo
表生的,biao'sheng'de
表生构造,biao'sheng'gou'zao
表土复盖岩层盖岩层,biao'tu'fu'gai'yan'ceng'gai'yan'ceng
表外储量,biao'wai'chu'liang
飑线,biao'xian
标线,biao'xian
标型矿物,biao'xing'kuang'wu
标准,biao'zhun
标准层,biao'zhun'ceng
标准层位,biao'zhun'ceng'wei
标准穿插试验,biao'zhun'chuan'cha'shi'yan
标准等压面,biao'zhun'deng'ya'mian
标准地质年代学,biao'zhun'di'zhi'nian'dai'xue
标准电测井,biao'zhun'dian'ce'jing
标准电池,biao'zhun'dian'chi
标准化石,biao'zhun'hua'shi
标准矿物,biao'zhun'kuang'wu
标准矿物成分,biao'zhun'kuang'wu'cheng'fen
标准面,biao'zhun'mian
标准偏差,biao'zhun'pian'cha
标准曲线,biao'zhun'qu'xian
标准溶液,biao'zhun'rong'ye
标准温度表,biao'zhun'wen'du'biao
标准样品,biao'zhun'yang'pin
标准元素,biao'zhun'yuan'su
标准锥,biao'zhun'zhui
标准钻开工具,biao'zhun'zuan'kai'gong'ju
别尔尼萨尔阶,bie'er'ni'sa'er'jie
滨海地槽,bin'hai'di'cao
滨海含水层,bin'hai'han'shui'ceng
滨外洲,bin'wai'zhou
宾夕法尼亚系,bin'xi'fa'ni'ya'xi
冰长石,bing'chang'shi
冰川,bing'chuan
冰川擦痕,bing'chuan'ca'hen
冰川槽,bing'chuan'cao
冰川沉积,bing'chuan'chen'ji
冰川地质学,bing'chuan'di'zhi'xue
冰川洞穴学,bing'chuan'dong'xue'xue
冰川湖,bing'chuan'hu
冰川临计,bing'chuan'lin'ji
冰川瓯穴,bing'chuan'ou'xue
冰川漂砾,bing'chuan'piao'li
冰川漂砾法,bing'chuan'piao'li'fa
冰川乳浆,bing'chuan'ru'jiang
冰川舌,bing'chuan'she
冰川性海面升降说,bing'chuan'xing'hai'mian'sheng'jiang'shuo
冰川学,bing'chuan'xue
冰川穴锅,bing'chuan'xue'guo
冰川植物群,bing'chuan'zhi'wu'qun
冰川周期,bing'chuan'zhou'qi
冰川酌,bing'chuan'zhuo
冰底碛,bing'di'qi
冰点,bing'dian
冰斗,bing'dou
冰斗湖,bing'dou'hu
冰盖,bing'gai
冰核,bing'he
冰后期,bing'hou'qi
冰后期海侵,bing'hou'qi'hai'qin
冰后隙,bing'hou'xi
冰积土,bing'ji'tu
冰晶石,bing'jing'shi
冰砾阜,bing'li'fu
冰量热计,bing'liang're'ji
冰帽,bing'mao
冰瀑,bing'pu
冰瀑布,bing'pu'bu
冰期,bing'qi
冰碛,bing'qi
冰碛沉积,bing'qi'chen'ji
冰碛堆积,bing'qi'dui'ji
冰期后的时期,bing'qi'hou'de'shi'qi
冰碛湖,bing'qi'hu
冰碛阶地,bing'qi'jie'di
冰碛景观,bing'qi'jing'guan
冰碛粘土,bing'qi'nian'tu
冰碛平原,bing'qi'ping'yuan
冰碛土,bing'qi'tu
冰碛物,bing'qi'wu
冰碛岩,bing'qi'yan
冰山,bing'shan
冰蚀,bing'shi
冰蚀高原,bing'shi'gao'yuan
冰蚀谷,bing'shi'gu
冰蚀谷湖,bing'shi'gu'hu
冰蚀湖,bing'shi'hu
冰蚀轮回,bing'shi'lun'hui
冰水沉积,bing'shui'chen'ji
冰水沉积平原,bing'shui'chen'ji'ping'yuan
冰水混合云,bing'shui'hun'he'yun
冰水阶地,bing'shui'jie'di
冰水砾,bing'shui'li
冰台,bing'tai
冰铜,bing'tong
冰隙产生裂缝,bing'xi'chan'sheng'lie'feng
冰下喷发,bing'xia'pen'fa
冰消,bing'xiao
冰雪气候,bing'xue'qi'hou
冰雪植物,bing'xue'zhi'wu
冰用的,bing'yong'de
冰原,bing'yuan
冰原石山,bing'yuan'shi'shan
病源细菌,bing'yuan'xi'jun
冰缘现象,bing'yuan'xian'xiang
冰云,bing'yun
冰障,bing'zhang
冰沼潜育土,bing'zhao'qian'yu'tu
冰针,bing'zhen
冰洲石,bing'zhou'shi
玻斑状结构,bo'ban'zhuang'jie'gou
波包,bo'bao
波倍克,bo'bei'ke
波长,bo'chang
波的变形,bo'de'bian'xing
波的传播,bo'de'chuan'bo
波的反射,bo'de'fan'she
波的统射,bo'de'tong'she
薄地槽,bo'di'cao
波动,bo'dong
波动电流,bo'dong'dian'liu
波动消光,bo'dong'xiao'guang
波尔迪阶,bo'er'di'jie
波痕,bo'hen
玻基斑岩,bo'ji'ban'yan
玻基斑状的,bo'ji'ban'zhuang'de
玻基粗粒玄武岩,bo'ji'cu'li'xuan'wu'yan
玻基辉橄岩,bo'ji'hui'gan'yan
薄晶钒钙石,bo'jing'fan'gai'shi
玻晶交织的,bo'jing'jiao'zhi'de
玻晶质的,bo'jing'zhi'de
波浪状镶嵌构造,bo'lang'zhuang'xiang'qian'gou'zao
剥理,bo'li
玻璃,bo'li
玻璃粗面岩,bo'li'cu'mian'yan
玻璃蛋白石,bo'li'dan'bai'shi
玻璃光泽,bo'li'guang'ze
玻璃凝灰岩,bo'li'ning'hui'yan
玻璃丝炭,bo'li'si'tan
玻璃质的,bo'li'zhi'de
剥离酌,bo'li'zhuo
剥露准平原,bo'lu'zhun'ping'yuan
波罗的地盾,bo'luo'de'di'dun
薄煤层,bo'mei'ceng
薄膜,bo'mo
薄膜水,bo'mo'shui
波前,bo'qian
剥蚀,bo'shi
剥蚀角砾岩,bo'shi'jiao'li'yan
勃氏镜,bo'shi'jing
剥蚀平原,bo'shi'ping'yuan
波数,bo'shu
钵水母,bo'shui'mu
波斯托投影,bo'si'tuo'tou'ying
波速,bo'su
波特兰阶,bo'te'lan'jie
剥土探矿,bo'tu'tan'kuang
波尾,bo'wei
波纹电流,bo'wen'dian'liu
波纹绢布状结构,bo'wen'juan'bu'zhuang'jie'gou
波纹绢布状图样,bo'wen'juan'bu'zhuang'tu'yang
波纹熔岩,bo'wen'rong'yan
波纹状的,bo'wen'zhuang'de
波形,bo'xing
波形的,bo'xing'de
波形分析器,bo'xing'fen'xi'qi
波序,bo'xu
玻陨石,bo'yun'shi
波折射,bo'zhe'she
玻质辉绿岩的,bo'zhi'hui'lv'yan'de
玻质玄武岩,bo'zhi'xuan'wu'yan
玻质英安岩,bo'zhi'ying'an'yan
铂族元素,bo'zu'yuan'su
不饱和流非饱和流,bu'bao'he'liu'fei'bao'he'liu
不饱和溶液,bu'bao'he'rong'ye
不饱和岩,bu'bao'he'yan
不饱色,bu'bao'se
不变点,bu'bian'dian
不变歪面,bu'bian'wai'mian
不变系,bu'bian'xi
补偿,bu'chang
补偿点,bu'chang'dian
补偿法,bu'chang'fa
补偿器,bu'chang'qi
补偿深度,bu'chang'shen'du
补偿水,bu'chang'shui
不成层矿床,bu'cheng'ceng'kuang'chuang
补充,bu'chong
步带,bu'dai
步带系,bu'dai'xi
不等粒变晶的,bu'deng'li'bian'jing'de
不等叶的,bu'deng'ye'de
不动性,bu'dong'xing
不对称背斜,bu'dui'chen'bei'xie
不对称波痕,bu'dui'chen'bo'hen
不对称的,bu'dui'chen'de
不对称结晶单色仪,bu'dui'chen'jie'jing'dan'se'yi
