阿尔塞斯,a'er'sai'si
长钉衣领,chang'ding'yi'ling
长管火枪,chang'guan'huo'qiang
嘲讽,chao'feng
车间,che'jian
车子,che'zi
沉默,chen'mo
沉默权杖,chen'mo'quan'zhang
尘土之影,chen'tu'zhi'ying
城堡,cheng'bao
城甲,cheng'jia
城镇大厅,cheng'zhen'da'ting
吃尸,chi'shi
冲击波,chong'ji'bo
重生,chong'sheng
重修之书,chong'xiu'zhi'shu
穿刺,chuan'ci
穿刺剑刃,chuan'ci'jian'ren
传送门,chuan'song'men
传送权杖,chuan'song'quan'zhang
吹风流,chui'feng'liu
锤子,chui'zi
纯暴流,chun'bao'liu
纯狗流,chun'gou'liu
刺客,ci'ke
丛林守护者,cong'lin'shou'hu'zhe
大便,da'bian
大复活神符,da'fu'huo'shen'fu
大回复卷轴,da'hui'fu'juan'zhou
大恢复药水,da'hui'fu'yao'shui
大灰狼,da'hui'lang
大魔法神符,da'mo'fa'shen'fu
大魔法师,da'mo'fa'shi
大魔法药水,da'mo'fa'yao'shui
大生命药水,da'sheng'ming'yao'shui
大师级利爪徳鲁依训练,da'shi'ji'li'zhua'de'lu'yi'xun'lian
大师级灵魂行者训练,da'shi'ji'ling'hun'xing'zhe'xun'lian
大师级猛禽徳鲁依训练,da'shi'ji'meng'qin'de'lu'yi'xun'lian
大师级牧师训练,da'shi'ji'mu'shi'xun'lian
大师级女巫训练,da'shi'ji'nv'wu'xun'lian
大师级女妖训练,da'shi'ji'nv'yao'xun'lian
大师级萨满训练,da'shi'ji'sa'man'xun'lian
大师级亡灵巫师训练,da'shi'ji'wang'ling'wu'shi'xun'lian
大师级巫医训练,da'shi'ji'wu'yi'xun'lian
大树流,da'shu'liu
大厅,da'ting
搭载弓箭手,da'zai'gong'jian'shou
大治疗神符,da'zhi'liao'shen'fu
弹幕攻击,dan'mu'gong'ji
导弹轰炸,dao'dan'hong'zha
盗法,dao'fa
刀阵旋风,dao'zhen'xuan'feng
地洞,di'dong
地精船厂,di'jing'chuan'chang
地精飞艇,di'jing'fei'ting
地精工兵,di'jing'gong'bing
地精商店,di'jing'shang'dian
地精实验室,di'jing'shi'yan'shi
地精撕裂者,di'jing'si'lie'zhe
低维修费用,di'wei'xiu'fei'yong
地穴,di'xue
地穴狗头人,di'xue'gou'tou'ren
地穴领主,di'xue'ling'zhu
地狱火,di'yu'huo
地狱火之石,di'yu'huo'zhi'shi
地震,di'zhen
动物作战训练,dong'wu'zuo'zhan'xun'lian
毒蛇守卫,du'she'shou'wei
毒性树人,du'xing'shu'ren
毒液之球,du'ye'zhi'qiu
毒液蜘蛛,du'ye'zhi'zhu
堕落牧师,duo'luo'mu'shi
堕落树人,duo'luo'shu'ren
多洛特,duo'luo'te
恶魔雕像,e'mo'diao'xiang
恶魔猎手,e'mo'lie'shou
法力燃烧,fa'li'ran'shao
伐木场,fa'mu'chang
伐木机,fa'mu'ji
法师长袍,fa'shi'chang'pao
法师流,fa'shi'liu
返回工作,fan'hui'gong'zuo
返老还童,fan'lao'huan'tong
反魔法盾,fan'mo'fa'dun
防守流,fang'shou'liu
防御,fang'yu
防御塔,fang'yu'ta
放逐,fang'zhu
飞机坦克流,fei'ji'tan'ke'liu
飞龙,fei'long
飞龙流,fei'long'liu
坟场,fen'chang
分离弓箭手和角鹰兽,fen'li'gong'jian'shou'he'jiao'ying'shou
分裂攻击,fen'lie'gong'ji
粉碎,fen'sui
粉碎者,fen'sui'zhe
风暴祭坛,feng'bao'ji'tan
风暴巨龙,feng'bao'ju'long
风暴狮角,feng'bao'shi'jiao
风暴乌鸦,feng'bao'wu'ya
风暴战锤,feng'bao'zhan'chui
风暴之锤,feng'bao'zhi'chui
风德,feng'de
凤凰,feng'huang
风骑士,feng'qi'shi
否定权杖,fou'ding'quan'zhang
腐臭蜂群,fu'chou'feng'qun
复仇天神,fu'chou'tian'shen
复仇之魂,fu'chou'zhi'hun
复活,fu'huo
复活卷轴,fu'huo'juan'zhou
复活十字架,fu'huo'shi'zi'jia
复活死尸,fu'huo'si'shi
腐尸甲虫,fu'shi'jia'chong
腐蚀喷吐,fu'shi'pen'tu
腐蚀之球,fu'shi'zhi'qiu
符咒,fu'zhou
岗哨神符,gang'shao'shen'fu
岗哨守卫,gang'shao'shou'wei
高射炮,gao'she'pao
高维修费用,gao'wei'xiu'fei'yong
攻城,gong'cheng
攻城傀儡,gong'cheng'kui'lei
工程学升级,gong'cheng'xue'sheng'ji
弓箭手,gong'jian'shou
狗狗流,gou'gou'liu
狗头人,gou'tou'ren
狗头人首领,gou'tou'ren'shou'ling
狗头人占卜者,gou'tou'ren'zhan'bu'zhe
古尔丹,gu'er'dan
雇佣兵流,gu'yong'bing'liu
雇佣兵营地,gu'yong'bing'ying'di
古之忍耐姜歌,gu'zhi'ren'nai'jiang'ge
骨质增强术,gu'zhi'zeng'qiang'shu
贵族圆环,gui'zu'yuan'huan
国王祭坛,guo'wang'ji'tan
寒冰碎片,han'bing'sui'pian
豪猪,hao'zhu
豪猪猎手,hao'zhu'lie'shou
黑暗巨魔,hei'an'ju'mo
黑暗巫师,hei'an'wu'shi
黑暗仪式,hei'an'yi'shi
黑暗游侠,hei'an'you'xia
黑暗之箭,hei'an'zhi'jian
黑暗之奴,hei'an'zhi'nu
黑暗之球,hei'an'zhi'qiu
黑魔高级牧师,hei'mo'gao'ji'mu'shi
黑魔狂战士,hei'mo'kuang'zhan'shi
黑魔猎手,hei'mo'lie'shou
黑魔首领,hei'mo'shou'ling
黑魔影子牧师,hei'mo'ying'zi'mu'shi
红龙之卵,hong'long'zhi'luan
吼叫,hou'jiao
蝴蝶流,hu'die'liu
护盾神符,hu'dun'shen'fu
护身符,hu'shen'fu
花岗岩傀儡,hua'gang'yan'kui'lei
化学狂暴,hua'xue'kuang'bao
蝗虫群,huang'chong'qun
回城卷轴,hui'cheng'juan'zhou
回复卷轴,hui'fu'juan'zhou
恢复卷轴,hui'fu'juan'zhou
回复神符,hui'fu'shen'fu
恢复药水,hui'fu'yao'shui
辉煌光环,hui'huang'guang'huan
毁灭守卫,hui'mie'shou'wei
毁灭者流,hui'mie'zhe'liu
毁灭之角,hui'mie'zhi'jiao
毁灭之球,hui'mie'zhi'qiu
毁灭蜘蛛流,hui'mie'zhi'zhu'liu
回收,hui'shou
混乱,hun'luan
混乱之治,hun'luan'zhi'zhi
火炮,huo'pao
火枪流,huo'qiang'liu
火枪手,huo'qiang'shou
火山,huo'shan
火土风暴,huo'tu'feng'bao
火焰弓箭手,huo'yan'gong'jian'shou
火焰呼吸,huo'yan'hu'xi
火焰领主,huo'yan'ling'zhu
火焰披风,huo'yan'pi'feng
火焰雨,huo'yan'yu
火焰之球,huo'yan'zhi'qiu
吉安娜,ji'an'na
疾病云雾,ji'bing'yun'wu
基尔加丹,ji'er'jia'dan
疾风步,ji'feng'bu
机械地精,ji'xie'di'jing
加速手套,jia'su'shou'tao
尖刺外壳,jian'ci'wai'ke
健康之石,jian'kang'zhi'shi
尖毛兽酋长,jian'mao'shou'qiu'zhang
尖毛兽野蛮人,jian'mao'shou'ye'man'ren
尖毛兽医生,jian'mao'shou'yi'sheng
尖毛兽侦察兵,jian'mao'shou'zhen'cha'bing
剑刃风暴,jian'ren'feng'bao
溅射,jian'she
剑圣,jian'sheng
减速,jian'su
剑心补丁,jian'xin'bu'ding
绞肉车,jiao'rou'che
绞肉机,jiao'rou'ji
角鹰兽,jiao'ying'shou
角鹰兽骑士,jiao'ying'shou'qi'shi
浸毒标枪,jin'du'biao'qiang
净化,jing'hua
净化药水,jing'hua'yao'shui
荆棘光环,jing'ji'guang'huan
精灵龙,jing'ling'long
精灵之火,jing'ling'zhi'huo
惊吓,jing'xia
镜像,jing'xiang
经验槽,jing'yan'cao
经验之书,jing'yan'zhi'shu
纠缠根须,jiu'chan'gen'xu
酒馆,jiu'guan
飓风,ju'feng
巨狼,ju'lang
巨魔蝙蝠骑士,ju'mo'bian'fu'qi'shi
巨魔狂暴战士,ju'mo'kuang'bao'zhan'shi
巨魔猎头者,ju'mo'lie'tou'zhe
巨魔巫医,ju'mo'wu'yi
巨魔再生,ju'mo'zai'sheng
巨型蜘蛛,ju'xing'zhi'zhu
卡德医疗宝石,ka'de'yi'liao'bao'shi
卡尔萨斯,ka'er'sa'si
卡嘉长萧,ka'jia'chang'xiao
卡利姆多,ka'li'mu'duo
抗体药水,kang'ti'yao'shui
抗性皮肤,kang'xing'pi'fu
科多兽,ke'duo'shou
科勒恩的逃脱匕首,ke'le'en'de'tao'tuo'bi'shou
恐怖嚎叫,kong'bu'hao'jiao
恐怖猛犸,kong'bu'meng'ma
恐怖之狼,kong'bu'zhi'lang
恐惧魔王,kong'ju'mo'wang
恐惧之狼,kong'ju'zhi'lang
控魔,kong'mo
空中枷锁,kong'zhong'jia'suo
口袋工厂,kou'dai'gong'chang
苦工,ku'gong
骷髅海,ku'lou'hai
骷髅流,ku'lou'liu
骷髅掌控,ku'lou'zhang'kong
枯萎精髓,ku'wei'jing'sui
狂暴,kuang'bao
狂暴洗劫者,kuang'bao'xi'jie'zhe
狂暴野兽,kuang'bao'ye'shou
狂性枭兽,kuang'xing'xiao'shou
奎尔萨拉斯之靴,kui'er'sa'la'si'zhi'xue
傀儡战士,kui'lei'zhan'shi
狼骑,lang'qi
狼骑士,lang'qi'shi
雷霆蜥蜴,lei'ting'xi'yi
雷霆一击,lei'ting'yi'ji
力量腰带,li'liang'yao'dai
利爪德鲁伊,li'zhua'de'lu'yi
利爪之痕,li'zhua'zhi'hen
炼金,lian'jin
炼金术士,lian'jin'shu'shi
两栖苦难者,liang'qi'ku'nan'zhe
两栖人猎手,liang'qi'ren'lie'shou
两栖食肉者,liang'qi'shi'rou'zhe
两栖夜行者,liang'qi'ye'xing'zhe
两栖追随者,liang'qi'zhui'sui'zhe
两栖追踪者,liang'qi'zhui'zong'zhe
了望塔,liao'wang'ta
猎手大厅,lie'shou'da'ting
猎头流,lie'tou'liu
烈焰风暴,lie'yan'feng'bao
灵魂归宿,ling'hun'gui'su
灵魂燃烧,ling'hun'ran'shao
灵魂锁链,ling'hun'suo'lian
灵魂行者,ling'hun'xing'zhe
灵魂之触,ling'hun'zhi'chu
灵魂之猪,ling'hun'zhi'zhu
灵巧头巾,ling'qiao'tou'jin
流氓,liu'mang
流氓巫师,liu'mang'wu'shi
流星雨,liu'xing'yu
龙巢,long'chao
龙卷风,long'juan'feng
龙卵盗贼,long'luan'dao'zei
龙卵领主,long'luan'ling'zhu
龙卵学徒,long'luan'xue'tu
龙卵战士,long'luan'zhan'shi
龙鹰,long'ying
龙之男巫,long'zhi'nan'wu
乱矿流,luan'kuang'liu
掠夺,lue'duo
掠夺者,lue'duo'zhe
洛丹伦,luo'dan'lun
绿蜉蝣,lv'fu'you
绿龙,lv'long
绿幼龙,lv'you'long
玛格娜托破坏者,ma'ge'na'tuo'po'huai'zhe
玛格娜托撕裂者,ma'ge'na'tuo'si'lie'zhe
玛格娜托战士,ma'ge'na'tuo'zhan'shi
玛维,ma'wei
埋骨地,mai'gu'di
麦斯琪女士,mai'si'qi'nv'shi
慢性毒药,man'xing'du'yao
猫头鹰,mao'tou'ying
猛犸,meng'ma
猛禽德鲁伊,meng'qin'de'lu'yi
猛禽之痕,meng'qin'zhi'hen
民兵,min'bing
民兵流,min'bing'liu
敏捷之书,min'jie'zhi'shu
魔法,mo'fa
魔法垂饰,mo'fa'chui'shi
魔法盗取权杖,mo'fa'dao'qu'quan'zhang
魔法盾,mo'fa'dun
魔法反馈,mo'fa'fan'kui
魔法护盾护身符,mo'fa'hu'dun'hu'shen'fu
魔法卷轴,mo'fa'juan'zhou
魔法免疫,mo'fa'mian'yi
魔法破坏者,mo'fa'po'huai'zhe
魔法闪耀,mo'fa'shan'yao
魔法吮吸,mo'fa'shun'xi
魔法吸收,mo'fa'xi'shou
魔法药水,mo'fa'yao'shui
魔法之泉,mo'fa'zhi'quan
魔法之石,mo'fa'zhi'shi
魔鬼缠身,mo'gui'chan'shen
牧师,mu'shi
娜迦,na'jia
娜迦女海巫,na'jia'nv'hai'wu
耐奥祖,nai'ao'zu
耐久光环,nai'jiu'guang'huan
闹鬼金矿,nao'gui'jin'kuang
能量垂饰,neng'liang'chui'shi
能量之书,neng'liang'zhi'shu
泥潭傀儡,ni'tan'kui'lei
鸟德,niao'de
宁静,ning'jing
宁静之雨,ning'jing'zhi'yu
牛头人,niu'tou'ren
牛头人酋长,niu'tou'ren'qiu'zhang
牛头人图腾,niu'tou'ren'tu'teng
农场,nong'chang
农民,nong'min
女猎流,nv'lie'liu
女猎手,nv'lie'shou
女巫,nv'wu
迫击炮小队,pai'ji'pao'xiao'dui
炮塔,pao'ta
破法者,po'fa'zhe
普通,pu'tong
骑乘角鹰兽,qi'cheng'jiao'ying'shou
奇美拉,qi'mei'la
欺骗者,qi'pian'zhe
骑士,qi'shi
骑士加狮鹫,qi'shi'jia'shi'jiu
强盗,qiang'dao
强盗领主,qiang'dao'ling'zhu
强化战鼓,qiang'hua'zhan'gu
强击光环,qiang'ji'guang'huan
强制者,qiang'zhi'zhe
青蜉蝣,qing'fu'you
轻甲,qing'jia
青龙,qing'long
青幼龙,qing'you'long
驱魔神符,qu'mo'shen'fu
驱散,qu'san
驱散模范,qu'san'mo'fan
全知浮雕,quan'zhi'fu'diao
群体传送,qun'ti'chuan'song
燃灰,ran'hui
燃烧弹,ran'shao'dan
燃烧汽油,ran'shao'qi'you
人类联盟,ren'lei'lian'meng
人族,ren'zu
人族万金油,ren'zu'wan'jin'you
人族一波流,ren'zu'yi'bo'liu
萨尔,sa'er
萨格拉斯,sa'ge'la'si
萨格拉斯之眼,sa'ge'la'si'zhi'yan
萨满,sa'man
萨满祭司,sa'man'ji'si
塞拉摩,sai'la'mo
赛特斯,sai'te'si
赛特斯之地狱使者,sai'te'si'zhi'di'yu'shi'zhe
赛特斯之黑暗舞者,sai'te'si'zhi'hei'an'wu'zhe
赛特斯之灵魂盗贼,sai'te'si'zhi'ling'hun'dao'zei
赛特斯之魔法师,sai'te'si'zhi'mo'fa'shi
森林巨魔,sen'lin'ju'mo
闪避,shan'bi
闪避护符,shan'bi'hu'fu
闪电盾牌,shan'dian'dun'pai
闪电链,shan'dian'lian
闪电权杖,shan'dian'quan'zhang
闪电蜥蜴,shan'dian'xi'yi
闪电之球,shan'dian'zhi'qiu
闪光弹,shan'guang'dan
山岭巨人,shan'ling'ju'ren
山丘之王,shan'qiu'zhi'wang
闪烁,shan'shuo
哨兵,shao'bing
哨塔,shao'ta
射击术,she'ji'shu
神秘藏宝室,shen'mi'cang'bao'shi
神秘圣地,shen'mi'sheng'di
神秘之塔,shen'mi'zhi'ta
神器,shen'qi
神圣护盾,shen'sheng'hu'dun
神圣药水,shen'sheng'yao'shui
神圣之光,shen'sheng'zhi'guang
深渊,shen'yuan
深渊领主,shen'yuan'ling'zhu
深渊魔王,shen'yuan'mo'wang
升级狂战士,sheng'ji'kuang'zhan'shi
生命护身符,sheng'ming'hu'shen'fu
生命回复,sheng'ming'hui'fu
生命手册,sheng'ming'shou'ce
生命吮吸,sheng'ming'shun'xi
生命吸取,sheng'ming'xi'qu
生命药水,sheng'ming'yao'shui
生命之泉,sheng'ming'zhi'quan
生命之树,sheng'ming'zhi'shu
圣骑,sheng'qi
圣骑士,sheng'qi'shi
市场,shi'chang
时间指示器,shi'jian'zhi'shi'qi
狮鹫笼,shi'jiu'long
狮鹫骑士,shi'jiu'qi'shi
食人魔手套,shi'ren'mo'shou'tao
侍僧,shi'seng
食尸,shi'shi
食尸鬼,shi'shi'gui
食尸鬼狂热,shi'shi'gui'kuang're
石像鬼,shi'xiang'gui
石像形态,shi'xiang'xing'tai
嗜血牛头流,shi'xue'niu'tou'liu
嗜血术,shi'xue'shu
守护指环,shou'hu'zhi'huan
收集尸体,shou'ji'shi'ti
兽栏,shou'lan
兽人地洞,shou'ren'di'dong
守望者,shou'wang'zhe
兽族,shou'zu
兽族步兵,shou'zu'bu'bing
兽族部落,shou'zu'bu'luo
树根缠绕,shu'gen'chan'rao
树魔高级牧师,shu'mo'gao'ji'mu'shi
树魔狂战士,shu'mo'kuang'zhan'shi
树魔猎手,shu'mo'lie'shou
树魔首领,shu'mo'shou'ling
树魔影子牧师,shu'mo'ying'zi'mu'shi
树人,shu'ren
树妖,shu'yao
霜冻护甲,shuang'dong'hu'jia
霜冻新星,shuang'dong'xin'xing
霜冻之球,shuang'dong'zhi'qiu
霜之新星,shuang'zhi'xin'xing
双足飞龙,shuang'zu'fei'long
水晶阿卡那瑟德,shui'jing'a'ka'na'se'de
水晶球,shui'jing'qiu
睡眠,shui'mian
水元素,shui'yuan'su
死亡缠绕,si'wang'chan'rao
死亡凋零,si'wang'diao'ling
死亡面罩,si'wang'mian'zhao
死亡骑士,si'wang'qi'shi
死亡契约,si'wang'qi'yue
死亡之书,si'wang'zhi'shu
速度卷轴,su'du'juan'zhou
速度神符,su'du'shen'fu
速度之靴,su'du'zhi'xue
酸性炸弹,suan'xing'zha'dan
碎片攻击,sui'pian'gong'ji
探测隐形,tan'ce'yin'xing
提升能力型,ti'sheng'neng'li'xing
填充型,tian'chong'xing
天地鬼,tian'di'gui
天地双鬼,tian'di'shuang'gui
天地双鬼流,tian'di'shuang'gui'liu
天神下凡,tian'shen'xia'fan
天灾骨钟,tian'zai'gu'zhong
铁匠铺,tie'jiang'pu
通灵塔,tong'ling'ta
投刃车,tou'ren'che
投刃车流,tou'ren'che'liu
透视,tou'shi
投石车,tou'shi'che
投石车流,tou'shi'che'liu
土匪,tu'fei
图斯卡尔格斗者,tu'si'ka'er'ge'dou'zhe
图斯卡尔猎人,tu'si'ka'er'lie'ren
图斯卡尔男巫,tu'si'ka'er'nan'wu
图斯卡尔枪兵,tu'si'ka'er'qiang'bing
图斯卡尔酋长,tu'si'ka'er'qiu'zhang
图斯卡尔巫师,tu'si'ka'er'wu'shi
图斯卡尔战士,tu'si'ka'er'zhan'shi
屠宰场,tu'zai'chang
吞噬,tun'shi
吞噬魔法,tun'shi'mo'fa
挖掘尸体,wa'jue'shi'ti
万金油,wan'jin'you
王冠,wang'guan
亡灵法师,wang'ling'fa'shi
微恢复药水,wei'hui'fu'yao'shui
猥琐流,wei'suo'liu
无敌,wu'di
无敌黑暗猎人,wu'di'hei'an'lie'ren
无敌黑暗舞者,wu'di'hei'an'wu'zhe
无敌狂暴者,wu'di'kuang'bao'zhe
无敌药水,wu'di'yao'shui
巫毒,wu'du
巫毒商店,wu'du'shang'dian
无甲,wu'jia
无名恐怖者,wu'ming'kong'bu'zhe
无名骗士,wu'ming'pian'shi
无名死灵,wu'ming'si'ling
巫师变节者,wu'shi'bian'jie'zhe
巫师学徒,wu'shi'xue'tu
巫术之杖,wu'shu'zhi'zhang
无维修费用,wu'wei'xiu'fei'yong
巫妖,wu'yao
巫妖王,wu'yao'wang
巫医,wu'yi
西尔瓦娜斯,xi'er'wa'na'si
牺牲,xi'sheng
牺牲深渊,xi'sheng'shen'yuan
吸血光环,xi'xie'guang'huan
吸血药水,xi'xie'yao'shui
蜥蜴怪物,xi'yi'guai'wu
献祭,xian'ji
陷阱守卫,xian'jing'shou'wei
显影之尘,xian'ying'zhi'chen
先知,xian'zhi
小复活神符,xiao'fu'huo'shen'fu
消耗型,xiao'hao'xing
小黑,xiao'hei
小回复卷轴,xiao'hui'fu'juan'zhou
小恢复药水,xiao'hui'fu'yao'shui
小净化药水,xiao'jing'hua'yao'shui
小精灵,xiao'jing'ling
小酒馆,xiao'jiu'guan
小鹿流,xiao'lu'liu
消魔,xiao'mo
小魔法神符,xiao'mo'fa'shen'fu
小炮流,xiao'pao'liu
小强,xiao'qiang
小强蜘蛛流,xiao'qiang'zhi'zhu'liu
枭兽,xiao'shou
小蜥蜴,xiao'xi'yi
小小强,xiao'xiao'qiang
小治疗神符,xiao'zhi'liao'shen'fu
小蜘蛛,xiao'zhi'zhu
邪恶光环,xie'e'guang'huan
邪恶狂热,xie'e'kuang're
邪恶漫步者,xie'e'man'bu'zhe
卸下尸体,xie'xia'shi'ti
心灵之火,xin'ling'zhi'huo
熊德,xiong'de
熊怪,xiong'guai
熊怪萨满,xiong'guai'sa'man
熊怪萨满长者,xiong'guai'sa'man'zhang'zhe
熊怪首领,xiong'guai'shou'ling
熊怪乌萨战士,xiong'guai'wu'sa'zhan'shi
熊怪追踪者,xiong'guai'zhui'zong'zhe
熊鹿,xiong'lu
熊鹿流,xiong'lu'liu
熊猫酒仙,xiong'mao'jiu'xian
熊形态,xiong'xing'tai
修补匠,xiu'bu'jiang
虚无状态,xu'wu'zhuang'tai
血魔法师,xue'mo'fa'shi
血浴之母,xue'yu'zhi'mu
驯兽师,xun'shou'shi
岩石傀儡,yan'shi'kui'lei
岩石印记,yan'shi'yin'ji
要塞,yao'sai
妖术,yao'shu
野兽幽魂,ye'shou'you'hun
野性护符,ye'xing'hu'fu
野性护身符,ye'xing'hu'shen'fu
一波流,yi'bo'liu
异教徒,yi'jiao'tu
伊利丹,yi'li'dan
医疗,yi'liao
医疗波,yi'liao'bo
医疗剂,yi'liao'ji
艺人面罩,yi'ren'mian'zhao
隐身,yin'shen
隐身术,yin'shen'shu
隐身药水,yin'shen'yao'shui
隐形,yin'xing
阴影之狼,yin'ying'zhi'lang
影遁,ying'dun
硬弓,ying'gong
硬化皮肤,ying'hua'pi'fu
鹰身女妖风暴巫师,ying'shen'nv'yao'feng'bao'wu'shi
鹰身女妖流氓,ying'shen'nv'yao'liu'mang
鹰身女妖女皇,ying'shen'nv'yao'nv'huang
鹰身女妖巫婆,ying'shen'nv'yao'wu'po
英勇头盔,ying'yong'tou'kui
永恒之树,yong'heng'zhi'shu
永久型,yong'jiu'xing
勇气勋章,yong'qi'xun'zhang
诱捕,you'bu
幽灵之狼,you'ling'zhi'lang
玉蝴蝶流,yu'hu'die'liu
淤泥怪物,yu'ni'guai'wu
淤泥投手,yu'ni'tou'shou
淤泥战士,yu'ni'zhan'shi
远古神灵,yuan'gu'shen'ling
远古之树,yuan'gu'zhi'shu
月亮井,yue'liang'jing
月女,yue'nv
月刃,yue'ren
月之女祭司,yue'zhi'nv'ji'si
云雾,yun'wu
灾祸树人,zai'huo'shu'ren
憎恶,zeng'wu
憎恶毁灭流,zeng'wu'hui'mie'liu
炸弹人,zha'dan'ren
战歌之鼓,zhan'ge'zhi'gu
战鼓,zhan'gu
战棍,zhan'gun
占据,zhan'ju
战争古树,zhan'zheng'gu'shu
战争践踏,zhan'zheng'jian'ta
战争傀儡,zhan'zheng'kui'lei
战争磨坊,zhan'zheng'mo'fang
召唤豪猪,zhao'huan'hao'zhu
召唤熊,zhao'huan'xiong
召唤岩浆怪,zhao'huan'yan'jiang'guai
召唤战鹰,zhao'huan'zhan'ying
召集民兵,zhao'ji'min'bing
真实视野,zhen'shi'shi'ye
蒸汽坦克,zheng'qi'tan'ke
智慧披风,zhi'hui'pi'feng
智慧之书,zhi'hui'zhi'shu
治疗卷轴,zhi'liao'juan'zhou
治疗喷雾,zhi'liao'pen'wu
治疗神符,zhi'liao'shen'fu
治疗守卫,zhi'liao'shou'wei
致命一击,zhi'ming'yi'ji
知识之书,zhi'shi'zhi'shu
蜘蛛,zhi'zhu
蜘蛛流,zhi'zhu'liu
中和权杖,zhong'he'quan'zhang
重击,zhong'ji
重甲,zhong'jia
中甲,zhong'jia
中立英雄,zhong'li'ying'xiong
蛛网,zhu'wang
蛛网怪女皇,zhu'wang'guai'nv'huang
蛛网怪首领,zhu'wang'guai'shou'ling
蛛网怪塔,zhu'wang'guai'ta
蛛网怪预言者,zhu'wang'guai'yu'yan'zhe
蛛网怪战士,zhu'wang'guai'zhan'shi
蛛网怪织网者,zhu'wang'guai'zhi'wang'zhe
专家级利爪德鲁依训练,zhuan'jia'ji'li'zhua'de'lu'yi'xun'lian
专家级灵魂行者训练,zhuan'jia'ji'ling'hun'xing'zhe'xun'lian
专家级猛禽德鲁依训练,zhuan'jia'ji'meng'qin'de'lu'yi'xun'lian
专家级牧师训练,zhuan'jia'ji'mu'shi'xun'lian
专家级女巫训练,zhuan'jia'ji'nv'wu'xun'lian
专家级女妖训练,zhuan'jia'ji'nv'yao'xun'lian
专家级萨满训练,zhuan'jia'ji'sa'man'xun'lian
专家级亡灵巫师训练,zhuan'jia'ji'wang'ling'wu'shi'xun'lian
专家级巫医训练,zhuan'jia'ji'wu'yi'xun'lian
专注光环,zhuan'zhu'guang'huan
灼热之箭,zhuo're'zhi'jian
自爆,zi'bao
自然之力,zi'ran'zhi'li
资源,zi'yuan
诅咒,zu'zhou
钻地,zuan'di
醉酒云雾,zui'jiu'yun'wu
醉拳,zui'quan
