哀牢山带,ai'lao'shan'dai
观测线路,guan'ce'xian'lu
海啸,hai'xiao
海原松潘雅安带,hai'yuan'song'pan'ya'an'dai
河北平原带,he'bei'ping'yuan'dai
河西走廊带,he'xi'zou'lang'dai
横波,heng'bo
宏观前兆,hong'guan'qian'zhao
宏观震中,hong'guan'zhen'zhong
户外避震,hu'wai'bi'zhen
滑坡,hua'po
花石峡带,hua'shi'xia'dai
环太平洋地震带,huan'tai'ping'yang'di'zhen'dai
火山爆发,huo'shan'bao'fa
火山地震,huo'shan'di'zhen
火山监测研究,huo'shan'jian'ce'yan'jiu
火灾,huo'zai
极震区,ji'zhen'qu
家庭避震,jia'ting'bi'zhen
监测环境,jian'ce'huan'jing
监测设施,jian'ce'she'shi
监测仪器设备,jian'ce'yi'qi'she'bei
间接伤害,jian'jie'shang'hai
建筑物,jian'zhu'wu
建筑物结构抗震实验,jian'zhu'wu'jie'gou'kang'zhen'shi'yan
近震,jin'zhen
井壁变形,jing'bi'bian'xing
经常性微动,jing'chang'xing'wei'dong
井房,jing'fang
经纬度,jing'wei'du
巨大地震,ju'da'di'zhen
抗御行动,kang'yu'xing'dong
抗震场地,kang'zhen'chang'di
抗震设计,kang'zhen'she'ji
抗震施工,kang'zhen'shi'gong
旷地带避震,kuang'di'dai'bi'zhen
矿震监测研究,kuang'zhen'jian'ce'yan'jiu
拉萨察隅带,la'sa'cha'yu'dai
兰州天水带,lan'zhou'tian'shui'dai
勒夫波,le'fu'bo
里氏地震规模,li'shi'di'zhen'gui'mo
里氏规模,li'shi'gui'mo
烈度,lie'du
临震预报,lin'zhen'yu'bao
炉霍乾宁带,lu'huo'qian'ning'dai
马边巧家通海带,ma'bian'qiao'jia'tong'hai'dai
脉动,mai'dong
美洲板块,mei'zhou'ban'kuai
面波,mian'bo
冕宁西昌鱼鮓带,mian'ning'xi'chang'yu'zha'dai
闽粤沿海带,min'yue'yan'hai'dai
南极洲板块,nan'ji'zhou'ban'kuai
能量冲击,neng'liang'chong'ji
能量单位,neng'liang'dan'wei
泥石流,ni'shi'liu
粘滑,nian'hua
粘滑地震,nian'hua'di'zhen
粘滞耦合地震计,nian'zhi'ou'he'di'zhen'ji
欧亚大陆内部,ou'ya'da'lu'nei'bu
欧亚地震带,ou'ya'di'zhen'dai
喷气发响,pen'qi'fa'xiang
破坏程度,po'huai'cheng'du
破坏特点,po'huai'te'dian
破坏现象,po'huai'xian'xiang
破坏性地震,po'huai'xing'di'zhen
浅源地震,qian'yuan'di'zhen
前震,qian'zhen
强震,qiang'zhen
强震动,qiang'zhen'dong
强震震级,qiang'zhen'zhen'ji
人工地震,ren'gong'di'zhen
日本关东地震,ri'ben'guan'dong'di'zhen
瑞利波,rui'li'bo
弱震,ruo'zhen
弱震震级,ruo'zhen'zhen'ji
三点法,san'dian'fa
三点校正法,san'dian'jiao'zheng'fa
三分量动圈式地震仪,san'fen'liang'dong'quan'shi'di'zhen'yi
三分量加速度仪,san'fen'liang'jia'su'du'yi
三分量强震仪,san'fen'liang'qiang'zhen'yi
三分向地震仪,san'fen'xiang'di'zhen'yi
三合地震台网,san'he'di'zhen'tai'wang
三角测量,san'jiao'ce'liang
三角洲,san'jiao'zhou
三维波速结构,san'wei'bo'su'jie'gou
三维地震模型,san'wei'di'zhen'mo'xing
三轴地震计,san'zhou'di'zhen'ji
山西带,shan'xi'dai
陕西渭河平原地震带,shan'xi'wei'he'ping'yuan'di'zhen'dai
上下颠簸振动,shang'xia'dian'bo'zhen'dong
深井注水,shen'jing'zhu'shui
深源地震,shen'yuan'di'zhen
生物异常,sheng'wu'yi'chang
世界地震分布,shi'jie'di'zhen'fen'bu
实验数据,shi'yan'shu'ju
双震型地震,shuang'zhen'xing'di'zhen
水点,shui'dian
水库地震监测研究,shui'ku'di'zhen'jian'ce'yan'jiu
水库蓄水,shui'ku'xu'shui
水量增加,shui'liang'zeng'jia
水位上升,shui'wei'shang'sheng
水灾,shui'zai
瞬时性,shun'shi'xing
太平洋板块,tai'ping'yang'ban'kuai
台湾带,tai'wan'dai
特大破坏性地震,te'da'po'huai'xing'di'zhen
腾冲澜沧带,teng'chong'lan'cang'dai
体波,ti'bo
天然地震,tian'ran'di'zhen
天山带,tian'shan'dai
通信设施,tong'xin'she'shi
微观前兆,wei'guan'qian'zhao
微观震,wei'guan'zhen
微观震中,wei'guan'zhen'zhong
渭河平原带,wei'he'ping'yuan'dai
瘟疫,wen'yi
西藏西部带,xi'zang'xi'bu'dai
陷落地震,xian'luo'di'zhen
新构造年代测试,xin'gou'zao'nian'dai'ce'shi
修订麦加利地震烈度表,xiu'ding'mai'jia'li'di'zhen'lie'du'biao
亚欧板块,ya'ou'ban'kuai
岩崩地震,yan'beng'di'zhen
岩层断裂,yan'ceng'duan'lie
岩层界面,yan'ceng'jie'mian
雁行式断裂,yan'hang'shi'duan'lie
岩浆冲击说,yan'jiang'chong'ji'shuo
岩浆库,yan'jiang'ku
岩浆水,yan'jiang'shui
岩浆岩,yan'jiang'yan
沿界面,yan'jie'mian
雁列构造,yan'lie'gou'zao
岩溶景观,yan'rong'jing'guan
岩溶水,yan'rong'shui
赝瑞利波,yan'rui'li'bo
燕山运动,yan'shan'yun'dong
岩石断裂力学,yan'shi'duan'lie'li'xue
岩石静压力,yan'shi'jing'ya'li
岩石力学,yan'shi'li'xue
岩石力学性质,yan'shi'li'xue'xing'zhi
岩石漆,yan'shi'qi
岩石圈,yan'shi'quan
岩石圈板块,yan'shi'quan'ban'kuai
岩石圈地震,yan'shi'quan'di'zhen
岩石圈断裂,yan'shi'quan'duan'lie
岩石水理性质,yan'shi'shui'li'xing'zhi
岩体静压力,yan'ti'jing'ya'li
岩体强度,yan'ti'qiang'du
验震器,yan'zhen'qi
赝重力,yan'zhong'li
严重破坏性地震,yan'zhong'po'huai'xing'di'zhen
仰冲板块,yang'chong'ban'kuai
阳离子交替吸附作用,yang'li'zi'jiao'ti'xi'fu'zuo'yong
杨氏模量,yang'shi'mo'liang
遥测地震台网,yao'ce'di'zhen'tai'wang
遥测地震仪,yao'ce'di'zhen'yi
遥测点用房,yao'ce'dian'yong'fang
遥感,yao'gan
遥感应用,yao'gan'ying'yong
液化,ye'hua
野外避震,ye'wai'bi'zhen
一般破坏性地震,yi'ban'po'huai'xing'di'zhen
夷平面,yi'ping'mian
仪器房,yi'qi'fang
仪器震中,yi'qi'zhen'zhong
易损性分析,yi'sun'xing'fen'xi
伊通火山群,yi'tong'huo'shan'qun
一致概率反应谱,yi'zhi'gai'lv'fan'ying'pu
银川带,yin'chuan'dai
印度板块,yin'du'ban'kuai
印度洋板块,yin'du'yang'ban'kuai
隐伏断层,yin'fu'duan'ceng
银河系,yin'he'xi
引力定律,yin'li'ding'lv
应变场,ying'bian'chang
应变地震图,ying'bian'di'zhen'tu
应变地震仪,ying'bian'di'zhen'yi
应变分布图,ying'bian'fen'bu'tu
应变积累,ying'bian'ji'lei
应变释放,ying'bian'shi'fang
应变图,ying'bian'tu
应变椭球,ying'bian'tuo'qiu
应变仪,ying'bian'yi
应变张量,ying'bian'zhang'liang
营口郯城庐江带,ying'kou'tan'cheng'lu'jiang'dai
应力场,ying'li'chang
应力积累,ying'li'ji'lei
应力集中,ying'li'ji'zhong
应力降,ying'li'jiang
应力释放,ying'li'shi'fang
应力松弛,ying'li'song'chi
应力椭圆,ying'li'tuo'yuan
应力状态,ying'li'zhuang'tai
应用地球物理学,ying'yong'di'qiu'wu'li'xue
应用地震学,ying'yong'di'zhen'xue
诱发地震,you'fa'di'zhen
有感地震,you'gan'di'zhen
阈限应力,yu'xian'ying'li
预应力,yu'ying'li
余震,yu'zhen
预震,yu'zhen
远场体波,yuan'chang'ti'bo
原始大气圈,yuan'shi'da'qi'quan
原始火球假说,yuan'shi'huo'qiu'jia'shuo
元素的地球化学分布,yuan'su'de'di'qiu'hua'xue'fen'bu
远震,yuan'zhen
远震台网,yuan'zhen'tai'wang
远震仪,yuan'zhen'yi
陨石坠落,yun'shi'zhui'luo
孕震构造,yun'zhen'gou'zao
孕震构造体系,yun'zhen'gou'zao'ti'xi
灾变说,zai'bian'shuo
灾害链,zai'hai'lian
灾害破坏,zai'hai'po'huai
灾害性地震,zai'hai'xing'di'zhen
灾后生活,zai'hou'sheng'huo
造陆运动,zao'lu'yun'dong
造山带,zao'shan'dai
造山幕,zao'shan'mu
造山运动,zao'shan'yun'dong
炸药爆破,zha'yao'bao'po
占星学,zhan'xing'xue
张德勒运动,zhang'de'le'yun'dong
张德勒周期,zhang'de'le'zhou'qi
张节理,zhang'jie'li
胀缩波,zhang'suo'bo
张性断裂,zhang'xing'duan'lie
张性结构面,zhang'xing'jie'gou'mian
折射波,zhe'she'bo
折射波地震勘探,zhe'she'bo'di'zhen'kan'tan
折射层,zhe'she'ceng
折射地震仪,zhe'she'di'zhen'yi
折射面,zhe'she'mian
折射剖面,zhe'she'pou'mian
褶皱带,zhe'zhou'dai
褶皱地震,zhe'zhou'di'zhen
褶皱幕,zhe'zhou'mu
褶皱运动,zhe'zhou'yun'dong
褶皱作用,zhe'zhou'zuo'yong
震波图,zhen'bo'tu
震磁效应,zhen'ci'xiao'ying
震电效应,zhen'dian'xiao'ying
震动,zhen'dong
振动方向,zhen'dong'fang'xiang
真方位角,zhen'fang'wei'jiao
震感区,zhen'gan'qu
震害,zhen'hai
震害重复性,zhen'hai'chong'fu'xing
震害调查,zhen'hai'diao'cha
震害统计,zhen'hai'tong'ji
震害预测,zhen'hai'yu'ce
震后效应,zhen'hou'xiao'ying
震级,zhen'ji
震级残差,zhen'ji'can'cha
震级档,zhen'ji'dang
震级上限,zhen'ji'shang'xian
震级时间曲线,zhen'ji'shi'jian'qu'xian
震级限值,zhen'ji'xian'zhi
震裂带,zhen'lie'dai
震前滑动,zhen'qian'hua'dong
震前平静,zhen'qian'ping'jing
震前形变,zhen'qian'xing'bian
震情,zhen'qing
震区,zhen'qu
震群,zhen'qun
震群型地震,zhen'qun'xing'di'zhen
震相,zhen'xiang
震相分析,zhen'xiang'fen'xi
震影,zhen'ying
震源,zhen'yuan
震源参数,zhen'yuan'can'shu
震源尺度,zhen'yuan'chi'du
震源道,zhen'yuan'dao
震源定位,zhen'yuan'ding'wei
震源动力学,zhen'yuan'dong'li'xue
震源几何学,zhen'yuan'ji'he'xue
震源机制,zhen'yuan'ji'zhi
震源距,zhen'yuan'ju
震源力,zhen'yuan'li
震源谱,zhen'yuan'pu
震源浅,zhen'yuan'qian
震源球,zhen'yuan'qiu
震源深度,zhen'yuan'shen'du
震源时间函数,zhen'yuan'shi'jian'han'shu
震源体积,zhen'yuan'ti'ji
震源孕育,zhen'yuan'yun'yu
震中,zhen'zhong
震中对点,zhen'zhong'dui'dian
震中加速度,zhen'zhong'jia'su'du
震中距,zhen'zhong'ju
震中烈度,zhen'zhong'lie'du
正常重力,zheng'chang'zhong'li
正常重力场,zheng'chang'zhong'li'chang
正断层,zheng'duan'ceng
整合,zheng'he
正应力,zheng'ying'li
直达波,zhi'da'bo
直接记录地震仪,zhi'jie'ji'lu'di'zhen'yi
直接伤害,zhi'jie'shang'hai
直接灾害破坏,zhi'jie'zai'hai'po'huai
质谱仪,zhi'pu'yi
直下型地震,zhi'xia'xing'di'zhen
质子磁力仪,zhi'zi'ci'li'yi
中长期预报,zhong'chang'qi'yu'bao
中等破坏性地震,zhong'deng'po'huai'xing'di'zhen
中国板块,zhong'guo'ban'kuai
中国大陆地壳应力环境数据,zhong'guo'da'lu'di'qiao'ying'li'huan'jing'shu'ju
中国第四纪冰川期,zhong'guo'di'si'ji'bing'chuan'qi
中国地震分布,zhong'guo'di'zhen'fen'bu
中国南北地震带,zhong'guo'nan'bei'di'zhen'dai
中国主要地震带,zhong'guo'zhu'yao'di'zhen'dai
中继站,zhong'ji'zhan
重力,zhong'li
重力波,zhong'li'bo
重力测量,zhong'li'ce'liang
重力场,zhong'li'chang
重力沉降,zhong'li'chen'jiang
重力低,zhong'li'di
重力高,zhong'li'gao
重力构造,zhong'li'gou'zao
重力观测,zhong'li'guan'ce
重力加速度,zhong'li'jia'su'du
重力校正,zhong'li'jiao'zheng
重力均衡校正,zhong'li'jun'heng'jiao'zheng
重力均衡异常,zhong'li'jun'heng'yi'chang
重力能,zhong'li'neng
重力势,zhong'li'shi
重力水,zhong'li'shui
重力梯度,zhong'li'ti'du
重力图,zhong'li'tu
重力仪,zhong'li'yi
重力异常,zhong'li'yi'chang
重力异常场,zhong'li'yi'chang'chang
重量分析,zhong'liang'fen'xi
中强震,zhong'qiang'zhen
中强震震级,zhong'qiang'zhen'zhen'ji
中心式喷发,zhong'xin'shi'pen'fa
中源地震,zhong'yuan'di'zhen
中周期地震仪,zhong'zhou'qi'di'zhen'yi
驻波,zhu'bo
主应力,zhu'ying'li
主震,zhu'zhen
主震型地震,zhu'zhen'xing'di'zhen
主震型序列,zhu'zhen'xing'xu'lie
主震震级,zhu'zhen'zhen'ji
转换波,zhuan'huan'bo
转换断层,zhuan'huan'duan'ceng
专用道路,zhuan'yong'dao'lu
专用堤坝,zhuan'yong'di'ba
卓越周期,zhuo'yue'zhou'qi
子波,zi'bo
自流水,zi'liu'shui
自然电位,zi'ran'dian'wei
自然电位法,zi'ran'dian'wei'fa
自然物,zi'ran'wu
自旋磁共振,zi'xuan'ci'gong'zhen
自由空间校正,zi'you'kong'jian'jiao'zheng
自由空间异常,zi'you'kong'jian'yi'chang
纵波,zong'bo
走时表,zou'shi'biao
走时差,zou'shi'cha
走向,zou'xiang
走向滑动断层,zou'xiang'hua'dong'duan'ceng
最大概率地震,zui'da'gai'lv'di'zhen
最大烈度,zui'da'lie'du
最大主应力,zui'da'zhu'ying'li
最可信地震,zui'ke'xin'di'zhen
