阿斯玛,a'si'ma
柔拳法,rou'quan'fa
色诱术,se'you'shu
色诱术布丁组合,se'you'shu'bu'ding'zu'he
色诱术逆后宫之术,se'you'shu'ni'hou'gong'zhi'shu
森乃伊比喜,sen'nai'yi'bi'xi
沙遁,sha'dun
莎拉娜,sha'la'na
砂之国,sha'zhi'guo
山城青叶,shan'cheng'qing'ye
山中一族,shan'zhong'yi'zu
上忍,shang'ren
神罗天征,shen'luo'tian'zheng
神树,shen'shu
神树界降临,shen'shu'jie'jiang'lin
神威,shen'wei
神月出云,shen'yue'chu'yun
深作,shen'zuo
矢仓,shi'cang
十尾,shi'wei
狮子连弹,shi'zi'lian'dan
守鹤,shou'he
手鞠,shou'ju
手里剑,shou'li'jian
树界降临,shu'jie'jiang'lin
水遁,shui'dun
水遁大瀑布之术,shui'dun'da'pu'bu'zhi'shu
水遁水龙弹之术,shui'dun'shui'long'dan'zhi'shu
水门,shui'men
水木,shui'mu
水影,shui'ying
瞬身,shun'shen
四角,si'jiao
巳月,si'yue
孙悟空,sun'wu'kong
替身术,ti'shen'shu
天碍震星,tian'ai'zhen'xing
天手力,tian'shou'li
天天,tian'tian
天照,tian'zhao
天之御中,tian'zhi'yu'zhong
铁臂蛤蟆,tie'bi'ha'ma
通灵术,tong'ling'shu
土遁,tu'dun
土遁黄泉沼,tu'dun'huang'quan'zhao
土遁天降粘土,tu'dun'tian'jiang'nian'tu
土遁土流壁,tu'dun'tu'liu'bi
土遁土龙弹之术,tu'dun'tu'long'dan'zhi'shu
土遁土隆枪,tu'dun'tu'long'qiang
土遁心中斩首术,tu'dun'xin'zhong'zhan'shou'shu
土遁岩隐之术,tu'dun'yan'yin'zhi'shu
土遁追牙之术,tu'dun'zhui'ya'zhi'shu
土影,tu'ying
团藏,tuan'zang
豚豚,tun'tun
外道轮回天生之术,wai'dao'lun'hui'tian'sheng'zhi'shu
外道魔像,wai'dao'mo'xiang
万花筒写轮眼,wan'hua'tong'xie'lun'yan
万蛇,wan'she
万象天引,wan'xiang'tian'yin
尾兽玉螺旋手里剑,wei'shou'yu'luo'xuan'shou'li'jian
我爱罗,wo'ai'luo
乌冬,wu'dong
无限月读,wu'xian'yue'du
五影,wu'ying
犀犬,xi'quan
夕日红,xi'ri'hong
下忍,xia'ren
仙法,xian'fa
仙法磁遁螺旋丸,xian'fa'ci'dun'luo'xuan'wan
仙法火遁五右卫门,xian'fa'huo'dun'wu'you'wei'men
仙法岚遁光牙,xian'fa'lan'dun'guang'ya
仙法熔遁螺旋手里剑,xian'fa'rong'dun'luo'xuan'shou'li'jian
仙法阴遁雷派,xian'fa'yin'dun'lei'pai
香燐,xiang'lin
小楠,xiao'nan
小樱,xiao'ying
写轮眼,xie'lun'yan
须佐能乎,xu'zuo'neng'hu
漩涡玖辛奈,xuan'wo'jiu'xin'nai
漩涡一族,xuan'wo'yi'zu
血红辣椒,xue'hong'la'jiao
血继淘汰,xue'ji'tao'tai
血继网罗,xue'ji'wang'luo
血继限界,xue'ji'xian'jie
岩部,yan'bu
炎遁八坂勾玉,yan'dun'ba'ban'gou'yu
炎遁加具土命,yan'dun'jia'ju'tu'ming
阳遁,yang'dun
夜叉丸,ye'cha'wan
野原琳,ye'yuan'lin
一乐拉面,yi'le'la'mian
医疗术,yi'liao'shu
伊鲁卡,yi'lu'ka
伊那里,yi'na'li
伊邪那美,yi'xie'na'mei
伊邪那岐,yi'xie'na'qi
阴遁,yin'dun
因陀罗,yin'tuo'luo
影分身,ying'fen'shen
影舞叶,ying'wu'ye
永恒万花筒写轮眼,yong'heng'wan'hua'tong'xie'lun'yan
由良,you'liang
油女一族,you'nv'yi'zu
御手洗红豆,yu'shou'xi'hong'dou
预言之子,yu'yan'zhi'zi
雨隐村,yu'yin'cun
宇智波富岳,yu'zhi'bo'fu'yue
宇智波美琴,yu'zhi'bo'mei'qin
宇智波一族,yu'zhi'bo'yi'zu
猿飞一族,yuan'fei'yi'zu
月读,yue'du
云隐村,yun'yin'cun
再不斩,zai'bu'zhan
斩首大刀,zhan'shou'da'dao
照美冥,zhao'mei'ming
沼之矛,zhao'zhi'mao
志麻,zhi'ma
志乃,zhi'nai
止水,zhi'shui
重明,zhong'ming
中忍,zhong'ren
重吾,zhong'wu
柱间,zhu'jian
猪鹿蝶,zhu'lu'die
灼遁,zhuo'dun
自来也,zi'lai'ye
佐井,zuo'jing
佐助,zuo'zhu
