阿阳路,a'yang'lu
长塬,chang'yuan
长塬村,chang'yuan'cun
扯弓塬,che'gong'yuan
扯弓塬村,che'gong'yuan'cun
车李,che'li
车李村,che'li'cun
陈安,chen'an
陈安村,chen'an'cun
陈岔,chen'cha
陈岔村,chen'cha'cun
晨光,chen'guang
晨光村,chen'guang'cun
陈河,chen'he
陈河村,chen'he'cun
陈局,chen'ju
陈局村,chen'ju'cun
陈马,chen'ma
陈马村,chen'ma'cun
陈坪,chen'ping
陈坪村,chen'ping'cun
陈峡,chen'xia
陈峡村,chen'xia'cun
城川乡,cheng'chuan'xiang
城川乡陈马村,cheng'chuan'xiang'chen'ma'cun
城川乡大寨村,cheng'chuan'xiang'da'zhai'cun
城川乡冯局村,cheng'chuan'xiang'feng'ju'cun
城川乡甘河村,cheng'chuan'xiang'gan'he'cun
城川乡高湾村,cheng'chuan'xiang'gao'wan'cun
城川乡红旗村,cheng'chuan'xiang'hong'qi'cun
城川乡靳寺村,cheng'chuan'xiang'jin'si'cun
城川乡咀头村,cheng'chuan'xiang'ju'tou'cun
城川乡吴庙村,cheng'chuan'xiang'wu'miao'cun
城川乡杨庄村,cheng'chuan'xiang'yang'zhuang'cun
城关镇,cheng'guan'zhen
城关镇东关村,cheng'guan'zhen'dong'guan'cun
城关镇南关村,cheng'guan'zhen'nan'guan'cun
城关镇西关村,cheng'guan'zhen'xi'guan'cun
城关镇峡门村,cheng'guan'zhen'xia'men'cun
城关镇新城村,cheng'guan'zhen'xin'cheng'cun
程梁,cheng'liang
程梁村,cheng'liang'cun
程马,cheng'ma
程马村,cheng'ma'cun
程硖,cheng'xia
程硖村,cheng'xia'cun
程义,cheng'yi
程义村,cheng'yi'cun
程垣,cheng'yuan
程垣村,cheng'yuan'cun
崔岔,cui'cha
崔岔村,cui'cha'cun
大岔,da'cha
大岔村,da'cha'cun
大河,da'he
大河村,da'he'cun
大柳,da'liu
大柳村,da'liu'cun
大路,da'lu
大路村,da'lu'cun
大湾,da'wan
大湾村,da'wan'cun
大寨,da'zhai
大寨村,da'zhai'cun
大庄,da'zhuang
大庄村,da'zhuang'cun
大庄坪,da'zhuang'ping
大庄坪村,da'zhuang'ping'cun
店子,dian'zi
店子村,dian'zi'cun
吊岔,diao'cha
吊岔村,diao'cha'cun
丁寺,ding'si
丁寺村,ding'si'cun
东城区,dong'cheng'qu
东城区居委会,dong'cheng'qu'ju'wei'hui
东关,dong'guan
东关村,dong'guan'cun
东湾,dong'wan
东湾村,dong'wan'cun
东张,dong'zhang
东张村,dong'zhang'cun
东庄,dong'zhuang
东庄村,dong'zhuang'cun
豆河,dou'he
豆河村,dou'he'cun
豆坪,dou'ping
豆坪村,dou'ping'cun
杜河,du'he
杜河村,du'he'cun
段岔,duan'cha
段岔村,duan'cha'cun
段渠,duan'qu
段渠村,duan'qu'cun
二堡,er'bao
二堡村,er'bao'cun
二夫,er'fu
二夫村,er'fu'cun
二河,er'he
二河村,er'he'cun
范堡,fan'bao
范堡村,fan'bao'cun
樊沟,fan'gou
樊沟村,fan'gou'cun
樊梁,fan'liang
樊梁村,fan'liang'cun
冯局,feng'ju
冯局村,feng'ju'cun
甘沟,gan'gou
甘沟村,gan'gou'cun
甘沟乡,gan'gou'xiang
甘沟乡大柳村,gan'gou'xiang'da'liu'cun
甘沟乡甘沟村,gan'gou'xiang'gan'gou'cun
甘沟乡圪垯村,gan'gou'xiang'ge'da'cun
甘沟乡后湾村,gan'gou'xiang'hou'wan'cun
甘沟乡靳马村,gan'gou'xiang'jin'ma'cun
甘沟乡雷黄村,gan'gou'xiang'lei'huang'cun
甘沟乡梁岔村,gan'gou'xiang'liang'cha'cun
甘沟乡刘杨村,gan'gou'xiang'liu'yang'cun
甘沟乡马咀村,gan'gou'xiang'ma'ju'cun
甘沟乡马坡村,gan'gou'xiang'ma'po'cun
甘沟乡庙岔村,gan'gou'xiang'miao'cha'cun
甘沟乡牡丹村,gan'gou'xiang'mu'dan'cun
甘沟乡祁川村,gan'gou'xiang'qi'chuan'cun
甘沟乡上岔村,gan'gou'xiang'shang'cha'cun
甘沟乡水坪村,gan'gou'xiang'shui'ping'cun
甘沟乡屯堡村,gan'gou'xiang'tun'bao'cun
甘沟乡王川村,gan'gou'xiang'wang'chuan'cun
甘沟乡响刘村,gan'gou'xiang'xiang'liu'cun
甘沟乡小岔村,gan'gou'xiang'xiao'cha'cun
甘沟乡小河村,gan'gou'xiang'xiao'he'cun
甘沟乡崖湾村,gan'gou'xiang'ya'wan'cun
甘沟乡闫岔村,gan'gou'xiang'yan'cha'cun
甘沟乡闫湾村,gan'gou'xiang'yan'wan'cun
甘沟乡杨咀村,gan'gou'xiang'yang'ju'cun
甘沟乡余岔村,gan'gou'xiang'yu'cha'cun
甘沟乡张岔村,gan'gou'xiang'zhang'cha'cun
甘沟乡张湾村,gan'gou'xiang'zhang'wan'cun
甘沟乡张著村,gan'gou'xiang'zhang'zhu'cun
甘河,gan'he
甘河村,gan'he'cun
甘坡,gan'po
甘坡村,gan'po'cun
甘肃省静宁县,gan'su'sheng'jing'ning'xian
甘湾,gan'wan
甘湾村,gan'wan'cun
甘峡,gan'xia
甘峡村,gan'xia'cun
高堡,gao'bao
高堡村,gao'bao'cun
高城寨,gao'cheng'zhai
高城寨村,gao'cheng'zhai'cun
高沟,gao'gou
高沟村,gao'gou'cun
高刘,gao'liu
高刘村,gao'liu'cun
高旗,gao'qi
高旗村,gao'qi'cun
高湾,gao'wan
高湾村,gao'wan'cun
高硖,gao'xia
高硖村,gao'xia'cun
高窑,gao'yao
高窑村,gao'yao'cun
高义,gao'yi
高义村,gao'yi'cun
高庄,gao'zhuang
高庄村,gao'zhuang'cun
圪垯,ge'da
圪垯村,ge'da'cun
古岔,gu'cha
古岔村,gu'cha'cun
古城乡,gu'cheng'xiang
古城乡陈河村,gu'cheng'xiang'chen'he'cun
古城乡程梁村,gu'cheng'xiang'cheng'liang'cun
古城乡丁寺村,gu'cheng'xiang'ding'si'cun
古城乡二堡村,gu'cheng'xiang'er'bao'cun
古城乡高刘村,gu'cheng'xiang'gao'liu'cun
古城乡高旗村,gu'cheng'xiang'gao'qi'cun
古城乡胡坡村,gu'cheng'xiang'hu'po'cun
古城乡贾庄村,gu'cheng'xiang'jia'zhuang'cun
古城乡老庄村,gu'cheng'xiang'lao'zhuang'cun
古城乡连湾村,gu'cheng'xiang'lian'wan'cun
古城乡梁老村,gu'cheng'xiang'liang'lao'cun
古城乡柳沟村,gu'cheng'xiang'liu'gou'cun
古城乡庙堡村,gu'cheng'xiang'miao'bao'cun
古城乡齐岔村,gu'cheng'xiang'qi'cha'cun
古城乡上程村,gu'cheng'xiang'shang'cheng'cun
古城乡上李村,gu'cheng'xiang'shang'li'cun
古城乡田岔村,gu'cheng'xiang'tian'cha'cun
古城乡同心村,gu'cheng'xiang'tong'xin'cun
古城乡吴湾村,gu'cheng'xiang'wu'wan'cun
古城乡西岔村,gu'cheng'xiang'xi'cha'cun
古城乡西湾村,gu'cheng'xiang'xi'wan'cun
古城乡下梁村,gu'cheng'xiang'xia'liang'cun
古城乡杨沟村,gu'cheng'xiang'yang'gou'cun
古城乡阴坡村,gu'cheng'xiang'yin'po'cun
古城乡余湾村,gu'cheng'xiang'yu'wan'cun
古城乡岳咀村,gu'cheng'xiang'yue'ju'cun
古城乡翟局村,gu'cheng'xiang'zhai'ju'cun
古城乡朱川村,gu'cheng'xiang'zhu'chuan'cun
古城乡邹河村,gu'cheng'xiang'zou'he'cun
故坪,gu'ping
故坪村,gu'ping'cun
谷湾,gu'wan
谷湾村,gu'wan'cun
贯岔,guan'cha
贯岔村,guan'cha'cun
关道岔,guan'dao'cha
关道岔村,guan'dao'cha'cun
关湾,guan'wan
关湾村,guan'wan'cun
关音,guan'yin
关音村,guan'yin'cun
光华,guang'hua
光华村,guang'hua'cun
郭岔,guo'cha
郭岔村,guo'cha'cun
郭柴,guo'chai
郭柴村,guo'chai'cun
郭罗,guo'luo
郭罗村,guo'luo'cun
郭湾,guo'wan
郭湾村,guo'wan'cun
郭尹,guo'yin
郭尹村,guo'yin'cun
哈拉,ha'la
哈拉村,ha'la'cun
海湾,hai'wan
海湾村,hai'wan'cun
韩岔,han'cha
韩岔村,han'cha'cun
韩川,han'chuan
韩川村,han'chuan'cun
韩店,han'dian
韩店村,han'dian'cun
韩马,han'ma
韩马村,han'ma'cun
何杜,he'du
何杜村,he'du'cun
合岘,he'xian
合岘村,he'xian'cun
红堡,hong'bao
红堡村,hong'bao'cun
红林,hong'lin
红林村,hong'lin'cun
红旗,hong'qi
红旗村,hong'qi'cun
红寺,hong'si
红寺村,hong'si'cun
红寺乡,hong'si'xiang
红寺乡八梭村,hong'si'xiang'ba'suo'cun
红寺乡白局村,hong'si'xiang'bai'ju'cun
红寺乡吊岔村,hong'si'xiang'diao'cha'cun
红寺乡二河村,hong'si'xiang'er'he'cun
红寺乡甘湾村,hong'si'xiang'gan'wan'cun
红寺乡红堡村,hong'si'xiang'hong'bao'cun
红寺乡红寺村,hong'si'xiang'hong'si'cun
红寺乡胡沟村,hong'si'xiang'hu'gou'cun
红寺乡化沟村,hong'si'xiang'hua'gou'cun
红寺乡庙河村,hong'si'xiang'miao'he'cun
红寺乡寺岔村,hong'si'xiang'si'cha'cun
红寺乡王湾村,hong'si'xiang'wang'wan'cun
红寺乡魏沟村,hong'si'xiang'wei'gou'cun
红寺乡文寺村,hong'si'xiang'wen'si'cun
红寺乡玉皇村,hong'si'xiang'yu'huang'cun
红寺乡张硖村,hong'si'xiang'zhang'xia'cun
红寺乡丈子村,hong'si'xiang'zhang'zi'cun
红星,hong'xing
红星村,hong'xing'cun
厚岔,hou'cha
后岔,hou'cha
厚岔村,hou'cha'cun
后岔村,hou'cha'cun
厚川,hou'chuan
厚川村,hou'chuan'cun
后沟,hou'gou
后沟村,hou'gou'cun
后梁,hou'liang
后梁村,hou'liang'cun
侯山,hou'shan
侯山村,hou'shan'cun
后湾,hou'wan
后湾村,hou'wan'cun
胡沟,hu'gou
胡沟村,hu'gou'cun
胡河,hu'he
胡河村,hu'he'cun
胡坡,hu'po
胡坡村,hu'po'cun
胡同,hu'tong
胡同村,hu'tong'cun
化沟,hua'gou
花沟岔,hua'gou'cha
花沟岔村,hua'gou'cha'cun
化沟村,hua'gou'cun
花咀,hua'ju
花咀村,hua'ju'cun
黄川,huang'chuan
黄川村,huang'chuan'cun
黄湾,huang'wan
黄湾村,huang'wan'cun
继红,ji'hong
继红村,ji'hong'cun
吉林,ji'lin
吉林村,ji'lin'cun
贾河,jia'he
贾河村,jia'he'cun
贾河乡,jia'he'xiang
贾河乡豆坪村,jia'he'xiang'dou'ping'cun
贾河乡高窑村,jia'he'xiang'gao'yao'cun
贾河乡侯山村,jia'he'xiang'hou'shan'cun
贾河乡贾河村,jia'he'xiang'jia'he'cun
贾河乡剪岔村,jia'he'xiang'jian'cha'cun
贾河乡山上湾村,jia'he'xiang'shan'shang'wan'cun
贾河乡山庄村,jia'he'xiang'shan'zhuang'cun
贾河乡宋堡村,jia'he'xiang'song'bao'cun
贾河乡王沟村,jia'he'xiang'wang'gou'cun
贾河乡中堡村,jia'he'xiang'zhong'bao'cun
贾马,jia'ma
贾马村,jia'ma'cun
贾庄,jia'zhuang
贾庄村,jia'zhuang'cun
剪岔,jian'cha
剪岔村,jian'cha'cun
涧沟,jian'gou
涧沟村,jian'gou'cun
碱滩,jian'tan
碱滩村,jian'tan'cun
解放,jie'fang
解放村,jie'fang'cun
界石铺镇,jie'shi'pu'zhen
界石铺镇崔岔村,jie'shi'pu'zhen'cui'cha'cun
界石铺镇大河村,jie'shi'pu'zhen'da'he'cun
界石铺镇二夫村,jie'shi'pu'zhen'er'fu'cun
界石铺镇高堡村,jie'shi'pu'zhen'gao'bao'cun
界石铺镇高庄村,jie'shi'pu'zhen'gao'zhuang'cun
界石铺镇谷湾村,jie'shi'pu'zhen'gu'wan'cun
界石铺镇关湾村,jie'shi'pu'zhen'guan'wan'cun
界石铺镇韩岔村,jie'shi'pu'zhen'han'cha'cun
界石铺镇继红村,jie'shi'pu'zhen'ji'hong'cun
界石铺镇李堡村,jie'shi'pu'zhen'li'bao'cun
界石铺镇联盟村,jie'shi'pu'zhen'lian'meng'cun
界石铺镇七里村,jie'shi'pu'zhen'qi'li'cun
界石铺镇上河村,jie'shi'pu'zhen'shang'he'cun
界石铺镇水鱼村,jie'shi'pu'zhen'shui'yu'cun
界石铺镇四福村,jie'shi'pu'zhen'si'fu'cun
界石铺镇王庄村,jie'shi'pu'zhen'wang'zhuang'cun
界石铺镇魏湾村,jie'shi'pu'zhen'wei'wan'cun
界石铺镇西川村,jie'shi'pu'zhen'xi'chuan'cun
界石铺镇新合村,jie'shi'pu'zhen'xin'he'cun
界石铺镇邢岔村,jie'shi'pu'zhen'xing'cha'cun
界石铺镇赵岔村,jie'shi'pu'zhen'zhao'cha'cun
界石铺镇中寨村,jie'shi'pu'zhen'zhong'zhai'cun
界石铺镇朱山村,jie'shi'pu'zhen'zhu'shan'cun
靳堡,jin'bao
靳堡村,jin'bao'cun
靳马,jin'ma
靳马村,jin'ma'cun
靳坪,jin'ping
靳坪村,jin'ping'cun
靳寺,jin'si
靳寺村,jin'si'cun
井沟,jing'gou
井沟村,jing'gou'cun
静宁,jing'ning
静宁县,jing'ning'xian
静宁县八里镇,jing'ning'xian'ba'li'zhen
静宁县曹务乡,jing'ning'xian'cao'wu'xiang
静宁县城川乡,jing'ning'xian'cheng'chuan'xiang
静宁县城关镇,jing'ning'xian'cheng'guan'zhen
静宁县甘沟乡,jing'ning'xian'gan'gou'xiang
静宁县古城乡,jing'ning'xian'gu'cheng'xiang
静宁县红寺乡,jing'ning'xian'hong'si'xiang
静宁县贾河乡,jing'ning'xian'jia'he'xiang
静宁县界石铺镇,jing'ning'xian'jie'shi'pu'zhen
静宁县雷大乡,jing'ning'xian'lei'da'xiang
静宁县李店镇,jing'ning'xian'li'dian'zhen
静宁县灵芝乡,jing'ning'xian'ling'zhi'xiang
静宁县仁大乡,jing'ning'xian'ren'da'xiang
静宁县三合乡,jing'ning'xian'san'he'xiang
静宁县深沟乡,jing'ning'xian'shen'gou'xiang
静宁县双岘乡,jing'ning'xian'shuang'xian'xiang
静宁县四河乡,jing'ning'xian'si'he'xiang
静宁县司桥乡,jing'ning'xian'si'qiao'xiang
静宁县威戎镇,jing'ning'xian'wei'rong'zhen
静宁县细巷乡,jing'ning'xian'xi'xiang'xiang
静宁县新店乡,jing'ning'xian'xin'dian'xiang
静宁县余湾乡,jing'ning'xian'yu'wan'xiang
静宁县原安乡,jing'ning'xian'yuan'an'xiang
静宁县治平乡,jing'ning'xian'zhi'ping'xiang
咀头,ju'tou
咀头村,ju'tou'cun
俊峰,jun'feng
俊峰村,jun'feng'cun
坷老,ke'lao
坷老村,ke'lao'cun
孔沟,kong'gou
孔沟村,kong'gou'cun
老山林,lao'shan'lin
老山林村,lao'shan'lin'cun
老庄,lao'zhuang
老庄村,lao'zhuang'cun
雷大,lei'da
雷大村,lei'da'cun
雷大乡,lei'da'xiang
雷大乡安乐村,lei'da'xiang'an'le'cun
雷大乡曹沟村,lei'da'xiang'cao'gou'cun
雷大乡曹河村,lei'da'xiang'cao'he'cun
雷大乡柴岔村,lei'da'xiang'chai'cha'cun
雷大乡陈局村,lei'da'xiang'chen'ju'cun
雷大乡程硖村,lei'da'xiang'cheng'xia'cun
雷大乡范堡村,lei'da'xiang'fan'bao'cun
雷大乡合岘村,lei'da'xiang'he'xian'cun
雷大乡后梁村,lei'da'xiang'hou'liang'cun
雷大乡雷大村,lei'da'xiang'lei'da'cun
雷大乡黎沟村,lei'da'xiang'li'gou'cun
雷大乡马湾村,lei'da'xiang'ma'wan'cun
雷大乡麻硖村,lei'da'xiang'ma'xia'cun
雷大乡屈岔村,lei'da'xiang'qu'cha'cun
雷大乡下马村,lei'da'xiang'xia'ma'cun
雷大乡谢吕村,lei'da'xiang'xie'lv'cun
雷大乡新义村,lei'da'xiang'xin'yi'cun
雷大乡兴坪村,lei'da'xiang'xing'ping'cun
雷大乡秀锦村,lei'da'xiang'xiu'jin'cun
雷大乡张局村,lei'da'xiang'zhang'ju'cun
雷大乡赵沟村,lei'da'xiang'zhao'gou'cun
雷沟,lei'gou
雷沟村,lei'gou'cun
雷河,lei'he
雷河村,lei'he'cun
雷黄,lei'huang
雷黄村,lei'huang'cun
李堡,li'bao
李堡村,li'bao'cun
李店镇,li'dian'zhen
李店镇白草屲村,li'dian'zhen'bai'cao'wa'cun
李店镇常坪村,li'dian'zhen'chang'ping'cun
李店镇杜河村,li'dian'zhen'du'he'cun
李店镇郭柴村,li'dian'zhen'guo'chai'cun
李店镇郭湾村,li'dian'zhen'guo'wan'cun
李店镇孔沟村,li'dian'zhen'kong'gou'cun
李店镇老山林村,li'dian'zhen'lao'shan'lin'cun
李店镇刘晋村,li'dian'zhen'liu'jin'cun
李店镇蒲岔村,li'dian'zhen'pu'cha'cun
李店镇上杜村,li'dian'zhen'shang'du'cun
李店镇五方河村,li'dian'zhen'wu'fang'he'cun
李店镇细湾村,li'dian'zhen'xi'wan'cun
李店镇小庄村,li'dian'zhen'xiao'zhuang'cun
李店镇徐岔村,li'dian'zhen'xu'cha'cun
李店镇薛胡村,li'dian'zhen'xue'hu'cun
李店镇阴坡咀村,li'dian'zhen'yin'po'ju'cun
李店镇郑湾村,li'dian'zhen'zheng'wan'cun
黎沟,li'gou
李沟,li'gou
黎沟村,li'gou'cun
李沟村,li'gou'cun
李河,li'he
李河村,li'he'cun
李咀,li'ju
李咀村,li'ju'cun
李湾,li'wan
李湾村,li'wan'cun
联盟,lian'meng
联盟村,lian'meng'cun
联民,lian'min
联民村,lian'min'cun
连湾,lian'wan
连湾村,lian'wan'cun
梁岔,liang'cha
梁岔村,liang'cha'cun
梁老,liang'lao
梁老村,liang'lao'cun
梁马,liang'ma
梁马村,liang'ma'cun
辽坡,liao'po
辽坡村,liao'po'cun
灵芝乡,ling'zhi'xiang
灵芝乡车李村,ling'zhi'xiang'che'li'cun
灵芝乡东庄村,ling'zhi'xiang'dong'zhuang'cun
灵芝乡高义村,ling'zhi'xiang'gao'yi'cun
灵芝乡何杜村,ling'zhi'xiang'he'du'cun
灵芝乡红星村,ling'zhi'xiang'hong'xing'cun
灵芝乡俊峰村,ling'zhi'xiang'jun'feng'cun
灵芝乡苗堡村,ling'zhi'xiang'miao'bao'cun
灵芝乡前桃村,ling'zhi'xiang'qian'tao'cun
灵芝乡前湾村,ling'zhi'xiang'qian'wan'cun
灵芝乡秦懂村,ling'zhi'xiang'qin'dong'cun
灵芝乡剡庄村,ling'zhi'xiang'shan'zhuang'cun
灵芝乡水流村,ling'zhi'xiang'shui'liu'cun
灵芝乡宋岔村,ling'zhi'xiang'song'cha'cun
灵芝乡魏岔村,ling'zhi'xiang'wei'cha'cun
灵芝乡杨岔村,ling'zhi'xiang'yang'cha'cun
灵芝乡杨渠村,ling'zhi'xiang'yang'qu'cun
灵芝乡尹岔村,ling'zhi'xiang'yin'cha'cun
灵芝乡张堡村,ling'zhi'xiang'zhang'bao'cun
灵芝乡长塬村,ling'zhi'xiang'zhang'yuan'cun
刘堡,liu'bao
刘堡村,liu'bao'cun
柳岔,liu'cha
柳岔村,liu'cha'cun
刘川,liu'chuan
刘川村,liu'chuan'cun
柳沟,liu'gou
柳沟村,liu'gou'cun
刘河,liu'he
刘河村,liu'he'cun
刘晋,liu'jin
刘晋村,liu'jin'cun
刘杨,liu'yang
刘杨村,liu'yang'cun
芦湾,lu'wan
芦湾村,lu'wan'cun
罗岔,luo'cha
罗岔村,luo'cha'cun
罗林,luo'lin
罗林村,luo'lin'cun
吕曲,lv'qu
吕曲村,lv'qu'cun
马岔,ma'cha
麻岔,ma'cha
马岔村,ma'cha'cun
麻岔村,ma'cha'cun
马合,ma'he
马合村,ma'he'cun
马咀,ma'ju
马咀村,ma'ju'cun
马坡,ma'po
马坡村,ma'po'cun
马山,ma'shan
马山村,ma'shan'cun
马湾,ma'wan
马湾村,ma'wan'cun
麻硖,ma'xia
麻硖村,ma'xia'cun
麦顶,mai'ding
麦顶村,mai'ding'cun
米岔,mi'cha
米岔村,mi'cha'cun
苗堡,miao'bao
庙堡,miao'bao
苗堡村,miao'bao'cun
庙堡村,miao'bao'cun
庙岔,miao'cha
庙岔村,miao'cha'cun
庙川,miao'chuan
庙川村,miao'chuan'cun
庙川居委会,miao'chuan'ju'wei'hui
庙河,miao'he
庙河村,miao'he'cun
庙咀,miao'ju
庙咀村,miao'ju'cun
苗岘,miao'xian
苗岘村,miao'xian'cun
民寨,min'zhai
民寨村,min'zhai'cun
牟沟,mou'gou
牟沟村,mou'gou'cun
慕岔,mu'cha
慕岔村,mu'cha'cun
牡丹,mu'dan
牡丹村,mu'dan'cun
南岔,nan'cha
南岔村,nan'cha'cun
南关,nan'guan
南关村,nan'guan'cun
南门,nan'men
南门村,nan'men'cun
南坡,nan'po
南坡村,nan'po'cun
南营,nan'ying
南营村,nan'ying'cun
潘王,pan'wang
潘王村,pan'wang'cun
平凉市静宁县,ping'liang'shi'jing'ning'xian
蒲岔,pu'cha
蒲岔村,pu'cha'cun
齐岔,qi'cha
齐岔村,qi'cha'cun
祁川,qi'chuan
祁川村,qi'chuan'cun
齐埂,qi'geng
齐埂村,qi'geng'cun
七里,qi'li
七里村,qi'li'cun
前咀,qian'ju
前咀村,qian'ju'cun
前桃,qian'tao
前桃村,qian'tao'cun
前湾,qian'wan
前湾村,qian'wan'cun
荞岔,qiao'cha
荞岔村,qiao'cha'cun
秦懂,qin'dong
秦懂村,qin'dong'cun
秦王,qin'wang
秦王村,qin'wang'cun
屈岔,qu'cha
屈岔村,qu'cha'cun
任岔,ren'cha
任岔村,ren'cha'cun
仁大乡,ren'da'xiang
仁大乡堡湾村,ren'da'xiang'bao'wan'cun
仁大乡扯弓塬村,ren'da'xiang'che'gong'yuan'cun
仁大乡陈坪村,ren'da'xiang'chen'ping'cun
仁大乡东湾村,ren'da'xiang'dong'wan'cun
仁大乡东张村,ren'da'xiang'dong'zhang'cun
仁大乡高沟村,ren'da'xiang'gao'gou'cun
仁大乡高硖村,ren'da'xiang'gao'xia'cun
仁大乡故坪村,ren'da'xiang'gu'ping'cun
仁大乡海湾村,ren'da'xiang'hai'wan'cun
仁大乡解放村,ren'da'xiang'jie'fang'cun
仁大乡李河村,ren'da'xiang'li'he'cun
仁大乡李湾村,ren'da'xiang'li'wan'cun
仁大乡刘川村,ren'da'xiang'liu'chuan'cun
仁大乡南门村,ren'da'xiang'nan'men'cun
仁大乡深沟村,ren'da'xiang'shen'gou'cun
仁大乡王马村,ren'da'xiang'wang'ma'cun
仁大乡王山村,ren'da'xiang'wang'shan'cun
仁大乡魏坡村,ren'da'xiang'wei'po'cun
仁大乡西山沟村,ren'da'xiang'xi'shan'gou'cun
仁大乡西张村,ren'da'xiang'xi'zhang'cun
仁大乡硖口村,ren'da'xiang'xia'kou'cun
仁大乡新兴村,ren'da'xiang'xin'xing'cun
仁大乡阳坡村,ren'da'xiang'yang'po'cun
仁大乡阳洼村,ren'da'xiang'yang'wa'cun
仁大乡窑庄村,ren'da'xiang'yao'zhuang'cun
任刘,ren'liu
任刘村,ren'liu'cun
人民巷,ren'min'xiang
人民巷居委会,ren'min'xiang'ju'wei'hui
三合乡,san'he'xiang
三合乡北集村,san'he'xiang'bei'ji'cun
三合乡陈安村,san'he'xiang'chen'an'cun
三合乡段渠村,san'he'xiang'duan'qu'cun
三合乡古岔村,san'he'xiang'gu'cha'cun
三合乡光华村,san'he'xiang'guang'hua'cun
三合乡黄湾村,san'he'xiang'huang'wan'cun
三合乡碱滩村,san'he'xiang'jian'tan'cun
三合乡南岔村,san'he'xiang'nan'cha'cun
三合乡前咀村,san'he'xiang'qian'ju'cun
三合乡任岔村,san'he'xiang'ren'cha'cun
三合乡新堡村,san'he'xiang'xin'bao'cun
三合乡张安村,san'he'xiang'zhang'an'cun
剡白,shan'bai
剡白村,shan'bai'cun
山上湾,shan'shang'wan
山上湾村,shan'shang'wan'cun
剡庄,shan'zhuang
山庄,shan'zhuang
剡庄村,shan'zhuang'cun
山庄村,shan'zhuang'cun
上岔,shang'cha
上岔村,shang'cha'cun
上程,shang'cheng
上程村,shang'cheng'cun
上杜,shang'du
上杜村,shang'du'cun
上海,shang'hai
上海村,shang'hai'cun
上河,shang'he
上河村,shang'he'cun
上李,shang'li
上李村,shang'li'cun
上芦,shang'lu
上芦村,shang'lu'cun
上马,shang'ma
上马村,shang'ma'cun
上磨,shang'mo
上磨村,shang'mo'cun
尚塞,shang'sai
尚塞村,shang'sai'cun
上赵,shang'zhao
上赵村,shang'zhao'cun
深沟,shen'gou
深沟村,shen'gou'cun
深沟乡,shen'gou'xiang
深沟乡大岔村,shen'gou'xiang'da'cha'cun
深沟乡樊沟村,shen'gou'xiang'fan'gou'cun
深沟乡联民村,shen'gou'xiang'lian'min'cun
深沟乡麦顶村,shen'gou'xiang'mai'ding'cun
深沟乡孙山村,shen'gou'xiang'sun'shan'cun
深沟乡王堡村,shen'gou'xiang'wang'bao'cun
深沟乡小户村,shen'gou'xiang'xiao'hu'cun
石河,shi'he
石河村,shi'he'cun
石马坪,shi'ma'ping
石马坪村,shi'ma'ping'cun
双岘,shuang'xian
双岘村,shuang'xian'cun
