阿魏,a'wei
龙骨,long'gu
龙葵,long'kui
龙利叶,long'li'ye
龙脑,long'nao
龙脑香,long'nao'xiang
龙牙草,long'ya'cao
龙眼,long'yan
龙眼肉,long'yan'rou
蝼蛄,lou'gu
漏芦,lou'lu
芦丁,lu'ding
炉甘石,lu'gan'shi
芦根,lu'gen
芦荟,lu'hui
鹿角,lu'jiao
鹿角胶,lu'jiao'jiao
鹿角霜,lu'jiao'shuang
路路通,lu'lu'tong
鹿茸,lu'rong
鹿衔草,lu'xian'cao
陆英,lu'ying
萝卜,luo'bo
罗布麻叶,luo'bu'ma'ye
罗汉果,luo'han'guo
落葵,luo'kui
络石藤,luo'shi'teng
铝丹,lv'dan
吕宋果,lv'song'guo
马宝,ma'bao
马鞭草,ma'bian'cao
马槟榔,ma'bing'lang
马勃,ma'bo
马菜,ma'cai
马齿苋,ma'chi'xian
马兜铃,ma'dou'ling
麻黄,ma'huang
马兰,ma'lan
马兰草,ma'lan'cao
马兰头,ma'lan'tou
马利筋,ma'li'jin
马莲,ma'lian
马蔺,ma'lin
马前子,ma'qian'zi
麻仁,ma'ren
马尿泡,ma'sui'pao
马蹄金,ma'ti'jin
马尾莲,ma'wei'lian
马辛,ma'xin
马牙硝,ma'ya'xiao
马缨花,ma'ying'hua
麻油,ma'you
麦冬,mai'dong
麦门冬,mai'men'dong
脉通,mai'tong
麦芽,mai'ya
蔓荆子,man'jing'zi
莽草,mang'cao
芒硝,mang'xiao
毛冬青,mao'dong'qing
毛茛,mao'gen
茅根,mao'gen
毛诃子,mao'he'zi
毛鸡,mao'ji
毛姜,mao'jiang
茅莓,mao'mei
猫爪草,mao'zhao'cao
梅花,mei'hua
梅片,mei'pian
梅仁,mei'ren
没石,mei'shi
没药,mei'yao
虻虫,meng'chong
礞石,meng'shi
密蒙花,mi'meng'hua
米仁,mi'ren
蘑菇,mo'gu
木笔,mu'bi
木笔花,mu'bi'hua
木鳖子,mu'bie'zi
木菠萝,mu'bo'luo
牡丹皮,mu'dan'pi
母丁香,mu'ding'xiang
木豆,mu'dou
木耳,mu'er
木防己,mu'fang'ji
木芙蓉,mu'fu'rong
木瓜,mu'gua
木蝴蝶,mu'hu'die
木患子,mu'huan'zi
木姜子,mu'jiang'zi
木槿花,mu'jin'hua
木蓝,mu'lan
牡蛎,mu'li
木莲,mu'lian
木灵芝,mu'ling'zhi
木棉花,mu'mian'hua
木藤蓼,mu'teng'liao
木通,mu'tong
木香,mu'xiang
木腰子,mu'yao'zi
木贼,mu'zei
木贼花,mu'zei'hua
南藤,nan'teng
南星,nan'xing
闹羊花,nao'yang'hua
鸟不宿,niao'bu'su
牛蒡,niu'bang
牛蒡子,niu'bang'zi
牛大力,niu'da'li
牛黄,niu'huang
牛膝,niu'xi
牛西西,niu'xi'xi
牛至,niu'zhi
农吉利,nong'ji'li
糯稻根,nuo'dao'gen
女儿香,nv'er'xiang
女贞子,nv'zhen'zi
藕节,ou'jie
泡参,pao'can
炮姜,pao'jiang
佩兰,pei'lan
蟛蜞菊,peng'qi'ju
硼砂,peng'sha
枇杷,pi'pa
枇杷叶,pi'pa'ye
砒石,pi'shi
砒霜,pi'shuang
片苓,pian'ling
平贝母,ping'bei'mu
平地木,ping'di'mu
朴硝,po'xiao
蒲公英,pu'gong'ying
蒲黄,pu'huang
蒲芹,pu'qin
蕲蛇,qi'she
七星草,qi'xing'cao
七叶莲,qi'ye'lian
杞子,qi'zi
茜草,qian'cao
千层塔,qian'ceng'ta
前胡,qian'hu
千斤拨,qian'jin'bo
千金正,qian'jin'zheng
千里光,qian'li'guang
千里及,qian'li'ji
千里明,qian'li'ming
千年健,qian'nian'jian
牵牛子,qian'niu'zi
扦扦活,qian'qian'huo
千屈荣,qian'qu'rong
千日红,qian'ri'hong
芡实,qian'shi
千张纸,qian'zhang'zhi
羌活,qiang'huo
茄根,qie'gen
芹菜,qin'cai
秦艽,qin'jiao
秦皮,qin'pi
青黛,qing'dai
轻粉,qing'fen
青果,qing'guo
青蒿,qing'hao
青皮,qing'pi
青箱子,qing'xiang'zi
蚯蚓,qiu'yin
曲莲,qu'lian
瞿麦,qu'mai
全参,quan'can
拳参,quan'can
全草,quan'cao
全蝎,quan'xie
忍冬藤,ren'dong'teng
人发,ren'fa
仁杞,ren'qi
人参,ren'shen
人中白,ren'zhong'bai
肉苁蓉,rou'cong'rong
肉豆蔻,rou'dou'kou
肉豆末,rou'dou'mo
肉桂,rou'gui
肉果,rou'guo
乳香,ru'xiang
蕤仁,rui'ren
三白草,san'bai'cao
三叉苦,san'cha'ku
三分三,san'fen'san
三角草,san'jiao'cao
三颗针,san'ke'zhen
三棱,san'leng
三七,san'qi
三七草,san'qi'cao
三枝枪,san'zhi'qiang
桑皮,sang'pi
桑椹,sang'shen
桑叶,sang'ye
桑枝,sang'zhi
沙棘,sha'ji
砂仁,sha'ren
沙参,sha'shen
砂糖,sha'tang
沙苑子,sha'yuan'zi
山崩子,shan'beng'zi
山苍子,shan'cang'zi
山茶,shan'cha
山沉香,shan'chen'xiang
山慈姑,shan'ci'gu
山丹,shan'dan
山道年,shan'dao'nian
山豆根,shan'dou'gen
山梗菜,shan'geng'cai
山海螺,shan'hai'luo
山鸡椒,shan'ji'jiao
山姜,shan'jiang
山龙眼,shan'long'yan
山奈,shan'nai
山香,shan'xiang
山羊角,shan'yang'jiao
山萸肉,shan'yu'rou
山枣,shan'zao
山楂,shan'zha
山栀,shan'zhi
山栀茶,shan'zhi'cha
山指甲,shan'zhi'jia
山芝麻,shan'zhi'ma
山栀皮,shan'zhi'pi
山茱萸,shan'zhu'yu
商陆,shang'lu
商枝,shang'zhi
蛇床子,she'chuang'zi
蛇胆汁,she'dan'zhi
射干,she'gan
蛇莓,she'mei
蛇肉,she'rou
蛇蜕,she'tui
麝香,she'xiang
申姜,shen'jiang
神曲,shen'qu
升登,sheng'deng
生地,sheng'di
生地黄,sheng'di'huang
生谷芽,sheng'gu'ya
生姜,sheng'jiang
生姜皮,sheng'jiang'pi
生卷柏,sheng'juan'bai
生军,sheng'jun
升麻,sheng'ma
生晒参,sheng'shai'shen
生石膏,sheng'shi'gao
石菖蒲,shi'chang'pu
十大功劳,shi'da'gong'lao
柿蒂,shi'di
石吊兰,shi'diao'lan
石耳,shi'er
石膏,shi'gao
石荷叶,shi'he'ye
石斛,shi'hu
石胡莩,shi'hu'piao
石花菜,shi'hua'cai
石灰,shi'hui
石灰华,shi'hui'hua
石见穿,shi'jian'chuan
石椒草,shi'jiao'cao
石决明,shi'jue'ming
使君子,shi'jun'zi
石莲子,shi'lian'zi
石榴,shi'liu
石硫磺,shi'liu'huang
石榴皮,shi'liu'pi
石榴子,shi'liu'zi
石龙芮,shi'long'rui
石蜜,shi'mi
石楠叶,shi'nan'ye
柿霜,shi'shuang
石韦,shi'wei
石燕,shi'yan
食盐,shi'yan
石钟乳,shi'zhong'ru
石竹,shi'zhu
石钻子,shi'zuan'zi
手参,shou'can
守宫,shou'gong
首乌,shou'wu
书带草,shu'dai'cao
熟地,shu'di
蜀椒,shu'jiao
薯莨,shu'liang
鼠曲草,shu'qu'cao
双蝴蝶,shuang'hu'die
双花,shuang'hua
双皮,shuang'pi
水安息,shui'an'xi
水半夏,shui'ban'xia
水车前,shui'che'qian
水花,shui'hua
水花生,shui'hua'sheng
水韭,shui'jiu
水龙骨,shui'long'gu
水蔓菁,shui'man'jing
水莽,shui'mang
水牛角,shui'niu'jiao
水萍,shui'ping
水蜈蚣,shui'wu'gong
水扬梅,shui'yang'mei
水蛭,shui'zhi
四方草,si'fang'cao
四方藤,si'fang'teng
丝瓜络,si'gua'luo
丝瓜藤,si'gua'teng
四季青,si'ji'qing
四叶参,si'ye'can
松醇,song'chun
松节,song'jie
松节油,song'jie'you
菘蓝,song'lan
松塔,song'ta
松音,song'yin
松脂,song'zhi
苏合香,su'he'xiang
苏木,su'mu
素馨花,su'xin'hua
苏叶,su'ye
苏子,su'zi
酸浆,suan'jiang
酸模,suan'mo
酸枣仁,suan'zao'ren
绥草,sui'cao
莎草,suo'cao
锁阳,suo'yang
胎盘,tai'pan
台乌药,tai'wu'yao
太阳花,tai'yang'hua
太子参,tai'zi'shen
檀香,tan'xiang
桃仁,tao'ren
桃汁,tao'zhi
天虫,tian'chong
天冬,tian'dong
天冬草,tian'dong'cao
天花粉,tian'hua'fen
田基黄,tian'ji'huang
天浆壳,tian'jiang'ke
天葵子,tian'kui'zi
天龙,tian'long
田螺,tian'luo
天麻,tian'ma
天门冬,tian'men'dong
天南星,tian'nan'xing
田三七,tian'san'qi
天雄,tian'xiong
天竹根,tian'zhu'gen
天竺黄,tian'zhu'huang
天竹子,tian'zhu'zi
田字草,tian'zi'cao
条苓,tiao'ling
铁屑,tie'xie
葶苈子,ting'li'zi
童便,tong'bian
通草,tong'cao
通天,tong'tian
土贝母,tu'bei'mu
土鳖虫,tu'bie'chong
土大黄,tu'dai'huang
土当归,tu'dang'gui
土党参,tu'dang'shen
土茯苓,tu'fu'ling
土槿皮,tu'jin'pi
土荆皮,tu'jing'pi
土木鳖,tu'mu'bie
