阿夫拉米方程,a'fu'la'mi'fang'cheng
不对称诱导聚合,bu'dui'chen'you'dao'ju'he
部分梯形聚合物,bu'fen'ti'xing'ju'he'wu
部分梯形橡胶,bu'fen'ti'xing'xiang'jiao
不混容性,bu'hun'rong'xing
不均匀硫化,bu'jun'yun'liu'hua
不可回复形变,bu'ke'hui'fu'xing'bian
不良溶剂,bu'liang'rong'ji
补强,bu'qiang
补强剂,bu'qiang'ji
布氏硬度,bu'shi'ying'du
不死的聚合,bu'si'de'ju'he
不相容性,bu'xiang'rong'xing
蚕丝,can'si
侧基反应,ce'ji'fan'ying
侧链型液晶聚合物,ce'lian'xing'ye'jing'ju'he'wu
侧链型液晶橡胶,ce'lian'xing'ye'jing'xiang'jiao
层压材料,ceng'ya'cai'liao
曾用名齐聚反应,ceng'yong'ming'qi'ju'fan'ying
插层聚合,cha'ceng'ju'he
插入聚合,cha'ru'ju'he
长程有序,chang'cheng'you'xu
常温硫化,chang'wen'liu'hua
长支链,chang'zhi'lian
长支链聚乙烯,chang'zhi'lian'ju'yi'xi
长周期,chang'zhou'qi
超导聚合物,chao'dao'ju'he'wu
超导橡胶,chao'dao'xiang'jiao
超低密度聚乙烯,chao'di'mi'du'ju'yi'xi
超高分子,chao'gao'fen'zi
超高分子量聚乙烯,chao'gao'fen'zi'liang'ju'yi'xi
超离子导电聚合物,chao'li'zi'dao'dian'ju'he'wu
超离子导电橡胶,chao'li'zi'dao'dian'xiang'jiao
超瑞利比,chao'rui'li'bi
超支化聚合物,chao'zhi'hua'ju'he'wu
超支化橡胶,chao'zhi'hua'xiang'jiao
沉淀分级,chen'dian'fen'ji
沉淀聚合,chen'dian'ju'he
沉降平衡,chen'jiang'ping'heng
沉降平衡法,chen'jiang'ping'heng'fa
沉降速度法,chen'jiang'su'du'fa
沉降系数,chen'jiang'xi'shu
成核作用,cheng'he'zuo'yong
成纤,cheng'xian
赤型双间同立构聚合物,chi'xing'shuang'jian'tong'li'gou'ju'he'wu
赤型双间同立构橡胶,chi'xing'shuang'jian'tong'li'gou'xiang'jiao
赤型双全同立构聚合物,chi'xing'shuang'quan'tong'li'gou'ju'he'wu
赤型双全同立构橡胶,chi'xing'shuang'quan'tong'li'gou'xiang'jiao
持续自由基,chi'xu'zi'you'ji
弛豫,chi'yu
弛豫模量,chi'yu'mo'liang
弛豫谱,chi'yu'pu
弛豫时间,chi'yu'shi'jian
重复结构单元,chong'fu'jie'gou'dan'yuan
冲击强度,chong'ji'qiang'du
虫胶,chong'jiao
充气吹胀,chong'qi'chui'zhang
冲压成型,chong'ya'cheng'xing
冲压模塑,chong'ya'mo'su
充油橡胶,chong'you'xiang'jiao
触变性,chu'bian'xing
除臭剂,chu'chou'ji
初级自由基终止,chu'ji'zi'you'ji'zhong'zhi
储能模量,chu'neng'mo'liang
初生纤维,chu'sheng'xian'wei
触压成型,chu'ya'cheng'xing
传递成型,chuan'di'cheng'xing
串晶结构,chuan'jing'jie'gou
垂挂,chui'gua
吹塑,chui'su
吹胀挤塑,chui'zhang'ji'su
醇酸树脂,chun'suan'shu'zhi
次级弛豫,ci'ji'chi'yu
次级弛豫温度,ci'ji'chi'yu'wen'du
次级转变,ci'ji'zhuan'bian
磁性聚合物,ci'xing'ju'he'wu
磁性橡胶,ci'xing'xiang'jiao
促进硫化,cu'jin'liu'hua
醋酸纤维素,cu'suan'xian'wei'su
醋酸乙烯,cu'suan'yi'xi
催干剂,cui'gan'ji
脆化温度,cui'hua'wen'du
萃取分级,cui'qu'fen'ji
脆韧转变,cui'ren'zhuan'bian
脆性断裂,cui'xing'duan'lie
脆性开裂,cui'xing'kai'lie
大分子单体,da'fen'zi'dan'ti
大分子引发剂,da'fen'zi'yin'fa'ji
大环聚合物,da'huan'ju'he'wu
大环橡胶,da'huan'xiang'jiao
大孔聚合物,da'kong'ju'he'wu
大孔橡胶,da'kong'xiang'jiao
大网络树脂,da'wang'luo'shu'zhi
袋模塑,dai'mo'su
单分散聚合物,dan'fen'san'ju'he'wu
单分散橡胶,dan'fen'san'xiang'jiao
单分散性,dan'fen'san'xing
单分子终止,dan'fen'zi'zhong'zhi
单股聚合物,dan'gu'ju'he'wu
单股橡胶,dan'gu'xiang'jiao
单丝,dan'si
单体,dan'ti
单体单元,dan'ti'dan'yuan
单体浇铸,dan'ti'jiao'zhu
氮氧自由基调控聚合,dan'yang'zi'you'ji'tiao'kong'ju'he
单轴拉伸,dan'zhou'la'shen
单轴取向,dan'zhou'qu'xiang
单组分纤维,dan'zu'fen'xian'wei
导电聚合物,dao'dian'ju'he'wu
导电橡胶,dao'dian'xiang'jiao
等规度,deng'gui'du
等规聚丙烯,deng'gui'ju'bing'xi
等规聚合物,deng'gui'ju'he'wu
等规橡胶,deng'gui'xiang'jiao
等离子体加工,deng'li'zi'ti'jia'gong
等离子体聚合,deng'li'zi'ti'ju'he
等同周期,deng'tong'zhou'qi
等效链,deng'xiao'lian
递变嵌段共聚物,di'bian'qian'duan'gong'ju'wu
缔合聚合物,di'he'ju'he'wu
缔合橡胶,di'he'xiang'jiao
低聚反应,di'ju'fan'ying
低聚甲醛,di'ju'jia'quan
低聚物,di'ju'wu
低聚物齐聚物,di'ju'wu'qi'ju'wu
涤纶,di'lun
低密度聚乙烯,di'mi'du'ju'yi'xi
底漆,di'qi
低压法聚乙烯,di'ya'fa'ju'yi'xi
淀粉,dian'fen
电荷转移复合物,dian'he'zhuan'yi'fu'he'wu
电荷转移聚合,dian'he'zhuan'yi'ju'he
电荷转移引发,dian'he'zhuan'yi'yin'fa
电活性聚合物,dian'huo'xing'ju'he'wu
电活性橡胶,dian'huo'xing'xiang'jiao
电解聚合,dian'jie'ju'he
电流变液,dian'liu'bian'ye
电致变色聚合物,dian'zhi'bian'se'ju'he'wu
电致变色橡胶,dian'zhi'bian'se'xiang'jiao
电致发光聚合物,dian'zhi'fa'guang'ju'he'wu
电致发光橡胶,dian'zhi'fa'guang'xiang'jiao
叠模压塑,die'mo'ya'su
丁苯橡胶,ding'ben'xiang'jiao
丁苯橡胶乳液聚合物,ding'ben'xiang'jiao'ru'ye'ju'he'wu
丁吡橡胶,ding'bi'xiang'jiao
丁基橡胶,ding'ji'xiang'jiao
丁腈橡胶,ding'jing'xiang'jiao
定向聚合,ding'xiang'ju'he
定向聚合立构规整聚合,ding'xiang'ju'he'li'gou'gui'zheng'ju'he
定型,ding'xing
动力学链长,dong'li'xue'lian'chang
动态光散射,dong'tai'guang'san'she
动态力学行为,dong'tai'li'xue'xing'wei
动态硫化,dong'tai'liu'hua
动态粘度,dong'tai'nian'du
动态粘弹性,dong'tai'nian'tan'xing
动态转变,dong'tai'zhuan'bian
杜仲胶,du'zhong'jiao
端基,duan'ji
端基分析,duan'ji'fen'xi
断链降解,duan'lian'jiang'jie
断裂力学,duan'lie'li'xue
断裂强度,duan'lie'qiang'du
断裂韧性,duan'lie'ren'xing
断裂伸长,duan'lie'shen'chang
短支链,duan'zhi'lian
对数正态分布,dui'shu'zheng'tai'fen'bu
对数正则分布,dui'shu'zheng'ze'fen'bu
对映体不对称聚合,dui'ying'ti'bu'dui'chen'ju'he
对映体对称聚合,dui'ying'ti'dui'chen'ju'he
多层吹塑,duo'ceng'chui'su
多层共聚物,duo'ceng'gong'ju'wu
多层挤塑,duo'ceng'ji'su
多分散性聚合物,duo'fen'san'xing'ju'he'wu
多分散性橡胶,duo'fen'san'xing'xiang'jiao
多分散性指数,duo'fen'san'xing'zhi'shu
多股聚合物,duo'gu'ju'he'wu
多股橡胶,duo'gu'xiang'jiao
多晶形聚合物,duo'jing'xing'ju'he'wu
多晶形橡胶,duo'jing'xing'xiang'jiao
多聚甲醛,duo'ju'jia'quan
多孔膜,duo'kong'mo
多嵌段共聚物,duo'qian'duan'gong'ju'wu
多肽,duo'tai
多相聚合物,duo'xiang'ju'he'wu
多相橡胶,duo'xiang'xiang'jiao
惰性填料,duo'xing'tian'liao
多元聚合物,duo'yuan'ju'he'wu
多元橡胶,duo'yuan'xiang'jiao
多轴拉伸,duo'zhou'la'shen
多组分共聚物,duo'zu'fen'gong'ju'wu
二单元组,er'dan'yuan'zu
二甲基硅橡胶,er'jia'ji'gui'xiang'jiao
二聚体,er'ju'ti
二茂金属催化剂,er'mao'jin'shu'cui'hua'ji
二嵌段共聚物,er'qian'duan'gong'ju'wu
二取代乙烯单体,er'qu'dai'yi'xi'dan'ti
二烯丙基聚合物,er'xi'bing'ji'ju'he'wu
二烯丙基橡胶,er'xi'bing'ji'xiang'jiao
二烯单体,er'xi'dan'ti
二乙炔聚合物,er'yi'que'ju'he'wu
二乙炔橡胶,er'yi'que'xiang'jiao
二元共聚合,er'yuan'gong'ju'he
二元共聚物,er'yuan'gong'ju'wu
二元乙丙橡胶,er'yuan'yi'bing'xiang'jiao
发泡,fa'pao
发泡剂,fa'pao'ji
法向应力,fa'xiang'ying'li
返硫,fan'liu
反渗透膜,fan'shen'tou'mo
反式聚丁二烯,fan'shi'ju'ding'er'xi
反式聚戊烯橡胶,fan'shi'ju'wu'xi'xiang'jiao
反式聚异戊二烯,fan'shi'ju'yi'wu'er'xi
反式有规聚合物,fan'shi'you'gui'ju'he'wu
反式有规橡胶,fan'shi'you'gui'xiang'jiao
反相分散聚合,fan'xiang'fen'san'ju'he
反相乳液聚合,fan'xiang'ru'ye'ju'he
反相悬浮聚合,fan'xiang'xuan'fu'ju'he
反向原子转移自由基聚合,fan'xiang'yuan'zi'zhuan'yi'zi'you'ji'ju'he
反应纺丝,fan'ying'fang'si
反应粘合,fan'ying'nian'he
反应性挤塑,fan'ying'xing'ji'su
反应性加工,fan'ying'xing'jia'gong
反应性聚合物,fan'ying'xing'ju'he'wu
反应性热熔胶,fan'ying'xing're'rong'jiao
反应性橡胶,fan'ying'xing'xiang'jiao
反应注射成型,fan'ying'zhu'she'cheng'xing
防潮剂,fang'chao'ji
防臭氧剂,fang'chou'yang'ji
防腐剂,fang'fu'ji
防火剂,fang'huo'ji
防焦剂,fang'jiao'ji
防结皮剂,fang'jie'pi'ji
防老剂,fang'lao'ji
芳纶,fang'lun
防霉剂,fang'mei'ji
仿生高分子,fang'sheng'gao'fen'zi
防蚀剂,fang'shi'ji
纺丝,fang'si
防缩,fang'suo
芳香尼龙,fang'xiang'ni'long
芳香族聚醚,fang'xiang'zu'ju'mi
芳香族聚酯,fang'xiang'zu'ju'zhi
防粘剂,fang'zhan'ji
纺织品整理剂,fang'zhi'pin'zheng'li'ji
非共轭单体,fei'gong'e'dan'ti
非规整聚合物,fei'gui'zheng'ju'he'wu
非规整嵌段,fei'gui'zheng'qian'duan
非规整橡胶,fei'gui'zheng'xiang'jiao
非极性单体,fei'ji'xing'dan'ti
非极性聚合物,fei'ji'xing'ju'he'wu
非极性橡胶,fei'ji'xing'xiang'jiao
非晶区,fei'jing'qu
非晶取向,fei'jing'qu'xiang
非晶态,fei'jing'tai
非晶相,fei'jing'xiang
非晶相无定形相,fei'jing'xiang'wu'ding'xing'xiang
非均相聚合,fei'jun'xiang'ju'he
非牛顿流体,fei'niu'dun'liu'ti
非线性粘弹性,fei'xian'xing'nian'tan'xing
分段梯形聚合物,fen'duan'ti'xing'ju'he'wu
分段梯形橡胶,fen'duan'ti'xing'xiang'jiao
分级,fen'ji
分聚,fen'ju
粉末橡胶,fen'mo'xiang'jiao
分批聚合,fen'pi'ju'he
分批聚合间歇聚合,fen'pi'ju'he'jian'xie'ju'he
酚醛树脂,fen'quan'shu'zhi
分散剂,fen'san'ji
分散聚合,fen'san'ju'he
分子成核作用,fen'zi'cheng'he'zuo'yong
分子动力学模拟,fen'zi'dong'li'xue'mo'ni
分子复合材料,fen'zi'fu'he'cai'liao
分子链大尺度取向,fen'zi'lian'da'chi'du'qu'xiang
分子量分布,fen'zi'liang'fen'bu
分子量排除极限,fen'zi'liang'pai'chu'ji'xian
分子组合,fen'zi'zu'he
分子组装,fen'zi'zu'zhuang
分子组装分子组合,fen'zi'zu'zhuang'fen'zi'zu'he
封端,feng'duan
砜料,feng'liao
氟硅橡胶,fu'gui'xiang'jiao
复合材料,fu'he'cai'liao
复合成型,fu'he'cheng'xing
复合纺丝,fu'he'fang'si
复合引发体系,fu'he'yin'fa'ti'xi
附聚剂,fu'ju'ji
负离子电化学聚合,fu'li'zi'dian'hua'xue'ju'he
负离子环化聚合,fu'li'zi'huan'hua'ju'he
负离子交换膜,fu'li'zi'jiao'huan'mo
负离子交换树脂,fu'li'zi'jiao'huan'shu'zhi
负离子聚合,fu'li'zi'ju'he
负离子聚合阴离子聚合,fu'li'zi'ju'he'yin'li'zi'ju'he
负离子异构化聚合,fu'li'zi'yi'gou'hua'ju'he
负离子引发剂,fu'li'zi'yin'fa'ji
负离子自由基引发剂,fu'li'zi'zi'you'ji'yin'fa'ji
弗洛里哈金斯理论,fu'luo'li'ha'jin'si'li'lun
氟醚橡胶,fu'mi'xiang'jiao
呋喃树脂,fu'nan'shu'zhi
辐射的相干弹性散射,fu'she'de'xiang'gan'tan'xing'san'she
辐射固化聚合物,fu'she'gu'hua'ju'he'wu
辐射固化橡胶,fu'she'gu'hua'xiang'jiao
辐射降解,fu'she'jiang'jie
辐射降解聚合物,fu'she'jiang'jie'ju'he'wu
辐射降解橡胶,fu'she'jiang'jie'xiang'jiao
辐射交联,fu'she'jiao'lian
辐射离子聚合,fu'she'li'zi'ju'he
辐射硫化,fu'she'liu'hua
辐射引发聚合,fu'she'yin'fa'ju'he
辐射诱导接枝,fu'she'you'dao'jie'zhi
附生结晶,fu'sheng'jie'jing
附生晶体生长,fu'sheng'jing'ti'sheng'zhang
复数介电常数,fu'shu'jie'dian'chang'shu
复数模量,fu'shu'mo'liang
复数粘度,fu'shu'nian'du
复数柔量,fu'shu'rou'liang
氟树脂,fu'shu'zhi
复丝,fu'si
氟碳树脂,fu'tan'shu'zhi
氟橡胶,fu'xiang'jiao
辅增塑剂,fu'zeng'su'ji
概念,gai'nian
改性腈纶纤维,gai'xing'jing'lun'xian'wei
改性纤维,gai'xing'xian'wei
干纺,gan'fang
感光聚合物,gan'guang'ju'he'wu
感光橡胶,gan'guang'xiang'jiao
干喷湿法纺丝,gan'pen'shi'fa'fang'si
干湿法纺丝,gan'shi'fa'fang'si
刚棒高分子,gang'bang'gao'fen'zi
刚柔嵌段共聚物,gang'rou'qian'duan'gong'ju'wu
刚性链,gang'xing'lian
刚性链聚合物,gang'xing'lian'ju'he'wu
刚性链橡胶,gang'xing'lian'xiang'jiao
高分子,gao'fen'zi
高分子半导体,gao'fen'zi'ban'dao'ti
高分子催化剂,gao'fen'zi'cui'hua'ji
高分子电解质,gao'fen'zi'dian'jie'zhi
高分子共混物,gao'fen'zi'gong'hun'wu
高分子胶体,gao'fen'zi'jiao'ti
高分子晶体,gao'fen'zi'jing'ti
高分子离子,gao'fen'zi'li'zi
高分子量聚乙烯,gao'fen'zi'liang'ju'yi'xi
高分子膜,gao'fen'zi'mo
高分子试剂,gao'fen'zi'shi'ji
高分子添加剂,gao'fen'zi'tian'jia'ji
高分子微晶,gao'fen'zi'wei'jing
高分子絮凝剂,gao'fen'zi'xu'ning'ji
高分子药物,gao'fen'zi'yao'wu
高分子异质同晶现象,gao'fen'zi'yi'zhi'tong'jing'xian'xiang
高分子载体,gao'fen'zi'zai'ti
高聚物,gao'ju'wu
高抗冲聚苯乙烯,gao'kang'chong'ju'ben'yi'xi
高密度聚乙烯,gao'mi'du'ju'yi'xi
高模量聚合物,gao'mo'liang'ju'he'wu
高模量橡胶,gao'mo'liang'xiang'jiao
高熔聚合物,gao'rong'ju'he'wu
高熔橡胶,gao'rong'xiang'jiao
高斯链,gao'si'lian
高弹态,gao'tan'tai
高弹体,gao'tan'ti
高弹形变,gao'tan'xing'bian
高性能高分子,gao'xing'neng'gao'fen'zi
高压纺丝,gao'ya'fang'si
隔离剂,ge'li'ji
各向异性膜,ge'xiang'yi'xing'mo
给硫剂,gei'liu'ji
工程塑料,gong'cheng'su'liao
共轭单体,gong'e'dan'ti
共轭聚合物,gong'e'ju'he'wu
共轭橡胶,gong'e'xiang'jiao
共纺,gong'fang
共混,gong'hun
共混纺丝,gong'hun'fang'si
共挤出,gong'ji'chu
共挤吹塑,gong'ji'chui'su
共聚单体,gong'ju'dan'ti
共聚合,gong'ju'he
共聚合方程,gong'ju'he'fang'cheng
共聚甲醛,gong'ju'jia'quan
共聚醚,gong'ju'mi
共聚物,gong'ju'wu
共聚酯,gong'ju'zhi
功能砜料,gong'neng'feng'liao
功能高分子,gong'neng'gao'fen'zi
功能涂料,gong'neng'tu'liao
功能纤维,gong'neng'xian'wei
公式,gong'shi
共缩聚,gong'suo'ju
共缩聚物,gong'suo'ju'wu
共引发剂,gong'yin'fa'ji
共注塑,gong'zhu'su
构象重复单元,gou'xiang'chong'fu'dan'yuan
构象无序,gou'xiang'wu'xu
构型单元,gou'xing'dan'yuan
构型无序,gou'xing'wu'xu
固化,gu'hua
固化剂,gu'hua'ji
骨胶原,gu'jiao'yuan
古塔波胶,gu'ta'bo'jiao
固相挤出,gu'xiang'ji'chu
固相聚合,gu'xiang'ju'he
固相缩聚,gu'xiang'suo'ju
官能单体,guan'neng'dan'ti
官能度,guan'neng'du
光导纤维,guang'dao'xian'wei
光电导聚合物,guang'dian'dao'ju'he'wu
光电导橡胶,guang'dian'dao'xiang'jiao
光固化,guang'gu'hua
光固化聚合物,guang'gu'hua'ju'he'wu
光固化橡胶,guang'gu'hua'xiang'jiao
光活性聚合物,guang'huo'xing'ju'he'wu
光活性橡胶,guang'huo'xing'xiang'jiao
光降解,guang'jiang'jie
光降解聚合物,guang'jiang'jie'ju'he'wu
光降解橡胶,guang'jiang'jie'xiang'jiao
光交联,guang'jiao'lian
光交联聚合物,guang'jiao'lian'ju'he'wu
光交联橡胶,guang'jiao'lian'xiang'jiao
光刻胶,guang'ke'jiao
光老化,guang'lao'hua
光敏聚合,guang'min'ju'he
光敏聚合物,guang'min'ju'he'wu
光敏橡胶,guang'min'xiang'jiao
光敏引发剂,guang'min'yin'fa'ji
光屏蔽剂,guang'ping'bi'ji
光弹性聚合物,guang'tan'xing'ju'he'wu
光弹性橡胶,guang'tan'xing'xiang'jiao
光稳定剂,guang'wen'ding'ji
光响应高分子,guang'xiang'ying'gao'fen'zi
光氧化降解,guang'yang'hua'jiang'jie
光引发聚合,guang'yin'fa'ju'he
光引发转移终止剂,guang'yin'fa'zhuan'yi'zhong'zhi'ji
光致发光聚合物,guang'zhi'fa'guang'ju'he'wu
光致发光橡胶,guang'zhi'fa'guang'xiang'jiao
光致聚合,guang'zhi'ju'he
光致抗蚀剂,guang'zhi'kang'shi'ji
硅硐甲基硅橡胶,gui'dong'jia'ji'gui'xiang'jiao
癸二酸二辛酯癸二酸二乙已基酯,gui'er'suan'er'xin'zhi'gui'er'suan'er'yi'yi'ji'zhi
硅酸盐聚合物,gui'suan'yan'ju'he'wu
硅酸盐橡胶,gui'suan'yan'xiang'jiao
硅烷偶联剂,gui'wan'ou'lian'ji
硅橡胶,gui'xiang'jiao
硅橡胶苯乙烯异戊二烯橡胶,gui'xiang'jiao'ben'yi'xi'yi'wu'er'xi'xiang'jiao
规整聚合物,gui'zheng'ju'he'wu
规整嵌段,gui'zheng'qian'duan
规整橡胶,gui'zheng'xiang'jiao
滚塑,gun'su
过渡金属催化剂,guo'du'jin'shu'cui'hua'ji
过氟烷氧基聚合物,guo'fu'wan'yang'ji'ju'he'wu
过炼,guo'lian
过硫,guo'liu
过硫酸盐引发剂,guo'liu'suan'yan'yin'fa'ji
过氧化苯甲酰,guo'yang'hua'ben'jia'xian
过氧化物交联,guo'yang'hua'wu'jiao'lian
过早硫化,guo'zao'liu'hua
哈金斯公式,ha'jin'si'gong'shi
哈金斯系数,ha'jin'si'xi'shu
含氟甲基硅烷橡胶,han'fu'jia'ji'gui'wan'xiang'jiao
合成聚合物,he'cheng'ju'he'wu
合成纤维,he'cheng'xian'wei
合成纤维类,he'cheng'xian'wei'lei
合成橡胶,he'cheng'xiang'jiao
核壳共聚物,he'ke'gong'ju'wu
核壳胶乳聚合物,he'ke'jiao'ru'ju'he'wu
核壳胶乳橡胶,he'ke'jiao'ru'xiang'jiao
恒组分共聚合,heng'zu'fen'gong'ju'he
恒组分共聚物,heng'zu'fen'gong'ju'wu
后处理剂,hou'chu'li'ji
后发泡,hou'fa'pao
后过渡金属催化剂,hou'guo'du'jin'shu'cui'hua'ji
后聚合,hou'ju'he
后硫化,hou'liu'hua
后期结晶,hou'qi'jie'jing
互穿聚合物网络,hu'chuan'ju'he'wu'wang'luo
糊精,hu'jing
糊塑,hu'su
花菜状聚合物,hua'cai'zhuang'ju'he'wu
花菜状橡胶,hua'cai'zhuang'xiang'jiao
化学发泡,hua'xue'fa'pao
化学发泡剂,hua'xue'fa'pao'ji
化学降解,hua'xue'jiang'jie
化学交联,hua'xue'jiao'lian
化学纤维,hua'xue'xian'wei
环带球晶,huan'dai'qiu'jing
环硅氧烷聚合,huan'gui'yang'wan'ju'he
环化聚合,huan'hua'ju'he
环加成聚合,huan'jia'cheng'ju'he
缓聚剂,huan'ju'ji
缓聚作用,huan'ju'zuo'yong
缓聚作用延迟作用,huan'ju'zuo'yong'yan'chi'zuo'yong
环烯聚合,huan'xi'ju'he
环氧丙浣橡胶,huan'yang'bing'huan'xiang'jiao
环氧化豆油,huan'yang'hua'dou'you
环氧树脂,huan'yang'shu'zhi
环状单体,huan'zhuang'dan'ti
黄原胶,huang'yuan'jiao
回缩性,hui'suo'xing
回缩性弹性复原,hui'suo'xing'tan'xing'fu'yuan
回弹,hui'tan
回弹回弹性,hui'tan'hui'tan'xing
回弹性,hui'tan'xing
回转半径,hui'zhuan'ban'jing
混炼,hun'lian
混容性,hun'rong'xing
混杂复合材料,hun'za'fu'he'cai'liao
活化促进剂,huo'hua'cu'jin'ji
活化单体,huo'hua'dan'ti
活化剂,huo'hua'ji
活化接枝,huo'hua'jie'zhi
活化缩聚,huo'hua'suo'ju
活性负离子聚合,huo'xing'fu'li'zi'ju'he
活性高分子,huo'xing'gao'fen'zi
活性聚合,huo'xing'ju'he
活性开环聚合,huo'xing'kai'huan'ju'he
活性碳纤维,huo'xing'tan'xian'wei
活性正离子聚合,huo'xing'zheng'li'zi'ju'he
活性种,huo'xing'zhong
活性中心,huo'xing'zhong'xin
活性自由基聚合,huo'xing'zi'you'ji'ju'he
集成橡胶,ji'cheng'xiang'jiao
挤出,ji'chu
挤出吹塑,ji'chu'chui'su
