阿搭爾,a'da'er
發酵餜,fa'jiao'guo
反背,fan'bei
反撥,fan'bo
反糙向,fan'cao'xiang
反面,fan'mian
煩難,fan'nuo
繁難,fan'nuo
飯鍬,fan'qiao
番茄,fan'qie
反犬,fan'quan
番薯,fan'shu
飯碗,fan'wan
飯碗頭,fan'wan'tou
反轉,fan'zhuan
反轉門,fan'zhuan'men
反轉頭,fan'zhuan'tou
範子,fan'zi
放得著,fang'de'zhu
放弗著,fang'fu'zhu
放勒著,fang'le'zhu
放湯,fang'tang
放夜官,fang'ye'guan
廢話,fei'hua
肥桶,fei'tong
肥桶板,fei'tong'ban
肥桶蓋,fei'tong'ge
胐臀,fei'tun
胐臀屁,fei'tun'pi
胐臀頭,fei'tun'tou
胐臀眼,fei'tun'yan
肥豬肉,fei'zhu'rou
分把鐘,fen'ba'zhong
份加份,fen'jia'fen
份頭,fen'tou
朆見,fen'xian
朆見爻,fen'xian'yao
風癡,feng'chi
弗出,fu'chu
弗出客,fu'chu'ke
弗湊巧,fu'cou'qiao
弗搭爾,fu'da'er
弗搭渠,fu'da'qu
弗搭我,fu'da'wo
弗逮,fu'dai
弗到,fu'dao
弗得,fu'de
弗過,fu'guo
弗合算,fu'he'suan
弗候,fu'hou
弗還債,fu'huan'zhai
弗洎,fu'ji
弗叫,fu'jiao
弗進,fu'jin
弗快活,fu'kuai'huo
弗來,fu'lai
弗牢,fu'lao
弗落,fu'luo
弗落臺,fu'luo'tai
鳧薺,fu'qi
弗起,fu'qi
弗然,fu'ran
腐乳,fu'ru
弗若,fu'ruo
弗三,fu'san
弗三卵段,fu'san'luan'duan
弗上,fu'shang
弗識,fu'shi
弗是,fu'shi
弗識得,fu'shi'de
弗是多少,fu'shi'duo'shao
弗調泰,fu'tiao'tai
弗響,fu'xiang
弗相信,fu'xiang'xin
弗曉得,fu'xiao'de
弗曉勒,fu'xiao'le
弗歇,fu'xie
弗心過,fu'xin'guo
弗樣,fu'yang
弗爻,fu'yao
弗中意,fu'zhong'yi
弗著,fu'zhu
弗著得,fu'zhu'de
弗著勒,fu'zhu'le
弗自覺,fu'zi'jue
弗做響,fu'zuo'xiang
該日儿黃昏,gai'ri'er'huang'hun
該日儿夜裏,gai'ri'er'ye'li
感爾,gan'er
感橫,gan'heng
鋼絲床,gang'si'chuang
缸灶頭,gang'zao'tou
鋼種,gang'zhong
搞七撚三,gao'qi'nian'san
糕乾胚,gao'qian'pei
糕燙起,gao'tang'qi
高筒鞋套,gao'tong'xie'tao
高頭,gao'tou
高險,gao'xian
箇杯,ge'bei
箇本,ge'ben
隔壁,ge'bi
隔壁間,ge'bi'jian
隔壁攤,ge'bi'tan
各別許,ge'bie'xu
箇部,ge'bu
嗰扯,ge'che
嗰吃,ge'chi
箇廚,ge'chu
箇床被,ge'chuang'bei
嗰忖,ge'cun
嗰打,ge'da
箇打,ge'da
搿得動,ge'de'dong
嗰動,ge'dong
箇段,ge'duan
各對隻,ge'dui'zhi
箇方,ge'fang
各嗰,ge'ge
箇個,ge'ge
箇嗰,ge'ge
箇嗰人,ge'ge'ren
嗰摜,ge'guan
箇話,ge'hua
嘅加嘅,ge'jia'ge
搿加搿,ge'jia'ge
嗰講,ge'jiang
格局,ge'ju
箇口,ge'kou
箇塊,ge'kuai
搿勒動,ge'le'dong
箇兩日,ge'liang'ri
箇門,ge'men
箇面,ge'mian
箇年,ge'nian
箇爿地,ge'pan'di
嗰掽,ge'peng
各竅,ge'qiao
各人,ge'ren
箇人,ge'ren
各人頭,ge'ren'tou
各人頭半,ge'ren'tou'ban
箇日,ge'ri
嗰扇,ge'shan
箇扇,ge'shan
各省,ge'sheng
箇世,ge'shi
箇雙,ge'shuang
隔堂,ge'tang
箇天價,ge'tian'jie
箇條,ge'tiao
箇頭,ge'tou
嗰吐,ge'tu
嗰望,ge'wang
箇位,ge'wei
箇物事,ge'wu'shi
各許,ge'xu
箇許,ge'xu
各樣,ge'yang
箇樣,ge'yang
箇一,ge'yi
箇一周圍,ge'yi'zhou'wei
箇月,ge'yue
箇月頭,ge'yue'tou
箇張,ge'zhang
箇種,ge'zhong
嗰妝,ge'zhuang
箇字,ge'zi
箇總,ge'zong
哽茶,geng'cha
哽飯,geng'fan
哽哽,geng'geng
哽夾淡,geng'jia'dan
羹瓢,geng'piao
哽人,geng'ren
哽上哽,geng'shang'geng
哽香煙,geng'xiang'yan
哽爻,geng'yao
公道,gong'dao
紅雞子,gong'ji'zi
攻牢,gong'lao
攻牢定,gong'lao'ding
紅毛芋,gong'mao'yu
紅糖,gong'tang
工鈿,gong'tian
紅頭軍,gong'tou'jun
紅嘴唇,gong'zui'chun
狗兒,gou'er
鉤鉤雲,gou'gou'yun
狗孃,gou'niang
狗頭虎,gou'tou'hu
狗頭熊,gou'tou'xiong
古曆,gu'li
姑孃,gu'niang
孤栖相,gu'qi'xiang
孤恓相,gu'xi'xiang
骨柵,gu'zha
古注,gu'zhu
拐棒,guai'bang
柺棒,guai'bang
怪得,guai'de
怪弗得,guai'fu'de
怪弗勒,guai'fu'le
怪勒,guai'le
怪外,guai'wai
關場頭,guan'chang'tou
摜倒,guan'dao
館店,guan'dian
關牢定,guan'lao'ding
關衫,guan'shan
關望,guan'wang
關霧露,guan'wu'lu
關係,guan'xi
管閒事,guan'xian'shi
摜爻,guan'yao
光景,guang'jing
光石頭,guang'shi'tou
光險,guang'xian
鬼搗搗,gui'dao'dao
鬼弗要,gui'fu'yao
貴險,gui'xian
鬼渣,gui'zha
櫃桌,gui'zhuo
過菜蔬,guo'cai'shu
過飯,guo'fan
聒聒叫,guo'guo'jiao
過火,guo'huo
過路客,guo'lu'ke
過門,guo'men
過念,guo'nian
過起,guo'qi
過身,guo'shen
過夜,guo'ye
蝦蟆衣,ha'ma'yi
蝦蟆子,ha'ma'zi
海卵噴,hai'luan'pen
海毛,hai'mao
海螄,hai'si
海螄塘,hai'si'tang
嗐著勒,hai'zhu'le
寒假,han'jia
寒坑,han'keng
寒坑龍潭,han'keng'long'tan
頷鰓,han'sai
汗滲滲,han'shen'shen
汗衣,han'yi
汗衣褲頭,han'yi'ku'tou
航船,hang'chuan
行市,hang'shi
好撐,hao'cheng
好撐人家,hao'cheng'ren'jia
好吃,hao'chi
好打,hao'da
好定,hao'ding
好嗰,hao'ge
好哽,hao'geng
好過,hao'guo
好好嘅,hao'hao'ge
好講話,hao'jiang'hua
好進,hao'jin
好看,hao'kan
好是,hao'shi
好死,hao'si
好死相,hao'si'xiang
好聽,hao'ting
薧頭,hao'tou
好望,hao'wang
好物東,hao'wu'dong
好險,hao'xian
好相,hao'xiang
好寫,hao'xie
好用,hao'yong
豪燥,hao'zao
合算,he'suan
和嘴,he'zui
黑板揩,hei'ban'kai
黑黢黢,hei'qu'qu
恨心,hen'xin
橫邊,heng'bian
橫經,heng'jing
橫山杠,heng'shan'gang
橫頭,heng'tou
橫頭嘅,heng'tou'ge
橫頭間,heng'tou'jian
橫頭闒,heng'tou'ta
橫直,heng'zhi
橫轉,heng'zhuan
猴躃來躃,hou'bi'lai'bi
猴打來打,hou'da'lai'da
候爾,hou'er
猴哽來哽,hou'geng'lai'geng
猴好,hou'hao
後間,hou'jian
猴講來講,hou'jiang'lai'jiang
後橛儿,hou'jue'er
後臗,hou'kuan
後髖,hou'kuan
後來,hou'lai
后門,hou'men
後門,hou'men
後年,hou'nian
後日儿,hou'ri'er
後日儿黃昏,hou'ri'er'huang'hun
後日儿晚頭,hou'ri'er'wan'tou
後日儿夜裏,hou'ri'er'ye'li
後生,hou'sheng
後生頭,hou'sheng'tou
後生險,hou'sheng'xian
後頭,hou'tou
猴吞,hou'tun
後晚,hou'wan
後晚朞,hou'wan'ji
後晚稘,hou'wan'ji
猴望來望,hou'wang'lai'wang
猴讚,hou'zan
寣昶,hu'chang
戲棚頭,hu'peng'tou
寣去,hu'qu
戽水,hu'shui
猢猻,hu'sun
猢猻精,hu'sun'jing
猢猻摸卵,hu'sun'mo'luan
湖苔,hu'tai
胡梯,hu'ti
花琳琳,hua'lin'lin
話孃,hua'niang
滑皮,hua'pi
划泅,hua'qiu
話散,hua'san
划算,hua'suan
花頭,hua'tou
滑頭,hua'tou
滑外皮,hua'wai'pi
擐邊,huan'bian
擐撥,huan'bo
擐出,huan'chu
還耷儿,huan'da'er
擐到,huan'dao
擐得,huan'de
擐得動,huan'de'dong
還方,huan'fang
還朆,huan'fen
擐弗動,huan'fu'dong
擐弗來,huan'fu'lai
還個,huan'ge
還嗰,huan'ge
擐來,huan'lai
擐來擐去,huan'lai'huan'qu
擐勒動,huan'le'dong
擐粒,huan'li
還了得,huan'liao'de
擐落來,huan'luo'lai
擐落去,huan'luo'qu
還門,huan'men
還面,huan'mian
擐起,huan'qi
擐去,huan'qu
擐上來,huan'shang'lai
擐上去,huan'shang'qu
還頭,huan'tou
還未,huan'wei
還未險,huan'wei'xian
歡喜,huan'xi
還許,huan'xu
擐爻,huan'yao
還債,huan'zhai
擐著,huan'zhu
還轉,huan'zhuan
擐轉,huan'zhuan
黃昏,huang'hun
黃昏飯,huang'hun'fan
黃昏頭,huang'hun'tou
黃泥水,huang'ni'shui
皇天,huang'tian
皇天三保,huang'tian'san'bao
黃頭毛,huang'tou'mao
回籃,hui'lan
嬒嫌,hui'xian
魂弗入來,hun'fu'ru'lai
魂靈,hun'ling
魂入來,hun'ru'lai
活寶,huo'bao
火錶,huo'biao
活墮,huo'hui
活絡,huo'lao
活靈,huo'ling
活嘍嘍,huo'lou'lou
火煙臭,huo'yan'chou
伙蟻,huo'yi
鑊灶,huo'zao
鑊灶間,huo'zao'jian
鑊灶頭,huo'zao'tou
火著,huo'zhu
火著起,huo'zhu'qi
徛塝,ji'bang
雞兒,ji'er
雞公,ji'gong
積穀,ji'gu
急吼吼,ji'hou'hou
雞黃,ji'huang
記加記,ji'jia'ji
擊講,ji'jiang
擊講便,ji'jiang'bian
擊講伐,ji'jiang'fa
擠扛,ji'kang
記牢,ji'lao
徛牢,ji'lao
徛勒,ji'le
基年,ji'nian
雞孃,ji'niang
繼孃爺,ji'niang'ye
擊謳,ji'ou
擊謳便,ji'ou'bian
擊謳便來,ji'ou'bian'lai
擊謳伐,ji'ou'fa
擊謳伐來,ji'ou'fa'lai
徛起,ji'qi
基日儿,ji'ri'er
記伸,ji'shen
躸身,ji'shen
幾時,ji'shi
積食,ji'shi
濟手邊,ji'shou'bian
濟手面,ji'shou'mian
擊宿,ji'su
擊踏伐,ji'ta'fa
寄晚,ji'wan
擊望,ji'wang
擊望伐,ji'wang'fa
記性頭,ji'xing'tou
雞種,ji'zhong
擊著伐,ji'zhu'fa
擊妝,ji'zhuang
擊妝倍,ji'zhuang'bei
擊妝伐,ji'zhuang'fa
雞子,ji'zi
雞子黃,ji'zi'huang
雞子酒,ji'zi'jiu
雞子酒調起,ji'zi'jiu'tiao'qi
家火,jia'huo
甲節,jia'jie
夾空肚,jia'kong'du
假睏,jia'kun
嫁老官,jia'lao'guan
夾冷,jia'leng
裌裏,jia'li
裌裡,jia'li
夾裏,jia'li
夾裡,jia'li
架落,jia'luo
假冒貨,jia'mao'huo
嫁囡,jia'nan
假內行,jia'nei'xing
傢生,jia'sheng
夾生,jia'sheng
家生,jia'sheng
家生火,jia'sheng'huo
家私,jia'si
家頭,jia'tou
假巖,jia'yan
架中半,jia'zhong'ban
肩膀頭,jian'bang'tou
賤蟲,jian'chong
賤功,jian'gong
肩胛,jian'jia
件加件,jian'jia'jian
肩胛頭,jian'jia'tou
賤賤,jian'jian
賤賤玩,jian'jian'wan
剪口,jian'kou
監牢,jian'lao
間裏,jian'li
間裡,jian'li
尖頭,jian'tou
賤險,jian'xian
江矮早,jiang'ai'zao
僵塝,jiang'bang
講撥,jiang'bo
講播,jiang'bo
講昶,jiang'chang
講出來,jiang'chu'lai
講大話,jiang'da'hua
講得,jiang'de
講得進,jiang'de'jin
講得來,jiang'de'lai
講得聽,jiang'de'ting
講得著,jiang'de'zhu
講得是,jiang'dei'shi
講弗進,jiang'fu'jin
講弗來,jiang'fu'lai
講弗靈清,jiang'fu'ling'qing
講弗聽,jiang'fu'ting
講弗歇,jiang'fu'xie
講弗著,jiang'fu'zhu
講功,jiang'gong
講講,jiang'jiang
講講過,jiang'jiang'guo
講講笑笑,jiang'jiang'xiao'xiao
講究,jiang'jiu
講牢定,jiang'lao'ding
講勒,jiang'le
講勒進,jiang'le'jin
講勒來,jiang'le'lai
講勒是,jiang'le'shi
講勒聽,jiang'le'ting
講勒著,jiang'le'zhu
漿另,jiang'ling
講清爽,jiang'qing'shuang
僵確伊,jiang'que'yi
講上講,jiang'shang'jiang
講玩,jiang'wan
僵屋裏,jiang'wu'li
僵屋裡,jiang'wu'li
僵咸橫,jiang'xian'heng
僵咸伊,jiang'xian'yi
講相聲,jiang'xiang'sheng
講笑玩,jiang'xiao'wan
僵嚡橫,jiang'xie'heng
講嚡某,jiang'xie'mou
講夜話,jiang'ye'hua
僵伊,jiang'yi
僵伊橫,jiang'yi'heng
講著,jiang'zhu
講轉來,jiang'zhuan'lai
講賺,jiang'zuan
交春,jiao'chun
交代,jiao'dai
攪功,jiao'gong
叫皇天,jiao'huang'tian
攪攪,jiao'jiao
撟腳布頭,jiao'jue'bu'tou
角落,jiao'luo
角落頭,jiao'luo'tou
叫是,jiao'shi
茭手,jiao'shou
教書先生,jiao'shu'xian'sheng
茭筍,jiao'sun
叫頭,jiao'tou
攪爻,jiao'yao
交椅,jiao'yi
藠柱,jiao'zhu
角子,jiao'zi
借邊,jie'bian
解鈔票,jie'chao'piao
庎櫥,jie'chu
吤耷儿,jie'da'er
接答應,jie'da'ying
庎刀,jie'dao
介方,jie'fang
吤方,jie'fang
吤個,jie'ge
吤嗰,jie'ge
街口,jie'kou
接力,jie'li
介門,jie'men
吤門,jie'men
介面,jie'mian
吤面,jie'mian
吤某,jie'mou
結紐,jie'niu
結球,jie'qiu
借手,jie'shou
借手邊,jie'shou'bian
借手面,jie'shou'mian
借手撇,jie'shou'pie
價鈿,jie'tian
價鈿巧,jie'tian'qiao
介頭,jie'tou
吤頭,jie'tou
結頭,jie'tou
介許,jie'xu
吤許,jie'xu
金蛋,jin'dan
進得進,jin'de'jin
盡肚裏,jin'du'li
進弗進,jin'fu'jin
金瓜,jin'gua
緊火,jin'huo
進來爻,jin'lai'yao
進勒進,jin'le'jin
盡頭,jin'tou
金櫻,jin'ying
金珠米,jin'zhu'mi
筋竹筍,jin'zhu'sun
勁道,jing'dao
儆牢,jing'lao
勁牢,jing'lao
酒雕,jiu'diao
九嗰,jiu'ge
九嘅,jiu'ge
舊年,jiu'nian
舊爿,jiu'pan
