阿海珐,a'hai'fa
国电南瑞,guo'dian'nan'rui
过电压,guo'dian'ya
过渡电阻,guo'du'dian'zu
过负荷,guo'fu'he
过负荷联切,guo'fu'he'lian'qie
国家电网,guo'jia'dian'wang
过流,guo'liu
号管,hao'guan
号头,hao'tou
合并单元,he'bing'dan'yuan
核对定值,he'dui'ding'zhi
核对定值单,he'dui'ding'zhi'dan
合位,he'wei
核相,he'xiang
合闸后加速,he'zha'hou'jia'su
合闸线圈,he'zha'xian'quan
横差,heng'cha
红旗站,hong'qi'zhan
红旗站达标,hong'qi'zhan'da'biao
红套头,hong'tao'tou
后加速,hou'jia'su
互感器,hu'gan'qi
互投,hu'tou
华北电网,hua'bei'dian'wang
华北电网有限公司,hua'bei'dian'wang'you'xian'gong'si
华北分部,hua'bei'fen'bu
滑块,hua'kuai
环网,huan'wang
回路,hui'lu
回路完善,hui'lu'wan'shan
继保,ji'bao
冀北,ji'bei
冀北电力公司,ji'bei'dian'li'gong'si
汲出电流,ji'chu'dian'liu
继电保护,ji'dian'bao'hu
基尔霍夫,ji'er'huo'fu
集控站,ji'kong'zhan
技能鉴定,ji'neng'jian'ding
技师,ji'shi
架构,jia'gou
加强监护,jia'qiang'jian'hu
加热电源,jia're'dian'yuan
减极性,jian'ji'xing
监控,jian'kong
监控改造,jian'kong'gai'zao
监控改造配合,jian'kong'gai'zao'pei'he
监控机,jian'kong'ji
检同期,jian'tong'qi
间隙,jian'xi
检修通道,jian'xiu'tong'dao
检修压板,jian'xiu'ya'ban
减载,jian'zai
角接,jiao'jie
交流插件,jiao'liu'cha'jian
角形,jiao'xing
校验报告,jiao'yan'bao'gao
接地,jie'di
接地变,jie'di'bian
接地刀,jie'di'dao
接地点,jie'di'dian
接地距离,jie'di'ju'li
接地铜排,jie'di'tong'pai
接地网,jie'di'wang
解列,jie'lie
近后备,jin'hou'bei
金属性短路,jin'shu'xing'duan'lu
进线,jin'xian
进线互投,jin'xian'hu'tou
禁止合闸,jin'zhi'he'zha
就地,jiu'di
就地判别,jiu'di'pan'bie
就地位置,jiu'di'wei'zhi
拒动,ju'dong
距离,ju'li
距离保护,ju'li'bao'hu
绝缘,jue'yuan
绝缘胶带,jue'yuan'jiao'dai
绝缘鞋,jue'yuan'xie
开闭站,kai'bi'zhan
开出,kai'chu
开关,kai'guan
开关柜,kai'guan'gui
开关机构,kai'guan'ji'gou
开关室,kai'guan'shi
开口三角,kai'kou'san'jiao
开入,kai'ru
可以投入运行,ke'yi'tou'ru'yun'xing
空开,kong'kai
控制电源,kong'zhi'dian'yuan
控制回路,kong'zhi'hui'lu
控制字,kong'zhi'zi
馈出,kui'chu
馈线,kui'xian
拉路,la'lu
励磁,li'ci
励磁涌流,li'ci'yong'liu
连片,lian'pian
联网系统,lian'wang'xi'tong
临时单,lin'shi'dan
零差,ling'cha
灵敏度,ling'min'du
灵敏角,ling'min'jiao
零序,ling'xu
六角图,liu'jiao'tu
六态,liu'tai
录波,lu'bo
录波器,lu'bo'qi
轮停,lun'ting
轮退,lun'tui
滤过器,lv'guo'qi
末端,mo'duan
末端站,mo'duan'zhan
模拟量,mo'ni'liang
母差,mu'cha
母差保护屏,mu'cha'bao'hu'ping
母差接入,mu'cha'jie'ru
母差接入传动,mu'cha'jie'ru'chuan'dong
母线,mu'xian
母线保护,mu'xian'bao'hu
南瑞,nan'rui
南自,nan'zi
内齿套管,nei'chi'tao'guan
年校,nian'xiao
盘上,pan'shang
盘下,pan'xia
配线,pei'xian
偏口,pian'kou
屏蔽芯,ping'bi'xin
平衡系数,ping'heng'xi'shu
屏位图,ping'wei'tu
普考,pu'kao
启动,qi'dong
起动,qi'dong
启动前准备,qi'dong'qian'zhun'bei
启动值,qi'dong'zhi
起失灵,qi'shi'ling
七态,qi'tai
气体绝缘开关设备,qi'ti'jue'yuan'kai'guan'she'bei
欠补偿,qian'bu'chang
签发人,qian'fa'ren
潜供电流,qian'gong'dian'liu
前加速,qian'jia'su
签票,qian'piao
钳形表,qian'xing'biao
钳形电流表,qian'xing'dian'liu'biao
切除故障,qie'chu'gu'zhang
轻瓦斯,qing'wa'si
区内,qu'nei
区外,qu'wai
去游离,qu'you'li
全站停电,quan'zhan'ting'dian
熔断器,rong'duan'qi
软铜线,ruan'tong'xian
软压板,ruan'ya'ban
弱馈,ruo'kui
三重,san'chong
三集五大,san'ji'wu'da
三态,san'tai
三跳,san'tiao
三误,san'wu
三相,san'xiang
三相不一致,san'xiang'bu'yi'zhi
设备区,she'bei'qu
设置遮栏,she'zhi'zhe'lan
深南瑞,shen'nan'rui
深瑞,shen'rui
失步,shi'bu
失步解列,shi'bu'jie'lie
始端,shi'duan
事故报告,shi'gu'bao'gao
事故分析,shi'gu'fen'xi
事故通报,shi'gu'tong'bao
事故音响,shi'gu'yin'xiang
事故总,shi'gu'zong
时间继电器,shi'jian'ji'dian'qi
失灵,shi'ling
失灵保护,shi'ling'bao'hu
失灵启动,shi'ling'qi'dong
实验报告,shi'yan'bao'gao
试验报告,shi'yan'bao'gao
试验线,shi'yan'xian
试验仪,shi'yan'yi
手把,shou'ba
手合后加速,shou'he'hou'jia'su
双重化,shuang'chong'hua
双重名称,shuang'chong'ming'cheng
双回,shuang'hui
双回线,shuang'hui'xian
四态,si'tai
速动,su'dong
速断,su'duan
弹簧储能,tan'huang'chu'neng
弹簧未储能,tan'huang'wei'chu'neng
套头,tao'tou
特巡,te'xun
填票,tian'piao
跳合闸,tiao'he'zha
调考,tiao'kao
调试报告,tiao'shi'bao'gao
调试验收,tiao'shi'yan'shou
跳位,tiao'wei
调压轻瓦斯,tiao'ya'qing'wa'si
调压瓦斯,tiao'ya'wa'si
调压重瓦斯,tiao'ya'zhong'wa'si
跳跃,tiao'yue
跳闸,tiao'zha
跳闸出口,tiao'zha'chu'kou
跳闸线圈,tiao'zha'xian'quan
调整系数,tiao'zheng'xi'shu
铜排,tong'pai
同期,tong'qi
投退,tou'tui
投运,tou'yun
突变量,tu'bian'liang
瓦斯防雨,wa'si'fang'yu
瓦斯防雨已做,wa'si'fang'yu'yi'zuo
瓦斯防雨罩,wa'si'fang'yu'zhao
瓦斯继电器,wa'si'ji'dian'qi
完全补偿,wan'quan'bu'chang
未储能,wei'chu'neng
微机保护,wei'ji'bao'hu
微机化,wei'ji'hua
微机母线保护,wei'ji'mu'xian'bao'hu
围栏,wei'lan
危险点,wei'xian'dian
危险点分析与控制单,wei'xian'dian'fen'xi'yu'kong'zhi'dan
未执行,wei'zhi'xing
温度变送器,wen'du'bian'song'qi
误动,wu'dong
五防,wu'fang
五防闭锁,wu'fang'bi'suo
武汉中元,wu'han'zhong'yuan
误接线,wu'jie'xian
误碰,wu'peng
无票工作,wu'piao'gong'zuo
五态,wu'tai
误整定,wu'zheng'ding
习惯性违章,xi'guan'xing'wei'zhang
系统振荡,xi'tong'zhen'dang
线鼻子,xian'bi'zi
线路,xian'lu
线路保护屏,xian'lu'bao'hu'ping
线圈,xian'quan
线损,xian'sun
线损奖,xian'sun'jiang
相继速动,xiang'ji'su'dong
相继跳闸,xiang'ji'tiao'zha
相间,xiang'jian
相角,xiang'jiao
向量,xiang'liang
相量,xiang'liang
相量检查,xiang'liang'jian'cha
小差,xiao'chai
小接地,xiao'jie'di
小接地电流系统,xiao'jie'di'dian'liu'xi'tong
小庙,xiao'miao
小庙箱,xiao'miao'xiang
小母线,xiao'mu'xian
小室,xiao'shi
消谐,xiao'xie
信息子站,xin'xi'zi'zhan
行波测距,xing'bo'ce'ju
星接,xing'jie
星形,xing'xing
修试,xiu'shi
修试所,xiu'shi'suo
许继,xu'ji
选择性,xuan'ze'xing
压板,ya'ban
压力释放,ya'li'shi'fang
压力突变,ya'li'tu'bian
摇表,yao'biao
一次系统图,yi'ci'xi'tong'tu
一圈,yi'quan
一态,yi'tai
已执行,yi'zhi'xing
迎峰度夏,ying'feng'du'xia
硬压板,ying'ya'ban
油温高,you'wen'gao
油枕,you'zhen
远传,yuan'chuan
远方,yuan'fang
远后备,yuan'hou'bei
原理图,yuan'li'tu
运维,yun'wei
运行设备,yun'xing'she'bei
匝间,za'jian
在此工作,zai'ci'gong'zuo
站用变,zhan'yong'bian
张家口供电公司,zhang'jia'kou'gong'dian'gong'si
兆欧表,zhao'ou'biao
遮栏,zhe'lan
振荡闭锁,zhen'dang'bi'suo
正常态,zheng'chang'tai
正抽,zheng'chou
正电,zheng'dian
整定,zheng'ding
整定方案,zheng'ding'fang'an
整定计算,zheng'ding'ji'suan
整定值,zheng'ding'zhi
正动率,zheng'dong'lv
正极性,zheng'ji'xing
正起,zheng'qi
值班人员,zhi'ban'ren'yuan
值班员,zhi'ban'yuan
指导书,zhi'dao'shu
制动电流,zhi'dong'dian'liu
智能终端,zhi'neng'zhong'duan
值长,zhi'zhang
直阻,zhi'zu
中后备,zhong'hou'bei
中级工,zhong'ji'gong
重瓦斯,zhong'wa'si
中性点,zhong'xing'dian
中压侧,zhong'ya'ce
中元,zhong'yuan
助增,zhu'zeng
助增电流,zhu'zeng'dian'liu
助增系数,zhu'zeng'xi'shu
专业普考,zhuan'ye'pu'kao
装置告警,zhuang'zhi'gao'jing
自投,zi'tou
子站,zi'zhan
纵差,zong'cha
纵差保护,zong'cha'bao'hu
综合测控,zong'he'ce'kong
综合自动化,zong'he'zi'dong'hua
总控装置,zong'kong'zhuang'zhi
纵联,zong'lian
纵联差动,zong'lian'cha'dong
纵联电流差动,zong'lian'dian'liu'cha'dong
纵联电流差动保护,zong'lian'dian'liu'cha'dong'bao'hu
纵联方向,zong'lian'fang'xiang
纵联距离,zong'lian'ju'li
总站,zong'zhan
综自,zong'zi
走错间隔,zou'cuo'jian'ge
阻抗,zu'kang
阻抗角,zu'kang'jiao
做向量,zuo'xiang'liang
做相量,zuo'xiang'liang
作业指导书,zuo'ye'zhi'dao'shu
