爱德华,ai'de'hua
过量蒸气调节阀,guo'liang'zheng'qi'tiao'jie'fa
锅炉,guo'lu
锅炉安全阀,guo'lu'an'quan'fa
锅炉给水泵,guo'lu'ji'shui'beng
锅炉给水和凝水系统,guo'lu'ji'shui'he'ning'shui'xi'tong
锅炉燃油泵,guo'lu'ran'you'beng
锅炉水舱,guo'lu'shui'cang
过热区,guo're'qu
过载,guo'zai
海底阀箱,hai'di'fa'xiang
海底格栅,hai'di'ge'shan
海东造船厂,hai'dong'zao'chuan'chang
海水系统,hai'shui'xi'tong
海图灯,hai'tu'deng
海图桌,hai'tu'zhuo
焊补,han'bu
焊层,han'ceng
焊道,han'dao
焊缝,han'feng
焊缝背面,han'feng'bei'mian
焊缝长度,han'feng'chang'du
焊缝成形,han'feng'cheng'xing
焊缝成形系数,han'feng'cheng'xing'xi'shu
焊缝宽度,han'feng'kuan'du
焊缝倾角,han'feng'qing'jiao
焊缝区,han'feng'qu
焊缝余高,han'feng'yu'gao
焊缝正面,han'feng'zheng'mian
焊工手套,han'gong'shou'tao
焊合线,han'he'xian
焊后热处理,han'hou're'chu'li
焊剂,han'ji
焊机,han'ji
焊剂垫,han'ji'dian
焊剂漏斗,han'ji'lou'dou
焊剂铜衬垫单面埋弧自动焊,han'ji'tong'chen'dian'dan'mian'mai'hu'zi'dong'han
焊脚,han'jiao
焊脚长度,han'jiao'chang'du
焊接变位机,han'jie'bian'wei'ji
焊接变形,han'jie'bian'xing
焊接材料,han'jie'cai'liao
焊接残余裂纹,han'jie'can'yu'lie'wen
焊接操作,han'jie'cao'zuo
焊接车间,han'jie'che'jian
焊接衬垫,han'jie'chen'dian
焊接窗,han'jie'chuang
焊接电流,han'jie'dian'liu
焊接电压,han'jie'dian'ya
焊接电源,han'jie'dian'yuan
焊接方法,han'jie'fang'fa
焊接方向,han'jie'fang'xiang
焊接工艺,han'jie'gong'yi
焊接工艺参数,han'jie'gong'yi'can'shu
焊接工作台,han'jie'gong'zuo'tai
焊接结构,han'jie'jie'gou
焊接接头,han'jie'jie'tou
焊接裂纹,han'jie'lie'wen
焊接区,han'jie'qu
焊接缺陷,han'jie'que'xian
焊接顺序,han'jie'shun'xu
焊接速度,han'jie'su'du
焊接位置,han'jie'wei'zhi
焊接性,han'jie'xing
焊接性试验,han'jie'xing'shi'yan
焊接烟尘,han'jie'yan'chen
焊矩,han'ju
焊瘤,han'liu
焊钳,han'qian
焊枪,han'qiang
焊丝,han'si
焊丝间距,han'si'jian'ju
焊丝盘,han'si'pan
焊丝伸出长度,han'si'shen'chu'chang'du
焊条,han'tiao
焊条药皮,han'tiao'yao'pi
焊趾裂纹,han'zhi'lie'wen
航向,hang'xiang
航行灯,hang'xing'deng
航行监控台,hang'xing'jian'kong'tai
航行警告收信机,hang'xing'jing'gao'shou'xin'ji
杭州东风,hang'zhou'dong'feng
浩友船厂,hao'you'chuan'chang
恒电流,heng'dian'liu
横焊,heng'han
横桁,heng'heng
桁架梁,heng'jia'liang
横框架肋骨,heng'kuang'jia'lei'gu
横裂纹,heng'lie'wen
恒温计,heng'wen'ji
横向焊缝,heng'xiang'han'feng
横向拉伸,heng'xiang'la'shen
烘干,hong'gan
宏观试样,hong'guan'shi'yang
鸿寇船厂,hong'kou'chuan'chang
红绿灯,hong'lv'deng
后倾焊,hou'qing'han
后热,hou're
后热温度,hou're'wen'du
后桅,hou'wei
弧长,hu'chang
沪东中华,hu'dong'zhong'hua
弧焊变压器,hu'han'bian'ya'qi
弧焊整流器,hu'han'zheng'liu'qi
弧坑裂纹,hu'keng'lie'wen
呼吸器,hu'xi'qi
滑车,hua'che
花篮螺丝,hua'lan'luo'si
滑轮机构,hua'lun'ji'gou
话筒,hua'tong
滑油储藏舱,hua'you'chu'cang'cang
滑油澄清舱,hua'you'deng'qing'cang
滑油分油机,hua'you'fen'you'ji
滑油净油系统,hua'you'jing'you'xi'tong
滑油输送系统,hua'you'shu'song'xi'tong
滑油污油舱,hua'you'wu'you'cang
滑油系统,hua'you'xi'tong
滑油循环舱,hua'you'xun'huan'cang
滑油溢油舱,hua'you'yi'you'cang
滑油油渣打舱,hua'you'you'zha'da'cang
滑油自清滤器,hua'you'zi'qing'lv'qi
化装台,hua'zhuang'tai
黄海船厂,huang'hai'chuan'chang
汇流排,hui'liu'pai
货舱甲板,huo'cang'jia'ban
火警复显器,huo'jing'fu'xian'qi
火警检测箱,huo'jing'jian'ce'xiang
活络钣,huo'luo'ban
活塞,huo'sai
活塞杆,huo'sai'gan
活塞环,huo'sai'huan
活性气体保护焊,huo'xing'qi'ti'bao'hu'han
火焰探头,huo'yan'tan'tou
货油压载舱,huo'you'ya'zai'cang
系泊绞车,ji'bo'jiao'che
系泊铰车操作平台,ji'bo'jiao'che'cao'zuo'ping'tai
系泊铰车底座,ji'bo'jiao'che'di'zuo
机舱报警,ji'cang'bao'jing
机舱部分,ji'cang'bu'fen
机舱集控台,ji'cang'ji'kong'tai
机舱监测报警,ji'cang'jian'ce'bao'jing
机舱平台,ji'cang'ping'tai
基础台架,ji'chu'tai'jia
继电器,ji'dian'qi
级分隔,ji'fen'ge
集管,ji'guan
机控室,ji'kong'shi
集控台,ji'kong'tai
记录仪,ji'lu'yi
计算机,ji'suan'ji
计算器,ji'suan'qi
机械性能试验,ji'xie'xing'neng'shi'yan
极性,ji'xing
机座纵桁,ji'zuo'zong'heng
甲板,jia'ban
甲板边板,jia'ban'bian'ban
甲板克令吊,jia'ban'ke'ling'diao
甲板下纵桁,jia'ban'xia'zong'heng
甲板纵桁,jia'ban'zong'heng
驾控台,jia'kong'tai
加强板,jia'qiang'ban
加强筋,jia'qiang'jin
驾驶甲板,jia'shi'jia'ban
夹杂物,jia'za'wu
夹渣,jia'zha
尖舱肋骨,jian'cang'lei'gu
检查,jian'cha
键盘,jian'pan
监视器,jian'shi'qi
间隙,jian'xi
碱性焊条,jian'xing'han'tiao
减压阀,jian'ya'fa
减震阀,jian'zhen'fa
江都船厂,jiang'du'chuan'chang
江南,jiang'nan
江苏舜天,jiang'su'shun'tian
角变形,jiao'bian'xing
交错断续角焊缝,jiao'cuo'duan'xu'jiao'han'feng
角灯,jiao'deng
角焊,jiao'han
角焊缝,jiao'han'feng
交换机,jiao'huan'ji
角接接头,jiao'jie'jie'tou
铰链,jiao'lian
交流电,jiao'liu'dian
交流电弧焊,jiao'liu'dian'hu'han
脚手架,jiao'shou'jia
绞制螺栓,jiao'zhi'luo'shuan
校准器,jiao'zhun'qi
接触器,jie'chu'qi
接地,jie'di
接地排,jie'di'pai
结构,jie'gou
接口,jie'kou
界面,jie'mian
接头,jie'tou
接头根部,jie'tou'gen'bu
接线盒,jie'xian'he
接线排,jie'xian'pai
接线柱,jie'xian'zhu
进风道,jin'feng'dao
浸漆,jin'qi
浸水保温服,jin'shui'bao'wen'fu
警告牌,jing'gao'pai
晶间裂纹,jing'jian'lie'wen
静水压力释放器,jing'shui'ya'li'shi'fang'qi
镜向灯,jing'xiang'deng
救生,jiu'sheng
救生筏,jiu'sheng'fa
救生筏登乘绳,jiu'sheng'fa'deng'cheng'sheng
救生筏架,jiu'sheng'fa'jia
救生艇滑架,jiu'sheng'ting'hua'jia
救世主助艇吊架,jiu'shi'zhu'zhu'ting'diao'jia
卷式遮光窗帘,juan'shi'zhe'guang'chuang'lian
绝缘,jue'yuan
绝缘胶带,jue'yuan'jiao'dai
咖啡机,ka'fei'ji
开关,kai'guan
开口钣,kai'kou'ban
抗裂试验,kang'lie'shi'yan
拷铲,kao'chan
克令吊筒体,ke'ling'diao'tong'ti
控测器,kong'ce'qi
空间加热器,kong'jian'jia're'qi
空气断路器,kong'qi'duan'lu'qi
空气干燥器,kong'qi'gan'zao'qi
空气弹簧,kong'qi'tan'huang
空压机,kong'ya'ji
空载电压,kong'zai'dian'ya
控制管路,kong'zhi'guan'lu
控制空气瓶,kong'zhi'kong'qi'ping
控制空气系统,kong'zhi'kong'qi'xi'tong
控制箱,kong'zhi'xiang
口岸船厂,kou'an'chuan'chang
矿棉,kuang'mian
馈电品,kui'dian'pin
喇叭,la'ba
拉出,la'chu
拉杆,la'gan
拉力试验,la'li'shi'yan
栏杆,lan'gan
锒头,lang'tou
劳莱收信机,lao'lai'shou'xin'ji
雷达,lei'da
雷达桅,lei'da'wei
雷达应答器,lei'da'ying'da'qi
肋骨,lei'gu
肋距,lei'ju
冷库呼叫,leng'ku'hu'jiao
冷裂纹,leng'lie'wen
冷凝水柜,leng'ning'shui'gui
冷却,leng'que
立丰船厂,li'feng'chuan'chang
立焊,li'han
立向上焊,li'xiang'shang'han
立向下焊,li'xiang'xia'han
连杆,lian'gan
连杆轴承,lian'gan'zhou'cheng
连接,lian'jie
链节链环,lian'jie'lian'huan
连接御扣拆装,lian'jie'yu'kou'chai'zhuang
连锁,lian'suo
连续板,lian'xu'ban
连续焊,lian'xu'han
连续焊缝,lian'xu'han'feng
梁拱甲板,liang'gong'jia'ban
铃,ling
令司板,ling'si'ban
流程图,liu'cheng'tu
流量计,liu'liang'ji
流量开关,liu'liang'kai'guan
龙骨舱,long'gu'cang
卤素灯,lu'su'deng
录音机,lu'yin'ji
轮机员安全,lun'ji'yuan'an'quan
轮机员呼叫,lun'ji'yuan'hu'jiao
螺检,luo'jian
罗经甲板,luo'jing'jia'ban
螺帽,luo'mao
螺母,luo'mu
螺栓,luo'shuan
螺栓窗,luo'shuan'chuang
螺丝,luo'si
螺丝刀,luo'si'dao
螺旋桨,luo'xuan'jiang
螺旋桨灯,luo'xuan'jiang'deng
螺旋桨警告灯,luo'xuan'jiang'jing'gao'deng
螺旋扣,luo'xuan'kou
滤板,lv'ban
滤波器,lv'bo'qi
码头,ma'tou
马尾船厂,ma'wei'chuan'chang
脉冲,mai'chong
埋弧自动焊,mai'hu'zi'dong'han
慢车,man'che
盲板法兰,mang'ban'fa'lan
锚臂,mao'bi
锚柄,mao'bing
锚灯,mao'deng
锚杆,mao'gan
锚冠,mao'guan
锚机操作平台,mao'ji'cao'zuo'ping'tai
锚机底座,mao'ji'di'zuo
锚铰机,mao'jiao'ji
毛巾架,mao'jin'jia
锚链舱,mao'lian'cang
锚链管,mao'lian'guan
锚链节,mao'lian'jie
锚链筒,mao'lian'tong
锚卸扣锥销,mao'xie'kou'zhui'xiao
锚眼圈锚台,mao'yan'quan'mao'tai
锚爪,mao'zhao
梅花钣,mei'hua'ban
密封环,mi'feng'huan
密封圈,mi'feng'quan
密集气孔,mi'ji'qi'kong
面罩,mian'zhao
铭牌,ming'pai
模拟,mo'ni
莫氏灯,mo'shi'deng
莫斯键,mo'si'jian
母材,mu'cai
母子钟,mu'zi'zhong
耐火舱壁,nai'huo'cang'bi
南京金陵船厂,nan'jing'jin'ling'chuan'chang
南京胜华船厂,nan'jing'sheng'hua'chuan'chang
南京五家嘴船厂,nan'jing'wu'jia'zui'chuan'chang
南京亚泰船厂,nan'jing'ya'tai'chuan'chang
南通港闸,nan'tong'gang'zha
南通明德重工,nan'tong'ming'de'zhong'gong
南通荣胜,nan'tong'rong'sheng
南通中远川崎船厂,nan'tong'zhong'yuan'chuan'qi'chuan'chang
南洋船厂,nan'yang'chuan'chang
内衬,nei'chen
内底纵桁,nei'di'zong'heng
逆变器,ni'bian'qi
逆功率,ni'gong'lv
逆时针旋转,ni'shi'zhen'xuan'zhuan
粘度计,nian'du'ji
宁波新乐,ning'bo'xin'yue
欧姆表,ou'mu'biao
欧姆收信机,ou'mu'shou'xin'ji
排气侧,pai'qi'ce
排气阀,pai'qi'fa
排气水封箱,pai'qi'shui'feng'xiang
排气系统,pai'qi'xi'tong
排水阀,pai'shui'fa
排渣,pai'zha
旁桁材,pang'heng'cai
泡沫柜,pao'mo'gui
泡沫灭火机,pao'mo'mie'huo'ji
喷淋泵,pen'lin'beng
喷射过渡,pen'she'guo'du
喷射器,pen'she'qi
喷嘴,pen'zui
蓬莱渤海,peng'lai'bo'hai
匹配箱,pi'pei'xiang
频率,pin'lv
屏蔽,ping'bi
瓶柜,ping'gui
平焊,ping'han
平衡块,ping'heng'kuai
屏幕屏蔽,ping'mu'ping'bi
平台,ping'tai
破断试验,po'duan'shi'yan
坡口,po'kou
坡口角度,po'kou'jiao'du
坡口面,po'kou'mian
气电立焊,qi'dian'li'han
起吊设备,qi'diao'she'bei
起吊索,qi'diao'suo
起吊眼板,qi'diao'yan'ban
起动,qi'dong
起动带,qi'dong'dai
启动阀,qi'dong'fa
启动空气系统,qi'dong'kong'qi'xi'tong
起动气瓶,qi'dong'qi'ping
气缸,qi'gang
汽缸油日用柜,qi'gang'you'ri'yong'gui
汽缸油输送泵,qi'gang'you'shu'song'beng
气割,qi'ge
歧管,qi'guan
起货吊,qi'huo'diao
气孔,qi'kong
气瓶,qi'ping
气体流量,qi'ti'liu'liang
气象传真收信机,qi'xiang'chuan'zhen'shou'xin'ji
七星造船,qi'xing'zao'chuan
气胀式救生筏,qi'zhang'shi'jiu'sheng'fa
欠电压,qian'dian'ya
前倾焊,qian'qing'han
前桅,qian'wei
签字,qian'zi
强光灯,qiang'guang'deng
敲铲,qiao'chan
桥楼甲板,qiao'lou'jia'ban
桥楼结构,qiao'lou'jie'gou
敲渣锤,qiao'zha'chui
切割,qie'ge
切口,qie'kou
青岛北海,qing'dao'bei'hai
青岛灵山船厂,qing'dao'ling'shan'chuan'chang
青岛前进,qing'dao'qian'jin
青岛现代,qing'dao'xian'dai
清根,qing'gen
清洁,qing'jie
清洁压载舱,qing'jie'ya'zai'cang
清洁油漆,qing'jie'you'qi
青铅床,qing'qian'chuang
青山,qing'shan
清渣,qing'zha
氢致裂纹,qing'zhi'lie'wen
球鼻首警告灯,qiu'bi'shou'jing'gao'deng
球鼻首肋骨,qiu'bi'shou'lei'gu
球曲型肋骨,qiu'qu'xing'lei'gu
曲柄销轴承,qu'bing'xiao'zhou'cheng
去耦,qu'ou
曲轴箱,qu'zhou'xiang
全焊结构,quan'han'jie'gou
全焊透,quan'han'tou
全球卫星定位导航,quan'qiu'wei'xing'ding'wei'dao'hang
裙板,qun'ban
燃烧器,ran'shao'qi
燃油单元,ran'you'dan'yuan
燃油澄清舱,ran'you'deng'qing'cang
燃油分油机,ran'you'fen'you'ji
燃油净油系统,ran'you'jing'you'xi'tong
燃油日用柜,ran'you'ri'yong'gui
燃油深舱,ran'you'shen'cang
燃油输送系统,ran'you'shu'song'xi'tong
燃油系统,ran'you'xi'tong
燃油溢油舱,ran'you'yi'you'cang
燃油油输送泵,ran'you'you'shu'song'beng
燃油油渣舱,ran'you'you'zha'cang
绕组,rao'zu
热电偶,re'dian'ou
热裂纹,re'lie'wen
热敏电阻,re'min'dian'zu
热水井,re'shui'jing
热水循环泵,re'shui'xun'huan'beng
热水压力柜,re'shui'ya'li'gui
热影响区,re'ying'xiang'qu
热影响区裂纹,re'ying'xiang'qu'lie'wen
人孔,ren'kong
人造革,ren'zao'ge
日用供水系统,ri'yong'gong'shui'xi'tong
熔池,rong'chi
熔滴过渡,rong'di'guo'du
熔敷系数,rong'fu'xi'shu
熔敷效率,rong'fu'xiao'lv
熔合比,rong'he'bi
熔化极惰性气体保护焊,rong'hua'ji'duo'xing'qi'ti'bao'hu'han
熔化速度,rong'hua'su'du
溶剂,rong'ji
熔炼焊剂,rong'lian'han'ji
熔深,rong'shen
熔丝,rong'si
软管吊,ruan'guan'diao
软件,ruan'jian
软梯存放座,ruan'ti'cun'fang'zuo
塞焊,sai'han
扫气口,sao'qi'kou
刹车,sha'che
砂轮,sha'lun
闪光灯,shan'guang'deng
山海关船厂,shan'hai'guan'chuan'chang
上半部,shang'ban'bu
上船澄西,shang'chuan'cheng'xi
上舵承,shang'duo'cheng
上舵承底座,shang'duo'cheng'di'zuo
上甲板,shang'jia'ban
烧穿,shao'chuan
烧结焊剂,shao'jie'han'ji
少量油污,shao'liang'you'wu
射线探伤,she'xian'tan'shang
深溶焊,shen'rong'han
渗透探伤,shen'tou'tan'shang
生活污水处理器,sheng'huo'wu'shui'chu'li'qi
声力电话,sheng'li'dian'hua
声音的,sheng'yin'de
试板,shi'ban
示波器,shi'bo'qi
失电,shi'dian
施放箱,shi'fang'xiang
