阿拉伯婆婆纳,a'la'bo'po'po'na
白花菜科,bai'hua'cai'ke
白花菜属,bai'hua'cai'shu
白花杜鹃,bai'hua'du'juan
白花过路黄,bai'hua'guo'lu'huang
白花夹竹桃,bai'hua'jia'zhu'tao
白花苦灯笼,bai'hua'ku'deng'long
白花龙,bai'hua'long
白花曼陀罗,bai'hua'man'tuo'luo
白花毛轴莎草,bai'hua'mao'zhou'suo'cao
白花美丽胡枝子,bai'hua'mei'li'hu'zhi'zi
白花泡桐,bai'hua'pao'tong
白花前胡,bai'hua'qian'hu
白花荛花,bai'hua'rao'hua
白花蛇舌草,bai'hua'she'she'cao
百花碎米荠,bai'hua'sui'mi'ji
白花土元胡,bai'hua'tu'yuan'hu
白花细叶茶,bai'hua'xi'ye'cha
白花夏枯草,bai'hua'xia'ku'cao
白花绣线菊,bai'hua'xiu'xian'ju
白花益母草,bai'hua'yi'mu'cao
白花油麻藤,bai'hua'you'ma'teng
白花重瓣溲疏,bai'hua'zhong'ban'sou'shu
白花紫藤,bai'hua'zi'teng
白喙刺子莞,bai'hui'ci'zi'guan
白芨,bai'ji
白芨属,bai'ji'shu
白荚竹,bai'jia'zhu
败酱,bai'jiang
败酱科,bai'jiang'ke
败酱科分属检索表,bai'jiang'ke'fen'shu'jian'suo'biao
败酱属,bai'jiang'shu
败酱属分种检索表,bai'jiang'shu'fen'zhong'jian'suo'biao
白接骨,bai'jie'gu
白接骨属,bai'jie'gu'shu
稗荩,bai'jin
百金花,bai'jin'hua
百金花属,bai'jin'hua'shu
稗荩属,bai'jin'shu
白酒草,bai'jiu'cao
白酒草属,bai'jiu'cao'shu
白酒草属分种检索表,bai'jiu'cao'shu'fen'zhong'jian'suo'biao
白鹃梅,bai'juan'mei
白鹃梅属,bai'juan'mei'shu
白蜡树,bai'la'shu
白兰花,bai'lan'hua
白簕,bai'le
白栎,bai'li
百里香属,bai'li'xiang'shu
白蔹,bai'lian
白莲蒿,bai'lian'hao
百两金,bai'liang'jin
白鳞莎草,bai'lin'suo'cao
白马骨,bai'ma'gu
白茅,bai'mao
白茅属,bai'mao'shu
白木通,bai'mu'tong
白木乌桕,bai'mu'wu'jiu
白前,bai'qian
百球藨草,bai'qiu'biao'cao
白屈菜,bai'qu'cai
白屈菜属,bai'qu'cai'shu
百日菊,bai'ri'ju
百日菊属,bai'ri'ju'shu
百蕊草,bai'rui'cao
百蕊草属,bai'rui'cao'shu
白色毛花猕猴桃,bai'se'mao'hua'mi'hou'tao
百山祖八角,bai'shan'zu'ba'jiao
百山祖玉山竹,bai'shan'zu'yu'shan'zhu
白舌紫菀,bai'she'zi'wan
白石榴,bai'shi'liu
稗属,bai'shu
白睡莲,bai'shui'lian
白穗花,bai'sui'hua
白穗花属,bai'sui'hua'shu
白檀,bai'tan
白棠子树,bai'tang'zi'shu
白辛树属,bai'xin'shu'shu
白雪花,bai'xue'hua
白羊草,bai'yang'cao
白药谷精草,bai'yao'gu'jing'cao
白叶毛竹,bai'ye'mao'zhu
白叶莓,bai'ye'mei
白英,bai'ying
白榆,bai'yu
白术,bai'zhu
半边莲,ban'bian'lian
半边莲属,ban'bian'lian'shu
半边莲属分种检索表,ban'bian'lian'shu'fen'zhong'jian'suo'biao
斑唇卷瓣兰,ban'chun'juan'ban'lan
板凳果属,ban'deng'guo'shu
斑地锦,ban'di'jin
斑点苔草,ban'dian'tai'cao
半枫荷属,ban'feng'he'shu
斑花败酱,ban'hua'bai'jiang
斑花美人蕉,ban'hua'mei'ren'jiao
斑鸠菊属,ban'jiu'ju'shu
斑苦竹,ban'ku'zhu
板栗,ban'li
斑茅,ban'mao
半日花科,ban'ri'hua'ke
半蒴苣苔,ban'shuo'ju'tai
半蒴苣苔属,ban'shuo'ju'tai'shu
半夏,ban'xia
半夏属,ban'xia'shu
斑叶鹤顶兰,ban'ye'he'ding'lan
斑叶兰,ban'ye'lan
斑叶兰属,ban'ye'lan'shu
斑叶异药花,ban'ye'yi'yao'hua
半支莲,ban'zhi'lian
斑种草属,ban'zhong'cao'shu
斑竹,ban'zhu
棒毛荠,bang'mao'ji
棒毛荠属,bang'mao'ji'shu
棒头草,bang'tou'cao
棒头草属,bang'tou'cao'shu
报春花科,bao'chun'hua'ke
报春花属,bao'chun'hua'shu
宝铎草,bao'duo'cao
宝盖草,bao'gai'cao
刨花楠,bao'hua'nan
抱茎苦荬菜,bao'jing'ku'mai'cai
豹皮樟,bao'pi'zhang
薄片变豆菜,bao'pian'bian'dou'cai
苞舌兰,bao'she'lan
苞舌兰属,bao'she'lan'shu
包石栎,bao'shi'li
苞叶小牵牛,bao'ye'xiao'qian'niu
爆仗竹,bao'zhang'zhu
爆仗竹属,bao'zhang'zhu'shu
苞子草,bao'zi'cao
抱子甘蓝,bao'zi'gan'lan
北柴胡,bei'chai'hu
北重楼,bei'chong'lou
北方野青茅,bei'fang'ye'qing'mao
北江荛花,bei'jiang'rao'hua
北京忍冬,bei'jing'ren'dong
杯茎蛇菰,bei'jing'she'gu
北美独行菜,bei'mei'du'xing'cai
北美鹅掌揪,bei'mei'e'zhang'jiu
北美毛车前,bei'mei'mao'che'qian
贝母属,bei'mu'shu
杯苋属,bei'xian'shu
北玄参,bei'xuan'shen
杯颖苔草,bei'ying'tai'cao
北鱼黄草,bei'yu'huang'cao
本地早,ben'di'zao
笔草属,bi'cao'shu
篦齿眼子菜,bi'chi'yan'zi'cai
碧冬茄,bi'dong'qie
碧冬茄属,bi'dong'qie'shu
笔管草,bi'guan'cao
笔管榕,bi'guan'rong
秕壳草,bi'ke'cao
薜荔,bi'li
笔龙胆,bi'long'dan
秘鲁天轮柱,bi'lu'tian'lun'zhu
笔罗子,bi'luo'zi
蓖麻,bi'ma
蓖麻属,bi'ma'shu
荸荠,bi'qi
荸荠属,bi'qi'shu
臂形草属,bi'xing'cao'shu
鞭打绣球,bian'da'xiu'qiu
鞭打绣球属,bian'da'xiu'qiu'shu
扁担杆,bian'dan'gan
扁担杆属,bian'dan'gan'shu
扁担木,bian'dan'mu
扁豆,bian'dou
变豆菜,bian'dou'cai
变豆菜属,bian'dou'cai'shu
扁豆属,bian'dou'shu
蝙蝠葛,bian'fu'ge
蝙蝠葛属,bian'fu'ge'shu
扁秆藨草,bian'gan'biao'cao
扁鞘飘拂草,bian'qiao'piao'fu'cao
变色白前,bian'se'bai'qian
扁莎属,bian'sha'shu
扁穗雀麦,bian'sui'que'mai
扁穗莎草,bian'sui'suo'cao
萹蓄,bian'xu
鞭檐犁头尖,bian'yan'li'tou'jian
变叶榕,bian'ye'rong
扁枝越桔,bian'zhi'yue'ju
扁竹,bian'zhu
藨草,biao'cao
藨草属,biao'cao'shu
杓兰属,biao'lan'shu
滨海前胡,bin'hai'qian'hu
滨海珍珠菜,bin'hai'zhen'zhu'cai
滨蒿,bin'hao
滨柃,bin'ling
冰川茶藨,bing'chuan'cha'biao
菠菜,bo'cai
菠菜属,bo'cai'shu
驳骨丹,bo'gu'dan
薄荷,bo'he
薄荷属,bo'he'shu
擘蓝,bo'lan
博落回,bo'luo'hui
博落回属,bo'luo'hui'shu
播娘蒿,bo'niang'hao
播娘蒿属,bo'niang'hao'shu
薄皮大叶桉,bo'pi'da'ye'an
薄雪火绒草,bo'xue'huo'rong'cao
波叶红果树,bo'ye'hong'guo'shu
薄叶猴耳环,bo'ye'hou'er'huan
薄叶假耳草,bo'ye'jia'er'cao
薄叶景天,bo'ye'jing'tian
薄叶润楠,bo'ye'run'nan
薄叶山矾,bo'ye'shan'fan
薄叶鼠李,bo'ye'shu'li
波缘冷水花,bo'yuan'leng'shui'hua
波缘楤木,bo'yuan'song'mu
波状蔓虎刺,bo'zhuang'man'hu'ci
补骨脂,bu'gu'zhi
补骨脂属,bu'gu'zhi'shu
补血草属,bu'xue'cao'shu
菜豆,cai'dou
菜豆属,cai'dou'shu
菜瓜,cai'gua
菜头肾,cai'tou'shen
蚕豆,can'dou
蚕茧草,can'jian'cao
参薯,can'shu
苍耳,cang'er
苍耳属,cang'er'shu
苍绿苔草,cang'lv'tai'cao
藏苔草,cang'tai'cao
苍术,cang'zhu
苍术属,cang'zhu'shu
草沉香,cao'chen'xiang
草茨藻,cao'ci'zao
草胡椒,cao'hu'jiao
草胡椒属,cao'hu'jiao'shu
槽裂木属,cao'lie'mu'shu
草龙,cao'long
草莓,cao'mei
草莓属,cao'mei'shu
草棉,cao'mian
草木樨,cao'mu'xi
草木樨属,cao'mu'xi'shu
草沙蚕属,cao'sha'can'shu
草珊瑚,cao'shan'hu
草珊瑚属,cao'shan'hu'shu
草芍药,cao'shao'yao
槽舌兰属,cao'she'lan'shu
糙苏属,cao'su'shu
草绣球属,cao'xiu'qiu'shu
糙叶大头橐吾,cao'ye'da'tou'tuo'wu
糙叶树,cao'ye'shu
糙叶树属,cao'ye'shu'shu
糙叶苔草,cao'ye'tai'cao
糙叶藤五加,cao'ye'teng'wu'jia
糙叶五加,cao'ye'wu'jia
梣属,cen'shu
茶藨子属,cha'biao'zi'shu
叉唇角盘兰,cha'chun'jiao'pan'lan
茶秆竹,cha'gan'zhu
茶秆竹属,cha'gan'zhu'shu
叉梗茅膏菜,cha'geng'mao'gao'cai
茶菱,cha'ling
茶菱属,cha'ling'shu
檫木,cha'mu
檫木属,cha'mu'shu
插田泡,cha'tian'pao
茶茱萸科,cha'zhu'yu'ke
柴胡属,chai'hu'shu
豺皮樟,chai'pi'zhang
釵子股属,chai'zi'gu'shu
长瓣慈姑,chang'ban'ci'gu
长瓣短柱茶,chang'ban'duan'zhu'cha
长瓣繁缕,chang'ban'fan'lv
长苞谷精草,chang'bao'gu'jing'cao
长苞荠苧,chang'bao'ji'zhu
长苞狸尾豆,chang'bao'li'wei'dou
长苞羊耳蒜,chang'bao'yang'er'suan
长柄对萼猕猴桃,chang'bing'dui'e'mi'hou'tao
长柄柳,chang'bing'liu
长柄南京椴,chang'bing'nan'jing'duan
长柄双花木,chang'bing'shuang'hua'mu
长柄紫果槭,chang'bing'zi'guo'qi
长柄紫珠,chang'bing'zi'zhu
长春花,chang'chun'hua
长春花属,chang'chun'hua'shu
常春藤,chang'chun'teng
常春藤属,chang'chun'teng'shu
常春卫矛,chang'chun'wei'mao
长唇羊耳蒜,chang'chun'yang'er'suan
常春油麻藤,chang'chun'you'ma'teng
长萼堇菜,chang'e'jin'cai
长萼瞿麦,chang'e'qu'mai
长耳箬竹,chang'er'ruo'zhu
长梗过路黄,chang'geng'guo'lu'huang
长梗黄精,chang'geng'huang'jing
长梗山麦冬,chang'geng'shan'mai'dong
长梗苔草,chang'geng'tai'cao
长梗天胡荽,chang'geng'tian'hu'sui
长管香茶菜,chang'guan'xiang'cha'cai
长果柄山蚂蟥,chang'guo'bing'shan'ma'huang
昌化鹅耳枥,chang'hua'e'er'li
长画眉草,chang'hua'mei'cao
昌化泡果荠,chang'hua'pao'guo'ji
昌化槭,chang'hua'qi
长戟叶蓼,chang'ji'ye'liao
长尖莎草,chang'jian'suo'cao
长江溲疏,chang'jiang'sou'shu
长颈苔草,chang'jing'tai'cao
长茎虾脊兰,chang'jing'xia'ji'lan
长裂葛萝槭,chang'lie'ge'luo'qi
长裂旋花,chang'lie'xuan'hua
长芒稗,chang'mang'bai
长芒棒头草,chang'mang'bang'tou'cao
长芒苔草,chang'mang'tai'cao
长毛米筛竹,chang'mao'mi'shai'zhu
长毛细辛,chang'mao'xi'xin
长毛香科科,chang'mao'xiang'ke'ke
长囊苔草,chang'nang'tai'cao
菖蒲,chang'pu
菖蒲属,chang'pu'shu
长柔毛安息香,chang'rou'mao'an'xi'xiang
长柔毛野豌豆,chang'rou'mao'ye'wan'dou
常山,chang'shan
常山胡柚,chang'shan'hu'you
常山属,chang'shan'shu
长蒴黄麻,chang'shuo'huang'ma
长蒴苣苔属,chang'shuo'ju'tai'shu
长蒴苣苔属分种检索表,chang'shuo'ju'tai'shu'fen'zhong'jian'suo'biao
长蒴母草,chang'shuo'mu'cao
长穗高秆莎草,chang'sui'gao'gan'suo'cao
长穗飘拂草,chang'sui'piao'fu'cao
长筒倒挂金钟,chang'tong'dao'gua'jin'zhong
长筒女贞,chang'tong'nv'zhen
长尾秀丽槭,chang'wei'xiu'li'qi
长序鸡屎藤,chang'xu'ji'shi'teng
长须阔蕊兰,chang'xu'kuo'rui'lan
长序润楠,chang'xu'run'nan
长序榆,chang'xu'yu
长叶轮钟草,chang'ye'lun'zhong'cao
长叶酸藤子,chang'ye'suan'teng'zi
长圆叶艾纳香,chang'yuan'ye'ai'na'xiang
长圆叶大戟,chang'yuan'ye'da'ji
长枝竹,chang'zhi'zhu
长柱虎皮楠,chang'zhu'hu'pi'nan
长柱泡果荠,chang'zhu'pao'guo'ji
长柱小檗,chang'zhu'xiao'bo
长柱紫茎,chang'zhu'zi'jing
长籽柳叶菜,chang'zi'liu'ye'cai
长总梗木蓝,chang'zong'geng'mu'lan
朝天罐,chao'tian'guan
朝天椒,chao'tian'jiao
朝天委陵菜,chao'tian'wei'ling'cai
朝鲜婆婆纳,chao'xian'po'po'na
扯根菜,che'gen'cai
扯根菜属,che'gen'cai'shu
车前,che'qian
车前科,che'qian'ke
车前属,che'qian'shu
车前属分种检索表,che'qian'shu'fen'zhong'jian'suo'biao
车前紫草属,che'qian'zi'cao'shu
车轴草属,che'zhou'cao'shu
陈谋卫矛,chen'mou'wei'mao
沉水樟,chen'shui'zhang
秤锤树,cheng'chui'shu
秤锤树属,cheng'chui'shu'shu
撑篙竹,cheng'gao'zhu
秤钩风,cheng'gou'feng
秤钩风属,cheng'gou'feng'shu
橙红茑萝,cheng'hong'niao'luo
柽柳,cheng'liu
柽柳科,cheng'liu'ke
柽柳属,cheng'liu'shu
頳桐,cheng'tong
秤星树,cheng'xing'shu
赤桉,chi'an
齿瓣石豆兰,chi'ban'shi'dou'lan
翅柄鼠尾草,chi'bing'shu'wei'cao
赤瓟属,chi'bo'shu
赤车,chi'che
赤车属,chi'che'shu
赤豆,chi'dou
匙羹藤,chi'geng'teng
匙羹藤属,chi'geng'teng'shu
齿果草,chi'guo'cao
齿果草属,chi'guo'cao'shu
翅果菊,chi'guo'ju
翅果菊属,chi'guo'ju'shu
翅果菊属分种检索表,chi'guo'ju'shu'fen'zhong'jian'suo'biao
齿果酸模,chi'guo'suan'mo
翅荚香槐,chi'jia'xiang'huai
翅茎灯心草,chi'jing'deng'xin'cao
赤胫散,chi'jing'san
翅茎香青,chi'jing'xiang'qing
翅棱芹属,chi'leng'qin'shu
翅柃,chi'ling
赤楠,chi'nan
翅囊苔草,chi'nang'tai'cao
赤皮青冈,chi'pi'qing'gang
赤小豆,chi'xiao'dou
齿叶矮冷水花,chi'ye'ai'leng'shui'hua
匙叶草,chi'ye'cao
匙叶草属,chi'ye'cao'shu
匙叶黄杨,chi'ye'huang'yang
匙叶茅膏菜,chi'ye'mao'gao'cai
匙叶鼠麹草,chi'ye'shu'qu'cao
齿叶橐吾,chi'ye'tuo'wu
齿缘苦荬菜,chi'yuan'ku'mai'cai
赤竹属,chi'zhu'shu
重楼属,chong'lou'shu
崇明香科科,chong'ming'xiang'ke'ke
重阳木,chong'yang'mu
重阳木属,chong'yang'mu'shu
臭草属,chou'cao'shu
臭常山,chou'chang'shan
臭常山属,chou'chang'shan'shu
臭椿,chou'chun
臭椿属,chou'chun'shu
臭荠,chou'ji
臭荠属,chou'ji'shu
臭辣树,chou'la'shu
臭牡丹,chou'mu'dan
稠树桑寄生,chou'shu'sang'ji'sheng
臭樱属,chou'ying'shu
除虫菊,chu'chong'ju
雏菊,chu'ju
雏菊属,chu'ju'shu
出蕊四轮香,chu'rui'si'lun'xiang
楮头红,chu'tou'hong
川鄂山茱萸,chuan'e'shan'zhu'yu
穿孔苔草,chuan'kong'tai'cao
川楝,chuan'lian
川蔓藻,chuan'man'zao
川蔓藻属,chuan'man'zao'shu
川牛膝,chuan'niu'xi
穿心莲,chuan'xin'lian
穿心莲属,chuan'xin'lian'shu
川芎,chuan'xiong
川续断,chuan'xu'duan
川续断科,chuan'xu'duan'ke
川续断科分属检索表,chuan'xu'duan'ke'fen'shu'jian'suo'biao
川续断属,chuan'xu'duan'shu
川续断属分种检索表,chuan'xu'duan'shu'fen'zhong'jian'suo'biao
川榛,chuan'zhen
垂柳,chui'liu
垂盆草,chui'pen'cao
垂丝海棠,chui'si'hai'tang
垂丝卫矛,chui'si'wei'mao
垂穗苔草,chui'sui'tai'cao
垂笑君子兰,chui'xiao'jun'zi'lan
垂枝苦竹,chui'zhi'ku'zhu
垂枝泡花树,chui'zhi'pao'hua'shu
垂珠花,chui'zhu'hua
莼菜,chun'cai
春花胡枝子,chun'hua'hu'zhi'zi
春黄菊,chun'huang'ju
春黄菊属,chun'huang'ju'shu
春兰,chun'lan
春蓼,chun'liao
莼属,chun'shu
唇形科,chun'xing'ke
椿叶花椒,chun'ye'hua'jiao
春榆,chun'yu
春云实,chun'yun'shi
唇柱苣苔属,chun'zhu'ju'tai'shu
刺苞南蛇藤,ci'bao'nan'she'teng
刺儿菜,ci'er'cai
慈姑,ci'gu
慈姑属,ci'gu'shu
刺果毒漆藤,ci'guo'du'qi'teng
刺果甘草,ci'guo'gan'cao
刺果毛莨,ci'guo'mao'liang
刺果卫矛,ci'guo'wei'mao
刺槐,ci'huai
刺槐属,ci'huai'shu
刺茎楤木,ci'jing'song'mu
刺蓼,ci'liao
刺芒野古草,ci'mang'ye'gu'cao
刺毛杜鹃,ci'mao'du'juan
刺毛母草,ci'mao'mu'cao
刺毛越桔,ci'mao'yue'ju
刺葡萄,ci'pu'tao
刺楸,ci'qiu
刺楸属,ci'qiu'shu
刺沙蓬,ci'sha'peng
刺鼠李,ci'shu'li
刺蒴麻属,ci'shuo'ma'shu
刺藤子,ci'teng'zi
刺桐,ci'tong
刺桐属,ci'tong'shu
刺苋,ci'xian
刺叶笔草,ci'ye'bi'cao
刺叶桂樱,ci'ye'gui'ying
刺榆,ci'yu
刺榆属,ci'yu'shu
茨藻科,ci'zao'ke
茨藻属,ci'zao'shu
慈竹,ci'zhu
赐竹,ci'zhu
慈竹属,ci'zhu'shu
莿竹属,ci'zhu'shu
刺子莞,ci'zi'guan
刺子莞属,ci'zi'guan'shu
从化柃,cong'hua'ling
葱芥,cong'jie
葱芥属,cong'jie'shu
葱莲,cong'lian
葱莲属,cong'lian'shu
葱属,cong'shu
葱叶兰,cong'ye'lan
葱叶兰属,cong'ye'lan'shu
丛枝寥,cong'zhi'liao
粗齿堇菜,cu'chi'jin'cai
粗齿冷水花,cu'chi'leng'shui'hua
粗齿铁线莲,cu'chi'tie'xian'lian
粗糠柴,cu'kang'chai
粗糠树,cu'kang'shu
簇生卷耳,cu'sheng'juan'er
粗筒苣苔属,cu'tong'ju'tai'shu
粗叶地桃花,cu'ye'di'tao'hua
粗叶耳草,cu'ye'er'cao
粗叶木属,cu'ye'mu'shu
粗叶木属分种检索表,cu'ye'mu'shu'fen'zhong'jian'suo'biao
粗叶榕,cu'ye'rong
粗叶悬钩子,cu'ye'xuan'gou'zi
粗枝木麻黄,cu'zhi'mu'ma'huang
粗壮女娄菜,cu'zhuang'nv'lou'cai
粗壮小鸢尾,cu'zhuang'xiao'yuan'wei
翠菊,cui'ju
翠菊属,cui'ju'shu
翠雀属,cui'que'shu
大百合属,da'bai'he'shu
大斑花败酱,da'ban'hua'bai'jiang
大苞景天,da'bao'jing'tian
大柄冬青,da'bing'dong'qing
大巢菜,da'chao'cai
大车前,da'che'qian
大茨藻,da'ci'zao
大丁草,da'ding'cao
大丁草属,da'ding'cao'shu
大豆,da'dou
大豆属,da'dou'shu
大肚竹,da'du'zhu
大萼黄瑞木,da'e'huang'rui'mu
大萼香茶菜,da'e'xiang'cha'cai
大风子科,da'feng'zi'ke
大狗尾草,da'gou'wei'cao
大果冬青,da'guo'dong'qing
大果假水晶兰,da'guo'jia'shui'jing'lan
大果落新妇,da'guo'luo'xin'fu
大果卫矛,da'guo'wei'mao
大红泡,da'hong'pao
大红蔷薇,da'hong'qiang'wei
大花斑叶兰,da'hua'ban'ye'lan
大花臭草,da'hua'chou'cao
大花金鸡菊,da'hua'jin'ji'ju
大花帘子藤,da'hua'lian'zi'teng
大花马齿苋,da'hua'ma'chi'xian
大画眉草,da'hua'mei'cao
大花美人蕉,da'hua'mei'ren'jiao
大花忍冬,da'hua'ren'dong
大花石上莲,da'hua'shi'shang'lian
大花威灵仙,da'hua'wei'ling'xian
大花无柱兰,da'hua'wu'zhu'lan
大花心萼薯,da'hua'xin'e'shu
大花旋蒴苣苔,da'hua'xuan'shuo'ju'tai
大花腋花黄芩,da'hua'ye'hua'huang'qin
大花栀子,da'hua'zhi'zi
大花中华绣线菊,da'hua'zhong'hua'xiu'xian'ju
大花酢浆草,da'hua'zuo'jiang'cao
大黄苦竹,da'huang'ku'zhu
大戟,da'ji
大戟科,da'ji'ke
大戟属,da'ji'shu
大箭叶蓼,da'jian'ye'liao
大蕉,da'jiao
大节竹属,da'jie'zhu'shu
大金刚藤,da'jin'gang'teng
大狼把草,da'lang'ba'cao
大丽菊,da'li'ju
大丽菊属,da'li'ju'shu
大理苔草,da'li'tai'cao
大罗伞树,da'luo'san'shu
大落新妇,da'luo'xin'fu
大麻,da'ma
大麻属,da'ma'shu
大麻叶泽兰,da'ma'ye'ze'lan
大麦,da'mai
大麦属,da'mai'shu
大蔓樱草,da'man'ying'cao
大米草,da'mi'cao
大米草属,da'mi'cao'shu
大明山舌唇兰,da'ming'shan'she'chun'lan
大明竹,da'ming'zhu
大木竹,da'mu'zhu
大薸,da'piao
大薸属,da'piao'shu
打破碗花花,da'po'wan'hua'hua
大青,da'qing
大青属,da'qing'shu
大头菜,da'tou'cai
大头典竹,da'tou'dian'zhu
大头橐吾,da'tou'tuo'wu
大托叶猪屎豆,da'tuo'ye'zhu'shi'dou
打碗花,da'wan'hua
打碗花属,da'wan'hua'shu
大吴风草,da'wu'feng'cao
大吴风草属,da'wu'feng'cao'shu
大西坑水玉簪,da'xi'keng'shui'yu'zan
大序隔距兰,da'xu'ge'ju'lan
大序绿穗苋,da'xu'lv'sui'xian
大血藤,da'xue'teng
大血藤属,da'xue'teng'shu
大叶桉,da'ye'an
大叶百两金,da'ye'bai'liang'jin
大叶白纸扇,da'ye'bai'zhi'shan
大叶柴胡,da'ye'chai'hu
大叶臭椒,da'ye'chou'jiao
大叶冬青,da'ye'dong'qing
大叶勾儿茶,da'ye'gou'er'cha
大叶桂樱,da'ye'gui'ying
大叶胡颓子,da'ye'hu'tui'zi
大叶胡枝子,da'ye'hu'zhi'zi
大叶火焰草,da'ye'huo'yan'cao
大叶芥菜,da'ye'jie'cai
大叶金牛,da'ye'jin'niu
大叶金腰,da'ye'jin'yao
大叶马兜铃,da'ye'ma'dou'ling
大叶青冈,da'ye'qing'gang
大叶三七,da'ye'san'qi
大叶石斑木,da'ye'shi'ban'mu
大叶唐松草,da'ye'tang'song'cao
大叶铁线莲,da'ye'tie'xian'lian
大叶乌蔹莓,da'ye'wu'lian'mei
大叶相思,da'ye'xiang'si
大野芋,da'ye'yu
大叶早樱,da'ye'zao'ying
大叶直芒草,da'ye'zhi'mang'cao
大叶苎麻,da'ye'zhu'ma
大叶醉鱼草,da'ye'zui'yu'cao
大油芒,da'you'mang
大油芒属,da'you'mang'shu
大猪屎青,da'zhu'shi'qing
大籽猕猴桃,da'zi'mi'hou'tao
带唇兰,dai'chun'lan
带唇兰属,dai'chun'lan'shu
代代花,dai'dai'hua
袋果草,dai'guo'cao
袋果草属,dai'guo'cao'shu
待霄草,dai'xiao'cao
戴云山冬青,dai'yun'shan'dong'qing
单瓣李叶绣线菊,dan'ban'li'ye'xiu'xian'ju
单瓣木香花,dan'ban'mu'xiang'hua
单苞鸢尾,dan'bao'yuan'wei
弹刀子菜,dan'dao'zi'cai
单耳柃,dan'er'ling
丹桂,dan'gui
淡红忍冬,dan'hong'ren'dong
单花合柱蔷薇,dan'hua'he'zhu'qiang'wei
单花莸,dan'hua'you
