阿贝尔,a'bei'er
哈尼克,ha'ni'ke
哈什米安,ha'shen'mi'an
海因,hai'yin
汉堡,han'bao
汉克,han'ke
汉诺威,han'nuo'wei
豪伊瑙尔,hao'yi'nao'er
赫迪拉,he'di'la
赫尔佐格,he'er'zuo'ge
赫特克,he'te'ke
赫韦德斯,he'wei'de'si
黑尔瓦根,hei'er'wa'gen
黑金,hei'jin
黑勒,hei'le
黑普克,hei'pu'ke
黑斯,hei'si
黑斯尔,hei'si'er
亨格,heng'ge
亨泽尔,heng'ze'er
洪特,hong'te
胡梅尔斯,hu'mei'er'si
胡斯蒂,hu'si'di
基奥约,ji'ao'yue
吉尔贝托,ji'er'bei'tuo
基尔希,ji'er'xi
基里亚科斯,ji'li'ya'ke'si
基罗加,ji'luo'jia
基斯林,ji'si'lin
加布里埃尔,jia'bu'li'ai'er
加尔姆,jia'er'mu
贾基,jia'ji
加拉塞克,jia'la'sai'ke
加林多,jia'lin'duo
金策尔,jin'ce'er
卡恩,ka'en
卡尔森布拉克,ka'er'sen'bu'la'ke
卡尔斯鲁厄,ka'er'si'lu'e
卡考,ka'kao
卡洛斯,ka'luo'si
卡默迈尔,ka'mo'mai'er
卡内尔,ka'nei'er
卡尼克,ka'ni'ke
卡普拉尼,ka'pu'la'ni
卡塞雷斯,ka'sai'lei'si
卡斯特伦,ka'si'te'lun
卡斯特罗,ka'si'te'luo
凯尔,kai'er
坎珀,kan'po
考夫,kao'fu
科比利克,ke'bi'li'ke
科比亚什维利,ke'bi'ya'shen'wei'li
克恩,ke'en
克尔斯塔伊奇,ke'er'si'ta'yi'qi
克拉什尼奇,ke'la'shi'ni'qi
克莱内,ke'lai'nei
克兰特,ke'lan'te
克勒,ke'le
科勒,ke'le
克勒韦尔,ke'le'wei'er
克雷布斯,ke'lei'bu'si
克利莫维奇,ke'li'mo'wei'qi
克里斯,ke'li'si
克里斯蒂安森,ke'li'si'di'an'sen
克林,ke'lin
克林格,ke'lin'ge
克卢格,ke'lu'ge
克鲁斯卡,ke'lu'si'ka
克罗斯,ke'luo'si
克洛泽,ke'luo'ze
科内茨基,ke'nei'ci'ji
科钦,ke'qin
克日诺维克,ke'ri'nuo'wei'ke
科斯塔,ke'si'ta
科特布斯,ke'te'bu'si
科瓦奇,ke'wa'qi
科兹尼茨,ke'zi'ni'ci
肯尼迪,ken'ni'di
孔查,kong'cha
孔帕尼,kong'pa'ni
库巴,ku'ba
库尔多夫,ku'er'duo'fu
库凯尔卡,ku'kai'er'ka
库兰伊,ku'lan'yi
库纳特,ku'na'te
库切拉,ku'qie'la
拉杜,la'du
拉恩,la'en
拉尔森,la'er'sen
拉菲尼亚,la'fei'ni'ya
拉基蒂奇,la'ji'di'qi
拉拉,la'la
拉马,la'ma
拉迈,la'mai
拉梅洛,la'mei'luo
拉姆,la'mu
拉什图夫卡,la'shi'tu'fu'ka
拉斯,la'si
拉特格布,la'te'ge'bu
莱昂尼达斯,lai'ang'ni'da'si
莱尔,lai'er
莱希尔,lai'xi'er
赖歇,lai'xie
赖因哈德,lai'yin'ha'de
赖因哈特,lai'yin'ha'te
兰盖洛夫,lan'gai'luo'fu
兰根,lan'gen
兰普雷希特,lan'pu'lei'xi'te
朗格尔,lang'ge'er
朗坎普,lang'kan'pu
劳,lao
劳特,lao'te
勒文克兰斯,le'wen'ke'lan'si
勒沃库森,le'wo'ku'sen
里贝里,li'bei'li
里德勒维茨,li'de'le'wei'ci
里卡多,li'ka'duo
里肯,li'ken
利马,li'ma
里默尔,li'mo'er
里特,li'te
里维奇,li'wei'qi
里夏多,li'xia'duo
留比契奇,liu'bi'qi'qi
柳博亚,liu'bo'ya
鲁斯,lu'si
卢斯滕贝格尔,lu'si'teng'bei'ge'er
卢西奥,lu'xi'ao
伦茨,lun'ci
伦诺,lun'nuo
伦辛,lun'xin
伦泽,lun'ze
罗德里格斯,luo'de'li'ge'si
罗登贝格,luo'deng'bei'ge
罗尔费斯,luo'er'fei'si
罗森贝里,luo'sen'bei'li
罗森塔尔,luo'sen'ta'er
罗斯特,luo'si'te
罗斯托克,luo'si'tuo'ke
马达维基亚,ma'da'wei'ji'ya
马德伦,ma'de'lun
马尔特里茨,ma'er'te'li'ci
马夫拉伊,ma'fu'la'yi
马海内克,ma'hai'nei'ke
马基亚迪,ma'ji'ya'di
马加特,ma'jia'te
马克斯,ma'ke'si
马里卡,ma'li'ka
马尼安,ma'ni'an
马塞利尼奥,ma'sai'li'ni'ao
马斯马尼季斯,ma'si'ma'ni'ji'si
马泰森,ma'tai'sen
迈尔,mai'er
麦孔,mai'kong
迈斯纳,mai'si'na
迈歇尔贝克,mai'xie'er'bei'ke
芒迭克,mang'die'ke
芒加,mang'jia
梅拉,mei'la
梅切尔,mei'qie'er
门内尔,men'nei'er
蒙塔贝尔,meng'ta'bei'er
蒙泰亚努,meng'tai'ya'nu
米登多普,mi'deng'duo'pu
米勒,mi'le
米内罗,mi'nei'luo
米特雷斯基,mi'te'lei'si'ji
米亚托维奇,mi'ya'tuo'wei'qi
明塔尔,ming'ta'er
莫赖斯,mo'lai'si
莫斯克拉,mo'si'ke'la
莫坦,mo'tan
默特萨克,mo'te'sa'ke
穆策尔,mu'ce'er
穆赫塔里,mu'he'ta'li
姆纳里,mu'na'li
纳尔多,na'er'duo
尼昂,ni'ang
尼克尔,ni'ke'er
尼科洛夫,ni'ke'luo'fu
尼迈尔,ni'mai'er
纽伦堡,niu'lun'bao
诺伊尔,nuo'yi'er
诺伊迈尔,nuo'yi'mai'er
帕尔多,pa'er'duo
帕格尔斯多夫,pa'ge'er'si'duo'fu
帕根伯格,pa'gen'bo'ge
帕帕佐普洛斯,pa'pa'zuo'pu'luo'si
帕萨宁,pa'sa'ning
潘德尔,pan'de'er
潘泰利奇,pan'tai'li'qi
佩拉茨,pei'la'ci
佩希托尔德,pei'xi'tuo'er'de
皮尔斯,pi'er'si
皮诺拉,pi'nuo'la
皮普利察,pi'pu'li'cha
皮什切克,pi'shen'qie'ke
皮雄,pi'xiong
平托,ping'tuo
普费策尔,pu'fei'ce'er
普拉斯尼卡,pu'la'si'ni'ka
普拉廷斯,pu'la'ting'si
普勒尔,pu'le'er
普罗伊斯,pu'luo'yi'si
齐比希,qi'bi'xi
齐丹,qi'dan
齐格勒,qi'ge'le
齐默尔曼,qi'mo'er'man
齐佐,qi'zuo
切伦多洛,qie'lun'duo'luo
切特科维奇,qie'te'ke'wei'qi
琼斯,qiong'si
丘布克丘,qiu'bu'ke'qiu
茹拉夫,ru'la'fu
若苏埃,ruo'su'ai
萨尔佩,sa'er'pei
萨卡,sa'ka
萨尼奥尔,sa'ni'ao'er
萨诺戈,sa'nuo'ge
萨延科,sa'yan'ke
塞巴斯蒂安,sai'ba'si'di'an
桑德,sang'de
桑塔纳,sang'ta'na
瑟伦森,se'lun'sen
沙尔克,sha'er'ke
沙夫塔尔,sha'fu'ta'er
沙赫德,sha'he'de
沙普扎德赫,sha'pu'zha'de'he
邵佳一,shao'jia'yi
舍费尔,she'fei'er
申德勒,shen'de'le
史蒂文斯,shi'di'wen'si
施劳德拉夫,shi'lao'de'la'fu
施勒特尔,shi'le'te'er
施利克,shi'li'ke
施罗德,shi'luo'de
施密特,shi'mi'te
施密特加尔,shi'mi'te'jia'er
施奈德,shi'nai'de
施皮赫尔,shi'pi'he'er
施塔费尔特,shi'ta'fei'er'te
施塔克,shi'ta'ke
施泰纳,shi'tai'na
施泰因,shi'tai'yin
施泰因瓦尔特,shi'tai'yin'wa'er'te
施特赖特,shi'te'lai'te
施托尔,shi'tuo'er
施托尔茨,shi'tuo'er'ci
施韦格勒,shi'wei'ge'le
施魏因施泰格,shi'wei'yin'shi'tai'ge
舒波,shu'bo
舒尔茨,shu'er'ci
舒勒,shu'le
舒潘,shu'pan
朔贝尔,shuo'bei'er
斯基贝,si'ji'bei
斯凯拉,si'kai'la
斯洛姆卡,si'luo'mu'ka
斯皮拉诺维奇,si'pi'la'nuo'wei'qi
斯特凡,si'te'fan
斯图加特,si'tu'jia'te
索林,suo'lin
索萨,suo'sa
塔拉拉凯,ta'la'la'kai
塔纳特,ta'na'te
塔帕洛维奇,ta'pa'luo'wei'qi
塔什彻,ta'shi'che
特拉奥雷,te'la'ao'lei
特勒克,te'le'ke
特雷梅尔,te'lei'mei'er
特雷特科,te'lei'te'ke
特罗霍夫斯基,te'luo'huo'fu'si'ji
特舍,te'she
廷加,ting'jia
图尔克,tu'er'ke
突尼斯,tu'ni'si
托尼,tuo'ni
托斯基,tuo'si'ji
托西奇,tuo'xi'qi
瓦尔施勒格尔,wa'er'shi'le'ge'er
瓦格纳,wa'ge'na
瓦克斯穆特,wa'ke'si'mu'te
瓦雷拉,wa'lei'la
瓦索斯基,wa'suo'si'ji
韦伯,wei'bo
魏登费勒,wei'deng'fei'le
维多西奇,wei'duo'xi'qi
维赫尼亚雷克,wei'he'ni'ya'lei'ke
维利,wei'li
维尼修斯,wei'ni'xiu'si
魏森贝格尔,wei'sen'bei'ge'er
韦斯特曼,wei'si'te'man
维泰克,wei'tai'ke
韦希特尔,wei'xi'te'er
维泽,wei'ze
沃恩斯,wo'en'si
沃尔夫,wo'er'fu
沃尔夫斯堡,wo'er'fu'si'bao
沃姆,wo'mu
希策尔斯佩格,xi'ce'er'si'pei'ge
席德,xi'de
希尔,xi'er
希尔伯特,xi'er'bo'te
西考尔,xi'kao'er
西穆内克,xi'mu'nei'ke
西穆尼奇,xi'mu'ni'qi
希斯菲尔德,xi'si'fei'er'de
谢斯塔克,xie'si'ta'ke
辛基维茨,xin'ji'wei'ci
雅各布森,ya'ge'bu'sen
亚罗利姆,ya'luo'li'mu
亚什维利,ya'shen'wei'li
延奇,yan'qi
延森,yan'sen
扬科夫,yang'ke'fu
扬森,yang'sen
叶夫柳申,ye'fu'liu'shen
叶海亚,ye'hai'ya
耶卡斯,ye'ka'si
耶伦,ye'lun
伊利切维奇,yi'li'qie'wei'qi
伊普沙,yi'pu'sha
伊斯梅尔,yi'si'mei'er
英霍夫,ying'huo'fu
尤里奇,you'li'qi
泽罗伯托,ze'luo'bo'tuo
扎姆,zha'mu
扎永斯,zha'yong'si
哲科,zhe'ke
中场,zhong'chang
兹德贝尔,zi'de'bei'er
祖马,zu'ma
