阿爷无大儿,a'ye'wu'da'er
北风卷地白草折,bei'feng'juan'di'bai'cao'zhe
北极朝廷终不改,bei'ji'chao'ting'zhong'bu'gai
北山愚公长息曰,bei'shan'yu'gong'chang'xi'yue
北山愚公者,bei'shan'yu'gong'zhe
北市买长鞭,bei'shi'mai'chang'bian
北饮大泽,bei'yin'da'ze
背灼炎天光,bei'zhuo'yan'tian'guang
本在冀州之南,ben'zai'ji'zhou'zhi'nan
必将有盗,bi'jiang'you'dao
彼竭我盈,bi'jie'wo'ying
必能裨补阙漏,bi'neng'bi'bu'que'lou
必能使行阵和睦,bi'neng'shi'hang'zhen'he'mu
彼其受之天也,bi'qi'shou'zhi'tian'ye
必取宋,bi'qu'song
陛下,bi'xia
必先苦其心志,bi'xian'ku'qi'xin'zhi
必以分人,bi'yi'fen'ren
必以情,bi'yi'qing
必以信,bi'yi'xin
必有得天时者矣,bi'you'de'tian'shi'zhe'yi
必有我师焉,bi'you'wo'shi'yan
必于石下迎水处啮沙为坎穴,bi'yu'shi'xia'ying'shui'chu'nie'sha'wei'kan'xue
碧云天,bi'yun'tian
闭之,bi'zhi
比至陈,bi'zhi'chen
便得一山,bian'de'yi'shan
便扶向路,bian'fu'xiang'lu
便舍船,bian'she'chuan
便欣然忘食,bian'xin'ran'wang'shi
便要还家,bian'yao'huan'jia
便引诗情到碧霄,bian'yin'shi'qing'dao'bi'xiao
便有妇人惊觉欠伸,bian'you'fu'ren'jing'jue'qian'shen
别是一般滋味在心头,bie'shi'yi'ban'zi'wei'zai'xin'tou
别云间,bie'yun'jian
宾客意少舒,bin'ke'yi'shao'shu
鬓微霜,bin'wei'shuang
丙辰中秋,bing'chen'zhong'qiu
兵革非不坚利也,bing'ge'fei'bu'jian'li'ye
兵戈既未息,bing'ge'ji'wei'xi
兵甲已足,bing'jia'yi'zu
并杀两尉,bing'sha'liang'wei
病树前头万木春,bing'shu'qian'tou'wan'mu'chun
冰霜正惨凄,bing'shuang'zheng'can'qi
并怡然自乐,bing'yi'ran'zi'le
并有乘骑弄旗标枪舞刀于水面者,bing'you'cheng'qi'nong'qi'biao'qiang'wu'dao'yu'shui'mian'zhe
并自为其名,bing'zi'wei'qi'ming
波撼岳阳城,bo'han'yue'yang'cheng
波澜不惊,bo'lan'bu'jing
泊秦淮,bo'qin'huai
波色乍明,bo'se'zha'ming
波上寒烟翠,bo'shang'han'yan'cui
波涛如怒,bo'tao'ru'nu
薄雾浓云愁永昼,bo'wu'nong'yun'chou'yong'zhou
博学而笃志,bo'xue'er'du'zhi
不必藏于己,bu'bi'cang'yu'ji
不蔽风日,bu'bi'feng'ri
不必为己,bu'bi'wei'ji
不但在天,bu'dan'zai'tian
不当立,bu'dang'li
不独子其子,bu'du'zi'qi'zi
不复出焉,bu'fu'chu'yan
不复得路,bu'fu'de'lu
不敢出一言,bu'gan'chu'yi'yan
不敢稍逾约,bu'gan'shao'yu'yue
不更颠乎如其言,bu'geng'dian'hu'ru'qi'yan
不汲汲于富贵,bu'ji'ji'yu'fu'gui
不见曦月,bu'jian'xi'yue
不尽长江滚滚流,bu'jin'chang'jiang'gun'gun'liu
不可,bu'ke
不可不学,bu'ke'bu'xue
不可久居,bu'ke'jiu'ju
不可屈致也,bu'ke'qu'zhi'ye
不可谓强,bu'ke'wei'qiang
不可谓仁,bu'ke'wei'ren
不可谓智,bu'ke'wei'zhi
不可谓知类,bu'ke'wei'zhi'lei
不可谓忠,bu'ke'wei'zhong
不可知其源,bu'ke'zhi'qi'yuan
不蔓不枝,bu'man'bu'zhi
不慕荣利,bu'mu'rong'li
不能称前时之闻,bu'neng'cheng'qian'shi'zhi'wen
不能绝也,bu'neng'jue'ye
不能名其一处也,bu'neng'ming'qi'yi'chu'ye
不能指其一端人有百口,bu'neng'zhi'qi'yi'duan'ren'you'bai'kou
不戚戚于贫贱,bu'qi'qi'yu'pin'jian
布衾多年冷似铁,bu'qin'duo'nian'leng'si'tie
不求甚解每有会意,bu'qiu'shen'jie'mei'you'hui'yi
不求闻达于诸侯,bu'qiu'wen'da'yu'zhu'hou
不如人和,bu'ru'ren'he
不舍昼夜,bu'she'zhou'ye
不使学,bu'shi'xue
不受之人且为众人,bu'shou'zhi'ren'qie'wei'zhong'ren
卜算子,bu'suan'zi
不叹息痛恨于桓灵也,bu'tan'xi'tong'hen'yu'huan'ling'ye
不畏浮云遮望眼,bu'wei'fu'yun'zhe'wang'yan
不闻机杼声,bu'wen'ji'zhu'sheng
不闻爷娘唤女声,bu'wen'ye'niang'huan'nv'sheng
不效,bu'xiao
不亦颠乎,bu'yi'dian'hu
不义而富且贵,bu'yi'er'fu'qie'gui
不以己悲,bu'yi'ji'bei
不以疾也,bu'yi'ji'ye
不亦君子乎,bu'yi'jun'zi'hu
不亦乐乎,bu'yi'le'hu
不宜偏私,bu'yi'pian'si
不以千里称也,bu'yi'qian'li'cheng'ye
不宜妄自菲薄,bu'yi'wang'zi'fei'bo
不以物喜,bu'yi'wu'xi
不宜异同,bu'yi'yi'tong
不亦说乎,bu'yi'yue'hu
不应有恨,bu'ying'you'hen
不逾矩,bu'yu'ju
卜者知其指意,bu'zhe'zhi'qi'zhi'yi
不知口体之奉不若人也,bu'zhi'kou'ti'zhi'feng'bu'ruo'ren'ye
不知木兰是女郎,bu'zhi'mu'lan'shi'nv'lang
不知其二者多矣,bu'zhi'qi'er'zhe'duo'yi
不知其能千里而食也,bu'zhi'qi'neng'qian'li'er'shi'ye
不知其善也,bu'zhi'qi'shan'ye
不知其旨也,bu'zhi'qi'zhi'ye
不知所言,bu'zhi'suo'yan
不知天上宫阙,bu'zhi'tian'shang'gong'que
不足为外人道也,bu'zu'wei'wai'ren'dao'ye
采菊东篱下,cai'ju'dong'li'xia
才美不外见,cai'mei'bu'wai'jian
采桑径里逢迎,cai'sang'jing'li'feng'ying
才始送春归,cai'shi'song'chun'gui
才通人,cai'tong'ren
苍苍竹林寺,cang'cang'zhu'lin'si
苍颜白发,cang'yan'bai'fa
仓鹰击于殿上,cang'ying'ji'yu'dian'shang
沧州南一寺临河干,cang'zhou'nan'yi'si'lin'he'gan
曹操,cao'cao
曹操比于袁绍,cao'cao'bi'yu'yuan'shao
曹刿论战,cao'gui'lun'zhan
曹刿请见,cao'gui'qing'jian
曹刘,cao'liu
草色入帘青,cao'se'ru'lian'qing
草色遥看近却无,cao'se'yao'kan'jin'que'wu
操蛇之神闻之,cao'she'zhi'shen'wen'zhi
草盛豆苗稀,cao'sheng'dou'miao'xi
侧目,ce'mu
策勋十二转,ce'xun'shi'er'zhuan
策之不以其道,ce'zhi'bu'yi'qi'dao
参差披拂,cen'ci'pi'fu
参差荇菜,cen'ci'xing'cai
参差荇莱,cen'ci'xing'lai
岑参,cen'shen
曾不吝情去留,ceng'bu'lin'qing'qu'liu
曾不能毁山之一毛,ceng'bu'neng'hui'shan'zhi'yi'mao
曾不能损魁父之丘,ceng'bu'neng'sun'kui'fu'zhi'qiu
曾不若孀妻弱子,ceng'bu'ruo'shuang'qi'ruo'zi
曾不事农桑,ceng'bu'shi'nong'sang
曾益其所不能,ceng'yi'qi'suo'bu'neng
察纳雅言,cha'na'ya'yan
禅房花木深,chan'fang'hua'mu'shen
蝉则千转不穷,chan'ze'qian'zhuan'bu'qiong
肠断白蘋洲,chang'duan'bai'pin'zhou
长风破浪会有时,chang'feng'po'lang'hui'you'shi
长风万里送秋雁,chang'feng'wan'li'song'qiu'yan
长歌怀采薇,chang'ge'huai'cai'wei
长歌行,chang'ge'xing
长跪而谢之曰,chang'gui'er'xie'zhi'yue
长河落日圆,chang'he'luo'ri'yuan
怅恨久之,chang'hen'jiu'zhi
常记溪亭日暮,chang'ji'xi'ting'ri'mu
常建,chang'jian
常恐秋节至,chang'kong'qiu'jie'zhi
尝趋百里外,chang'qu'bai'li'wai
长烟落日孤城闭,chang'yan'luo'ri'gu'cheng'bi
长夜沾湿何由彻,chang'ye'zhan'shi'he'you'che
尝贻余核舟一,chang'yi'yu'he'zhou'yi
常有高猿长啸,chang'you'gao'yuan'chang'xiao
尝与人佣耕辍,chang'yu'ren'yong'geng'chuo
场主积薪其中,chang'zhu'ji'xin'qi'zhong
常著文章自娱,chang'zhu'wen'zhang'zi'yu
朝而往,chao'er'wang
朝发白帝,chao'fa'bai'di
朝服衣冠,chao'fu'yi'guan
潮平两岸阔,chao'ping'liang'an'kuo
朝天子,chao'tian'zi
朝廷之臣莫不畏王,chao'ting'zhi'chen'mo'bu'wei'wang
车六七百乘,che'liu'qi'bai'sheng
撤屏视之,che'ping'shi'zhi
车师西门伫献捷,che'shi'xi'men'zhu'xian'jie
臣本布衣,chen'ben'bu'yi
臣不胜受恩感激,chen'bu'sheng'shou'en'gan'ji
沉鳞竞跃,chen'lin'jing'yue
晨起动征铎,chen'qi'dong'zheng'duo
陈涉乃立为王,chen'she'nai'li'wei'wang
陈涉少时,chen'she'shao'shi
陈涉世家,chen'she'shi'jia
陈涉太息曰,chen'she'tai'xi'yue
陈胜,chen'sheng
陈胜王,chen'sheng'wang
陈胜吴广皆次当行,chen'sheng'wu'guang'jie'ci'dang'hang
陈胜吴广喜,chen'sheng'wu'guang'xi
陈胜曰天下苦秦久矣,chen'sheng'yue'tian'xia'ku'qin'jiu'yi
陈胜者,chen'sheng'zhe
陈胜自立为将军,chen'sheng'zi'li'wei'jiang'jun
陈胜佐之,chen'sheng'zuo'zhi
陈寿,chen'shou
陈太丘与友期,chen'tai'qiu'yu'you'qi
陈太丘与友期行,chen'tai'qiu'yu'you'qi'xing
晨兴理荒秽,chen'xing'li'huang'hui
臣以王吏之攻宋也,chen'yi'wang'li'zhi'gong'song'ye
陈与义,chen'yu'yi
臣之客欲有求于臣,chen'zhi'ke'yu'you'qiu'yu'chen
臣之妻私臣,chen'zhi'qi'si'chen
臣之妾畏臣,chen'zhi'qie'wei'chen
沉舟侧畔千帆过,chen'zhou'ce'pan'qian'fan'guo
陈子昂,chen'zi'ang
沉醉不知归路,chen'zui'bu'zhi'gui'lu
城北徐公,cheng'bei'xu'gong
城春草木深,cheng'chun'cao'mu'shen
称大楚,cheng'da'chu
城非不高也,cheng'fei'bu'gao'ye
城阙辅三秦,cheng'que'fu'san'qin
诚如是,cheng'ru'shi
惩山北之塞,cheng'shan'bei'zhi'sai
承天寺,cheng'tian'si
诚宜开张圣听,cheng'yi'kai'zhang'sheng'ting
赤壁,chi'bi
弛担持刀,chi'dan'chi'dao
池非不深也,chi'fei'bu'shen'ye
池上碧苔三四点,chi'shang'bi'tai'san'si'dian
宠辱偕忘,chong'ru'xie'wang
虫声新透绿窗纱,chong'sheng'xin'tou'lv'chuang'sha
重岩叠嶂,chong'yan'die'zhang
崇祯五年十二月,chong'zhen'wu'nian'shi'er'yue
抽刀断水水更流,chou'dao'duan'shui'shui'geng'liu
酬乐天,chou'le'tian
愁云惨淡万里凝,chou'yun'can'dan'wan'li'ning
处处志之,chu'chu'zhi'zhi
出郭相扶将,chu'guo'xiang'fu'jiang
初极狭,chu'ji'xia
处江湖之远则忧其君,chu'jiang'hu'zhi'yuan'ze'you'qi'jun
出门看火伴,chu'men'kan'huo'ban
出没于鲸波万仞中,chu'mo'yu'jing'bo'wan'ren'zhong
楚人怜之,chu'ren'lian'zhi
滁人游也,chu'ren'you'ye
初日照高林,chu'ri'zhao'gao'lin
出入无完裙,chu'ru'wu'wan'qun
出入之迂也,chu'ru'zhi'yu'ye
出师表,chu'shi'biao
楚王问其故,chu'wang'wen'qi'gu
楚王曰,chu'wang'yue
出于秦川,chu'yu'qin'chuan
出则无敌国外患者,chu'ze'wu'di'guo'wai'huan'zhe
出浙江亭教阅水军,chu'zhe'jiang'ting'jiao'yue'shui'jun
滁州西涧,chu'zhou'xi'jian
传不习乎,chuan'bu'xi'hu
船头坐三人,chuan'tou'zuo'san'ren
传一乡秀才观之,chuan'yi'xiang'xiu'cai'guan'zhi
床头屋漏无干处,chuang'tou'wu'lou'wu'gan'chu
吹伤了那家,chui'shang'le'na'jia
春蚕到死丝方尽,chun'can'dao'si'si'fang'jin
春潮带雨晚来急,chun'chao'dai'yu'wan'lai'ji
春冬之时,chun'dong'zhi'shi
唇焦口燥呼不得,chun'jiao'kou'zao'hu'bu'de
春尚好,chun'shang'hao
春望,chun'wang
春夜洛城闻笛,chun'ye'luo'cheng'wen'di
次北固山下,ci'bei'gu'shan'xia
此诚不可与争锋,ci'cheng'bu'ke'yu'zheng'feng
此诚危急存亡之秋也,ci'cheng'wei'ji'cun'wang'zhi'qiu'ye
此殆天所以资将军,ci'dai'tian'suo'yi'zi'jiang'jun
此地空余黄鹤楼,ci'di'kong'yu'huang'he'lou
此地一为别,ci'di'yi'wei'bie
此独以跛之故,ci'du'yi'bo'zhi'gu
辞根散作九秋蓬,ci'gen'san'zuo'jiu'qiu'peng
此何遽不能为祸乎,ci'he'ju'bu'neng'wei'huo'hu
此何遽不为福乎,ci'he'ju'bu'wei'fu'hu
此后汉所以倾颓也,ci'hou'han'suo'yi'qing'tui'ye
此皆良实,ci'jie'liang'shi
此可以为援而不可图也,ci'ke'yi'wei'yuan'er'bu'ke'tu'ye
此乐何,ci'le'he
辞去,ci'qu
此人一一为具言所闻,ci'ren'yi'yi'wei'ju'yan'suo'wen
此三子者,ci'san'zi'zhe
此事古难全,ci'shi'gu'nan'quan
此所谓战胜于朝廷,ci'suo'wei'zhan'sheng'yu'chao'ting
雌兔眼迷离,ci'tu'yan'mi'li
此为何若人,ci'wei'he'ruo'ren
词五首,ci'wu'shou
此悉贞良死节之臣,ci'xi'zhen'liang'si'jie'zhi'chen
此先汉,ci'xian'han
此夜曲中闻折柳,ci'ye'qu'zhong'wen'zhe'liu
此用武之国,ci'yong'wu'zhi'guo
此犹锦绣之与短褐也,ci'you'jin'xiu'zhi'yu'duan'he'ye
此犹粱肉之与糠糟也,ci'you'liang'rou'zhi'yu'kang'zao'ye
此犹文轩之与敝舆也,ci'you'wen'xuan'zhi'yu'bi'yu'ye
此则岳阳楼之大观也,ci'ze'yue'yang'lou'zhi'da'guan'ye
此之谓失其本心,ci'zhi'wei'shi'qi'ben'xin
此中人语云,ci'zhong'ren'yu'yun
此中有真意,ci'zhong'you'zhen'yi
从此替爷征,cong'ci'ti'ye'zheng
从军行,cong'jun'xing
从口入,cong'kou'ru
从流飘荡,cong'liu'piao'dang
从民欲也,cong'min'yu'ye
从先人还家,cong'xian'ren'huan'jia
从乡之先达执经叩问,cong'xiang'zhi'xian'da'zhi'jing'kou'wen
从小丘西行百二十步,cong'xiao'qiu'xi'xing'bai'er'shi'bu
蹴尔而与之,cu'er'er'yu'zhi
卒中往往语,cu'zhong'wang'wang'yu
崔颢,cui'hao
崔九堂前几度闻,cui'jiu'tang'qian'ji'du'wen
崔氏二小生,cui'shi'er'xiao'sheng
村南村北响缲车,cun'nan'cun'bei'xiang'sao'che
存者且偷生,cun'zhe'qie'tou'sheng
村中闻有此人,cun'zhong'wen'you'ci'ren
大庇天下寒士俱欢颜,da'bi'tian'xia'han'shi'ju'huan'yan
大楚兴,da'chu'xing
大道之行也,da'dao'zhi'xing'ye
大儿初醒声,da'er'chu'xing'sheng
大惊曰卿今者才略,da'jing'yue'qing'jin'zhe'cai'lue
大漠孤烟直,da'mo'gu'yan'zhi
大声如雷霆,da'sheng'ru'lei'ting
大啼,da'ti
大王尝闻布衣之怒乎,da'wang'chang'wen'bu'yi'zhi'nu'hu
大喜曰,da'xi'yue
大笑,da'xiao
答谢中书书,da'xie'zhong'shu'shu
大兄,da'xiong
大兄何见事之晚乎,da'xiong'he'jian'shi'zhi'wan'hu
大雪三日,da'xue'san'ri
大雪深数尺,da'xue'shen'shu'chi
达于汉阴,da'yu'han'yin
答曰,da'yue
大醉作此篇,da'zui'zuo'ci'pian
待到重阳日,dai'dao'chong'yang'ri
待君久不至,dai'jun'jiu'bu'zhi
带月荷锄归,dai'yue'he'chu'gui
戴朱缨宝饰之帽,dai'zhu'ying'bao'shi'zhi'mao
岱宗夫如何,dai'zong'fu'ru'he
单车欲问边,dan'che'yu'wen'bian
旦辞黄河去,dan'ci'huang'he'qu
旦辞爷娘去,dan'ci'ye'niang'qu
眈眈相向,dan'dan'xiang'xiang
但当涉猎,dan'dang'she'lie
箪瓢屡空,dan'piao'lv'kong
旦日,dan'ri
但少闲人如吾两人者耳,dan'shao'xian'ren'ru'wu'liang'ren'zhe'er
但使愿无违,dan'shi'yuan'wu'wei
但闻黄河流水鸣溅溅,dan'wen'huang'he'liu'shui'ming'jian'jian
但闻屏障中抚尺一下,dan'wen'ping'zhang'zhong'fu'chi'yi'xia
但闻燕山胡骑鸣啾啾,dan'wen'yan'shan'hu'qi'ming'jiu'jiu
但惜夏日长,dan'xi'xia'ri'chang
但余钟磬音,dan'yu'zhong'qing'yin
但愿人长久,dan'yuan'ren'chang'jiu
但知其一,dan'zhi'qi'yi
担中肉尽,dan'zhong'rou'jin
当窗理云鬓,dang'chuang'li'yun'bin
当此时,dang'ci'shi
当户理红妆,dang'hu'li'hong'zhuang
当奖率三军,dang'jiang'lv'san'jun
当立者乃公子扶苏,dang'li'zhe'nai'gong'zi'fu'su
当求之于上流,dang'qiu'zhi'yu'shang'liu
当时奢侈今何处,dang'shi'she'chi'jin'he'chu
当是时,dang'shi'shi
荡胸生曾云,dang'xiong'sheng'zeng'yun
当余之从师也,dang'yu'zhi'cong'shi'ye
道不通,dao'bu'tong
道渴而死,dao'ke'er'si
盗窃乱贼而不作,dao'qie'luan'zei'er'bu'zuo
到亭上,dao'ting'shang
道狭草木长,dao'xia'cao'mu'zhang
到乡翻似烂柯人,dao'xiang'fan'si'lan'ke'ren
道阻且长,dao'zu'qie'chang
道阻且跻,dao'zu'qie'ji
道阻且右,dao'zu'qie'you
得道多助,de'dao'duo'zhu
得道者多助,de'dao'zhe'duo'zhu
得其船,de'qi'chuan
得为众人而已耶,de'wei'zhong'ren'er'yi'ye
得无异乎,de'wu'yi'hu
得鱼腹中书,de'yu'fu'zhong'shu
得之心而寓之酒也,de'zhi'xin'er'yu'zhi'jiu'ye
得之则生,de'zhi'ze'sheng
登飞来峰,deng'fei'lai'feng
登京口北固亭有怀,deng'jing'kou'bei'gu'ting'you'huai
登临吴蜀横分地,deng'lin'wu'shu'heng'fen'di
登楼,deng'lou
登轼而望之,deng'shi'er'wang'zhi
登斯楼也,deng'si'lou'ye
登幽州台歌,deng'you'zhou'tai'ge
登岳阳楼,deng'yue'yang'lou
地不满东南,di'bu'man'dong'nan
帝感其诚,di'gan'qi'cheng
地利,di'li
低绮户,di'qi'hu
地维绝,di'wei'jue
弟兄羁旅各西东,di'xiong'ji'lv'ge'xi'dong
雕栏相望焉,diao'lan'xiang'wang'yan
吊影分为千里雁,diao'ying'fen'wei'qian'li'yan
丁壮在南冈,ding'zhuang'zai'nan'gang
丁壮者引弦而战,ding'zhuang'zhe'yin'xian'er'zhan
东风不与周郎便,dong'feng'bu'yu'zhou'lang'bian
冻风时作,dong'feng'shi'zuo
东风无力百花残,dong'feng'wu'li'bai'hua'can
东皋薄暮望,dong'gao'bo'mu'wang
东篱把酒黄昏后,dong'li'ba'jiu'huang'hun'hou
东连吴会,dong'lian'wu'hui
东临碣石,dong'lin'jie'shi
东坡现右足,dong'po'xian'you'zu
东坡右手执卷端,dong'po'you'shou'zhi'juan'duan
东市买骏马,dong'shi'mai'jun'ma
洞庭之东江水西,dong'ting'zhi'dong'jiang'shui'xi
都变做了土,dou'bian'zuo'le'tu
斗折蛇行,dou'zhe'she'xing
独怆然而涕下,du'chuang'ran'er'ti'xia
杜甫,du'fu
杜甫诗三首,du'fu'shi'san'shou
都护铁衣冷难着,du'hu'tie'yi'leng'nan'zhe
都护在燕然,du'hu'zai'yan'ran
渡荆门送别,du'jing'men'song'bie
独怜幽草涧边生,du'lian'you'cao'jian'bian'sheng
杜牧,du'mu
独守丞与战谯门中,du'shou'cheng'yu'zhan'qiao'men'zhong
独往湖心亭看雪,du'wang'hu'xin'ting'kan'xue
度已失期,du'yi'shi'qi
独倚望江楼,du'yi'wang'jiang'lou
独与老翁别,du'yu'lao'weng'bie
渡远荆门外,du'yuan'jing'men'wai
独酌无相亲,du'zhuo'wu'xiang'qin
独坐幽篁里,du'zuo'you'huang'li
断肠人在天涯,duan'chang'ren'zai'tian'ya
短褐穿结,duan'he'chuan'jie
端居耻圣明,duan'ju'chi'sheng'ming
短文两篇,duan'wen'liang'pian
对此可以酣高楼,dui'ci'ke'yi'han'gao'lou
对镜帖花黄,dui'jing'tie'hua'huang
兑命曰,dui'ming'yue
对影成三人,dui'ying'cheng'san'ren
对曰,dui'yue
对曰夫战,dui'yue'fu'zhan
对子骂父,dui'zi'ma'fu
夺而杀尉,duo'er'sha'wei
堕而折其髀,duo'er'zhe'qi'bi
多会于此,duo'hui'yu'ci
多助之至,duo'zhu'zhi'zhi
俄而百千人大呼,e'er'bai'qian'ren'da'hu
俄而雪骤,e'er'xue'zhou
峨眉山月半轮秋,e'mei'shan'yue'ban'lun'qiu
峨眉山月歌,e'mei'shan'yue'ge
阿房一炬,e'pang'yi'ju
饿其体肤,e'qi'ti'fu
俄顷风定云墨色,e'qing'feng'ding'yun'mo'se
尔辈不能究物理,er'bei'bu'neng'jiu'wu'li
而伯乐不常有,er'bo'le'bu'chang'you
而不知人之乐,er'bu'zhi'ren'zhi'le
而不知太守之,er'bu'zhi'tai'shou'zhi
而不足于民,er'bu'zu'yu'min
而城居者未之知也,er'cheng'ju'zhe'wei'zhi'zhi'ye
而飞于北海,er'fei'yu'bei'hai
而复问其妾曰,er'fu'wen'qi'qie'yue
儿含乳啼,er'han'ru'ti
儿含乳啼声,er'han'ru'ti'sheng
而后喻,er'hou'yu
而后作征于色,er'hou'zuo'zheng'yu'se
而或长烟一空,er'huo'chang'yan'yi'kong
而髻鬟之始掠也,er'ji'huan'zhi'shi'lue'ye
而计其长曾不盈寸,er'ji'qi'chang'ceng'bu'ying'cun
而僦赁看幕,er'jiu'lin'kan'mu
而君逆寡人者,er'jun'ni'gua'ren'zhe
而君以五十里之地存者,er'jun'yi'wu'shi'li'zhi'di'cun'zhe
尔来二十有一年矣,er'lai'er'shi'you'yi'nian'yi
而乐亦无穷也,er'le'yi'wu'qiong'ye
而冷光之乍出于匣也,er'leng'guang'zhi'zha'chu'yu'xia'ye
而两狼之并驱如故,er'liang'lang'zhi'bing'qu'ru'gu
二男新战死,er'nan'xin'zhan'si
而年又最高,er'nian'you'zui'gao
儿女共沾巾,er'nv'gong'zhan'jin
而旗尾略不沾湿,er'qi'wei'lue'bu'zhan'shi
而其主不能守,er'qi'zhu'bu'neng'shou
而顷刻两毙,er'qing'ke'liang'bi
而山不加增,er'shan'bu'jia'zeng
二十三年弃置身,er'shi'san'nian'qi'zhi'shen
二世杀之百姓多闻其贤,er'shi'sha'zhi'bai'xing'duo'wen'qi'xian
二石兽并沉焉,er'shi'shou'bing'chen'yan
二世元年七月,er'shi'yuan'nian'qi'yue
而竖其左膝,er'shu'qi'zuo'xi
而戍死者固十六七,er'shu'si'zhe'gu'shi'liu'qi
而死于安乐也,er'si'yu'an'le'ye
儿童尽东征,er'tong'jin'dong'zheng
而为之,er'wei'zhi
而问我,er'wen'wo
而无车马喧,er'wu'che'ma'xuan
而泻出于两峰之间者,er'xie'chu'yu'liang'feng'zhi'jian'zhe
而形貌昳丽,er'xing'mao'yi'li
而疑邻人之父,er'yi'lin'ren'zhi'fu
而有不为也,er'you'bu'wei'ye
而欲窃之,er'yu'qie'zhi
而欲窃之舍其锦绣,er'yu'qie'zhi'she'qi'jin'xiu
而欲窃之舍其粱肉,er'yu'qie'zhi'she'qi'liang'rou
而曰,er'yue
二者不可得兼,er'zhe'bu'ke'de'jian
而智术浅短,er'zhi'shu'qian'duan
而忠陛下之职分也至于斟酌损益,er'zhong'bi'xia'zhi'zhi'fen'ye'zhi'yu'zhen'zhuo'sun'yi
而中道崩殂,er'zhong'dao'beng'cu
法皆斩,fa'jie'zhan
发闾左適戍渔阳,fa'lv'zuo'shi'shu'yu'yang
伐无道,fa'wu'dao
发于声,fa'yu'sheng
伐竹取道,fa'zhu'qu'dao
凡曝沙之鸟,fan'bao'sha'zhi'niao
凡河中失石,fan'he'zhong'shi'shi
凡三往,fan'san'wang
饭疏食饮水,fan'shu'shi'yin'shui
凡所应有,fan'suo'ying'you
范仲淹,fan'zhong'yan
芳草萋萋鹦鹉洲,fang'cao'qi'qi'ying'wu'zhou
芳草无情,fang'cao'wu'qing
芳草鲜美,fang'cao'xian'mei
仿佛若有光,fang'fu'ruo'you'guang
方七百里,fang'qi'bai'li
方其远出海门,fang'qi'yuan'chu'hai'men
方欲行,fang'yu'xing
非独贤者有是心也,fei'du'xian'zhe'you'shi'xin'ye
非复吴下阿蒙,fei'fu'wu'xia'a'meng
