阿部健夫,a'bu'jian'fu
大雄的南海大冒险,da'xiong'de'nan'hai'da'mao'xian
大雄的太阳王传说,da'xiong'de'tai'yang'wang'chuan'shuo
大雄的宇宙漂流记,da'xiong'de'yu'zhou'piao'liu'ji
大雄与机器人王国,da'xiong'yu'ji'qi'ren'wang'guo
大雄与神奇的风之,da'xiong'yu'shen'qi'de'feng'zhi
大野智,da'ye'zhi
大泽隆夫,da'ze'long'fu
大正野球娘,da'zheng'ye'qiu'niang
大冢宁宁,da'zhong'ning'ning
逮捕令,dai'bu'ling
戴英,dai'ying
代永翼,dai'yong'yi
单车新人王,dan'che'xin'ren'wang
蛋蛋,dan'dan
弹道,dan'dao
蛋糕上的草莓,dan'gao'shang'de'cao'mei
蛋黄酱萝莉,dan'huang'jiang'luo'li
当按下开关时,dang'an'xia'kai'guan'shi
稻草人,dao'cao'ren
辺诚一,dao'cheng'yi
岛津由乃,dao'jin'you'nai
盗梦侦探,dao'meng'zhen'tan
稻森弓弦,dao'sen'gong'xian
稻森泉,dao'sen'quan
稻垣吾郎,dao'yuan'wu'lang
道子与哈金,dao'zi'yu'ha'jin
地球少女,di'qiu'shao'nv
地球最强新娘,di'qiu'zui'qiang'xin'niang
第十七小队,di'shi'qi'xiao'dui
地下城与勇士,di'xia'cheng'yu'yong'shi
地下巧克力,di'xia'qiao'ke'li
第一神拳,di'yi'shen'quan
地狱老师,di'yu'lao'shi
地狱少女,di'yu'shao'nv
地狱少女三鼎,di'yu'shao'nv'san'ding
堤真一,di'zhen'yi
电波少女,dian'bo'shao'nv
电波系彼女,dian'bo'xi'bi'nv
淀川由浩,dian'chuan'you'hao
电童战士,dian'tong'zhan'shi
电影少女动画版,dian'ying'shao'nv'dong'hua'ban
顶级播音员,ding'ji'bo'yin'yuan
町田慎吾,ding'tian'shen'wu
东方妖妖梦,dong'fang'yao'yao'meng
东风,dong'feng
东风揺花,dong'feng'yao'hua
东干久,dong'gan'jiu
动画进行时,dong'hua'jin'xing'shi
冬季恋歌,dong'ji'lian'ge
东京爱情故事,dong'jing'ai'qing'gu'shi
东京巴比伦,dong'jing'ba'bi'lun
东京大学物语,dong'jing'da'xue'wu'yu
东京地下城,dong'jing'di'xia'cheng
东京地震,dong'jing'di'zhen
东京地震级,dong'jing'di'zhen'ji
东京教父,dong'jing'jiao'fu
东京猫猫,dong'jing'mao'mao
东京魔人学院剑风帖,dong'jing'mo'ren'xue'yuan'jian'feng'tie
东京塔,dong'jing'ta
冬弥,dong'mi
冬日花园,dong'ri'hua'yuan
东山纪之,dong'shan'ji'zhi
动物侦探,dong'wu'zhen'tan
东新良和,dong'xin'liang'he
东月西阳,dong'yue'xi'yang
东之伊甸,dong'zhi'yi'dian
斗牌传说,dou'pai'chuan'shuo
豆芽纹,dou'ya'wen
都筑巧,dou'zhu'qiao
都筑乙女,dou'zhu'yi'nv
渡边久美子,du'bian'jiu'mei'zi
赌博默示录,du'bo'mo'shi'lu
渡部笃郎,du'bu'du'lang
渡辺大,du'dao'da
渡辺哲,du'dao'zhe
毒蛇信条,du'she'xin'tiao
渡哲也,du'zhe'ye
碓氷愁生,dui'bing'chou'sheng
碓冰拓海,dui'bing'tuo'hai
多部未华子,duo'bu'wei'hua'zi
堕天使,duo'tian'shi
饿沙罗鬼,e'sha'luo'gui
恶作剧之吻,e'zuo'ju'zhi'wen
二番,er'fan
二宫和也,er'gong'he'ye
二阶堂高嗣,er'jie'tang'gao'si
二十面相的女儿,er'shi'mian'xiang'de'nv'er
二十面相娘,er'shi'mian'xiang'niang
二条乃梨子,er'tiao'nai'li'zi
儿玉清,er'yu'qing
法提娜,fa'ti'na
饭岛直子,fan'dao'zhi'zi
反町隆史,fan'ding'long'shi
凡尔赛玫瑰,fan'er'sai'mei'gui
饭田恭平,fan'tian'gong'ping
非常老爸,fei'chang'lao'ba
飞篮扣杀,fei'lan'kou'sha
飞轮少年,fei'lun'shao'nian
废弃公主,fei'qi'gong'zhu
飞天少女猪,fei'tian'shao'nv'zhu
飞田展男,fei'tian'zhan'nan
分钟侦探,fen'zhong'zhen'tan
风间俊介,feng'jian'jun'jie
风间千景,feng'jian'qian'jing
蜂蜜与四叶草,feng'mi'yu'si'ye'cao
风魔小次郎,feng'mo'xiao'ci'lang
峰女壁女,feng'nv'bi'nv
丰崎爱生,feng'qi'ai'sheng
风人物语,feng'ren'wu'yu
风心灵之息,feng'xin'ling'zhi'xi
风音,feng'yin
风之花园,feng'zhi'hua'yuan
风之圣痕,feng'zhi'sheng'hen
风中奇缘,feng'zhong'qi'yuan
服部绚子,fu'bu'xuan'zi
孵蛋萝莉,fu'dan'luo'li
夫妇道,fu'fu'dao
腐女警察,fu'nv'jing'cha
父女七日变,fu'nv'qi'ri'bian
福山雅治,fu'shan'ya'zhi
福田麻由子,fu'tian'ma'you'zi
福田沙纪,fu'tian'sha'ji
福星小子,fu'xing'xiao'zi
福圆美里,fu'yuan'mei'li
感觉到了吗初吻,gan'jue'dao'le'ma'chu'wen
感应少年,gan'ying'shao'nian
甘字,gan'zi
甘字五郎,gan'zi'wu'lang
冈本圭人,gang'ben'gui'ren
冈本健一,gang'ben'jian'yi
冈本丽,gang'ben'li
冈本信彦,gang'ben'xin'yan
冈仓天司郎,gang'cang'tian'si'lang
冈帝士,gang'di'shi
钢壳的雷吉奥斯,gang'ke'de'lei'ji'ao'si
钢壳都市雷吉欧斯,gang'ke'du'shi'lei'ji'ou'si
钢炼,gang'lian
钢琴恋曲,gang'qin'lian'qu
钢琴之森,gang'qin'zhi'sen
冈田义徳,gang'tian'yi'de
冈田义德,gang'tian'yi'de
冈田准一,gang'tian'zhun'yi
钢铁三国志,gang'tie'san'guo'zhi
钢铁神兵,gang'tie'shen'bing
钢铁天使,gang'tie'tian'shi
钢铁新娘,gang'tie'xin'niang
钢之炼金术士,gang'zhi'lian'jin'shu'shi
钢之炼金术师,gang'zhi'lian'jin'shu'shi
高达,gao'da
高岛礼子,gao'dao'li'zi
高嶋政伸,gao'dao'zheng'shen
高冈苍佑,gao'gang'cang'you
高锅八夜子,gao'guo'ba'ye'zi
高机动幻想,gao'ji'dong'huan'xiang
高岭的自行车,gao'ling'de'zi'xing'che
高木,gao'mu
高木雄也,gao'mu'xiong'ye
高桥克典,gao'qiao'ke'dian
高桥由美子,gao'qiao'you'mei'zi
高畑淳子,gao'tian'chun'zi
高校教师,gao'xiao'jiao'shi
高校女忍者,gao'xiao'nv'ren'zhe
高垣彩阳,gao'yuan'cai'yang
格斗教师,ge'dou'jiao'shi
格斗美神武龙重生,ge'dou'mei'shen'wu'long'chong'sheng
歌姫,ge'zhen
给深爱的你,gei'shen'ai'de'ni
根源者,gen'yuan'zhe
更科郁斗,geng'ke'yu'dou
宫川大辅,gong'chuan'da'fu
攻壳机动队,gong'ke'ji'dong'dui
宫崎骏,gong'qi'jun
宫前佳奈子,gong'qian'jia'nai'zi
工藤靜香,gong'teng'jing'xiang
宫田俊哉,gong'tian'jun'zai
宫野真守,gong'ye'zhen'shou
宫泽里惠,gong'ze'li'hui
公主公主,gong'zhu'gong'zhu
公主恋人,gong'zhu'lian'ren
公主时间,gong'zhu'shi'jian
工作狂,gong'zuo'kuang
谷村美月,gu'cun'mei'yue
古谷一行,gu'gu'yi'hang
谷山纪章,gu'shan'ji'zhang
古田新太,gu'tian'xin'tai
古畑中学生,gu'tian'zhong'xue'sheng
古尾谷雅人,gu'wei'gu'ya'ren
谷原章介,gu'yuan'zhang'jie
怪化猫,guai'hua'mao
怪兽家长,guai'shou'jia'zhang
怪胎刑警,guai'tai'xing'jing
怪谈餐厅,guai'tan'can'ting
怪物,guai'wu
怪物王女,guai'wu'wang'nv
怪医黑杰克,guai'yi'hei'jie'ke
怪医美女,guai'yi'mei'nv
馆博,guan'bo
贯地谷志保里,guan'di'gu'zhi'bao'li
灌篮高手,guan'lan'gao'shou
关西,guan'xi
观月亚理莎,guan'yue'ya'li'sha
观月亚里莎,guan'yue'ya'li'sha
光明之泪,guang'ming'zhi'lei
广末凉子,guang'mo'liang'zi
光能使者,guang'neng'shi'zhe
广桥凉,guang'qiao'liang
光速蒙面侠,guang'su'meng'mian'xia
光之美少女,guang'zhi'mei'shao'nv
鬼公子炎魔,gui'gong'zi'yan'mo
龟梨,gui'li
龟梨和也,gui'li'he'ye
鬼泣,gui'qi
鬼太郎,gui'tai'lang
鬼眼狂刀,gui'yan'kuang'dao
贵志,gui'zhi
国村隼,guo'cun'sun
国分博,guo'fen'bo
国分太一,guo'fen'tai'yi
国拟人第期,guo'ni'ren'di'qi
国仲凉子,guo'zhong'liang'zi
国仲涼子,guo'zhong'liang'zi
哈密瓜,ha'mi'gua
海岸物语,hai'an'wu'yu
海底娇娃蓝华,hai'di'jiao'wa'lan'hua
骇客根源,hai'ke'gen'yuan
海猫鸣泣之时,hai'mao'ming'qi'zhi'shi
海物语你的存在,hai'wu'yu'ni'de'cun'zai
还以为要死了,hai'yi'wei'yao'si'le
海贼王,hai'zei'wang
寒蝉鸣泣之时,han'chan'ming'qi'zhi'shi
寒蝉鸣泣之时解,han'chan'ming'qi'zhi'shi'jie
好想告诉你,hao'xiang'gao'su'ni
河合,he'he
河合龙之介,he'he'long'zhi'jie
河合堂太,he'he'tang'tai
河合亚芽里,he'he'ya'ya'li
河合郁人,he'he'yu'ren
何润东,he'run'dong
鹤田真由,he'tian'zhen'you
和田正人,he'tian'zheng'ren
和也,he'ye
河原木志穗,he'yuan'mu'zhi'sui
黑川智花,hei'chuan'zhi'hua
黑谷友香,hei'gu'you'xiang
黑礁,hei'jiao
黑猫,hei'mao
黑猫先生,hei'mao'xian'sheng
黑木瞳,hei'mu'tong
黑崎龙之介,hei'qi'long'zhi'jie
黑色皮革手册,hei'se'pi'ge'shou'ce
黑神,hei'shen
黑塔利亚,hei'ta'li'ya
黑血兄弟,hei'xue'xiong'di
黑之契约者,hei'zhi'qi'yue'zhe
黑之契约者流星的双子,hei'zhi'qi'yue'zhe'liu'xing'de'shuang'zi
黑执事,hei'zhi'shi
黑塚,hei'zhong
横山裕,heng'shan'yu
横尾涉,heng'wei'she
轰八千代,hong'ba'qian'dai
红莲之蓬莱岛,hong'lian'zhi'peng'lai'dao
轰旗神佳,hong'qi'shen'jia
红线,hong'xian
后天的方向,hou'tian'de'fang'xiang
猴兔超人,hou'tu'chao'ren
胡兵,hu'bing
蝴蝶玫瑰,hu'die'mei'gui
户田恵梨香,hu'tian'hui'li'xiang
户冢祥太,hu'zhong'xiang'tai
胡子小鸡,hu'zi'xiao'ji
花蝴蝶,hua'hu'die
花井梓,hua'jing'zi
华丽的挑战,hua'li'de'tiao'zhan
华丽一族,hua'li'yi'zu
花神旺里,hua'shen'wang'li
花田少年史,hua'tian'shao'nian'shi
化物语,hua'wu'yu
化作一瞬的风,hua'zuo'yi'shun'de'feng
幻灵镇魂曲,huan'ling'zhen'hun'qu
幻影少年,huan'ying'shao'nian
荒川爆笑团,huang'chuan'bao'xiao'tuan
皇冠之泪花冠的大地,huang'guan'zhi'lei'hua'guan'de'da'di
黄昏腕轮传说,huang'hun'wan'lun'chuan'shuo
皇家国教骑士团,huang'jia'guo'jiao'qi'shi'tuan
黄金宝贝,huang'jin'bao'bei
煌罗万象,huang'luo'wan'xiang
荒神莉花,huang'shen'li'hua
惠理佳,hui'li'jia
毁灭世界的六人,hui'mie'shi'jie'de'liu'ren
毁灭者战记,hui'mie'zhe'zhan'ji
会长是女仆大人,hui'zhang'shi'nv'pu'da'ren
混沌武士,hun'dun'wu'shi
魂连,hun'lian
婚纱小天使,hun'sha'xiao'tian'shi
魂兽,hun'shou
魂狩,hun'shou
霍顿奇遇记,huo'dun'qi'yu'ji
火影忍者,huo'ying'ren'zhe
极道鲜师,ji'dao'xian'shi
机动新撰组,ji'dong'xin'zhuan'zu
吉高由里子,ji'gao'you'li'zi
机魂末世录,ji'hun'mo'shi'lu
机甲兵团,ji'jia'bing'tuan
机甲桃太郎,ji'jia'tao'tai'lang
吉濑美智子,ji'lai'mei'zhi'zi
极乐天师,ji'le'tian'shi
基鲁,ji'lu
吉鲁卡梅斯,ji'lu'ka'mei'si
机器人,ji'qi'ren
机巧魔神,ji'qiao'mo'shen
极上超激人气委员,ji'shang'chao'ji'ren'qi'wei'yuan
极上超激人气委员长,ji'shang'chao'ji'ren'qi'wei'yuan'zhang
极上超人气委员,ji'shang'chao'ren'qi'wei'yuan
极上超人气委员长,ji'shang'chao'ren'qi'wei'yuan'zhang
机神咆哮,ji'shen'pao'xiao
机兽超世纪,ji'shou'chao'shi'ji
吉田里琴,ji'tian'li'qin
极限女孩,ji'xian'nv'hai
机械女神,ji'xie'nv'shen
姬样御用心,ji'yang'yu'yong'xin
吉野,ji'ye
吉野裕行,ji'ye'yu'xing
记忆女神的女儿们,ji'yi'nv'shen'de'nv'er'men
吉沢悠,ji'ze'you
甲斐田雪,jia'fei'tian'xue
嫁个好人家,jia'ge'hao'ren'jia
甲贺忍法帖,jia'he'ren'fa'tie
佳拉蒂的每日笑话,jia'la'di'de'mei'ri'xiao'hua
加濑亮,jia'lai'liang
加梅莉亚,jia'mei'li'ya
假面女仆卫士,jia'mian'nv'pu'wei'shi
加奈日记,jia'nai'ri'ji
佳奈子,jia'nai'zi
迦南,jia'nan
加藤爱,jia'teng'ai
加藤成亮,jia'teng'cheng'liang
加藤浩次,jia'teng'hao'ci
加藤和树,jia'teng'he'shu
加藤罗莎,jia'teng'luo'sha
加藤晴彦,jia'teng'qing'yan
加藤夏希,jia'teng'xia'xi
家庭教师,jia'ting'jiao'shi
家庭教师杀手,jia'ting'jiao'shi'sha'shou
家有豆芝麻,jia'you'dou'zhi'ma
家有六子,jia'you'liu'zi
简单易懂的现代魔法,jian'dan'yi'dong'de'xian'dai'mo'fa
间岛淳司,jian'dao'chun'si
剑风传奇,jian'feng'chuan'qi
剑豪生死斗,jian'hao'sheng'si'dou
剑士鸟丸与一,jian'shi'niao'wan'yu'yi
菅野美穂,jian'ye'mei'sui
菅野美穗,jian'ye'mei'sui
剑勇传说,jian'yong'chuan'shuo
监狱兔,jian'yu'tu
间奏曲,jian'zou'qu
江角真纪子,jiang'jiao'zhen'ji'zi
江口洋介,jiang'kou'yang'jie
僵尸借贷,jiang'shi'jie'dai
僵尸新娘,jiang'shi'xin'niang
将太的寿司,jiang'tai'de'shou'si
江藤不二子,jiang'teng'bu'er'zi
江田刚,jiang'tian'gang
娇蛮猫娘大横行,jiao'man'mao'niang'da'heng'xing
娇蛮之吻,jiao'man'zhi'wen
交响情人梦,jiao'xiang'qing'ren'meng
交响诗篇,jiao'xiang'shi'pian
角研一郎,jiao'yan'yi'lang
皆川纯子,jie'chuan'chun'zi
姐弟物语,jie'di'wu'yu
结婚万岁,jie'hun'wan'sui
结界师,jie'jie'shi
堺雅人,jie'ya'ren
界雅人,jie'ya'ren
金城武,jin'cheng'wu
锦户亮,jin'hu'liang
今井翼,jin'jing'yi
金色的卡修,jin'se'de'ka'xiu
金色的琴弦,jin'se'de'qin'xian
金属对决战斗陀螺,jin'shu'dui'jue'zhan'dou'tuo'luo
近所物语芳邻同盟会,jin'suo'wu'yu'fang'lin'tong'meng'hui
近藤隆,jin'teng'long
近藤勇,jin'teng'yong
近藤真彦,jin'teng'zhen'yan
津田健次郎,jin'tian'jian'ci'lang
今天开始做魔王,jin'tian'kai'shi'zuo'mo'wang
今天开始做魔王第三季,jin'tian'kai'shi'zuo'mo'wang'di'san'ji
金田一少年事件薄,jin'tian'yi'shao'nian'shi'jian'bo
金田一少年事件簿,jin'tian'yi'shao'nian'shi'jian'bu
金子贵俊,jin'zi'gui'jun
惊爆草莓,jing'bao'cao'mei
京本政树,jing'ben'zheng'shu
井出薰,jing'chu'xun
井川比佐志,jing'chuan'bi'zuo'zhi
井川遥,jing'chuan'yao
井口裕香,jing'kou'yu'xiang
精灵俏女巫,jing'ling'qiao'nv'wu
井上和香,jing'shang'he'xiang
井上麻里奈,jing'shang'ma'li'nai
井上真央,jing'shang'zhen'yang
京四郎与永远的天空,jing'si'lang'yu'yong'yuan'de'tian'kong
京野琴美,jing'ye'qin'mei
井之原快彦,jing'zhi'yuan'kuai'yan
镜中梦幻城,jing'zhong'meng'huan'cheng
镜装女骑士,jing'zhuang'nv'qi'shi
京子,jing'zi
酒井彩名,jiu'jing'cai'ming
酒井法子,jiu'jing'fa'zi
酒井若菜,jiu'jing'ruo'cai
救命病栋小时,jiu'ming'bing'dong'xiao'shi
救援英豪,jiu'yuan'ying'hao
菊池家康,ju'chi'jia'kang
菊川怜,ju'chuan'lian
鞠也,ju'ye
橘子酱少年,ju'zi'jiang'shao'nian
绝爱,jue'ai
绝对彼氏,jue'dui'bi'shi
绝对可怜,jue'dui'ke'lian
绝妙侦探,jue'miao'zhen'tan
绝望先生,jue'wang'xian'sheng
军曹,jun'cao
君届,jun'jie
君吻,jun'wen
卡利,ka'li
卡雅,ka'ya
卡伊,ka'yi
科拉蒂每日的笑话,ke'la'di'mei'ri'de'xiao'hua
克鲁勃,ke'lu'bo
可罗奈,ke'luo'nai
柯南,ke'nan
柯赛特的肖像,ke'sai'te'de'xiao'xiang
科学的超电磁炮,ke'xue'de'chao'dian'ci'pao
肯普法,ken'pu'fa
空霸,kong'ba
恐怖宠物店,kong'bu'chong'wu'dian
空罐少女,kong'guan'shao'nv
空罐选拔赛,kong'guan'xuan'ba'sai
孔雀王,kong'que'wang
空之境界,kong'zhi'jing'jie
空之境界剧场版,kong'zhi'jing'jie'ju'chang'ban
空中的秋千,kong'zhong'de'qiu'qian
空中秋千,kong'zhong'qiu'qian
堀北真希,ku'bei'zhen'xi
骷髅,ku'lou
骷髅人,ku'lou'ren
堀内敬子,ku'nei'jing'zi
库帕,ku'pa
酷伊忍者传,ku'yi'ren'zhe'chuan
跨越时空的思念,kua'yue'shi'kong'de'si'nian
快餐店之恋,kuai'can'dian'zhi'lian
快盗天使,kuai'dao'tian'shi
快递高手,kuai'di'gao'shou
快感指令,kuai'gan'zhi'ling
快乐人组,kuai'le'ren'zu
