阿宋生里,a'song'sheng'li
重庆街,chong'qing'jie
船澳街,chuan'ao'jie
船澳口,chuan'ao'kou
船澳巷,chuan'ao'xiang
船厂街,chuan'chang'jie
船厂巷,chuan'chang'xiang
船锚里,chuan'mao'li
船锚巷,chuan'mao'xiang
船铺街,chuan'pu'jie
船铺前地,chuan'pu'qian'de
船铺巷,chuan'pu'xiang
船人街,chuan'ren'jie
茨林围,ci'lin'wei
丛庆北街,cong'qing'bei'jie
丛庆二巷,cong'qing'er'xiang
丛庆坊,cong'qing'fang
丛庆南街,cong'qing'nan'jie
丛庆三巷,cong'qing'san'xiang
丛庆四巷,cong'qing'si'xiang
大埔街,da'bu'jie
大关斜巷,da'guan'xie'xiang
大和街,da'he'jie
大和斜巷,da'he'xie'xiang
大街,da'jie
大井巷,da'jing'xiang
打缆地,da'lan'di
打缆街,da'lan'jie
打缆路,da'lan'lu
打缆前地,da'lan'qian'de
打缆围,da'lan'wei
大缆巷,da'lan'xiang
打缆巷,da'lan'xiang
大连街,da'lian'jie
大楼斜巷,da'lou'xie'xiang
大萝巷,da'luo'xiang
大褛围,da'lv'wei
大码头街,da'ma'tou'jie
大庙脚巷,da'miao'jiao'xiang
大庙巷,da'miao'xiang
大炮台北巷,da'pao'tai'bei'xiang
大炮台街,da'pao'tai'jie
大炮台下街,da'pao'tai'xia'jie
大炮台下围,da'pao'tai'xia'wei
大炮台斜巷,da'pao'tai'xie'xiang
大鹏横巷,da'peng'heng'xiang
大三巴街,da'san'ba'jie
大三巴太阳里,da'san'ba'tai'yang'li
大三巴围,da'san'ba'wei
大三巴巷,da'san'ba'xiang
大三巴斜巷,da'san'ba'xie'xiang
大三巴右街,da'san'ba'you'jie
大堂街,da'tang'jie
大堂里,da'tang'li
大堂前地,da'tang'qian'de
大堂围,da'tang'wei
大堂巷,da'tang'xiang
大堂斜巷,da'tang'xie'xiang
大堂新围,da'tang'xin'wei
打铁围,da'tie'wei
打铁斜巷,da'tie'xie'xiang
大头针里,da'tou'zhen'li
大头针围,da'tou'zhen'wei
大兴街,da'xing'jie
大学径,da'xue'jing
戴绅礼街,dai'shen'li'jie
带水围,dai'shui'wei
担杆里,dan'gan'li
蛋巷,dan'xiang
凼仔东北马路,dang'zi'dong'bei'ma'lu
氹仔东北马路,dang'zi'dong'bei'ma'lu
凼仔巷,dang'zi'xiang
氹仔巷,dang'zi'xiang
道德巷,dao'de'xiang
刀里,dao'li
道咩卑利士街,dao'mie'bei'li'shi'jie
道咩卑利士里,dao'mie'bei'li'shi'li
道咩卑利士围,dao'mie'bei'li'shi'wei
倒装二围,dao'zhuang'er'wei
倒装一围,dao'zhuang'yi'wei
德隆新街,de'long'xin'jie
得胜街,de'sheng'jie
得胜马路,de'sheng'ma'lu
得胜斜路,de'sheng'xie'lu
德香里,de'xiang'li
德行街,de'xing'jie
登峰路,deng'feng'lu
地堡街,di'bao'jie
地厘古工程师马路,di'li'gu'gong'cheng'shi'ma'lu
电厂巷,dian'chang'xiang
爹利仙拿姑娘街,die'li'xian'na'gu'niang'jie
爹美刁施拿地大马路,die'mei'diao'shi'na'di'da'ma'lu
爹美刁施拿地里,die'mei'diao'shi'na'di'li
定安街,ding'an'jie
丁香围,ding'xiang'wei
东北大马路,dong'bei'da'ma'lu
东方明珠街,dong'fang'ming'zhu'jie
东方斜巷,dong'fang'xie'xiang
东庆里,dong'qing'li
东望洋街,dong'wang'yang'jie
东望洋围,dong'wang'yang'wei
东望洋巷,dong'wang'yang'xiang
东望洋斜坡,dong'wang'yang'xie'po
东望洋斜巷,dong'wang'yang'xie'xiang
东望洋新街,dong'wang'yang'xin'jie
洞穴街,dong'xue'jie
洞穴巷,dong'xue'xiang
东亚运大马路,dong'ya'yun'da'ma'lu
东亚运动场,dong'ya'yun'dong'chang
东亚运街,dong'ya'yun'jie
东亚运圆形地,dong'ya'yun'yuan'xing'de
豆酱里,dou'jiang'li
豆酱围,dou'jiang'wei
渡船街,du'chuan'jie
渡船台,du'chuan'tai
渡船巷,du'chuan'xiang
短巷,duan'xiang
敦善里,dun'shan'li
愕街,e'jie
鹅里,e'li
鹅眉横街,e'mei'heng'jie
鹅眉街,e'mei'jie
愕斜巷,e'xie'xiang
恩尼斯总统前地,en'ni'si'zong'tong'qian'de
二龙喉街,er'long'hou'jie
法令司士古街,fa'ling'si'shi'gu'jie
烦懑里,fan'men'li
烦懑围,fan'men'wei
飞机场圆形地,fei'ji'chang'yuan'xing'de
飞喇士街,fei'la'shi'jie
飞喇士巷,fei'la'shi'xiang
非利喇街,fei'li'la'jie
肥利喇亚美打大马路,fei'li'la'ya'mei'da'da'ma'lu
肥利喇亚美打围,fei'li'la'ya'mei'da'wei
肥利喇亚美打巷,fei'li'la'ya'mei'da'xiang
飞良韶街,fei'liang'shao'jie
飞南第街,fei'nan'di'jie
飞能便度街,fei'neng'bian'du'jie
飞能便度里,fei'neng'bian'du'li
飞能便度围,fei'neng'bian'du'wei
肥胖围,fei'pang'wei
冯家围,feng'jia'wei
风景巷,feng'jing'xiang
逢莱里,feng'lai'li
风炉匠巷,feng'lu'jiang'xiang
风顺堂街,feng'shun'tang'jie
风顺堂上街,feng'shun'tang'shang'jie
疯堂里,feng'tang'li
疯堂围,feng'tang'wei
疯堂斜巷,feng'tang'xie'xiang
疯堂新街,feng'tang'xin'jie
疯堂中斜巷,feng'tang'zhong'xie'xiang
凤仙围,feng'xian'wei
佛山街,fo'shan'jie
福安街,fu'an'jie
福安台,fu'an'tai
福德街,fu'de'jie
福德新街,fu'de'xin'jie
福华里,fu'hua'li
福华巷,fu'hua'xiang
傅礼士神父街,fu'li'shi'shen'fu'jie
福六里,fu'liu'li
福隆彩巷,fu'long'cai'xiang
福隆街,fu'long'jie
福隆里,fu'long'li
福隆围,fu'long'wei
福隆下街,fu'long'xia'jie
福隆巷,fu'long'xiang
福隆新街,fu'long'xin'jie
福隆新巷,fu'long'xin'xiang
福宁里,fu'ning'li
福宁巷,fu'ning'xiang
福庆街,fu'qing'jie
福荣里,fu'rong'li
福寿里,fu'shou'li
福星里,fu'xing'li
富运台,fu'yun'tai
噶地利亚街,ga'di'li'ya'jie
干草里,gan'cao'li
干草围,gan'cao'wei
冈顶前地,gang'ding'qian'de
岗顶斜路,gang'ding'xie'lu
岗陵街,gang'ling'jie
缸瓦巷,gang'wa'xiang
港务局里,gang'wu'ju'li
港务局巷,gang'wu'ju'xiang
高地里,gao'di'li
高地围,gao'di'wei
高地乌街,gao'di'wu'jie
高地乌巷,gao'di'wu'xiang
高甸玉街,gao'dian'yu'jie
高冠街,gao'guan'jie
高可宁绅士街,gao'ke'ning'shen'shi'jie
高利亚海军上将大马路,gao'li'ya'hai'jun'shang'jiang'da'ma'lu
高励雅马路,gao'li'ya'ma'lu
告利雅施利华街,gao'li'ya'shi'li'hua'jie
高楼街,gao'lou'jie
高楼里,gao'lou'li
高楼上巷,gao'lou'shang'xiang
高楼围,gao'lou'wei
高楼下巷,gao'lou'xia'xiang
高楼斜巷,gao'lou'xie'xiang
高美士街,gao'mei'shi'jie
高士德大马路,gao'shi'de'da'ma'lu
高士德街,gao'shi'de'jie
高尾街,gao'wei'jie
高伟乐街,gao'wei'le'jie
高尾巷,gao'wei'xiang
羔羊围,gao'yang'wei
高园街,gao'yuan'jie
高园里,gao'yuan'li
高园围,gao'yuan'wei
哥英布拉街,ge'ying'bu'la'jie
耕里,geng'li
耕围,geng'wei
工厂街,gong'chang'jie
公侯巷,gong'hou'xiang
工匠街,gong'jiang'jie
工匠里,gong'jiang'li
工匠围,gong'jiang'wei
工匠巷,gong'jiang'xiang
公局,gong'ju
公局市场巷,gong'ju'shi'chang'xiang
公局市横街,gong'ju'shi'heng'jie
公局市横巷,gong'ju'shi'heng'xiang
公局市前地,gong'ju'shi'qian'de
公局新市北街,gong'ju'xin'shi'bei'jie
公局新市东街,gong'ju'xin'shi'dong'jie
公局新市南街,gong'ju'xin'shi'nan'jie
公局新市西街,gong'ju'xin'shi'xi'jie
贡沙威塞古兵舰大马路,gong'sha'wei'sai'gu'bing'jian'da'ma'lu
贡士旦甸奴街,gong'shi'dan'dian'nu'jie
拱形马路,gong'xing'ma'lu
工业街,gong'ye'jie
公园街,gong'yuan'jie
公仔围,gong'zai'wei
公仔巷,gong'zai'xiang
狗环巷,gou'huan'xiang
罣累巷,gua'lei'xiang
观光塔街,guan'guang'ta'jie
观光塔前地,guan'guang'ta'qian'de
关前后街,guan'qian'hou'jie
关前正街,guan'qian'zheng'jie
官也街,guan'ye'jie
官印局街,guan'yin'ju'jie
观音堂街,guan'yin'tang'jie
关闸广场,guan'zha'guang'chang
关闸横路,guan'zha'heng'lu
关闸马路,guan'zha'ma'lu
广东大马路,guang'dong'da'ma'lu
光复街,guang'fu'jie
光复里,guang'fu'li
广富里,guang'fu'li
光复围,guang'fu'wei
广富围,guang'fu'wei
广州街,guang'zhou'jie
桂和里,gui'he'li
瑰花里,gui'hua'li
桂林街,gui'lin'jie
鬼楼新街,gui'lou'xin'jie
果栏横街,guo'lan'heng'jie
果栏街,guo'lan'jie
果栏围,guo'lan'wei
果栏尾,guo'lan'wei
果亚街,guo'ya'jie
蛤巷,ha'xiang
海边马路,hai'bian'ma'lu
海边新街,hai'bian'xin'jie
海滨圆形地,hai'bin'yuan'xing'de
海港街,hai'gang'jie
海港前地,hai'gang'qian'de
海蛤里,hai'ha'li
海景花园,hai'jing'hua'yuan
海田围,hai'tian'wei
海湾街,hai'wan'jie
海湾南街,hai'wan'nan'jie
海湾前地,hai'wan'qian'de
海湾围,hai'wan'wei
海湾巷,hai'wan'xiang
海洋大马路,hai'yang'da'ma'lu
海洋花园大马路,hai'yang'hua'yuan'da'ma'lu
海洋花园第二街,hai'yang'hua'yuan'di'er'jie
海洋花园第六街,hai'yang'hua'yuan'di'liu'jie
海洋花园第三街,hai'yang'hua'yuan'di'san'jie
海洋花园第四街,hai'yang'hua'yuan'di'si'jie
海洋花园第五街,hai'yang'hua'yuan'di'wu'jie
海洋花园第一街,hai'yang'hua'yuan'di'yi'jie
航海学校街,hang'hai'xue'xiao'jie
航空圆形地,hang'kong'yuan'xing'de
杭州街,hang'zhou'jie
蚝壳里,hao'ke'li
蚝壳围,hao'ke'wei
蚝里,hao'li
河边新街,he'bian'xin'jie
河边新巷,he'bian'xin'xiang
何光来巷,he'guang'lai'xiang
何鸿燊博士大马路,he'hong'shen'bo'shi'da'ma'lu
荷花围,he'hua'wei
合欢街,he'huan'jie
荷兰园大,he'lan'yuan'da
荷兰园大马路,he'lan'yuan'da'ma'lu
荷兰园二马路,he'lan'yuan'er'ma'lu
荷兰园正街,he'lan'yuan'zheng'jie
何老桂巷,he'lao'gui'xiang
和乐大马路,he'le'da'ma'lu
和乐坊二街,he'le'fang'er'jie
和乐坊一街,he'le'fang'yi'jie
和乐街,he'le'jie
和乐围,he'le'wei
和乐巷,he'le'xiang
何连旺街,he'lian'wang'jie
何林里,he'lin'li
何林围,he'lin'wei
和隆街,he'long'jie
和睦街,he'mu'jie
和平台,he'ping'tai
和平斜巷,he'ping'xie'xiang
何贤绅士大马路,he'xian'shen'shi'da'ma'lu
和谐圆形地,he'xie'yuan'xing'de
何智英东围,he'zhi'ying'dong'wei
何子英西围,he'zi'ying'xi'wei
黑桥街,hei'qiao'jie
黑沙,hei'sha
黑沙兵房路,hei'sha'bing'fang'lu
黑沙环第二街,hei'sha'huan'di'er'jie
黑沙环第六街,hei'sha'huan'di'liu'jie
黑沙环第七街,hei'sha'huan'di'qi'jie
黑沙环第三街,hei'sha'huan'di'san'jie
黑沙环第四街,hei'sha'huan'di'si'jie
黑沙环第五街,hei'sha'huan'di'wu'jie
黑沙环第一街,hei'sha'huan'di'yi'jie
黑沙环海边马路,hei'sha'huan'hai'bian'ma'lu
黑沙环海边巷,hei'sha'huan'hai'bian'xiang
黑沙环街,hei'sha'huan'jie
黑沙环马路,hei'sha'huan'ma'lu
黑沙环巷,hei'sha'huan'xiang
黑沙环斜路,hei'sha'huan'xie'lu
黑沙环新街,hei'sha'huan'xin'jie
黑沙环新巷,hei'sha'huan'xin'xiang
黑沙环中街,hei'sha'huan'zhong'jie
黑沙龙爪角海滨路,hei'sha'long'zhao'jiao'hai'bin'lu
黑沙马路,hei'sha'ma'lu
横梁里,heng'liang'li
横围,heng'wei
红窗门街,hong'chuang'men'jie
红棉路,hong'mian'lu
红木何路,hong'mu'he'lu
红雀围,hong'que'wei
厚望街,hou'wang'jie
湖畔南街,hu'pan'nan'jie
湖畔前地,hu'pan'qian'de
湖畔西街,hu'pan'xi'jie
胡琴巷,hu'qin'xiang
花草围,hua'cao'wei
华大街,hua'da'jie
华大新村第二街,hua'da'xin'cun'di'er'jie
华大新村第三街,hua'da'xin'cun'di'san'jie
华大新村第一街,hua'da'xin'cun'di'yi'jie
花地玛教会街,hua'di'ma'jiao'hui'jie
花朵围,hua'duo'wei
华士里,hua'shi'li
华士围,hua'shi'wei
花王堂高园,hua'wang'tang'gao'yuan
花王堂街,hua'wang'tang'jie
花王堂前地,hua'wang'tang'qian'de
花王堂巷,hua'wang'tang'xiang
花王堂斜巷,hua'wang'tang'xie'xiang
化验所街,hua'yan'suo'jie
化验所巷,hua'yan'suo'xiang
花园街,hua'yuan'jie
花园围,hua'yuan'wei
花园巷,hua'yuan'xiang
华园新街,hua'yuan'xin'jie
幻觉围,huan'jue'wei
黄槐路,huang'huai'lu
皇子街,huang'zi'jie
荒字巷,huang'zi'xiang
惠爱街,hui'ai'jie
惠爱里,hui'ai'li
灰炉石级,hui'lu'shi'ji
灰炉斜巷,hui'lu'xie'xiang
货仓街,huo'cang'jie
货仓巷,huo'cang'xiang
火船头街,huo'chuan'tou'jie
火水巷,huo'shui'xiang
机场大马路,ji'chang'da'ma'lu
计单奴街,ji'dan'nu'jie
计单奴前地,ji'dan'nu'qian'de
计单奴巷,ji'dan'nu'xiang
鸡公围,ji'gong'wei
鸡街,ji'jie
鸡颈马路,ji'jing'ma'lu
基马拉斯大马路,ji'ma'la'si'da'ma'lu
鸡毛围,ji'mao'wei
鸡毛巷,ji'mao'xiang
吉庆二围,ji'qing'er'wei
吉庆里,ji'qing'li
吉庆巷,ji'qing'xiang
吉庆一围,ji'qing'yi'wei
鸡巷,ji'xiang
吉祥里,ji'xiang'li
贾伯乐提督街,jia'bo'le'ti'du'jie
贾伯乐提督里,jia'bo'le'ti'du'li
贾伯乐提督巷,jia'bo'le'ti'du'xiang
贾伯乐提督圆形地,jia'bo'le'ti'du'yuan'xing'de
加菲也巷,jia'fei'ye'xiang
家辣堂街,jia'la'tang'jie
嘉乐庇总督大桥,jia'le'bi'zong'du'da'qiao
嘉乐庇总督马路,jia'le'bi'zong'du'ma'lu
家冷巷,jia'leng'xiang
嘉路米耶圆形地,jia'lu'mi'ye'yuan'xing'de
嘉路士米耶马路,jia'lu'shi'mi'ye'ma'lu
贾罗布大马路,jia'luo'bu'da'ma'lu
嘉妹前地,jia'mei'qian'de
贾梅士大马路,jia'mei'shi'da'ma'lu
嘉模前地,jia'mo'qian'de
嘉模巷,jia'mo'xiang
嘉模斜巷,jia'mo'xie'xiang
贾那韶巷,jia'na'shao'xiang
家神围,jia'shen'wei
加思栏后新马路,jia'si'lan'hou'xin'ma'lu
加思栏马路,jia'si'lan'ma'lu
嘉野度将军街,jia'ye'du'jiang'jun'jie
剪发匠巷,jian'fa'jiang'xiang
见眼围,jian'yan'wei
将军街,jiang'jun'jie
江沙路里,jiang'sha'lu'li
醮场地,jiao'chang'di
轿夫巷,jiao'fu'xiang
教师里,jiao'shi'li
教堂巷,jiao'tang'xiang
蕉园围,jiao'yuan'wei
金凤路,jin'feng'lu
金鸡纳围,jin'ji'na'wei
锦葵里,jin'kui'li
金龙前地,jin'long'qian'de
金龙巷,jin'long'xiang
景观里,jing'guan'li
镜湖马路,jing'hu'ma'lu
镜围,jing'wei
竞走者围,jing'zou'zhe'wei
九澳村道,jiu'ao'cun'dao
九澳村路,jiu'ao'cun'lu
九澳堤坝马路,jiu'ao'di'ba'ma'lu
九澳高顶马路,jiu'ao'gao'ding'ma'lu
九澳高顶圆形地,jiu'ao'gao'ding'yuan'xing'de
九澳圣母马路,jiu'ao'sheng'mu'ma'lu
酒店斜路,jiu'dian'xie'lu
鸠里,jiu'li
酒潭巷,jiu'tan'xiang
居安里,ju'an'li
聚宝街,ju'bao'jie
菊花巷,ju'hua'xiang
聚龙街,ju'long'jie
聚龙旧社,ju'long'jiu'she
聚龙里,ju'long'li
聚龙通津,ju'long'tong'jin
居仁里,ju'ren'li
桔仔街,ju'zi'jie
桔仔里,ju'zi'li
桔仔围,ju'zi'wei
桔仔巷,ju'zi'xiang
俊秀里,jun'xiu'li
俊秀围,jun'xiu'wei
俊秀巷,jun'xiu'xiang
看台街,kan'tai'jie
康公庙前地,kang'gong'miao'qian'de
柯邦迪前地,ke'bang'di'qian'de
柯传善堂里,ke'chuan'shan'tang'li
柯传善堂围,ke'chuan'shan'tang'wei
柯打苏沙街,ke'da'su'sha'jie
柯高街,ke'gao'jie
柯高围,ke'gao'wei
科技大学圆形地,ke'ji'da'xue'yuan'xing'de
柯利维喇街,ke'li'wei'la'jie
柯利维喇里,ke'li'wei'la'li
柯利维喇围,ke'li'wei'la'wei
客商街,ke'shang'jie
柯维纳马路,ke'wei'na'ma'lu
柯维纳总督街,ke'wei'na'zong'du'jie
科英布拉街,ke'ying'bu'la'jie
扣钮巷,kou'niu'xiang
苦力围,ku'li'wei
快艇头街,kuai'ting'tou'jie
快艇头里,kuai'ting'tou'li
快艇巷,kuai'ting'xiang
快子基北街,kuai'zi'ji'bei'jie
筷子基街,kuai'zi'ji'jie
筷子基南街,kuai'zi'ji'nan'jie
筷子基巷,kuai'zi'ji'xiang
筷子基中街,kuai'zi'ji'zhong'jie
筷子街南街,kuai'zi'jie'nan'jie
昆明街,kun'ming'jie
腊八街,la'ba'jie
拉哥斯街,la'ge'si'jie
缆厂巷,lan'chang'xiang
烂鬼楼,lan'gui'lou
烂鬼楼巷,lan'gui'lou'xiang
烂鬼楼新街,lan'gui'lou'xin'jie
兰花前地,lan'hua'qian'de
烂花围,lan'hua'wei
劳动节大马路,lao'dong'jie'da'ma'lu
劳动节街,lao'dong'jie'jie
劳动节巷,lao'dong'jie'xiang
老虎巷,lao'hu'xiang
老人围,lao'ren'wei
老人院前地,lao'ren'yuan'qian'de
老饕巷,lao'tao'xiang
乐建斜巷,le'jian'xie'xiang
乐上里,le'shang'li
乐上巷,le'shang'xiang
李宝椿街,li'bao'chun'jie
李道巷,li'dao'xiang
黎地里,li'di'li
李度巷,li'du'xiang
立法会前地,li'fa'hui'qian'de
理工学院街,li'gong'xue'yuan'jie
李加禄街,li'jia'lu'jie
李家围,li'jia'wei
里斯本街,li'si'ben'jie
荔枝路,li'zhi'lu
荔枝碗马路,li'zhi'wan'ma'lu
恋爱巷,lian'ai'xiang
连安后巷,lian'an'hou'xiang
连安围,lian'an'wei
连安围前巷,lian'an'wei'qian'xiang
连安巷,lian'an'xiang
连丁里,lian'ding'li
连丁围,lian'ding'wei
莲峰街,lian'feng'jie
莲峰巷,lian'feng'xiang
莲花广场,lian'hua'guang'chang
莲花海滨大马路,lian'hua'hai'bin'da'ma'lu
莲花街,lian'hua'jie
莲花路,lian'hua'lu
莲花巷,lian'hua'xiang
莲花圆形地,lian'hua'yuan'xing'de
莲茎围,lian'jing'wei
莲茎围村,lian'jing'wei'cun
莲茎巷,lian'jing'xiang
连理街,lian'li'jie
连理巷,lian'li'xiang
廉慕士街,lian'mu'shi'jie
联生海滨路,lian'sheng'hai'bin'lu
连胜街,lian'sheng'jie
连胜马路,lian'sheng'ma'lu
连胜台,lian'sheng'tai
连胜围,lian'sheng'wei
连胜巷,lian'sheng'xiang
联生圆形地,lian'sheng'yuan'xing'de
连兴街,lian'xing'jie
连兴巷,lian'xing'xiang
凉水街,liang'shui'jie
凉水巷,liang'shui'xiang
林德远巷,lin'de'yuan'xiang
林家一围,lin'jia'yi'wei
林茂海边大马路,lin'mao'hai'bian'da'ma'lu
林茂海边街,lin'mao'hai'bian'jie
林茂海边巷,lin'mao'hai'bian'xiang
林茂巷,lin'mao'xiang
翎毛巷,ling'mao'xiang
溜冰路,liu'bing'lu
六屋围,liu'wu'wei
龙安围,long'an'wei
龙柏路,long'bai'lu
龙嵩街,long'song'jie
龙嵩台,long'song'tai
龙嵩正街,long'song'zheng'jie
龙头里,long'tou'li
龙头巷,long'tou'xiang
龙头左巷,long'tou'zuo'xiang
龙眼围,long'yan'wei
龙爪角第二巷,long'zhao'jiao'di'er'xiang
龙爪角第三巷,long'zhao'jiao'di'san'xiang
龙爪角第一巷,long'zhao'jiao'di'yi'xiang
卢伯德圆形地,lu'bo'de'yuan'xing'de
路凼城大马路,lu'dang'cheng'da'ma'lu
路凼城圆形地,lu'dang'cheng'yuan'xing'de
路凼连贯公路,lu'dang'lian'guan'gong'lu
路氹连贯公路,lu'dang'lian'guan'gong'lu
路凼连贯公路圆形地,lu'dang'lian'guan'gong'lu'yuan'xing'de
路氹连贯公路圆形地,lu'dang'lian'guan'gong'lu'yuan'xing'de
禄号里,lu'hao'li
禄号围,lu'hao'wei
路环电厂街,lu'huan'dian'chang'jie
路环电厂圆形地,lu'huan'dian'chang'yuan'xing'de
路环高顶马路,lu'huan'gao'ding'ma'lu
卢九街,lu'jiu'jie
陆军路,lu'jun'lu
卢廉若马路,lu'lian'ruo'ma'lu
卢善德巷,lu'shan'de'xiang
炉石塘,lu'shi'tang
炉石塘巷,lu'shi'tang'xiang
炉巷,lu'xiang
路义士若翰巴地士打街,lu'yi'shi'ruo'han'ba'di'shi'da'jie
鲁子高街,lu'zi'gao'jie
伦敦街,lun'dun'jie
伦斯泰特大马路,lun'si'tai'te'da'ma'lu
罗白沙街,luo'bai'sha'jie
罗保博士街,luo'bao'bo'shi'jie
罗德礼将军街,luo'de'li'jiang'jun'jie
罗飞勒前地,luo'fei'le'qian'de
罗结地巷,luo'jie'di'xiang
罗理基博士大马路,luo'li'ji'bo'shi'da'ma'lu
罗利老马路,luo'li'lao'ma'lu
罗利老台,luo'li'lao'tai
罗马街,luo'ma'jie
罗若翰神父街,luo'ruo'han'shen'fu'jie
罗沙达街,luo'sha'da'jie
罗神父街,luo'shen'fu'jie
罗神父里,luo'shen'fu'li
罗宪新街,luo'xian'xin'jie
啰园路,luo'yuan'lu
绿豆围,lv'dou'wei
滤水站路,lv'shui'zhan'lu
律政司街,lv'zheng'si'jie
马博士巷,ma'bo'shi'xiang
马场北大马路,ma'chang'bei'da'ma'lu
马场大马路,ma'chang'da'ma'lu
马场东大马路,ma'chang'dong'da'ma'lu
马场海边马路,ma'chang'hai'bian'ma'lu
马车巷,ma'che'xiang
马大臣街,ma'da'chen'jie
马德拉街,ma'de'la'jie
马德里街,ma'de'li'jie
妈阁第二巷,ma'ge'di'er'xiang
妈阁第三巷,ma'ge'di'san'xiang
妈阁街,ma'ge'jie
妈阁里,ma'ge'li
妈阁庙前地,ma'ge'miao'qian'de
妈阁上街,ma'ge'shang'jie
妈阁台,ma'ge'tai
妈阁巷,ma'ge'xiang
妈阁斜坡,ma'ge'xie'po
妈阁斜巷,ma'ge'xie'xiang
马忌士街,ma'ji'shi'jie
马忌士里,ma'ji'shi'li
马忌士前地,ma'ji'shi'qian'de
马忌士围,ma'ji'shi'wei
马济时总督大马路,ma'ji'shi'zong'du'da'ma'lu
马交石街,ma'jiao'shi'jie
马交石炮台马路,ma'jiao'shi'pao'tai'ma'lu
马交石炮台斜坡,ma'jiao'shi'pao'tai'xie'po
