阿斗,a'dou
百餘隻,bai'yu'zhi
白佔,bai'zhan
百隻,bai'zhi
百只夠,bai'zhi'gou
百只可,bai'zhi'ke
百只怕,bai'zhi'pa
百只足夠,bai'zhi'zu'gou
擺鐘,bai'zhong
白朮,bai'zhu
百拙千醜,bai'zhuo'qian'chou
搬斗,ban'dou
頒發冠,ban'fa'guan
半海里,ban'hai'li
斑斕,ban'lan
半里,ban'li
扮像,ban'xiang
斑岩,ban'yan
板岩,ban'yan
舨已划,ban'yi'hua
伴遊,ban'you
半隻,ban'zhi
半只夠,ban'zhi'gou
半只可,ban'zhi'ke
般準,ban'zhun
般准許,ban'zhun'xu
般准予,ban'zhun'yu
幫兇,bang'xiong
綁紮,bang'zha
保不準,bao'bu'zhun
爆發,bao'fa
包方便麵,bao'fang'bian'mian
包涵,bao'han
包捲,bao'juan
暴捲,bao'juan
暴殄天物,bao'tian'tian'wu
包紮,bao'zha
保準,bao'zhun
包準,bao'zhun
杯白乾,bei'bai'qian
北衝,bei'chong
北斗,bei'dou
揹負,bei'fu
揹黑鍋,bei'hei'guo
北迴歸線,bei'hui'gui'xian
被捲,bei'juan
貝里斯,bei'li'si
杯麵,bei'mian
悲憫,bei'min
揹囊,bei'nang
悲慼,bei'qi
杯乾,bei'qian
焙乾,bei'qian
被褥,bei'ru
背繫,bei'xi
北遊,bei'you
倍餘,bei'yu
悲鬱,bei'yu
北嶽,bei'yue
被佔,bei'zhan
碑誌,bei'zhi
貝冑,bei'zhou
備註,bei'zhu
輩子幹,bei'zi'gan
畚斗,ben'dou
本身,ben'shen
笨鐘,ben'zhong
比比皆是,bi'bi'jie'shi
闢地,bi'di
比鬥,bi'dou
闢佛,bi'fo
筆桿,bi'gan
闢闔,bi'he
闢劃,bi'hua
逼姦,bi'jian
闢建,bi'jian
庇里牛斯,bi'li'niu'si
鼻樑,bi'liang
闢門戶,bi'men'hu
闢謬,bi'miu
比拚,bi'pan
敝舍,bi'she
闢透,bi'tou
闢土,bi'tu
闢土地,bi'tu'di
筆禿墨乾,bi'tu'mo'qian
闢為,bi'wei
闢蹊徑,bi'xi'jing
嬖倖,bi'xing
必須發,bi'xu'fa
必需品,bi'xu'pin
闢謠,bi'yao
臂一捲,bi'yi'juan
必遊,bi'you
闢築,bi'zhu
鼻準,bi'zhun
闢作,bi'zuo
遍佈,bian'bu
便吃乾,bian'chi'qian
變醜,bian'chou
邊鬥邊,bian'dou'bian
便瞭然,bian'liao'ran
便亂發,bian'luan'fa
辨明,bian'ming
鞭仆,bian'pu
便鬆,bian'song
便像,bian'xiang
變徵,bian'zheng
編製,bian'zhi
編制到,bian'zhi'dao
編制定,bian'zhi'ding
編制法,bian'zhi'fa
編制律,bian'zhi'lv
編制內,bian'zhi'nei
編制親,bian'zhi'qin
編制上,bian'zhi'shang
編制外,bian'zhi'wai
編制下,bian'zhi'xia
編制之,bian'zhi'zhi
編鐘,bian'zhong
編纂,bian'zuan
表範,biao'fan
飆捲,biao'juan
標楷體,biao'kai'ti
錶鏈,biao'lian
表面,biao'mian
標明,biao'ming
表明,biao'ming
標籤,biao'qian
表象,biao'xiang
表徵,biao'zheng
標緻,biao'zhi
標誌,biao'zhi
標準,biao'zhun
別鬥,bie'dou
別斗膽,bie'dou'dan
別幹,bie'gan
別幹了,bie'gan'le
別幹一,bie'gan'yi
蹩腳,bie'jue
彆扭,bie'niu
彆拗,bie'niu
別緻,bie'zhi
鬢髮,bin'fa
殯舍,bin'she
賓舍,bin'she
鬢鬚,bin'xu
併除,bing'chu
併疊,bing'die
并迭,bing'die
併發症,bing'fa'zheng
稟覆,bing'fu
併購,bing'gou
並購得,bing'gou'de
並購買,bing'gou'mai
並購置,bing'gou'zhi
併合,bing'he
並肩幹,bing'jian'gan
併肩子,bing'jian'zi
併科,bing'ke
併力,bing'li
併攏,bing'long
稟明,bing'ming
病難癒,bing'nuo'yu
併砌,bing'qi
餅乾,bing'qian
并日而食,bing'ri'er'shi
併入,bing'ru
病入膏肓,bing'ru'gao'huang
併圖,bing'tu
併吞,bing'tun
屏息,bing'xi
病癒,bing'yu
併贓,bing'zang
併贓拿賊,bing'zang'na'zei
併贓治罪,bing'zang'zhi'zui
病徵,bing'zheng
并州,bing'zhou
泊船,bo'chuan
博鬥,bo'dou
搏鬥,bo'dou
玻里尼,bo'li'ni
薄倖,bo'xing
不白發,bu'bai'fa
佈兵,bu'bing
步步高陞,bu'bu'gao'sheng
不採,bu'cai
不采聲,bu'cai'sheng
不醜,bu'chou
不當準,bu'dang'zhun
佈導,bu'dao
不鬥,bu'dou
不斗膽,bu'dou'dan
不斷發,bu'duan'fa
不發絲,bu'fa'si
不發香,bu'fa'xiang
佈防,bu'fang
佈伏,bu'fu
不幹,bu'gan
不幹啊,bu'gan'a
不幹搶,bu'gan'cheng
不幹的,bu'gan'de
不幹了,bu'gan'le
不干你的,bu'gan'ni'de
不幹偷,bu'gan'tou
不干我們,bu'gan'wo'men
佈崗,bu'gang
佈告,bu'gao
佈個,bu'ge
不寒而慄,bu'han'er'li
不好幹,bu'hao'gan
不好干涉,bu'hao'gan'she
不好干預,bu'hao'gan'yu
不好乾脆,bu'hao'qian'cui
不合,bu'he
不加自制,bu'jia'zi'zhi
佈景,bu'jing
佈局,bu'ju
不克自制,bu'ke'zi'zhi
不睏,bu'kun
不睏嗎,bu'kun'ma
佈雷,bu'lei
怖慄,bu'li
布里斯托,bu'li'si'tuo
佈滿,bu'man
不每只,bu'mei'zhi
部門編制,bu'men'bian'zhi
不能自制,bu'neng'zi'zhi
不乾不淨,bu'qian'bu'jing
不捨,bu'she
佈施,bu'shi
佈署,bu'shu
不鬆下,bu'song'xia
佈壇,bu'tan
捕頭發,bu'tou'fa
不像,bu'xiang
不相干,bu'xiang'gan
不省人事,bu'xing'ren'shi
不修邊幅,bu'xiu'bian'fu
不須發,bu'xu'fa
不須求,bu'xu'qiu
不藥而癒,bu'yao'er'yu
佈一個,bu'yi'ge
佈疑陣,bu'yi'zhen
不用鬥了,bu'yong'dou'le
不用幹了,bu'yong'gan'le
不餘,bu'yu
佈於,bu'yu
不讚,bu'zan
不贊成,bu'zan'cheng
不贊同,bu'zan'tong
不贊助,bu'zan'zhu
不佔,bu'zhan
不占卜,bu'zhan'bu
不占掛,bu'zhan'gua
不占吉凶,bu'zhan'ji'xiong
不占算,bu'zhan'suan
不占凶吉,bu'zhan'xiong'ji
佈陣,bu'zhen
不只,bu'zhi
佈置,bu'zhi
不值一哂,bu'zhi'yi'shen
不准沒,bu'zhun'mo
擦乾,ca'qian
採辦,cai'ban
綵筆生,cai'bi'sheng
裁併,cai'bing
裁並且,cai'bing'qie
採補,cai'bu
採不到,cai'bu'dao
才不幹,cai'bu'gan
才不干犯,cai'bu'gan'fan
才不干擾,cai'bu'gan'rao
才不干涉,cai'bu'gan'she
才不干休,cai'bu'gan'xiu
才不干預,cai'bu'gan'yu
才不乾杯,cai'bu'qian'bei
才不乾涸,cai'bu'qian'he
才不乾淨,cai'bu'qian'jing
才不乾渴,cai'bu'qian'ke
才不乾枯,cai'bu'qian'ku
才不乾燥,cai'bu'qian'zao
才不乾著急,cai'bu'qian'zhu'ji
採草藥,cai'cao'yao
採測,cai'ce
採參,cai'cen
採茶,cai'cha
採柴,cai'chai
採出,cai'chu
綵帶,cai'dai
採到,cai'dao
採得,cai'de
採的花,cai'de'hua
採的藥,cai'de'yao
猜得準,cai'de'zhun
綵燈,cai'deng
採點,cai'dian
綵緞,cai'duan
採伐,cai'fa
採訪,cai'fang
綵鳳,cai'feng
才幹,cai'gan
才干戈,cai'gan'ge
才干擾,cai'gan'rao
才干涉,cai'gan'she
才干休,cai'gan'xiu
才干預,cai'gan'yu
才干政,cai'gan'zheng
採各家,cai'ge'jia
採購,cai'gou
採觀望,cai'guan'wang
採果,cai'guo
採花,cai'hua
採回,cai'hui
採集,cai'ji
採幾個,cai'ji'ge
採掘,cai'jue
採礦,cai'kuang
採來,cai'lai
採了,cai'le
採蓮,cai'lian
材料所製,cai'liao'suo'zhi
採菱,cai'ling
綵樓,cai'lou
綵鸞,cai'luan
採買,cai'mai
採蜜,cai'mi
採納,cai'na
採那些,cai'na'xie
綵女,cai'nv
綵排,cai'pai
綵牌,cai'pai
綵棚,cai'peng
採齊,cai'qi
菜乾,cai'qian
才乾杯,cai'qian'bei
才乾柴烈火,cai'qian'chai'lie'huo
才乾脆,cai'qian'cui
才乾旱,cai'qian'han
才乾耗,cai'qian'hao
才乾涸,cai'qian'he
才乾淨,cai'qian'jing
才乾枯,cai'qian'ku
才乾了杯,cai'qian'le'bei
才乾了一杯,cai'qian'le'yi'bei
才乾那杯,cai'qian'na'bei
才乾那一杯,cai'qian'na'yi'bei
才乾乾淨,cai'qian'qian'jing
才乾爽,cai'qian'shuang
才乾透,cai'qian'tou
才乾這杯,cai'qian'zhe'bei
才乾這一杯,cai'qian'zhe'yi'bei
才乾著急,cai'qian'zhu'ji
採樵,cai'qiao
綵球,cai'qiu
採取,cai'qu
採人參,cai'ren'cen
猜三划五,cai'san'hua'wu
採桑,cai'sang
採山草藥,cai'shan'cao'yao
綵裳,cai'shang
採什,cai'shen
採拾,cai'shi
採石,cai'shi
採食,cai'shi
採守勢,cai'shou'shi
才鬆下,cai'song'xia
材所製,cai'suo'zhi
採探,cai'tan
採銅,cai'tong
綵頭,cai'tou
採挖,cai'wa
採完,cai'wan
採錫,cai'xi
採下,cai'xia
才像,cai'xiang
才象徵,cai'xiang'zheng
才像征服,cai'xiang'zheng'fu
採些,cai'xie
採擷,cai'xie
採信,cai'xin
採行,cai'xing
採選,cai'xuan
彩焰,cai'yan
採樣,cai'yang
採藥,cai'yao
菜餚,cai'yao
採葉,cai'ye
採野果,cai'ye'guo
綵衣,cai'yi
採一採,cai'yi'cai
採一成,cai'yi'cheng
採一方,cai'yi'fang
採衣服,cai'yi'fu
採一個,cai'yi'ge
採一棵,cai'yi'ke
採一顆,cai'yi'ke
採一些,cai'yi'xie
採一支,cai'yi'zhi
採一枝,cai'yi'zhi
採一種,cai'yi'zhong
採陰補陽,cai'yin'bu'yang
採用,cai'yong
綵繒,cai'zeng
採摘,cai'zhai
綵杖,cai'zhang
採這些,cai'zhe'xie
裁製,cai'zhi
採之不盡,cai'zhi'bu'jin
採珠,cai'zhu
猜準,cai'zhun
殘幹,can'gan
燦爛,can'lan
慘慄,can'li
餐檯,can'tai
慘象,can'xiang
殘餚,can'yao
殘餘,can'yu
倉皇,cang'huang
蒼鬱,cang'yu
蒼朮,cang'zhu
草荐,cao'jian
草菅人命,cao'jian'ren'ming
草舍,cao'she
草蓆,cao'xi
參贊,cen'zan
茶几,cha'ji
茶幾多,cha'ji'duo
茶幾乎,cha'ji'hu
查明,cha'ming
奼女,cha'nv
茶乾盡,cha'qian'jin
茶舍,cha'she
茶已乾,cha'yi'qian
茶餘,cha'yu
奼紫,cha'zi
拆鬥,chai'dou
剷除,chan'chu
纏鬥,chan'dou
顫抖,chan'dou
懺悔,chan'hui
纏捲,chan'juan
顫慄,chan'li
剷滅,chan'mie
闡明,chan'ming
剷平,chan'ping
剷起,chan'qi
剷去,chan'qu
剷刈,chan'yi
羼雜,chan'za
長長幾,chang'chang'ji
長得醜,chang'de'chou
長髮,chang'fa
長發表,chang'fa'biao
長發佈,chang'fa'bu
長發出,chang'fa'chu
長髮出來,chang'fa'chu'lai
長發過,chang'fa'guo
長發號,chang'fa'hao
長發話,chang'fa'hua
長發火,chang'fa'huo
長發覺,chang'fa'jue
長發狂,chang'fa'kuang
長發力,chang'fa'li
長發配,chang'fa'pei
長發脾,chang'fa'pi
長發射,chang'fa'she
長發生,chang'fa'sheng
長發送,chang'fa'song
長發現,chang'fa'xian
長髮現出,chang'fa'xian'chu
長發言,chang'fa'yan
常幹,chang'gan
常干擾,chang'gan'rao
常干涉,chang'gan'she
常干預,chang'gan'yu
常干政,chang'gan'zheng
長几,chang'ji
長幾百,chang'ji'bai
長幾輩,chang'ji'bei
長幾尺,chang'ji'chi
長幾次,chang'ji'ci
長幾寸,chang'ji'cun
長幾多,chang'ji'duo
長幾分,chang'ji'fen
長幾個,chang'ji'ge
長幾公,chang'ji'gong
長幾乎,chang'ji'hu
長幾厘,chang'ji'li
長幾米,chang'ji'mi
長幾年,chang'ji'nian
長幾十,chang'ji'shi
長幾歲,chang'ji'sui
長幾位,chang'ji'wei
長幾英,chang'ji'ying
長幾丈,chang'ji'zhang
常乾脆,chang'qian'cui
常乾淨,chang'qian'jing
常乾澀,chang'qian'se
常乾爽,chang'qian'shuang
常乾燥,chang'qian'zao
長檯,chang'tai
長像,chang'xiang
長象牙,chang'xiang'ya
長鬚,chang'xu
唱遊,chang'you
暢遊,chang'you
腸臟,chang'zang
吵鬥,chao'dou
潮捲,chao'juan
炒麵,chao'mian
綽約風姿,chao'yao'feng'zi
沉積岩,chen'ji'yan
宸遊,chen'you
沉鬱,chen'yu
晨鐘,chen'zhong
懲奸,cheng'jian
逞兇,cheng'xiong
騁兇,cheng'xiong
稱讚,cheng'zan
稱贊助,cheng'zan'zhu
搶佔,cheng'zhan
誠徵,cheng'zheng
承製,cheng'zhi
搶著幹,cheng'zhu'gan
吃不準,chi'bu'zhun
喫茶,chi'cha
馳騁,chi'cheng
赤髮,chi'fa
赤發出,chi'fa'chu
赤發覺,chi'fa'jue
赤發現,chi'fa'xian
吃方便麵,chi'fang'bian'mian
吃過麵,chi'guo'mian
吃麵,chi'mian
吃面前,chi'mian'qian
吃乾,chi'qian
吃乾飯,chi'qian'fan
吃乾了,chi'qian'le
吃完麵,chi'wan'mian
吃完面前,chi'wan'mian'qian
吃完面子,chi'wan'mian'zi
尺餘,chi'yu
吃準,chi'zhun
衝,chong
衝啊,chong'a
衝奔,chong'ben
衝鼻,chong'bi
衝不出,chong'bu'chu
衝不過,chong'bu'guo
衝不進,chong'bu'jin
衝不開,chong'bu'kai
衝不破,chong'bu'po
衝不入,chong'bu'ru
衝不上,chong'bu'shang
衝不下,chong'bu'xia
衝馳,chong'chi
衝出,chong'chu
衝闖,chong'chuang
衝刺,chong'ci
衝錯,chong'cuo
沖淡,chong'dan
衝倒,chong'dao
衝到,chong'dao
衝得出,chong'de'chu
衝得過,chong'de'guo
衝得進,chong'de'jin
衝得入,chong'de'ru
衝動,chong'dong
衝斷,chong'duan
衝鋒,chong'feng
衝鋒鎗,chong'feng'qiang
衝冠,chong'guan
衝過,chong'guo
衝回,chong'hui
充飢,chong'ji
沖激,chong'ji
沖積,chong'ji
衝擊,chong'ji
衝劍,chong'jian
衝將,chong'jiang
衝近,chong'jin
衝進,chong'jin
衝勁,chong'jing
湧捲,chong'juan
衝開,chong'kai
衝口,chong'kou
衝垮,chong'kua
衝剌,chong'la
衝來,chong'lai
衝浪,chong'lang
衝了出,chong'le'chu
衝了過,chong'le'guo
衝了進,chong'le'jin
衝了來,chong'le'lai
衝了入,chong'le'ru
衝了上,chong'le'shang
衝了下,chong'le'xia
衝力,chong'li
沖涼,chong'liang
衝亂,chong'luan
衝掠,chong'lue
衝落,chong'luo
衝門,chong'men
衝脈,chong'mo
衝你,chong'ni
衝跑,chong'pao
衝破,chong'po
衝撲,chong'pu
沖氣,chong'qi
衝起,chong'qi
衝前,chong'qian
衝去,chong'qu
衝拳,chong'quan
衝入,chong'ru
衝散,chong'san
衝殺,chong'sha
衝上,chong'shang
沖上茶,chong'shang'cha
沖上壺,chong'shang'hu
沖上開水,chong'shang'kai'shui
沖上心,chong'shang'xin
沖上一杯,chong'shang'yi'bei
沖上一壺,chong'shang'yi'hu
沖上一碗,chong'shang'yi'wan
沖蝕,chong'shi
衝勢,chong'shi
沖刷,chong'shua
沖水,chong'shui
衝他,chong'ta
衝她,chong'ta
衝突,chong'tu
衝往,chong'wang
衝我,chong'wo
沖喜,chong'xi
沖洗,chong'xi
衝下,chong'xia
衝陷,chong'xian
衝向,chong'xiang
衝霄,chong'xiao
衝穴,chong'xue
沖壓,chong'ya
衝呀,chong'ya
衝要,chong'yao
衝越,chong'yue
衝在前,chong'zai'qian
衝在下,chong'zai'xia
衝在最前,chong'zai'zui'qian
衝咱,chong'zan
衝陣,chong'zhen
衝至,chong'zhi
衝著,chong'zhu
衝撞,chong'zhuang
衝墜,chong'zhui
衝自己,chong'zi'ji
醜,chou
醜八怪,chou'ba'guai
醜巴怪,chou'ba'guai
醜八戒,chou'ba'jie
醜不醜,chou'bu'chou
瞅睬,chou'cai
醜醜,chou'chou
醜得,chou'de
醜的,chou'de
醜得像,chou'de'xiang
醜詆,chou'di
醜東西,chou'dong'xi
抽斗,chou'dou
醜惡,chou'e
醜婦,chou'fu
醜怪,chou'guai
醜鬼,chou'gui
醜漢,chou'han
醜化,chou'hua
醜話,chou'hua
酬金,chou'jin
醜劇,chou'ju
醜俊,chou'jun
醜剌剌,chou'la'la
醜老,chou'lao
醜老頭,chou'lao'tou
抽釐,chou'li
醜臉,chou'lian
醜陋,chou'lou
醜貌,chou'mao
稠密,chou'mi
醜面,chou'mian
醜名,chou'ming
醜模樣,chou'mo'yang
醜男,chou'nan
醜女,chou'nv
醜婆,chou'po
抽乾,chou'qian
抽籤,chou'qian
醜人,chou'ren
醜如,chou'ru
醜煞人,chou'sha'ren
醜少年,chou'shao'nian
醜事,chou'shi
醜似,chou'si
醜死,chou'si
醜雖,chou'sui
綢所製,chou'suo'zhi
醜態,chou'tai
醜聞,chou'wen
醜媳婦,chou'xi'fu
抽像,chou'xiang
醜相畢,chou'xiang'bi
醜小鴨,chou'xiao'ya
醜小子,chou'xiao'zi
醜行,chou'xing
醜丫鬟,chou'ya'huan
醜丫頭,chou'ya'tou
醜樣,chou'yang
醜也醜,chou'ye'chou
醜夷,chou'yi
醜亦醜,chou'yi'chou
醜一點,chou'yi'dian
抽佣,chou'yong
愁鬱,chou'yu
醜語,chou'yu
醜逾,chou'yu
醜吒,chou'zha
瞅準,chou'zhun
處長,chu'chang
出醜,chu'chou
出的醜,chu'de'chou
齣電影,chu'dian'ying
初鬥,chu'dou
初斗膽,chu'dou'dan
初陡然,chu'dou'ran
初斗室,chu'dou'shi
觸發式,chu'fa'shi
出個醜,chu'ge'chou
出過醜,chu'guo'chou
鋤奸,chu'jian
除奸,chu'jian
出了醜,chu'le'chou
處瞭望,chu'liao'wang
出糶,chu'tiao
觸鬚,chu'xu
出遊,chu'you
初癒,chu'yu
廚餘,chu'yu
出征收,chu'zheng'shou
傳佈,chuan'bu
穿房入舍,chuan'fang'ru'she
船划,chuan'hua
船槳,chuan'jiang
船樑,chuan'liang
船篷,chuan'peng
船縴,chuan'qian
船已划,chuan'yi'hua
船隻,chuan'zhi
船只得,chuan'zhi'de
船只能,chuan'zhi'neng
船只有,chuan'zhi'you
窗明几淨,chuang'ming'ji'jing
窗明几亮,chuang'ming'ji'liang
床頭發,chuang'tou'fa
創製,chuang'zhi
創制度,chuang'zhi'du
吹鬍,chui'hu
吹捲,chui'juan
吹乾,chui'qian
捶檯拍凳,chui'tai'pai'deng
吹鬚,chui'xu
唇乾,chun'qian
純係,chun'xi
春遊,chun'you
唇燥舌乾,chun'zao'she'qian
刺不準,ci'bu'zhun
此醜,ci'chou
刺刀,ci'dao
刺得準,ci'de'zhun
賜覆,ci'fu
詞彙,ci'hui
辭彙,ci'hui
此仆彼起,ci'pu'bi'qi
刺蝟,ci'wei
詞餘,ci'yu
瓷製,ci'zhi
磁製,ci'zhi
辭職不幹,ci'zhi'bu'gan
刺準,ci'zhun
聰明,cong'ming
蔥鬱,cong'yu
捽草,cu'cao
捽髮,cu'fa
醋罈,cu'tan
促狹,cu'xia
粗製,cu'zhi
篡位,cuan'wei
璀璨,cui'can
淬礪,cui'li
脺臟,cui'zang
村長,cun'chang
村舍,cun'she
寸餘,cun'yu
蹉跎,cuo'tuo
大笨象,da'ben'xiang
打不準,da'bu'zhun
大醜,da'chou
打鬥,da'dou
打吨,da'dun
答覆,da'fu
大幹,da'gan
大幹吧,da'gan'ba
大幹了,da'gan'le
大幹特幹,da'gan'te'gan
打穀,da'gu
大夥兒,da'huo'er
大夥人,da'huo'ren
大夥一,da'huo'yi
韃虜,da'lu
大明,da'ming
大璞不完,da'pu'bu'wan
大象,da'xiang
大象徵,da'xiang'zheng
大小幾,da'xiao'ji
大讚,da'zan
大贊成,da'zan'cheng
大贊同,da'zan'tong
大贊助,da'zan'zhu
打製,da'zhi
打製的,da'zhi'de
打製了,da'zhi'le
大鐘,da'zhong
大鍾愛,da'zhong'ai
大鍾情,da'zhong'qing
大鍾意,da'zhong'yi
帶髮收行,dai'fa'shou'xing
帶髮頭陀,dai'fa'tou'tuo
帶髮修行,dai'fa'xiu'xing
袋方便麵,dai'fang'bian'mian
殆盡,dai'jin
帶徵,dai'zheng
呆緻緻,dai'zhi'zhi
但方纔,dan'fang'cai
蛋卷,dan'juan
耽誤,dan'wu
彈珠檯,dan'zhu'tai
噹,dang
噹的一聲,dang'de'yi'sheng
噹的一響,dang'de'yi'xiang
盪開,dang'kai
盪口,dang'kou
噹啷,dang'lang
檔樑子,dang'liang'zi
當其衝,dang'qi'chong
當然囉,dang'ran'luo
噹一聲,dang'yi'sheng
盪舟,dang'zhou
當準,dang'zhun
道長,dao'chang
道長幾,dao'chang'ji
道長須,dao'chang'xu
稻稈,dao'gan
稻穀,dao'gu
到几上,dao'ji'shang
倒捲,dao'juan
道里計,dao'li'ji
叨擾,dao'rao
倒像,dao'xiang
導遊,dao'you
的,de
的編制,de'bian'zhi
的醜,de'chou
的丑角,de'chou'jue
的丑生,de'chou'sheng
的丑時,de'chou'shi
的醜相,de'chou'xiang
的鬥了,de'dou'le
的對象,de'dui'xiang
的幹,de'gan
的幹將,de'gan'jiang
的黎波里,de'li'bo'li
的亮髮,de'liang'fa
的內鬥,de'nei'dou
的仆到,de'pu'dao
得像,de'xiang
得象牙,de'xiang'ya
得象徵,de'xiang'zheng
的餘脈,de'yu'mo
的真象,de'zhen'xiang
得準不準,de'zhun'bu'zhun
燈綵,deng'cai
等候,deng'hou
燈影後,deng'ying'hou
牴觸,di'chu
地方裡,di'fang'li
地幹,di'gan
地幹吧,di'gan'ba
底格里斯,di'ge'li'si
帝后,di'hou
低迴,di'hui
地捲,di'juan
砥礪,di'li
地裡長,di'li'chang
滴里搭拉,di'li'da'la
滴里嘟嚕,di'li'du'lu
滴乾,di'qian
地響,di'xiang
地一捲,di'yi'juan
第一卷,di'yi'juan
抵禦,di'yu
地誌,di'zhi
底子扎實,di'zi'zha'shi
店,dian
點,dian
顛顛仆仆,dian'dian'pu'pu
點多鐘,dian'duo'zhong
典範,dian'fan
顛覆,dian'fu
點幹,dian'gan
點幹吧,dian'gan'ba
點睏了,dian'kun'le
點睏意,dian'kun'yi
點明,dian'ming
店舖,dian'pu
顛仆,dian'pu
玷辱,dian'ru
點鬆,dian'song
玷汙,dian'wu
電影後,dian'ying'hou
殿鐘,dian'zhong
電鐘,dian'zhong
點鐘,dian'zhong
電子錶,dian'zi'biao
電子鐘,dian'zi'zhong
弔膀子,diao'bang'zi
彫殘,diao'can
弔場,diao'chang
彫蟲,diao'chong
弔詞,diao'ci
弔奠,diao'dian
刁斗,diao'dou
吊斗,diao'dou
弔古,diao'gu
弔詭,diao'gui
弔賀,diao'he
弔喉,diao'hou
弔祭,diao'ji
弔考,diao'kao
弔客,diao'ke
雕樑,diao'liang
彫零,diao'ling
彫落,diao'luo
弔民,diao'min
弔念,diao'nian
刁難,diao'nuo
弔旗,diao'qi
弔錢,diao'qian
弔取,diao'qu
弔喪,diao'sang
彫喪,diao'sang
弔書,diao'shu
弔死問疾,diao'si'wen'ji
掉頭發足,diao'tou'fa'zu
弔慰,diao'wei
弔問,diao'wen
吊繫,diao'xi
雕像,diao'xiang
弔孝,diao'xiao
彫謝,diao'xie
弔信,diao'xin
弔唁,diao'yan
弔影,diao'ying
釣遊,diao'you
吊鐘,diao'zhong
跌衝,die'chong
跌跌衝衝,die'die'chong'chong
蹀里蹀斜,die'li'die'xie
跌仆,die'pu
跌扑,die'pu
叮噹,ding'dang
叮叮,ding'ding
鼎鼎大名,ding'ding'da'ming
定幹,ding'gan
定幹吧,ding'gan'ba
定幹了,ding'gan'le
頂兇,ding'xiong
訂製,ding'zhi
頂著幹,ding'zhu'gan
盯準,ding'zhun
丟醜,diu'chou
丟的醜,diu'de'chou
丟了醜,diu'le'chou
東衝,dong'chong
動盪,dong'dang
鼕鼕,dong'dong
洞裡長,dong'li'chang
棟樑,dong'liang
東昇,dong'sheng
動手幹,dong'shou'gan
動手干擾,dong'shou'gan'rao
東遊,dong'you
東嶽,dong'yue
鬥敗,dou'bai
鬥百餘,dou'bai'yu
鬥本事,dou'ben'shi
鬥畢,dou'bi
斗杓,dou'biao
鬥不到,dou'bu'dao
鬥不鬥,dou'bu'dou
鬥不過,dou'bu'guo
鬥不了,dou'bu'liao
鬥不上,dou'bu'shang
鬥不完,dou'bu'wan
鬥不贏,dou'bu'ying
鬥場,dou'chang
鬥成,dou'cheng
鬥成平手,dou'cheng'ping'shou
豆豉,dou'chi
鬥出,dou'chu
鬥傳,dou'chuan
鬥到,dou'dao
鬥得,dou'de
鬥的過,dou'de'guo
鬥敵,dou'di
鬥定力,dou'ding'li
鬥鬥,dou'dou
鬥惡,dou'e
鬥法,dou'fa
豆腐乾,dou'fu'qian
鬥個,dou'ge
鬥狗,dou'gou
鬥過,dou'guo
鬥狠,dou'hen
鬥魂,dou'hun
鬥技,dou'ji
鬥雞,dou'ji
鬥機智,dou'ji'zhi
鬥劍,dou'jian
鬥艦,dou'jian
鬥將,dou'jiang
鬥勁,dou'jing
鬥久,dou'jiu
鬥酒,dou'jiu
鬥就鬥,dou'jiu'dou
兜捲,dou'juan
