八字,ba'zi
时带食神,shi'dai'shi'shen
时带正官,shi'dai'zheng'guan
时带正印,shi'dai'zheng'yin
十二地支,shi'er'di'zhi
十二主星宿,shi'er'zhu'xing'su
石榴木,shi'liu'mu
时煞归库,shi'sha'gui'ku
食伤,shi'shang
时上偏财,shi'shang'pian'cai
时上七煞,shi'shang'qi'sha
食伤吐秀,shi'shang'tu'xiu
时上正财,shi'shang'zheng'cai
食神,shi'shen
十神,shi'shen
食神带合,shi'shen'dai'he
食神带禄,shi'shen'dai'lu
食神旺变,shi'shen'wang'bian
食神制杀,shi'shen'zhi'sha
十天干,shi'tian'gan
水空,shui'kong
四墓库,si'mu'ku
四生方,si'sheng'fang
四位纯全,si'wei'chun'quan
四正方,si'zheng'fang
四柱,si'zhu
松柏木,song'bai'mu
岁带正马,sui'dai'zheng'ma
岁德正官,sui'de'zheng'guan
岁运并临,sui'yun'bing'lin
太岁,tai'sui
太阳,tai'yang
太阴,tai'yin
贪财坏印,tan'cai'huai'yin
贪合忘官,tan'he'wang'guan
桃花,tao'hua
桃花带刃,tao'hua'dai'ren
桃花劫,tao'hua'jie
桃花煞,tao'hua'sha
提纲克年,ti'gang'ke'nian
天德,tian'de
天地德合,tian'di'de'he
天干,tian'gan
天干连珠,tian'gan'lian'zhu
天干顺食,tian'gan'shun'shi
天狗,tian'gou
天河水,tian'he'shui
天上火,tian'shang'huo
天喜,tian'xi
天元暗禄,tian'yuan'an'lu
天元一气,tian'yuan'yi'qi
天元坐财,tian'yuan'zuo'cai
天元坐禄,tian'yuan'zuo'lu
天元坐煞,tian'yuan'zuo'sha
土空,tu'kong
戊辰,wu'chen
五鬼,wu'gui
五煞詹花,wu'sha'zhan'hua
屋上土,wu'shang'tu
戊申,wu'shen
戊午,wu'wu
戊戌,wu'xu
戊寅,wu'yin
戊子,wu'zi
枭神夺食,xiao'shen'duo'shi
辛丑,xin'chou
辛亥,xin'hai
辛卯,xin'mao
辛巳,xin'si
辛未,xin'wei
辛酉,xin'you
刑合格,xing'he'ge
玄武当权,xuan'wu'dang'quan
炎上格,yan'shang'ge
羊击猪蛇,yang'ji'zhu'she
杨柳木,yang'liu'mu
羊刃驾杀,yang'ren'jia'sha
阳死阴生,yang'si'yin'sheng
乙丑,yi'chou
乙亥,yi'hai
乙卯,yi'mao
乙巳,yi'si
乙未,yi'wei
乙酉,yi'you
印墓夭寿,yin'mu'yao'shou
印绶护身,yin'shou'hu'shen
印星,yin'xing
用神,yong'shen
有驿有马,you'yi'you'ma
鸳鸯合,yuan'yang'he
月带偏官,yue'dai'pian'guan
月带正官,yue'dai'zheng'guan
月德,yue'de
月上比劫,yue'shang'bi'jie
月上偏财,yue'shang'pian'cai
月上偏印,yue'shang'pian'yin
月上伤官,yue'shang'shang'guan
月上食神,yue'shang'shi'shen
月上正财,yue'shang'zheng'cai
月上正印,yue'shang'zheng'yin
真伤官,zhen'shang'guan
正财,zheng'cai
正官,zheng'guan
正官五忌,zheng'guan'wu'ji
支辰一字,zhi'chen'yi'zi
专禄格,zhuan'lu'ge
紫微,zi'wei
子午双包,zi'wu'shuang'bao
子遥巳格,zi'yao'si'ge
子遥巳禄,zi'yao'si'lu
