艾滋病,ai'zi'bing
厄尔尼诺现象,e'er'ni'nuo'xian'xiang
鹅掌楸,e'zhang'qiu
反光镜,fan'guang'jing
反射弧,fan'she'hu
反射活动,fan'she'huo'dong
繁殖行为,fan'zhi'xing'wei
防御行为,fang'yu'xing'wei
肺动脉,fei'dong'mai
肺静脉,fei'jing'mai
非生物因素,fei'sheng'wu'yin'su
肺循环,fei'xun'huan
非洲鲫鱼,fei'zhou'ji'yu
分裂能力,fen'lie'neng'li
分生区,fen'sheng'qu
分生组织,fen'sheng'zu'zhi
腹鳍,fu'qi
腐生,fu'sheng
盖玻片,gai'bo'pian
干旱植物,gan'han'zhi'wu
甘蓝,gan'lan
高倍物镜,gao'bei'wu'jing
高尔基体,gao'er'ji'ti
高级中枢,gao'ji'zhong'shu
睾丸,gao'wan
根尖,gen'jian
根尖细胞,gen'jian'xi'bao
肱二头肌,gong'er'tou'ji
功能发育,gong'neng'fa'yu
珙桐,gong'tong
股动脉,gu'dong'mai
骨密质,gu'mi'zhi
骨膜,gu'mo
股四头肌,gu'si'tou'ji
骨松质,gu'song'zhi
骨髓,gu'sui
骨髓腔,gu'sui'qiang
管壁,guan'bi
管内,guan'nei
官腔,guan'qiang
冠状动脉,guan'zhuang'dong'mai
光合作用,guang'he'zuo'yong
光学显微镜,guang'xue'xian'wei'jing
果实,guo'shi
果子狸,guo'zi'li
哈维,ha'wei
汗腺,han'xian
汗液,han'ye
豪猪,hao'zhu
禾本科,he'ben'ke
禾本目,he'ben'mu
核糖体,he'tang'ti
横隔,heng'ge
横切玻片标本,heng'qie'bo'pian'biao'ben
红豆杉,hong'dou'shan
红骨髓,hong'gu'sui
红细胞,hong'xi'bao
红枣,hong'zao
葫芦藓,hu'lu'xian
呼吸系统,hu'xi'xi'tong
呼吸作用,hu'xi'zuo'yong
花瓣,hua'ban
花柄,hua'bing
花萼,hua'e
化石,hua'shi
花丝,hua'si
花托,hua'tuo
花药,hua'yao
花柱,hua'zhu
环境污染,huan'jing'wu'ran
黄骨髓,huang'gu'sui
黄姑鱼,huang'gu'yu
恢复生态学,hui'fu'sheng'tai'xue
灰质,hui'zhi
获得性免疫缺陷综合症,huo'de'xing'mian'yi'que'xian'zong'he'zheng
基本单位,ji'ben'dan'wei
基本组织,ji'ben'zu'zhi
计量器具,ji'liang'qi'ju
肌肉细胞,ji'rou'xi'bao
肌肉组织,ji'rou'zu'zhi
寄生,ji'sheng
脊髓,ji'sui
脊索动物,ji'suo'dong'wu
肌胃,ji'wei
机械组织,ji'xie'zu'zhi
基因,ji'yin
基因工程,ji'yin'gong'cheng
鲫鱼,ji'yu
脊椎动物,ji'zhui'dong'wu
家蚕,jia'can
家鸽,jia'ge
加热器具,jia're'qi'ju
甲藻,jia'zao
酵母菌,jiao'mu'jun
胶原纤维,jiao'yuan'xian'wei
角质化细胞,jiao'zhi'hua'xi'bao
结缔组织,jie'di'zu'zhi
结构层次,jie'gou'ceng'ci
解剖器具,jie'pou'qi'ju
进化规律,jin'hua'gui'lv
金鱼藻,jin'yu'zao
镜臂,jing'bi
静脉,jing'mai
静脉血,jing'mai'xue
精细调节,jing'xi'tiao'jie
镜柱,jing'zhu
酒精灯,jiu'jing'deng
蕨类植物,jue'lei'zhi'wu
菌柄,jun'bing
菌盖,jun'gai
菌丝,jun'si
菌褶,jun'zhe
开荒造田,kai'huang'zao'tian
抗病虫害,kang'bing'chong'hai
抗倒伏,kang'dao'fu
抗生素,kang'sheng'su
抗体,kang'ti
抗原,kang'yuan
科学探究,ke'xue'tan'jiu
口沟,kou'gou
口腔上皮细胞,kou'qiang'shang'pi'xi'bao
喇叭虫,la'ba'chong
泪液,lei'ye
李时珍,li'shi'zhen
粮食短缺,liang'shi'duan'que
粮食匮乏,liang'shi'kui'fa
猎豹,lie'bao
淋巴结,lin'ba'jie
鳞片叶,lin'pian'ye
临时玻片标本,lin'shi'bo'pian'biao'ben
蝼蛄,lou'gu
陆龟,lu'gui
颅腔,lu'qiang
鹿群,lu'qun
卵白,luan'bai
卵巢,luan'chao
卵黄,luan'huang
卵黄膜,luan'huang'mo
卵壳膜,luan'ke'mo
卵生动物,luan'sheng'dong'wu
卵细胞,luan'xi'bao
罗非鱼,luo'fei'yu
骆驼刺,luo'tuo'ci
裸子植物,luo'zi'zhi'wu
滤过,lv'guo
绿毛龟,lv'mao'gui
绿色开花植物,lv'se'kai'hua'zhi'wu
绿色开花植物体,lv'se'kai'hua'zhi'wu'ti
绿色植物,lv'se'zhi'wu
马铃薯,ma'ling'shu
马陆,ma'lu
麻雀,ma'que
脉搏,mai'bo
盲肠,mang'chang
盲端,mang'duan
毛虫,mao'chong
毛细血管,mao'xi'xue'guan
毛细血管网,mao'xi'xue'guan'wang
孟德尔,meng'de'er
萌发,meng'fa
泌尿,mi'niao
泌尿系统,mi'niao'xi'tong
觅食行为,mi'shi'xing'wei
免疫防线,mian'yi'fang'xian
抹香鲸,mo'xiang'jing
木本植物,mu'ben'zhi'wu
目镜,mu'jing
木质部,mu'zhi'bu
囊壁,nang'bi
囊腔,nang'qiang
囊状器官,nang'zhuang'qi'guan
脑干,nao'gan
内分泌系统,nei'fen'mi'xi'tong
内脏器官,nei'zang'qi'guan
能源危机,neng'yuan'wei'ji
黏液,nian'ye
鸟卵,niao'luan
尿液,niao'ye
牛痘,niu'dou
爬行动物,pa'xing'dong'wu
排卵,pai'luan
膀胱,pang'guang
胚根,pei'gen
胚盘,pei'pan
胚乳,pei'ru
胚胎发育,pei'tai'fa'yu
胚芽,pei'ya
胚轴,pei'zhou
胚珠,pei'zhu
屁股,pi'gu
平静状态,ping'jing'zhuang'tai
葡枝根霉,pu'zhi'gen'mei
气孔,qi'kong
气囊,qi'nang
气生菌丝,qi'sheng'jun'si
气室,qi'shi
前臂,qian'bi
腔肠动物,qiang'chang'dong'wu
蜣螂,qiang'lang
蔷薇科,qiang'wei'ke
蔷薇目,qiang'wei'mu
芹菜,qin'cai
亲代,qin'dai
青春期,qing'chun'qi
青筋,qing'jin
青霉,qing'mei
青霉素,qing'mei'su
青蛙,qing'wa
求偶行为,qiu'ou'xing'wei
蚯蚓,qiu'yin
躯干肌,qu'gan'ji
趋利避害,qu'li'bi'hai
蠼螋,qu'sou
染色体,ran'se'ti
桡动脉,rao'dong'mai
人工选择,ren'gong'xuan'ze
人工脏器,ren'gong'zang'qi
人类的进化,ren'lei'de'jin'hua
人类的起源,ren'lei'de'qi'yuan
人类基因组计划,ren'lei'ji'yin'zu'ji'hua
人体皮肤,ren'ti'pi'fu
入球小动脉,ru'qiu'xiao'dong'mai
软骨,ruan'gu
三角肌,san'jiao'ji
三界说,san'jie'shuo
色盲,se'mang
鲨鱼,sha'yu
筛管,shai'guan
珊瑚,shan'hu
上臂,shang'bi
上皮细胞涂片,shang'pi'xi'bao'tu'pian
上皮组织,shang'pi'zu'zhi
上腔静脉,shang'qiang'jing'mai
深层细胞,shen'ceng'xi'bao
肾单位,shen'dan'wei
神经冲动,shen'jing'chong'dong
神经节,shen'jing'jie
神经结构,shen'jing'jie'gou
神经调节,shen'jing'tiao'jie
神经细胞,shen'jing'xi'bao
神经系统,shen'jing'xi'tong
神经纤维,shen'jing'xian'wei
神经元,shen'jing'yuan
神经元细胞体,shen'jing'yuan'xi'bao'ti
神经组织,shen'jing'zu'zhi
伸缩泡,shen'suo'pao
肾小囊,shen'xiao'nang
肾小球,shen'xiao'qiu
肾小体,shen'xiao'ti
肾脏,shen'zang
生理活动,sheng'li'huo'dong
生理特性,sheng'li'te'xing
生命的起源,sheng'ming'de'qi'yuan
生命活动,sheng'ming'huo'dong
生命现象,sheng'ming'xian'xiang
生命信息,sheng'ming'xin'xi
生态系统,sheng'tai'xi'tong
生态因素,sheng'tai'yin'su
生物的多样性,sheng'wu'de'duo'yang'xing
生物个体,sheng'wu'ge'ti
生物检索表,sheng'wu'jian'suo'biao
生物界,sheng'wu'jie
生物进化,sheng'wu'jin'hua
生物圈,sheng'wu'quan
生物体,sheng'wu'ti
生物性状,sheng'wu'xing'zhuang
生物因素,sheng'wu'yin'su
生长发育,sheng'zhang'fa'yu
生长发育时期,sheng'zhang'fa'yu'shi'qi
生长区,sheng'zhang'qu
生长现象,sheng'zhang'xian'xiang
生殖,sheng'zhi
生殖方式,sheng'zhi'fang'shi
生殖系统,sheng'zhi'xi'tong
世界性濒危动物,shi'jie'xing'bin'wei'dong'wu
世界性濒危物种,shi'jie'xing'bin'wei'wu'zhong
世界性濒危植物,shi'jie'xing'bin'wei'zhi'wu
失去平衡,shi'qu'ping'heng
食物泡,shi'wu'pao
实验,shi'yan
实验变量,shi'yan'bian'liang
适应环境,shi'ying'huan'jing
始祖鸟,shi'zu'niao
收集管,shou'ji'guan
受精卵,shou'jing'luan
受损血管,shou'sun'xue'guan
疏导功能,shu'dao'gong'neng
疏导组织,shu'dao'zu'zhi
疏导作用,shu'dao'zuo'yong
鼠妇,shu'fu
输尿管,shu'niao'guan
疏松结缔组织,shu'song'jie'di'zu'zhi
树獭,shu'ta
双受精,shuang'shou'jing
双受精过程,shuang'shou'jing'guo'cheng
水稻,shui'dao
水绵,shui'mian
水螅,shui'xi
水循环,shui'xun'huan
四界说,si'jie'shuo
四肢肌,si'zhi'ji
嗉囊,su'nang
桫椤,suo'luo
梭子蟹,suo'zi'xie
胎生动物,tai'sheng'dong'wu
苔藓植物,tai'xian'zhi'wu
太阳虫,tai'yang'chong
探索生命,tan'suo'sheng'ming
弹性纤维,tan'xing'xian'wei
提出问题,ti'chu'wen'ti
体动脉,ti'dong'mai
体内循环,ti'nei'xun'huan
体腔,ti'qiang
体细胞,ti'xi'bao
体循环,ti'xun'huan
调节能力,tiao'jie'neng'li
通光孔,tong'guang'kong
童年期,tong'nian'qi
通用器具,tong'yong'qi'ju
头颈肌,tou'jing'ji
菟丝子,tu'si'zi
臀部,tun'bu
吞噬细胞,tun'shi'xi'bao
脱氧核糖核酸,tuo'yang'he'tang'he'suan
唾液,tuo'ye
唾液腺,tuo'ye'xian
危及生命,wei'ji'sheng'ming
尾鳍,wei'qi
尾羽,wei'yu
无机盐,wu'ji'yan
无脊椎动物,wu'ji'zhui'dong'wu
物镜,wu'jing
物种,wu'zhong
物种起源,wu'zhong'qi'yuan
细胞壁,xi'bao'bi
细胞分化,xi'bao'fen'hua
细胞核,xi'bao'he
细胞膜,xi'bao'mo
细胞群,xi'bao'qun
细胞体,xi'bao'ti
细胞液,xi'bao'ye
细胞质,xi'bao'zhi
细菌,xi'jun
细微调节,xi'wei'tiao'jie
蜥蜴,xi'yi
细准焦螺旋,xi'zhun'jiao'luo'xuan
下腔静脉,xia'qiang'jing'mai
苋菜,xian'cai
线粒体,xian'li'ti
纤毛,xian'mao
显微镜,xian'wei'jing
显微镜箱,xian'wei'jing'xiang
显微注射技术,xian'wei'zhu'she'ji'shu
显性,xian'xing
线形动物,xian'xing'dong'wu
向光生长,xiang'guang'sheng'zhang
向光性,xiang'guang'xing
小肠,xiao'chang
小肠绒毛,xiao'chang'rong'mao
小肠绒毛壁,xiao'chang'rong'mao'bi
小瓜虫,xiao'gua'chong
消化系统,xiao'hua'xi'tong
小脑,xiao'nao
心壁,xin'bi
心肌细胞,xin'ji'xi'bao
信息库,xin'xi'ku
新形状,xin'xing'zhuang
心血运动论,xin'xue'yun'dong'lun
形成层,xing'cheng'ceng
性发育,xing'fa'yu
形态发育,xing'tai'fa'yu
形态结构,xing'tai'jie'gou
性细胞,xing'xi'bao
性意识,xing'yi'shi
性状,xing'zhuang
胸鳍,xiong'qi
雄蕊,xiong'rui
胸腺,xiong'xian
血管球,xue'guan'qiu
血尿,xue'niao
雪松,xue'song
血细胞,xue'xi'bao
血细胞涂片,xue'xi'bao'tu'pian
血吸虫,xue'xi'chong
血小板,xue'xiao'ban
血型,xue'xing
循环,xun'huan
循环系统,xun'huan'xi'tong
牙本质,ya'ben'zhi
压片夹,ya'pian'jia
牙髓,ya'sui
牙髓质,ya'sui'zhi
芽轴,ya'zhou
鸭嘴兽,ya'zui'shou
延续性,yan'xu'xing
盐爪爪,yan'zhua'zhua
羊肚菌,yang'du'jun
洋蜡子,yang'la'zi
杨树,yang'shu
叶绿素,ye'lv'su
叶绿体,ye'lv'ti
液泡,ye'pao
叶肉,ye'rou
叶肉细胞,ye'rou'xi'bao
叶原基,ye'yuan'ji
一般调节,yi'ban'tiao'jie
遗传病,yi'chuan'bing
遗传工程,yi'chuan'gong'cheng
遗传规律,yi'chuan'gui'lv
遗传基因,yi'chuan'ji'yin
遗传物质,yi'chuan'wu'zhi
遗传信息,yi'chuan'xin'xi
遗精,yi'jing
医药学家,yi'yao'xue'jia
阴道,yin'dao
阴蒂,yin'di
阴茎,yin'jing
阴囊,yin'nang
银杉,yin'shan
银杏,yin'xing
隐性,yin'xing
婴儿期,ying'er'qi
应激性,ying'ji'xing
影响环境,ying'xiang'huan'jing
营养繁殖,ying'yang'fan'zhi
营养菌丝,ying'yang'jun'si
幼雏,you'chu
幼儿期,you'er'qi
幼儿前期,you'er'qian'qi
有害刺激,you'hai'ci'ji
有孔虫,you'kong'chong
有利刺激,you'li'ci'ji
由小长大,you'xiao'zhang'da
右心房,you'xin'fang
右心室,you'xin'shi
蚰蜒,you'yan
幼叶,you'ye
预防接种,yu'fang'jie'zhong
玉米种子,yu'mi'zhong'zi
原核生物,yuan'he'sheng'wu
原核生物界,yuan'he'sheng'wu'jie
原鸡,yuan'ji
袁隆平,yuan'long'ping
原尿,yuan'niao
原生生物,yuan'sheng'sheng'wu
原生生物界,yuan'sheng'sheng'wu'jie
原始大气,yuan'shi'da'qi
原始地球,yuan'shi'di'qiu
原始生命,yuan'shi'sheng'ming
原始生命的起源,yuan'shi'sheng'ming'de'qi'yuan
月经,yue'jing
运动不协调,yun'dong'bu'xie'tiao
杂交水稻,za'jiao'shui'dao
载玻片,zai'bo'pian
载物台,zai'wu'tai
藻类植物,zao'lei'zhi'wu
栅栏组织,zha'lan'zu'zhi
遮光器,zhe'guang'qi
真菌,zhen'jun
争斗行为,zheng'dou'xing'wei
蒸腾作用,zheng'teng'zuo'yong
正羽,zheng'yu
脂肪细胞,zhi'fang'xi'bao
致密结缔组织,zhi'mi'jie'di'zu'zhi
植物茎,zhi'wu'jing
植物细胞,zhi'wu'xi'bao
植物叶表皮,zhi'wu'ye'biao'pi
枝芽,zhi'ya
种豆得豆,zhong'dou'de'dou
种瓜得瓜,zhong'gua'de'gua
肿瘤细胞,zhong'liu'xi'bao
种皮,zhong'pi
种脐,zhong'qi
重吸收,zhong'xi'shou
贮存尿液,zhu'cun'niao'ye
主动脉,zhu'dong'mai
朱鹮,zhu'huan
柱头,zhu'tou
转换器,zhuan'huan'qi
转基因技术,zhuan'ji'yin'ji'shu
子代,zi'dai
子房,zi'fang
子房壁,zi'fang'bi
子宫,zi'gong
紫葡萄,zi'pu'tao
自然保护区,zi'ran'bao'hu'qu
自然选择,zi'ran'xuan'ze
自我调节功能,zi'wo'tiao'jie'gong'neng
自我意识,zi'wo'yi'shi
子叶,zi'ye
资源匮乏,zi'yuan'kui'fa
纵切玻片标本,zong'qie'bo'pian'biao'ben
组成层次,zu'cheng'ceng'ci
组织培养,zu'zhi'pei'yang
作出假设,zuo'chu'jia'she
座头鲸,zuo'tou'jing
左心房,zuo'xin'fang
左心室,zuo'xin'shi
