阿魏,a'wei
炒山楂,chao'shan'zha
炒酸枣仁,chao'suan'zao'ren
朝天罐,chao'tian'guan
炒葶苈子,chao'ting'li'zi
炒王不留行,chao'wang'bu'liu'xing
炒桅子,chao'wei'zi
炒栀子,chao'zhi'zi
炒紫苏子,chao'zi'su'zi
车前草,che'qian'cao
车前子,che'qian'zi
尘肺,chen'fei
陈佛手,chen'fo'shou
陈皮,chen'pi
辰砂,chen'sha
沉香,chen'xiang
沉香曲,chen'xiang'qu
陈香薷,chen'xiang'ru
沉郁,chen'yu
称钩风,cheng'gou'feng
柽柳,cheng'liu
赤白芍,chi'bai'shao
赤茯苓,chi'fu'ling
赤箭,chi'jian
眵泪,chi'lei
赤脉传睛,chi'mai'chuan'jing
赤膜下垂,chi'mo'xia'chui
齿衄,chi'nv
赤芍,chi'shao
赤石脂,chi'shi'zhi
赤小豆,chi'xiao'dou
赤药,chi'yao
赤游丹病,chi'you'dan'bing
瘈疭,chi'zong
虫白蜡,chong'bai'la
重楼,chong'lou
冲任不固,chong'ren'bu'gu
茺蔚子,chong'wei'zi
臭灵丹草,chou'ling'dan'cao
楮实子,chu'shi'zi
川贝母,chuan'bei'mu
川楝子,chuan'lian'zi
川木通,chuan'mu'tong
川木香,chuan'mu'xiang
川牛膝,chuan'niu'xi
穿破石茄根,chuan'po'shi'qie'gen
穿山甲,chuan'shan'jia
穿山龙,chuan'shan'long
川乌,chuan'wu
穿心莲,chuan'xin'lian
川芎,chuan'xiong
垂盆草,chui'pen'cao
椿皮,chun'pi
刺蒺藜,ci'ji'li
磁石,ci'shi
刺猬皮,ci'wei'pi
刺五加,ci'wu'jia
葱白,cong'bai
卒腹痛病,cu'fu'tong'bing
卒死病,cu'si'bing
卒心痛病,cu'xin'tong'bing
卒中,cu'zhong
大豆黄卷,da'dou'huang'juan
大飞扬草,da'fei'yang'cao
大风子,da'feng'zi
大腹皮,da'fu'pi
大红袍,da'hong'pao
大黄,da'huang
大蓟,da'ji
大力子,da'li'zi
大青叶,da'qing'ye
大蒜,da'suan
大头陈,da'tou'chen
大血藤,da'xue'teng
大芸,da'yun
大枣,da'zao
代代花,dai'dai'hua
玳瑁,dai'mao
代赭石,dai'zhe'shi
淡豆豉,dan'dou'chi
胆矾,dan'fan
胆木,dan'mu
胆南星,dan'nan'xing
丹参,dan'shen
胆汁,dan'zhi
淡竹叶,dan'zhu'ye
当归,dang'gui
党参,dang'shen
当药,dang'yao
刀豆,dao'dou
倒扣草,dao'kou'cao
稻芽,dao'ya
灯台细辛,deng'tai'xi'xin
灯台叶,deng'tai'ye
灯心草,deng'xin'cao
地不容,di'bu'rong
地胆草,di'dan'cao
地耳草,di'er'cao
地枫皮,di'feng'pi
地肤子,di'fu'zi
地骨皮,di'gu'pi
地黄,di'huang
地椒,di'jiao
地锦草,di'jin'cao
地龙,di'long
地榆,di'yu
颠茄草,dian'qie'cao
丁公藤,ding'gong'teng
丁癸草,ding'gui'cao
丁香,ding'xiang
丢了棒,diu'le'bang
冬虫夏草,dong'chong'xia'cao
冬瓜皮,dong'gua'pi
冬瓜子,dong'gua'zi
冬葵果,dong'kui'guo
冬凌草,dong'ling'cao
豆蔻,dou'kou
杜衡,du'heng
独活,du'huo
杜鹃花叶,du'juan'hua'ye
杜仲,du'zhong
断血流,duan'xue'liu
鹅不食草,e'bu'shi'cao
阿胶,e'jiao
莪术,e'zhu
莪术油,e'zhu'you
儿茶,er'cha
法夏,fa'xia
番红花,fan'hong'hua
番泻叶,fan'xie'ye
防风,fang'feng
防已,fang'yi
飞廉草,fei'lian'cao
肺形草,fei'xing'cao
飞杨草,fei'yang'cao
榧子,fei'zi
粉萆薢,fen'bi'xie
粉条儿菜,fen'tiao'er'cai
蜂房,feng'fang
凤凰衣,feng'huang'yi
蜂蜡,feng'la
蜂蜜,feng'mi
凤尾草,feng'wei'cao
凤仙花,feng'xian'hua
佛甲草,fo'jia'cao
佛手,fo'shou
浮海石,fu'hai'shi
茯苓,fu'ling
茯苓皮,fu'ling'pi
伏龙肝,fu'long'gan
复盆子,fu'pen'zi
覆盆子,fu'pen'zi
浮萍,fu'ping
芙蓉叶,fu'rong'ye
茯神,fu'shen
浮石,fu'shi
浮小麦,fu'xiao'mai
附子,fu'zi
伽楠香,ga'nan'xiang
甘草,gan'cao
干姜,gan'jiang
干漆,gan'qi
甘松,gan'song
甘遂,gan'sui
杠板归,gang'ban'gui
岗梅,gang'mei
岗松,gang'song
藁本,gao'ben
高良姜,gao'liang'jiang
葛根,ge'gen
葛花,ge'hua
蛤蚧,ge'jie
蛤壳,ge'ke
梗通草,geng'tong'cao
功劳木,gong'lao'mu
狗宝,gou'bao
狗肝草,gou'gan'cao
狗脊,gou'ji
枸杞,gou'qi
枸杞子,gou'qi'zi
钩藤,gou'teng
谷精草,gu'jing'cao
古山龙,gu'shan'long
骨碎补,gu'sui'bu
谷芽,gu'ya
瓜蒂,gua'di
瓜蒌,gua'lou
瓜蒌皮,gua'lou'pi
瓜蒌子,gua'lou'zi
瓜子金,gua'zi'jin
关白附,guan'bai'fu
关木通,guan'mu'tong
光慈姑,guang'ci'gu
广防已,guang'fang'yi
广藿香,guang'huo'xiang
广金钱草,guang'jin'qian'cao
光枝勾,guang'zhi'gou
龟板,gui'ban
龟甲,gui'jia
龟甲胶,gui'jia'jiao
鬼箭羽,gui'jian'yu
桂枝,gui'zhi
过岗龙,guo'gang'long
孩儿茶,hai'er'cha
海风藤,hai'feng'teng
海浮石,hai'fu'shi
海蛤壳,hai'ge'ke
海狗肾,hai'gou'shen
海金砂,hai'jin'sha
海龙,hai'long
海马,hai'ma
海螵蛸,hai'piao'xiao
海桐皮,hai'tong'pi
海藻,hai'zao
蔊菜,han'cai
寒水石,han'shui'shi
汉桃叶,han'tao'ye
行水,hang'shui
鹤草酚,he'cao'fen
鹤草芽,he'cao'ya
荷顶,he'ding
合欢花,he'huan'hua
合欢皮,he'huan'pi
鹤虱,he'shi
何首乌,he'shou'wu
核桃仁,he'tao'ren
荷叶,he'ye
诃子,he'zi
黑风藤,hei'feng'teng
黑老虎根,hei'lao'hu'gen
黑脂麻,hei'zhi'ma
黑芝麻,hei'zhi'ma
红大戟,hong'da'ji
红豆蔻,hong'dou'kou
红粉,hong'fen
红根草,hong'gen'cao
红管药,hong'guan'yao
红花,hong'hua
红毛七,hong'mao'qi
红头草,hong'tou'cao
红药子,hong'yao'zi
厚朴,hou'po
厚朴花,hou'po'hua
猴枣,hou'zao
虎刺,hu'ci
虎耳草,hu'er'cao
虎骨,hu'gu
胡黄连,hu'huang'lian
槲寄生,hu'ji'sheng
胡椒,hu'jiao
胡芦巴,hu'lu'ba
葫芦巴,hu'lu'ba
葫芦茶,hu'lu'cha
琥珀,hu'po
胡荽,hu'sui
胡桃肉,hu'tao'rou
虎杖,hu'zhang
虎掌草,hu'zhang'cao
花椒,hua'jiao
花蕊石,hua'rui'shi
华山参,hua'shan'can
滑石,hua'shi
槐花,huai'hua
槐角,huai'jiao
獾油,huan'you
黄柏,huang'bai
黄狗肾,huang'gou'shen
黄瓜,huang'gua
黄精,huang'jing
黄连,huang'lian
黄连素,huang'lian'su
黄栌,huang'lu
黄芪,huang'qi
黄芩,huang'qin
黄藤,huang'teng
黄药子,huang'yao'zi
黄芫花,huang'yuan'hua
晦暗,hui'an
蛔虫上扰,hui'chong'shang'rao
蛔厥,hui'jue
蛔厥证,hui'jue'zheng
溃脓期,hui'nong'qi
茴香,hui'xiang
回阳救逆,hui'yang'jiu'ni
混睛障,hun'jing'zhang
昏厥,hun'jue
昏溃期,hun'kui'qi
火赤疮,huo'chi'chuang
火毒,huo'du
火毒炽盛,huo'du'chi'sheng
火毒炽盛气血凝结,huo'du'chi'sheng'qi'xue'ning'jie
火毒炽盛热入营血,huo'du'chi'sheng're'ru'ying'xue
火毒传肺,huo'du'chuan'fei
火毒传肝,huo'du'chuan'gan
火毒传脾,huo'du'chuan'pi
火毒传肾,huo'du'chuan'shen
火毒传心,huo'du'chuan'xin
火毒窜络,huo'du'cuan'luo
火毒攻目,huo'du'gong'mu
火毒困结,huo'du'kun'jie
火毒内攻,huo'du'nei'gong
火毒内陷,huo'du'nei'xian
火毒凝结,huo'du'ning'jie
火毒迫血,huo'du'po'xue
火毒入络,huo'du'ru'luo
火毒入营,huo'du'ru'ying
火毒上攻,huo'du'shang'gong
火毒伤津,huo'du'shang'jin
火毒伤阴,huo'du'shang'yin
火毒外泄,huo'du'wai'xie
火毒壅盛,huo'du'yong'sheng
火毒郁结,huo'du'yu'jie
火毒蕴结,huo'du'yun'jie
火疳病,huo'gan'bing
霍乱,huo'luan
霍乱转筋,huo'luan'zhuan'jin
火麻仁,huo'ma'ren
霍佩兰,huo'pei'lan
火热,huo're
火热炽盛,huo're'chi'sheng
火热扰心,huo're'rao'xin
火热伤津,huo're'shang'jin
火热伤阴,huo're'shang'yin
火热邪毒壅盛,huo're'xie'du'yong'sheng
火盛伤阴,huo'sheng'shang'yin
豁痰,huo'tan
火炭母,huo'tan'mu
藿香,huo'xiang
火邪,huo'xie
火邪郁结,huo'xie'yu'jie
活血,huo'xue
活血化瘀,huo'xue'hua'yu
活血祛瘀,huo'xue'qu'yu
活血通经,huo'xue'tong'jing
活血行瘀,huo'xue'xing'yu
肌痹,ji'bi
脊痹,ji'bi
疾病,ji'bing
积病,ji'bing
既病防变,ji'bing'fang'bian
荠菜,ji'cai
荠草,ji'cao
济川煎,ji'chuan'jian
急风病,ji'feng'bing
肌肤甲错,ji'fu'jia'cuo
鸡骨草,ji'gu'cao
鸡冠花,ji'guan'hua
急喉痹病,ji'hou'bi'bing
急喉病,ji'hou'bing
急喉风病,ji'hou'feng'bing
急黄病,ji'huang'bing
激经,ji'jing
急惊风,ji'jing'feng
急惊风病,ji'jing'feng'bing
积聚,ji'ju
积聚病,ji'ju'bing
蒺藜,ji'li
檵木叶,ji'mu'ye
鸡内金,ji'nei'jin
急热惊风,ji're'jing'feng
急乳蛾病,ji'ru'e'bing
肌若鱼鳞,ji'ruo'yu'lin
济湿,ji'shi
鸡矢藤,ji'shi'teng
及巳,ji'si
鸡头,ji'tou
肌痿,ji'wei
急下存阴,ji'xia'cun'yin
吉祥草,ji'xiang'cao
急性肾衰,ji'xing'shen'shuai
急性子,ji'xing'zi
鸡胸,ji'xiong
积雪草,ji'xue'cao
鸡血藤,ji'xue'teng
疾医,ji'yi
积瘀化热证,ji'yu'hua're'zheng
积滞病,ji'zhi'bing
积滞伤胃证,ji'zhi'shang'wei'zheng
瘕病,jia'bing
甲鱼骨,jia'yu'gu
肩痹,jian'bi
见愁,jian'chou
茧唇口,jian'chun'kou
碱花,jian'hua
睑内结石,jian'nei'jie'shi
健脾化湿,jian'pi'hua'shi
建曲,jian'qu
健胃,jian'wei
睑弦赤烂,jian'xian'chi'lan
见形期,jian'xing'qi
姜半夏,jiang'ban'xia
僵蚕,jiang'can
姜草果仁,jiang'cao'guo'ren
姜厚朴,jiang'hou'po
姜黄,jiang'huang
降火,jiang'huo
将军,jiang'jun
江漏,jiang'lou
姜皮,jiang'pi
降气,jiang'qi
降香,jiang'xiang
降心火,jiang'xin'huo
姜汁,jiang'zhi
交肠,jiao'chang
椒疮,jiao'chuang
角弓反张,jiao'gong'fan'zhang
绞股兰,jiao'gu'lan
绞股蓝,jiao'gu'lan
脚挛急,jiao'luan'ji
椒目,jiao'mu
胶囊,jiao'nang
脚气冲心,jiao'qi'chong'xin
脚气水肿,jiao'qi'shui'zhong
焦三仙,jiao'san'xian
焦山楂,jiao'shan'zha
脚湿气病,jiao'shi'qi'bing
疖病,jie'bing
桔梗,jie'geng
解肌,jie'ji
解痉,jie'jing
洁净府,jie'jing'fu
解颅,jie'lu
解颅病,jie'lu'bing
解热,jie're
界线型,jie'xian'xing
结胸,jie'xiong
结阳,jie'yang
结阴,jie'yin
芥子,jie'zi
筋痹,jin'bi
筋弛,jin'chi
锦灯笼,jin'deng'long
筋断筋伤证,jin'duan'jin'shang'zheng
禁方,jin'fang
金沸草,jin'fei'cao
噤风,jin'feng
金疳病,jin'gan'bing
金狗脊,jin'gou'ji
筋骨不用证,jin'gu'bu'yong'zheng
筋骨草,jin'gu'cao
金果榄,jin'guo'lan
筋急,jin'ji
金锦香,jin'jin'xiang
金精石,jin'jing'shi
津枯肠结,jin'ku'chang'jie
津亏热结,jin'kui're'jie
金莲花,jin'lian'hua
筋瘤病,jin'liu'bing
筋脉失养证,jin'mai'shi'yang'zheng
金礞石,jin'meng'shi
津气欲脱,jin'qi'yu'tuo
金钱白花蛇,jin'qian'bai'hua'she
金钱草,jin'qian'cao
金乔麦,jin'qiao'mai
金荞麦,jin'qiao'mai
金沙藤,jin'sha'teng
津伤肠燥,jin'shang'chang'zao
津伤化燥,jin'shang'hua'zao
筋惕,jin'ti
金铁销,jin'tie'xiao
筋痿,jin'wei
锦纹,jin'wen
进行期,jin'xing'qi
津液,jin'ye
津液干枯,jin'ye'gan'ku
金叶金兰,jin'ye'jin'lan
津液亏,jin'ye'kui
津液亏损,jin'ye'kui'sun
金银花,jin'yin'hua
金樱子,jin'ying'zi
金缨子,jin'ying'zi
金樱子肉,jin'ying'zi'rou
筋之府,jin'zhi'fu
京半夏,jing'ban'xia
痉病,jing'bing
京大戟,jing'da'ji
经方,jing'fang
惊风病,jing'feng'bing
惊风四症八侯,jing'feng'si'zheng'ba'hou
精关不固,jing'guan'bu'gu
惊悸,jing'ji
荆芥,jing'jie
荆芥炭,jing'jie'tan
惊厥,jing'jue
痉咳期,jing'ke'qi
惊恐惊风,jing'kong'jing'feng
惊恐痉厥,jing'kong'jing'jue
惊恐气逆,jing'kong'qi'ni
惊恐伤神证,jing'kong'shang'shen'zheng
惊恐伤肾证,jing'kong'shang'shen'zheng
惊恐证,jing'kong'zheng
惊狂,jing'kuang
精癃病,jing'long'bing
经络,jing'luo
经络瘀滞证,jing'luo'yu'zhi'zheng
经络瘀阻证,jing'luo'yu'zu'zheng
经脉搏瘀阻证,jing'mai'bo'yu'zu'zheng
京墨,jing'mo
精气夺则虚,jing'qi'duo'ze'xu
经期延长病,jing'qi'yan'chang'bing
京三棱,jing'san'leng
荆三棱,jing'san'leng
经水后期,jing'shui'hou'qi
经水适断,jing'shui'shi'duan
经水适来,jing'shui'shi'lai
经水先期,jing'shui'xian'qi
经隧,jing'sui
景天三七,jing'tian'san'qi
惊痫,jing'xian
经行发热,jing'xing'fa're
经行风疹块,jing'xing'feng'zhen'kuai
经行浮肿,jing'xing'fu'zhong
经行口糜,jing'xing'kou'mi
经行情志异常,jing'xing'qing'zhi'yi'chang
经行乳房胀痛,jing'xing'ru'fang'zhang'tong
经行身痛,jing'xing'shen'tong
经行头痛,jing'xing'tou'tong
经行吐衄,jing'xing'tu'nv
经行泄泻,jing'xing'xie'xie
经行眩晕,jing'xing'xuan'yun
精血亏虚证,jing'xue'kui'xu'zheng
颈痈病,jing'yong'bing
惊震内障病,jing'zhen'nei'zhang'bing
精浊病,jing'zhuo'bing
救必应,jiu'bi'ying
久病伤阴虚火上炎,jiu'bing'shang'yin'xu'huo'shang'yan
久病伤阴证,jiu'bing'shang'yin'zheng
韭菜子,jiu'cai'zi
灸草,jiu'cao
酒常山,jiu'chang'shan
酒川芎,jiu'chuan'xiong
酒大黄,jiu'da'huang
酒丹参,jiu'dan'shen
酒当归,jiu'dang'gui
酒黄连,jiu'huang'lian
酒黄芩,jiu'huang'qin
九节茶,jiu'jie'cha
九节菖蒲,jiu'jie'chang'pu
酒厥,jiu'jue
九里明,jiu'li'ming
九里香,jiu'li'xiang
久聋病,jiu'long'bing
九龙根,jiu'long'gen
酒女贞子,jiu'nv'zhen'zi
九窍,jiu'qiao
九头狮子草,jiu'tou'shi'zi'cao
酒乌梢蛇,jiu'wu'shao'she
酒仙茅,jiu'xian'mao
九香虫,jiu'xiang'chong
久泄,jiu'xie
救阴,jiu'yin
九脏,jiu'zang
酒齄鼻病,jiu'zha'bi'bing
九种心痛,jiu'zhong'xin'tong
韭子,jiu'zi
橘白,ju'bai
聚病,ju'bing
橘核,ju'he
橘红,ju'hong
菊花,ju'hua
拘急,ju'ji
居经,ju'jing
菊苣,ju'ju
橘络,ju'luo
橘皮,ju'pi
聚星障病,ju'xing'zhang'bing
苣英菜,ju'ying'cai
举元煎,ju'yuan'jian
卷柏,juan'bai
卷丹,juan'dan
厥病,jue'bing
爵床,jue'chuang
绝经前后诸病,jue'jing'qian'hou'zhu'bing
决明,jue'ming
决明子,jue'ming'zi
厥逆,jue'ni
厥头痛,jue'tou'tong
厥脱,jue'tuo
厥心痛,jue'xin'tong
厥阴,jue'yin
厥阴病,jue'yin'bing
厥阴寒格,jue'yin'han'ge
厥阴蛔厥,jue'yin'hui'jue
厥阴厥,jue'yin'jue
厥阴呕哕,jue'yin'ou'hui
厥阴热迫大肠,jue'yin're'po'da'chang
厥阴上热下寒,jue'yin'shang're'xia'han
厥阴上热下寒阴虚,jue'yin'shang're'xia'han'yin'xu
厥阴下利,jue'yin'xia'li
厥阴血虚寒郁,jue'yin'xue'xu'han'yu
厥阴证,jue'yin'zheng
厥证,jue'zheng
皲裂,jun'lie
峻下逐水,jun'xia'zhu'shui
君相火动,jun'xiang'huo'dong
君相火旺,jun'xiang'huo'wang
咯血病,ka'xie'bing
开闭,kai'bi
开鬼门,kai'gui'men
开金锁,kai'jin'suo
开窍,kai'qiao
开窍除痰,kai'qiao'chu'tan
开窍于舌,kai'qiao'yu'she
开胃,kai'wei
开泄,kai'xie
客气上逆,ke'qi'shang'ni
咳嗽,ke'sou
咳嗽病,ke'sou'bing
咳血,ke'xue
咳血方,ke'xue'fang
恐惧伤肾,kong'ju'shang'shen
空窍,kong'qiao
空青,kong'qing
口不仁,kou'bu'ren
口齿病龋齿,kou'chi'bing'qu'chi
口疮,kou'chuang
口噤,kou'jin
口糜,kou'mi
口糜病,kou'mi'bing
口僻,kou'pi
口舌痰包者,kou'she'tan'bao'zhe
口眼歪斜,kou'yan'wai'xie
口中和,kou'zhong'he
苦菜,ku'cai
枯草,ku'cao
苦地丁,ku'di'ding
苦丁茶,ku'ding'cha
苦豆草,ku'dou'cao
枯矾,ku'fan
苦瓜干,ku'gua'gan
苦酒,ku'jiu
苦楝皮,ku'lian'pi
枯苓,ku'ling
苦木,ku'mu
枯涩,ku'se
苦参,ku'shen
苦石莲,ku'shi'lian
苦杏仁,ku'xing'ren
苦竹叶,ku'zhu'ye
胯腹痈病,kua'fu'yong'bing
款冬花,kuan'dong'hua
宽筋藤,kuan'jin'teng
宽中开郁,kuan'zhong'kai'yu
狂病,kuang'bing
溃后期,kui'hou'qi
溃疡,kui'yang
昆布,kun'bu
辣蓼,la'liao
