阿尼林油,a'ni'lin'you
棉胶塑料,mian'jiao'su'liao
明矾,ming'fan
明胶,ming'jiao
莫尔盐,mo'er'yan
摩尔盐,mo'er'yan
木醇,mu'chun
木精,mu'jing
木酒精,mu'jiu'jing
钼酸,mu'suan
钼酸铵,mu'suan'an
木糖醇,mu'tang'chun
木戊五醇,mu'wu'wu'chun
纳夫妥,na'fu'tuo
萘胺,nai'an
萘醋酸,nai'cu'suan
萘酚,nai'fen
萘酚酸,nai'fen'suan
萘乙酸,nai'yi'suan
尼龙,ni'long
脲甲醛树脂,niao'jia'quan'shu'zhi
尿素,niao'su
尿素甲醛,niao'su'jia'quan
柠檬铬黄,ning'meng'ge'huang
