安汉广场,an'han'guang'chang
福音圣堂,fu'yin'sheng'tang
高坪机场,gao'ping'ji'chang
格兰春天,ge'lan'chun'tian
公交公司,gong'jiao'gong'si
公交公司新区,gong'jiao'gong'si'xin'qu
公交清泉站,gong'jiao'qing'quan'zhan
共兴,gong'xing
共兴场口,gong'xing'chang'kou
光彩大市场,guang'cai'da'shi'chang
光彩大市场北站,guang'cai'da'shi'chang'bei'zhan
光彩大市场西站,guang'cai'da'shi'chang'xi'zhan
桂花路口,gui'hua'lu'kou
果城路,guo'cheng'lu
果山街口,guo'shan'jie'kou
海山半岛,hai'shan'ban'dao
航空港西区站,hang'kong'gang'xi'qu'zhan
河东街,he'dong'jie
河东街口,he'dong'jie'kou
何家观,he'jia'guan
鹤鸣大道,he'ming'da'dao
鹤鸣东路,he'ming'dong'lu
鹤鸣东路口,he'ming'dong'lu'kou
鹤鸣花园,he'ming'hua'yuan
鹤鸣西路,he'ming'xi'lu
和平东路,he'ping'dong'lu
和平桥,he'ping'qiao
和平西路,he'ping'xi'lu
横街口,heng'jie'kou
红花街口,hong'hua'jie'kou
红牌楼,hong'pai'lou
候家院子,hou'jia'yuan'zi
猴子石,hou'zi'shi
华凤镇,hua'feng'zhen
花椒坝,hua'jiao'ba
华山街口,hua'shan'jie'kou
华塑,hua'su
环峰路,huan'feng'lu
环塔路,huan'ta'lu
桓子河大桥,huan'zi'he'da'qiao
黄连湾,huang'lian'wan
火车东站,huo'che'dong'zhan
火车客站,huo'che'ke'zhan
火花路,huo'hua'lu
机场路口,ji'chang'lu'kou
疾控中心,ji'kong'zhong'xin
吉隆街口,ji'long'jie'kou
稽征所,ji'zheng'suo
贾家坝,jia'jia'ba
嘉陵江二桥,jia'ling'jiang'er'qiao
嘉陵江三桥,jia'ling'jiang'san'qiao
嘉陵美食街二段,jia'ling'mei'shi'jie'er'duan
嘉陵美食街一段,jia'ling'mei'shi'jie'yi'duan
嘉南路口,jia'nan'lu'kou
嘉西路,jia'xi'lu
嘉西路口,jia'xi'lu'kou
加油站,jia'you'zhan
建材市场,jian'cai'shi'chang
建业路,jian'ye'lu
建业路口,jian'ye'lu'kou
将军路,jiang'jun'lu
解放街,jie'fang'jie
金岭街,jin'ling'jie
金泉路,jin'quan'lu
金泉路口,jin'quan'lu'kou
金色愿景,jin'se'yuan'jing
金山桥,jin'shan'qiao
金水岸,jin'shui'an
锦泰绢纺,jin'tai'juan'fang
金益路口,jin'yi'lu'kou
金鱼岭,jin'yu'ling
金鱼岭路,jin'yu'ling'lu
金鱼岭正街,jin'yu'ling'zheng'jie
经济学院,jing'ji'xue'yuan
荆溪道班,jing'xi'dao'ban
荆溪河,jing'xi'he
荆溪老场口,jing'xi'lao'chang'kou
景祥路,jing'xiang'lu
晶莹路口,jing'ying'lu'kou
桔凤垭,ju'feng'ya
开汉楼景区,kai'han'lou'jing'qu
康达汽配,kang'da'qi'pei
康路汽配,kang'lu'qi'pei
科苑街口,ke'yuan'jie'kou
奎星街,kui'xing'jie
老观庙村,lao'guan'miao'cun
老观庙桥,lao'guan'miao'qiao
老角垭,lao'jiao'ya
老角垭口,lao'jiao'ya'kou
老挖沟,lao'wa'gou
老西桥,lao'xi'qiao
李家垭口,li'jia'ya'kou
丽景花园,li'jing'hua'yuan
凉凤垭,liang'feng'ya
林家坝,lin'jia'ba
临江北路,lin'jiang'bei'lu
临溪街口,lin'xi'jie'kou
凌云山风景区,ling'yun'shan'feng'jing'qu
柳林路,liu'lin'lu
龙吟水郡,long'yin'shui'jun
罗家山,luo'jia'shan
罗瑞卿纪念馆,luo'rui'qing'ji'nian'guan
马官垭卫生站,ma'guan'ya'wei'sheng'zhan
麻光庙,ma'guang'miao
蚂蝗堰,ma'huang'yan
麻柳湾,ma'liu'wan
马市铺,ma'shi'pu
马市铺路,ma'shi'pu'lu
麦秀路,mai'xiu'lu
茂源路,mao'yuan'lu
模范上街,mo'fan'shang'jie
模范下街,mo'fan'xia'jie
木老,mu'lao
木芋山,mu'yu'shan
南充港,nan'chong'gang
南充卫校,nan'chong'wei'xiao
南充中专,nan'chong'zhong'zhuan
南虹路口,nan'hong'lu'kou
南虹路四段,nan'hong'lu'si'duan
南门北街,nan'men'bei'jie
南门生态公园,nan'men'sheng'tai'gong'yuan
南前路,nan'qian'lu
南新路口,nan'xin'lu'kou
南运集团驾校,nan'yun'ji'tuan'jia'xiao
内空寺,nei'kong'si
内燃机厂,nei'ran'ji'chang
宁安巷口,ning'an'xiang'kou
农贸市场,nong'mao'shi'chang
潘家湾,pan'jia'wan
庞家寨,pang'jia'zhai
平城街,ping'cheng'jie
七星桥,qi'xing'qiao
汽修厂,qi'xiu'chang
千年绸都第一坊,qian'nian'chou'du'di'yi'fang
琴台路口,qin'tai'lu'kou
沁园路口,qin'yuan'lu'kou
清风北路,qing'feng'bei'lu
清风北路口,qing'feng'bei'lu'kou
清风南路,qing'feng'nan'lu
青莲场,qing'lian'chang
青莲场口,qing'lian'chang'kou
青莲道班,qing'lian'dao'ban
青莲桥,qing'lian'qiao
青年街,qing'nian'jie
青年街口,qing'nian'jie'kou
清泉寺,qing'quan'si
青松,qing'song
青松路,qing'song'lu
清溪路,qing'xi'lu
群兴南路口,qun'xing'nan'lu'kou
绕城路口,rao'cheng'lu'kou
人民北路,ren'min'bei'lu
人民花园,ren'min'hua'yuan
人民中路,ren'min'zhong'lu
三步街,san'bu'jie
三步街口,san'bu'jie'kou
三角花园,san'jiao'hua'yuan
桑园坝大市场,sang'yuan'ba'da'shi'chang
桑园路口,sang'yuan'lu'kou
山边,shan'bian
射洪庙,she'hong'miao
什字上街口,shen'zi'shang'jie'kou
什字下街,shen'zi'xia'jie
师大路一段,shi'da'lu'yi'duan
市工商银行,shi'gong'shang'yin'hang
市三医院,shi'san'yi'yuan
十一中学,shi'yi'zhong'xue
石油财经校,shi'you'cai'jing'xiao
石油大学,shi'you'da'xue
石油东路,shi'you'dong'lu
石油东路口,shi'you'dong'lu'kou
石油后街口,shi'you'hou'jie'kou
石油南路,shi'you'nan'lu
石油南路口,shi'you'nan'lu'kou
石油西路,shi'you'xi'lu
石油西路口,shi'you'xi'lu'kou
市政府东区,shi'zheng'fu'dong'qu
市政府新区,shi'zheng'fu'xin'qu
收费站,shou'fei'zhan
输气队,shu'qi'dui
树人路,shu'ren'lu
树人路口,shu'ren'lu'kou
水井坡,shui'jing'po
顺庆区政府,shun'qing'qu'zheng'fu
丝绸村,si'chou'cun
丝绸路口,si'chou'lu'kou
斯家坡,si'jia'po
松航路,song'hang'lu
松林路,song'lin'lu
松林路口,song'lin'lu'kou
松林坡,song'lin'po
苏家坡,su'jia'po
孙家堰,sun'jia'yan
太阳山,tai'yang'shan
坛罐窖,tan'guan'jiao
谭家坝,tan'jia'ba
塘口丫,tang'kou'ya
天工街口,tian'gong'jie'kou
天龙大酒店,tian'long'da'jiu'dian
铁昌路,tie'chang'lu
铁昌路口,tie'chang'lu'kou
铁欣路,tie'xin'lu
铁欣路口,tie'xin'lu'kou
头洞桥,tou'dong'qiao
外语学院,wai'yu'xue'yuan
万卷楼景区,wan'juan'lou'jing'qu
万年东路,wan'nian'dong'lu
万年西路,wan'nian'xi'lu
望鹤路一段,wang'he'lu'yi'duan
王家店,wang'jia'dian
王家沟,wang'jia'gou
王家咀,wang'jia'ju
维康路二段,wei'kang'lu'er'duan
维康路三段,wei'kang'lu'san'duan
文村街,wen'cun'jie
文峰,wen'feng
文峰大道,wen'feng'da'dao
文峰街,wen'feng'jie
文化路口,wen'hua'lu'kou
文家大柏树,wen'jia'da'bai'shu
文明街口,wen'ming'jie'kou
文渊街,wen'yuan'jie
文正街,wen'zheng'jie
五洞桥,wu'dong'qiao
舞凤中学,wu'feng'zhong'xue
五环花园,wu'huan'hua'yuan
伍家坡,wu'jia'po
伍家垭,wu'jia'ya
五星花园,wu'xing'hua'yuan
西河南路,xi'he'nan'lu
西河南路口,xi'he'nan'lu'kou
西河中路,xi'he'zhong'lu
西河中路口,xi'he'zhong'lu'kou
西华路,xi'hua'lu
西门坝街,xi'men'ba'jie
西门市场,xi'men'shi'chang
西山风景区,xi'shan'feng'jing'qu
西山广场,xi'shan'guang'chang
希望小学,xi'wang'xiao'xue
希望学院,xi'wang'xue'yuan
西兴小学,xi'xing'xiao'xue
西兴医院,xi'xing'yi'yuan
西藏路,xi'zang'lu
仙鹤街,xian'he'jie
仙鹤街口,xian'he'jie'kou
小龙,xiao'long
小龙门,xiao'long'men
小桥子,xiao'qiao'zi
小西街,xiao'xi'jie
小西街口,xiao'xi'jie'kou
小西门,xiao'xi'men
新东豪园,xin'dong'hao'yuan
新街口,xin'jie'kou
新桥,xin'qiao
兴隆垭,xing'long'ya
兴源街口,xing'yuan'jie'kou
许青路,xu'qing'lu
许青路口,xu'qing'lu'kou
学院大道,xue'yuan'da'dao
学院街,xue'yuan'jie
雅凤路口,ya'feng'lu'kou
延安路,yan'an'lu
延安路口,yan'an'lu'kou
盐库,yan'ku
阳春路,yang'chun'lu
阳春路口,yang'chun'lu'kou
阳光大道,yang'guang'da'dao
杨家坝,yang'jia'ba
杨家桥,yang'jia'qiao
杨家巷,yang'jia'xiang
姚家湾,yao'jia'wan
耀目路,yao'mu'lu
宜川街,yi'chuan'jie
宜川街口,yi'chuan'jie'kou
仪凤街,yi'feng'jie
一立路口,yi'li'lu'kou
英才街口,ying'cai'jie'kou
潆康北路,ying'kang'bei'lu
潆康北路口,ying'kang'bei'lu'kou
营门口,ying'men'kou
潆溪,ying'xi
潆兴北街,ying'xing'bei'jie
潆兴北街口,ying'xing'bei'jie'kou
潆兴西街口,ying'xing'xi'jie'kou
永荣街,yong'rong'jie
永荣街口,yong'rong'jie'kou
友合市场,you'he'shi'chang
于陛路口,yu'bi'lu'kou
玉带北路,yu'dai'bei'lu
玉带花园,yu'dai'hua'yuan
玉带路口,yu'dai'lu'kou
玉带南路,yu'dai'nan'lu
玉带南路口,yu'dai'nan'lu'kou
玉带桥,yu'dai'qiao
玉带中路,yu'dai'zhong'lu
玉带中路口,yu'dai'zhong'lu'kou
誉峰小区,yu'feng'xiao'qu
玉桂苑,yu'gui'yuan
育英路,yu'ying'lu
元宝街,yuan'bao'jie
元宝街口,yuan'bao'jie'kou
袁家湾,yuan'jia'wan
月亮湾小区,yue'liang'wan'xiao'qu
张家坝,zhang'jia'ba
张家溪,zhang'jia'xi
张澜纪念馆,zhang'lan'ji'nian'guan
赵家沟,zhao'jia'gou
赵家湾,zhao'jia'wan
镇江东路一段,zhen'jiang'dong'lu'yi'duan
镇泰路,zhen'tai'lu
镇泰路口,zhen'tai'lu'kou
政府花园,zheng'fu'hua'yuan
郑家湾,zheng'jia'wan
正阳路,zheng'yang'lu
正阳路口,zheng'yang'lu'kou
智达路,zhi'da'lu
肿瘤医院,zhong'liu'yi'yuan
中心医院,zhong'xin'yi'yuan
驻春路,zhu'chun'lu
朱家滩,zhu'jia'tan
猪山,zhu'shan
紫府路,zi'fu'lu
紫府路口,zi'fu'lu'kou
紫府路中段,zi'fu'lu'zhong'duan
