鹌鹑蛋,an'chun'dan
老豆腐,lao'dou'fu
老干妈,lao'gan'ma
老南瓜,lao'nan'gua
李锦记沙茶酱,li'jin'ji'sha'cha'jiang
李锦记虾酱,li'jin'ji'xia'jiang
李锦记蒸鱼豉油,li'jin'ji'zheng'yu'chi'you
莲花味精,lian'hua'wei'jing
莲心,lian'xin
龙须面,long'xu'mian
卤菜,lu'cai
芦蒿,lu'hao
罗汉笋尖,luo'han'sun'jian
螺丝肉,luo'si'rou
绿豆,lv'dou
绿豆粉丝,lv'dou'fen'si
绿豆仁,lv'dou'ren
绿豆芽,lv'dou'ya
马蹄,ma'ti
毛豆节,mao'dou'jie
美国鸡粉,mei'guo'ji'fen
面包,mian'bao
面粉,mian'fen
蘑菇,mo'gu
魔芋丝,mo'yu'si
嫩豆腐,nen'dou'fu
年糕,nian'gao
柠檬,ning'meng
牛肝菌,niu'gan'jun
浓缩鸡汁,nong'suo'ji'zhi
蓬花菜,peng'hua'cai
平菇,ping'gu
苹果,ping'guo
葡萄干,pu'tao'gan
茄子,qie'zi
芹菜,qin'cai
青豆,qing'dou
青椒,qing'jiao
青芥辣,qing'jie'la
青柠檬,qing'ning'meng
青蒜,qing'suan
球生菜,qiu'sheng'cai
日本保鲜膜,ri'ben'bao'xian'mo
日本豆腐,ri'ben'dou'fu
日本酱油,ri'ben'jiang'you
肉鸡,rou'ji
散白胡椒粉,san'bai'hu'jiao'fen
沙参,sha'shen
山药,shan'yao
烧饼,shao'bing
生菜,sheng'cai
生抽,sheng'chou
生姜,sheng'jiang
圣女果,sheng'nv'guo
什锦菜,shi'jin'cai
十三香,shi'san'xiang
水晶粉丝,shui'jing'fen'si
四川辣油,si'chuan'la'you
丝瓜,si'gua
松肉粉,song'rou'fen
酸豆角,suan'dou'jiao
蒜肉,suan'rou
蒜苔,suan'tai
碎腰果,sui'yao'guo
泰国大米,tai'guo'da'mi
特丽素,te'li'su
天麻片,tian'ma'pian
土豆,tu'dou
娃娃菜,wa'wa'cai
外婆菜,wai'po'cai
万年青,wan'nian'qing
万紫千红,wan'zi'qian'hong
味极鲜,wei'ji'xian
味精,wei'jing
莴笋,wo'sun
午餐肉,wu'can'rou
西瓜,xi'gua
西葫芦,xi'hu'lu
西兰花,xi'lan'hua
西芹,xi'qin
鲜韭菜花,xian'jiu'cai'hua
箱白醋,xiang'bai'cu
香葱,xiang'cong
箱番茄酱,xiang'fan'qie'jiang
香干,xiang'gan
香菇,xiang'gu
箱鸡蛋,xiang'ji'dan
箱鸡精,xiang'ji'jing
香茅草,xiang'mao'cao
小菠菜,xiao'bo'cai
小宽面,xiao'kuan'mian
小米椒,xiao'mi'jiao
小米辣,xiao'mi'la
小青菜,xiao'qing'cai
小香菜,xiao'xiang'cai
小洋兰,xiao'yang'lan
心里美,xin'li'mei
杏鲍菇,xing'bao'gu
盐卤豆腐,yan'lu'dou'fu
洋葱,yang'cong
阳江豆豉,yang'jiang'dou'chi
椰皇,ye'huang
夜开花,ye'kai'hua
以上客户新干线,yi'shang'ke'hu'xin'gan'xian
以上客户印度,yi'shang'ke'hu'yin'du
银芽,yin'ya
油豆腐,you'dou'fu
油豆腐皮,you'dou'fu'pi
幼滑虾酱,you'hua'xia'jiang
油麦菜,you'mai'cai
油面筋,you'mian'jin
御贡大米,yu'gong'da'mi
玉米,yu'mi
芋艿,yu'nai
鱼酸菜,yu'suan'cai
圆彩椒,yuan'cai'jiao
圆椒,yuan'jiao
圆拉面,yuan'la'mian
杂粮包,za'liang'bao
榨菜,zha'cai
镇江香醋,zhen'jiang'xiang'cu
整腰果,zheng'yao'guo
中段藕,zhong'duan'ou
中素鸡,zhong'su'ji
柱候酱,zhu'hou'jiang
猪肉,zhu'rou
竹荪,zhu'sun
紫菜头,zi'cai'tou
紫草,zi'cao
紫芥蓝,zi'gai'lan
孜然,zi'ran
孜然粉,zi'ran'fen
