阿公,a'gong
出血,chu'xie
船闸,chuan'zha
戳捎啊,chuo'shao'a
戳稍啦,chuo'shao'la
大笨象,da'ben'xiang
大公孙,da'gong'sun
大机头,da'ji'tou
打鸡针,da'ji'zhen
大笼籺,da'long'he
大娘,da'niang
大头苍蝇,da'tou'cang'ying
大头何,da'tou'he
大头猛,da'tou'meng
大眼鸡,da'yan'ji
大只佬,da'zhi'lao
搭注,da'zhu
大姊,da'zi
大宗,da'zong
呆意,dai'yi
弹波子,dan'bo'zi
刀北,dao'bei
得分,de'fen
得试试一,de'shi'shi'yi
得闲,de'xian
得闲无,de'xian'wu
得意,de'yi
抵力,di'li
抵手,di'shou
抵死,di'si
低意,di'yi
颠堆,dian'dui
电发,dian'fa
癫公废仔,dian'gong'fei'zai
癫佬,dian'lao
癫婆,dian'po
电鱼机,dian'yu'ji
癫仔,dian'zai
吊红,diao'hong
跌断脚骨,die'duan'jiao'gu
跌断手骨,die'duan'shou'gu
跌跤,die'jiao
爹渣佬,die'zha'lao
定分,ding'fen
鼎红,ding'hong
顶颈,ding'jing
定局,ding'ju
丢骨,diu'gu
丢面,diu'mian
东坡亭,dong'po'ting
栋企,dong'qi
豆豉,dou'chi
逗火,dou'huo
肚煲,du'bao
肚煲痛,du'bao'tong
肚屙,du'e
督黄蜂托,du'huang'feng'tuo
督台球,du'tai'qiu
督卒,du'zu
短袖衫,duan'xiu'shan
炖边炉,dun'bian'lu
屙尿,e'niao
屙屁,e'pi
屙屎,e'shi
屙屎无出赖地硬,e'shi'wu'chu'lai'di'ying
二两鹤,er'liang'he
耳屎,er'shi
发大水,fa'da'shui
发膏籺,fa'gao'he
发籺,fa'he
发花癫,fa'hua'dian
发梦,fa'meng
发效,fa'xiao
发性,fa'xing
番菠萝,fan'bo'luo
翻风,fan'feng
反骨,fan'gu
反骨仔,fan'gu'zai
番鬼佬,fan'gui'lao
翻蛮,fan'man
番薯,fan'shu
翻塔脚,fan'ta'jiao
蕃桃,fan'tao
番桃,fan'tao
蕃桃树,fan'tao'shu
废戳,fei'chuo
飞发,fei'fa
废过,fei'guo
废火,fei'huo
肥佬,fei'lao
飞轮鸡,fei'lun'ji
废妹,fei'mei
费事,fei'shi
费事捞你讲,fei'shi'lao'ni'jiang
飞鼠,fei'shu
非洲鱼,fei'zhou'yu
粉肠,fen'chang
分滴我,fen'di'wo
粉佬,fen'lao
粉仔,fen'zai
封包,feng'bao
风门岭,feng'men'ling
蜂糖,feng'tang
弗沙,fu'sha
服侍,fu'shi
噶机,ga'ji
旮旯遮,ga'la'zhe
嘎叻,ga'le
噶只,ga'zhi
敢嘎菜,gan'ga'cai
钢锯,gang'ju
缸瓦街,gang'wa'jie
搞掂,gao'dian
高关,gao'guan
高佬,gao'lao
搞乱线诶,gao'luan'xian'ei
搞事,gao'shi
搞屎棍,gao'shi'gun
高丝,gao'si
高遮,gao'zhe
搞直着,gao'zhi'zhe
佮份,ge'fen
割禾,ge'he
隔家兄弟,ge'jia'xiong'di
隔篱,ge'li
葛薯,ge'shu
割心菜,ge'xin'cai
公儿,gong'er
够衬,gou'chen
够力,gou'li
狗啰啰,gou'luo'luo
狗毛虫,gou'mao'chong
够皮,gou'pi
谷拔,gu'ba
谷插,gu'cha
姑公,gu'gong
姑婆,gu'po
挂锋头,gua'feng'tou
寡光佬,gua'guang'lao
瓜皮,gua'pi
瓜皮醋,gua'pi'cu
瓜素,gua'su
掴靶,guai'ba
掴出肠你,guai'chu'chang'ni
掴地主,guai'di'zhu
掴跤,guai'jiao
掴烂砂煲无米煮,guai'lan'sha'bao'wu'mi'zhu
掴麻将,guai'ma'jiang
掴天九,guai'tian'jiu
乖嘴,guai'zui
灌土狗,guan'tu'gou
鬼掴,gui'guai
鬼马,gui'ma
桂香饼,gui'xiang'bing
滚拢,gun'long
滚拢队,gun'long'dui
滚水,gun'shui
果戳,guo'chuo
果低讲,guo'di'jiang
果内,guo'nei
嗨粉,hai'fen
海角亭,hai'jiao'ting
海碗,hai'wan
海鲜粉,hai'xian'fen
害羞草,hai'xiu'cao
好出奇啊,hao'chu'qi'a
好惊,hao'jing
好惊死,hao'jing'si
好内,hao'nei
好仔,hao'zai
禾叉,he'cha
禾牤草,he'mang'cao
禾牤棚,he'mang'peng
合浦,he'pu
合浦大道,he'pu'da'dao
合浦郡,he'pu'jun
合浦师范,he'pu'shi'fan
合浦县,he'pu'xian
核突,he'tu
禾虾,he'xia
何鱼,he'yu
黑佬,hei'lao
黑妹,hei'mei
红花低,hong'hua'di
红林,hong'lin
红林宾馆,hong'lin'bin'guan
红旗村,hong'qi'cun
哄人,hong'ren
红太阳,hong'tai'yang
后生,hou'sheng
后生仔,hou'sheng'zai
花楼,hua'lou
化钱龙,hua'qian'long
花洒,hua'sa
花生糖,hua'sheng'tang
滑嘴,hua'zui
槐花粉,huai'hua'fen
还珠宾馆,huan'zhu'bin'guan
还珠广场,huan'zhu'guang'chang
还珠南路,huan'zhu'nan'lu
还珠桥,huan'zhu'qiao
黄蜂托,huang'feng'tuo
灰佬,hui'lao
火筒菜,huo'tong'cai
吉次,ji'ci
激次,ji'ci
几得意,ji'de'yi
吉机,ji'ji
激机,ji'ji
鸡街,ji'jie
鸡捞鸭讲,ji'lao'ya'jiang
几内,ji'nei
鸡婆,ji'po
激气,ji'qi
机人,ji'ren
几时,ji'shi
鸡屎菜,ji'shi'cai
鸡屎藤籺,ji'shi'teng'he
鸡屎头边热,ji'shi'tou'bian're
鸡头墨,ji'tou'mo
鸡胸,ji'xiong
鸡鸭行,ji'ya'xing
鸡纸,ji'zhi
吉只,ji'zhi
假啦,jia'la
假落,jia'luo
架世,jia'shi
夹拖,jia'tuo
碱波,jian'bo
煎堆,jian'dui
碱粉,jian'fen
肩胛,jian'jia
煎虾饼,jian'xia'bing
讲过做到,jiang'guo'zuo'dao
讲机低,jiang'ji'di
讲你又无信,jiang'ni'you'wu'xin
江头村,jiang'tou'cun
讲直着,jiang'zhi'zhe
脚板,jiao'ban
脚撑,jiao'cheng
脚骨,jiao'gu
脚兢,jiao'jing
脚轮车,jiao'lun'che
酵婆,jiao'po
骄奢,jiao'she
骄奢惯养,jiao'she'guan'yang
茭头,jiao'tou
角纸,jiao'zhi
胶纸袋,jiao'zhi'dai
角子,jiao'zi
解扒,jie'ba
解扒露皮,jie'ba'lu'pi
解放路,jie'fang'lu
浸腻,jin'ni
劲女,jin'nv
尽是识讲做,jin'shi'shi'jiang'zuo
筋头,jin'tou
惊丑,jing'chou
颈筋,jing'jin
颈渴,jing'ke
精灵,jing'ling
九八佬,jiu'ba'lao
舅公,jiu'gong
舅公祖,jiu'gong'zu
九利鱼,jiu'li'yu
舅婆,jiu'po
舅婆妈,jiu'po'ma
旧桥,jiu'qiao
旧桥头,jiu'qiao'tou
旧时,jiu'shi
就手,jiu'shou
焗茶,ju'cha
锯插鱼,ju'cha'yu
卷粉,juan'fen
瞰薯,kan'shu
看纸牌,kan'zhi'pai
抗狼,kang'lang
吭薯,keng'shu
恐龙,kong'long
空手核喂,kong'shou'he'wei
抠女,kou'nv
口水,kou'shui
口盅,kou'zhong
哭索索,ku'suo'suo
快脆,kuai'cui
筷箸,kuai'zhu
魁星楼,kui'xing'lou
辣虫,la'chong
垃撒,la'sa
拉撒插,la'sa'cha
喇咋,la'za
蓝刀呗,lan'dao'bei
狼脚,lang'jiao
老车站,lao'che'zhan
老弟,lao'di
老豆,lao'dou
老儿,lao'er
捞饭,lao'fan
老公儿,lao'gong'er
捞火棍,lao'huo'gun
捞佬,lao'lao
捞篱,lao'li
老妈壳,lao'ma'ke
老妹,lao'mei
老那,lao'na
老排,lao'pai
老人村,lao'ren'cun
烙熟,lao'shu
老同,lao'tong
老亚,lao'ya
老渣,lao'zha
老侄,lao'zhi
勒旱菜,le'han'cai
勒筋,le'jin
叻女,le'nv
勒薯,le'shu
叻仔,le'zai
雷公,lei'gong
冷倒,leng'dao
冷索索,leng'suo'suo
栗包,li'bao
利口,li'kou
粒呢,li'ne
利是,li'shi
礼鱼,li'yu
粒只,li'zhi
廉东,lian'dong
廉东大道,lian'dong'da'dao
莲角,lian'jiao
廉西,lian'xi
莲鱼,lian'yu
廉中,lian'zhong
廉州,lian'zhou
廉州大道,lian'zhou'da'dao
廉州府,lian'zhou'fu
廉州广场,lian'zhou'guang'chang
廉州话,lian'zhou'hua
廉州街,lian'zhou'jie
廉州往事,lian'zhou'wang'shi
廉州镇,lian'zhou'zhen
凉粉,liang'fen
亮剌剌,liang'la'la
亮啦啦,liang'la'la
鹩哥,liao'ge
零零丁丁,ling'ling'ding'ding
另事讲,ling'shi'jiang
磟碡,liu'zhou
拢蛋,long'dan
聋鬼,long'gui
聋佬,long'lao
龙利鱼,long'li'yu
辘轴,lu'zhou
乱戳武,luan'chuo'wu
卵泡,luan'pao
乱线,luan'xian
轮帽,lun'mao
攞老婆,luo'lao'po
落力,luo'li
攞死,luo'si
螺丝批,luo'si'pi
罗柚,luo'you
籮鱼,luo'yu
绿豆海带糖水,lv'dou'hai'dai'tang'shui
麻吃老,ma'chi'lao
妈儿,ma'er
麻骨,ma'gu
马螂抗,ma'lang'kang
马狼抗,ma'lang'kang
马骝,ma'liu
马蹄,ma'ti
马蹄糕,ma'ti'gao
麻通,ma'tong
吗通,ma'tong
买衫,mai'shan
买餸,mai'song
墁根,man'gen
墁绳,man'sheng
盲佬,mang'lao
猫眯,mao'mi
猫事,mao'shi
妹儿,mei'er
美人鱼,mei'ren'yu
密低,mi'di
米羹,mi'geng
密人,mi'ren
米散,mi'san
面布,mian'bu
面端,mian'duan
咩芝,mie'zhi
咩芝罩,mie'zhi'zhao
咩滋,mie'zi
墨子,mo'zi
木到笋,mu'dao'sun
木东瓜,mu'dong'gua
木揭,mu'jie
木糠,mu'kang
母虱,mu'shi
那宝,na'bao
哪呢,na'ne
哪只,na'zhi
南流江,nan'liu'jiang
男捏儿,nan'nie'er
南珠之乡,nan'zhu'zhi'xiang
泥虫,ni'chong
泥丁,ni'ding
泥蒙,ni'meng
碾米,nian'mi
捻子,nian'zi
娘娘,niang'niang
嬲你,niao'ni
捏船,nie'chuan
捏锤,nie'chui
捏刀,nie'dao
捏凳,nie'deng
捏蹀,nie'die
捏鹤,nie'he
捏篓,nie'lou
捏捏时,nie'nie'shi
捏捏只,nie'nie'zhi
捏女人,nie'nv'ren
捏排,nie'pai
捏炮,nie'pao
捏水牯,nie'shui'gu
捏碗籺,nie'wan'he
牛霸王,niu'ba'wang
牛额,niu'e
扭九柴,niu'jiu'chai
拗猫,niu'mao
脓官,nong'guan
脓官街,nong'guan'jie
掿扁,nuo'bian
掿扁你,nuo'bian'ni
女捏儿,nv'nie'er
女人婆,nv'ren'po
扒灰,pa'hui
泮塘,pan'tang
炮仗,pao'zhang
蓬大眼,peng'da'yan
皮包骨,pi'bao'gu
嫖蛇,piao'she
嫖蛇佬,piao'she'lao
平个,ping'ge
平头岭,ping'tou'ling
破篾,po'mie
铺鱼,pu'yu
气爆皮,qi'bao'pi
契弟,qi'di
七鬼五二三,qi'gui'wu'er'san
起身,qi'shen
企稳,qi'wen
起屋,qi'wu
气一昂诶,qi'yi'ang'ei
气郁,qi'yu
欺止,qi'zhi
炝铲,qiang'chan
墙根,qiang'gen
荞头,qiao'tou
桥闸,qiao'zha
勤礼婆,qin'li'po
琴薯,qin'shu
倾的低,qing'de'di
清简粥,qing'jian'zhou
倾数,qing'shu
青云路,qing'yun'lu
青竹飙,qing'zhu'biao
穷佬,qiong'lao
穷钳,qiong'qian
穷嵌,qiong'qian
屈头裤,qu'tou'ku
去寻你,qu'xun'ni
毃门,que'men
热中头,re'zhong'tou
人多手脚乱,ren'duo'shou'jiao'luan
人废,ren'fei
人工,ren'gong
忍颈,ren'jing
日头,ri'tou
日头晒到屎弗尾,ri'tou'shai'dao'shi'fu'wei
日中,ri'zhong
撒虫,sa'chong
三姑六婆,san'gu'liu'po
三脚猫,san'jiao'mao
三角酥,san'jiao'su
三岁捏,san'sui'nie
三无识两,san'wu'shi'liang
三下两二,san'xia'liang'er
散仔,san'zai
砂煲,sha'bao
沙牯,sha'gu
沙街尾,sha'jie'wei
杀局,sha'ju
沙咖米,sha'ka'mi
沙皮,sha'pi
沙皮二,sha'pi'er
沙事,sha'shi
沙屎,sha'shi
煞熟,sha'shu
煞熟狗,sha'shu'gou
沙蟹,sha'xie
沙蟹汁,sha'xie'zhi
晒巴,shai'ba
晒谷,shai'gu
衫尾,shan'wei
伤风感冒,shang'feng'gan'mao
上高,shang'gao
上海青,shang'hai'qing
上舍,shang'she
上星桥,shang'xing'qiao
烧金银,shao'jin'yin
潲水,shao'shui
舍本,she'ben
蛇皮袋,she'pi'dai
社王公,she'wang'gong
婶婆,shen'po
生菜,sheng'cai
生鸡眼,sheng'ji'yan
生猛,sheng'meng
识得,shi'de
十二辰蛇,shi'er'chen'she
屎弗,shi'fu
屎弗滑,shi'fu'hua
屎弗尾,shi'fu'wei
识鬼崩,shi'gui'beng
屎忽,shi'hu
是家,shi'jia
施间,shi'jian
石牛,shi'niu
识破,shi'po
是无,shi'wu
手儿头,shou'er'tou
手骨,shou'gu
收谷,shou'gu
手兢,shou'jing
手尾,shou'wei
手袖,shou'xiu
手用,shou'yong
树东瓜,shu'dong'gua
叔公,shu'gong
树胶枪,shu'jiao'qiang
漱口,shu'kou
薯藤叶,shu'teng'ye
熟烟,shu'yan
熟烟筒,shu'yan'tong
衰瘟,shuai'wen
闩门,shuan'men
双江桥,shuang'jiang'qiao
双孖,shuang'ma
水牯,shui'gu
水瓜,shui'gua
水籺,shui'he
水鸡,shui'ji
水门,shui'men
睡梦,shui'meng
水琵琶,shui'pi'pa
水蛇,shui'she
水虾,shui'xia
水蟹,shui'xie
水鸭,shui'ya
水鱼,shui'yu
顺手,shun'shou
死过蛮,si'guo'man
撕烂布,si'lan'bu
私捞,si'lao
四正,si'zheng
酥低,su'di
酸蓬,suan'peng
孙女,sun'nv
锁匙,suo'shi
台盘,tai'pan
贪威识吃,tan'wei'shi'chi
烫鸡,tang'ji
烫鸭,tang'ya
烫猪佬,tang'zhu'lao
梯隔,ti'ge
梯桶,ti'tong
剃须留鼻毛各人心水好,ti'xu'liu'bi'mao'ge'ren'xin'shui'hao
天暗,tian'an
天光,tian'guang
天亮八早,tian'liang'ba'zao
天面,tian'mian
天时,tian'shi
条羹,tiao'geng
铁线蛇,tie'xian'she
庭田,ting'tian
桶耳,tong'er
统杀,tong'sha
头菜,tou'cai
头低低眼湿湿,tou'di'di'yan'shi'shi
偷狗,tou'gou
头昏,tou'hun
头昏眼花,tou'hun'yan'hua
偷鸡,tou'ji
头角社,tou'jiao'she
头壳,tou'ke
头壳痛,tou'ke'tong
投路,tou'lu
头毛,tou'mao
头毛丝,tou'mao'si
偷青,tou'qing
头藤瓜,tou'teng'gua
凸卜,tu'bu
土狗,tu'gou
土怒,tu'nu
突朴,tu'pu
推庄,tui'zhuang
推宗,tui'zong
吞公佬,tun'gong'lao
吞公仔,tun'gong'zai
脱裤擂腿,tuo'ku'lei'tui
托盘子,tuo'pan'zi
挖地脚,wa'di'jiao
瓦棚,wa'peng
袜鱼,wa'yu
外父老,wai'fu'lao
外生,wai'sheng
丸子,wan'zi
威滑,wei'hua
围篱,wei'li
尾龙骨,wei'long'gu
威女,wei'nv
威势,wei'shi
伪识佬,wei'shi'lao
威水,wei'shui
威仔,wei'zai
揾吃,wen'chi
问花婆,wen'hua'po
揾钱,wen'qian
文蔚坊,wen'wei'fang
稳准,wen'zhun
我行著你迭著,wo'hang'zhu'ni'die'zhu
无单止,wu'dan'zhi
屋阶底,wu'jie'di
无肯,wu'ken
无捞你肮,wu'lao'ni'ang
无捞你诶机废,wu'lao'ni'ei'ji'fei
无捞你废,wu'lao'ni'fei
无捞你讲,wu'lao'ni'jiang
无惹我,wu're'wo
无是,wu'shi
无识丑,wu'shi'chou
无是一魏,wu'shi'yi'wei
无似,wu'si
无似菠萝,wu'si'bo'luo
无算是,wu'suan'shi
无算数,wu'suan'shu
无搪你,wu'tang'ni
无要,wu'yao
五月花,wu'yue'hua
无在机拦倒我,wu'zai'ji'lan'dao'wo
无在机谣我,wu'zai'ji'yao'wo
息错,xi'cuo
吸粉,xi'fen
细姑,xi'gu
西郊,xi'jiao
西门江,xi'men'jiang
洗面,xi'mian
洗身,xi'shen
膝头,xi'tou
细姨,xi'yi
稀粥,xi'zhou
下低,xia'di
虾人,xia'ren
下网,xia'wang
下星桥,xia'xing'qiao
虾须无讲蟹须红,xia'xu'wu'jiang'xie'xu'hong
仙家,xian'jia
咸湿,xian'shi
咸鱼,xian'yu
咸鱼煲,xian'yu'bao
项鸡,xiang'ji
香枧,xiang'jian
香碱,xiang'jian
香芹,xiang'qin
香芹蒜,xiang'qin'suan
小北街,xiao'bei'jie
笑嘿嘿,xiao'hei'hei
心机,xin'ji
心焦,xin'jiao
心乱,xin'luan
心轻,xin'qing
心水,xin'shui
心思思,xin'si'si
新鲜鱼,xin'xian'yu
行好,xing'hao
行街,xing'jie
行开,xing'kai
行来行去,xing'lai'xing'qu
行路,xing'lu
醒水,xing'shui
喐手,xu'shou
学识,xue'shi
雪条,xue'tiao
讯梦,xun'meng
哑佬,ya'lao
鸭毛,ya'mao
延安路,yan'an'lu
眼定定,yan'ding'ding
眼核,yan'he
眼镜佬,yan'jing'lao
眼亮亮,yan'liang'liang
眼湸水,yan'liang'shui
眼眉毛,yan'mei'mao
颜米,yan'mi
眼咪,yan'mi
眼热,yan're
眼屎,yan'shi
眼水,yan'shui
眼睡,yan'shui
烟通,yan'tong
烟仔,yan'zai
杨桃子,yang'tao'zi
阳遮,yang'zhe
腰骨,yao'gu
腰骨痛,yao'gu'tong
妖精八怪,yao'jing'ba'guai
腰扣,yao'kou
腰扣卜,yao'kou'bu
谣死诶,yao'si'ei
舀子,yao'zi
耶爷,ye'ye
叶子籺,ye'zi'he
一笔靓女,yi'bi'liang'nv
一笔靓仔,yi'bi'liang'zai
一肚气,yi'du'qi
姨公,yi'gong
一角纸,yi'jiao'zhi
一角子,yi'jiao'zi
姨妈,yi'ma
薏麻籺,yi'ma'he
一闷银,yi'men'yin
姨那,yi'na
一皮鬼,yi'pi'gui
姨婆,yi'po
一齐,yi'qi
呓啬,yi'se
熠熟狗,yi'shu'gou
一文银,yi'wen'yin
一无,yi'wu
一无是低一,yi'wu'shi'di'yi
姨渣,yi'zha
阴功,yin'gong
银子,yin'zi
应承,ying'cheng
硬局局,ying'ju'ju
用功,yong'gong
用攻,yong'gong
永好,yong'hao
有队,you'dui
有钱佬,you'qian'lao
游水,you'shui
忧心,you'xin
鱼鞭,yu'bian
郁火,yu'huo
鱼勒,yu'le
鱼肋,yu'lei
芋蒙,yu'meng
芋头糖水,yu'tou'tang'shui
雨遮,yu'zhe
悦港,yue'gang
越讲越上面,yue'jiang'yue'shang'mian
月亮亮,yue'liang'liang
晕晕转,yun'yun'zhuan
仔儿,zai'er
早朝,zao'chao
早朝头,zao'chao'tou
灶面前,zao'mian'qian
早时,zao'shi
炸鱼,zha'yu
胀出屎,zhang'chu'shi
丈蛇,zhang'she
遮捞,zhe'lao
真实一,zhen'shi'yi
整菜,zheng'cai
整车,zheng'che
整单车,zheng'dan'che
争跤,zheng'jiao
争交,zheng'jiao
之讲,zhi'jiang
至甚,zhi'shen
至甚果好惊,zhi'shen'guo'hao'jing
知死蛮,zhi'si'man
中分头,zhong'fen'tou
仲蛮,zhong'man
中心市场,zhong'xin'shi'chang
中意,zhong'yi
仲以为好低意,zhong'yi'wei'hao'di'yi
仲有,zhong'you
猪戳炒猪肠加滴辣椒酱,zhu'chuo'chao'zhu'chang'jia'di'la'jiao'jiang
煮低,zhu'di
猪肝粉肠,zhu'gan'fen'chang
猪脚粉,zhu'jiao'fen
猪利,zhu'li
猪腮泡,zhu'sai'pao
猪头,zhu'tou
猪头饼,zhu'tou'bing
珠乡,zhu'xiang
猪小肚,zhu'xiao'du
砖球,zhuan'qiu
自家,zi'jia
姊妹,zi'mei
总江,zong'jiang
总江口,zong'jiang'kou
宗鱼,zong'yu
棕鱼,zong'yu
综鱼,zong'yu
总之讲,zong'zhi'jiang
走飞机,zou'fei'ji
走路,zou'lu
走人,zou'ren
走注,zou'zhu
嘴唇皮,zui'chun'pi
坐大地,zuo'da'di
做工,zuo'gong
坐监,zuo'jian
做投路,zuo'tou'lu
做庄,zuo'zhuang
做宗,zuo'zong
