阿尔泰雪鸡,a'er'tai'xue'ji
黄喉雀鹛,huang'hou'que'mei
黄喉鹀,huang'hou'wu
黄喉噪鹛,huang'hou'zao'mei
黄鹡鸰,huang'ji'ling
黄颊山雀,huang'jia'shan'que
黄脚绿鸠,huang'jiao'lv'jiu
黄脚三趾鹑,huang'jiao'san'zhi'chun
黄脚银鸥,huang'jiao'yin'ou
黄脚渔鸮,huang'jiao'yu'xiao
黄颈凤鹛,huang'jing'feng'mei
黄颈拟蜡嘴雀,huang'jing'ni'la'zui'que
黄颈啄木鸟,huang'jing'zhuo'mu'niao
黄鹂,huang'li
黄绿鹎,huang'lv'bei
黄眉姬鹟,huang'mei'ji'weng
黄眉林雀,huang'mei'lin'que
黄眉柳莺,huang'mei'liu'ying
黄眉鹀,huang'mei'wu
黄雀,huang'que
黄头鹡鸰,huang'tou'ji'ling
黄臀鹎,huang'tun'bei
黄苇鳽,huang'wei'zhan
黄纹拟啄木鸟,huang'wen'ni'zhuo'mu'niao
黄鹀,huang'wu
黄胸柳莺,huang'xiong'liu'ying
黄胸山雀,huang'xiong'shan'que
黄胸鹀,huang'xiong'wu
黄胸织布鸟,huang'xiong'zhi'bu'niao
黄腰柳莺,huang'yao'liu'ying
黄腰太阳鸟,huang'yao'tai'yang'niao
黄腰响蜜,huang'yao'xiang'mi
黄腰响蜜鴷,huang'yao'xiang'mi'lie
蝗莺,huang'ying
黄爪隼,huang'zhao'sun
黄痣薮鹛,huang'zhi'sou'mei
黄嘴白鹭,huang'zui'bai'lu
黄嘴河燕鸥,huang'zui'he'yan'ou
黄嘴角鸮,huang'zui'jiao'xiao
黄嘴蓝鹊,huang'zui'lan'que
黄嘴栗啄木鸟,huang'zui'li'zhuo'mu'niao
黄嘴山鸦,huang'zui'shan'ya
黄嘴朱顶雀,huang'zui'zhu'ding'que
灰白喉林莺,hui'bai'hou'lin'ying
灰斑鸻,hui'ban'heng
灰斑鸠,hui'ban'jiu
灰瓣蹼鹬,hui'ban'pu'yu
灰背岸八哥,hui'bei'an'ba'ge
灰背伯劳,hui'bei'bo'lao
灰背鸫,hui'bei'dong
灰背椋鸟,hui'bei'liang'niao
灰背鸥,hui'bei'ou
灰背隼,hui'bei'sun
灰背燕尾,hui'bei'yan'wei
灰伯劳,hui'bo'lao
灰翅鸫,hui'chi'dong
灰翅鸥,hui'chi'ou
灰翅噪鹛,hui'chi'zao'mei
灰短脚鹎,hui'duan'jiao'bei
灰腹地莺,hui'fu'di'ying
灰腹角雉,hui'fu'jiao'zhi
灰腹绣眼鸟,hui'fu'xiu'yan'niao
灰腹噪鹛,hui'fu'zao'mei
灰冠鸦雀,hui'guan'ya'que
灰鹤,hui'he
灰喉柳莺,hui'hou'liu'ying
灰喉山椒鸟,hui'hou'shan'jiao'niao
灰喉鸦雀,hui'hou'ya'que
灰喉针尾雨燕,hui'hou'zhen'wei'yu'yan
灰鹱,hui'hu
灰鹡鸰,hui'ji'ling
灰颊仙鹟,hui'jia'xian'weng
灰脚柳莺,hui'jiao'liu'ying
灰颈鹀,hui'jing'wu
灰卷尾,hui'juan'wei
灰孔雀雉,hui'kong'que'zhi
灰眶雀鹛,hui'kuang'que'mei
灰蓝姬鹟,hui'lan'ji'weng
灰蓝山雀,hui'lan'shan'que
灰脸鵟鹰,hui'lian'kuang'ying
灰脸鹟莺,hui'lian'weng'ying
灰椋鸟,hui'liang'niao
灰林鵖,hui'lin'bi
灰林鸽,hui'lin'ge
灰林鸮,hui'lin'xiao
灰林银鸥,hui'lin'yin'ou
灰柳莺,hui'liu'ying
灰眉岩鹀,hui'mei'yan'wu
灰奇鹛,hui'qi'mei
灰山鹑,hui'shan'chun
灰山椒鸟,hui'shan'jiao'niao
灰树鹊,hui'shu'que
灰头斑翅鹛,hui'tou'ban'chi'mei
灰头鸫,hui'tou'dong
灰头钩嘴鹛,hui'tou'gou'zui'mei
灰头灰雀,hui'tou'hui'que
灰头椋鸟,hui'tou'liang'niao
灰头绿鸠,hui'tou'lv'jiu
灰头绿啄木鸟,hui'tou'lv'zhuo'mu'niao
灰头麦鸡,hui'tou'mai'ji
灰头鹟莺,hui'tou'weng'ying
灰头鹀,hui'tou'wu
灰头鸦雀,hui'tou'ya'que
灰头鹦鹉,hui'tou'ying'wu
灰尾漂鹬,hui'wei'piao'yu
灰尾鹬,hui'wei'yu
灰纹鹟,hui'wen'weng
灰鹀,hui'wu
灰喜鹊,hui'xi'que
灰胁噪鹛,hui'xie'zao'mei
灰胸鹪莺,hui'xiong'jiao'ying
灰胸薮鹛,hui'xiong'sou'mei
灰胸竹鸡,hui'xiong'zhu'ji
灰雁,hui'yan
灰眼短脚鹎,hui'yan'duan'jiao'bei
灰燕鸻,hui'yan'heng
灰岩鹪鹛,hui'yan'jiao'mei
灰燕鵙,hui'yan'ju
火斑鸠,huo'ban'jiu
火冠雀,huo'guan'que
火尾绿鹛,huo'wei'lv'mei
火尾太阳鸟,huo'wei'tai'yang'niao
火尾希鹛,huo'wei'xi'mei
极北柳莺,ji'bei'liu'ying
极北朱顶雀,ji'bei'zhu'ding'que
矶鸫,ji'dong
鹡鸰,ji'ling
姬田鸡,ji'tian'ji
姬鹟,ji'weng
鸡形目,ji'xing'mu
姬鹬,ji'yu
矶鹬,ji'yu
叽咋柳莺,ji'za'liu'ying
家八哥,jia'ba'ge
家麻雀,jia'ma'que
加拿大雁,jia'na'da'yan
家鸦,jia'ya
家燕,jia'yan
剑鸻,jian'heng
鲣鸟科,jian'niao'ke
尖尾滨鹬,jian'wei'bin'yu
剑嘴鹛,jian'zui'mei
剪嘴鸥,jian'zui'ou
角百灵,jiao'bai'ling
鹪鹩,jiao'liao
鹪鹩科,jiao'liao'ke
角鸊鷉,jiao'pi'si
角鸮,jiao'xiao
鹪莺,jiao'ying
角雉,jiao'zhi
角嘴海雀,jiao'zui'hai'que
金斑鸻,jin'ban'heng
金背三趾啄木鸟,jin'bei'san'zhi'zhuo'mu'niao
金翅,jin'chi
金翅雀,jin'chi'que
金雕,jin'diao
金额雀鹛,jin'e'que'mei
金额丝雀,jin'e'si'que
金额叶鹎,jin'e'ye'bei
金冠地莺,jin'guan'di'ying
金冠树八哥,jin'guan'shu'ba'ge
金喉拟啄木鸟,jin'hou'ni'zhuo'mu'niao
金黄鹂,jin'huang'li
金眶鸻,jin'kuang'heng
金眶鹟莺,jin'kuang'weng'ying
金色林鸲,jin'se'lin'qu
金色鸦雀,jin'se'ya'que
金头缝叶莺,jin'tou'feng'ye'ying
金头扇尾莺,jin'tou'shan'wei'ying
金头穗鹛,jin'tou'sui'mei
金胸歌鸲,jin'xiong'ge'qu
金胸雀鹛,jin'xiong'que'mei
金眼鹛雀,jin'yan'mei'que
金腰燕,jin'yao'yan
金枕黑雀,jin'zhen'hei'que
鸠鸽科,jiu'ge'ke
酒红朱雀,jiu'hong'zhu'que
距翅麦鸡,ju'chi'mai'ji
鵙鹛,ju'mei
巨嘴短翅莺,ju'zui'duan'chi'ying
巨嘴柳莺,ju'zui'liu'ying
巨嘴沙雀,ju'zui'sha'que
卷尾,juan'wei
鹃形目,juan'xing'mu
卷羽鹈鹕,juan'yu'ti'hu
军舰鸟,jun'jian'niao
军舰鸟科,jun'jian'niao'ke
苦恶鸟,ku'e'niao
宽尾树莺,kuan'wei'shu'ying
宽嘴鹟莺,kuan'zui'weng'ying
阔嘴鸟科,kuo'zui'niao'ke
阔嘴鹬,kuo'zui'yu
蓝八色鸫,lan'ba'se'dong
蓝背八色鸫,lan'bei'ba'se'dong
蓝翅八色鸫,lan'chi'ba'se'dong
蓝翅希鹛,lan'chi'xi'mei
蓝翅叶鹎,lan'chi'ye'bei
蓝翅噪鹛,lan'chi'zao'mei
蓝大翅鸲,lan'da'chi'qu
蓝点颏,lan'dian'ke
蓝短翅鸫,lan'duan'chi'dong
蓝额长脚地鸲,lan'e'chang'jiao'di'qu
蓝额红尾鸲,lan'e'hong'wei'qu
蓝耳翠鸟,lan'er'cui'niao
蓝耳拟啄木鸟,lan'er'ni'zhuo'mu'niao
蓝翡翠,lan'fei'cui
蓝歌鸲,lan'ge'qu
蓝喉蜂虎,lan'hou'feng'hu
蓝喉歌鸲,lan'hou'ge'qu
蓝喉拟啄木鸟,lan'hou'ni'zhuo'mu'niao
蓝喉太阳鸟,lan'hou'tai'yang'niao
蓝喉仙鹟,lan'hou'xian'weng
蓝矶鸫,lan'ji'dong
蓝脸鲣鸟,lan'lian'jian'niao
蓝绿鹊,lan'lv'que
蓝马鸡,lan'ma'ji
蓝头红尾鸲,lan'tou'hong'wei'qu
蓝头矶鸫,lan'tou'ji'dong
蓝鹀,lan'wu
蓝鹇,lan'xian
蓝胸鹑,lan'xiong'chun
蓝胸佛法僧,lan'xiong'fo'fa'seng
蓝胸秧鸡,lan'xiong'yang'ji
蓝须夜蜂虎,lan'xu'ye'feng'hu
蓝枕八色鸫,lan'zhen'ba'se'dong
蓝枕花蜜鸟,lan'zhen'hua'mi'niao
栗斑杜鹃,li'ban'du'juan
栗斑腹鹀,li'ban'fu'wu
栗背伯劳,li'bei'bo'lao
栗背短翅鸫,li'bei'duan'chi'dong
栗背短脚鹎,li'bei'duan'jiao'bei
栗背奇鹛,li'bei'qi'mei
栗背岩鹨,li'bei'yan'liu
栗额鵙鹛,li'e'ju'mei
栗耳短脚鹎,li'er'duan'jiao'bei
栗耳凤鹛,li'er'feng'mei
栗耳鹀,li'er'wu
栗腹,li'fu
栗腹歌鸲,li'fu'ge'qu
栗腹矶鸫,li'fu'ji'dong
栗腹文鸟,li'fu'wen'niao
栗褐鹃鸠,li'he'juan'jiu
栗喉蜂虎,li'hou'feng'hu
栗喉鵙鹛,li'hou'ju'mei
栗颈噪鹛,li'jing'zao'mei
丽色奇鹛,li'se'qi'mei
丽色噪鹛,li'se'zao'mei
理氏鹨,li'shi'liu
栗树鸭,li'shu'ya
栗头八色鸫,li'tou'ba'se'dong
栗头地莺,li'tou'di'ying
栗头蜂虎,li'tou'feng'hu
栗头雀鹛,li'tou'que'mei
栗头鹟莺,li'tou'weng'ying
栗臀,li'tun
栗臀噪鹛,li'tun'zao'mei
栗苇鳽,li'wei'zhan
栗鹀,li'wu
栗鸮,li'xiao
丽星鹩鹛,li'xing'liao'mei
蛎鹬,li'yu
栗鸢,li'yuan
栗鳽,li'zhan
栗啄木鸟,li'zhuo'mu'niao
镰翅鸡,lian'chi'ji
椋鸟,liang'niao
椋鸟科,liang'niao'ke
鹩哥,liao'ge
鹩鹛,liao'mei
猎隼,lie'sun
鴷形目,lie'xing'mu
林八哥,lin'ba'ge
林雕,lin'diao
林雕鸮,lin'diao'xiao
鳞腹绿啄木鸟,lin'fu'lv'zhuo'mu'niao
林鸽,lin'ge
鳞喉绿啄木鸟,lin'hou'lv'zhuo'mu'niao
林岭雀,lin'ling'que
林鹨,lin'liu
林柳莺,lin'liu'ying
林三趾鹑,lin'san'zhi'chun
林沙锥,lin'sha'zhui
鳞头树莺,lin'tou'shu'ying
鳞胸鹪鹛,lin'xiong'jiao'mei
林夜鹰,lin'ye'ying
林鹬,lin'yu
领角鸮,ling'jiao'xiao
领雀嘴鹎,ling'que'zui'bei
领鸺鹠,ling'xiu'liu
领燕鸻,ling'yan'heng
领岩鹨,ling'yan'liu
硫黄鹀,liu'huang'wu
柳雷鸟,liu'lei'niao
琉球歌鸲,liu'qiu'ge'qu
琉球角鸮,liu'qiu'jiao'xiao
流苏鹬,liu'su'yu
瘤鸭,liu'ya
柳莺,liu'ying
楼燕,lou'yan
鸬鹚,lu'ci
鸬鹚科,lu'ci'ke
路德雀鹛,lu'de'que'mei
鹭科,lu'ke
芦苇莺,lu'wei'ying
芦鹀,lu'wu
罗纹鸭,luo'wen'ya
绿背山雀,lv'bei'shan'que
绿翅短脚鹎,lv'chi'duan'jiao'bei
绿翅金鸠,lv'chi'jin'jiu
绿翅鸭,lv'chi'ya
绿喉蜂虎,lv'hou'feng'hu
绿喉太阳鸟,lv'hou'tai'yang'niao
绿皇鸠,lv'huang'jiu
绿脚山鹧鸪,lv'jiao'shan'zhe'gu
绿鸠,lv'jiu
绿孔雀,lv'kong'que
绿宽嘴鸫,lv'kuan'zui'dong
绿鹭,lv'lu
绿头鸭,lv'tou'ya
绿尾虹雉,lv'wei'hong'zhi
绿胸八色鸫,lv'xiong'ba'se'dong
绿嘴地鹃,lv'zui'di'juan
马敬能,ma'jing'neng
蟆口鸱科,ma'kou'chi'ke
马来鸻,ma'lai'heng
麻雀,ma'que
麻雀科,ma'que'ke
麦鸡,mai'ji
麦氏贼鸥,mai'shi'zei'ou
矛斑蝗莺,mao'ban'huang'ying
毛脚鵟,mao'jiao'kuang
毛脚燕,mao'jiao'yan
矛隼,mao'sun
猫头鹰,mao'tou'ying
毛腿耳夜鹰,mao'tui'er'ye'ying
毛腿沙鸡,mao'tui'sha'ji
毛腿渔鸮,mao'tui'yu'xiao
矛纹草鹛,mao'wen'cao'mei
玫红眉朱雀,mei'hong'mei'zhu'que
梅花雀,mei'hua'que
煤山雀,mei'shan'que
蒙古百灵,meng'gu'bai'ling
蒙古沙鸻,meng'gu'sha'heng
蒙古沙雀,meng'gu'sha'que
鹲科,meng'ke
猛隼,meng'sun
猛鸮,meng'xiao
棉凫,mian'fu
冕柳莺,mian'liu'ying
冕雀,mian'que
喵喵喵,miao'miao'miao
漠鵖,mo'bi
漠地林莺,mo'di'lin'ying
拟大朱雀,ni'da'zhu'que
拟游隼,ni'you'sun
拟啄木鸟科,ni'zhuo'mu'niao'ke
牛背鹭,niu'bei'lu
牛头伯劳,niu'tou'bo'lao
弄岗穗鹛,nong'gang'sui'mei
欧斑鸠,ou'ban'jiu
欧鸽,ou'ge
欧歌鸫,ou'ge'dong
鸥科,ou'ke
欧石鸻,ou'shi'heng
欧亚红尾鸲,ou'ya'hong'wei'qu
欧亚鸲,ou'ya'qu
欧夜鹰,ou'ye'ying
鸥嘴噪鸥,ou'zui'zao'ou
攀雀,pan'que
攀雀科,pan'que'ke
盘尾树鹊,pan'wei'shu'que
鸊鷉,pi'si
鸊鷉科,pi'si'ke
琵嘴鸭,pi'zui'ya
漂鹬,piao'yu
平原鹨,ping'yuan'liu
葡萄胸鸭,pu'tao'xiong'ya
普通,pu'tong
普通翠鸟,pu'tong'cui'niao
普通鵟,pu'tong'kuang
普通楼燕,pu'tong'lou'yan
普通鸬鹚,pu'tong'lu'ci
普通潜鸟,pu'tong'qian'niao
普通秋沙鸭,pu'tong'qiu'sha'ya
普通燕鸻,pu'tong'yan'heng
普通燕鸥,pu'tong'yan'ou
普通秧鸡,pu'tong'yang'ji
普通夜鹰,pu'tong'ye'ying
普通鹰鹃,pu'tong'ying'juan
普通朱雀,pu'tong'zhu'que
圃鹀,pu'wu
奇鹛,qi'mei
潜鸟,qian'niao
潜鸟科,qian'niao'ke
潜鸭,qian'ya
钳嘴鹳,qian'zui'guan
强脚树莺,qiang'jiao'shu'ying
翘鼻麻鸭,qiao'bi'ma'ya
翘嘴鹬,qiao'zui'yu
青脚滨鹬,qing'jiao'bin'yu
青脚鹬,qing'jiao'yu
青头潜鸭,qing'tou'qian'ya
秋沙鸭,qiu'sha'ya
丘鹬,qiu'yu
丘鹬科,qiu'yu'ke
鸲蝗莺,qu'huang'ying
鸲姬鹟,qu'ji'weng
鸲岩鹨,qu'yan'liu
雀鹛,que'mei
鹊鸲,que'qu
鹊色鹂,que'se'li
雀形目,que'xing'mu
鹊鸭,que'ya
鹊鹞,que'yao
雀鹰,que'ying
日本鹌鹑,ri'ben'an'chun
日本叉尾海燕,ri'ben'cha'wei'hai'yan
日本歌鸲,ri'ben'ge'qu
日本鹡鸰,ri'ben'ji'ling
日本树莺,ri'ben'shu'ying
日本松雀鹰,ri'ben'song'que'ying
日本云雀,ri'ben'yun'que
绒额,rong'e
肉垂麦鸡,rou'chui'mai'ji
肉足鹱,rou'zu'hu
赛氏篱莺,sai'shi'li'ying
三宝鸟,san'bao'niao
三道眉草鹀,san'dao'mei'cao'wu
三趾鹑,san'zhi'chun
三趾鹑科,san'zhi'chun'ke
三趾鹑目,san'zhi'chun'mu
三趾翠鸟,san'zhi'cui'niao
三趾鸥,san'zhi'ou
三趾鸦雀,san'zhi'ya'que
三趾鹬,san'zhi'yu
三趾啄木鸟,san'zhi'zhuo'mu'niao
沙白喉林莺,sha'bai'hou'lin'ying
沙鵖,sha'bi
沙鸡科,sha'ji'ke
沙丘鹤,sha'qiu'he
沙色朱雀,sha'se'zhu'que
山斑鸠,shan'ban'jiu
山皇鸠,shan'huang'jiu
山鹡鸰,shan'ji'ling
山椒,shan'jiao
山椒鸟,shan'jiao'niao
山鹪莺,shan'jiao'ying
山蓝仙鹟,shan'lan'xian'weng
山鹨,shan'liu
山麻雀,shan'ma'que
山鹛,shan'mei
山雀,shan'que
山雀科,shan'que'ke
扇尾沙锥,shan'wei'sha'zhui
扇尾鹟,shan'wei'weng
扇尾莺,shan'wei'ying
扇尾莺科,shan'wei'ying'ke
山鸦,shan'ya
山噪鹛,shan'zao'mei
山鹧鸪,shan'zhe'gu
勺鸡,shao'ji
勺嘴鹬,shao'zui'yu
蛇雕,she'diao
蛇鹈科,she'ti'ke
石鸻科,shi'heng'ke
石鸡,shi'ji
石雀,shi'que
史氏蝗莺,shi'shi'huang'ying
饰胸鹬,shi'xiong'yu
寿带,shou'dai
寿带鸟,shou'dai'niao
曙红朱雀,shu'hong'zhu'que
树鹨,shu'liu
树麻雀,shu'ma'que
树鹊,shu'que
黍鹀,shu'wu
树燕科,shu'yan'ke
树莺,shu'ying
双斑绿柳莺,shuang'ban'lv'liu'ying
双辫八色鸫,shuang'bian'ba'se'dong
双角犀鸟,shuang'jiao'xi'niao
水鹨,shui'liu
水蒲苇莺,shui'pu'wei'ying
水雉,shui'zhi
四川林鸮,si'chuan'lin'xiao
四川柳莺,si'chuan'liu'ying
四川山鹧鸪,si'chuan'shan'zhe'gu
四川雉鹑,si'chuan'zhi'chun
丝光椋鸟,si'guang'liang'niao
四声杜鹃,si'sheng'du'juan
松雀,song'que
松雀鹰,song'que'ying
松鸦,song'ya
薮鹛,sou'mei
穗鵖,sui'bi
穗鹛,sui'mei
隼科,sun'ke
蓑羽鹤,suo'yu'he
塔尾树鹊,ta'wei'shu'que
太平,tai'ping
太平鸟,tai'ping'niao
太平鸟科,tai'ping'niao'ke
太平洋潜鸟,tai'ping'yang'qian'niao
台湾斑翅鹛,tai'wan'ban'chi'mei
台湾鹎,tai'wan'bei
台湾戴菊,tai'wan'dai'ju
台湾黄山雀,tai'wan'huang'shan'que
台湾蓝鹊,tai'wan'lan'que
台湾林鸲,tai'wan'lin'qu
台湾山鹧鸪,tai'wan'shan'zhe'gu
台湾紫啸鸫,tai'wan'zi'xiao'dong
太阳鸟,tai'yang'niao
太阳鸟科,tai'yang'niao'ke
鹈鹕,ti'hu
鹈鹕科,ti'hu'ke
田鸫,tian'dong
田鸡,tian'ji
田鹨,tian'liu
田鹀,tian'wu
条纹噪鹛,tiao'wen'zao'mei
铁爪鹀,tie'zhua'wu
铁嘴沙鸻,tie'zui'sha'heng
铜翅水雉,tong'chi'shui'zhi
铜蓝鹟,tong'lan'weng
秃鼻乌鸦,tu'bi'wu'ya
秃鹳,tu'guan
秃鹫,tu'jiu
弯嘴滨鹬,wan'zui'bin'yu
苇鹀,wei'wu
苇莺,wei'ying
苇鳽,wei'zhan
纹背捕蛛鸟,wen'bei'bu'zhu'niao
纹喉鹎,wen'hou'bei
纹喉凤鹛,wen'hou'feng'mei
纹头斑翅鹛,wen'tou'ban'chi'mei
纹胸斑翅鹛,wen'xiong'ban'chi'mei
纹胸鹪鹛,wen'xiong'jiao'mei
纹胸巨鹛,wen'xiong'ju'mei
纹胸织布鸟,wen'xiong'zhi'bu'niao
纹胸啄木鸟,wen'xiong'zhuo'mu'niao
文须雀,wen'xu'que
鹟科,weng'ke
鹟莺,weng'ying
乌雕,wu'diao
乌雕鸮,wu'diao'xiao
乌鸫,wu'dong
乌灰鸫,wu'hui'dong
乌灰鹞,wu'hui'yao
兀鹫,wu'jiu
乌鹃,wu'juan
乌林鸮,wu'lin'xiao
乌鹟,wu'weng
乌鸦,wu'ya
乌燕鸥,wu'yan'ou
乌嘴柳莺,wu'zui'liu'ying
西伯利亚山雀,xi'bo'li'ya'shan'que
西方滨鹬,xi'fang'bin'yu
西方松鸡,xi'fang'song'ji
希鹛,xi'mei
犀鸟,xi'niao
犀鸟科,xi'niao'ke
犀鸟目,xi'niao'mu
喜鹊,xi'que
喜山金背三趾啄木鸟,xi'shan'jin'bei'san'zhi'zhuo'mu'niao
细纹苇莺,xi'wen'wei'ying
细纹噪鹛,xi'wen'zao'mei
西域山雀,xi'yu'shan'que
西藏毛腿沙鸡,xi'zang'mao'tui'sha'ji
细嘴短趾百灵,xi'zui'duan'zhi'bai'ling
细嘴黄鹂,xi'zui'huang'li
细嘴鸥,xi'zui'ou
锡嘴雀,xi'zui'que
仙八色鸫,xian'ba'se'dong
仙鹟,xian'weng
响蜜科,xiang'mi'ke
响蜜鴷科,xiang'mi'lie'ke
相思鸟,xiang'si'niao
小八,xiao'ba
小白额雁,xiao'bai'e'yan
小白腰雨燕,xiao'bai'yao'yu'yan
小斑姬鹟,xiao'ban'ji'weng
小斑啄木鸟,xiao'ban'zhuo'mu'niao
小鸨,xiao'bao
小鹎鹎,xiao'bei'bei
小杓鹬,xiao'biao'yu
小滨鹬,xiao'bin'yu
小杜鹃,xiao'du'juan
小凤头燕鸥,xiao'feng'tou'yan'ou
小黑领噪鹛,xiao'hei'ling'zao'mei
小黄脚鹬,xiao'huang'jiao'yu
小蝗莺,xiao'huang'ying
小灰山椒鸟,xiao'hui'shan'jiao'niao
小军舰鸟,xiao'jun'jian'niao
小葵花凤头鹦鹉,xiao'kui'hua'feng'tou'ying'wu
小鳞胸鹪鹛,xiao'lin'xiong'jiao'mei
小鸥,xiao'ou
小盘尾,xiao'pan'wei
小鸊鷉,xiao'pi'si
小青脚鹬,xiao'qing'jiao'yu
小绒鸭,xiao'rong'ya
小隼,xiao'sun
小太平鸟,xiao'tai'ping'niao
小天鹅,xiao'tian'e
小田鸡,xiao'tian'ji
小苇鳽,xiao'wei'zhan
小鹀,xiao'wu
小仙鹟,xiao'xian'weng
鸮形目,xiao'xing'mu
小星头啄木鸟,xiao'xing'tou'zhuo'mu'niao
小鸦鹃,xiao'ya'juan
小燕尾,xiao'yan'wei
小云雀,xiao'yun'que
小嘴鸻,xiao'zui'heng
小嘴乌鸦,xiao'zui'wu'ya
楔头鹩鹛,xie'tou'liao'mei
楔尾伯劳,xie'wei'bo'lao
楔尾绿鸠,xie'wei'lv'jiu
楔尾鸥,xie'wei'ou
新疆歌鸲,xin'jiang'ge'qu
信天翁,xin'tian'weng
形目,xing'mu
星头啄木鸟,xing'tou'zhuo'mu'niao
星鸦,xing'ya
锈额斑翅鹛,xiu'e'ban'chi'mei
锈腹短翅鸫,xiu'fu'duan'chi'dong
锈红腹旋木雀,xiu'hong'fu'xuan'mu'que
锈喉鹩鹛,xiu'hou'liao'mei
锈脸钩嘴鹛,xiu'lian'gou'zui'mei
锈胸蓝姬鹟,xiu'xiong'lan'ji'weng
绣眼,xiu'yan
绣眼鸟,xiu'yan'niao
绣眼鸟科,xiu'yan'niao'ke
须浮鸥,xu'fu'ou
旋木雀,xuan'mu'que
旋木雀科,xuan'mu'que'ke
雪鹑,xue'chun
雪鸽,xue'ge
靴篱莺,xue'li'ying
血雀,xue'que
靴隼雕,xue'sun'diao
雪鹀,xue'wu
雪鸮,xue'xiao
雪雁,xue'yan
血雉,xue'zhi
鸦鹃科,ya'juan'ke
鸦科,ya'ke
鸭科,ya'ke
亚历山大鹦鹉,ya'li'shan'da'ying'wu
鸦雀,ya'que
崖沙燕,ya'sha'yan
亚洲短趾百灵,ya'zhou'duan'zhi'bai'ling
鸦嘴卷尾,ya'zui'juan'wei
岩滨鹬,yan'bin'yu
烟腹毛脚燕,yan'fu'mao'jiao'yan
岩鸽,yan'ge
烟黑叉尾海燕,yan'hei'cha'wei'hai'yan
燕鸻,yan'heng
燕鸻科,yan'heng'ke
燕科,yan'ke
岩雷鸟,yan'lei'niao
烟柳莺,yan'liu'ying
岩鹭,yan'lu
燕鸥,yan'ou
燕雀,yan'que
燕雀科,yan'que'ke
燕隼,yan'sun
燕尾,yan'wei
眼纹噪鹛,yan'wen'zao'mei
雁形目,yan'xing'mu
岩燕,yan'yan
洋斑燕,yang'ban'yan
秧鸡,yang'ji
秧鸡科,yang'ji'ke
咬鹃,yao'juan
咬鹃科,yao'juan'ke
咬鹃目,yao'juan'mu
叶鹎,ye'bei
夜蜂虎,ye'feng'hu
夜鹭,ye'lu
曳尾鹱,ye'wei'hu
夜鹰,ye'ying
夜鹰科,ye'ying'ke
夜鹰目,ye'ying'mu
蚁鴷,yi'lie
遗鸥,yi'ou
异色树莺,yi'se'shu'ying
银耳相思鸟,yin'er'xiang'si'niao
银喉长尾山雀,yin'hou'chang'wei'shan'que
银脸长尾山雀,yin'lian'chang'wei'shan'que
银鸥,yin'ou
银胸丝冠鸟,yin'xiong'si'guan'niao
印支绿鹊,yin'zhi'lv'que
鹰雕,ying'diao
鹰鹃,ying'juan
莺科,ying'ke
鹰科,ying'ke
鹦鹉,ying'wu
鹦鹉科,ying'wu'ke
鹰鸮,ying'xiao
鹦形目,ying'xing'mu
疣鼻天鹅,you'bi'tian'e
游隼,you'sun
玉带海雕,yu'dai'hai'diao
渔雕,yu'diao
鱼狗科,yu'gou'ke
渔鸥,yu'ou
玉山噪鹛,yu'shan'zao'mei
玉头姬鹟,yu'tou'ji'weng
雨燕,yu'yan
雨燕科,yu'yan'ke
雨燕目,yu'yan'mu
远东树莺,yuan'dong'shu'ying
远东苇莺,yuan'dong'wei'ying
原鸽,yuan'ge
原鸡,yuan'ji
鸳鸯,yuan'yang
云雀,yun'que
云石斑鸭,yun'shi'ban'ya
杂色山雀,za'se'shan'que
杂色噪鹛,za'se'zao'mei
藏马鸡,zang'ma'ji
噪大苇莺,zao'da'wei'ying
噪鹃,zao'juan
噪鹛,zao'mei
泽鹬,ze'yu
贼鸥,zei'ou
长嘴百灵,zhang'zui'bai'ling
长嘴捕蛛鸟,zhang'zui'bu'zhu'niao
长嘴地鸫,zhang'zui'di'dong
长嘴钩嘴鹛,zhang'zui'gou'zui'mei
长嘴剑鸻,zhang'zui'jian'heng
长嘴鹩鹛,zhang'zui'liao'mei
长嘴鹬,zhang'zui'yu
沼泽大尾莺,zhao'ze'da'wei'ying
沼泽山雀,zhao'ze'shan'que
赭红尾鸲,zhe'hong'wei'qu
震旦鸦雀,zhen'dan'ya'que
针尾绿鸠,zhen'wei'lv'jiu
针尾沙锥,zhen'wei'sha'zhui
针尾鸭,zhen'wei'ya
雉鹑,zhi'chun
雉鸻科,zhi'heng'ke
雉鸡,zhi'ji
雉科,zhi'ke
织女银鸥,zhi'nv'yin'ou
中白鹭,zhong'bai'lu
中杓鹬,zhong'biao'yu
中杜鹃,zhong'du'juan
中国鸟类野外手册,zhong'guo'niao'lei'ye'wai'shou'ce
中华短翅莺,zhong'hua'duan'chi'ying
中华凤头燕鸥,zhong'hua'feng'tou'yan'ou
中华攀雀,zhong'hua'pan'que
中华秋沙鸭,zhong'hua'qiu'sha'ya
中华鹧鸪,zhong'hua'zhe'gu
中亚鸽,zhong'ya'ge
中亚夜鹰,zhong'ya'ye'ying
中贼鸥,zhong'zei'ou
朱背啄花鸟,zhu'bei'zhuo'hua'niao
朱鹮,zhu'huan
珠颈斑鸠,zhu'jing'ban'jiu
侏蓝仙鹟,zhu'lan'xian'weng
朱鹂,zhu'li
朱雀,zhu'que
朱鹀,zhu'wu
