安全标识符,an'quan'biao'zhi'fu
嵌套类型,qian'tao'lei'xing
强名称,qiang'ming'cheng
清单,qing'dan
请求的权限,qing'qiu'de'quan'xian
取消装箱,qu'xiao'zhuang'xiang
区域,qu'yu
区域设置,qu'yu'she'zhi
全局程序集缓存,quan'ju'cheng'xu'ji'huan'cun
全球化,quan'qiu'hua
权限对象,quan'xian'dui'xiang
权限类,quan'xian'lei
容器,rong'qi
容器控件,rong'qi'kong'jian
上下文,shang'xia'wen
上下文属性,shang'xia'wen'shu'xing
设备定义,she'bei'ding'yi
设备功能,she'bei'gong'neng
设备筛选器,she'bei'shai'xuan'qi
设备适配器,she'bei'shi'pei'qi
设备坐标,she'bei'zuo'biao
设计器扩展性,she'ji'qi'kuo'zhan'xing
身份验证,shen'fen'yan'zheng
生成日志,sheng'cheng'ri'zhi
生存期,sheng'cun'qi
声明性安全检查,sheng'ming'xing'an'quan'jian'cha
事件,shi'jian
事件查询,shi'jian'cha'xun
事件筛选器,shi'jian'shai'xuan'qi
事件使用者,shi'jian'shi'yong'zhe
事件使用者提供程序,shi'jian'shi'yong'zhe'ti'gong'cheng'xu
事件提供程序,shi'jian'ti'gong'cheng'xu
世界变换,shi'jie'bian'huan
世界坐标,shi'jie'zuo'biao
视区,shi'qu
实体,shi'ti
实体集,shi'ti'ji
实体框架,shi'ti'kuang'jia
实体类型,shi'ti'lei'xing
实体容器,shi'ti'rong'qi
实体数据模型,shi'ti'shu'ju'mo'xing
视图状态,shi'tu'zhuang'tai
使用方,shi'yong'fang
授权,shou'quan
授予的权限,shou'yu'de'quan'xian
数据绑定,shu'ju'bang'ding
数据存储,shu'ju'cun'chu
数据集设计器,shu'ju'ji'she'ji'qi
数据提供程序,shu'ju'ti'gong'cheng'xu
数据源控件,shu'ju'yuan'kong'jian
属性,shu'xing
死锁,si'suo
私有程序集,si'you'cheng'xu'ji
私有视图状态,si'you'shi'tu'zhuang'tai
宿主,su'zhu
宿主端适配器,su'zhu'duan'shi'pei'qi
宿主控件,su'zhu'kong'jian
宿主项,su'zhu'xiang
宿主应用程序,su'zhu'ying'yong'cheng'xu
索引,suo'yin
索引器,suo'yin'qi
所有者描述,suo'you'zhe'miao'shu
提供程序,ti'gong'cheng'xu
提供方,ti'gong'fang
停靠,ting'kao
同步,tong'bu
通道,tong'dao
通信管线,tong'xin'guan'xian
统一资源标识符,tong'yi'zi'yuan'biao'zhi'fu
通用对象文件格式,tong'yong'dui'xiang'wen'jian'ge'shi
通用类型系统,tong'yong'lei'xing'xi'tong
通用描述发现和集成,tong'yong'miao'shu'fa'xian'he'ji'cheng
通用说明发现和集成,tong'yong'shuo'ming'fa'xian'he'ji'cheng
通用信息模型,tong'yong'xin'xi'mo'xing
图像编解码器,tu'xiang'bian'jie'ma'qi
托管代码,tuo'guan'dai'ma
托管代码扩展,tuo'guan'dai'ma'kuo'zhan
托管对象格式,tuo'guan'dui'xiang'ge'shi
托管数据,tuo'guan'shu'ju
外部样式,wai'bu'yang'shi
外部样式表,wai'bu'yang'shi'biao
外观文件,wai'guan'wen'jian
外键,wai'jian
外接程序,wai'jie'cheng'xu
外接程序的宿主视图,wai'jie'cheng'xu'de'su'zhu'shi'tu
外接程序端适配器,wai'jie'cheng'xu'duan'shi'pei'qi
外接程序视图,wai'jie'cheng'xu'shi'tu
往返行程,wang'fan'xing'cheng
谓词,wei'ci
谓词菜单,wei'ci'cai'dan
委托,wei'tuo
委托计算器,wei'tuo'ji'suan'qi
文本写入器,wen'ben'xie'ru'qi
文档级自定义项,wen'dang'ji'zi'ding'yi'xiang
文档颜色,wen'dang'yan'se
文件,wen'jian
无参数构造函数约束,wu'can'shu'gou'zao'han'shu'yue'shu
系统类,xi'tong'lei
系统属性,xi'tong'shu'xing
下载缓存,xia'zai'huan'cun
限定符,xian'ding'fu
显式接口实现,xian'shi'jie'kou'shi'xian
显示模式,xian'shi'mo'shi
镶边,xiang'bian
相对虚拟地址,xiang'dui'xu'ni'di'zhi
项模板,xiang'mu'ban
项目节点,xiang'mu'jie'dian
协定,xie'ding
信任许可证,xin'ren'xu'ke'zheng
性能计数器,xing'neng'ji'shu'qi
袖珍框架,xiu'zhen'kuang'jia
序列,xu'lie
序列化,xu'lie'hua
虚拟地址,xu'ni'di'zhi
虚拟模式数据绑定,xu'ni'mo'shi'shu'ju'bang'ding
选项卡式停靠栏,xuan'xiang'ka'shi'ting'kao'lan
选项卡式组,xuan'xiang'ka'shi'zu
延迟的查询,yan'chi'de'cha'xun
掩码,yan'ma
掩码占位符,yan'ma'zhan'wei'fu
颜色菜单按钮,yan'se'cai'dan'an'niu
颜色选择器,yan'se'xuan'ze'qi
燕尾形,yan'wei'xing
验证,yan'zheng
验证程序,yan'zheng'cheng'xu
验证服务器控件,yan'zheng'fu'wu'qi'kong'jian
页面坐标,ye'mian'zuo'biao
异步方法,yi'bu'fang'fa
异步回发,yi'bu'hui'fa
异步通信层,yi'bu'tong'xin'ceng
异常助手,yi'chang'zhu'shou
溢出,yi'chu
移动窗体,yi'dong'chuang'ti
移动代码,yi'dong'dai'ma
移动控件,yi'dong'kong'jian
移动用户控件,yi'dong'yong'hu'kong'jian
隐式类型的局部变量,yin'shi'lei'xing'de'ju'bu'bian'liang
引用类型,yin'yong'lei'xing
引用约束,yin'yong'yue'shu
映射规范语言,ying'she'gui'fan'yu'yan
应用程序,ying'yong'cheng'xu
应用程序服务,ying'yong'cheng'xu'fu'wu
应用程序服务数据库,ying'yong'cheng'xu'fu'wu'shu'ju'ku
应用程序基目录,ying'yong'cheng'xu'ji'mu'lu
应用程序级外接程序,ying'yong'cheng'xu'ji'wai'jie'cheng'xu
应用程序清单,ying'yong'cheng'xu'qing'dan
应用程序域,ying'yong'cheng'xu'yu
应用程序状态,ying'yong'cheng'xu'zhuang'tai
用户定义的类型,yong'hu'ding'yi'de'lei'xing
用户控件,yong'hu'kong'jian
永久使用方,yong'jiu'shi'yong'fang
友元程序集,you'yuan'cheng'xu'ji
预编译,yu'bian'yi
语言集成查询,yu'yan'ji'cheng'cha'xun
远程处理,yuan'cheng'chu'li
元数据,yuan'shu'ju
元数据工作区,yuan'shu'ju'gong'zuo'qu
元素初始值设定项,yuan'su'chu'shi'zhi'she'ding'xiang
约束,yue'shu
运算符重载,yun'suan'fu'chong'zai
运行时,yun'xing'shi
运行时可调用的包装,yun'xing'shi'ke'diao'yong'de'bao'zhuang
运行时可调用包装,yun'xing'shi'ke'tiao'yong'bao'zhuang
站点导航,zhan'dian'dao'hang
站点地图,zhan'dian'di'tu
证据,zheng'ju
争用条件,zheng'yong'tiao'jian
正则表达式,zheng'ze'biao'da'shi
直接访问,zhi'jie'fang'wen
值类型,zhi'lei'xing
智能标记,zhi'neng'biao'ji
中间语言,zhong'jian'yu'yan
主互操作程序集,zhu'hu'cao'zuo'cheng'xu'ji
注入的源代码,zhu'ru'de'yuan'dai'ma
主体,zhu'ti
主题,zhu'ti
装饰器,zhuang'shi'qi
装箱,zhuang'xiang
桌面通知窗口,zhuo'mian'tong'zhi'chuang'kou
自定义控件,zi'ding'yi'kong'jian
自定义生成规则,zi'ding'yi'sheng'cheng'gui'ze
自定义属性,zi'ding'yi'shu'xing
自动回发,zi'dong'hui'fa
自动隐藏按钮,zi'dong'yin'cang'an'niu
字段,zi'duan
子句,zi'ju
资源,zi'yuan
组件栏,zu'jian'lan
左对齐,zuo'dui'qi
