八十周年校庆,ba'shi'zhou'nian'xiao'qing
生物光子学研究院,sheng'wu'guang'zi'xue'yan'jiu'yuan
师范,shi'fan
石牌校区,shi'pai'xiao'qu
师培中心,shi'pei'zhong'xin
师资培训中心,shi'zi'pei'xun'zhong'xin
数科院,shu'ke'yuan
数学科学学院,shu'xue'ke'xue'xue'yuan
数学系,shu'xue'xi
数字校园建设办公室,shu'zi'xiao'yuan'jian'she'ban'gong'shi
陶园,tao'yuan
特殊教育学院,te'shu'jiao'yu'xue'yuan
体科院,ti'ke'yuan
体育科学学院,ti'yu'ke'xue'xue'yuan
体育社会科学研究基地,ti'yu'she'hui'ke'xue'yan'jiu'ji'di
退协,tui'xie
退休党总支,tui'xiu'dang'zong'zhi
退休协会,tui'xiu'xie'hui
外国语言文化学院,wai'guo'yu'yan'wen'hua'xue'yuan
外事办,wai'shi'ban
外事办公室,wai'shi'ban'gong'shi
外事处,wai'shi'chu
外文学院,wai'wen'xue'yuan
外语系,wai'yu'xi
网络教育学院,wang'luo'jiao'yu'xue'yuan
网络协会,wang'luo'xie'hui
网络中心,wang'luo'zhong'xin
网院,wang'yuan
王左丹,wang'zuo'dan
为人师表,wei'ren'shi'biao
味之源,wei'zhi'yuan
文化广场,wen'hua'guang'chang
文学院,wen'xue'yuan
物电学院,wu'dian'xue'yuan
吴坚,wu'jian
物理与电信工程学院,wu'li'yu'dian'xin'gong'cheng'xue'yuan
校报,xiao'bao
校本部,xiao'ben'bu
校部楼,xiao'bu'lou
校歌,xiao'ge
校工会,xiao'gong'hui
肖化,xiao'hua
校会,xiao'hui
校徽,xiao'hui
校庆,xiao'qing
校团委,xiao'tuan'wei
校医,xiao'yi
校医院,xiao'yi'yuan
校友办,xiao'you'ban
校友工作办公室,xiao'you'gong'zuo'ban'gong'shi
校友会,xiao'you'hui
心理学,xin'li'xue
心理学院,xin'li'xue'yuan
心理应用研究中心,xin'li'ying'yong'yan'jiu'zhong'xin
新陶园,xin'tao'yuan
信息光电子科技学院,xin'xi'guang'dian'zi'ke'ji'xue'yuan
信息系,xin'xi'xi
信息中心,xin'xi'zhong'xin
宣传统战部,xuan'chuan'tong'zhan'bu
学活,xue'huo
学生工作部,xue'sheng'gong'zuo'bu
学生会,xue'sheng'hui
学生活动中心,xue'sheng'huo'dong'zhong'xin
砚湖,yan'hu
严谨治学,yan'jin'zhi'xue
研究生处,yan'jiu'sheng'chu
研究生院,yan'jiu'sheng'yuan
一课,yi'ke
艺术教育中心,yi'shu'jiao'yu'zhong'xin
艺术团,yi'shu'tuan
一校三区,yi'xiao'san'qu
医药与光子技术实验室,yi'yao'yu'guang'zi'ji'shu'shi'yan'shi
音乐学院,yin'yue'xue'yuan
英语俱乐部,ying'yu'ju'le'bu
英语系,ying'yu'xi
雍园,yong'yuan
院工会,yuan'gong'hui
院团委,yuan'tuan'wei
粤海酒店,yue'hai'jiu'dian
增城学院,zeng'cheng'xue'yuan
招生办,zhao'sheng'ban
招生办公室,zhao'sheng'ban'gong'shi
招生考试处,zhao'sheng'kao'shi'chu
郑建鹏,zheng'jian'peng
政行学院,zheng'xing'xue'yuan
政治与行政学院,zheng'zhi'yu'xing'zheng'xue'yuan
职业教育学院,zhi'ye'jiao'yu'xue'yuan
中文系,zhong'wen'xi
朱竑,zhu'hong
朱孔军,zhu'kong'jun
朱鮀华,zhu'tuo'hua
资产管理处,zi'chan'guan'li'chu
紫荆路,zi'jing'lu
自考办,zi'kao'ban
综合档案室,zong'he'dang'an'shi
组织部,zu'zhi'bu
