按钮菜单,an'niu'cai'dan
轮廓曲线,lun'kuo'qu'xian
螺旋,luo'xuan
漫射色,man'she'se
面颜色模式,mian'yan'se'mo'shi
面样式,mian'yang'shi
命令行,ming'ling'hang
命名对象,ming'ming'dui'xiang
命名范围,ming'ming'fan'wei
命名路径,ming'ming'lu'jing
命名视图,ming'ming'shi'tu
默认光源,mo'ren'guang'yuan
默认图形,mo'ren'tu'xing
默认值,mo'ren'zhi
模式,mo'shi
模型,mo'xing
模型空间,mo'xing'kong'jian
模型视口,mo'xing'shi'kou
拟合点,ni'he'dian
拟合公差,ni'he'gong'cha
平滑着色,ping'hua'zhuo'se
平面视图,ping'mian'shi'tu
平面投影,ping'mian'tou'ying
平铺视口,ping'pu'shi'kou
平曲面,ping'qu'mian
平移,ping'yi
平整面,ping'zheng'mian
企业自定义文件,qi'ye'zi'ding'yi'wen'jian
嵌入,qian'ru
前向面,qian'xiang'mian
请求用户输入,qing'qiu'yong'hu'shu'ru
曲面法线,qu'mian'fa'xian
区域覆盖对象,qu'yu'fu'gai'dui'xiang
全局照明,quan'ju'zhao'ming
三维视图,san'wei'shi'tu
三轴架,san'zhou'jia
扫掠曲面,sao'lue'qu'mian
扫掠实体,sao'lue'shi'ti
色表,se'biao
栅格,shan'ge
栅格界限,shan'ge'jie'xian
上下文选项卡,shang'xia'wen'xuan'xiang'ka
视点,shi'dian
世界坐标,shi'jie'zuo'biao
世界坐标系,shi'jie'zuo'biao'xi
十进制度数,shi'jin'zhi'du'shu
视觉样式,shi'jue'yang'shi
视口,shi'kou
视口配置,shi'kou'pei'zhi
矢量,shi'liang
拾取键,shi'qu'jian
实体对象,shi'ti'dui'xiang
实体历史记录,shi'ti'li'shi'ji'lu
实体图元,shi'ti'tu'yuan
视图,shi'tu
视图类别,shi'tu'lei'bie
十字光标,shi'zi'guang'biao
首次使用气泡,shou'ci'shi'yong'qi'pao
数据链接,shu'ju'lian'jie
输入特性,shu'ru'te'xing
属性标记,shu'xing'biao'ji
属性定义,shu'xing'ding'yi
属性提取文件,shu'xing'ti'qu'wen'jian
属性提取样板文件,shu'xing'ti'qu'yang'ban'wen'jian
属性提示,shu'xing'ti'shi
属性值,shu'xing'zhi
数值集,shu'zhi'ji
衰减,shuai'jian
双面材质,shuang'mian'cai'zhi
水平功能区,shui'ping'gong'neng'qu
水平基线,shui'ping'ji'xian
搜索标记,sou'suo'biao'ji
速博应用中心,su'bo'ying'yong'zhong'xin
素线,su'xian
缩放,suo'fang
特征控制框,te'zheng'kong'zhi'kuang
体积阴影,ti'ji'yin'ying
提示,ti'shi
填充,tian'chong
天空,tian'kong
通道,tong'dao
通过宏导出的选择,tong'guo'hong'dao'chu'de'xuan'ze
透明度,tou'ming'du
透明命令,tou'ming'ming'ling
透射度,tou'she'du
透视图,tou'shi'tu
投影线,tou'ying'xian
图标,tu'biao
图层,tu'ceng
图层平移映射,tu'ceng'ping'yi'ying'she
图层索引,tu'ceng'suo'yin
图钉,tu'ding
图形窗口,tu'xing'chuang'kou
图形范围,tu'xing'fan'wei
图形集,tu'xing'ji
图形界限,tu'xing'jie'xian
图形区,tu'xing'qu
图形样板,tu'xing'yang'ban
图形状态,tu'xing'zhuang'tai
图纸,tu'zhi
图纸集,tu'zhi'ji
图纸空间,tu'zhi'kong'jian
图纸列表,tu'zhi'lie'biao
图纸选择,tu'zhi'xuan'ze
拖引线,tuo'yin'xian
外部参照,wai'bu'can'zhao
弯箭头,wan'jian'tou
位图,wei'tu
纹理贴图,wen'li'tie'tu
文字样式,wen'zi'yang'shi
无名块,wu'ming'kuai
系统变量,xi'tong'bian'liang
线宽,xian'kuan
线框模型,xian'kuang'mo'xing
线型,xian'xing
先选择后执行,xian'xuan'ze'hou'zhi'xing
相对坐标,xiang'dui'zuo'biao
相机,xiang'ji
相机目标,xiang'ji'mu'biao
相邻单元选择,xiang'lin'dan'yuan'xuan'ze
向上方向,xiang'shang'fang'xiang
小控制盘,xiao'kong'zhi'pan
性能调节,xing'neng'tiao'jie
虚屏显示,xu'ping'xian'shi
选择集,xuan'ze'ji
选择节点,xuan'ze'jie'dian
选择栏,xuan'ze'lan
选择敏感度,xuan'ze'min'gan'du
循环外部参照,xun'huan'wai'bu'can'zhao
颜色饱和度,yan'se'bao'he'du
样条曲线,yang'tiao'qu'xian
页面设置,ye'mian'she'zhi
依赖符号,yi'lai'fu'hao
依赖命名对象,yi'lai'ming'ming'dui'xiang
引线尾部,yin'xian'wei'bu
阴影贴图,yin'ying'tie'tu
用户坐标系,yong'hu'zuo'biao'xi
预先选择,yu'xian'xuan'ze
预先选择集,yu'xian'xuan'ze'ji
原点,yuan'dian
运动路径,yun'dong'lu'jing
照度,zhao'du
折返,zhe'fan
折射,zhe'she
阵列,zhen'lie
真实照片级渲染,zhen'shi'zhao'pian'ji'xuan'ran
正交,zheng'jiao
正交模式,zheng'jiao'mo'shi
值节点,zhi'jie'dian
直接距离输入,zhi'jie'ju'li'shu'ru
指南针,zhi'nan'zhen
智能显示,zhi'neng'xian'shi
执行对象捕捉,zhi'xing'dui'xiang'bu'zhuo
指针,zhi'zhen
重生成,zhong'sheng'cheng
主表格碎片,zhu'biao'ge'sui'pian
烛光,zhu'guang
注释,zhu'shi
注释比例,zhu'shi'bi'li
主视图,zhu'shi'tu
注释性,zhu'shi'xing
主自定义文件,zhu'zi'ding'yi'wen'jian
追踪,zhui'zong
追踪菜单,zhui'zong'cai'dan
自定义对象,zi'ding'yi'dui'xiang
自定义夹点,zi'ding'yi'jia'dian
自定义文件,zi'ding'yi'wen'jian
字段,zi'duan
子对象,zi'dui'xiang
子集,zi'ji
自适应采样,zi'shi'ying'cai'yang
自适应降级,zi'shi'ying'jiang'ji
字体,zi'ti
子提示,zi'ti'shi
走样,zou'yang
最终采集,zui'zhong'cai'ji
坐标过滤器,zuo'biao'guo'lv'qi
坐标系,zuo'biao'xi
