阿拉伯石油输出国组织,a'la'bo'shi'you'shu'chu'guo'zu'zhi
变干的泥浆,bian'gan'de'ni'jiang
扁平电缆,bian'ping'dian'lan
边水,bian'shui
变向器,bian'xiang'qi
边缘海,bian'yuan'hai
表层多次波,biao'ceng'duo'ci'bo
表层速度异常,biao'ceng'su'du'yi'chang
标定罐,biao'ding'guan
表观耗氧量,biao'guan'hao'yang'liang
表观粘度,biao'guan'nian'du
表观容积密度,biao'guan'rong'ji'mi'du
表面活性剂体系,biao'mian'huo'xing'ji'ti'xi
表面活性剂型防蜡剂,biao'mian'huo'xing'ji'xing'fang'la'ji
标准短节油管,biao'zhun'duan'jie'you'guan
标准砂,biao'zhun'sha
宾厄姆流体,bin'e'mu'liu'ti
冰川沉积,bing'chuan'chen'ji
冰川角砾,bing'chuan'jiao'li
丙二醇,bing'er'chun
并联管网,bing'lian'guan'wang
冰期,bing'qi
冰碛地层学,bing'qi'di'ceng'xue
并条机,bing'tiao'ji
丙烷脱沥青,bing'wan'tuo'li'qing
丙烯氨解氧化流化床反应器,bing'xi'an'jie'yang'hua'liu'hua'chuang'fan'ying'qi
丙烯醇,bing'xi'chun
丙烯腈苯乙烯树脂,bing'xi'jing'ben'yi'xi'shu'zhi
丙烯歧化,bing'xi'qi'hua
丙烯气相法聚合,bing'xi'qi'xiang'fa'ju'he
丙烯水合,bing'xi'shui'he
丙烯酸酯化,bing'xi'suan'zhi'hua
丙烯酰胺,bing'xi'xian'an
薄互层,bo'hu'ceng
波浪流,bo'lang'liu
波前法,bo'qian'fa
博斯蒂克反演,bo'si'di'ke'fan'yan
波纹塔板,bo'wen'ta'ban
波形曲线显示,bo'xing'qu'xian'xian'shi
博研石油论坛,bo'yan'shi'you'lun'tan
步长,bu'chang
补偿地层密度测井,bu'chang'di'ceng'mi'du'ce'jing
布格校正,bu'ge'jiao'zheng
布格异常,bu'ge'yi'chang
不含蜡石油,bu'han'la'shi'you
不极化电极,bu'ji'hua'dian'ji
不倦的石油业发起人,bu'juan'de'shi'you'ye'fa'qi'ren
不可采出的石油,bu'ke'cai'chu'de'shi'you
捕捞船,bu'lao'chuan
捕液器,bu'ye'qi
不整合,bu'zheng'he
采出程度,cai'chu'cheng'du
彩色显示,cai'se'xian'shi
采样,cai'yang
采样保持单元,cai'yang'bao'chi'dan'yuan
采样率,cai'yang'lv
采油强度,cai'you'qiang'du
采油曲线,cai'you'qu'xian
采油树导向喇叭口,cai'you'shu'dao'xiang'la'ba'kou
采油速率,cai'you'su'lv
参比电极,can'bi'dian'ji
参数集总,can'shu'ji'zong
参数井,can'shu'jing
残渣,can'zha
残渣油,can'zha'you
舱底水泵,cang'di'shui'beng
舱底污水井,cang'di'wu'shui'jing
草图,cao'tu
操作控制系统,cao'zuo'kong'zhi'xi'tong
侧反射,ce'fan'she
测罐内油高,ce'guan'nei'you'gao
测井技术,ce'jing'ji'shu
测井数据处理,ce'jing'shu'ju'chu'li
测井速度,ce'jing'su'du
测井响应方程,ce'jing'xiang'ying'fang'cheng
测量深度,ce'liang'shen'du
测深管,ce'shen'guan
测试阀,ce'shi'fa
测线偏离效应,ce'xian'pian'li'xiao'ying
侧向泄油井,ce'xiang'xie'you'jing
侧向运移,ce'xiang'yun'yi
测斜仪,ce'xie'yi
测压面,ce'ya'mian
侧压系数,ce'ya'xi'shu
层间窜流,ceng'jian'cuan'liu
层间多次波,ceng'jian'duo'ci'bo
层内干扰,ceng'nei'gan'rao
层内运移,ceng'nei'yun'yi
层替换,ceng'ti'huan
层析地震成象,ceng'xi'di'zhen'cheng'xiang
层状介质,ceng'zhuang'jie'zhi
层状油气藏,ceng'zhuang'you'qi'cang
插入式注水泥接箍,cha'ru'shi'zhu'shui'ni'jie'gu
差压控制阀,cha'ya'kong'zhi'fa
差异分离,cha'yi'fen'li
柴油,chai'you
柴油过滤净化装置,chai'you'guo'lv'jing'hua'zhuang'zhi
产量下降曲线,chan'liang'xia'jiang'qu'xian
产量指数递减,chan'liang'zhi'shu'di'jian
常规石油,chang'gui'shi'you
常规岩心分析,chang'gui'yan'xin'fen'xi
长筒取心,chang'tong'qu'xin
常压舱,chang'ya'cang
常压重馏分油,chang'ya'zhong'liu'fen'you
超层序,chao'ceng'xu
潮差,chao'cha
超长电极距测井,chao'chang'dian'ji'ju'ce'jing
超低密度聚乙烯,chao'di'mi'du'ju'yi'xi
超短曲率半径水平井,chao'duan'qu'lv'ban'jing'shui'ping'jing
超高压变压器油,chao'gao'ya'bian'ya'qi'you
超宽组合,chao'kuan'zu'he
超毛细管空隙,chao'mao'xi'guan'kong'xi
潮上带,chao'shang'dai
超声波成象仪,chao'sheng'bo'cheng'xiang'yi
超声波流量计,chao'sheng'bo'liu'liang'ji
超压保护,chao'ya'bao'hu
超越离合器,chao'yue'li'he'qi
车辆齿轮油,che'liang'chi'lun'you
车用机油,che'yong'ji'you
车用汽油,che'yong'qi'you
车装式钻机,che'zhuang'shi'zuan'ji
沉垫,chen'dian
沉积环境,chen'ji'huan'jing
沉积物和底水,chen'ji'wu'he'di'shui
沉积岩,chen'ji'yan
沉降罐,chen'jiang'guan
成膜型缓蚀剂,cheng'mo'xing'huan'shi'ji
成熟作用,cheng'shu'zuo'yong
程序液压控制系统,cheng'xu'ye'ya'kong'zhi'xi'tong
承压区,cheng'ya'qu
承压水头,cheng'ya'shui'tou
成岩裂缝,cheng'yan'lie'feng
齿轮传动钻机,chi'lun'chuan'dong'zuan'ji
齿轮试验机,chi'lun'shi'yan'ji
吃水,chi'shui
吃水标尺,chi'shui'biao'chi
吃水标志,chi'shui'biao'zhi
吃水指示器,chi'shui'zhi'shi'qi
赤铁矿,chi'tie'kuang
重叠法,chong'die'fa
冲积层,chong'ji'ceng
冲激响应,chong'ji'xiang'ying
充气差异电池,chong'qi'cha'yi'dian'chi
冲砂,chong'sha
充填工具,chong'tian'gong'ju
冲头,chong'tou
充油丁苯橡胶,chong'you'ding'ben'xiang'jiao
冲桩,chong'zhuang
冲桩管线,chong'zhuang'guan'xian
抽出塔盘,chou'chu'ta'pan
稠化水驱,chou'hua'shui'qu
稠化水压裂液,chou'hua'shui'ya'lie'ye
稠化酸,chou'hua'suan
抽汲泵,chou'ji'beng
抽汲期间,chou'ji'qi'jian
抽油杆接箍,chou'you'gan'jie'gu
抽油杆钳,chou'you'gan'qian
抽油杆悬挂器,chou'you'gan'xuan'gua'qi
抽油机平衡方式,chou'you'ji'ping'heng'fang'shi
抽油机效率,chou'you'ji'xiao'lv
抽油机最大扭矩,chou'you'ji'zui'da'niu'ju
抽油井诊断技术,chou'you'jing'zhen'duan'ji'shu
稠油开采蒸汽发生器,chou'you'kai'cai'zheng'qi'fa'sheng'qi
触变性流体,chu'bian'xing'liu'ti
储层地质学,chu'ceng'di'zhi'xue
储层基本参数,chu'ceng'ji'ben'can'shu
除钙剂,chu'gai'ji
除垢剂,chu'gou'ji
储罐,chu'guan
储集岩,chu'ji'yan
触媒,chu'mei
储气罐,chu'qi'guan
储气库,chu'qi'ku
除砂,chu'sha
出砂层,chu'sha'ceng
初生石油,chu'sheng'shi'you
储油罐,chu'you'guan
出油管导向喇叭口,chu'you'guan'dao'xiang'la'ba'kou
储油平台,chu'you'ping'tai
传播效应,chuan'bo'xiao'ying
穿钉,chuan'ding
穿孔器,chuan'kong'qi
传热介质油装载泵,chuan're'jie'zhi'you'zhuang'zai'beng
船生噪声,chuan'sheng'zao'sheng
船首绞车,chuan'shou'jiao'che
船用柴油机油,chuan'yong'chai'you'ji'you
船用重油,chuan'yong'zhong'you
垂伸,chui'shen
垂直磁力仪,chui'zhi'ci'li'yi
垂直叠加,chui'zhi'die'jia
磁暴,ci'bao
磁法勘探,ci'fa'kan'tan
磁方位,ci'fang'wei
磁鼓,ci'gu
磁化干扰,ci'hua'gan'rao
磁记录器,ci'ji'lu'qi
磁力低,ci'li'di
磁力分离器,ci'li'fen'li'qi
磁倾角,ci'qing'jiao
次生孔隙度,ci'sheng'kong'xi'du
磁势,ci'shi
次石墨,ci'shi'mo
磁通量,ci'tong'liang
磁性硫化铁,ci'xing'liu'hua'tie
磁性柱塞抽油泵,ci'xing'zhu'sai'chou'you'beng
丛式井口,cong'shi'jing'kou
促进剂,cu'jin'ji
醋酸性盐雾试验,cu'suan'xing'yan'wu'shi'yan
催化重整,cui'hua'chong'zheng
催化裂化,cui'hua'lie'hua
脆化温度,cui'hua'wen'du
催化蒸馏,cui'hua'zheng'liu
脆硫锑铅矿,cui'liu'ti'qian'kuang
脆性岩石,cui'xing'yan'shi
存水率,cun'shui'lv
大地电磁法,da'di'dian'ci'fa
大地滤波,da'di'lv'bo
大钩,da'gou
打捞工具,da'lao'gong'ju
打捞震击器,da'lao'zhen'ji'qi
打捞钻柱,da'lao'zuan'zhu
大陆漂移,da'lu'piao'yi
大钳,da'qian
大水量灭火系统,da'shui'liang'mie'huo'xi'tong
大小头,da'xiao'tou
打桩船,da'zhuang'chuan
打钻,da'zuan
带盘根套筒,dai'pan'gen'tao'tong
带式刹车,dai'shi'sha'che
带有注人流体管的电泵电缆,dai'you'zhu'ren'liu'ti'guan'de'dian'beng'dian'lan
单程距离,dan'cheng'ju'li
单齿额定升降能力,dan'chi'e'ding'sheng'jiang'neng'li
单储系数,dan'chu'xi'shu
单点系泊,dan'dian'xi'bo
胆矾,dan'fan
单环硫化物,dan'huan'liu'hua'wu
单井控制储量,dan'jing'kong'zhi'chu'liang
单井设计,dan'jing'she'ji
单井卫星采油树,dan'jing'wei'xing'cai'you'shu
单舌法撕破强力试验方法,dan'she'fa'si'po'qiang'li'shi'yan'fang'fa
淡水钻井液,dan'shui'zuan'jing'ye
单体硫,dan'ti'liu
单位,dan'wei
单向阀,dan'xiang'fa
单斜,dan'xie
单元环涡流,dan'yuan'huan'wo'liu
单元码,dan'yuan'ma
单轴绞车,dan'zhou'jiao'che
单组分聚硫密封剂,dan'zu'fen'ju'liu'mi'feng'ji
当量循环密度,dang'liang'xun'huan'mi'du
挡土墙,dang'tu'qiang
导管架吊耳,dao'guan'jia'diao'er
导管架固定,dao'guan'jia'gu'ding
导管架下水,dao'guan'jia'xia'shui
导轨油,dao'gui'you
导缆器,dao'lan'qi
导丝盘,dao'si'pan
导向误差,dao'xiang'wu'cha
导向钻头,dao'xiang'zuan'tou
倒装钻具,dao'zhuang'zuan'ju
得克萨斯石油公司,de'ke'sa'si'shi'you'gong'si
德雷克井,de'lei'ke'jing
德累斯登银行,de'lei'si'deng'yin'hang
等差级数,deng'cha'ji'shu
灯法定硫试验,deng'fa'ding'liu'shi'yan
等浮电缆故障寻找器,deng'fu'dian'lan'gu'zhang'xun'zhao'qi
等浮电缆图象,deng'fu'dian'lan'tu'xiang
等含硫值图,deng'han'liu'zhi'tu
等渗透率图,deng'shen'tou'lv'tu
等效烷烃碳数,deng'xiao'wan'ting'tan'shu
灯用煤油,deng'yong'mei'you
地层反褶积,di'ceng'fan'zhe'ji
地层焦化固砂,di'ceng'jiao'hua'gu'sha
地层流体压力,di'ceng'liu'ti'ya'li
地层倾角测井,di'ceng'qing'jiao'ce'jing
地层视电阻率,di'ceng'shi'dian'zu'lv
地层水电阻率,di'ceng'shui'dian'zu'lv
地层微电阻扫描测井,di'ceng'wei'dian'zu'sao'miao'ce'jing
地层油气藏,di'ceng'you'qi'cang
底超,di'chao
地磁场,di'ci'chang
地电剖面,di'dian'pou'mian
低分子烃,di'fen'zi'ting
地基残留冻土层,di'ji'can'liu'dong'tu'ceng
递减系数,di'jian'xi'shu
低截滤波器,di'jie'lv'bo'qi
迪克斯公式,di'ke'si'gong'shi
地块,di'kuai
地垒,di'lei
地沥青,di'li'qing
地沥青胶结料,di'li'qing'jiao'jie'liao
地裂运动,di'lie'yun'dong
滴流床反应器,di'liu'chuang'fan'ying'qi
低硫的,di'liu'de
低硫含蜡渣油,di'liu'han'la'zha'you
低硫原油,di'liu'yuan'you
地幔隆起,di'man'long'qi
地面示功图,di'mian'shi'gong'tu
低粘度柴油,di'nian'du'chai'you
低凝点石油,di'ning'dian'shi'you
底漆,di'qi
地壳均衡说,di'qiao'jun'heng'shuo
地球物理测井学,di'qiu'wu'li'ce'jing'xue
地球资源技术卫星,di'qiu'zi'yuan'ji'shu'wei'xing
底水驱动,di'shui'qu'dong
低水位体系域,di'shui'wei'ti'xi'yu
底水锥进,di'shui'zhui'jin
低通滤波器,di'tong'lv'bo'qi
低通现象,di'tong'xian'xiang
底图,di'tu
滴下,di'xia
地下聚焦效应,di'xia'ju'jiao'xiao'ying
低压报警器,di'ya'bao'jing'qi
低压火炬,di'ya'huo'ju
低压凝析油罐,di'ya'ning'xi'you'guan
低压气净化器,di'ya'qi'jing'hua'qi
低压泄压阀,di'ya'xie'ya'fa
低造浆粘土,di'zao'jiang'nian'tu
地震测深,di'zhen'ce'shen
地震记录仪,di'zhen'ji'lu'yi
地震相分析,di'zhen'xiang'fen'xi
地震钻机,di'zhen'zuan'ji
地址控制,di'zhi'kong'zhi
地质录井,di'zhi'lu'jing
地质模型,di'zhi'mo'xing
地质剖面,di'zhi'pou'mian
地址线,di'zhi'xian
滴状油罐,di'zhuang'you'guan
电磁测厚仪,dian'ci'ce'hou'yi
电磁刹车,dian'ci'sha'che
电磁振动筛,dian'ci'zhen'dong'shai
电动绞盘,dian'dong'jiao'pan
电动球阀,dian'dong'qiu'fa
电动闸阀,dian'dong'zha'fa
电法勘探,dian'fa'kan'tan
电弧钻井,dian'hu'zuan'jing
电化学保护,dian'hua'xue'bao'hu
电化学腐蚀,dian'hua'xue'fu'shi
电极,dian'ji
电极排列,dian'ji'pai'lie
电解法防海生物污着系统,dian'jie'fa'fang'hai'sheng'wu'wu'zhuo'xi'tong
电缆测井服务,dian'lan'ce'jing'fu'wu
电缆头,dian'lan'tou
电缆引入箱,dian'lan'yin'ru'xiang
电离层干扰,dian'li'ceng'gan'rao
电潜单螺杆泵,dian'qian'dan'luo'gan'beng
电潜离心泵机组,dian'qian'li'xin'beng'ji'zu
电热清蜡,dian're'qing'la
电阻率测井,dian'zu'lv'ce'jing
掉格,diao'ge
掉格曲线,diao'ge'qu'xian
吊卡,diao'ka
叠加速度,die'jia'su'du
叠前偏移,die'qian'pian'yi
叠瓦状结构,die'wa'zhuang'jie'gou
丁苯树脂,ding'ben'shu'zhi
顶部压井法,ding'bu'ya'jing'fa
丁二烯苯乙烯嵌段共聚,ding'er'xi'ben'yi'xi'qian'duan'gong'ju
丁腈橡胶,ding'jing'xiang'jiao
定距飞行,ding'ju'fei'xing
顶帽,ding'mao
定期检验,ding'qi'jian'yan
丁烷脱氢,ding'wan'tuo'qing
丁烯氧化,ding'xi'yang'hua
定向井,ding'xiang'jing
定向药包,ding'xiang'yao'bao
定向钻井,ding'xiang'zuan'jing
冻胶型调剖剂,dong'jiao'xing'tiao'pou'ji
动力定位半潜式钻井船,dong'li'ding'wei'ban'qian'shi'zuan'jing'chuan
动力定位模拟控制器,dong'li'ding'wei'mo'ni'kong'zhi'qi
动力机冷却系统,dong'li'ji'leng'que'xi'tong
动力软管卷盘,dong'li'ruan'guan'juan'pan
动力仪,dong'li'yi
动滤失量,dong'lv'shi'liang
东南亚国家联盟石油理事会,dong'nan'ya'guo'jia'lian'meng'shi'you'li'shi'hui
动态裂缝尺寸,dong'tai'lie'feng'chi'cun
动态随机存取存储器,dong'tai'sui'ji'cun'qu'cun'chu'qi
动稳性力臂,dong'wen'xing'li'bi
动用储量,dong'yong'chu'liang
读卡仪,du'ka'yi
堵漏垫,du'lou'dian
短抽油杆,duan'chou'you'gan
短电位,duan'dian'wei
段塞流,duan'sai'liu
短弯钻铤,duan'wan'zuan'ting
短涡轮钻具,duan'wo'lun'zuan'ju
短源距,duan'yuan'ju
对苯二甲酸二甲酯,dui'ben'er'jia'suan'er'jia'zhi
对比曲线,dui'bi'qu'xian
对比温度,dui'bi'wen'du
对比折射法,dui'bi'zhe'she'fa
堆放台,dui'fang'tai
对口,dui'kou
对数比例,dui'shu'bi'li
多触点套管井径仪,duo'chu'dian'tao'guan'jing'jing'yi
多道滤波器,duo'dao'lv'bo'qi
多级抽油杆柱,duo'ji'chou'you'gan'zhu
多井分析,duo'jing'fen'xi
多孔隔板法,duo'kong'ge'ban'fa
多流量试井,duo'liu'liang'shi'jing
多路解编,duo'lu'jie'bian
多相流,duo'xiang'liu
多效润滑脂,duo'xiao'run'hua'zhi
多效添加剂,duo'xiao'tian'jia'ji
多用户作业,duo'yong'hu'zuo'ye
厄特沃什效应,e'te'wo'shi'xiao'ying
二层台高度,er'ceng'tai'gao'du
二次场电位差,er'ci'chang'dian'wei'cha
二次燃烧,er'ci'ran'shao
二次生油,er'ci'sheng'you
二度二线制,er'du'er'xian'zhi
二度三线制,er'du'san'xian'zhi
二甲基丁二烯,er'jia'ji'ding'er'xi
二甲基反异链烷,er'jia'ji'fan'yi'lian'wan
二甲基石蜡烃,er'jia'ji'shi'la'ting
二硫代氨基甲酸酯,er'liu'dai'an'ji'jia'suan'zhi
二硫代缩水甘油,er'liu'dai'suo'shui'gan'you
二硫代碳酸盐,er'liu'dai'tan'suan'yan
二硫化钼,er'liu'hua'mu
二硫化碳,er'liu'hua'tan
二硫化物,er'liu'hua'wu
二维地震,er'wei'di'zhen
二维校正,er'wei'jiao'zheng
二维孔隙网络模型,er'wei'kong'xi'wang'luo'mo'xing
二维两相渗流,er'wei'liang'xiang'shen'liu
二硝基对甲酚,er'xiao'ji'dui'jia'fen
二氧化碳驱,er'yang'hua'tan'qu
二乙二醇,er'yi'er'chun
二乙基己基丙烯酸酯,er'yi'ji'ji'ji'bing'xi'suan'zhi
二乙基硫脲,er'yi'ji'liu'niao
二乙基萘,er'yi'ji'nai
二乙基已醇,er'yi'ji'yi'chun
法国石油公司,fa'guo'shi'you'gong'si
法兰盲板,fa'lan'mang'ban
发泡剂,fa'pao'ji
发送图象分析器,fa'song'tu'xiang'fen'xi'qi
阀体,fa'ti
法向入射,fa'xiang'ru'she
发烟硫酸,fa'yan'liu'suan
发展快的城市,fa'zhan'kuai'de'cheng'shi
阀座拉拔器,fa'zuo'la'ba'qi
钒钝化剂,fan'dun'hua'ji
钒镍比,fan'nie'bi
反射率,fan'she'lv
反射强度,fan'she'qiang'du
凡士林,fan'shi'lin
反投影,fan'tou'ying
反循环,fan'xun'huan
反循环打捞篮,fan'xun'huan'da'lao'lan
反演,fan'yan
反应器,fan'ying'qi
反褶积,fan'zhe'ji
翻转法抢装井口,fan'zhuan'fa'qiang'zhuang'jing'kou
翻转机,fan'zhuan'ji
反转凝析现象,fan'zhuan'ning'xi'xian'xiang
防爆设备,fang'bao'she'bei
防毒面具,fang'du'mian'ju
防风墙,fang'feng'qiang
防腐层抗流淌温度,fang'fu'ceng'kang'liu'tang'wen'du
防火堤,fang'huo'di
防焦剂,fang'jiao'ji
防老剂,fang'lao'ji
防磨接头,fang'mo'jie'tou
防喷器,fang'pen'qi
防喷器控制系统,fang'pen'qi'kong'zhi'xi'tong
防喷器通径,fang'pen'qi'tong'jing
防喷器组,fang'pen'qi'zu
防砂砾石,fang'sha'li'shi
纺丝拉伸工艺,fang'si'la'shen'gong'yi
纺丝拉伸机,fang'si'la'shen'ji
芳烃抽提,fang'ting'chou'ti
方位校正,fang'wei'jiao'zheng
方位控制,fang'wei'kong'zhi
防雾剂,fang'wu'ji
方向渗透率,fang'xiang'shen'tou'lv
方向特性图,fang'xiang'te'xing'tu
芳香族石油,fang'xiang'zu'shi'you
放泄阀,fang'xie'fa
放泄器,fang'xie'qi
防锈添加剂,fang'xiu'tian'jia'ji
防锈油,fang'xiu'you
放油塞,fang'you'sai
防淤渣剂,fang'yu'zha'ji
芳族石油溶剂,fang'zu'shi'you'rong'ji
方钻杆旋扣器,fang'zuan'gan'xuan'kou'qi
方钻铤,fang'zuan'ting
非常规油气资源,fei'chang'gui'you'qi'zi'yuan
非达西渗流,fei'da'xi'shen'liu
非混相驱替,fei'hun'xiang'qu'ti
非活塞式驱替,fei'huo'sai'shi'qu'ti
飞机,fei'ji
非沥青基石油,fei'li'qing'ji'shi'you
非离子型表面活性剂,fei'li'zi'xing'biao'mian'huo'xing'ji
非硫硫化,fei'liu'liu'hua
非硫调氯丁橡胶,fei'liu'tiao'lv'ding'xiang'jiao
非美国石油学会标准管材,fei'mei'guo'shi'you'xue'hui'biao'zhun'guan'cai
非美国石油学会标准油管,fei'mei'guo'shi'you'xue'hui'biao'zhun'you'guan
废弃井,fei'qi'jing
非石油的,fei'shi'you'de
费用预算许可,fei'yong'yu'suan'xu'ke
分辨率,fen'bian'lv
分馏,fen'liu
分流方程,fen'liu'fang'cheng
分流器,fen'liu'qi
分析纯,fen'xi'chun
粪甾烷,fen'zai'wan
分支多侧向井,fen'zhi'duo'ce'xiang'jing
封堵器,feng'du'qi
封隔液,feng'ge'ye
风化,feng'hua
封头,feng'tou
风险系数,feng'xian'xi'shu
副标准燃料,fu'biao'zhun'ran'liao
副承包人,fu'cheng'bao'ren
浮顶升降试验,fu'ding'sheng'jiang'shi'yan
幅度衰减分析,fu'du'shuai'jian'fen'xi
覆盖百分比,fu'gai'bai'fen'bi
覆盖层,fu'gai'ceng
覆盖物,fu'gai'wu
负荷磨损指数,fu'he'mo'sun'zhi'shu
复合平衡抽油机,fu'he'ping'heng'chou'you'ji
复合式石油钻井钻机,fu'he'shi'shi'you'zuan'jing'zuan'ji
富硫石油,fu'liu'shi'you
腐煤型天然气,fu'mei'xing'tian'ran'qi
腐泥化作用,fu'ni'hua'zuo'yong
辐射力,fu'she'li
辐射炉,fu'she'lu
浮式储油装置,fu'shi'chu'you'zhuang'zhi
腐蚀深度,fu'shi'shen'du
复式涡轮钻具,fu'shi'wo'lun'zuan'ju
浮筒,fu'tong
复位开关,fu'wei'kai'guan
负压闪蒸,fu'ya'shan'zheng
负异常,fu'yi'chang
复杂岩性,fu'za'yan'xing
腐殖型裂解气,fu'zhi'xing'lie'jie'qi
辅助电站,fu'zhu'dian'zhan
辅助绕组,fu'zhu'rao'zu
服装,fu'zhuang
钙基润滑脂,gai'ji'run'hua'zhi
改进型气冷反应堆,gai'jin'xing'qi'leng'fan'ying'dui
钙膨润土,gai'peng'run'tu
干点,gan'dian
干电解电容器,gan'dian'jie'dian'rong'qi
干粉灭火器,gan'fen'mie'huo'qi
干井,gan'jing
干酪根,gan'lao'gen
干酪根降解论,gan'lao'gen'jiang'jie'lun
干酪根降解数学模拟法,gan'lao'gen'jiang'jie'shu'xue'mo'ni'fa
干喷射,gan'pen'she
干片整流器,gan'pian'zheng'liu'qi
干扰测试,gan'rao'ce'shi
干扰沉降,gan'rao'chen'jiang
干式采油树,gan'shi'cai'you'shu
干式自动喷洒灭火系统,gan'shi'zi'dong'pen'sa'mie'huo'xi'tong
干燥剂,gan'zao'ji
干燥机,gan'zao'ji
杆状图,gan'zhuang'tu
钢丝绳防喷器,gang'si'sheng'fang'pen'qi
钢丝绳直径,gang'si'sheng'zhi'jing
钢丝折断拉力总和,gang'si'zhe'duan'la'li'zong'he
高氮沥青,gao'dan'li'qing
高含硫原油,gao'han'liu'yuan'you
高含水油层,gao'han'shui'you'ceng
高级地球资源观测系统,gao'ji'di'qiu'zi'yuan'guan'ce'xi'tong
高抗硫水泥,gao'kang'liu'shui'ni
高速层,gao'su'ceng
高碳青质,gao'tan'qing'zhi
高碳脂肪胺,gao'tan'zhi'fang'an
高碳脂肪烃,gao'tan'zhi'fang'ting
高温起泡剂,gao'wen'qi'pao'ji
高温润滑脂,gao'wen'run'hua'zhi
高辛烷值汽油,gao'xin'wan'zhi'qi'you
高压报警器,gao'ya'bao'jing'qi
高压火炬,gao'ya'huo'ju
高压气分液器,gao'ya'qi'fen'ye'qi
高压泄压阀,gao'ya'xie'ya'fa
高钻井液钻井液,gao'zuan'jing'ye'zuan'jing'ye
隔离液,ge'li'ye
隔热层,ge're'ceng
隔热管柱,ge're'guan'zhu
割铣解卡法,ge'xi'jie'ka'fa
各向异性系数,ge'xiang'yi'xing'xi'shu
根部焊道,gen'bu'han'dao
根据液面下降,gen'ju'ye'mian'xia'jiang
庚烷值,geng'wan'zhi
工程地质船,gong'cheng'di'zhi'chuan
共存水饱和度,gong'cun'shui'bao'he'du
拱顶油罐,gong'ding'you'guan
共反射点道集,gong'fan'she'dian'dao'ji
工具面方位,gong'ju'mian'fang'wei
功能选单,gong'neng'xuan'dan
供氢裂化,gong'qing'lie'hua
工业凡士林,gong'ye'fan'shi'lin
供油面积,gong'you'mian'ji
公锥,gong'zhui
工作段,gong'zuo'duan
工作队,gong'zuo'dui
工作队成员,gong'zuo'dui'cheng'yuan
工作梯,gong'zuo'ti
沟边组装,gou'bian'zu'zhuang
构造类型,gou'zao'lei'xing
构造旋回,gou'zao'xuan'hui
构造作用,gou'zao'zuo'yong
构造作用力,gou'zao'zuo'yong'li
古地磁地层学,gu'di'ci'di'ceng'xue
固定床反应器,gu'ding'chuang'fan'ying'qi
固井设备舱,gu'jing'she'bei'cang
固控指数,gu'kong'zhi'shu
固砂技术,gu'sha'ji'shu
