阿贝尔氏密闭实验机,a'bei'er'shi'mi'bi'shi'yan'ji
爱迪生蓄电池,ai'di'sheng'xu'dian'chi
艾杜醇,ai'du'chun
艾杜糖,ai'du'tang
艾杜糖酸,ai'du'tang'suan
埃尔布斯反应,ai'er'bu'si'fan'ying
埃尔金萃取器,ai'er'jin'cui'qu'qi
埃玛图,ai'ma'tu
埃曼,ai'man
艾氏剂,ai'shi'ji
埃斯卡混合融剂,ai'si'ka'hun'he'rong'ji
埃塔反应,ai'ta'fan'ying
爱因斯坦比热方程,ai'yin'si'tan'bi're'fang'cheng
爱因斯坦玻尔方程,ai'yin'si'tan'bo'er'fang'cheng
爱因斯坦光电定律,ai'yin'si'tan'guang'dian'ding'lv
爱因斯坦光化当量定律,ai'yin'si'tan'guang'hua'dang'liang'ding'lv
爱因斯坦扩散方程,ai'yin'si'tan'kuo'san'fang'cheng
爱因斯坦粘度方程式,ai'yin'si'tan'nian'du'fang'cheng'shi
爱因斯坦凝聚,ai'yin'si'tan'ning'ju
爱因斯坦统计,ai'yin'si'tan'tong'ji
暗斑纸,an'ban'zhi
氨苯碱,an'ben'jian
胺苯硫脲,an'ben'liu'niao
氨苄哌替啶,an'bian'pai'ti'ding
安瓿,an'bu
氨蛋白酶,an'dan'bai'mei
安道生,an'dao'sheng
安德烈森型吸管,an'de'lie'sen'xing'xi'guan
安德卢梭法,an'de'lu'suo'fa
氨发酵,an'fa'jiao
暗反应,an'fan'ying
安福粉,an'fu'fen
暗辐射,an'fu'she
氨合成,an'he'cheng
胺化,an'hua
氨化器,an'hua'qi
氨荒酸,an'huang'suan
氨茴内酐,an'hui'nei'gan
氨基苯酚,an'ji'ben'fen
氨基苯甲酸,an'ji'ben'jia'suan
氨基苯甲酸乙酯,an'ji'ben'jia'suan'yi'zhi
氨基苯胂酸,an'ji'ben'shen'suan
氨基苯乙醚,an'ji'ben'yi'mi
氨基吡啶,an'ji'bi'ding
氨基吡啉,an'ji'bi'lin
氨基丙酮,an'ji'bing'tong
氨基草酰阱,an'ji'cao'xian'jing
氨基醇,an'ji'chun
氨基醇类,an'ji'chun'lei
氨基氮,an'ji'dan
氨基蝶呤,an'ji'die'ling
氨基丁酸,an'ji'ding'suan
氨基多胜酵素,an'ji'duo'sheng'jiao'su
氨基分解,an'ji'fen'jie
氨基琥珀酸,an'ji'hu'po'suan
氨基化合物,an'ji'hua'he'wu
氨基磺酸,an'ji'huang'suan
氨基己酸,an'ji'ji'suan
氨基甲苯,an'ji'jia'ben
氨基甲酸,an'ji'jia'suan
氨基甲酸铵,an'ji'jia'suan'an
氨基甲酸盐,an'ji'jia'suan'yan
氨基甲酰氯,an'ji'jia'xian'lv
氨基金属,an'ji'jin'shu
氨基喹啉,an'ji'kui'lin
氨基末端,an'ji'mo'duan
氨基钠,an'ji'na
氨基萘酚,an'ji'nai'fen
氨基萘磺酸,an'ji'nai'huang'suan
氨基脲,an'ji'niao
氨基脲化氢氯,an'ji'niao'hua'qing'lv
氨基氰,an'ji'qing
氨基胜胨酵素,an'ji'sheng'dong'jiao'su
氨基尸,an'ji'shi
氨基水解酶,an'ji'shui'jie'mei
氨基水杨酸,an'ji'shui'yang'suan
氨基塑料尸,an'ji'su'liao'shi
氨基酸,an'ji'suan
氨基酸顺序,an'ji'suan'shun'xu
氨基糖,an'ji'tang
氨基糖苷类抗生物素,an'ji'tang'gan'lei'kang'sheng'wu'su
氨基图,an'ji'tu
氨基戊二酸,an'ji'wu'er'suan
氨基乙硼烷,an'ji'yi'peng'wan
氨基乙醛,an'ji'yi'quan
氨基异戊酸,an'ji'yi'wu'suan
氨基转移,an'ji'zhuan'yi
氨甲喋呤,an'jia'die'ling
胺甲醛,an'jia'quan
氨碱法,an'jian'fa
氨胶乳,an'jiao'ru
氨解,an'jie
氨量测定法,an'liang'ce'ding'fa
氨量计,an'liang'ji
铵茂,an'mao
安纳巴松,an'na'ba'song
氨气,an'qi
氨气塔,an'qi'ta
氨气压缩机,an'qi'ya'suo'ji
安全,an'quan
安全玻璃,an'quan'bo'li
安全操作,an'quan'cao'zuo
安全灯,an'quan'deng
安全阀,an'quan'fa
安全工程,an'quan'gong'cheng
安全火柴,an'quan'huo'chai
安全率,an'quan'lv
安全燃料,an'quan'ran'liao
安全软片,an'quan'ruan'pian
安全运转区域,an'quan'yun'zhuan'qu'yu
安全炸药,an'quan'zha'yao
安山岩,an'shan'yan
桉试,an'shi
氨水,an'shui
安他唑啉,an'ta'zuo'lin
安替吡啉,an'ti'bi'lin
安息香,an'xi'xiang
安息香胶,an'xi'xiang'jiao
安息香酸铵,an'xi'xiang'suan'an
暗线,an'xian
氨熏晒图纸,an'xun'shai'tu'zhi
铵盐,an'yan
氨盐水,an'yan'shui
胺氧化酶,an'yang'hua'mei
氨中毒,an'zhong'du
奥伯迈耶试剂,ao'bo'mai'ye'shi'ji
螯合,ao'he
螯合滴定,ao'he'di'ding
螯合滴定法,ao'he'di'ding'fa
螯合剂,ao'he'ji
螯合离子交换尸,ao'he'li'zi'jiao'huan'shi
螯合效应,ao'he'xiao'ying
螯合型尸,ao'he'xing'shi
奥萨特气体分析器,ao'sa'te'qi'ti'fen'xi'qi
奥氏体,ao'shi'ti
凹栓因,ao'shuan'yin
奥斯特瓦尔德成熟,ao'si'te'wa'er'de'cheng'shu
奥斯特瓦尔德粘度计,ao'si'te'wa'er'de'nian'du'ji
奥斯特瓦尔德稀释定律,ao'si'te'wa'er'de'xi'shi'ding'lv
凹凸式胶片,ao'tu'shi'jiao'pian
螯形化合物,ao'xing'hua'he'wu
螯形环,ao'xing'huan
螯形配合基,ao'xing'pei'he'ji
拔白印花,ba'bai'yin'hua
巴比土酸,ba'bi'tu'suan
巴比妥,ba'bi'tuo
八茶酚,ba'cha'fen
八茶酚胺,ba'cha'fen'an
八茶酸,ba'cha'suan
拔顶蒸去轻油着色,ba'ding'zheng'qu'qing'you'zhuo'se
巴豆醛,ba'dou'quan
巴豆炔,ba'dou'que
巴豆酸,ba'dou'suan
巴豆油,ba'dou'you
钯黑,ba'hei
八甲磷,ba'jia'lin
巴拉塔矢,ba'la'ta'shi
巴黎胡粉白,ba'li'hu'fen'bai
巴黎绿,ba'li'lv
八面体,ba'mian'ti
八区律,ba'qu'lv
拔染剂,ba'ran'ji
拔染试验,ba'ran'shi'yan
钯石棉,ba'shi'mian
巴氏灭菌器,ba'shi'mie'jun'qi
巴氏杀菌,ba'shi'sha'jun
巴惟酸,ba'wei'suan
巴戊,ba'wu
巴戊木红,ba'wu'mu'hong
八氧化三铀,ba'yang'hua'san'you
白氨酸,bai'an'suan
白炽,bai'chi
白蛋白化合物,bai'dan'bai'hua'he'wu
白垩,bai'e
拜尔法,bai'er'fa
拜尔反应,bai'er'fan'ying
拜尔试药,bai'er'shi'yao
白降汞,bai'jiang'gong
白金,bai'jin
白金碟,bai'jin'die
百里酚,bai'li'fen
百里酚蓝,bai'li'fen'lan
百里酚酞,bai'li'fen'tai
百里香醌,bai'li'xiang'kun
白榴石,bai'liu'shi
白毛莨碱,bai'mao'lang'jian
白千层油,bai'qian'ceng'you
白铅矿,bai'qian'kuang
白屈菜季铵碱,bai'qu'cai'ji'an'jian
白屈菜酸,bai'qu'cai'suan
白雀胜提取物,bai'que'sheng'ti'qu'wu
白雀树,bai'que'shu
白热,bai're
白朊,bai'ruan
白色溶胶,bai'se'rong'jiao
白色颜料,bai'se'yan'liao
白水泥,bai'shui'ni
白炭,bai'tan
白糖,bai'tang
白铁矿,bai'tie'kuang
白铁皮,bai'tie'pi
白铜,bai'tong
白头翁脑,bai'tou'weng'nao
白土,bai'tu
白土精制,bai'tu'jing'zhi
白土再生,bai'tu'zai'sheng
白钨矿,bai'wu'kuang
白细胞溶素,bai'xi'bao'rong'su
摆旋式研磨机,bai'xuan'shi'yan'mo'ji
白血球,bai'xue'qiu
白杨黄素,bai'yang'huang'su
白液,bai'ye
白油,bai'you
白油膏,bai'you'gao
白云母,bai'yun'mu
白云石,bai'yun'shi
白云石灰浆,bai'yun'shi'hui'jiang
白云石熔结,bai'yun'shi'rong'jie
伴白朊,ban'bai'ruan
半波电势,ban'bo'dian'shi
板玻璃,ban'bo'li
半成品,ban'cheng'pin
半瓷器,ban'ci'qi
半导体,ban'dao'ti
半导体整流,ban'dao'ti'zheng'liu
斑点,ban'dian
半电池,ban'dian'chi
半电池电势,ban'dian'chi'dian'shi
半干法,ban'gan'fa
半干性油,ban'gan'xing'you
半刚性塑料,ban'gang'xing'su'liao
半固体,ban'gu'ti
半硅砖,ban'gui'zhuan
半裹期,ban'guo'qi
半合成纤维,ban'he'cheng'xian'wei
半化学纸浆,ban'hua'xue'zhi'jiang
半极性键,ban'ji'xing'jian
板极整六,ban'ji'zheng'liu
半焦炭,ban'jiao'tan
半胶体,ban'jiao'ti
半胶质,ban'jiao'zhi
半金属,ban'jin'shu
斑晶,ban'jing
半径比,ban'jing'bi
半卡胞腙,ban'ka'bao'zong
半醌,ban'kun
半联胺,ban'lian'an
半连续化学反应器,ban'lian'xu'hua'xue'fan'ying'qi
板硫烷,ban'liu'wan
半蒎酸,ban'pai'suan
半漂白,ban'piao'bai
半乳糖,ban'ru'tang
半乳糖胺,ban'ru'tang'an
半乳糖苷,ban'ru'tang'gan
半乳糖醛酸,ban'ru'tang'quan'suan
半乳糖脎,ban'ru'tang'sa
半乳糖酸,ban'ru'tang'suan
半石墨,ban'shi'mo
半衰期,ban'shuai'qi
半水合物,ban'shui'he'wu
半水煤气,ban'shui'mei'qi
半塑性炸药,ban'su'xing'zha'yao
半缩醛,ban'suo'quan
半体双晶,ban'ti'shuang'jing
斑铜矿,ban'tong'kuang
半酮缩醇,ban'tong'suo'chun
半透媒,ban'tou'mei
半透玫,ban'tou'mei
半透明,ban'tou'ming
半透膜,ban'tou'mo
半透性,ban'tou'xing
半微分析,ban'wei'fen'xi
半微量天平,ban'wei'liang'tian'ping
伴线,ban'xian
半纤维素,ban'xian'wei'su
板效率,ban'xiao'lv
半烟煤,ban'yan'mei
半硬橡胶,ban'ying'xiang'jiao
半硬质胶,ban'ying'zhi'jiao
半制品,ban'zhi'pin
半自动电镀,ban'zi'dong'dian'du
半自动机器,ban'zi'dong'ji'qi
棒磨机,bang'mo'ji
棒状硫磺,bang'zhuang'liu'huang
薄板,bao'ban
薄层色谱法,bao'ceng'se'pu'fa
保存,bao'cun
保存剂,bao'cun'ji
胞苷,bao'gan
胞苷酸,bao'gan'suan
曝光计,bao'guang'ji
曝光时间,bao'guang'shi'jian
包含化合物,bao'han'hua'he'wu
饱和,bao'he
饱和点,bao'he'dian
饱和度,bao'he'du
饱和甘汞电极,bao'he'gan'gong'dian'ji
饱和化合物,bao'he'hua'he'wu
饱和活性,bao'he'huo'xing
饱和器,bao'he'qi
饱和曲线,bao'he'qu'xian
饱和溶液,bao'he'rong'ye
饱和酸,bao'he'suan
饱和烃,bao'he'ting
饱和温度,bao'he'wen'du
饱和蒸汽压,bao'he'zheng'qi'ya
饱和脂肪酸,bao'he'zhi'fang'suan
保护,bao'hu
保护玻璃,bao'hu'bo'li
保护剂,bao'hu'ji
保护胶体,bao'hu'jiao'ti
保护量,bao'hu'liang
保护设备,bao'hu'she'bei
保护涂层,bao'hu'tu'ceng
保护酌,bao'hu'zhuo
包晶,bao'jing
包晶点,bao'jing'dian
爆裂药,bao'lie'yao
保留容积,bao'liu'rong'ji
保留时间,bao'liu'shi'jian
爆鸣气,bao'ming'qi
胞嗪,bao'qin
暴燃,bao'ran
宝石,bao'shi
保守系,bao'shou'xi
保温漏斗,bao'wen'lou'dou
爆炸波,bao'zha'bo
爆炸范围,bao'zha'fan'wei
爆炸化合物,bao'zha'hua'he'wu
爆炸混合物,bao'zha'hun'he'wu
爆炸火花,bao'zha'huo'hua
爆炸剂,bao'zha'ji
爆炸极限,bao'zha'ji'xian
爆炸链锁反应,bao'zha'lian'suo'fan'ying
爆炸球管,bao'zha'qiu'guan
爆炸热,bao'zha're
爆炸威力,bao'zha'wei'li
爆炸物,bao'zha'wu
爆震,bao'zhen
爆震强度,bao'zhen'qiang'du
爆震速度,bao'zhen'su'du
包装,bao'zhuang
包装机,bao'zhuang'ji
包装纸,bao'zhuang'zhi
倍半萜烯,bei'ban'tie'xi
倍比律,bei'bi'lv
倍长石,bei'chang'shi
钡地纸,bei'di'zhi
贝尔定律,bei'er'ding'lv
贝尔斯登方法,bei'er'si'deng'fang'fa
钡钙玻璃,bei'gai'bo'li
贝格尔混合物,bei'ge'er'hun'he'wu
贝格尔试药,bei'ge'er'shi'yao
钡黄,bei'huang
钡火石玻璃,bei'huo'shi'bo'li
贝壳勒尔射线,bei'ke'le'er'she'xian
贝克曼温度计,bei'ke'man'wen'du'ji
贝克曼转位,bei'ke'man'zhuan'wei
贝壳杉脂丁醇值,bei'ke'shan'zhi'ding'chun'zhi
倍率计,bei'lv'ji
贝美格,bei'mei'ge
贝塞耳微分方程,bei'sai'er'wei'fen'fang'cheng
贝赛麦转炉,bei'sai'mai'zhuan'lu
焙烧,bei'shao
焙烧炉,bei'shao'lu
焙烧收缩,bei'shao'shou'suo
贝特洛原理,bei'te'luo'yuan'li
贝托莱盐,bei'tuo'lai'yan
被吸附原子,bei'xi'fu'yuan'zi
苯胺,ben'an
苯胺点,ben'an'dian
苯胺黑,ben'an'hei
苯胺红,ben'an'hong
苯胺黄,ben'an'huang
苯胺蓝,ben'an'lan
苯胺染料,ben'an'ran'liao
苯胺尸,ben'an'shi
苯胺紫,ben'an'zi
苯巴比妥,ben'ba'bi'tuo
苯吡醇,ben'bi'chun
苯丙氨酸,ben'bing'an'suan
苯并蒽,ben'bing'en
苯并蒽酮,ben'bing'en'tong
苯并呋喃尸,ben'bing'fu'nan'shi
苯并天青精,ben'bing'tian'qing'jing
苯丙酮,ben'bing'tong
苯撑,ben'cheng
苯抽提过程,ben'chou'ti'guo'cheng
苯酚磺酸,ben'fen'huang'suan
苯酚甲醛尸,ben'fen'jia'quan'shi
苯酚醚,ben'fen'mi
苯酚木素,ben'fen'mu'su
苯核,ben'he
苯环,ben'huan
苯磺酸,ben'huang'suan
苯基苯酚,ben'ji'ben'fen
苯基丙烯酸,ben'ji'bing'xi'suan
苯基丁氮酮,ben'ji'ding'dan'tong
苯基醚,ben'ji'mi
苯基哌嗪,ben'ji'pai'qin
苯基乙醇,ben'ji'yi'chun
苯甲酸甲酯,ben'jia'suan'jia'zhi
苯甲酸盐,ben'jia'suan'yan
苯甲酸异戊酯,ben'jia'suan'yi'wu'zhi
苯甲酰基甘氨酸,ben'jia'xian'ji'gan'an'suan
苯甲酰甲醇,ben'jia'xian'jia'chun
苯甲酰甲基溴,ben'jia'xian'jia'ji'xiu
苯肼,ben'jing
苯均四酸,ben'jun'si'suan
苯醌,ben'kun
苯硫酚,ben'liu'fen
苯六甲酸酯,ben'liu'jia'suan'zhi
苯六酸,ben'liu'suan
苯络合物,ben'luo'he'wu
本尼迪特试剂,ben'ni'di'te'shi'ji
苯偶酰,ben'ou'xian
苯偶姻,ben'ou'yin
苯偶姻缩合,ben'ou'yin'suo'he
苯偶姻肟,ben'ou'yin'wo
苯偏四甲酸,ben'pian'si'jia'suan
苯醛,ben'quan
苯醛酸,ben'quan'suan
苯炔,ben'que
本生灯,ben'sheng'deng
本生氏电池,ben'sheng'shi'dian'chi
苯酸,ben'suan
苯酸苄酯,ben'suan'bian'zhi
苯酸丁酯,ben'suan'ding'zhi
苯酸酐,ben'suan'gan
苯酸乙酯,ben'suan'yi'zhi
苯酞,ben'tai
本体聚合,ben'ti'ju'he
苯替吗啉,ben'ti'ma'lin
苯系,ben'xi
苯酰胺,ben'xian'an
苯酰化酌,ben'xian'hua'zhuo
苯酰氯,ben'xian'lv
苯酰萘酚,ben'xian'nai'fen
苯酰替苯胺,ben'xian'ti'ben'an
苯亚磺酸,ben'ya'huang'suan
苯氧基乙酸,ben'yang'ji'yi'suan
苯异丙胺,ben'yi'bing'an
苯乙基醋酸,ben'yi'ji'cu'suan
苯乙醚,ben'yi'mi
苯乙醛,ben'yi'quan
苯乙酮,ben'yi'tong
苯乙烷,ben'yi'wan
苯乙烯,ben'yi'xi
苯乙烯化油,ben'yi'xi'hua'you
苯乙烯尸,ben'yi'xi'shi
苯乙酰胺,ben'yi'xian'an
本寨数,ben'zhai'shu
本盏,ben'zhan
本哲,ben'zhe
苯紫红素,ben'zi'hong'su
崩沸,beng'fei
比保持体积,bi'bao'chi'ti'ji
闭杯闪点试验,bi'bei'shan'dian'shi'yan
比比林,bi'bi'lin
比表面积,bi'biao'mian'ji
比电导率,bi'dian'dao'lv
比电荷,bi'dian'he
比电离,bi'dian'li
比电阻,bi'dian'zu
吡啶,bi'ding
吡啶季胺盐化合物,bi'ding'ji'an'yan'hua'he'wu
吡啶碱,bi'ding'jian
吡啶三甲酸,bi'ding'san'jia'suan
吡哆醇,bi'duo'chun
比尔定律,bi'er'ding'lv
比反应速度常数,bi'fan'ying'su'du'chang'shu
铋化合物,bi'hua'he'wu
比活性,bi'huo'xing
比较法,bi'jiao'fa
比较器,bi'jiao'qi
比较液,bi'jiao'ye
闭壳,bi'ke
比例,bi'li
比例极限,bi'li'ji'xian
比例加强,bi'li'jia'qiang
比例缩减,bi'li'suo'jian
闭路,bi'lu
秘鲁香脂,bi'lu'xiang'zhi
吡咯,bi'luo
吡咯啉,bi'luo'lin
吡咯烷,bi'luo'wan
吡咯烷生物碱类,bi'luo'wan'sheng'wu'jian'lei
吡咯烷酮,bi'luo'wan'tong
比率计,bi'lv'ji
蓖麻醇酸,bi'ma'chun'suan
蓖麻毒,bi'ma'du
蓖麻酸盐,bi'ma'suan'yan
蓖麻油,bi'ma'you
吡喃,bi'nan
吡喃糖,bi'nan'tang
吡喃糖苷,bi'nan'tang'gan
吡喃酮,bi'nan'tong
比能,bi'neng
比粘度,bi'nian'du
比凝聚力,bi'ning'ju'li
吡嗪,bi'qin
比热,bi're
比容,bi'rong
比色滴定,bi'se'di'ding
比色法,bi'se'fa
比色分析,bi'se'fen'xi
比色管,bi'se'guan
比色计,bi'se'ji
比色刻度尺,bi'se'ke'du'chi
比色仪,bi'se'yi
比色指数,bi'se'zhi'shu
俾斯麦棕,bi'si'mai'zong
铋酸,bi'suan
铋酸钠,bi'suan'na
铋酸盐,bi'suan'yan
必需氨基酸,bi'xu'an'ji'suan
必需脂肪酸,bi'xu'zhi'fang'suan
比旋光度,bi'xuan'guang'du
碧玉,bi'yu
比折射度,bi'zhe'she'du
比重,bi'zhong
比重测定法,bi'zhong'ce'ding'fa
比重常数,bi'zhong'chang'shu
比重计,bi'zhong'ji
比重瓶,bi'zhong'ping
比重天平,bi'zhong'tian'ping
比浊法,bi'zhuo'fa
比浊计,bi'zhuo'ji
吡唑,bi'zuo
吡唑啉,bi'zuo'lin
吡唑啉酮,bi'zuo'lin'tong
吡唑啉酮红,bi'zuo'lin'tong'hong
吡唑啉酮染料,bi'zuo'lin'tong'ran'liao
苄胺,bian'an
变暗,bian'an
苄叉苯胺,bian'cha'ben'an
苄叉二氯,bian'cha'er'lv
苄川三氯,bian'chuan'san'lv
苄醇,bian'chun
变分法,bian'fen'fa
变分原理,bian'fen'yuan'li
变构酶,bian'gou'mei
变构性,bian'gou'xing
变构转变,bian'gou'zhuan'bian
苄化,bian'hua
变换器,bian'huan'qi
苄基苯胺,bian'ji'ben'an
苄基氯,bian'ji'lv
苄基纤维素,bian'ji'xian'wei'su
苄基溴,bian'ji'xiu
边界,bian'jie
边界层,bian'jie'ceng
边界条件,bian'jie'tiao'jian
苄腈,bian'jing
遍历假设,bian'li'jia'she
苄硫醇,bian'liu'chun
苄青霉素,bian'qing'mei'su
变色,bian'se
变色间隔,bian'se'jian'ge
变色现象,bian'se'xian'xiang
变态,bian'tai
扁桃苷,bian'tao'gan
扁桃腈,bian'tao'jing
扁桃仁油,bian'tao'ren'you
变位,bian'wei
变位试剂,bian'wei'shi'ji
变形,bian'xing
变性,bian'xing
变性蛋白,bian'xing'dan'bai
变性蛋白质,bian'xing'dan'bai'zhi
变性剂,bian'xing'ji
变性酒精,bian'xing'jiu'jing
变性人造纤维,bian'xing'ren'zao'xian'wei
变形现象,bian'xing'xian'xiang
变性状态,bian'xing'zhuang'tai
变压仆,bian'ya'pu
变压器,bian'ya'qi
变异化学,bian'yi'hua'xue
变异化学的,bian'yi'hua'xue'de
变异系数,bian'yi'xi'shu
编织,bian'zhi
变质矿床,bian'zhi'kuang'chuang
边值问题,bian'zhi'wen'ti
变质岩,bian'zhi'yan
变种,bian'zhong
变阻器,bian'zu'qi
表层发酵,biao'ceng'fa'jiao
标称马力,biao'cheng'ma'li
标定,biao'ding
标定曲线,biao'ding'qu'xian
标定误差,biao'ding'wu'cha
标度,biao'du
表观比重,biao'guan'bi'zhong
表观活化能,biao'guan'huo'hua'neng
表观密度,biao'guan'mi'du
表观粘度,biao'guan'nian'du
表观平衡,biao'guan'ping'heng
标记,biao'ji
标记分子,biao'ji'fen'zi
表氯醇,biao'lv'chun
表面,biao'mian
表面变性,biao'mian'bian'xing
表面波纹,biao'mian'bo'wen
表面层,biao'mian'ceng
表面处理,biao'mian'chu'li
表面电势,biao'mian'dian'shi
表面干燥,biao'mian'gan'zao
表面更新理论,biao'mian'geng'xin'li'lun
表面化学,biao'mian'hua'xue
表面活性,biao'mian'huo'xing
表面活性剂,biao'mian'huo'xing'ji
表面扩散,biao'mian'kuo'san
表面冷凝器,biao'mian'leng'ning'qi
表面密度,biao'mian'mi'du
表面皿,biao'mian'min
表面摩擦,biao'mian'mo'ca
表面能,biao'mian'neng
表面能级,biao'mian'neng'ji
表面粘度,biao'mian'nian'du
表面染色,biao'mian'ran'se
表面燃烧,biao'mian'ran'shao
表面弹性,biao'mian'tan'xing
表面涂层,biao'mian'tu'ceng
表面压力,biao'mian'ya'li
表面硬化,biao'mian'ying'hua
表面再结合,biao'mian'zai'jie'he
表面张力,biao'mian'zhang'li
表面张力计,biao'mian'zhang'li'ji
表面阻力,biao'mian'zu'li
标线,biao'xian
表雄甾酮,biao'xiong'zai'tong
表压力,biao'ya'li
表异构酶,biao'yi'gou'mei
表征表示特性,biao'zheng'biao'shi'te'xing
标志,biao'zhi
标准,biao'zhun
标准稠度,biao'zhun'chou'du
标准大气,biao'zhun'da'qi
标准电池,biao'zhun'dian'chi
标准电极,biao'zhun'dian'ji
标准电极势,biao'zhun'dian'ji'shi
标准电势,biao'zhun'dian'shi
标准光源,biao'zhun'guang'yuan
标准偏差,biao'zhun'pian'cha
标准氢电极,biao'zhun'qing'dian'ji
标准溶液,biao'zhun'rong'ye
标准砂,biao'zhun'sha
标准试样,biao'zhun'shi'yang
标准条件,biao'zhun'tiao'jian
标准温度,biao'zhun'wen'du
标准温度计,biao'zhun'wen'du'ji
标准纤维素,biao'zhun'xian'wei'su
标准压力,biao'zhun'ya'li
标准正交系,biao'zhun'zheng'jiao'xi
标准状态,biao'zhun'zhuang'tai
别构效应,bie'gou'xiao'ying
别嘌呤醇,bie'piao'ling'chun
别肉桂酸,bie'rou'gui'suan
别苏氨酸,bie'su'an'suan
宾汉怜,bin'han'lian
丙胺,bing'an
丙氨酸,bing'an'suan
丙醇,bing'chun
丙醇二酸,bing'chun'er'suan
冰醋酸,bing'cu'suan
冰点,bing'dian
冰点测定器,bing'dian'ce'ding'qi
冰点法,bing'dian'fa
冰点降低滴定,bing'dian'jiang'di'di'ding
冰点降低法,bing'dian'jiang'di'fa
冰点降低计,bing'dian'jiang'di'ji
丙碘酮,bing'dian'tong
病毒,bing'du
丙二醇,bing'er'chun
丙二酸,bing'er'suan
丙二酸二乙酯,bing'er'suan'er'yi'zhi
丙二酸盐,bing'er'suan'yan
丙二酸酯,bing'er'suan'zhi
丙二酸酯合成,bing'er'suan'zhi'he'cheng
丙二烯,bing'er'xi
丙二酰胺,bing'er'xian'an
丙硅烷,bing'gui'wan
并合原理,bing'he'yuan'li
丙基苯,bing'ji'ben
丙基氯,bing'ji'lv
丙基溴,bing'ji'xiu
丙腈,bing'jing
冰晶石,bing'jing'shi
槟榔素,bing'lang'su
冰量热器,bing'liang're'qi
丙硫醇,bing'liu'chun
并流平行流,bing'liu'ping'xing'liu
丙硫氧嘧啶,bing'liu'yang'mi'ding
丙咪嗪,bing'mi'qin
丙醛,bing'quan
丙醛糖,bing'quan'tang
丙炔,bing'que
丙炔酸,bing'que'suan
冰染料,bing'ran'liao
丙三羧酸,bing'san'suo'suan
并四苯,bing'si'ben
丙酸,bing'suan
丙酸苯乙酯,bing'suan'ben'yi'zhi
丙酸丙酯,bing'suan'bing'zhi
丙酸酐,bing'suan'gan
丙酸钠,bing'suan'na
丙酸戊酯,bing'suan'wu'zhi
丙酸纤维素,bing'suan'xian'wei'su
丙酸异戊酸,bing'suan'yi'wu'suan
丙糖,bing'tang
冰糖,bing'tang
丙酮,bing'tong
丙酮醇,bing'tong'chun
丙酮丁醇发酵,bing'tong'ding'chun'fa'jiao
丙酮二羧酸,bing'tong'er'suo'suan
丙酮发酵,bing'tong'fa'jiao
丙酮合氰化氢,bing'tong'he'qing'hua'qing
丙酮基丙酮,bing'tong'ji'bing'tong
丙酮醛,bing'tong'quan
