阿奴是粒大真珠,a'nu'shi'li'da'zhen'zhu
别弟汉文皇后,bie'di'han'wen'huang'hou
别歌,bie'ge
别歌唱,bie'ge'chang
别歌春香传选段,bie'ge'chun'xiang'chuan'xuan'duan
别歌春香传选曲,bie'ge'chun'xiang'chuan'xuan'qu
别窖,bie'jiao
别姐陈碧芳,bie'jie'chen'bi'fang
别妙常逼侄赴试,bie'miao'chang'bi'zhi'fu'shi
别母选自孟丽君,bie'mu'xuan'zi'meng'li'jun
不察桂英冤万重选自打神,bu'cha'gui'ying'yuan'wan'chong'xuan'zi'da'shen
不辞奔驰万里程,bu'ci'ben'chi'wan'li'cheng
不夺魁首誓不还绣襦记选曲,bu'duo'kui'shou'shi'bu'hai'xiu'ru'ji'xuan'qu
不见征袍见囚衣,bu'jian'zheng'pao'jian'qiu'yi
不见征袍见囚衣选自袁崇焕,bu'jian'zheng'pao'jian'qiu'yi'xuan'zi'yuan'chong'huan
不灭豺狼誓不休,bu'mie'chai'lang'shi'bu'xiu
不灭豺狼誓不休杜鹃山选曲,bu'mie'chai'lang'shi'bu'xiu'du'juan'shan'xuan'qu
不为朝廷为黎民,bu'wei'chao'ting'wei'li'min
不为朝廷为黎民金山战鼓选段,bu'wei'chao'ting'wei'li'min'jin'shan'zhan'gu'xuan'duan
采药,cai'yao
采药采药济世登华山,cai'yao'cai'yao'ji'shi'deng'hua'shan
猜疑之心如蛇蝎,cai'yi'zhi'xin'ru'she'xie
沧桑变故志如磐,cang'sang'bian'gu'zhi'ru'pan
沧桑变故志如磐张怡凰,cang'sang'bian'gu'zhi'ru'pan'zhang'yi'huang
藏书陈三五娘选曲,cang'shu'chen'san'wu'niang'xuan'qu
藏书益春藏书选曲,cang'shu'yi'chun'cang'shu'xuan'qu
苍天定鉴奴心田,cang'tian'ding'jian'nu'xin'tian
草亭结拜,cao'ting'jie'bai
草亭结拜张怡凰,cao'ting'jie'bai'zhang'yi'huang
策马匆匆回窑去红鬃烈马,ce'ma'cong'cong'hui'yao'qu'hong'zong'lie'ma
策马匆匆回窑中红鬃烈马,ce'ma'cong'cong'hui'yao'zhong'hong'zong'lie'ma
曾把菱花照,ceng'ba'ling'hua'zhao
柴房对唱,chai'fang'dui'chang
柴房对唱柴房会立体声,chai'fang'dui'chang'chai'fang'hui'li'ti'sheng
柴房对唱柴房会选段,chai'fang'dui'chang'chai'fang'hui'xuan'duan
钗头凤,chai'tou'feng
钗头凤选自沈园绝唱,chai'tou'feng'xuan'zi'shen'yuan'jue'chang
钗头凤折子戏,chai'tou'feng'zhe'zi'xi
长成千成莫做官,chang'cheng'qian'cheng'mo'zuo'guan
嫦娥叹月嫦娥奔月刘小丽,chang'e'tan'yue'chang'e'ben'yue'liu'xiao'li
长盼归期未有期,chang'pan'gui'qi'wei'you'qi
长盼归期未有期辽宋情缘黄盛典,chang'pan'gui'qi'wei'you'qi'liao'song'qing'yuan'huang'sheng'dian
常青指路,chang'qing'zhi'lu
常青指路常青指路片断,chang'qing'zhi'lu'chang'qing'zhi'lu'pian'duan
长忍悲泪诉冤情,chang'ren'bei'lei'su'yuan'qing
长忍悲泪诉冤情井边会选曲,chang'ren'bei'lei'su'yuan'qing'jing'bian'hui'xuan'qu
偿心愿待何年孟丽君杨伟丹,chang'xin'yuan'dai'he'nian'meng'li'jun'yang'wei'dan
潮剧,chao'ju
潮剧唱段精选,chao'ju'chang'duan'jing'xuan
潮剧折子戏芦林会林初发林洁,chao'ju'zhe'zi'xi'lu'lin'hui'lin'chu'fa'lin'jie
潮州八景方言小唱,chao'zhou'ba'jing'fang'yan'xiao'chang
陈琳救主,chen'lin'jiu'zhu
臣一本奏分明包公会李后,chen'yi'ben'zou'fen'ming'bao'gong'hui'li'hou
成人婚姻天赐福,cheng'ren'hun'yin'tian'ci'fu
斥弟选自陈三两,chi'di'xuan'zi'chen'san'liang
痴梦折子戏,chi'meng'zhe'zi'xi
愁恨满怀,chou'hen'man'huai
愁恨满怀苏六娘选曲,chou'hen'man'huai'su'liu'niang'xuan'qu
触目惊心又春光苏武牧羊陈裕,chu'mu'jing'xin'you'chun'guang'su'wu'mu'yang'chen'yu
出征人在话别声中,chu'zheng'ren'zai'hua'bie'sheng'zhong
出征人在话别声中唱,chu'zheng'ren'zai'hua'bie'sheng'zhong'chang
穿曲径,chuan'qu'jing
穿曲径益春藏书吴玉东唱,chuan'qu'jing'yi'chun'cang'shu'wu'yu'dong'chang
传书藏书选曲,chuan'shu'cang'shu'xuan'qu
传闻讯息难为凭,chuan'wen'xun'xi'nan'wei'ping
春到人间红楼梦,chun'dao'ren'jian'hong'lou'meng
春风践约,chun'feng'jian'yue
春风践约到园林,chun'feng'jian'yue'dao'yuan'lin
春风践约到园林苏六娘,chun'feng'jian'yue'dao'yuan'lin'su'liu'niang
春风践约到圆林苏六娘王少瑜,chun'feng'jian'yue'dao'yuan'lin'su'liu'niang'wang'shao'yu
春风践约到园林苏六娘选段,chun'feng'jian'yue'dao'yuan'lin'su'liu'niang'xuan'duan
春风践约到园林苏六娘选曲,chun'feng'jian'yue'dao'yuan'lin'su'liu'niang'xuan'qu
春风践约苏六娘,chun'feng'jian'yue'su'liu'niang
春风一度御园来汤丽娟,chun'feng'yi'du'yu'yuan'lai'tang'li'juan
春风有情临山寨,chun'feng'you'qing'lin'shan'zhai
春风有情临山寨穆桂英张怡凰唱,chun'feng'you'qing'lin'shan'zhai'mu'gui'ying'zhang'yi'huang'chang
春风有情临山寨选自穆桂英,chun'feng'you'qing'lin'shan'zhai'xuan'zi'mu'gui'ying
春风早度界牌关界牌关许淑娥,chun'feng'zao'du'jie'pai'guan'jie'pai'guan'xu'shu'e
春光好,chun'guang'hao
春光易逝夏日长,chun'guang'yi'shi'xia'ri'chang
春江圆月照沙滩,chun'jiang'yuan'yue'zhao'sha'tan
春江圆月照沙滩选自三审凤冠,chun'jiang'yuan'yue'zhao'sha'tan'xuan'zi'san'shen'feng'guan
春柳梦断,chun'liu'meng'duan
此地长留一片心双英会,ci'di'chang'liu'yi'pian'xin'shuang'ying'hui
此地长相思选自告亲夫,ci'di'chang'xiang'si'xuan'zi'gao'qin'fu
此恨绵绵天地间,ci'hen'mian'mian'tian'di'jian
此恨绵绵天地间张怡凰,ci'hen'mian'mian'tian'di'jian'zhang'yi'huang
此恨绵绵永难平,ci'hen'mian'mian'yong'nan'ping
此恨绵绵永难平唱,ci'hen'mian'mian'yong'nan'ping'chang
此酒名叫金生丽,ci'jiu'ming'jiao'jin'sheng'li
此酒名叫金生利,ci'jiu'ming'jiao'jin'sheng'li
此酒名叫金生莉,ci'jiu'ming'jiao'jin'sheng'li
辞郎洲匹夫匹妇,ci'lang'zhou'pi'fu'pi'fu
此身愿效梅花骨,ci'shen'yuan'xiao'mei'hua'gu
此生孽债几时休庵堂认母,ci'sheng'nie'zhai'ji'shi'xiu'an'tang'ren'mu
此心托明月王魁休妻选曲,ci'xin'tuo'ming'yue'wang'kui'xiu'qi'xuan'qu
此眼绵绵永难平谢瑶环,ci'yan'mian'mian'yong'nan'ping'xie'yao'huan
此遭一定赚大钱,ci'zao'yi'ding'zhuan'da'qian
此遭一定赚大钱良玉会姐李有存,ci'zao'yi'ding'zhuan'da'qian'liang'yu'hui'jie'li'you'cun
错系红绳解不开拉郎配,cuo'xi'hong'sheng'jie'bu'kai'la'lang'pei
打不尽豺狼决不下战场,da'bu'jin'chai'lang'jue'bu'xia'zhan'chang
大郎啊问一声武大郎复婚,da'lang'a'wen'yi'sheng'wu'da'lang'fu'hun
大郎呀问一声,da'lang'ya'wen'yi'sheng
大王公主与天齐寿,da'wang'gong'zhu'yu'tian'qi'shou
打新房,da'xin'fang
大义难顾清白身,da'yi'nan'gu'qing'bai'shen
待将东阁迎春开,dai'jiang'dong'ge'ying'chun'kai
玳瓒并非轻佻女,dai'zan'bing'fei'qing'tiao'nv
岱瓒并非轻佻女蚁燕丹,dai'zan'bing'fei'qing'tiao'nv'yi'yan'dan
但求和睦乐绵绵秦凤兰选曲,dan'qiu'he'mu'le'mian'mian'qin'feng'lan'xuan'qu
但求无疚存心胸,dan'qiu'wu'jiu'cun'xin'xiong
但求无疚存心胸无意神医,dan'qiu'wu'jiu'cun'xin'xiong'wu'yi'shen'yi
胆心寒,dan'xin'han
但愿老爷是青天,dan'yuan'lao'ye'shi'qing'tian
但愿明月照花枝串戏定亲选曲,dan'yuan'ming'yue'zhao'hua'zhi'chuan'xi'ding'qin'xuan'qu
当官不可闹特殊,dang'guan'bu'ke'nao'te'shu
当官难徐九经升官记,dang'guan'nan'xu'jiu'jing'sheng'guan'ji
当年朝廷出权奸,dang'nian'chao'ting'chu'quan'jian
刀落头断如长睡,dao'luo'tou'duan'ru'chang'shui
刀落头断如长睡无意神医,dao'luo'tou'duan'ru'chang'shui'wu'yi'shen'yi
刀落头断如长睡无意神医陈潮钦,dao'luo'tou'duan'ru'chang'shui'wu'yi'shen'yi'chen'chao'qin
刀下留情容一言江山儿女,dao'xia'liu'qing'rong'yi'yan'jiang'shan'er'nv
得配佳偶心头安赵少卿选曲,de'pei'jia'ou'xin'tou'an'zhao'shao'qing'xuan'qu
得容宽时且容宽,de'rong'kuan'shi'qie'rong'kuan
得容宽时且容宽选自张春郎削发,de'rong'kuan'shi'qie'rong'kuan'xuan'zi'zhang'chun'lang'xue'fa
德贤思妻百花寺,de'xian'si'qi'bai'hua'si
登山哪怕山岭,deng'shan'na'pa'shan'ling
登山哪怕山岭高,deng'shan'na'pa'shan'ling'gao
狄母思儿狄青解征衣,di'mu'si'er'di'qing'jie'zheng'yi
低头赔罪求得心安宁,di'tou'pei'zui'qiu'de'xin'an'ning
帝舟将相意难猜,di'zhou'jiang'xiang'yi'nan'cai
帝舟将相意难猜辞郎洲黄盛典,di'zhou'jiang'xiang'yi'nan'cai'ci'lang'zhou'huang'sheng'dian
点点血泪染红楼王熙凤选曲,dian'dian'xue'lei'ran'hong'lou'wang'xi'feng'xuan'qu
爹爹不必催女儿蚁燕丹,die'die'bu'bi'cui'nv'er'yi'yan'dan
爹爹留下无价宝红灯记,die'die'liu'xia'wu'jia'bao'hong'deng'ji
定河山,ding'he'shan
定叫山河换新装,ding'jiao'shan'he'huan'xin'zhuang
丁山哭灵唱,ding'shan'ku'ling'chang
丁山哭灵三请樊梨花选曲,ding'shan'ku'ling'san'qing'fan'li'hua'xuan'qu
丁仪自叹,ding'yi'zi'tan
定约,ding'yue
定约荔镜记选场,ding'yue'li'jing'ji'xuan'chang
定州查案回朝转,ding'zhou'cha'an'hui'chao'zhuan
洞房会映雪选自孟丽君,dong'fang'hui'ying'xue'xuan'zi'meng'li'jun
都是老牛的不是,dou'shi'lao'niu'de'bu'shi
独对菱花空自怜王熙凤选曲,du'dui'ling'hua'kong'zi'lian'wang'xi'feng'xuan'qu
睹物思人三进亲王宫游志杰,du'wu'si'ren'san'jin'qin'wang'gong'you'zhi'jie
断桥倾诉白蛇传,duan'qiao'qing'su'bai'she'zhuan
断桥倾诉选自白蛇传,duan'qiao'qing'su'xuan'zi'bai'she'zhuan
断头又应诵离骚,duan'tou'you'ying'song'li'sao
断萧,duan'xiao
断箫南唐遗事,duan'xiao'nan'tang'yi'shi
断萧南唐遗事选段林燕云,duan'xiao'nan'tang'yi'shi'xuan'duan'lin'yan'yun
端阳一去已三朝火烧临江楼,duan'yang'yi'qu'yi'san'zhao'huo'shao'lin'jiang'lou
对明月心事向谁诉,dui'ming'yue'xin'shi'xiang'shui'su
对明月心事向谁诉辞郎洲选段,dui'ming'yue'xin'shi'xiang'shui'su'ci'lang'zhou'xuan'duan
对明月心事向谁诉辞郎洲选曲,dui'ming'yue'xin'shi'xiang'shui'su'ci'lang'zhou'xuan'qu
对月敬上三柱香,dui'yue'jing'shang'san'zhu'xiang
多年寻访无踪影,duo'nian'xun'fang'wu'zong'ying
多情鱼儿,duo'qing'yu'er
多情最是渔家女,duo'qing'zui'shi'yu'jia'nv
多情最是渔家女凤冠梦,duo'qing'zui'shi'yu'jia'nv'feng'guan'meng
恩爱被毁此恨无涯别仙桥选曲,en'ai'bei'hui'ci'hen'wu'ya'bie'xian'qiao'xuan'qu
恩尘怨雾尽扫开,en'chen'yuan'wu'jin'sao'kai
恩愁交织理还乱,en'chou'jiao'zhi'li'hai'luan
恩愁交织理还乱林初发,en'chou'jiao'zhi'li'hai'luan'lin'chu'fa
二度梅,er'du'mei
二娘难抑心头喜汤丽娟陈俊苞,er'niang'nan'yi'xin'tou'xi'tang'li'juan'chen'jun'bao
儿是娘的心头肉银锁怨刘小丽,er'shi'niang'de'xin'tou'rou'yin'suo'yuan'liu'xiao'li
耳听樵楼初更天四状元,er'ting'qiao'lou'chu'geng'tian'si'zhuang'yuan
儿在哪里母不知井边会选曲,er'zai'na'li'mu'bu'zhi'jing'bian'hui'xuan'qu
法场思妻,fa'chang'si'qi
法场思妻宋弘拒婚选段陈楚惠,fa'chang'si'qi'song'hong'ju'hun'xuan'duan'chen'chu'hui
繁管脆弦震耳旁文武香球郑莎,fan'guan'cui'xian'zhen'er'pang'wen'wu'xiang'qiu'zheng'sha
繁弦脆管震耳旁文武香球郑莎,fan'xian'cui'guan'zhen'er'pang'wen'wu'xiang'qiu'zheng'sha
方卿二度到陈府珍珠塔陈俊苞,fang'qing'er'du'dao'chen'fu'zhen'zhu'ta'chen'jun'bao
访鼠,fang'shu
芳心无主神昏乱,fang'xin'wu'zhu'shen'hun'luan
芳心无主神昏乱张怡凰,fang'xin'wu'zhu'shen'hun'luan'zhang'yi'huang
飞觞醉月庆功成,fei'shang'zui'yue'qing'gong'cheng
粉妆楼,fen'zhuang'lou
风啊风梅亭雪,feng'a'feng'mei'ting'xue
风啊风梅亭雪曲,feng'a'feng'mei'ting'xue'qu
风啊风梅亭雪选段,feng'a'feng'mei'ting'xue'xuan'duan
风打松声侬心焦王金龙周丽璇,feng'da'song'sheng'nong'xin'jiao'wang'jin'long'zhou'li'xuan
凤兰托孤秦凤兰选曲,feng'lan'tuo'gu'qin'feng'lan'xuan'qu
凤兰自叹秦凤兰选曲,feng'lan'zi'tan'qin'feng'lan'xuan'qu
峰山叠叠,feng'shan'die'die
峰山叠叠薜仁贵回窑,feng'shan'die'die'bi'ren'gui'hui'yao
峰山叠叠薛仁贵回窑选段许云波,feng'shan'die'die'xue'ren'gui'hui'yao'xuan'duan'xu'yun'bo
风言冷语刺胸膛唱,feng'yan'leng'yu'ci'xiong'tang'chang
风言冷语刺胸膛金花女选曲,feng'yan'leng'yu'ci'xiong'tang'jin'hua'nv'xuan'qu
奉养慈帏慰娘怀,feng'yang'ci'wei'wei'niang'huai
蜂蚁吟方展荣,feng'yi'yin'fang'zhan'rong
风雨情缘风雨情缘林贵敏,feng'yu'qing'yuan'feng'yu'qing'yuan'lin'gui'min
复仇剑割断羞辱念越女复国选曲,fu'chou'jian'ge'duan'xiu'ru'nian'yue'nv'fu'guo'xuan'qu
父女密谋,fu'nv'mi'mou
夫妻对酌且赏春绣襦记选曲,fu'qi'dui'zhuo'qie'shang'chun'xiu'ru'ji'xuan'qu
夫妻恩爱百年长胭脂河,fu'qi'en'ai'bai'nian'chang'yan'zhi'he
夫妻恩爱甜如蜜,fu'qi'en'ai'tian'ru'mi
夫人且息怒,fu'ren'qie'xi'nu
夫人且息怒回书,fu'ren'qie'xi'nu'hui'shu
夫人且息怒回书选段合唱张长城,fu'ren'qie'xi'nu'hui'shu'xuan'duan'he'chang'zhang'chang'cheng
夫人且息怒选自回书全部消声,fu'ren'qie'xi'nu'xuan'zi'hui'shu'quan'bu'xiao'sheng
夫人且息怒选自回书消男声,fu'ren'qie'xi'nu'xuan'zi'hui'shu'xiao'nan'sheng
夫人且息怒选自回书消女声,fu'ren'qie'xi'nu'xuan'zi'hui'shu'xiao'nv'sheng
覆水难收莫再言芦林会,fu'shui'nan'shou'mo'zai'yan'lu'lin'hui
父子结下师生谊,fu'zi'jie'xia'shi'sheng'yi
该悔改时当悔改,gai'hui'gai'shi'dang'hui'gai
该悔改时当悔改林初发,gai'hui'gai'shi'dang'hui'gai'lin'chu'fa
改嫁二字别再言金花女选曲,gai'jia'er'zi'bie'zai'yan'jin'hua'nv'xuan'qu
感君多情又有义,gan'jun'duo'qing'you'you'yi
感君多情又有义选自洛神,gan'jun'duo'qing'you'you'yi'xuan'zi'luo'shen
甘苦与共长相依,gan'ku'yu'gong'chang'xiang'yi
甘苦与共长相依送郎选自金花女,gan'ku'yu'gong'chang'xiang'yi'song'lang'xuan'zi'jin'hua'nv
告阿娘得知几,gao'a'niang'de'zhi'ji
告阿娘得知机,gao'a'niang'de'zhi'ji
告阿娘得知机益春选曲,gao'a'niang'de'zhi'ji'yi'chun'xuan'qu
告良才,gao'liang'cai
告神,gao'shen
告神王魁休妻孙晓燕,gao'shen'wang'kui'xiu'qi'sun'xiao'yan
割别亲人上天庭别仙桥选曲,ge'bie'qin'ren'shang'tian'ting'bie'xian'qiao'xuan'qu
各领风骚,ge'ling'feng'sao
革命重担我承担江姐,ge'ming'zhong'dan'wo'cheng'dan'jiang'jie
革命重担我承担江姐选曲,ge'ming'zhong'dan'wo'cheng'dan'jiang'jie'xuan'qu
革命重担我承担选自江姐,ge'ming'zhong'dan'wo'cheng'dan'xuan'zi'jiang'jie
宫花斜插映锦衣,gong'hua'xie'cha'ying'jin'yi
宫花斜插映锦衣王昭君,gong'hua'xie'cha'ying'jin'yi'wang'zhao'jun
功名害尽诗书客,gong'ming'hai'jin'shi'shu'ke
宫叹血溅南梁宫,gong'tan'xue'jian'nan'liang'gong
古道别,gu'dao'bie
古道别碟恋花,gu'dao'bie'die'lian'hua
古道别蝶恋花,gu'dao'bie'die'lian'hua
辜负爹娘养育恩,gu'fu'die'niang'yang'yu'en
孤魂冷落无依傍柴房会,gu'hun'leng'luo'wu'yi'bang'chai'fang'hui
鼓惊破女儿梦,gu'jing'po'nv'er'meng
顾全名声忍怒嗔王熙凤选曲,gu'quan'ming'sheng'ren'nu'chen'wang'xi'feng'xuan'qu
寡人奉孝送亲归美人泪选曲,gua'ren'feng'xiao'song'qin'gui'mei'ren'lei'xuan'qu
关山有限情无阻,guan'shan'you'xian'qing'wu'zu
国恨更比家仇重,guo'hen'geng'bi'jia'chou'zhong
还都临安可定邦选自金山战鼓,hai'dou'lin'an'ke'ding'bang'xuan'zi'jin'shan'zhan'gu
海神庙里诉奇冤告神版可用,hai'shen'miao'li'su'qi'yuan'gao'shen'ban'ke'yong
海神庙里诉奇冤告神选曲,hai'shen'miao'li'su'qi'yuan'gao'shen'xuan'qu
海神庙里诉奇冤选自打神,hai'shen'miao'li'su'qi'yuan'xuan'zi'da'shen
海神庙里血泪阑干选自打神,hai'shen'miao'li'xue'lei'lan'gan'xuan'zi'da'shen
还与金锁慰平生柳明月选曲,hai'yu'jin'suo'wei'ping'sheng'liu'ming'yue'xuan'qu
含悲带愤诉真情,han'bei'dai'fen'su'zhen'qing
含悲带愤诉真情包公赔情,han'bei'dai'fen'su'zhen'qing'bao'gong'pei'qing
含悲带泪诉真情包公赔情选曲,han'bei'dai'lei'su'zhen'qing'bao'gong'pei'qing'xuan'qu
韩江两岸闹纷纷串戏定亲选曲,han'jiang'liang'an'nao'fen'fen'chuan'xi'ding'qin'xuan'qu
旱雷起睛天,han'lei'qi'jing'tian
旱雷起睛天告亲夫选曲,han'lei'qi'jing'tian'gao'qin'fu'xuan'qu
寒梅傲雪有骨气,han'mei'ao'xue'you'gu'qi
韩文公冻雪,han'wen'gong'dong'xue
韩文公冻雪张长城,han'wen'gong'dong'xue'zhang'chang'cheng
寒鸦戏水,han'ya'xi'shui
含冤负恨惨丧生十五贯,han'yuan'fu'hen'can'sang'sheng'shi'wu'guan
好似乱箭把心穿,hao'si'luan'jian'ba'xin'chuan
好似乱箭把心穿回书黄盛典,hao'si'luan'jian'ba'xin'chuan'hui'shu'huang'sheng'dian
好似鸳鸯并头枕,hao'si'yuan'yang'bing'tou'zhen
好姻缘定在今朝,hao'yin'yuan'ding'zai'jin'zhao
好姻缘定在今朝藏书选曲,hao'yin'yuan'ding'zai'jin'zhao'cang'shu'xuan'qu
好姻缘定在今朝陈三五娘选曲,hao'yin'yuan'ding'zai'jin'zhao'chen'san'wu'niang'xuan'qu
何策规郎离迷津告亲夫,he'ce'gui'lang'li'mi'jin'gao'qin'fu
何处中原认故乡,he'chu'zhong'yuan'ren'gu'xiang
何将芳心寻知已汤丽娟,he'jiang'fang'xin'xun'zhi'yi'tang'li'juan
何惧大漠埋芳魂王昭君,he'ju'da'mo'mai'fang'hun'wang'zhao'jun
何日回邓州,he'ri'hui'deng'zhou
何日回邓州洗马桥选段王锐光,he'ri'hui'deng'zhou'xi'ma'qiao'xuan'duan'wang'rui'guang
何时解却心头忧王,he'shi'jie'que'xin'tou'you'wang
何时能雪竇娥冤,he'shi'neng'xue'dou'e'yuan
何言对答五娘琵琶记,he'yan'dui'da'wu'niang'pi'pa'ji
何言对答赵五娘,he'yan'dui'da'zhao'wu'niang
何言对答赵五娘琵琶记蔡植群,he'yan'dui'da'zhao'wu'niang'pi'pa'ji'cai'zhi'qun
恨不得把爹爹的锁链来扯断,hen'bu'de'ba'die'die'de'suo'lian'lai'che'duan
恨牛王不顾夫妻情,hen'niu'wang'bu'gu'fu'qi'qing
红灯啊红灯,hong'deng'a'hong'deng
红灯啊红灯红灯记曲,hong'deng'a'hong'deng'hong'deng'ji'qu
洪湖水浪打浪,hong'hu'shui'lang'da'lang
洪湖水浪打浪洪湖赤卫队,hong'hu'shui'lang'da'lang'hong'hu'chi'wei'dui
红梅点点斗春光连唱,hong'mei'dian'dian'dou'chun'guang'lian'chang
红男绿女竟潇洒,hong'nan'lv'nv'jing'xiao'sa
候待来世做夫妻选自洛神,hou'dai'lai'shi'zuo'fu'qi'xuan'zi'luo'shen
后继何人定计难天之娇女,hou'ji'he'ren'ding'ji'nan'tian'zhi'jiao'nv
后堂审刘梓坚谢曼婷,hou'tang'shen'liu'zi'jian'xie'man'ting
胡汉二地谱新词,hu'han'er'di'pu'xin'ci
葫芦庙,hu'lu'miao
花郎走四方,hua'lang'zou'si'fang
花园会香罗帕选段,hua'yuan'hui'xiang'luo'pa'xuan'duan
怀抱婴儿跪母前,huai'bao'ying'er'gui'mu'qian
怀珠思夫,huai'zhu'si'fu
欢情未饱叹永决选自吴汉杀妻,huan'qing'wei'bao'tan'yong'jue'xuan'zi'wu'han'sha'qi
皇姑究是何样人秦香莲选曲,huang'gu'jiu'shi'he'yang'ren'qin'xiang'lian'xuan'qu
皇天鉴我苦命人,huang'tian'jian'wo'ku'ming'ren
皇天鉴我苦命人选自磨房会,huang'tian'jian'wo'ku'ming'ren'xuan'zi'mo'fang'hui
回肠百结泪斑斑,hui'chang'bai'jie'lei'ban'ban
廻肠百结泪斑斑粉妆楼林玉,hui'chang'bai'jie'lei'ban'ban'fen'zhuang'lou'lin'yu
毁容警痴郎绣襦记选曲,hui'rong'jing'chi'lang'xiu'ru'ji'xuan'qu
毁容劝夫折子戏绣襦记,hui'rong'quan'fu'zhe'zi'xi'xiu'ru'ji
回十八,hui'shi'ba
回十八梁山伯与祝英台,hui'shi'ba'liang'shan'bo'yu'zhu'ying'tai
回首前尘心怔忡,hui'shou'qian'chen'xin'zheng'chong
回首前尘心怔忡洪承畴许云波,hui'shou'qian'chen'xin'zheng'chong'hong'cheng'chou'xu'yun'bo
回窑薛仁贵回窑选场,hui'yao'xue'ren'gui'hui'yao'xuan'chang
几度风雨,ji'du'feng'yu
几度风雨唱,ji'du'feng'yu'chang
几度风雨荆钗记唱,ji'du'feng'yu'jing'chai'ji'chang
