柏溪,bai'xi
天原,tian'yuan
田园,tian'yuan
天原专线,tian'yuan'zhuan'xian
铁桥,tie'qiao
潼关,tong'guan
土地塘,tu'di'tang
外江路,wai'jiang'lu
沃尔玛,wo'er'ma
五二四,wu'er'si
五二四台,wu'er'si'tai
五粮液,wu'liang'ye
五粮液大道,wu'liang'ye'da'dao
五粮液下生活区,wu'liang'ye'xia'sheng'huo'qu
西大门,xi'da'men
西郊,xi'jiao
西郊农贸市场,xi'jiao'nong'mao'shi'chang
西客站,xi'ke'zhan
下生活区,xia'sheng'huo'qu
县交警大队,xian'jiao'jing'da'dui
县丝绸公司,xian'si'chou'gong'si
咸熙街,xian'xi'jie
小北街,xiao'bei'jie
小溪口,xiao'xi'kou
新菜市,xin'cai'shi
新村,xin'cun
新桥头,xin'qiao'tou
新三中,xin'san'zhong
新水果市场,xin'shui'guo'shi'chang
叙府茶业,xu'fu'cha'ye
叙府路东段,xu'fu'lu'dong'duan
叙府商场,xu'fu'shang'chang
叙府商城,xu'fu'shang'cheng
学堂坡,xue'tang'po
盐坪坝,yan'ping'ba
阳光苑,yang'guang'yuan
宜宾电业局,yi'bin'dian'ye'ju
宜宾海关,yi'bin'hai'guan
宜宾机械厂,yi'bin'ji'xie'chang
宜宾民航,yi'bin'min'hang
宜宾学院,yi'bin'xue'yuan
宜宾烟厂,yi'bin'yan'chang
宜宾移动,yi'bin'yi'dong
宜宾远大,yi'bin'yuan'da
宜宾纸业,yi'bin'zhi'ye
溢香苑,yi'xiang'yuan
一医院,yi'yi'yuan
一中,yi'zhong
一中后门,yi'zhong'hou'men
印刷厂,yin'shua'chang
涌泉街,yong'quan'jie
云龙庄,yun'long'zhuang
云南会馆,yun'nan'hui'guan
真武路,zhen'wu'lu
振兴路,zhen'xing'lu
正和装饰城,zheng'he'zhuang'shi'cheng
正气巷,zheng'qi'xiang
制材厂,zhi'cai'chang
纸厂,zhi'chang
纸厂车队,zhi'chang'che'dui
纸厂大门,zhi'chang'da'men
纸厂二岗,zhi'chang'er'gang
致富路,zhi'fu'lu
中坝大桥,zhong'ba'da'qiao
中渡口,zhong'du'kou
中级法院,zhong'ji'fa'yuan
中山街,zhong'shan'jie
中山生态园,zhong'shan'sheng'tai'yuan
中心市场,zhong'xin'shi'chang
转盘,zhuan'pan
紫荆花园,zi'jing'hua'yuan
孜岩,zi'yan
