阿斯莫,a'si'mo
卜筮,bu'shi
不死生物,bu'si'sheng'wu
捕网,bu'wang
不相信,bu'xiang'xin
操控风相,cao'kong'feng'xiang
操控水位,cao'kong'shui'wei
操控死灵,cao'kong'si'ling
操控天气,cao'kong'tian'qi
操控植物,cao'kong'zhi'wu
操纵死尸,cao'zong'si'shi
察言观色,cha'yan'guan'se
豺狼人,chai'lang'ren
颤动感知,chan'dong'gan'zhi
颤栗症,chan'li'zheng
长柄锤,chang'bing'chui
长船,chang'chuan
长勾刀,chang'gou'dao
长型,chang'xing
长型武器,chang'xing'wu'qi
常驻幻影,chang'zhu'huan'ying
超大体型,chao'da'ti'xing
超凡入圣,chao'fan'ru'sheng
超巨,chao'ju
超巨型,chao'ju'xing
抄录卷轴,chao'lu'juan'zhou
超魔,chao'mo
超魔专长,chao'mo'zhuan'chang
超微体型,chao'wei'ti'xing
超微型,chao'wei'xing
超重,chao'zhong
超自然能力,chao'zi'ran'neng'li
沉默术,chen'mo'shu
趁势,chen'shi
趁势攻击,chen'shi'gong'ji
惩罚之神,cheng'fa'zhi'shen
城门税,cheng'men'shui
乘势攻击,cheng'shi'gong'ji
诚实之域,cheng'shi'zhi'yu
斥喝,chi'he
斥喝不死生物,chi'he'bu'si'sheng'wu
炽火胶,chi'huo'jiao
炽天,chi'tian
炽天神侍,chi'tian'shen'shi
赤铜龙,chi'tong'long
持续伤害,chi'xu'shang'hai
持续时间,chi'xu'shi'jian
赤血石,chi'xue'shi
炽焰法球,chi'yan'fa'qiu
冲刺,chong'ci
崇敬术,chong'jing'shu
虫类生物,chong'lei'sheng'wu
冲撞,chong'zhuang
臭云术,chou'yun'shu
储法,chu'fa
触发术,chu'fa'shu
储法杖,chu'fa'zhang
触手魔藤,chu'shou'mo'teng
储有法术物品,chu'you'fa'shu'wu'pin
穿刺伤害,chuan'ci'shang'hai
传递接触法术,chuan'di'jie'chu'fa'shu
穿林,chuan'lin
穿墙术,chuan'qiang'shu
传送法阵,chuan'song'fa'zhen
传送术,chuan'song'shu
传送物品,chuan'song'wu'pin
传讯术,chuan'xun'shu
闯越,chuang'yue
创造,chuang'zao
吹倒,chui'dao
唇语,chun'yu
刺叉,ci'cha
次级法术无效结界,ci'ji'fa'shu'wu'xiao'jie'jie
次级复原术,ci'ji'fu'yuan'shu
次级幻影,ci'ji'huan'ying
次级异界誓缚,ci'ji'yi'jie'shi'fu
次级异界誓盟,ci'ji'yi'jie'shi'meng
次级造物术,ci'ji'zao'wu'shu
次级指使术,ci'ji'zhi'shi'shu
刺客,ci'ke
刺链,ci'lian
刺石术,ci'shi'shu
刺尾狮,ci'wei'shi
次元锚,ci'yuan'mao
篡改记忆,cuan'gai'ji'yi
催眠术,cui'mian'shu
催眠图纹,cui'mian'tu'wen
措手,cuo'shou
措手不及,cuo'shou'bu'ji
大地精,da'di'jing
大地旅者,da'di'lv'zhe
大法师,da'fa'shi
大祭司,da'ji'si
打击死灵,da'ji'si'ling
大砍刀,da'kan'dao
大狂暴,da'kuang'bao
大顺势斩,da'shun'shi'zhan
大体型,da'ti'xing
大型,da'xing
大型划船,da'xing'hua'chuan
大型蝰蛇,da'xing'kui'she
大型鲨鱼,da'xing'sha'yu
大型蝎子毒,da'xing'xie'zi'du
带刺盔甲,dai'ci'kui'jia
带刺轻型盾牌,dai'ci'qing'xing'dun'pai
带刺铁手套,dai'ci'tie'shou'tao
带刺重型盾牌,dai'ci'zhong'xing'dun'pai
带锁铁手套,dai'suo'tie'shou'tao
单持,dan'chi
单动作,dan'dong'zuo
单动作法术,dan'dong'zuo'fa'shu
单镰,dan'lian
单手,dan'shou
单手持用武器,dan'shou'chi'yong'wu'qi
单手武器,dan'shou'wu'qi
当前生命值,dang'qian'sheng'ming'zhi
道路之神,dao'lu'zhi'shen
刀墙,dao'qiang
导师,dao'shi
倒退飞行,dao'tui'fei'xing
德鲁伊,de'lu'yi
德鲁伊文,de'lu'yi'wen
德鲁伊语,de'lu'yi'yu
等级不平衡,deng'ji'bu'ping'heng
等级平衡,deng'ji'ping'heng
等效,deng'xiao
地底,di'di
地底矮人,di'di'ai'ren
地底半身人,di'di'ban'shen'ren
地底环境,di'di'huan'jing
地底生物,di'di'sheng'wu
地底通用语,di'di'tong'yong'yu
地底侏儒,di'di'zhu'ru
地动术,di'dong'shu
地精,di'jing
抵抗元素伤害,di'kang'yuan'su'shang'hai
抵抗自然诱惑,di'kang'zi'ran'you'huo
迪洛矮人,di'luo'ai'ren
底栖魔鱼,di'qi'mo'yu
地图匣,di'tu'xia
地下城,di'xia'cheng
地下城知识,di'xia'cheng'zhi'shi
地狱猫,di'yu'mao
地狱犬,di'yu'quan
地震术,di'zhen'shu
抵撞,di'zhuang
电蜥蜴,dian'xi'yi
电爪,dian'zhao
凋死术,diao'si'shu
雕像术,diao'xiang'shu
定发,ding'fa
定身,ding'shen
钉头锤,ding'tou'chui
定心密技,ding'xin'mi'ji
冻寒,dong'han
冻寒金属,dong'han'jin'shu
冻寒之触,dong'han'zhi'chu
冬狼,dong'lang
动物,dong'wu
动物定身术,dong'wu'ding'shen'shu
动物化身,dong'wu'hua'shen
动物伙伴,dong'wu'huo'ban
动物交谈,dong'wu'jiao'tan
动物领域,dong'wu'ling'yu
动物亲和,dong'wu'qin'he
动物信使,dong'wu'xin'shi
动物异变,dong'wu'yi'bian
冬用毛毯,dong'yong'mao'tan
斗气击,dou'qi'ji
毒镖,du'biao
读唇,du'chun
读唇术,du'chun'shu
毒击,du'ji
独角兽,du'jiao'shou
毒免疫,du'mian'yi
渎神之语,du'shen'zhi'yu
毒蕈,du'xun
渡鸦,du'ya
独爪蜃,du'zhao'shen
毒针,du'zhen
短矛,duan'mao
短讯暗示,duan'xun'an'shi
短讯术,duan'xun'shu
锻造戒指,duan'zao'jie'zhi
对动物隐形,dui'dong'wu'yin'xing
对抗检定,dui'kang'jian'ding
对死灵隐形,dui'si'ling'yin'xing
遁地兽,dun'di'shou
钝击,dun'ji
钝击伤害,dun'ji'shang'hai
盾牌加值,dun'pai'jia'zhi
盾牌用尖刺,dun'pai'yong'jian'ci
遁术,dun'shu
盾卫者,dun'wei'zhe
躲藏,duo'cang
多重攻击,duo'chong'gong'ji
堕落圣武士,duo'luo'sheng'wu'shi
夺命攻击,duo'ming'gong'ji
多巧手,duo'qiao'shou
跺踏,duo'ta
多头蛇蜥,duo'tou'she'xi
多头原蛇蜥,duo'tou'yuan'she'xi
多武器战斗,duo'wu'qi'zhan'dou
夺心魔,duo'xin'mo
厄瑞斯努,e'rui'si'nu
额外法术,e'wai'fa'shu
额外驱散,e'wai'qu'san
额外语言,e'wai'yu'yan
额外专长,e'wai'zhuan'chang
恩赐,en'ci
耳聋术,er'long'shu
二轮马车,er'lun'ma'che
二十面骰,er'shi'mian'tou
法抗,fa'kang
法兰恩,fa'lan'en
法师,fa'shi
法师护甲,fa'shi'hu'jia
法师之手,fa'shi'zhi'shou
法术,fa'shu
法术辨识,fa'shu'bian'shi
法术材料,fa'shu'cai'liao
法术成分,fa'shu'cheng'fen
法术穿透,fa'shu'chuan'tou
法术定发,fa'shu'ding'fa
法术反制,fa'shu'fan'zhi
法术反转,fa'shu'fan'zhuan
法术共享,fa'shu'gong'xiang
法术灌输,fa'shu'guan'shu
法术极效,fa'shu'ji'xiao
法术抗力,fa'shu'kang'li
法术链,fa'shu'lian
法术免疫,fa'shu'mian'yi
法术默发,fa'shu'mo'fa
法术强效,fa'shu'qiang'xiao
法术升阶,fa'shu'sheng'jie
法术失效,fa'shu'shi'xiao
法术书,fa'shu'shu
法术熟稔,fa'shu'shu'ren
法术瞬发,fa'shu'shun'fa
法术位,fa'shu'wei
法术无效结界,fa'shu'wu'xiao'jie'jie
法术延时,fa'shu'yan'shi
法术增远,fa'shu'zeng'yuan
法术之力,fa'shu'zhi'li
法术专攻,fa'shu'zhuan'gong
法阵,fa'zhen
翻躲,fan'duo
反混乱法阵,fan'hun'luan'fa'zhen
反抗者,fan'kang'zhe
反曲刀,fan'qu'dao
反善良法阵,fan'shan'liang'fa'zhen
反射共鸣,fan'she'gong'ming
反射检定,fan'she'jian'ding
反射闪避,fan'she'shan'bi
反邪恶法阵,fan'xie'e'fa'zhen
反制,fan'zhi
反制法术,fan'zhi'fa'shu
反制法术掌控,fan'zhi'fa'shu'zhang'kong
反制混乱,fan'zhi'hun'luan
反制善良,fan'zhi'shan'liang
反制守序,fan'zhi'shou'xu
反制邪恶,fan'zhi'xie'e
反秩序法阵,fan'zhi'xu'fa'zhen
反重力,fan'zhong'li
犯罪者,fan'zui'zhe
防范探知,fang'fan'tan'zhi
防护法术,fang'hu'fa'shu
防护负能量,fang'hu'fu'neng'liang
防护混乱,fang'hu'hun'luan
防护箭矢,fang'hu'jian'shi
防护善良,fang'hu'shan'liang
防护守序,fang'hu'shou'xu
防护系,fang'hu'xi
防护邪恶,fang'hu'xie'e
防护元素伤害,fang'hu'yuan'su'shang'hai
防活物护罩,fang'huo'wu'hu'zhao
防具检定,fang'ju'jian'ding
防具检定减值,fang'ju'jian'ding'jian'zhi
防魔法力场,fang'mo'fa'li'chang
防生物力场,fang'sheng'wu'li'chang
防死结界,fang'si'jie'jie
防御等级,fang'yu'deng'ji
防御翻滚,fang'yu'fan'gun
防御式,fang'yu'shi
防御式攻击,fang'yu'shi'gong'ji
防御式施法,fang'yu'shi'shi'fa
防御姿态,fang'yu'zi'tai
防植物护罩,fang'zhi'wu'hu'zhao
放逐术,fang'zhu'shu
飞镖齐射,fei'biao'qi'she
飞虫走兽,fei'chong'zou'shou
翡翠,fei'cui
飞斧,fei'fu
飞马,fei'ma
飞跑,fei'pao
飞头蛮,fei'tou'man
飞行术,fei'xing'shu
飞移,fei'yi
飞翼,fei'yi
飞翼夜影,fei'yi'ye'ying
飞越攻击,fei'yue'gong'ji
奋力冲刺,fen'li'chong'ci
粉碎音波,fen'sui'yin'bo
焚云,fen'yun
焚云术,fen'yun'shu
风暴巨人,feng'bao'ju'ren
风巨灵,feng'ju'ling
封蜡,feng'la
风领域,feng'ling'yu
封门术,feng'men'shu
风魔蝠,feng'mo'fu
风墙术,feng'qiang'shu
锋锐钢丝走廊,feng'rui'gang'si'zou'lang
风信之石,feng'xin'zhi'shi
风讯术,feng'xun'shu
风元素,feng'yuan'su
风族,feng'zu
风族语,feng'zu'yu
复仇风暴,fu'chou'feng'bao
附盖提灯,fu'gai'ti'deng
复合长弓,fu'he'chang'gong
复合短弓,fu'he'duan'gong
腐化水质,fu'hua'shui'zhi
腐化武器,fu'hua'wu'qi
缚魂术,fu'hun'shu
腐精油,fu'jing'you
浮空术,fu'kong'shu
缚灵,fu'ling
弗洛魔,fu'luo'mo
弗米,fu'mi
弗米兵蚁,fu'mi'bing'yi
弗米工蚁,fu'mi'gong'yi
弗米蚁族,fu'mi'yi'zu
附魔箭,fu'mo'jian
附魔系,fu'mo'xi
负能量,fu'neng'liang
腐热,fu're
腐热症,fu're'zheng
复生术,fu'sheng'shu
腐尸,fu'shi
腐尸症,fu'shi'zheng
副手,fu'shou
副手武器,fu'shou'wu'qi
俯卧,fu'wo
伏行,fu'xing
伏行夜影,fu'xing'ye'ying
腹语术,fu'yu'shu
复原术,fu'yuan'shu
复制后备,fu'zhi'hou'bei
负重能力,fu'zhong'neng'li
盖丁,gai'ding
盖丁天族,gai'ding'tian'zu
橄榄石,gan'lan'shi
感知,gan'zhi
感知位置,gan'zhi'wei'zhi
感知吸取,gan'zhi'xi'qu
钢筋铁骨,gang'jin'tie'gu
钢面小镜,gang'mian'xiao'jing
钢铁意志,gang'tie'yi'zhi
刚玉,gang'yu
高半身人,gao'ban'shen'ren
高等防卫结界,gao'deng'fang'wei'jie'jie
高等复原术,gao'deng'fu'yuan'shu
高等幻影,gao'deng'huan'ying
高等解除魔法,gao'deng'jie'chu'mo'fa
高等命令术,gao'deng'ming'ling'shu
高等魔化武器,gao'deng'mo'hua'wu'qi
高等魔牙,gao'deng'mo'ya
高等探知,gao'deng'tan'zhi
高等异界誓缚,gao'deng'yi'jie'shi'fu
高等异界誓盟,gao'deng'yi'jie'shi'meng
高等隐形,gao'deng'yin'xing
高等幽影塑能术,gao'deng'you'ying'su'neng'shu
高等幽影咒法术,gao'deng'you'ying'zhou'fa'shu
高等造物术,gao'deng'zao'wu'shu
缟玛瑙,gao'ma'nao
革甲,ge'jia
格利精,ge'li'jing
隔离术,ge'li'shu
格乌什,ge'wu'shi
攻城槌,gong'cheng'chui
攻击加值,gong'ji'jia'zhi
攻击检定,gong'ji'jian'ding
共鸣术,gong'ming'shu
共通,gong'tong
共效,gong'xiao
共效技能,gong'xiao'ji'neng
共效加值,gong'xiao'jia'zhi
狗头人,gou'tou'ren
构装,gou'zhuang
构装生物,gou'zhuang'sheng'wu
构装体,gou'zhuang'ti
构装体类,gou'zhuang'ti'lei
锢魂术,gu'hun'shu
估价,gu'jia
骨面斑兽,gu'mian'ban'shou
鼓舞不死生物,gu'wu'bu'si'sheng'wu
怪物定身术,guai'wu'ding'shen'shu
怪影杀手,guai'ying'sha'shou
灌法箭,guan'fa'jian
关键属性,guan'jian'shu'xing
观命术,guan'ming'shu
观照术,guan'zhao'shu
光亮术,guang'liang'shu
鬼斧神工,gui'fu'shen'gong
鬼火,gui'huo
鬼龙,gui'long
鬼婆,gui'po
诡术,gui'shu
诡术领域,gui'shu'ling'yu
诡术师,gui'shu'shi
贵族火蜥蜴,gui'zu'huo'xi'yi
贵族知识,gui'zu'zhi'shi
滚翻,gun'fan
过渡位面,guo'du'wei'mian
过路税,guo'lu'shui
哈玛魔,ha'ma'mo
海岸巫师,hai'an'wu'shi
海鬼婆,hai'gui'po
海精灵,hai'jing'ling
海克斯托,hai'ke'si'tuo
海若尼斯,hai'ruo'ni'si
海市蜃楼,hai'shi'shen'lou
寒冰锥,han'bing'zhui
寒魔,han'mo
寒魔症,han'mo'zheng
寒蛇蜥,han'she'xi
寒铁,han'tie
寒系,han'xi
嚎兽,hao'shou
号手神使,hao'shou'shen'shi
河船,he'chuan
黑暗精灵,hei'an'jing'ling
黑暗视觉,hei'an'shi'jue
黑暗术,hei'an'shu
黑布丁怪,hei'bu'ding'guai
黑莲汁,hei'lian'zhi
黑龙,hei'long
黑木,hei'mu
黑蛇毒,hei'she'du
黑卫,hei'wei
黑熊,hei'xiong
黑曜石,hei'yao'shi
黑玉,hei'yu
黑珍珠,hei'zhen'zhu
横转,heng'zhuan
红宝石,hong'bao'shi
虹彩图文,hong'cai'tu'wen
虹光法墙,hong'guang'fa'qiang
虹光法球,hong'guang'fa'qiu
虹光喷射,hong'guang'pen'she
红晶石,hong'jing'shi
红龙,hong'long
红条纹玛瑙,hong'tiao'wen'ma'nao
红玉髓,hong'yu'sui
红肿症,hong'zhong'zheng
厚布甲,hou'bu'jia
护盾术,hu'dun'shu
呼唤,hu'huan
胡乱动作,hu'luan'dong'zuo
唬骗,hu'pian
琥珀,hu'po
护卫他人,hu'wei'ta'ren
虎眼绿,hu'yan'lv
化棍法,hua'gun'fa
滑轮组,hua'lun'zu
化泥为石,hua'ni'wei'shi
化石为泥,hua'shi'wei'ni
化兽为友,hua'shou'wei'you
化铁为木,hua'tie'wei'mu
幻变环境,huan'bian'huan'jing
幻化灵体,huan'hua'ling'ti
幻景,huan'jing
缓慢术,huan'man'shu
唤起高等死灵,huan'qi'gao'deng'si'ling
唤起死灵,huan'qi'si'ling
幻墙术,huan'qiang'shu
幻术系,huan'shu'xi
幻叶余烬,huan'ye'yu'jin
幻音术,huan'yin'shu
幻影手,huan'ying'shou
恍惚,huang'hu
慌乱,huang'luan
皇室知识,huang'shi'zhi'shi
黄水晶,huang'shui'jing
黄铜龙,huang'tong'long
黄玉,huang'yu
灰矮人,hui'ai'ren
回避侦测,hui'bi'zhen'ce
灰袋兽,hui'dai'shou
回返真言,hui'fan'zhen'yan
灰飞烟灭,hui'fei'yan'mie
挥击,hui'ji
灰精灵,hui'jing'ling
挥砍伤害,hui'kan'shang'hai
毁灭法阵,hui'mie'fa'zhen
毁灭者,hui'mie'zhe
灰魔蝠,hui'mo'fu
灰泥怪,hui'ni'guai
回闪密技,hui'shan'mi'ji
回神,hui'shen
昏暗视觉,hun'an'shi'jue
混沌护壁,hun'dun'hu'bi
混沌兽,hun'dun'shou
混沌真言,hun'dun'zhen'yan
混沌之锤,hun'dun'zhi'chui
混乱领域,hun'luan'ling'yu
混乱善良,hun'luan'shan'liang
混乱邪恶,hun'luan'xie'e
混乱中立,hun'luan'zhong'li
昏迷,hun'mi
混元,hun'yuan
混元体,hun'yuan'ti
混织铁甲,hun'zhi'tie'jia
火矮人,huo'ai'ren
伙伴关系,huo'ban'guan'xi
活化绳,huo'hua'sheng
活化物体,huo'hua'wu'ti
火甲虫,huo'jia'chong
火巨灵,huo'ju'ling
火巨人,huo'ju'ren
惑控系,huo'kong'xi
火领域,huo'ling'yu
豁免检定,huo'mian'jian'ding
豁免检定共享,huo'mian'jian'ding'gong'xiang
豁免检定难度等级,huo'mian'jian'ding'nan'du'deng'ji
火魔蝠,huo'mo'fu
火墙术,huo'qiang'shu
火球术,huo'qiu'shu
火蛇蜥,huo'she'xi
火童,huo'tong
火系,huo'xi
火系亚种,huo'xi'ya'zhong
火蜥蜴,huo'xi'yi
火焰刀,huo'yan'dao
火焰风暴,huo'yan'feng'bao
火炎怪,huo'yan'guai
火焰护盾,huo'yan'hu'dun
火焰箭,huo'yan'jian
火焰陷阱,huo'yan'xian'jing
火元素,huo'yuan'su
火种术,huo'zhong'shu
火族,huo'zu
火族语,huo'zu'yu
基本攻击加值,ji'ben'gong'ji'jia'zhi
基本豁免加值,ji'ben'huo'mian'jia'zhi
基本速度,ji'ben'su'du
即发,ji'fa
即发法术物品,ji'fa'fa'shu'wu'pin
激发豪情,ji'fa'hao'qing
激发勇气,ji'fa'yong'qi
疾风连击,ji'feng'lian'ji
技能,ji'neng
技能点数,ji'neng'dian'shu
技能共效,ji'neng'gong'xiao
技能级数,ji'neng'ji'shu
技能检定,ji'neng'jian'ding
技能熟稔,ji'neng'shu'ren
技能调整值,ji'neng'tiao'zheng'zhi
击破武器,ji'po'wu'qi
棘墙术,ji'qiang'shu
集群亚种,ji'qun'ya'zhong
即时动作,ji'shi'dong'zuo
极速连击,ji'su'lian'ji
集体暗示,ji'ti'an'shi
集体加速术,ji'ti'jia'su'shu
集体魅惑,ji'ti'mei'huo
集体医疗术,ji'ti'yi'liao'shu
集体隐形,ji'ti'yin'xing
即效,ji'xiao
即效物品,ji'xiao'wu'pin
机运,ji'yun
机运领域,ji'yun'ling'yu
加尔闪金,jia'er'shan'jin
甲伏怪,jia'fu'guai
加固砌石墙,jia'gu'qi'shi'qiang
夹击,jia'ji
迦勒,jia'le
迦勒天使,jia'le'tian'shi
加速术,jia'su'shu
加骰,jia'tou
假象术,jia'xiang'shu
健步如飞,jian'bu'ru'fei
简单武器,jian'dan'wu'qi
鉴定术,jian'ding'shu
监工蚁,jian'gong'yi
减缓毒发,jian'huan'du'fa
尖叫蕈,jian'jiao'xun
剑刃,jian'ren
坚韧,jian'ren
坚韧术,jian'ren'shu
剑刃障壁,jian'ren'zhang'bi
箭术流派,jian'shu'liu'pai
健体密技,jian'ti'mi'ji
箭鹰,jian'ying
箭雨,jian'yu
兼职,jian'zhi
减值,jian'zhi
兼职人物,jian'zhi'ren'wu
建筑与工程知识,jian'zhu'yu'gong'cheng'zhi'shi
健壮,jian'zhuang
奖励专长,jiang'li'zhuan'chang
僵尸,jiang'shi
降咒,jiang'zhou
脚底抹油,jiao'di'mo'you
交涉,jiao'she
焦炎,jiao'yan
焦炎环境,jiao'yan'huan'jing
角翼魔兽,jiao'yi'mo'shou
焦引熏烟,jiao'yin'xun'yan
胶质,jiao'zhi
胶质怪,jiao'zhi'guai
胶质症,jiao'zhi'zheng
接触攻击,jie'chu'gong'ji
解除魔法,jie'chu'mo'fa
解除魔法检定,jie'chu'mo'fa'jian'ding
解除石化,jie'chu'shi'hua
解除装置,jie'chu'zhuang'zhi
解锢,jie'gu
解锢术,jie'gu'shu
借机攻击,jie'ji'gong'ji
解离术,jie'li'shu
解析咒文,jie'xi'zhou'wen
近程射击,jin'cheng'she'ji
金刚魂,jin'gang'hun
金刚木,jin'gang'mu
金刚体,jin'gang'ti
禁锢术,jin'gu'shu
紧勒,jin'le
金龙,jin'long
金绿玉,jin'lv'yu
堇青石,jin'qing'shi
近战攻击,jin'zhan'gong'ji
近战攻击加值,jin'zhan'gong'ji'jia'zhi
近战攻击检定,jin'zhan'gong'ji'jian'ding
近战接触攻击,jin'zhan'jie'chu'gong'ji
近战武器,jin'zhan'wu'qi
禁制术,jin'zhi'shu
禁制学派,jin'zhi'xue'pai
净化食粮,jing'hua'shi'liang
荆棘丛生,jing'ji'cong'sheng
精金,jing'jin
惊惧,jing'ju
警觉,jing'jue
惊恐术,jing'kong'shu
精类,jing'lei
精类生物,jing'lei'sheng'wu
精灵文,jing'ling'wen
精灵语,jing'ling'yu
精灵之神,jing'ling'zhi'shen
精明防御,jing'ming'fang'yu
精砌石墙,jing'qi'shi'qiang
精确刺击,jing'que'ci'ji
精通绊摔,jing'tong'ban'shuai
精通冲撞,jing'tong'chong'zhuang
精通盾击,jing'tong'dun'ji
精通反射闪避,jing'tong'fan'she'shan'bi
精通击破武器,jing'tong'ji'po'wu'qi
精通攫抓,jing'tong'jue'zhua
精通灵活移动,jing'tong'ling'huo'yi'dong
精通驱散,jing'tong'qu'san
精通双武器攻击,jing'tong'shuang'wu'qi'gong'ji
精通徒手击打,jing'tong'tu'shou'ji'da
精通先攻,jing'tong'xian'gong
精通卸除武器,jing'tong'xie'chu'wu'qi
精通战斗流派,jing'tong'zhan'dou'liu'pai
精通直觉闪避,jing'tong'zhi'jue'shan'bi
精通重击,jing'tong'zhong'ji
精通阻绊,jing'tong'zu'ban
精心闪避,jing'xin'shan'bi
经验值,jing'yan'zhi
镜影,jing'ying
镜影术,jing'ying'shu
精制品,jing'zhi'pin
精准射击,jing'zhun'she'ji
纠缠,jiu'chan
纠缠术,jiu'chan'shu
鹫马,jiu'ma
九头蛇蜥,jiu'tou'she'xi
巨虫术,ju'chong'shu
巨虫夜影,ju'chong'ye'ying
巨创,ju'chuang
巨斧,ju'fu
巨剑,ju'jian
距离,ju'li
距离减值,ju'li'jian'zhi
巨镰,ju'lian
巨灵,ju'ling
巨蟒,ju'mang
巨猫头鹰,ju'mao'tou'ying
巨魔,ju'mo
巨木棒,ju'mu'bang
巨人,ju'ren
惧噬体,ju'shi'ti
巨体型,ju'ti'xing
巨蜥,ju'xi
巨型,ju'xing
巨型鳄鱼,ju'xing'e'yu
巨型黄蜂毒,ju'xing'huang'feng'du
巨型蝰蛇,ju'xing'kui'she
巨型鲨鱼,ju'xing'sha'yu
巨型乌贼,ju'xing'wu'zei
巨型章鱼,ju'xing'zhang'yu
巨鹰,ju'ying
卷轴匣,juan'zhou'xia
掘地虫,jue'di'chong
决斗家,jue'dou'jia
绝对中立,jue'dui'zhong'li
绝望暗气,jue'wang'an'qi
绝望术,jue'wang'shu
掘穴,jue'xue
攫抓,jue'zhua
军用武器,jun'yong'wu'qi
开关术,kai'guan'shu
开锁,kai'suo
抗力加值,kang'li'jia'zhi
抗自然诱惑,kang'zi'ran'you'huo
克敌机先,ke'di'ji'xian
柯瑞隆,ke'rui'long
恐慌,kong'huang
恐惧术,kong'ju'shu
空灵体,kong'ling'ti
恐纳魔,kong'na'mo
孔雀石,kong'que'shi
恐兽,kong'shou
空穴环境,kong'xue'huan'jing
恐爪龙,kong'zhao'long
寇德,kou'de
寇涛,kou'tao
寇涛鱼人,kou'tao'yu'ren
骷髅,ku'lou
库斯伯特,ku'si'bo'te
夸塞魔,kua'sai'mo
跨职,kua'zhi
跨职技能,kua'zhi'ji'neng
