安头,an'tou
孙家庄,sun'jia'zhuang
塔上,ta'shang
坛索,tan'suo
炭窑沟,tan'yao'gou
炭腰吉,tan'yao'ji
唐家庄,tang'jia'zhuang
唐院川,tang'yuan'chuan
桃沟,tao'gou
桃红坡,tao'hong'po
桃红坡镇,tao'hong'po'zhen
陶上,tao'shang
田堡,tian'bao
田家坊,tian'jia'fang
田家山,tian'jia'shan
田家洼,tian'jia'wa
田庄,tian'zhuang
铁金,tie'jin
土地沟,tu'di'gou
土索,tu'suo
土塔,tu'ta
洼只山,wa'zhi'shan
洼子条,wa'zi'tiao
王家山,wang'jia'shan
王家庄,wang'jia'zhuang
王润,wang'run
王上坪,wang'shang'ping
苇沟,wei'gou
卫家崖,wei'jia'ya
温泉乡,wen'quan'xiang
武家庄,wu'jia'zhuang
西堡,xi'bao
西沟,xi'gou
西河,xi'he
西交子,xi'jiao'zi
西罗,xi'luo
西坡,xi'po
西山,xi'shan
西宋庄,xi'song'zhuang
西洼,xi'wa
西崖底,xi'ya'di
西营塘,xi'ying'tang
西庄,xi'zhuang
下村,xia'cun
下蒿城,xia'hao'cheng
下科庄,xia'ke'zhuang
下桃花,xia'tao'hua
下硖石,xia'xia'shi
下仙,xia'xian
下益千,xia'yi'qian
下庄,xia'zhuang
响义,xiang'yi
小堡洼,xiao'bao'wa
谢思气,xie'si'qi
新峪,xin'yu
辛庄,xin'zhuang
杏胡,xing'hu
杏泉,xing'quan
兴唐,xing'tang
兴旺,xing'wang
绪家焉,xu'jia'yan
闫家山,yan'jia'shan
焉立,yan'li
焉上,yan'shang
烟头,yan'tou
阳春堡,yang'chun'bao
杨村,yang'cun
杨家沟,yang'jia'gou
杨家岭,yang'jia'ling
杨家山,yang'jia'shan
杨家洼,yang'jia'wa
阳坡,yang'po
杨条,yang'tiao
阳冶,yang'ye
窑科,yao'ke
腰里,yao'li
窑上,yao'shang
窑洼,yao'wa
腰则,yao'ze
腰庄,yao'zhuang
野家坡,ye'jia'po
尹家川,yin'jia'chuan
尹家庄,yin'jia'zhuang
永远庄,yong'yuan'zhuang
峪岸坪,yu'an'ping
榆叉,yu'cha
玉家庄,yu'jia'zhuang
榆树坪,yu'shu'ping
榆树山,yu'shu'shan
元沟,yuan'gou
原上,yuan'shang
云千,yun'qian
枣林,zao'lin
枣洼,zao'wa
枣园,zao'yuan
寨后,zhai'hou
寨南洼,zhai'nan'wa
寨上,zhai'shang
寨焉,zhai'yan
摘叶,zhai'ye
张村,zhang'cun
张家川,zhang'jia'chuan
张家岭,zhang'jia'ling
张家庄,zhang'jia'zhuang
长史庄,zhang'shi'zhuang
赵村,zhao'cun
赵圪垛,zhao'ge'duo
赵家沿,zhao'jia'yan
郑家岭,zheng'jia'ling
支进,zhi'jin
中村,zhong'cun
庄上,zhuang'shang
庄只上,zhuang'zhi'shang
子巷,zi'xiang
左家洼,zuo'jia'wa
