百步余,bai'bu'yu
奸巧语,jian'qiao'yu
见人恶,jian'ren'e
见人善,jian'ren'shan
谏使更,jian'shi'geng
兼漱口,jian'shu'kou
见未真,jian'wei'zhen
渐相亲,jian'xiang'qin
将加人,jiang'jia'ren
将入门,jiang'ru'men
将上堂,jiang'shang'tang
借不难,jie'bu'nan
借人物,jie'ren'wu
皆须爱,jie'xu'ai
谨,jin
进必趋,jin'bi'qu
进退错,jin'tui'cuo
谨为去,jin'wei'qu
紧用功,jin'yong'gong
就补之,jiu'bu'zhi
就人问,jiu'ren'wen
酒肉绝,jiu'rou'jue
居处变,ju'chu'bian
俱紧切,ju'jin'qie
居有常,ju'you'chang
卷束齐,juan'shu'qi
绝勿近,jue'wu'jin
绝勿问,jue'wu'wen
可驯致,ke'xun'zhi
宽为限,kuan'wei'xian
宽转弯,kuan'zhuan'wan
老易至,lao'yi'zhi
类不齐,lei'bu'qi
立端正,li'duan'zheng
理服人,li'fu'ren
力为具,li'wei'ju
列典籍,lie'dian'ji
流俗众,liu'su'zhong
路遇长,lu'yu'chang
忙多错,mang'duo'cuo
昧理真,mei'li'zhen
命乃坐,ming'nai'zuo
名为错,ming'wei'cuo
名为恶,ming'wei'e
名自高,ming'zi'gao
命自我作,ming'zi'wo'zuo
墨磨偏,mo'mo'pian
莫闲管,mo'xian'guan
能亲仁,neng'qin'ren
年方少,nian'fang'shao
纽必结,niu'bi'jie
屏勿视,ping'wu'shi
骑下马,qi'xia'ma
墙壁净,qiang'bi'jing
切戒之,qie'jie'zhi
切莫揭,qie'mo'jie
切莫说,qie'mo'shuo
亲爱我,qin'ai'wo
亲仁,qin'ren
亲所恶,qin'suo'e
亲所好,qin'suo'hao
亲心伤,qin'xin'shang
亲有过,qin'you'guo
亲有疾,qin'you'ji
亲憎我,qin'zeng'wo
求确义,qiu'que'yi
取宜少,qu'yi'shao
却非宜,que'fei'yi
人不安,ren'bu'an
人不闲,ren'bu'xian
人不在,ren'bu'zai
人多畏,ren'duo'wei
任己见,ren'ji'jian
人所服,ren'suo'fu
人所能,ren'suo'neng
人所重,ren'suo'zhong
人问谁,ren'wen'shui
人有短,ren'you'duan
人有私,ren'you'si
仁者希,ren'zhe'xi
人知之,ren'zhi'zhi
柔吾声,rou'wu'sheng
如事父,ru'shi'fu
如事生,ru'shi'sheng
如事兄,ru'shi'xiong
入虚室,ru'xu'shi
如有人,ru'you'ren
入则孝,ru'ze'xiao
如执盈,ru'zhi'ying
若衣服,ruo'yi'fu
若饮食,ruo'yin'shi
丧尽礼,sang'jin'li
丧三年,sang'san'nian
色不媚,se'bu'mei
善相劝,shan'xiang'quan
上循分,shang'xun'fen
身贵端,shen'gui'duan
身有伤,shen'you'shang
声必扬,sheng'bi'yang
圣人训,sheng'ren'xun
声要低,sheng'yao'di
圣与贤,sheng'yu'xian
事非宜,shi'fei'yi
势服人,shi'fu'ren
食适可,shi'shi'ke
事死者,shi'si'zhe
事虽小,shi'sui'xiao
事勿忙,shi'wu'mang
视勿移,shi'wu'yi
事诸父,shi'zhu'fu
事诸兄,shi'zhu'xiong
首孝弟,shou'xiao'di
虽贵端,sui'gui'duan
虽有急,sui'you'ji
随札记,sui'zha'ji
损友来,sun'you'lai
挞无怨,ta'wu'yuan
倘不问,tang'bu'wen
倘掩饰,tang'yan'shi
天同覆,tian'tong'fu
同是人,tong'shi'ren
退必迟,tui'bi'chi
退恭立,tui'gong'li
袜与履,wa'yu'lv
望自大,wang'zi'da
唯才艺,wei'cai'yi
唯德学,wei'de'xue
惟其是,wei'qi'shi
闻过怒,wen'guo'nu
闻过欣,wen'guo'xin
问起对,wen'qi'dui
问孰存,wen'shu'cun
闻誉恐,wen'yu'kong
闻誉乐,wen'yu'le
勿跛倚,wu'bo'yi
勿谄富,wu'chan'fu
勿触棱,wu'chu'leng
勿过则,wu'guo'ze
勿呼名,wu'hu'ming
勿话扰,wu'hua'rao
勿急疾,wu'ji'ji
勿箕踞,wu'ji'ju
无加警,wu'jia'jing
勿见能,wu'jian'neng
勿践阈,wu'jian'yu
勿拣择,wu'jian'ze
勿骄贫,wu'jiao'pin
勿乱顿,wu'luan'dun
勿模糊,wu'mo'hu
勿慕彼,wu'mu'bi
勿佞巧,wu'ning'qiao
勿轻传,wu'qing'chuan
勿轻略,wu'qing'lue
勿轻诺,wu'qing'nuo
勿轻言,wu'qing'yan
勿轻訾,wu'qing'zi
勿擅为,wu'shan'wei
勿生戚,wu'sheng'qi
勿事搅,wu'shi'jiao
勿私藏,wu'si'cang
物虽小,wu'sui'xiao
勿畏难,wu'wei'nan
勿喜新,wu'xi'xin
无限害,wu'xian'hai
无限好,wu'xian'hao
无心非,wu'xin'fei
勿厌故,wu'yan'gu
勿摇髀,wu'yao'bi
勿饮酒,wu'yin'jiu
勿有声,wu'you'sheng
吾与我,wu'yu'wo
勿自暴,wu'zi'bao
勿自弃,wu'zi'qi
勿自私,wu'zi'si
惜此时,xi'ci'shi
奚可焉,xi'ke'yan
下称家,xia'cheng'jia
夏则凊,xia'ze'qing
先问己,xian'wen'ji
孝方贤,xiao'fang'xian
孝何难,xiao'he'nan
小人进,xiao'ren'jin
孝在中,xiao'zai'zhong
邪僻事,xie'pi'shi
信,xin
心不端,xin'bu'duan
心不然,xin'bu'ran
信皆要,xin'jie'yao
信为先,xin'wei'xian
心先病,xin'xian'bing
心眼口,xin'yan'kou
心有疑,xin'you'yi
行勿懒,xing'wu'lan
兄道友,xiong'dao'you
兄弟睦,xiong'di'mu
须敬听,xu'jing'ting
须明求,xu'ming'qiu
须顺承,xu'shun'cheng
言不讳,yan'bu'hui
言语忍,yan'yu'ren
扬人恶,yang'ren'e
药先尝,yao'xian'chang
夜眠迟,ye'mian'chi
业无变,ye'wu'bian
衣贵洁,yi'gui'jie
以渐跻,yi'jian'ji
贻亲羞,yi'qin'xiu
贻亲忧,yi'qin'you
揖深圆,yi'shen'yuan
怡吾色,yi'wu'se
益友却,yi'you'que
饮酒醉,yin'jiu'zui
应勿缓,ying'wu'huan
用人物,yong'ren'wu
有定处,you'ding'chu
有定位,you'ding'wei
有缺坏,you'que'huai
有三到,you'san'dao
幼勿坐,you'wu'zuo
有心非,you'xin'fei
有余力,you'yu'li
有则改,you'ze'gai
幼者后,you'zhe'hou
余力学文,yu'li'xue'wen
愈思勉,yu'si'mian
与宜多,yu'yi'duo
怨何生,yuan'he'sheng
怨欲忘,yuan'yu'wang
悦复谏,yue'fu'jian
则学文,ze'xue'wen
增一辜,zeng'yi'gu
诈与妄,zha'yu'wang
长者立,zhang'zhe'li
长者先,zhang'zhe'xian
长者坐,zhang'zhe'zuo
辄净手,zhe'jing'shou
置冠服,zhi'guan'fu
直谅士,zhi'liang'shi
滞塞通,zhi'se'tong
知未的,zhi'wei'de
致污秽,zhi'wu'hui
执虚器,zhi'xu'qi
重且舒,zhong'qie'shu
昼夜侍,zhou'ye'shi
字不敬,zi'bu'jing
子道亏,zi'dao'kui
纵去远,zong'qu'yuan
总叙,zong'xu
最为丑,zui'wei'chou
尊长前,zun'zhang'qian
