艾附暖宫丸,ai'fu'nuan'gong'wan
康力欣胶囊,kang'li'xin'jiao'nang
康氏牛黄解毒丸,kang'shi'niu'huang'jie'du'wan
咳特灵胶囊,ke'te'ling'jiao'nang
坤宝丸,kun'bao'wan
雷公藤多苷片,lei'gong'teng'duo'gan'pian
雷氏牌珍珠粉,lei'shi'pai'zhen'zhu'fen
理洫王,li'xu'wang
丽珠血栓通注射液,li'zhu'xue'shuan'tong'zhu'she'ye
连花清瘟胶囊,lian'hua'qing'wen'jiao'nang
连翘败毒丸,lian'qiao'bai'du'wan
羚羊清肺丸,ling'yang'qing'fei'wan
六味地黄丸,liu'wei'di'huang'wan
癃闭舒胶囊,long'bi'shu'jiao'nang
马栗种子提取物片,ma'li'zhong'zi'ti'qu'wu'pian
麻仁软胶囊,ma'ren'ruan'jiao'nang
麻仁润肠丸,ma'ren'run'chang'wan
马应龙麝香痔疮膏,ma'ying'long'she'xiang'zhi'chuang'gao
迈之灵片,mai'zhi'ling'pian
蜜炼川贝枇杷膏,mi'lian'chuan'bei'pi'pa'gao
密炼川贝枇杷膏,mi'lian'chuan'bei'pi'pa'gao
明目地黄丸,ming'mu'di'huang'wan
宁心宝胶囊,ning'xin'bao'jiao'nang
牛黄解毒片,niu'huang'jie'du'pian
牛黄清心丸,niu'huang'qing'xin'wan
牛黄上清片,niu'huang'shang'qing'pian
牛黄上清丸,niu'huang'shang'qing'wan
排石颗粒,pai'shi'ke'li
屏风生脉胶囊,ping'feng'sheng'mai'jiao'nang
平消胶囊,ping'xiao'jiao'nang
平消片,ping'xiao'pian
浦地蓝消炎口服液,pu'di'lan'xiao'yan'kou'fu'ye
蒲地蓝消炎片,pu'di'lan'xiao'yan'pian
普乐安片,pu'le'an'pian
杞菊地黄丸,qi'ju'di'huang'wan
奇正消痛贴膏,qi'zheng'xiao'tong'tie'gao
气滞胃痛颗粒,qi'zhi'wei'tong'ke'li
前列舒乐胶囊,qian'lie'shu'le'jiao'nang
强力枇杷露,qiang'li'pi'pa'lu
清开灵胶囊,qing'kai'ling'jiao'nang
清开灵颗粒,qing'kai'ling'ke'li
清开灵口服液,qing'kai'ling'kou'fu'ye
清开灵软胶囊,qing'kai'ling'ruan'jiao'nang
清开灵注射液,qing'kai'ling'zhu'she'ye
清宣止咳颗粒,qing'xuan'zhi'ke'ke'li
全天麻胶囊,quan'tian'ma'jiao'nang
人参生脉饮口服液,ren'shen'sheng'mai'yin'kou'fu'ye
乳核散结片,ru'he'san'jie'pian
乳康片,ru'kang'pian
乳癖消胶囊,ru'pi'xiao'jiao'nang
乳癖消片,ru'pi'xiao'pian
润燥止痒胶囊,run'zao'zhi'yang'jiao'nang
三金片,san'jin'pian
三九胃泰颗粒,san'jiu'wei'tai'ke'li
伤科接骨片,shang'ke'jie'gu'pian
蛇胆川贝液,she'dan'chuan'bei'ye
麝香保心丸,she'xiang'bao'xin'wan
肾康栓,shen'kang'shuan
肾康注射液,shen'kang'zhu'she'ye
参苓白术散,shen'ling'bai'zhu'san
参麦注射液,shen'mai'zhu'she'ye
肾炎康复片,shen'yan'kang'fu'pian
肾炎片,shen'yan'pian
生脉饮口服液,sheng'mai'yin'kou'fu'ye
生脉注射液,sheng'mai'zhu'she'ye
圣喜血栓心脉宁胶囊,sheng'xi'xue'shuan'xin'mai'ning'jiao'nang
生血宝颗粒,sheng'xue'bao'ke'li
十滴水,shi'di'shui
舒筋活血片,shu'jin'huo'xue'pian
舒血宁注射液,shu'xue'ning'zhu'she'ye
疏血通注射液,shu'xue'tong'zhu'she'ye
双黄连口服液,shuang'huang'lian'kou'fu'ye
四神丸,si'shen'wan
松龄血脉康胶囊,song'ling'xue'mai'kang'jiao'nang
苏合香丸,su'he'xiang'wan
速效救心丸,su'xiao'jiu'xin'wan
天和骨通贴膏,tian'he'gu'tong'tie'gao
天麻片,tian'ma'pian
天麻素注射液,tian'ma'su'zhu'she'ye
天麻头风灵胶囊,tian'ma'tou'feng'ling'jiao'nang
天麻头痛片,tian'ma'tou'tong'pian
甜梦胶囊,tian'meng'jiao'nang
天王补心丸,tian'wang'bu'xin'wan
通便灵胶囊,tong'bian'ling'jiao'nang
痛风定胶囊,tong'feng'ding'jiao'nang
童康片,tong'kang'pian
通心络胶囊,tong'xin'luo'jiao'nang
通宣理肺丸,tong'xuan'li'fei'wan
头痛宁胶囊,tou'tong'ning'jiao'nang
万通筋骨贴,wan'tong'jin'gu'tie
尪痹颗粒,wang'bi'ke'li
威利坦,wei'li'tan
胃苏颗粒,wei'su'ke'li
维血宁颗粒,wei'xue'ning'ke'li
稳心颗粒,wen'xin'ke'li
乌鸡白凤丸,wu'ji'bai'feng'wan
西瓜霜清咽含片,xi'gua'shuang'qing'yan'han'pian
西黄胶囊,xi'huang'jiao'nang
西黄丸,xi'huang'wan
喜炎平注射液,xi'yan'ping'zhu'she'ye
仙灵骨葆胶囊,xian'ling'gu'bao'jiao'nang
仙璐贝滴剂,xian'lu'bei'di'ji
香丹注射液,xiang'dan'zhu'she'ye
香砂六君丸,xiang'sha'liu'jun'wan
香砂养胃丸,xiang'sha'yang'wei'wan
消癌平片,xiao'ai'ping'pian
小儿生血糖浆,xiao'er'sheng'xue'tang'jiang
小儿消积止咳口服液,xiao'er'xiao'ji'zhi'ke'kou'fu'ye
小儿咽扁颗粒,xiao'er'yan'bian'ke'li
小金丸,xiao'jin'wan
消渴丸,xiao'ke'wan
消炎利胆片,xiao'yan'li'dan'pian
逍遥丸,xiao'yao'wan
消银颗粒,xiao'yin'ke'li
消痔灵注射液,xiao'zhi'ling'zhu'she'ye
消痔栓,xiao'zhi'shuan
血塞通软胶囊,xie'sai'tong'ruan'jiao'nang
血塞通注射液,xie'sai'tong'zhu'she'ye
新生化颗粒,xin'sheng'hua'ke'li
新雪颗粒,xin'xue'ke'li
醒脑静注射液,xing'nao'jing'zhu'she'ye
醒脑宁注射液,xing'nao'ning'zhu'she'ye
血府逐瘀丸,xue'fu'zhu'yu'wan
血尿胶囊,xue'niao'jiao'nang
血栓心脉宁胶囊,xue'shuan'xin'mai'ning'jiao'nang
血脂康胶囊,xue'zhi'kang'jiao'nang
养心氏片,yang'xin'shi'pian
养血清脑颗粒,yang'xue'qing'nao'ke'li
养阴清肺丸,yang'yin'qing'fei'wan
腰痹通胶囊,yao'bi'tong'jiao'nang
抑菌膏推射剂,yi'jun'gao'tui'she'ji
一力咳特灵胶囊,yi'li'ke'te'ling'jiao'nang
益母草胶囊,yi'mu'cao'jiao'nang
益母草颗粒,yi'mu'cao'ke'li
益母草片,yi'mu'cao'pian
银黄含化片,yin'huang'han'hua'pian
银黄颗粒,yin'huang'ke'li
银翘解毒丸,yin'qiao'jie'du'wan
银杏达莫注射液,yin'xing'da'mo'zhu'she'ye
银杏叶分散片,yin'xing'ye'fen'san'pian
银杏叶片,yin'xing'ye'pian
银杏叶提取物片,yin'xing'ye'ti'qu'wu'pian
银杏叶提取物注射液,yin'xing'ye'ti'qu'wu'zhu'she'ye
茵栀黄口服液,yin'zhi'huang'kou'fu'ye
右归丸,you'gui'wan
玉屏风颗粒冲剂,yu'ping'feng'ke'li'chong'ji
鱼石脂软膏,yu'shi'zhi'ruan'gao
云南白药胶囊,yun'nan'bai'yao'jiao'nang
云南白药末,yun'nan'bai'yao'mo
云南白药气雾剂,yun'nan'bai'yao'qi'wu'ji
正天丸,zheng'tian'wan
知柏地黄丸,zhi'bai'di'huang'wan
痔疮栓,zhi'chuang'shuan
治咳川贝枇杷露,zhi'ke'chuan'bei'pi'pa'lu
左归丸,zuo'gui'wan
