阿迷弟,a'mi'di
蓝阴阴,lan'yin'yin
啷着,lang'zhe
老儿子,lao'er'zi
老公公,lao'gong'gong
老火,lao'huo
老老,lao'lao
老孃,lao'niang
老太太,lao'tai'tai
老弯筋,lao'wan'jin
老耶,lao'ye
老祖祖,lao'zu'zu
冷饭疙瘩,leng'fan'ge'da
冷垮冷垮,leng'kua'leng'kua
力赶,li'gan
哩拉,li'la
里皮,li'pi
立生基,li'sheng'ji
礼银钱,li'yin'qian
龙眼,long'yan
龙宗,long'zong
楼搜,lou'sou
萝卜拔了窝窝在,luo'bo'ba'le'wo'wo'zai
裸二连三,luo'er'lian'san
落气,luo'qi
罗斯果儿,luo'si'guo'er
绿荫干瞎,lv'yin'gan'xia
吗撒亮,ma'sa'liang
马扎口,ma'zha'kou
毛草火性,mao'cao'huo'xing
么着,me'zhe
没颜倒色,mei'yan'dao'se
闷独,men'du
门年,men'nian
懵松雨,meng'song'yu
面锋硬,mian'feng'ying
面糊头,mian'hu'tou
摸摸罗锅边就算饭食钱,mo'mo'luo'guo'bian'jiu'suan'fan'shi'qian
哪拆,na'chai
拿脚裂,na'jiao'lie
拿位,na'wei
拿药,na'yao
喃包,nan'bao
闹包,nao'bao
粘着麻着,nian'zhe'ma'zhe
脓夺,nong'duo
脓拱,nong'gong
浓里浓夺,nong'li'nong'duo
脓脓拱拱,nong'nong'gong'gong
胖姑墩,pang'gu'dun
胖呵呵,pang'he'he
捧泡,peng'pao
皮匠,pi'jiang
皮特,pi'te
皮子剥了跳三丈,pi'zi'bo'le'tiao'san'zhang
皮子痒,pi'zi'yang
漂汤油,piao'tang'you
剖着,pou'zhe
气喘八黑,qi'chuan'ba'hei
齐梭梭,qi'suo'suo
迁拆,qian'chai
千翻,qian'fan
翘脚,qiao'jiao
亲爹,qin'die
亲妈,qin'ma
青之辣喊,qing'zhi'la'han
雀薄,que'bo
惹勺叨,re'shao'dao
人又不成材还穿跌猫头孩,ren'you'bu'cheng'cai'hai'chuan'die'mao'tou'hai
人又不干三还穿跌长火裳,ren'you'bu'gan'san'hai'chuan'die'chang'huo'shang
日不拢耸,ri'bu'long'song
日嘚,ri'de
日脓不拱,ri'nong'bu'gong
撒烂药,sa'lan'yao
煽辣耳,shan'la'er
煽烫耳,shan'tang'er
上副,shang'fu
上迁,shang'qian
深瓮瓮,shen'weng'weng
深乌凸,shen'wu'tu
神着,shen'zhe
生数,sheng'shu
手底板心,shou'di'ban'xin
刷痒,shua'yang
霜啥桌,shuang'sha'zhuo
死咪羊眼,si'mi'yang'yan
撕皮褂,si'pi'gua
死头干僵,si'tou'gan'jiang
松跌了,song'die'le
苏气,su'qi
缩后,suo'hou
塌耳朵,ta'er'duo
抬肚子,tai'du'zi
太阳辣,tai'yang'la
天扫开了,tian'sao'kai'le
跳脚噜苏,tiao'jiao'lu'su
铁扎,tie'zha
通光手,tong'guang'shou
偷页磨页,tou'ye'mo'ye
偷针眼,tou'zhen'yan
挖矿,wa'kuang
瓦渣云,wa'zha'yun
外后天,wai'hou'tian
玩狗改手,wan'gou'gai'shou
晚亨,wan'heng
物哩倒俗,wu'li'dao'su
物俗,wu'su
稀里活脱,xi'li'huo'tuo
洗麻,xi'ma
稀毛辣利,xi'mao'la'li
细蒙蒙,xi'meng'meng
细咪作页,xi'mi'zuo'ye
喜三,xi'san
下罩子,xia'zhao'zi
下周,xia'zhou
瞎子包汤眨巴页,xia'zi'bao'tang'zha'ba'ye
嫌贱,xian'jian
小滴滴,xiao'di'di
小伙十伴,xiao'huo'shi'ban
小犟犟,xiao'jiang'jiang
小跨弹三弦,xiao'kua'dan'san'xian
小迷指,xiao'mi'zhi
小星屙屎,xiao'xing'e'shi
小种狗,xiao'zhong'gou
心尖,xin'jian
新妈妈,xin'ma'ma
心挠,xin'nao
信实,xin'shi
心窝克,xin'wo'ke
性么,xing'me
雪科则,xue'ke'ze
寻歪带帽,xun'wai'dai'mao
牙八孤,ya'ba'gu
牙八孤重,ya'ba'gu'zhong
牙子,ya'zi
烟败臭爪,yan'bai'chou'zhao
眼睛尖,yan'jing'jian
耶耶,ye'ye
衣胞,yi'bao
一根肠子通屁股,yi'gen'chang'zi'tong'pi'gu
一根头发吊磨扇,yi'gen'tou'fa'diao'mo'shan
一憨,yi'han
姨老太,yi'lao'tai
硬股干翘,ying'gu'gan'qiao
有娘养无娘教,you'niang'yang'wu'niang'jiao
悠人,you'ren
有食,you'shi
油疼,you'teng
圆不拢懂,yuan'bu'long'dong
砸烂石头,za'lan'shi'tou
攒劲,zan'jin
脏巴拉施,zang'ba'la'shi
早亨,zao'heng
早期,zao'qi
闸黄腔,zha'huang'qiang
喳哇狗,zha'wa'gou
粘牙,zhan'ya
招呼,zhao'hu
这拆,zhe'chai
折夺,zhe'duo
这向,zhe'xiang
整拐酪,zheng'guai'lao
整踏酪,zheng'ta'lao
整歪歹,zheng'wai'dai
直道,zhi'dao
支分,zhi'fen
值价,zhi'jia
抓巴嘞五,zhua'ba'le'wu
滋泥,zi'ni
滋五赖六,zi'wu'lai'liu
滋嘴撩牙,zi'zui'liao'ya
走气疼,zou'qi'teng
足副,zu'fu
嘴巴子,zui'ba'zi
