薄壁组织,bao'bi'zu'zhi
平行脉,ping'xing'mai
匍匐茎,pu'fu'jing
器官,qi'guan
气生根,qi'sheng'gen
扦插,qian'cha
切向分裂,qie'xiang'fen'lie
球茎,qiu'jing
拳卷胚珠,quan'juan'pei'zhu
染色质,ran'se'zhi
韧皮部,ren'pi'bu
溶酶体,rong'mei'ti
肉果,rou'guo
肉穗花序,rou'sui'hua'xu
葇夷花序,rou'yi'hua'xu
肉质根,rou'zhi'gen
乳汁管,ru'zhi'guan
三出复叶,san'chu'fu'ye
三出羽状复叶,san'chu'yu'zhuang'fu'ye
三出掌状复叶,san'chu'zhang'zhuang'fu'ye
伞房花序,san'fang'hua'xu
三体雄蕊,san'ti'xiong'rui
伞形花序,san'xing'hua'xu
筛管,shai'guan
上位花,shang'wei'hua
伸长区,shen'chang'qu
世代交替,shi'dai'jiao'ti
石细胞,shi'xi'bao
瘦果,shou'guo
受精作用,shou'jing'zuo'yong
输导组织,shu'dao'zu'zhi
束中形成层,shu'zhong'xing'cheng'ceng
双韧维管束,shuang'ren'wei'guan'shu
双受精,shuang'shou'jing
双悬果,shuang'xuan'guo
蒴果,shuo'guo
四分体,si'fen'ti
四强雄蕊,si'qiang'xiong'rui
髓腔,sui'qiang
穗状花序,sui'zhuang'hua'xu
胎座,tai'zuo
特立中央胎座,te'li'zhong'yang'tai'zuo
同化组织,tong'hua'zu'zhi
通气组织,tong'qi'zu'zhi
头状花序,tou'zhuang'hua'xu
外皮层,wai'pi'ceng
外韧维管束,wai'ren'wei'guan'shu
外生菌根,wai'sheng'jun'gen
外始式,wai'shi'shi
晚材,wan'cai
完全叶,wan'quan'ye
弯生胚珠,wan'sheng'pei'zhu
网状脉,wang'zhuang'mai
微管,wei'guan
维管射线,wei'guan'she'xian
维管束,wei'guan'shu
维管形成层,wei'guan'xing'cheng'ceng
维管柱,wei'guan'zhu
微丝,wei'si
微体,wei'ti
纹孔,wen'kong
纹孔膜,wen'kong'mo
纹孔腔,wen'kong'qiang
纹孔塞,wen'kong'sai
无孢子生殖,wu'bao'zi'sheng'zhi
无被花,wu'bei'hua
无配子生殖,wu'pei'zi'sheng'zhi
无丝分裂,wu'si'fen'lie
无限花序,wu'xian'hua'xu
无限维管束,wu'xian'wei'guan'shu
无效分蘖,wu'xiao'fen'nie
无性繁殖,wu'xing'fan'zhi
无性花或中性花,wu'xing'hua'huo'zhong'xing'hua
无子果实,wu'zi'guo'shi
细胞壁,xi'bao'bi
细胞分化,xi'bao'fen'hua
细胞核,xi'bao'he
细胞器,xi'bao'qi
细胞质,xi'bao'zhi
下位花,xia'wei'hua
腺表皮,xian'biao'pi
线粒体,xian'li'ti
腺毛,xian'mao
纤维,xian'wei
弦向分裂,xian'xiang'fen'lie
小块茎,xiao'kuai'jing
小鳞茎,xiao'lin'jing
蝎尾状聚伞花序,xie'wei'zhuang'ju'san'hua'xu
心材,xin'cai
心皮,xin'pi
雄花,xiong'hua
雄蕊群,xiong'rui'qun
雄性不育,xiong'xing'bu'yu
休眠,xiu'mian
休眠芽,xiu'mian'ya
须根系,xu'gen'xi
芽鳞,ya'lin
压条,ya'tiao
阳地植物,yang'di'zhi'wu
叶刺,ye'ci
叶耳,ye'er
叶环,ye'huan
叶卷须,ye'juan'xu
叶绿体,ye'lv'ti
叶脉,ye'mai
液泡,ye'pao
叶舌,ye'she
叶镶嵌,ye'xiang'qian
叶序,ye'xu
腋芽,ye'ya
叶原基,ye'yuan'ji
叶枕,ye'zhen
叶状柄,ye'zhuang'bing
叶状茎,ye'zhuang'jing
异花传粉,yi'hua'chuan'fen
一回羽状复叶,yi'hui'yu'zhuang'fu'ye
异面叶,yi'mian'ye
异形叶性,yi'xing'ye'xing
阴地植物,yin'di'zhi'wu
隐头花序,yin'tou'hua'xu
颖果,ying'guo
营养繁殖,ying'yang'fan'zhi
营养器官,ying'yang'qi'guan
诱导单性结实,you'dao'dan'xing'jie'shi
有丝分裂,you'si'fen'lie
有限花序,you'xian'hua'xu
有限维管束,you'xian'wei'guan'shu
有效分蘖,you'xiao'fen'nie
有性繁殖,you'xing'fan'zhi
羽状复叶,yu'zhuang'fu'ye
原核细胞,yuan'he'xi'bao
圆球体,yuan'qiu'ti
原生木质部,yuan'sheng'mu'zhi'bu
原生质体,yuan'sheng'zhi'ti
原生中柱,yuan'sheng'zhong'zhu
圆锥花序,yuan'zhui'hua'xu
杂性同株,za'xing'tong'zhu
早材,zao'cai
增殖分裂,zeng'zhi'fen'lie
真果,zhen'guo
真核细胞,zhen'he'xi'bao
蒸腾作用,zheng'teng'zuo'yong
直根系,zhi'gen'xi
直立茎,zhi'li'jing
质膜,zhi'mo
直生胚珠,zhi'sheng'pei'zhu
质体,zhi'ti
枝芽,zhi'ya
支柱根,zhi'zhu'gen
中部受精,zhong'bu'shou'jing
中轴胎座,zhong'zhou'tai'zuo
中柱,zhong'zhu
中柱鞘,zhong'zhu'qiao
种子萌发,zhong'zi'meng'fa
周皮,zhou'pi
周韧维管束,zhou'ren'wei'guan'shu
周位花,zhou'wei'hua
主根,zhu'gen
竹黄,zhu'huang
珠脊,zhu'ji
珠孔受精,zhu'kong'shou'jing
竹青,zhu'qing
竹肉,zhu'rou
柱头,zhu'tou
自发单性结实,zi'fa'dan'xing'jie'shi
子房,zi'fang
子房上位或下位花,zi'fang'shang'wei'huo'xia'wei'hua
子房下位或上位花,zi'fang'xia'wei'huo'shang'wei'hua
自花传粉,zi'hua'chuan'fen
总苞,zong'bao
总状花序,zong'zhuang'hua'xu
组织,zu'zhi
