爱叫的狗不咬人,ai'jiao'de'gou'bu'yao'ren
不养儿不知父母恩,bu'yang'er'bu'zhi'fu'mu'en
不以成败论英雄,bu'yi'cheng'bai'lun'ying'xiong
不义之财如流水,bu'yi'zhi'cai'ru'liu'shui
苍蝇不叮无缝蛋,cang'ying'bu'ding'wu'feng'dan
苍蝇不叮无缝的蛋,cang'ying'bu'ding'wu'feng'de'dan
拆了东墙补西墙,chai'le'dong'qiang'bu'xi'qiang
长一技而无不用,chang'yi'ji'er'wu'bu'yong
朝中有人好做官,chao'zhong'you'ren'hao'zuo'guan
扯大旗作虎皮,che'da'qi'zuo'hu'pi
沉舟侧畔千帆过,chen'zhou'ce'pan'qian'fan'guo
成人不自在,cheng'ren'bu'zi'zai
城头变换大王旗,cheng'tou'bian'huan'dai'wang'qi
秤砣虽小压千金,cheng'tuo'sui'xiao'ya'qian'jin
成由勤俭败由奢,cheng'you'qin'jian'bai'you'she
成则王侯败则寇,cheng'ze'wang'hou'bai'ze'kou
成则王侯败则贼,cheng'ze'wang'hou'bai'ze'zei
成者王侯败者寇,cheng'zhe'wang'hou'bai'zhe'kou
池浅王八多,chi'qian'wang'ba'duo
痴情女子负心汉,chi'qing'nv'zi'fu'xin'han
痴情女子绝情汉,chi'qing'nv'zi'jue'qing'han
痴情总被薄情负,chi'qing'zong'bei'bo'qing'fu
吃人的嘴软,chi'ren'de'zui'ruan
吃肉不如喝汤,chi'rou'bu'ru'he'tang
吃水不忘打井人,chi'shui'bu'wang'da'jing'ren
吃水莫忘打井人,chi'shui'mo'wang'da'jing'ren
痴心女子负心汉,chi'xin'nv'zi'fu'xin'han
冲冠一怒为红颜,chong'guan'yi'nu'wei'hong'yan
丑话说在前面,chou'hua'shuo'zai'qian'mian
丑女三日看惯,chou'nv'san'ri'kan'guan
丑妻家中宝,chou'qi'jia'zhong'bao
丑人多做怪,chou'ren'duo'zuo'guai
出家不离俗,chu'jia'bu'li'su
出门看天色,chu'men'kan'tian'se
出门靠朋友,chu'men'kao'peng'you
出手不落空,chu'shou'bu'luo'kong
出手无还大丈夫,chu'shou'wu'huan'da'zhang'fu
出头的椽子先烂,chu'tou'de'chuan'zi'xian'lan
船到江心补漏迟,chuan'dao'jiang'xin'bu'lou'chi
船小掉头快,chuan'xiao'diao'tou'kuai
船小好掉头,chuan'xiao'hao'diao'tou
床头吵架床尾和,chuang'tou'chao'jia'chuang'wei'he
创业容易守业难,chuang'ye'rong'yi'shou'ye'nan
吹面不寒杨柳风,chui'mian'bu'han'yang'liu'feng
春江水暖鸭先知,chun'jiang'shui'nuan'ya'xian'zhi
春困秋乏夏打盹,chun'kun'qiu'fa'xia'da'dun
春宵一刻值千金,chun'xiao'yi'ke'zhi'qian'jin
春雨贵如油,chun'yu'gui'ru'you
慈母有败子,ci'mu'you'bai'zi
聪明人做糊涂事,cong'ming'ren'zuo'hu'tu'shi
打遍天下无敌手,da'bian'tian'xia'wu'di'shou
打倒不如说倒,da'dao'bu'ru'shuo'dao
大风漫急火,da'feng'man'ji'huo
打狗看主人,da'gou'kan'zhu'ren
打虎亲兄弟,da'hu'qin'xiong'di
打开窗户说亮话,da'kai'chuang'hu'shuo'liang'hua
大鹏展翅恨天低,da'peng'zhan'chi'hen'tian'di
打人不打脸,da'ren'bu'da'lian
打人不打笑脸人,da'ren'bu'da'xiao'lian'ren
大人不记小人过,da'ren'bu'ji'xiao'ren'guo
大人不见小人怪,da'ren'bu'jian'xiao'ren'guai
打蛇不死必挨咬,da'she'bu'si'bi'ai'yao
打蛇不死必被咬,da'she'bu'si'bi'bei'yao
打蛇不死反挨咬,da'she'bu'si'fan'ai'yao
打蛇不死反被咬,da'she'bu'si'fan'bei'yao
打蛇打七寸,da'she'da'qi'cun
大水漫不过鸭子背,da'shui'man'bu'guo'ya'zi'bei
打铁还得自身硬,da'tie'hai'dei'zi'shen'ying
打铁还需自身硬,da'tie'hai'xu'zi'shen'ying
打铁先得自身硬,da'tie'xian'de'zi'shen'ying
打铁需得自身硬,da'tie'xu'de'zi'shen'ying
大隐隐于市,da'yin'yin'yu'shi
达则兼济天下,da'ze'jian'ji'tian'xia
胆靠声来壮,dan'kao'sheng'lai'zhuang
胆靠声壮,dan'kao'sheng'zhuang
丹青难写是精神,dan'qing'nan'xie'shi'jing'shen
单丝不成线,dan'si'bu'cheng'xian
单丝难成线,dan'si'nan'cheng'xian
淡妆浓抹总相宜,dan'zhuang'nong'mo'zong'xiang'yi
当面是人,dang'mian'shi'ren
刀好刃口利,dao'hao'ren'kou'li
道是无情却有情,dao'shi'wu'qing'que'you'qing
刀子嘴豆腐心,dao'zi'zui'dou'fu'xin
得理不得势,de'li'bu'de'shi
得人心者得天下,de'ren'xin'zhe'de'tian'xia
登高而招见者远,deng'gao'er'zhao'jian'zhe'yuan
地肥鼠穴多,di'fei'shu'xue'duo
地无三尺平,di'wu'san'chi'ping
店多成市,dian'duo'cheng'shi
丢了西瓜拣芝麻,diu'le'xi'gua'jian'zhi'ma
冬吃萝卜夏吃姜,dong'chi'luo'bo'xia'chi'jiang
东家长西家短,dong'jia'zhang'xi'jia'duan
冬练三九,dong'lian'san'jiu
渡河自有撑篙人,du'he'zi'you'cheng'gao'ren
独木不成林,du'mu'bu'cheng'lin
独木难成林,du'mu'nan'cheng'lin
读史使人明志,du'shi'shi'ren'ming'zhi
短鞘套长刀,duan'qiao'tao'chang'dao
钝刀不入嫩肉,dun'dao'bu'ru'nen'rou
多年母女成姐妹,duo'nian'mu'nv'cheng'jie'mei
多情自古伤离别,duo'qing'zi'gu'shang'li'bie
多情总被无情恼,duo'qing'zong'bei'wu'qing'nao
噩梦醒来是早晨,e'meng'xing'lai'shi'zao'chen
饿死莫做贼,e'si'mo'zuo'zei
儿不嫌母丑,er'bu'xian'mu'chou
儿大不由爹,er'da'bu'you'die
儿大不由娘,er'da'bu'you'niang
儿大三分客,er'da'san'fen'ke
二鼓衰气馁如兔,er'gu'shuai'qi'nei'ru'tu
儿行千里母担忧,er'xing'qian'li'mu'dan'you
法正百业旺,fa'zheng'bai'ye'wang
饭后百步走,fan'hou'bai'bu'zou
烦恼多因强出头,fan'nao'duo'yin'qiang'chu'tou
烦恼皆为强出头,fan'nao'jie'wei'qiang'chu'tou
烦恼皆因强出头,fan'nao'jie'yin'qiang'chu'tou
放虎归山留后患,fang'hu'gui'shan'liu'hou'huan
防君子不防小人,fang'jun'zi'bu'fang'xiao'ren
芳林新叶催陈叶,fang'lin'xin'ye'cui'chen'ye
防民之口甚于防川,fang'min'zhi'kou'shen'yu'fang'chuan
非淡泊无以明志,fei'dan'bo'wu'yi'ming'zhi
非宁静无以致远,fei'ning'jing'wu'yi'zhi'yuan
风干物燥火易发,feng'gan'wu'zao'huo'yi'fa
风干物燥火易起,feng'gan'wu'zao'huo'yi'qi
风干物燥火易生,feng'gan'wu'zao'huo'yi'sheng
风光过后财精光,feng'guang'guo'hou'cai'jing'guang
风光在险峰,feng'guang'zai'xian'feng
凤凰不落无宝之地,feng'huang'bu'luo'wu'bao'zhi'di
风疾火更猛,feng'ji'huo'geng'meng
风景不转心境转,feng'jing'bu'zhuan'xin'jing'zhuan
风流趁年少,feng'liu'chen'nian'shao
风猛火更烈,feng'meng'huo'geng'lie
风起无名草,feng'qi'wu'ming'cao
蜂勤蜜多,feng'qin'mi'duo
逢人只说三分话,feng'ren'zhi'shuo'san'fen'hua
风水轮流转,feng'shui'lun'liu'zhuan
佛为一炷香,fo'wei'yi'zhu'xiang
富不过三代,fu'bu'guo'san'dai
覆巢之下无完卵,fu'chao'zhi'xia'wu'wan'luan
福到未必福,fu'dao'wei'bi'fu
富贵如浮云,fu'gui'ru'fu'yun
扶了油瓶倒了醋,fu'le'you'ping'dao'le'cu
夫妻没有隔夜仇,fu'qi'mei'you'ge'ye'chou
扶起油瓶倒下醋,fu'qi'you'ping'dao'xia'cu
芙蓉如面柳如眉,fu'rong'ru'mian'liu'ru'mei
富在深山有远亲,fu'zai'shen'shan'you'yuan'qin
干柴遇烈火,gan'chai'yu'lie'huo
干打雷不下雨,gan'da'lei'bu'xia'yu
干得好不如嫁得好,gan'de'hao'bu'ru'jia'de'hao
敢叫日月换新天,gan'jiao'ri'yue'huan'xin'tian
干一行爱一行,gan'yi'hang'ai'yi'hang
赶早不赶晚,gan'zao'bu'gan'wan
甘蔗没有两头甜,gan'zhe'mei'you'liang'tou'tian
高官不如高薪,gao'guan'bu'ru'gao'xin
高手出招稳如山,gao'shou'chu'zhao'wen'ru'shan
高薪不如高兴,gao'xin'bu'ru'gao'xing
高者未必贤,gao'zhe'wei'bi'xian
胳膊拧不过大腿,ge'bo'ning'bu'guo'da'tui
根壮树茂,gen'zhuang'shu'mao
根壮树难老,gen'zhuang'shu'nan'lao
狗不嫌家贫,gou'bu'xian'jia'pin
狗急乱咬人,gou'ji'luan'yao'ren
狗咬丑的,gou'yao'chou'de
狗咬骨头不松口,gou'yao'gu'tou'bu'song'kou
狗摇尾巴讨欢心,gou'yao'wei'ba'tao'huan'xin
姑娘十八一朵花,gu'niang'shi'ba'yi'duo'hua
顾首不顾尾,gu'shou'bu'gu'wei
顾头不顾腚,gu'tou'bu'gu'ding
骨头里挑刺,gu'tou'li'tiao'ci
寡妇门前是非多,gua'fu'men'qian'shi'fei'duo
官大一级压死人,guan'da'yi'ji'ya'si'ren
官匪一家亲,guan'fei'yi'jia'qin
观棋不语真君子,guan'qi'bu'yu'zhen'jun'zi
惯子如杀子,guan'zi'ru'sha'zi
光说不练假把式,guang'shuo'bu'lian'jia'ba'shi
贵贱不相逾,gui'jian'bu'xiang'yu
闺女要花儿要炮,gui'nv'yao'hua'er'yao'pao
棍棒底下出孝子,gun'bang'di'xia'chu'xiao'zi
国家不幸英雄幸,guo'jia'bu'xing'ying'xiong'xing
国破家难保,guo'po'jia'nan'bao
国破家难全,guo'po'jia'nan'quan
海不辞水故能大,hai'bu'ci'shui'gu'neng'da
海不拒水故能大,hai'bu'ju'shui'gu'neng'da
海阔凭鱼跃,hai'kuo'ping'yu'yue
害人之心不可有,hai'ren'zhi'xin'bu'ke'you
海自细流来,hai'zi'xi'liu'lai
寒从脚下起,han'cong'jiao'xia'qi
寒从脚下生,han'cong'jiao'xia'sheng
好汉不吃闷头亏,hao'han'bu'chi'men'tou'kui
好汉做事好汉当,hao'han'zuo'shi'hao'han'dang
好虎难架一群狼,hao'hu'nan'jia'yi'qun'lang
好花还需绿叶衬,hao'hua'hai'xu'lv'ye'chen
好话难劝糊涂虫,hao'hua'nan'quan'hu'tu'chong
好话一句三冬暖,hao'hua'yi'ju'san'dong'nuan
好记性不如烂笔头,hao'ji'xing'bu'ru'lan'bi'tou
好酒一口胜千杯,hao'jiu'yi'kou'sheng'qian'bei
好酒一口胜千盅,hao'jiu'yi'kou'sheng'qian'zhong
好看不好用,hao'kan'bu'hao'yong
好了疮疤忘了疼,hao'le'chuang'ba'wang'le'teng
好马配好鞍,hao'ma'pei'hao'an
豪门败子多,hao'men'bai'zi'duo
豪门多败子,hao'men'duo'bai'zi
豪门多浪子,hao'men'duo'lang'zi
豪门浪子多,hao'men'lang'zi'duo
豪门千金不愁嫁,hao'men'qian'jin'bu'chou'jia
好男不跟女斗,hao'nan'bu'gen'nv'dou
好男不和女斗,hao'nan'bu'he'nv'dou
好人做到底,hao'ren'zuo'dao'di
好死不如赖活着,hao'si'bu'ru'lai'huo'zhe
好问不迷路,hao'wen'bu'mi'lu
好心当成驴肝肺,hao'xin'dang'cheng'lv'gan'fei
好心当作驴肝肺,hao'xin'dang'zuo'lv'gan'fei
好言一句三冬暖,hao'yan'yi'ju'san'dong'nuan
好药难治冤孽病,hao'yao'nan'zhi'yuan'nie'bing
好雨知时节,hao'yu'zhi'shi'jie
恨斗私字一闪念,hen'dou'si'zi'yi'shan'nian
恨人成事盼人穷,hen'ren'cheng'shi'pan'ren'qiong
恨之欲其死,hen'zhi'yu'qi'si
横财多自不义来,heng'cai'duo'zi'bu'yi'lai
红花还须绿叶扶,hong'hua'hai'xu'lv'ye'fu
侯门深似海,hou'men'shen'si'hai
虎将帐下无熊兵,hu'jiang'zhang'xia'wu'xiong'bing
虎老雄风在,hu'lao'xiong'feng'zai
虎落平阳被犬欺,hu'luo'ping'yang'bei'quan'qi
虎落平阳遭犬欺,hu'luo'ping'yang'zao'quan'qi
虎死不倒威,hu'si'bu'dao'wei
虎死不落相,hu'si'bu'luo'xiang
虎心豹子胆,hu'xin'bao'zi'dan
话不投机半句多,hua'bu'tou'ji'ban'ju'duo
话糙理不糙,hua'cao'li'bu'cao
话到嘴边留一半,hua'dao'zui'bian'liu'yi'ban
花好还须叶来衬,hua'hao'hai'xu'ye'lai'chen
花后施肥贵似金,hua'hou'shi'fei'gui'si'jin
画虎画皮难画骨,hua'hu'hua'pi'nan'hua'gu
花花轿子人抬人,hua'hua'jiao'zi'ren'tai'ren
话浅理不浅,hua'qian'li'bu'qian
欢场如戏场,huan'chang'ru'xi'chang
换帅如换刀,huan'shuai'ru'huan'dao
皇帝不急太监急,huang'di'bu'ji'tai'jian'ji
皇帝的女儿不愁嫁,huang'di'de'nv'er'bu'chou'jia
皇帝轮流做,huang'di'lun'liu'zuo
黄金有价玉无价,huang'jin'you'jia'yu'wu'jia
黄梅未落青梅落,huang'mei'wei'luo'qing'mei'luo
皇上不急太监急,huang'shang'bu'ji'tai'jian'ji
慧剑斩情丝,hui'jian'zhan'qing'si
会叫的狗不咬人,hui'jiao'de'gou'bu'yao'ren
会说说不过理,hui'shuo'shuo'bu'guo'li
会走走不过影,hui'zou'zou'bu'guo'ying
火大伤身,huo'da'shang'shen
祸到未必祸,huo'dao'wei'bi'huo
货卖一层皮,huo'mai'yi'ceng'pi
货卖一张皮,huo'mai'yi'zhang'pi
货卖一张嘴,huo'mai'yi'zhang'zui
火势借风势,huo'shi'jie'feng'shi
火小不抵风,huo'xiao'bu'di'feng
鸡大飞不过墙,ji'da'fei'bu'guo'qiang
技多不压人,ji'duo'bu'ya'ren
疾风知劲草,ji'feng'zhi'jin'cao
疾风助猛火,ji'feng'zhu'meng'huo
饥寒起盗心,ji'han'qi'dao'xin
鸡烂嘴巴硬,ji'lan'zui'ba'ying
基稳楼固,ji'wen'lou'gu
基稳楼坚,ji'wen'lou'jian
鸡窝里飞出金凤凰,ji'wo'li'fei'chu'jin'feng'huang
饥则来食饱则飞去,ji'ze'lai'shi'bao'ze'fei'qu
家花不如野花香,jia'hua'bu'ru'ye'hua'xiang
家花没有野花香,jia'hua'mei'you'ye'hua'xiang
家贫出孝子,jia'pin'chu'xiao'zi
家书抵万金,jia'shu'di'wan'jin
家贼难防,jia'zei'nan'fang
坚持就是胜利,jian'chi'jiu'shi'sheng'li
见鬼说鬼话,jian'gui'shuo'gui'hua
奸人当道贤人危,jian'ren'dang'dao'xian'ren'wei
见人说人话,jian'ren'shuo'ren'hua
见人只说三分话,jian'ren'zhi'shuo'san'fen'hua
拣日不如撞日,jian'ri'bu'ru'zhuang'ri
兼听者明,jian'ting'zhe'ming
箭折不改钢,jian'zhe'bu'gai'gang
将不畏敌兵亦勇,jiang'bu'wei'di'bing'yi'yong
江河不引自向东,jiang'he'bu'yin'zi'xiang'dong
将军额上能跑马,jiang'jun'e'shang'neng'pao'ma
江山易得不易治,jiang'shan'yi'de'bu'yi'zhi
江山易改性难移,jiang'shan'yi'gai'xing'nan'yi
姜是老的辣,jiang'shi'lao'de'la
将熊熊一窝,jiang'xiong'xiong'yi'wo
浇花浇根,jiao'hua'jiao'gen
皎皎者易污,jiao'jiao'zhe'yi'wu
交人交心,jiao'ren'jiao'xin
脚上没鞋穷半截,jiao'shang'mei'xie'qiong'ban'jie
金杯银杯不如口碑,jin'bei'yin'bei'bu'ru'kou'bei
近君子而远小人,jin'jun'zi'er'yuan'xiao'ren
进门看脸色,jin'men'kan'lian'se
近水楼台先得月,jin'shui'lou'tai'xian'de'yue
紧行无好步,jin'xing'wu'hao'bu
敬老得老,jing'lao'de'lao
敬子如敬父,jing'zi'ru'jing'fu
久病床前无孝子,jiu'bing'chuang'qian'wu'xiao'zi
久病无孝子,jiu'bing'wu'xiao'zi
酒不醉人人自醉,jiu'bu'zui'ren'ren'zi'zui
救场如救火,jiu'chang'ru'jiu'huo
救急不救穷,jiu'ji'bu'jiu'qiong
久立伤骨,jiu'li'shang'gu
酒怕红脸人,jiu'pa'hong'lian'ren
就怕货比货,jiu'pa'huo'bi'huo
救人救到底,jiu'ren'jiu'dao'di
酒入愁肠愁更愁,jiu'ru'chou'chang'chou'geng'chou
久卧伤气,jiu'wo'shang'qi
久住坡上不嫌陡,jiu'zhu'po'shang'bu'xian'dou
久坐伤肉,jiu'zuo'shang'rou
举杯消愁愁更愁,ju'bei'xiao'chou'chou'geng'chou
居高声自远,ju'gao'sheng'zi'yuan
举头三尺有神灵,ju'tou'san'chi'you'shen'ling
举贤不避亲,ju'xian'bu'bi'qin
君前无戏言,jun'qian'wu'xi'yan
军心一散百师溃,jun'xin'yi'san'bai'shi'kui
君子坦荡荡,jun'zi'tan'dang'dang
开弓不放箭,kai'gong'bu'fang'jian
开弓不射箭,kai'gong'bu'she'jian
开弓没有回头箭,kai'gong'mei'you'hui'tou'jian
开口三分利,kai'kou'san'fen'li
看景不如听景,kan'jing'bu'ru'ting'jing
看人挑担不吃力,kan'ren'tiao'dan'bu'chi'li
可怜天下父母心,ke'lian'tian'xia'fu'mu'xin
可与人言无一二,ke'yu'ren'yan'wu'yi'er
苛政猛于虎,ke'zheng'meng'yu'hu
空手夺白刃,kong'shou'duo'bai'ren
口大喉咙小,kou'da'hou'long'xiao
快刀不削自己的柄,kuai'dao'bu'xue'zi'ji'de'bing
快橹驶急船,kuai'lu'shi'ji'chuan
拉弓不放箭,la'gong'bu'fang'jian
拉弓不射箭,la'gong'bu'she'jian
来得早不如来得巧,lai'de'zao'bu'ru'lai'de'qiao
赖汉娶好妻,lai'han'qu'hao'qi
老不读西游,lao'bu'du'xi'you
老不看西游,lao'bu'kan'xi'you
老大嫁作商人妇,lao'da'jia'zuo'shang'ren'fu
老房子起火,lao'fang'zi'qi'huo
老虎吃鸡不是山中王,lao'hu'chi'ji'bu'shi'shan'zhong'wang
老林多毒虫,lao'lin'duo'du'chong
老牛啃嫩草,lao'niu'ken'nen'cao
牢骚太盛防肠断,lao'sao'tai'sheng'fang'chang'duan
老鼠生来会打洞,lao'shu'sheng'lai'hui'da'dong
老贼出手不落空,lao'zei'chu'shou'bu'luo'kong
老子孬种儿混蛋,lao'zi'nao'zhong'er'hun'dan
老子英雄儿好汉,lao'zi'ying'xiong'er'hao'han
理多不饶人,li'duo'bu'rao'ren
礼多人见外,li'duo'ren'jian'wai
理屈词不穷,li'qu'ci'bu'qiong
理劝不如利劝,li'quan'bu'ru'li'quan
利欲熏心心渐黑,li'yu'xun'xin'xin'jian'hei
脸不改色心不跳,lian'bu'gai'se'xin'bu'tiao
脸不红心不跳,lian'bu'hong'xin'bu'tiao
脸朝黄土背朝天,lian'chao'huang'tu'bei'chao'tian
粮草一空兵心乱,liang'cao'yi'kong'bing'xin'luan
粮草一空军心乱,liang'cao'yi'kong'jun'xin'luan
粮草欲空兵心乱,liang'cao'yu'kong'bing'xin'luan
凉从脚下生,liang'cong'jiao'xia'sheng
两恶相权取其轻,liang'e'xiang'quan'qu'qi'qing
两耳不闻窗外事,liang'er'bu'wen'chuang'wai'shi
良禽择木而栖,liang'qin'ze'mu'er'qi
量小非君子,liang'xiao'fei'jun'zi
烈火见真金,lie'huo'jian'zhen'jin
烈火识真金,lie'huo'shi'zhen'jin
烈火知真金,lie'huo'zhi'zhen'jin
林大百鸟栖,lin'da'bai'niao'qi
林大不过风,lin'da'bu'guo'feng
林大风不过,lin'da'feng'bu'guo
林大风渐弱,lin'da'feng'jian'ruo
林大风如堵,lin'da'feng'ru'du
林大风自悄,lin'da'feng'zi'qiao
林大风自弱,lin'da'feng'zi'ruo
林大风自微,lin'da'feng'zi'wei
林大风自息,lin'da'feng'zi'xi
林大好挡风,lin'da'hao'dang'feng
林大好抵风,lin'da'hao'di'feng
林大鸟易栖,lin'da'niao'yi'qi
林大栖百鸟,lin'da'qi'bai'niao
林大养百兽,lin'da'yang'bai'shou
林深藏珍禽,lin'shen'cang'zhen'qin
林深伏猛兽,lin'shen'fu'meng'shou
流水不腐,liu'shui'bu'fu
流水前波让后波,liu'shui'qian'bo'rang'hou'bo
流言止于智者,liu'yan'zhi'yu'zhi'zhe
龙游浅水遭虾戏,long'you'qian'shui'zao'xia'xi
楼高仗基深,lou'gao'zhang'ji'shen
路见不平拔刀助,lu'jian'bu'ping'ba'dao'zhu
鹿死不择荫,lu'si'bu'ze'yin
鹿死不择音,lu'si'bu'ze'yin
乱草败庄稼,luan'cao'bai'zhuang'jia
乱世生英雄,luan'shi'sheng'ying'xiong
乱世用重典,luan'shi'yong'zhong'dian
马屁拍在马腿上,ma'pi'pai'zai'ma'tui'shang
麻雀虽小五脏全,ma'que'sui'xiao'wu'zang'quan
骂人不揭短,ma'ren'bu'jie'duan
骂人三日羞,ma'ren'san'ri'xiu
马善被人骑,ma'shan'bei'ren'qi
马无夜草不肥,ma'wu'ye'cao'bu'fei
马有失蹄,ma'you'shi'ti
买车容易养车难,mai'che'rong'yi'yang'che'nan
买卖不成仁义在,mai'mai'bu'cheng'ren'yi'zai
猫鼠不同眠,mao'shu'bu'tong'mian
梅花香自苦寒来,mei'hua'xiang'zi'ku'han'lai
美靠一脸妆,mei'kao'yi'lian'zhuang
美靠一身衣,mei'kao'yi'shen'yi
美女三日看厌,mei'nv'san'ri'kan'yan
媚眼抛给瞎子看,mei'yan'pao'gei'xia'zi'kan
媚眼做给瞎子看,mei'yan'zuo'gei'xia'zi'kan
猛将出列阵势威,meng'jiang'chu'lie'zhen'shi'wei
猛将当关关自险,meng'jiang'dang'guan'guan'zi'xian
猛将当先三军勇,meng'jiang'dang'xian'san'jun'yong
面不改色心不跳,mian'bu'gai'se'xin'bu'tiao
庙小妖风大,miao'xiao'yao'feng'da
民富国自强,min'fu'guo'zi'qiang
民以食为先,min'yi'shi'wei'xian
命好不怕运来磨,ming'hao'bu'pa'yun'lai'mo
命苦不能怨父母,ming'ku'bu'neng'yuan'fu'mu
明人不说暗话,ming'ren'bu'shuo'an'hua
明人不做暗事,ming'ren'bu'zuo'an'shi
明主不厌士,ming'zhu'bu'yan'shi
母行千里儿不愁,mu'xing'qian'li'er'bu'chou
拿鸡毛当令箭,na'ji'mao'dang'ling'jian
拿人的手短,na'ren'de'shou'duan
男儿膝下有黄金,nan'er'xi'xia'you'huang'jin
男儿有泪不轻弹,nan'er'you'lei'bu'qing'tan
男儿有累不轻谈,nan'er'you'lei'bu'qing'tan
男服学堂女服嫁,nan'fu'xue'tang'nv'fu'jia
男女七岁不同席,nan'nv'qi'sui'bu'tong'xi
男怕入错行,nan'pa'ru'cuo'hang
男人有钱就变坏,nan'ren'you'qian'jiu'bian'huai
内行看门道,nei'hang'kan'men'dao
能者为师,neng'zhe'wei'shi
撵鸡惊跑鸭,nian'ji'jing'pao'ya
年少多虎胆,nian'shao'duo'hu'dan
年少一身胆,nian'shao'yi'shen'dan
鸟过天无痕,niao'guo'tian'wu'hen
鸟为食亡,niao'wei'shi'wang
鸟惜羽毛虎惜皮,niao'xi'yu'mao'hu'xi'pi
宁贫不堕志,ning'pin'bu'duo'zhi
宁死不弯腰,ning'si'bu'wan'yao
宁死不折腰,ning'si'bu'zhe'yao
女怕嫁错郎,nv'pa'jia'cuo'lang
女人变坏就有钱,nv'ren'bian'huai'jiu'you'qian
女人二十一朵花,nv'ren'er'shi'yi'duo'hua
女人二十一枝花,nv'ren'er'shi'yi'zhi'hua
女人三十豆腐渣,nv'ren'san'shi'dou'fu'zha
女人心海底针,nv'ren'xin'hai'di'zhen
排他即利我,pai'ta'ji'li'wo
排他则利我,pai'ta'ze'li'wo
抛个媚眼给瞎子看,pao'ge'mei'yan'gei'xia'zi'kan
抛媚眼给瞎子看,pao'mei'yan'gei'xia'zi'kan
抛头颅洒热血,pao'tou'lu'sa're'xue
朋友多了路好走,peng'you'duo'le'lu'hao'zou
劈柴看纹理,pi'chai'kan'wen'li
偏方治大病,pian'fang'zhi'da'bing
偏信者暗,pian'xin'zhe'an
