阿进,a'jin
云霄飞车杀人事件,yun'xiao'fei'che'sha'ren'shi'jian
战栗的乐谱,zhan'li'de'yue'pu
詹姆斯布兰克,zhan'mu'si'bu'lan'ke
侦探们的安魂曲,zhen'tan'men'de'an'hun'qu
真田一三,zhen'tian'yi'san
真相究明,zhen'xiang'jiu'ming
中森青子,zhong'sen'qing'zi
中森银三,zhong'sen'yin'san
茱蒂调查员,zhu'di'diao'cha'yuan
茱蒂圣提米利翁,zhu'di'sheng'ti'mi'li'weng
诸星大,zhu'xing'da
转动命运之轮,zhuan'dong'ming'yun'zhi'lun
足球选手恐吓事件,zu'qiu'xuan'shou'kong'he'shi'jian
诅咒假面的冷笑,zu'zhou'jia'mian'de'leng'xiao
佐藤美和子,zuo'teng'mei'he'zi
