昂日鸡,ang'ri'ji
方弼,fang'bi
方贵,fang'gui
方吉,fang'ji
方吉清,fang'ji'qing
房日兔,fang'ri'tu
方相,fang'xiang
方义真,fang'yi'zhen
飞电枪,fei'dian'qiang
飞虎兵,fei'hu'bing
飞廉,fei'lian
飞廉星,fei'lian'xing
飞烟剑,fei'yan'jian
飞云洞,fei'yun'dong
费仲,fei'zhong
风袋,feng'dai
风吼阵,feng'hou'zhen
风火轮,feng'huo'lun
风林,feng'lin
封神,feng'shen
封神榜,feng'shen'bang
封神台,feng'shen'tai
浮沉星,fu'chen'xing
伏断星,fu'duan'xing
缚龙索,fu'long'suo
伏龙星,fu'long'xing
伏吟星,fu'yin'xing
高丙,gao'bing
高贵,gao'gui
高继能,gao'ji'neng
高觉,gao'jiao
高可,gao'ke
高兰英,gao'lan'ying
高明,gao'ming
高系平,gao'xi'ping
高衍,gao'yan
高友乾,gao'you'qian
高震,gao'zhen
葛方,ge'fang
耿颜,geng'yan
龚倩,gong'qian
龚清,gong'qing
公孙铎,gong'sun'duo
勾陈星,gou'chen'xing
勾绞星,gou'jiao'xing
狗精,gou'jing
苟章,gou'zhang
孤辰星,gu'chen'xing
顾宗,gu'zong
寡宿星,gua'su'xing
关斌,guan'bin
官符星,guan'fu'xing
贯索星,guan'suo'xing
观音菩萨,guan'yin'pu'sa
广成子,guang'cheng'zi
广目天王,guang'mu'tian'wang
鬼金羊,gui'jin'yang
龟灵圣母,gui'ling'sheng'mu
桂天禄,gui'tian'lu
郭宸,guo'chen
郭已,guo'yi
韩变,han'bian
寒冰阵,han'bing'zhen
菡萏阵,han'dan'zhen
韩毒龙,han'du'long
韩鹏,han'peng
韩荣,han'rong
韩升,han'sheng
菡芝仙,han'zhi'xian
昊天大帝,hao'tian'da'di
昊天上帝,hao'tian'shang'di
合扇刀,he'shan'dao
和瘟道士,he'wen'dao'shi
黑虎杀,hei'hu'sha
黑杀星,hei'sha'xing
黑烟狗头,hei'yan'gou'tou
哼哈二将,heng'ha'er'jiang
鸿鹄鸟,hong'hu'niao
洪锦,hong'jin
红鸾星,hong'luan'xing
红沙阵,hong'sha'zhen
红水阵,hong'shui'zhen
红艳星,hong'yan'xing
侯太乙,hou'tai'yi
呼百颜,hu'bai'yan
胡道元,hu'dao'yuan
虎将,hu'jiang
胡雷,hu'lei
呼名落马,hu'ming'luo'ma
胡升,hu'sheng
胡喜媚,hu'xi'mei
护心甲,hu'xin'jia
胡云鹏,hu'yun'peng
花斑豹,hua'ban'bao
华盖星,hua'gai'xing
华高,hua'gao
花狐貂,hua'hu'diao
花翎鸟,hua'ling'niao
化血刀,hua'xue'dao
化血阵,hua'xue'zhen
黄丙庆,huang'bing'qing
黄仓,huang'cang
黄承乙,huang'cheng'yi
皇恩星,huang'en'xing
黄飞豹,huang'fei'bao
黄飞彪,huang'fei'biao
黄飞虎,huang'fei'hu
黄花山,huang'hua'shan
黄金棍,huang'jin'gun
黄巾力士,huang'jin'li'shi
黄金玲珑塔,huang'jin'ling'long'ta
黄景元,huang'jing'yuan
晃雷,huang'lei
黄龙真人,huang'long'zhen'ren
黄明,huang'ming
黄娘娘,huang'niang'niang
黄天化,huang'tian'hua
黄天禄,huang'tian'lu
黄天祥,huang'tian'xiang
黄乌,huang'wu
荒芜星,huang'wu'xing
黄元济,huang'yuan'ji
黄真,huang'zhen
回马刀,hui'ma'dao
昏迷剑,hun'mi'jian
混天凌,hun'tian'ling
混元锤,hun'yuan'chui
混元幡,hun'yuan'fan
混元金斗,hun'yuan'jin'dou
混元伞,hun'yuan'san
混元珍珠伞,hun'yuan'zhen'zhu'san
混元珠,hun'yuan'zhu
火府星,huo'fu'xing
火尖枪,huo'jian'qiang
火灵圣母,huo'ling'sheng'mu
火龙镖,huo'long'biao
火龙兵,huo'long'bing
火龙岛,huo'long'dao
惑仙丹,huo'xian'dan
火眼金睛兽,huo'yan'jin'jing'shou
火云洞,huo'yun'dong
霍之元,huo'zhi'yuan
纪昌,ji'chang
计都星,ji'dou'xing
季康,ji'kang
吉立,ji'li
姬叔,ji'shu
姬叔德,ji'shu'de
姬叔吉,ji'shu'ji
姬叔坤,ji'shu'kun
姬叔礼,ji'shu'li
姬叔明,ji'shu'ming
姬叔乾,ji'shu'qian
姬叔升,ji'shu'sheng
姬叔义,ji'shu'yi
箕水豹,ji'shui'bao
冀州侯,ji'zhou'hou
贾成,jia'cheng
夹龙山,jia'long'shan
佳梦关,jia'meng'guan
贾氏,jia'shi
甲子太岁,jia'zi'tai'sui
姜桓楚,jiang'huan'chu
姜皇后,jiang'huang'hou
降魔杵,jiang'mo'chu
蒋雄,jiang'xiong
姜忠,jiang'zhong
姜子牙,jiang'zi'ya
胶鬲,jiao'ge
焦龙,jiao'long
角木蛇,jiao'mu'she
教主,jiao'zhu
接火天君,jie'huo'tian'jun
截教,jie'jiao
界牌,jie'pai
界牌关,jie'pai'guan
金螯,jin'ao
金螯岛,jin'ao'dao
金鳌岛,jin'ao'dao
金成,jin'cheng
金大升,jin'da'sheng
金府星,jin'fu'xing
金箍仙,jin'gu'xian
金光锉,jin'guang'cuo
金光洞,jin'guang'dong
金光圣母,jin'guang'sheng'mu
金光仙,jin'guang'xian
金光阵,jin'guang'zhen
金鸡岭,jin'ji'ling
金蛟剪,jin'jiao'jian
金葵,jin'kui
金灵圣母,jin'ling'sheng'mu
金龙如意,jin'long'ru'yi
金毛犼,jin'mao'hou
金南道,jin'nan'dao
金绳阳,jin'sheng'yang
金素,jin'su
金庭山,jin'ting'shan
金霞洞,jin'xia'dong
金霞冠,jin'xia'guan
金仙,jin'xian
金眼驼,jin'yan'tuo
金吒,jin'zha
金砖,jin'zhuan
鲸龙,jing'long
井木犴,jing'mu'an
九丑星,jiu'chou'xing
九宫山,jiu'gong'shan
九龙岛,jiu'long'dao
九龙神火罩,jiu'long'shen'huo'zhao
九曲黄河阵,jiu'qu'huang'he'zhen
九尾狐,jiu'wei'hu
九曜星官,jiu'yao'xing'guan
九转元功,jiu'zhuan'yuan'gong
聚风幡,ju'feng'fan
惧留孙,ju'liu'sun
俱魔罗天王,ju'mo'luo'tian'wang
卷舌星,juan'she'xing
捐神仙之肢体,juan'shen'xian'zhi'zhi'ti
绝龙岭,jue'long'ling
绝情弃义,jue'qing'qi'yi
开路神,kai'lu'shen
开天珠,kai'tian'zhu
亢金龙,kang'jin'long
考鬲,kao'ge
孔成,kong'cheng
孔道灵,kong'dao'ling
孔雀明王,kong'que'ming'wang
孔天兆,kong'tian'zhao
崆峒山,kong'tong'shan
孔宣,kong'xuan
骷髅山,ku'lou'shan
匡玉,kuang'yu
奎木狼,kui'mu'lang
魁首,kui'shou
昆仑十二仙,kun'lun'shi'er'xian
捆仙绳,kun'xian'sheng
捆妖绳,kun'yao'sheng
栏杆星,lan'gan'xing
蓝虎,lan'hu
狼藉星,lang'ji'xing
雷开,lei'kai
雷鹍,lei'kun
雷鹏,lei'peng
雷震子,lei'zhen'zi
李豹,li'bao
李丙,li'bing
李昌,li'chang
李道通,li'dao'tong
李德,li'de
李泓,li'hong
李洪仁,li'hong'ren
李济,li'ji
李锦,li'jin
李禁,li'jin
李靖,li'jing
李良,li'liang
李平,li'ping
李奇,li'qi
李三益,li'san'yi
利市仙官,li'shi'xian'guan
力士星,li'shi'xing
李燧,li'sui
黎仙,li'xian
李信,li'xin
李新,li'xin
李兴霸,li'xing'ba
李雄,li'xiong
李跃,li'yue
莲花化身,lian'hua'hua'shen
炼气士,lian'qi'shi
两仪阵,liang'yi'zhen
林善,lin'shan
临潼关,lin'tong'guan
灵宝大法师,ling'bao'da'fa'shi
灵鹫山,ling'jiu'shan
灵山,ling'shan
灵霄宝殿,ling'xiao'bao'dian
灵牙仙,ling'ya'xian
灵珠子,ling'zhu'zi
六陈鞭,liu'chen'bian
刘达,liu'da
刘甫,liu'fu
柳怪,liu'guai
刘衡,liu'heng
刘洪,liu'hong
刘环,liu'huan
六魂幡,liu'hun'fan
柳土獐,liu'tu'zhang
流霞星,liu'xia'xing
龙安吉,long'an'ji
龙成,long'cheng
龙德星,long'de'xing
龙虎如意,long'hu'ru'yi
龙虎山,long'hu'shan
龙虎玄坛真君,long'hu'xuan'tan'zhen'jun
龙环,long'huan
龙吉公主,long'ji'gong'zhu
龙须虎,long'xu'hu
娄金狗,lou'jin'gou
芦昌,lu'chang
六合星,lu'he'xing
戮魂幡,lu'hun'fan
戮目珠,lu'mu'zhu
鲁仁杰,lu'ren'jie
鲁雄,lu'xiong
鲁修德,lu'xiu'de
陆压,lu'ya
鲁芝,lu'zhi
落宝金钱,luo'bao'jin'qian
罗浮洞,luo'fu'dong
落伽洞,luo'ga'dong
罗侯星,luo'hou'xing
落魂阵,luo'hun'zhen
落魂钟,luo'hun'zhong
罗宣,luo'xuan
吕能,lv'neng
吕岳,lv'yue
吕自成,lv'zi'cheng
马成龙,ma'cheng'long
马方,ma'fang
麻姑洞,ma'gu'dong
马善,ma'shan
马氏,ma'shi
马遂,ma'sui
马元,ma'yuan
马忠,ma'zhong
貌端星,mao'duan'xing
梅伯,mei'bo
梅德,mei'de
梅花镖,mei'hua'biao
梅花亮银锤,mei'hua'liang'yin'chui
梅花鹿,mei'hua'lu
梅山六怪,mei'shan'liu'guai
梅武,mei'wu
门道正,men'dao'zheng
猛将,meng'jiang
孟津,meng'jin
渑池,mian'chi
灭没星,mie'mo'xing
魔家四将,mo'jia'si'jiang
魔礼海,mo'li'hai
魔礼红,mo'li'hong
魔礼青,mo'li'qing
魔礼寿,mo'li'shou
墨麒麟,mo'qi'lin
莫邪宝剑,mo'ye'bao'jian
木遁,mu'dun
木府星,mu'fu'xing
木吒,mu'zha
纳珍天尊,na'zhen'tian'zun
南伯侯,nan'bo'hou
南斗星君,nan'dou'xing'jun
南宫适,nan'gong'shi
南极仙翁,nan'ji'xian'weng
南岳大帝,nan'yue'da'di
哪吒,ne'zha
哪咤,ne'zha
宁三益,ning'san'yi
牛金牛,niu'jin'niu
牛精,niu'jing
女土蝠,nv'tu'fu
女娲娘娘,nv'wa'niang'niang
欧阳淳,ou'yang'chun
排扒木,pai'ba'mu
盘古幡,pan'gu'fan
庞弘,pang'hong
彭九元,peng'jiu'yuan
蓬莱岛,peng'lai'dao
彭祖寿,peng'zu'shou
彭遵,peng'zun
劈地珠,pi'di'zhu
毗芦仙,pi'lu'xian
披麻星,pi'ma'xing
披头星,pi'tou'xing
破军,po'jun
破碎星,po'sui'xing
普陀山,pu'tuo'shan
普贤菩萨,pu'xian'pu'sa
普贤真人,pu'xian'zhen'ren
七宝葫芦刀,qi'bao'hu'lu'dao
戚成,qi'cheng
齐公,qi'gong
麒麟崖,qi'lin'ya
旗门遁,qi'men'dun
七杀,qi'sha
七煞星,qi'sha'xing
七十二变,qi'shi'er'bian
七首将军,qi'shou'jiang'jun
钱保,qian'bao
乾坤尺,qian'kun'chi
乾坤圈,qian'kun'quan
千里眼,qian'li'yan
乾元山,qian'yuan'shan
乔坤,qiao'kun
秦天君,qin'tian'jun
秦完,qin'wan
秦祥,qin'xiang
青峰山,qing'feng'shan
清福神,qing'fu'shen
青龙关,qing'long'guan
青龙星,qing'long'xing
青鸾,qing'luan
青鸾斗阙,qing'luan'dou'que
青毛狮子,qing'mao'shi'zi
清虚道德真君,qing'xu'dao'de'zhen'jun
清源妙道真君,qing'yuan'miao'dao'zhen'jun
庆云莲花,qing'yun'lian'hua
琼霄,qiong'xiao
邱鸣山,qiu'ming'shan
虬首仙,qiu'shou'xian
邱引,qiu'yin
劝善大师,quan'shan'da'shi
燃灯,ran'deng
燃灯道人,ran'deng'dao'ren
人不犯我我不犯人,ren'bu'fan'wo'wo'bu'fan'ren
任来聘,ren'lai'pin
人若犯我灭其满门,ren'ruo'fan'wo'mie'qi'man'men
忍杀星,ren'sha'xing
日日宝剑,ri'ri'bao'jian
日游神,ri'you'shen
日月珠,ri'yue'zhu
肉翅,rou'chi
肉身成圣,rou'shen'cheng'sheng
如意乾坤袋,ru'yi'qian'kun'dai
撒坚,sa'jian
撒强,sa'qiang
撒勇,sa'yong
三百六十五位正神,san'bai'liu'shi'wu'wei'zheng'shen
三宝玉如意,san'bao'yu'ru'yi
三光神水,san'guang'shen'shui
三尖两刃刀,san'jian'liang'ren'dao
三教护法全真,san'jiao'hu'fa'quan'zhen
三昧真火,san'mei'zhen'huo
散人,san'ren
三山关,san'shan'guan
三山五岳,san'shan'wu'yue
三尸星,san'shi'xing
叁水猿,san'shui'yuan
三头八臂,san'tou'ba'bi
三头六臂,san'tou'liu'bi
散瘟鞭,san'wen'bian
三仙岛,san'xian'dao
三宵娘娘,san'xiao'niang'niang
三宵仙姑,san'xiao'xian'gu
桑成道,sang'cheng'dao
丧门星,sang'men'xing
丧神仙之原本,sang'shen'xian'zhi'yuan'ben
扫霞衣,sao'xia'yi
扫帚星,sao'zhou'xing
杀伐决断,sha'fa'jue'duan
杀劫,sha'jie
杀戒,sha'jie
闪电神,shan'dian'shen
山河社稷图,shan'he'she'ji'tu
山贼,shan'zei
上大夫,shang'dai'fu
上清宫,shang'qing'gong
商容,shang'rong
商汤,shang'tang
商周之战,shang'zhou'zhi'zhan
邵元节,shao'yuan'jie
蛇精,she'jing
沈庚,shen'geng
申公豹,shen'gong'bao
神火罩,shen'huo'zhao
神鲛,shen'jiao
申礼,shen'li
神龙金蛟剪,shen'long'jin'jiao'jian
神仙,shen'xian
神烟,shen'yan
十恶星,shi'e'xing
施桧,shi'gui
室火猪,shi'huo'zhu
石玑,shi'ji
石矶娘娘,shi'ji'niang'niang
释教,shi'jiao
识实务,shi'shi'wu
十天君,shi'tian'jun
氏土貉,shi'tu'hao
失仙之神,shi'xian'zhi'shen
水德星君,shui'de'xing'jun
水府星,shui'fu'xing
水火锋,shui'huo'feng
顺风耳,shun'feng'er
四不象,si'bu'xiang
四大天王,si'da'tian'wang
死道友莫死贫道,si'dao'you'mo'si'pin'dao
四废星,si'fei'xing
死符星,si'fu'xing
四海瓶,si'hai'ping
四圣,si'sheng
四十九根,si'shi'jiu'gen
汜水关,si'shui'guan
四象塔,si'xiang'ta
四象阵,si'xiang'zhen
四肢酥,si'zhi'su
宋庚,song'geng
宋禄,song'lu
苏护,su'hu
苏全忠,su'quan'zhong
苏元,su'yuan
狻猊,suan'ni
岁破星,sui'po'xing
岁杀星,sui'sha'xing
岁刑星,sui'xing'xing
岁厌星,sui'yan'xing
孙宝,sun'bao
损福神,sun'fu'shen
孙合,sun'he
孙良,sun'liang
孙七,sun'qi
孙天君,sun'tian'jun
损仙之气,sun'xian'zhi'qi
孙祥,sun'xiang
孙焰红,sun'yan'hong
孙乙,sun'yi
孙子羽,sun'zi'yu
缩地成寸,suo'di'cheng'cun
太阿剑,tai'a'jian
太祸星,tai'huo'xing
太极符印,tai'ji'fu'yin
太极图,tai'ji'tu
太极阵,tai'ji'zhen
太鸾,tai'luan
胎神星,tai'shen'xing
太阳神针,tai'yang'shen'zhen
太阳星,tai'yang'xing
太乙真人,tai'yi'zhen'ren
太乙真人弟子,tai'yi'zhen'ren'di'zi
太阴星,tai'yin'xing
贪狼,tan'lang
唐天正,tang'tian'zheng
桃花岭,tao'hua'ling
桃花星,tao'hua'xing
桃精,tao'jing
陶荣,tao'rong
天暗星,tian'an'xing
天败星,tian'bai'xing
天暴星,tian'bao'xing
天德星,tian'de'xing
天帝,tian'di
天富星,tian'fu'xing
天福星,tian'fu'xing
天罡,tian'gang
天罡星,tian'gang'xing
天狗星,tian'gou'xing
天孤星,tian'gu'xing
天贵星,tian'gui'xing
天慧星,tian'hui'xing
天机星,tian'ji'xing
天间星,tian'jian'xing
天剑星,tian'jian'xing
天捷星,tian'jie'xing
天究星,tian'jiu'xing
天绝阵,tian'jue'zhen
天空星,tian'kong'xing
天哭星,tian'ku'xing
天魁星,tian'kui'xing
天牢星,tian'lao'xing
天罗星,tian'luo'xing
天马星,tian'ma'xing
天满星,tian'man'xing
天猛星,tian'meng'xing
天平星,tian'ping'xing
天巧星,tian'qiao'xing
天杀星,tian'sha'xing
天伤星,tian'shang'xing
天赦星,tian'she'xing
天寿星,tian'shou'xing
天嗣星,tian'si'xing
天速星,tian'su'xing
天损星,tian'sun'xing
天退星,tian'tui'xing
天威星,tian'wei'xing
天微星,tian'wei'xing
天瘟星,tian'wen'xing
天喜星,tian'xi'xing
天刑星,tian'xing'xing
天雄星,tian'xiong'xing
天玄星,tian'xuan'xing
天医星,tian'yi'xing
天异星,tian'yi'xing
天英星,tian'ying'xing
天勇星,tian'yong'xing
天佑星,tian'you'xing
天罪星,tian'zui'xing
铁嘴神鹰,tie'zui'shen'ying
潼关,tong'guan
通天教主,tong'tian'jiao'zhu
通天神火柱,tong'tian'shen'huo'zhu
头疼磐,tou'teng'pan
土府星,tu'fu'xing
吐雾神驹,tu'wu'shen'ju
土行孙,tu'xing'sun
托孤大臣,tuo'gu'da'chen
托塔天王,tuo'ta'tian'wang
万里起云烟,wan'li'qi'yun'yan
万刃,wan'ren
万刃车,wan'ren'che
万仙阵,wan'xian'zhen
万鸦壶,wan'ya'hu
王豹,wang'bao
王变,wang'bian
王储,wang'chu
王封,wang'feng
王贵人,wang'gui'ren
王虎,wang'hu
王蛟,wang'jiao
王龙茂,wang'long'mao
王魔,wang'mo
王平,wang'ping
忘神星,wang'shen'xing
王天君,wang'tian'jun
汪祥地,wang'xiang'di
王奕,wang'yi
王佐,wang'zuo
魏贲,wei'ben
韦护,wei'hu
尾火虎,wei'huo'hu
胃土雉,wei'tu'zhi
韦驮,wei'tuo
危月燕,wei'yue'yan
瘟丹,wen'dan
瘟癀阵,wen'huang'zhen
闻杰,wen'jie
温良,wen'liang
闻聘,wen'pin
文曲,wen'qu
瘟神,wen'shen
文殊广法天尊,wen'shu'guang'fa'tian'zun
瘟疫钟,wen'yi'zhong
闻仲,wen'zhong
无当圣母,wu'dang'sheng'mu
五斗毒痘,wu'dou'du'dou
蜈蜂袋,wu'feng'dai
蜈蚣精,wu'gong'jing
吴钩剑,wu'gou'jian
五谷星,wu'gu'xing
五光石,wu'guang'shi
五鬼星,wu'gui'xing
五火七翎扇,wu'huo'qi'ling'shan
五火七禽扇,wu'huo'qi'qin'shan
五火扇,wu'huo'shan
五火神焰扇,wu'huo'shen'yan'shan
武吉,wu'ji
武将,wu'jiang
吴坤,wu'kun
武力,wu'li
吴龙,wu'long
五龙轮,wu'long'lun
五龙山,wu'long'shan
雾露乾坤网,wu'lu'qian'kun'wang
吴谦,wu'qian
五穷星,wu'qiong'xing
武曲,wu'qu
武荣,wu'rong
五色神光,wu'se'shen'guang
吴四玉,wu'si'yu
武王,wu'wang
邬文化,wu'wen'hua
吴旭,wu'xu
乌鸦兵,wu'ya'bing
武衍公,wu'yan'gong
武艺,wu'yi
武艺绝伦,wu'yi'jue'lun
五夷山,wu'yi'shan
五云驼,wu'yun'tuo
乌云仙,wu'yun'xian
西斗星君,xi'dou'xing'jun
西昆仑,xi'kun'lun
西歧,xi'qi
西周,xi'zhou
夏祥,xia'xiang
夏招,xia'zhao
咸池星,xian'chi'xing
显道神,xian'dao'shen
仙凡两界,xian'fan'liang'jie
先锋官,xian'feng'guan
仙人,xian'ren
先下手为强,xian'xia'shou'wei'qiang
陷仙之形,xian'xian'zhi'xing
仙杏,xian'xing
萧电,xiao'dian
小耗星,xiao'hao'xing
萧升,xiao'sheng
哮天犬,xiao'tian'quan
消仙之魄,xiao'xian'zhi'po
萧臻,xiao'zhen
辛环,xin'huan
心月狐,xin'yue'hu
杏黄旗,xing'huang'qi
星日马,xing'ri'ma
邢三鸾,xing'san'luan
形天印,xing'tian'yin
星童贞,xing'tong'zhen
行瘟使者,xing'wen'shi'zhe
行瘟印,xing'wen'yin
兴云神,xing'yun'shen
修仙,xiu'xian
修仙道,xiu'xian'dao
须成,xu'cheng
徐芳,xu'fang
徐吉,xu'ji
徐坤,xu'kun
虚日鼠,xu'ri'shu
徐山,xu'shan
徐正道,xu'zheng'dao
徐忠,xu'zhong
玄武星,xuan'wu'xing
轩辕坟,xuan'yuan'fen
轩辕黄帝,xuan'yuan'huang'di
薛定,xue'ding
薛恶虎,xue'e'hu
血光星,xue'guang'xing
炎帝,yan'di
燕山,yan'shan
演义,yan'yi
焰中仙,yan'zhong'xian
阳差星,yang'cha'xing
杨戬,yang'jian
羊精,yang'jing
杨任,yang'ren
羊刃星,yang'ren'xing
杨森,yang'sen
杨文辉,yang'wen'hui
杨显,yang'xian
杨信,yang'xin
杨真,yang'zhen
姚宾,yao'bin
瑶池金母,yao'chi'jin'mu
姚公,yao'gong
姚公伯,yao'gong'bo
姚公孝,yao'gong'xiao
姚金秀,yao'jin'xiu
姚少司,yao'shao'si
姚庶良,yao'shu'liang
姚天君,yao'tian'jun
姚炜,yao'wei
姚忠,yao'zhong
叶景昌,ye'jing'chang
夜游神,ye'you'shen
叶中,ye'zhong
翼火蛇,yi'huo'she
驿马星,yi'ma'xing
一气仙,yi'qi'xian
异人,yi'ren
异术,yi'shu
一心向道,yi'xin'xiang'dao
殷成秀,yin'cheng'xiu
阴错星,yin'cuo'xing
殷洪,yin'hong
殷郊,yin'jiao
殷破败,yin'po'bai
隐身黄旗,yin'shen'huang'qi
阴阳剑,yin'yang'jian
阴阳镜,yin'yang'jing
右弼,you'bi
尤浑,you'hun
游魂关,you'hun'guan
幽冥白骨幡,you'ming'bai'gu'fan
余成,yu'cheng
余达,yu'da
余德,yu'de
玉鼎真人,yu'ding'zhen'ren
余光,yu'guang
余和,yu'he
余化,yu'hua
余化龙,yu'hua'long
玉净瓶,yu'jing'ping
玉面珍珠琵瑟,yu'mian'zhen'zhu'pi'se
玉麒麟,yu'qi'lin
余庆,yu'qing
玉泉山,yu'quan'shan
玉堂星,yu'tang'xing
鱼尾冠,yu'wei'guan
玉屋洞,yu'wu'dong
余先,yu'xian
玉虚宫,yu'xu'gong
羽翼仙,yu'yi'xian
余元,yu'yuan
余兆,yu'zhao
余忠,yu'zhong
玉柱洞,yu'zhu'dong
袁鼎相,yuan'ding'xiang
袁洪,yuan'hong
