阿餐,a'can
管军万户府万户,guan'jun'wan'hu'fu'wan'hu
管军总管,guan'jun'zong'guan
官生,guan'sheng
观文殿大学士,guan'wen'dian'da'xue'shi
观文殿学士,guan'wen'dian'xue'shi
馆驿巡官,guan'yi'xun'guan
光禄大夫,guang'lu'dai'fu
光禄卿,guang'lu'qing
光禄寺丞,guang'lu'si'cheng
光禄寺典簿,guang'lu'si'dian'bu
光禄寺监事,guang'lu'si'jian'shi
光禄寺卿,guang'lu'si'qing
光禄寺少卿,guang'lu'si'shao'qing
光禄寺署丞,guang'lu'si'shu'cheng
光禄寺署正,guang'lu'si'shu'zheng
贵妃,gui'fei
国夫人,guo'fu'ren
国公,guo'gong
国史实录院编修检讨官,guo'shi'shi'lu'yuan'bian'xiu'jian'tao'guan
国史院编修,guo'shi'yuan'bian'xiu
国太夫人,guo'tai'fu'ren
国王,guo'wang
果毅,guo'yi
果毅都尉,guo'yi'du'wei
国子博士,guo'zi'bo'shi
国子祭酒,guo'zi'ji'jiu
国子监,guo'zi'jian
国子监博士,guo'zi'jian'bo'shi
国子监丞,guo'zi'jian'cheng
国子监国子祭酒,guo'zi'jian'guo'zi'ji'jiu
国子监国子司业二员,guo'zi'jian'guo'zi'si'ye'er'yuan
国子监祭酒,guo'zi'jian'ji'jiu
国子监录,guo'zi'jian'lu
国子监生,guo'zi'jian'sheng
国子监说书,guo'zi'jian'shuo'shu
国子监四门助教,guo'zi'jian'si'men'zhu'jiao
国子监司业,guo'zi'jian'si'ye
国子监正,guo'zi'jian'zheng
国子监直讲,guo'zi'jian'zhi'jiang
国子监主簿,guo'zi'jian'zhu'bu
国子监助教,guo'zi'jian'zhu'jiao
国子学博士,guo'zi'xue'bo'shi
国子学正,guo'zi'xue'zheng
国子学助教,guo'zi'xue'zhu'jiao
国子助教,guo'zi'zhu'jiao
海漕万户,hai'cao'wan'hu
海漕万户府经历,hai'cao'wan'hu'fu'jing'li
海运百户,hai'yun'bai'hu
海运副千户,hai'yun'fu'qian'hu
海运千户,hai'yun'qian'hu
翰林编修,han'lin'bian'xiu
翰林承旨学士,han'lin'cheng'zhi'xue'shi
翰林待诏,han'lin'dai'zhao
翰林供奉,han'lin'gong'feng
翰林国史院待制,han'lin'guo'shi'yuan'dai'zhi
翰林国史院典籍,han'lin'guo'shi'yuan'dian'ji
翰林国史院国史编修官,han'lin'guo'shi'yuan'guo'shi'bian'xiu'guan
翰林国史院翰林侍讲学士,han'lin'guo'shi'yuan'han'lin'shi'jiang'xue'shi
翰林国史院翰林学士承旨,han'lin'guo'shi'yuan'han'lin'xue'shi'cheng'zhi
翰林国史院翰林直学士,han'lin'guo'shi'yuan'han'lin'zhi'xue'shi
翰林国史院检阅,han'lin'guo'shi'yuan'jian'yue
翰林国史院侍读学士,han'lin'guo'shi'yuan'shi'du'xue'shi
翰林国史院修撰,han'lin'guo'shi'yuan'xiu'zhuan
翰林国史院学士,han'lin'guo'shi'yuan'xue'shi
翰林国史院学士承旨,han'lin'guo'shi'yuan'xue'shi'cheng'zhi
翰林国史院应奉翰林文字,han'lin'guo'shi'yuan'ying'feng'han'lin'wen'zi
翰林国史院直学士,han'lin'guo'shi'yuan'zhi'xue'shi
翰林检讨,han'lin'jian'tao
翰林侍读学士,han'lin'shi'du'xue'shi
翰林侍讲学士,han'lin'shi'jiang'xue'shi
翰林侍书学士,han'lin'shi'shu'xue'shi
翰林庶吉士,han'lin'shu'ji'shi
翰林图画院待诏,han'lin'tu'hua'yuan'dai'zhao
翰林图画院艺学,han'lin'tu'hua'yuan'yi'xue
翰林图画院祗候,han'lin'tu'hua'yuan'zhi'hou
翰林学士,han'lin'xue'shi
翰林学士承旨,han'lin'xue'shi'cheng'zhi
翰林学士知制诰,han'lin'xue'shi'zhi'zhi'gao
翰林医官,han'lin'yi'guan
翰林医官副使,han'lin'yi'guan'fu'shi
翰林医官使,han'lin'yi'guan'shi
翰林医正,han'lin'yi'zheng
翰林御书院翰林待诏,han'lin'yu'shu'yuan'han'lin'dai'zhao
翰林御书院翰林书艺学,han'lin'yu'shu'yuan'han'lin'shu'yi'xue
翰林院,han'lin'yuan
翰林院编修,han'lin'yuan'bian'xiu
翰林院检讨,han'lin'yuan'jian'tao
翰林院侍读学士,han'lin'yuan'shi'du'xue'shi
翰林院侍讲学士,han'lin'yuan'shi'jiang'xue'shi
翰林院庶吉士,han'lin'yuan'shu'ji'shi
翰林院修撰,han'lin'yuan'xiu'zhuan
翰林院学士,han'lin'yuan'xue'shi
行院副使,hang'yuan'fu'shi
行院判官,hang'yuan'pan'guan
行院同佥,hang'yuan'tong'qian
河泊所官,he'bo'suo'guan
贺金国正旦使,he'jin'guo'zheng'dan'shi
合门看班祗候,he'men'kan'ban'zhi'hou
合门舍人,he'men'she'ren
合门使,he'men'shi
合门通事舍人,he'men'tong'shi'she'ren
合门宣赞舍人,he'men'xuan'zan'she'ren
合门祗候,he'men'zhi'hou
鸿胪卿,hong'lu'qing
鸿胪少卿,hong'lu'shao'qing
鸿胪寺丞,hong'lu'si'cheng
鸿胪寺卿,hong'lu'si'qing
鸿胪寺少卿,hong'lu'si'shao'qing
