奥林匹克公园,ao'lin'pi'ke'gong'yuan
南江寺,nan'jiang'si
南门口,nan'men'kou
牛角仑,niu'jiao'lun
农科所,nong'ke'suo
农校,nong'xiao
藕塘基,ou'tang'ji
汽车北站,qi'che'bei'zhan
汽车东站,qi'che'dong'zhan
七里桥,qi'li'qiao
七一五矿,qi'yi'wu'kuang
千石坝,qian'shi'ba
桥北,qiao'bei
桥北广场,qiao'bei'guang'chang
桥北加油站,qiao'bei'jia'you'zhan
桥南,qiao'nan
清水谭,qing'shui'tan
区儿童福利院,qu'er'tong'fu'li'yuan
区检察院,qu'jian'cha'yuan
区粮食局,qu'liang'shi'ju
区医院分院,qu'yi'yuan'fen'yuan
全丰,quan'feng
人民医院路口,ren'min'yi'yuan'lu'kou
三里桥,san'li'qiao
三桥北广场,san'qiao'bei'guang'chang
三桥南广场,san'qiao'nan'guang'chang
三益路口,san'yi'lu'kou
商业步行街,shang'ye'bu'xing'jie
申家滩,shen'jia'tan
十八中,shi'ba'zhong
市财政局,shi'cai'zheng'ju
市车管所,shi'che'guan'suo
市灯泡厂,shi'deng'pao'chang
市电机厂,shi'dian'ji'chang
市钢锹厂,shi'gang'qiao'chang
市工程公司,shi'gong'cheng'gong'si
市公交汽修厂,shi'gong'jiao'qi'xiu'chang
市工具厂,shi'gong'ju'chang
市公用事业局,shi'gong'yong'shi'ye'ju
市化肥厂,shi'hua'fei'chang
市检察院,shi'jian'cha'yuan
市交通局,shi'jiao'tong'ju
市卷烟材料厂,shi'juan'yan'cai'liao'chang
市科委,shi'ke'wei
市客运管理处,shi'ke'yun'guan'li'chu
市毛巾厂,shi'mao'jin'chang
食品监督局,shi'pin'jian'du'ju
市汽运公司,shi'qi'yun'gong'si
市人民医院,shi'ren'min'yi'yuan
市三中,shi'san'zhong
市四医院,shi'si'yi'yuan
石笋路口,shi'sun'lu'kou
市体育馆,shi'ti'yu'guan
石头铺,shi'tou'pu
市委党校,shi'wei'dang'xiao
市委市政府,shi'wei'shi'zheng'fu
市一中,shi'yi'zhong
市一中路口,shi'yi'zhong'lu'kou
市运管处,shi'yun'guan'chu
市政府,shi'zheng'fu
市中心血站,shi'zhong'xin'xue'zhan
市中心医院,shi'zhong'xin'yi'yuan
市中医院,shi'zhong'yi'yuan
师专,shi'zhuan
双丰路,shuang'feng'lu
四一四地质队,si'yi'si'di'zhi'dui
四医院,si'yi'yuan
塑料厂,su'liao'chang
桃花仑,tao'hua'lun
桃花仑路,tao'hua'lun'lu
体育场,ti'yu'chang
天峰文武学校,tian'feng'wen'wu'xue'xiao
铁铺岭,tie'pu'ling
图书城,tu'shu'cheng
团圆路,tuan'yuan'lu
团洲路口,tuan'zhou'lu'kou
团洲市场,tuan'zhou'shi'chang
外贸路口,wai'mao'lu'kou
万城国际,wan'cheng'guo'ji
维克市场,wei'ke'shi'chang
武警医院,wu'jing'yi'yuan
武警支队,wu'jing'zhi'dui
五里堆,wu'li'dui
五洲城,wu'zhou'cheng
西流湾小学,xi'liu'wan'xiao'xue
西施生态园,xi'shi'sheng'tai'yuan
香港城,xiang'gang'cheng
橡胶机械厂,xiang'jiao'ji'xie'chang
湘穗电脑学校,xiang'sui'dian'nao'xue'xiao
消防队,xiao'fang'dui
谢林港,xie'lin'gang
欣达建材,xin'da'jian'cai
新雅餐馆,xin'ya'can'guan
杏花路,xing'hua'lu
秀峰公园,xiu'feng'gong'yuan
秀峰西路,xiu'feng'xi'lu
秀峰西路口,xiu'feng'xi'lu'kou
秀峰住宅区,xiu'feng'zhu'zhai'qu
学门口,xue'men'kou
仰添湖,yang'tian'hu
姚家湾,yao'jia'wan
益师,yi'shi
益鑫泰,yi'xin'tai
益阳电视台,yi'yang'dian'shi'tai
益阳日报社,yi'yang'ri'bao'she
益阳商业步行街,yi'yang'shang'ye'bu'xing'jie
益阳医专,yi'yang'yi'zhuan
银城广场,yin'cheng'guang'chang
银城南路,yin'cheng'nan'lu
银城市场,yin'cheng'shi'chang
银台大酒店,yin'tai'da'jiu'dian
迎宾路口,ying'bin'lu'kou
迎丰桥,ying'feng'qiao
邮电枢纽中心,you'dian'shu'niu'zhong'xin
邮电新村,you'dian'xin'cun
宇晶机器,yu'jing'ji'qi
朝阳公安分局,zhao'yang'gong'an'fen'ju
朝阳粮库,zhao'yang'liang'ku
朝阳路口,zhao'yang'lu'kou
朝阳市场,zhao'yang'shi'chang
朝阳西路口,zhao'yang'xi'lu'kou
箴言中学,zhen'yan'zhong'xue
征稽站,zheng'ji'zhan
中信大厦,zhong'xin'da'sha
资江机,zi'jiang'ji
梓山路,zi'shan'lu
梓山水库,zi'shan'shui'ku
梓山苑小区,zi'shan'yuan'xiao'qu
资阳步行街,zi'yang'bu'xing'jie
资阳环保局,zi'yang'huan'bao'ju
资阳区骨内科医院,zi'yang'qu'gu'nei'ke'yi'yuan
资阳区武装部,zi'yang'qu'wu'zhuang'bu
左家仑,zuo'jia'lun
