爱晚湖,ai'wan'hu
二十九斋,er'shi'jiu'zhai
二十六斋,er'shi'liu'zhai
二十楼,er'shi'lou
二十七斋,er'shi'qi'zhai
二十三楼,er'shi'san'lou
二十三斋,er'shi'san'zhai
二十四楼,er'shi'si'lou
二十四斋,er'shi'si'zhai
二十五楼,er'shi'wu'lou
二十五斋,er'shi'wu'zhai
二十一楼,er'shi'yi'lou
二十一斋,er'shi'yi'zhai
二十斋,er'shi'zhai
二斋,er'zhai
法语系,fa'yu'xi
房产处,fang'chan'chu
冯骥才文学院,feng'ji'cai'wen'xue'yuan
冯熙运,feng'xi'yun
港口海岸,gang'kou'hai'an
高分子材料,gao'fen'zi'cai'liao
工程管理,gong'cheng'guan'li
工程仪器,gong'cheng'yi'qi
工会,gong'hui
龚克,gong'ke
工商管理,gong'shang'guan'li
工业工程,gong'ye'gong'cheng
管理学院,guan'li'xue'yuan
管院,guan'yuan
光电科技,guang'dian'ke'ji
光电信息,guang'dian'xin'xi
国家教育学院,guo'jia'jiao'yu'xue'yuan
国家重点学科,guo'jia'zhong'dian'xue'ke
过控工程,guo'kong'gong'cheng
国立北洋大学,guo'li'bei'yang'da'xue
国立北洋工学院,guo'li'bei'yang'gong'xue'yuan
海工实验室,hai'gong'shi'yan'shi
海光寺,hai'guang'si
湖影道,hu'ying'dao
花堤路,hua'di'lu
化工学院,hua'gong'xue'yuan
化工之神,hua'gong'zhi'shen
化学工程,hua'xue'gong'cheng
化学工艺,hua'xue'gong'yi
化学系,hua'xue'xi
环境工程,huan'jing'gong'cheng
环境科学,huan'jing'ke'xue
环境学院,huan'jing'xue'yuan
会议楼,hui'yi'lou
基建处,ji'jian'chu
纪监委,ji'jian'wei
计算机工程,ji'suan'ji'gong'cheng
计算机科学,ji'suan'ji'ke'xue
计算机学院,ji'suan'ji'xue'yuan
集贤道,ji'xian'dao
吉祥馄饨,ji'xiang'hun'tun
机械工程,ji'xie'gong'cheng
机械学院,ji'xie'xue'yuan
继续教育学院,ji'xu'jiao'yu'xue'yuan
家乐福,jia'le'fu
甲字楼,jia'zi'lou
建工学院,jian'gong'xue'yuan
健身馆,jian'shen'guan
建筑工程学院,jian'zhu'gong'cheng'xue'yuan
建筑设备,jian'zhu'she'bei
建筑学系,jian'zhu'xue'xi
建筑学院,jian'zhu'xue'yuan
教务处,jiao'wu'chu
结构工程,jie'gou'gong'cheng
结构实验室,jie'gou'shi'yan'shi
金工实习大楼,jin'gong'shi'xi'da'lou
金晖路,jin'hui'lu
金属材料,jin'shu'cai'liao
精馏中心,jing'liu'zhong'xin
精细化工,jing'xi'hua'gong
敬业道,jing'ye'dao
敬业湖,jing'ye'hu
精仪工程,jing'yi'gong'cheng
精仪学院,jing'yi'xue'yuan
九楼,jiu'lou
就业指导中心,jiu'ye'zhi'dao'zhong'xin
九斋,jiu'zhai
康谷贻,kang'gu'yi
科技处,ke'ji'chu
科技学会,ke'ji'xue'hui
科学图书馆,ke'xue'tu'shu'guan
宽肢异形柱,kuan'zhi'yi'xing'zhu
赖琏,lai'lian
篮球场,lan'qiu'chang
老干部处,lao'gan'bu'chu
李光泉,li'guang'quan
李岷琛,li'min'chen
李曙森,li'shu'sen
李书田,li'shu'tian
力学,li'xue
理学院,li'xue'yuan
李忠献,li'zhong'xian
梁敦彦,liang'dun'yan
梁如浩,liang'ru'hao
六村,liu'cun
六村食堂,liu'cun'shi'tang
六里台广场,liu'li'tai'guang'chang
六楼,liu'lou
刘锡良,liu'xi'liang
刘锡瑛,liu'xi'ying
刘仙洲,liu'xian'zhou
留园,liu'yuan
六斋,liu'zhai
马寅初,ma'yin'chu
茅以升,mao'yi'sheng
门球场,men'qiu'chang
铭德道,ming'de'dao
南大,nan'da
南丰路,nan'feng'lu
南馆,nan'guan
南开大学,nan'kai'da'xue
南开区,nan'kai'qu
内燃机大楼,nei'ran'ji'da'lou
内燃机研究所,nei'ran'ji'yan'jiu'suo
泥沙实验室,ni'sha'shi'yan'shi
农业生物学院,nong'ye'sheng'wu'xue'yuan
排球场,pai'qiu'chang
潘承孝,pan'cheng'xiao
鹏翔公寓,peng'xiang'gong'yu
鹏翔广场,peng'xiang'guang'chang
彭一刚,peng'yi'gang
七里台,qi'li'tai
七里台澡堂,qi'li'tai'zao'tang
七楼,qi'lou
七斋,qi'zhai
钱明训,qian'ming'xun
钱嵘,qian'rong
勤工俭学中心,qin'gong'jian'xue'zhong'xin
青年湖,qing'nian'hu
青年教师公寓,qing'nian'jiao'shi'gong'yu
清真食堂,qing'zhen'shi'tang
求实会堂,qiu'shi'hui'tang
求是路,qiu'shi'lu
燃气站,ran'qi'zhan
热能工程,re'neng'gong'cheng
仁爱学院,ren'ai'xue'yuan
人事处,ren'shi'chu
软件学院,ruan'jian'xue'yuan
三村门,san'cun'men
三楼,san'lou
三十八斋,san'shi'ba'zhai
三十二斋,san'shi'er'zhai
三十九斋,san'shi'jiu'zhai
三十六斋,san'shi'liu'zhai
三十七斋,san'shi'qi'zhai
三十三斋,san'shi'san'zhai
三十四斋,san'shi'si'zhai
三十五斋,san'shi'wu'zhai
三十一斋,san'shi'yi'zhai
三十斋,san'shi'zhai
三斋,san'zhai
社会科学,she'hui'ke'xue
社外学院,she'wai'xue'yuan
审计处,shen'ji'chu
沈家祥,shen'jia'xiang
沈桐,shen'tong
生物工程,sheng'wu'gong'cheng
生物技术,sheng'wu'ji'shu
盛宣怀,sheng'xuan'huai
十八楼,shi'ba'lou
十八斋,shi'ba'zhai
十二楼,shi'er'lou
十二斋,shi'er'zhai
石化中心,shi'hua'zhong'xin
十九楼,shi'jiu'lou
十九斋,shi'jiu'zhai
十六楼,shi'liu'lou
十六斋,shi'liu'zhai
十楼,shi'lou
食品科学,shi'pin'ke'xue
十七楼,shi'qi'lou
十七斋,shi'qi'zhai
十三楼,shi'san'lou
十三斋,shi'san'zhai
史绍熙,shi'shao'xi
实事求是,shi'shi'qiu'shi
十四楼,shi'si'lou
十四斋,shi'si'zhai
十五楼,shi'wu'lou
十五斋,shi'wu'zhai
十一楼,shi'yi'lou
十一斋,shi'yi'zhai
十斋,shi'zhai
数学系,shu'xue'xi
水利馆,shui'li'guan
水利水电,shui'li'shui'dian
硕士点,shuo'shi'dian
四季村,si'ji'cun
四楼,si'lou
四十八斋,si'shi'ba'zhai
四十二斋,si'shi'er'zhai
四十九斋,si'shi'jiu'zhai
四十六斋,si'shi'liu'zhai
四十七斋,si'shi'qi'zhai
四十三斋,si'shi'san'zhai
四十四斋,si'shi'si'zhai
四十五斋,si'shi'wu'zhai
四十一斋,si'shi'yi'zhai
四十斋,si'shi'zhai
四斋,si'zhai
太雷路,tai'lei'lu
唐邵仪,tang'shao'yi
体育场,ti'yu'chang
体育馆,ti'yu'guan
天百,tian'bai
天大,tian'da
天大百货,tian'da'bai'huo
天大北门,tian'da'bei'men
天大出版社,tian'da'chu'ban'she
天大东门,tian'da'dong'men
天大附小,tian'da'fu'xiao
天大附中,tian'da'fu'zhong
天大规划设计院,tian'da'gui'hua'she'ji'yuan
天大建筑设计院,tian'da'jian'zhu'she'ji'yuan
天大科技园,tian'da'ke'ji'yuan
天大天财,tian'da'tian'cai
天大西门,tian'da'xi'men
天大学视,tian'da'xue'shi
天津大学,tian'jin'da'xue
天津大学出版社,tian'jin'da'xue'chu'ban'she
天津电视台,tian'jin'dian'shi'tai
天津乐园,tian'jin'le'yuan
天津师大,tian'jin'shi'da
天津医科大,tian'jin'yi'ke'da
天津中医大,tian'jin'zhong'yi'da
填料大楼,tian'liao'da'lou
天南大,tian'nan'da
天南街,tian'nan'jie
天然药物学,tian'ran'yao'wu'xue
天塔,tian'ta
天外天,tian'wai'tian
通信工程,tong'xin'gong'cheng
统战部,tong'zhan'bu
土建馆,tu'jian'guan
土力实验室,tu'li'shi'yan'shi
土木工程,tu'mu'gong'cheng
团委,tuan'wei
网架公司,wang'jia'gong'si
网架楼,wang'jia'lou
网教学院,wang'jiao'xue'yuan
王静康,wang'jing'kang
网络中心,wang'luo'zhong'xin
网球场,wang'qiu'chang
王铁成,wang'tie'cheng
王铁成研究室,wang'tie'cheng'yan'jiu'shi
王修植,wang'xiu'zhi
王学仲艺术馆,wang'xue'zhong'yi'shu'guan
卫津路,wei'jin'lu
吴德,wu'de
无机材料,wu'ji'cai'liao
物理学系,wu'li'xue'xi
物流工程,wu'liu'gong'cheng
五楼,wu'lou
五十二斋,wu'shi'er'zhai
五十三斋,wu'shi'san'zhai
五十一斋,wu'shi'yi'zhai
五十斋,wu'shi'zhai
吴咏诗,wu'yong'shi
五斋,wu'zhai
西北工学院,xi'bei'gong'xue'yuan
西北联大,xi'bei'lian'da
西北门,xi'bei'men
西阶,xi'jie
先进陶瓷研究所,xian'jin'tao'ci'yan'jiu'suo
小白楼,xiao'bai'lou
校保密办,xiao'bao'mi'ban
校医院,xiao'yi'yuan
校长办公室,xiao'zhang'ban'gong'shi
新三村,xin'san'cun
信息管理,xin'xi'guan'li
信息技术,xin'xi'ji'shu
信息网络中心,xin'xi'wang'luo'zhong'xin
新园村,xin'yuan'cun
徐德源,xu'de'yuan
旭东路,xu'dong'lu
徐志摩,xu'zhi'mo
宣传部,xuan'chuan'bu
学二,xue'er
学二食堂,xue'er'shi'tang
学府街,xue'fu'jie
学湖里,xue'hu'li
学三,xue'san
学三食堂,xue'san'shi'tang
学生工作部,xue'sheng'gong'zuo'bu
学生会,xue'sheng'hui
学四,xue'si
学四餐厅,xue'si'can'ting
学四食堂,xue'si'shi'tang
学五,xue'wu
学五食堂,xue'wu'shi'tang
学一,xue'yi
学一餐厅,xue'yi'can'ting
学一拉面,xue'yi'la'mian
学一食堂,xue'yi'shi'tang
学者公寓,xue'zhe'gong'yu
研究生会,yan'jiu'sheng'hui
研究生院,yan'jiu'sheng'yuan
严士超,yan'shi'chao
岩土工程,yan'tu'gong'cheng
药剂学,yao'ji'xue
姚建铨,yao'jian'quan
药理学,yao'li'xue
药物分析,yao'wu'fen'xi
药物化学,yao'wu'hua'xue
药物信息与设计,yao'wu'xin'xi'yu'she'ji
药学院,yao'xue'yuan
液化气站,ye'hua'qi'zhan
叶声华,ye'sheng'hua
逸夫楼,yi'fu'lou
颐高电脑,yi'gao'dian'nao
一级学科,yi'ji'xue'ke
一楼,yi'lou
艺术设计,yi'shu'she'ji
一斋,yi'zhai
益智道,yi'zhi'dao
乙字楼,yi'zi'lou
银帆中学,yin'fan'zhong'xue
影视学院,ying'shi'xue'yuan
应用化学,ying'yong'hua'xue
英语系,ying'yu'xi
友谊湖,you'yi'hu
友园,you'yuan
余国琮,yu'guo'cong
玉泉路,yu'quan'lu
院士,yuan'shi
园艺园林,yuan'yi'yuan'lin
臧伯平,zang'bo'ping
张春霆,zhang'chun'ting
张国藩,zhang'guo'fan
张含英,zhang'han'ying
张太雷,zhang'tai'lei
赵天麟,zhao'tian'lin
职教学院,zhi'jiao'xue'yuan
制药工程,zhi'yao'gong'cheng
中文系,zhong'wen'xi
周恒,zhou'heng
专家楼,zhuan'jia'lou
自动化,zi'dong'hua
自动化学院,zi'dong'hua'xue'yuan
综合实验楼,zong'he'shi'yan'lou
总务处,zong'wu'chu
宗鑫贻,zong'xin'yi
总医院,zong'yi'yuan
组织部,zu'zhi'bu
