阿巴特,a'ba'te
波兹南市政体育场,bo'zi'nan'shi'zheng'ti'yu'chang
布茨克斯,bu'ci'ke'si
布尔加特,bu'er'jia'te
布尔贾特,bu'er'jia'te
布冯,bu'feng
布冯卡纳瓦罗,bu'feng'ka'na'wa'luo
布教授,bu'jiao'shou
布拉加,bu'la'jia
布拉鲁兹,bu'la'lu'zi
布拉什奇科夫斯基,bu'la'shen'qi'ke'fu'si'ji
布莱克本,bu'lai'ke'ben
布莱克浦,bu'lai'ke'pu
不莱梅,bu'lai'mei
布兰克,bu'lan'ke
布兰科,bu'lan'ke
布利亚特,bu'li'ya'te
布隆德比,bu'long'de'bi
布鲁诺阿尔维斯,bu'lu'nuo'a'er'wei'si
布鲁日,bu'lu'ri
布罗热克,bu'luo're'ke
布洛欣,bu'luo'xin
布罗泽克,bu'luo'ze'ke
布斯克茨,bu'si'ke'ci
布特科,bu'te'ke
布瓦什奇科夫斯基,bu'wa'shen'qi'ke'fu'si'ji
查尔基亚斯,cha'er'ji'ya'si
察韦拉斯,cha'wei'la'si
铲球,chan'qiu
长传,chang'chuan
长友佑都,chang'you'you'dou
车路士,che'lu'shi
橙衣军团,cheng'yi'jun'tuan
抽射,chou'she
传中,chuan'zhong
措瓦斯,cuo'wa'si
大拜仁,da'bai'ren
大耳朵杯,da'er'duo'bei
达夫,da'fu
达里达,da'li'da
达里德,da'li'de
大曼城,da'man'cheng
达日达,da'ri'da
大卫林贝尔斯基,da'wei'lin'bei'er'si'ji
大卫席尔瓦,da'wei'xi'er'wa
丹麦,dan'mai
丹尼尔卢沙科夫,dan'ni'er'lu'sha'ke'fu
德比郡,de'bi'jun
德比希,de'bi'xi
德布希,de'bu'xi
德国,de'guo
德利,de'li
德罗布尼,de'luo'bu'ni
德罗西,de'luo'xi
德米,de'mi
德米特里康巴洛夫,de'mi'te'li'kang'ba'luo'fu
德尼索夫,de'ni'suo'fu
德容,de'rong
德桑克蒂斯,de'sang'ke'di'si
德维奇,de'wei'qi
邓恩,deng'en
迪福,di'fu
迪克艾德沃卡特,di'ke'ai'de'wo'ka'te
迪纳塔莱,di'na'ta'lai
第聂伯,di'nie'bo
第聂伯罗彼得罗夫斯克,di'nie'bo'luo'bi'de'luo'fu'si'ke
低射,di'she
蒂通,di'tong
蒂亚戈莫塔,di'ya'ge'mo'ta
迪亚拉,di'ya'la
迪亚曼蒂,di'ya'man'di
电话门,dian'hua'men
吊射,diao'she
丢球,diu'qiu
冬歇期,dong'xie'qi
杜德卡,du'de'ka
都灵,du'ling
杜塞尔多夫,du'sai'er'duo'fu
杜塞尔多夫和谐,du'sai'er'duo'fu'he'xie
杜伊莫维奇,du'yi'mo'wei'qi
断钉,duan'ding
顿巴斯球场,dun'ba'si'qiu'chang
顿涅茨克,dun'nie'ci'ke
顿涅茨克矿工,dun'nie'ci'ke'kuang'gong
顿涅斯克矿工,dun'nie'si'ke'kuang'gong
多特蒙德,duo'te'meng'de
多伊尔,duo'yi'er
阿赫利,e'he'li
俄罗斯,e'luo'si
厄齐尔,e'qi'er
二娃,er'wa
法布雷加斯,fa'bu'lei'jia'si
法国,fa'guo
法兰克福,fa'lan'ke'fu
范博梅尔,fan'bo'mei'er
范德法特,fan'de'fa'te
范德梅德,fan'de'mei'de
范德维尔,fan'de'wei'er
范马尔维克,fan'ma'er'wei'ke
范佩西,fan'pei'xi
飞铲,fei'chan
费尔南多桑托斯,fei'er'nan'duo'sang'tuo'si
菲尔琼斯,fei'er'qiong'si
费特法齐迪斯,fei'te'fa'qi'di'si
费耶诺德,fei'ye'nuo'de
风云足球,feng'yun'zu'qiu
佛罗伦萨,fo'luo'lun'sa
福德,fu'de
福尔姆,fu'er'mu
弗拉尔,fu'la'er
弗兰克茨克斯穆达,fu'lan'ke'ci'ke'si'mu'da
富勒姆,fu'le'mu
弗罗茨瓦夫,fu'luo'ci'wa'fu
弗洛茨瓦夫市体育场,fu'luo'ci'wa'fu'shi'ti'yu'chang
弗塔基斯,fu'ta'ji'si
福塔基斯,fu'ta'ji'si
福图尼斯,fu'tu'ni'si
肝池,gan'chi
干爹队,gan'die'dui
哥本哈根,ge'ben'ha'gen
格策,ge'ce
格但斯克,ge'dan'si'ke
格但斯克市政共和体育场,ge'dan'si'ke'shi'zheng'gong'he'ti'yu'chang
哥德堡,ge'de'bao
格尔亚诺夫,ge'er'ya'nuo'fu
格拉纳达,ge'la'na'da
格拉纳特,ge'la'na'te
格兰奎斯特,ge'lan'kui'si'te
格兰纳特,ge'lan'na'te
戈里亚伊诺夫,ge'li'ya'yi'nuo'fu
格林,ge'lin
格卢沙科夫,ge'lu'sha'ke'fu
格鲁沙科夫,ge'lu'sha'ke'fu
格伦约翰森,ge'lun'yue'han'sen
格伦约翰逊,ge'lun'yue'han'xun
格罗宁根,ge'luo'ning'gen
格罗斯基,ge'luo'si'ji
格罗西基,ge'luo'xi'ji
格罗兹尼捷列克,ge'luo'zi'ni'jie'lie'ke
格罗兹尼特里克,ge'luo'zi'ni'te'li'ke
戈麦斯,ge'mai'si
割麦子,ge'mai'zi
格子军团,ge'zi'jun'tuan
根克,gen'ke
更衣室毒瘤,geng'yi'shi'du'liu
共同创造历史,gong'tong'chuang'zao'li'shi
古瑟夫,gu'se'fu
古谢夫,gu'xie'fu
瓜帅,gua'shuai
国际米兰,guo'ji'mi'lan
哈尔基亚斯,ha'er'ji'ya'si
哈尔科夫冶金,ha'er'ke'fu'ye'jin
哈姆伦,ha'mu'lun
哈切里季,ha'qie'li'ji
哈特,ha'te
哈维,ha'wei
哈维阿隆索,ha'wei'a'long'suo
哈维马丁内斯,ha'wei'ma'ding'nei'si
海法马卡比,hai'fa'ma'ka'bi
海伦芬,hai'lun'fen
海森,hai'sen
海廷加,hai'ting'jia
汉堡,han'bao
汉诺威,han'nuo'wei
汉森,han'sen
酣睡大叔,han'shui'da'shu
汉松,han'song
赫迪拉,he'di'la
赫尔城,he'er'cheng
赫尔辛堡,he'er'xin'bao
荷兰,he'lan
赫苏斯纳瓦斯,he'su'si'na'wa'si
赫塔,he'ta
赫塔菲,he'ta'fei
贺炜,he'wei
赫韦德斯,he'wei'de'si
亨德森,heng'de'sen
亨特,heng'te
亨特拉尔,heng'te'la'er
红黑,hong'hei
红袜,hong'wa
后卫,hou'wei
后卫线,hou'wei'xian
胡安弗兰,hu'an'fu'lan
胡安马塔,hu'an'ma'ta
胡布尼克,hu'bu'ni'ke
胡布施曼,hu'bu'shi'man
胡布斯曼,hu'bu'si'man
胡梅尔斯,hu'mei'er'si
华沙,hua'sha
华沙国家体育场,hua'sha'guo'jia'ti'yu'chang
华沙莱吉亚,hua'sha'lai'ji'ya
华斯,hua'si
坏男孩组合,huai'nan'hai'zu'he
皇家马德里,huang'jia'ma'de'li
惠兰,hui'lan
蕙兰,hui'lan
霍村,huo'cun
霍尔巴斯,huo'er'ba'si
霍尔曼,huo'er'man
霍尔门,huo'er'men
霍莱巴斯,huo'lai'ba'si
霍莱瓦斯,huo'lai'wa'si
霍奇森,huo'qi'sen
霍亚诺夫梅塔利斯特,huo'ya'nuo'fu'mei'ta'li'si'te
吉奥瓦尼特拉帕托尼,ji'ao'wa'ni'te'la'pa'tuo'ni
基比施拉斯,ji'bi'shi'la'si
吉布森,ji'bu'sen
基恩,ji'en
基辅,ji'fu
基辅奥林匹克体育场,ji'fu'ao'lin'pi'ke'ti'yu'chang
基辅迪纳摩,ji'fu'di'na'mo
吉拉塞克,ji'la'sai'ke
基拉塞克,ji'la'sai'ke
济里亚诺夫,ji'li'ya'nuo'fu
吉鲁,ji'lu
季莫什丘克,ji'mo'shen'qiu'ke
吉文,ji'wen
基耶利尼,ji'ye'li'ni
加尔马什,jia'er'ma'shen
加戈,jia'ge
贾吉尔卡,jia'ji'er'ka
贾基尔卡,jia'ji'er'ka
贾凯里尼,jia'kai'li'ni
加拉塔萨雷,jia'la'ta'sa'lei
加拉塔塞雷,jia'la'ta'sai'lei
加雷,jia'lei
加里卡希尔,jia'li'ka'xi'er
加马什,jia'ma'shen
加图索,jia'tu'suo
角球,jiao'qiu
杰队,jie'dui
捷克,jie'ke
杰拉德,jie'la'de
杰尼索夫,jie'ni'suo'fu
京多安,jing'duo'an
九爷,jiu'ye
均注,jun'zhu
卡巴耶,ka'ba'ye
卡楚拉尼斯,ka'chu'la'ni'si
卡德莱茨,ka'de'lai'ci
卡德莱奇,ka'de'lai'qi
卡尔基亚斯,ka'er'ji'ya'si
卡尔斯特伦,ka'er'si'te'lun
卡尔斯特罗姆,ka'er'si'te'luo'mu
卡拉古尼斯,ka'la'gu'ni'si
卡拉索,ka'la'suo
卡利尼奇,ka'li'ni'qi
卡列洪,ka'lie'hong
卡伦贝尔,ka'lun'bei'er
卡伦博格,ka'lun'bo'ge
卡罗尔,ka'luo'er
卡洛斯马丁斯,ka'luo'si'ma'ding'si
卡明斯基,ka'ming'si'ji
卡切里迪,ka'qie'li'di
卡萨诺,ka'sa'nuo
喀山红宝石,ka'shan'hong'bao'shi
喀山鲁宾,ka'shan'lu'bin
卡斯帕舒梅切尔,ka'si'pa'shu'mei'qie'er
卡索拉,ka'suo'la
卡希尔,ka'xi'er
卡西利亚斯,ka'xi'li'ya'si
凯尔,kai'er
凯尔特人,kai'er'te'ren
凯拉瓦,kai'la'wa
凯利,kai'li
凯泽,kai'ze
凯泽斯劳滕,kai'ze'si'lao'teng
康巴洛夫,kang'ba'luo'fu
康斯坦丁兹亚诺夫,kang'si'tan'ding'zi'ya'nuo'fu
考克斯,kao'ke'si
科恩特朗,ke'en'te'lang
科尔,ke'er
科尔扎科夫,ke'er'zha'ke'fu
柯克林,ke'ke'lin
科科林,ke'ke'lin
克拉尔,ke'la'er
克拉尼察,ke'la'ni'cha
克拉日,ke'la'ri
科拉日,ke'la'ri
科拉瓦,ke'la'wa
克劳迪奥塞萨雷普兰德利,ke'lao'di'ao'sai'sa'lei'pu'lan'de'li
克里斯蒂安埃里克森,ke'li'si'di'an'ai'li'ke'sen
克里斯蒂安鲍尔森,ke'li'si'di'an'bao'er'sen
克里斯蒂安波尔森,ke'li'si'di'an'bo'er'sen
克里斯蒂亚诺罗纳尔多,ke'li'si'di'ya'nuo'luo'na'er'duo
克利希,ke'li'xi
克里希,ke'li'xi
科隆,ke'long
克隆德利,ke'long'de'li
克鲁尔,ke'lu'er
克鲁日,ke'lu'ri
克罗地亚,ke'luo'di'ya
克罗恩德里,ke'luo'en'de'li
克洛普,ke'luo'pu
克罗斯,ke'luo'si
克洛泽,ke'luo'ze
克吕尔,ke'lv'er
科姆巴罗夫,ke'mu'ba'luo'fu
科诺普尔扬卡,ke'nuo'pu'er'yang'ka
科诺普利扬卡,ke'nuo'pu'li'yang'ka
科诺普良卡,ke'nuo'pu'liang'ka
科斯切尔尼,ke'si'qie'er'ni
科斯塔,ke'si'ta
科斯谢尔尼,ke'si'xie'er'ni
科瓦尔,ke'wa'er
科维斯特,ke'wei'si'te
克亚尔,ke'ya'er
孔巴罗夫,kong'ba'luo'fu
库尔卢卡,ku'er'lu'ka
库切尔,ku'qie'er
库斯托迪奥,ku'si'tuo'di'ao
库伊特,ku'yi'te
夸雷斯马,kua'lei'si'ma
奎斯特,kui'si'te
昆卡,kun'ka
拉尔森,la'er'sen
拉尔斯本德,la'er'si'ben'de
拉尔斯雅各布森,la'er'si'ya'ge'bu'sen
拉法,la'fa
拉法塔,la'fa'ta
拉基茨基,la'ji'ci'ji
拉基蒂奇,la'ji'di'qi
拉科,la'ke
拉玛西亚,la'ma'xi'ya
拉米,la'mi
拉莫斯,la'mo'si
拉姆,la'mu
拉齐奥,la'qi'ao
拉什图夫卡,la'shi'tu'fu'ka
拉斯本德,la'si'ben'de
拉伊托拉尔,la'yi'tuo'la'er
莱赫波兹南,lai'he'bo'zi'nan
莱切,lai'qie
莱切斯特城,lai'qie'si'te'cheng
莱斯科特,lai'si'ke'te
莱斯特,lai'si'te
莱斯特城,lai'si'te'cheng
莱托拉尔,lai'tuo'la'er
赖托拉尔,lai'tuo'la'er
莱万多夫斯基,lai'wan'duo'fu'si'ji
蓝白,lan'bai
蓝黑,lan'hei
蓝黑之心,lan'hei'zhi'xin
兰帕德,lan'pa'de
狼堡,lang'bao
狼队,lang'dui
朗隆,lang'long
劳伦特布兰科,lao'lun'te'bu'lan'ke
勒夫,le'fu
勒沃库森,le'wo'ku'sen
雷布斯,lei'bu'si
雷策克,lei'ce'ke
雷恩,lei'en
雷基克,lei'ji'ke
雷吉纳,lei'ji'na
雷纳,lei'na
雷维埃,lei'wei'ai
雷泽克,lei'ze'ke
里昂,li'ang
利贝雷茨,li'bei'lei'ci
里贝里,li'bei'li
利贝罗普洛斯,li'bei'luo'pu'luo'si
里布斯,li'bu'si
里尔,li'er
里卡多科斯塔,li'ka'duo'ke'si'ta
里斯本竞技,li'si'ben'jing'ji
里维拉,li'wei'la
利沃夫,li'wo'fu
利物浦,li'wu'pu
李毅大帝,li'yi'da'di
利兹,li'zi
连败,lian'bai
林贝尔斯基,lin'bei'er'si'ji
林德高,lin'de'gao
林德加德,lin'de'jia'de
鲁本米凯尔,lu'ben'mi'kai'er
卢克德容,lu'ke'de'rong
鲁尼,lu'ni
鲁胖,lu'pang
卢沙科夫,lu'sha'ke'fu
卢斯蒂格,lu'si'di'ge
略伦特,lue'lun'te
罗本,luo'ben
罗比基恩,luo'bi'ji'en
罗伯特格林,luo'bo'te'ge'lin
罗兰多,luo'lan'duo
洛里斯,luo'li'si
罗马,luo'ma
罗曼沙罗诺夫,luo'man'sha'luo'nuo'fu
罗曼施罗科夫,luo'man'shi'luo'ke'fu
罗梅达尔,luo'mei'da'er
罗纳尔多,luo'na'er'duo
洛佩斯,luo'pei'si
罗森贝里,luo'sen'bei'li
洛杉矶银河,luo'shan'ji'yin'he
罗斯托夫,luo'si'tuo'fu
罗坦,luo'tan
罗西基,luo'xi'ji
罗伊霍奇森,luo'yi'huo'qi'sen
罗伊斯,luo'yi'si
吕克德容,lv'ke'de'rong
马德里竞技,ma'de'li'jing'ji
马丁奥尔森,ma'ding'ao'er'sen
马丁奥尔松,ma'ding'ao'er'song
马丁凯利,ma'ding'kai'li
马丁内斯,ma'ding'nei'si
马丁斯,ma'ding'si
马尔基西奥,ma'er'ji'xi'ao
马尔文马丁,ma'er'wen'ma'ding
马竞,ma'jing
马克斯,ma'ke'si
马科斯,ma'ke'si
马拉费耶夫,ma'la'fei'ye'fu
马拉加,ma'la'jia
马来萨斯,ma'lai'sa'si
马莱扎斯,ma'lai'zha'si
马里奥格策,ma'li'ao'ge'ce
马里奥戈麦斯,ma'li'ao'ge'mai'si
马卢达,ma'lu'da
马洛卡,ma'luo'ka
马尼亚蒂斯,ma'ni'ya'di'si
马乔,ma'qiao
马赛,ma'sai
马塔,ma'ta
马泰森,ma'tai'sen
马特拉齐,ma'te'la'qi
马图什奇克,ma'tu'shen'qi'ke
马图席克,ma'tu'xi'ke
马图西克,ma'tu'xi'ke
马图伊迪,ma'tu'yi'di
麦吉迪,mai'ji'di
麦克卡德莱奇,mai'ke'ka'de'lai'qi
麦克科林,mai'ke'ke'lin
麦克莱恩,mai'ke'lai'en
麦克林,mai'ke'lin
麦克沙恩,mai'ke'sha'en
曼城,man'cheng
曼丹达,man'dan'da
曼联,man'lian
曼朱基奇,man'zhu'ji'qi
曼朱季奇,man'zhu'ji'qi
芒当达,mang'dang'da
梅阿查,mei'a'cha
梅尔贝格,mei'er'bei'ge
梅尔贝里,mei'er'bei'li
梅克斯,mei'ke'si
梅雷莱斯,mei'lei'lai'si
梅内,mei'nei
梅内斯,mei'nei'si
梅热耶夫斯基,mei're'ye'fu'si'ji
梅塔里斯特体育场,mei'ta'li'si'te'ti'yu'chang
美因茨,mei'yin'ci
门将,men'jiang
门兴,men'xing
门兴格拉德巴赫,men'xing'ge'la'de'ba'he
门柱,men'zhu
蒙彼利埃,meng'bi'li'ai
蒙托利沃,meng'tuo'li'wo
米迪兰特,mi'di'lan'te
米尔纳,mi'er'na
米尔沃尔,mi'er'wo'er
米尔泽耶夫斯基,mi'er'ze'ye'fu'si'ji
米格尔洛佩斯,mi'ge'er'luo'pei'si
米哈尔比莱克,mi'ha'er'bi'lai'ke
米哈利克,mi'ha'li'ke
米卡埃尔,mi'ka'ai'er
米凯尔,mi'kai'er
米凯尔森,mi'kai'er'sen
米克尔森,mi'ke'er'sen
米兰,mi'lan
米列夫斯基,mi'lie'fu'si'ji
米特罗格卢,mi'te'luo'ge'lu
米特伊兰,mi'te'yi'lan
莫得里奇,mo'de'li'qi
莫德里奇,mo'de'li'qi
魔力鸟,mo'li'niao
摩纳哥,mo'na'ge
摸你鸟,mo'ni'niao
莫斯科迪纳摩,mo'si'ke'di'na'mo
莫斯科火车头,mo'si'ke'huo'che'tou
莫斯克斯巴达,mo'si'ke'si'ba'da
莫斯科斯巴达,mo'si'ke'si'ba'da
莫斯科斯巴达克,mo'si'ke'si'ba'da'ke
莫斯科中央陆军,mo'si'ke'zhong'yang'lu'jun
莫塔,mo'ta
默特萨克,mo'te'sa'ke
莫滕奥尔森,mo'teng'ao'er'sen
穆大叔,mu'da'shu
穆蒂尼奥,mu'di'ni'ao
穆拉夫斯基,mu'la'fu'si'ji
穆勒,mu'le
穆帅,mu'shuai
姆维拉,mu'wei'la
纳巴布金,na'ba'bu'jin
纳巴金,na'ba'jin
那不勒斯,na'bu'le'si
纳尔欣,na'er'xin
纳尼,na'ni
纳斯里,na'si'li
纳瓦斯,na'wa'si
纳辛,na'xin
纳扎伦科,na'zha'lun'ke
奈梅亨,nai'mei'heng
内尔松奥利维拉,nei'er'song'ao'li'wei'la
内格雷多,nei'ge'lei'duo
内齐德,nei'qi'de
内西德,nei'xi'de
尼尔森奥利维拉,ni'er'sen'ao'li'wei'la
尼格尔德容,ni'ge'er'de'rong
尼古拉斯彼得森,ni'gu'la'si'bi'de'sen
尼赫尔德容,ni'he'er'de'rong
尼吉尔德容,ni'ji'er'de'rong
尼尼斯,ni'ni'si
纽卡斯尔,niu'ka'si'er
纽卡斯尔联,niu'ka'si'er'lian
纽卡斯尔联队,niu'ka'si'er'lian'dui
纽伦堡,niu'lun'bao
诺德斯亚兰,nuo'de'si'ya'lan
诺切里诺,nuo'qie'li'nuo
诺斯查兰,nuo'si'cha'lan
诺伊尔,nuo'yi'er
欧塞尔,ou'sai'er
帕尔马,pa'er'ma
帕夫柳琴科,pa'fu'liu'qin'ke
帕克,pa'ke
帕纳辛纳克斯,pa'na'xin'na'ke'si
帕纳辛奈科斯,pa'na'xin'nai'ke'si
帕帕多普洛斯,pa'pa'duo'pu'luo'si
帕帕斯塔索普洛斯,pa'pa'si'ta'suo'pu'luo'si
帕特里西奥,pa'te'li'xi'ao
盘带,pan'dai
盘口,pan'kou
跑位,pao'wei
佩刀,pei'dao
佩德罗,pei'de'luo
佩尔基,pei'er'ji
佩基斯,pei'ji'si
佩克哈特,pei'ke'ha'te
佩克斯,pei'ke'si
佩雷拉,pei'lei'la
佩里西奇,pei'li'xi'qi
佩佩,pei'pei
皮队,pi'dui
皮尔洛,pi'er'luo
皮克,pi'ke
皮拉尔,pi'la'er
皮拉日,pi'la'ri
皮拉塞尔,pi'la'sai'er
皮什切克,pi'shen'qie'ke
皮亚托夫,pi'ya'tuo'fu
普拉尼奇,pu'la'ni'qi
普拉希尔,pu'la'xi'er
普莱蒂科萨,pu'lai'di'ke'sa
普兰德利,pu'lan'de'li
葡萄牙,pu'tao'ya
普约尔,pu'yue'er
齐尔勒,qi'er'le
齐勒,qi'le
齐姆林,qi'mu'lin
前锋,qian'feng
前腰,qian'yao
乔尔卢卡,qiao'er'lu'ka
乔哈特,qiao'ha'te
乔纳森奥尔森,qiao'na'sen'ao'er'sen
乔纳斯奥尔森,qiao'na'si'ao'er'sen
乔其姆勒夫,qiao'qi'mu'le'fu
乔文科,qiao'wen'ke
切尔西,qie'er'xi
切赫,qie'he
青训,qing'xun
庆祝帝,qing'zhu'di
球霸,qiu'ba
酋长球场,qiu'zhang'qiu'chang
全攻全守,quan'gong'quan'shou
热尔雅诺夫,re'er'ya'nuo'fu
热罗姆博阿滕,re'luo'mu'bo'a'teng
热那亚,re'na'ya
日尔科夫,ri'er'ke'fu
入球,ru'qiu
瑞布斯,rui'bu'si
瑞典,rui'dian
瑞士青年人,rui'shi'qing'nian'ren
若奥佩雷拉,ruo'ao'pei'lei'la
弱队,ruo'dui
萨尔平吉迪斯,sa'er'ping'ji'di'si
萨法里,sa'fa'li
萨格勒布迪纳摩,sa'ge'le'bu'di'na'mo
萨格耶夫,sa'ge'ye'fu
萨拉戈萨,sa'la'ge'sa
萨洛尼卡,sa'luo'ni'ka
萨马拉斯,sa'ma'la'si
萨姆森,sa'mu'sen
萨姆松体育,sa'mu'song'ti'yu
塞巴斯蒂安拉尔森,sai'ba'si'di'an'la'er'sen
塞拉西,sai'la'xi
塞拉谢,sai'la'xie
塞列兹诺夫,sai'lie'zi'nuo'fu
塞林,sai'lin
塞萨洛尼基,sai'sa'luo'ni'ji
塞维利亚,sai'wei'li'ya
三后卫,san'hou'wei
桑德兰,sang'de'lan
桑多梅尔斯基,sang'duo'mei'er'si'ji
桑多米尔斯基,sang'duo'mi'er'si'ji
桑托斯,sang'tuo'si
瑟姆霍夫,se'mu'huo'fu
沙恩朗,sha'en'lang
沙恩朗隆,sha'en'lang'long
沙尔克,sha'er'ke
沙罗诺夫,sha'luo'nuo'fu
山杜米尔斯基,shan'du'mi'er'si'ji
邵佳一,shao'jia'yi
舍甫琴科,she'fu'qin'ke
舍夫丘克,she'fu'qiu'ke
舍内,she'nei
舍普琴科,she'pu'qin'ke
舍普丘克,she'pu'qiu'ke
射手榜,she'shou'bang
舍瓦,she'wa
什琴斯尼,shen'qin'si'ni
圣彼得堡泽尼特,sheng'bi'de'bao'ze'ni'te
生姜头,sheng'jiang'tou
圣卡西,sheng'ka'xi
圣莱杰,sheng'lai'jie
圣西罗,sheng'xi'luo
施尔登菲尔德,shi'er'deng'fei'er'de
世界级,shi'jie'ji
施拉斯,shi'la'si
施罗科夫,shi'luo'ke'fu
施梅尔策,shi'mei'er'ce
施魏因施泰格,shi'wei'yin'shi'tai'ge
施魏因斯泰格,shi'wei'yin'si'tai'ge
舒梅切尔,shu'mei'qie'er
舒尼,shu'ni
舒宁,shu'ning
睡皮,shui'pi
斯巴达克,si'ba'da'ke
斯蒂凡安德森,si'di'fan'an'de'sen
斯蒂芬凯利,si'di'fen'kai'li
斯尔纳,si'er'na
