保存更改,bao'cun'geng'gai
附加备注,fu'jia'bei'zhu
附加字节集,fu'jia'zi'jie'ji
赋值,fu'zhi
复制,fu'zhi
复制窗口组件,fu'zhi'chuang'kou'zu'jian
复制记录,fu'zhi'ji'lu
复制结构,fu'zhi'jie'gou
复制密码,fu'zhi'mi'ma
复制数组,fu'zhi'shu'zu
复制文件,fu'zhi'wen'jian
改变目录,gai'bian'mu'lu
改变驱动器,gai'bian'qu'dong'qi
改字段名,gai'zi'duan'ming
更新索引,geng'xin'suo'yin
关闭,guan'bi
关闭记录集,guan'bi'ji'lu'ji
关闭所有文件,guan'bi'suo'you'wen'jian
关闭文件,guan'bi'wen'jian
滚动写行,gun'dong'xie'hang
合并,he'bing
合并短整数,he'bing'duan'zheng'shu
合并整数,he'bing'zheng'shu
画饼,hua'bing
画点,hua'dian
画多边形,hua'duo'bian'xing
画弧线,hua'hu'xian
画渐变矩形,hua'jian'bian'ju'xing
画矩形,hua'ju'xing
画图片,hua'tu'pian
画椭圆,hua'tuo'yuan
画弦,hua'xian
画圆角矩形,hua'yuan'jiao'ju'xing
画直线,hua'zhi'xian
换页,huan'ye
恢复删除,hui'fu'shan'chu
恢复鼠标,hui'fu'shu'biao
回滚事务,hui'gun'shi'wu
获取,huo'qu
获取焦点,huo'qu'jiao'dian
或者,huo'zhe
计次循环首,ji'ci'xun'huan'shou
计次循环尾,ji'ci'xun'huan'wei
激活,ji'huo
记录是否存在,ji'lu'shi'fou'cun'zai
计算排序,ji'suan'pai'xu
计算数目,ji'suan'shu'mu
加记录,jia'ji'lu
加空记录,jia'kong'ji'lu
加入成员,jia'ru'cheng'yuan
加入文本,jia'ru'wen'ben
加入项目,jia'ru'xiang'mu
加线条,jia'xian'tiao
检查,jian'cha
剪辑板中可有文本,jian'ji'ban'zhong'ke'you'wen'ben
结束,jie'shu
结束打印,jie'shu'da'yin
解锁记录,jie'suo'ji'lu
解锁数据库,jie'suo'shu'ju'ku
解锁文件,jie'suo'wen'jian
解增删锁,jie'zeng'shan'suo
近似等于,jin'si'deng'yu
禁止重画,jin'zhi'chong'hua
绝对取整,jue'dui'qu'zheng
开始打印,kai'shi'da'yin
开始下一份,kai'shi'xia'yi'fen
可有焦点,ke'you'jiao'dian
快照,kuai'zhao
连接,lian'jie
连续赋值,lian'xu'fu'zhi
逻辑方法,luo'ji'fang'fa
密码输入框,mi'ma'shu'ru'kuang
鸣叫,ming'jiao
命令调用转向,ming'ling'diao'yong'zhuan'xiang
排序,pai'xu
判断,pan'duan
判断循环首,pan'duan'xun'huan'shou
判断循环尾,pan'duan'xun'huan'wei
启动,qi'dong
启动事务,qi'dong'shi'wu
清除,qing'chu
清除剪辑板,qing'chu'jian'ji'ban
清除数组,qing'chu'shu'zu
清空,qing'kong
求次方,qiu'ci'fang
求反对数,qiu'fan'dui'shu
求反正切,qiu'fan'zheng'qie
求和,qiu'he
求平方根,qiu'ping'fang'gen
求余数,qiu'yu'shu
求余弦,qiu'yu'xian
求正切,qiu'zheng'qie
求正弦,qiu'zheng'xian
求自然对数,qiu'zi'ran'dui'shu
取八进制文本,qu'ba'jin'zhi'wen'ben
取背景色,qu'bei'jing'se
取边距,qu'bian'ju
取变体型,qu'bian'ti'xing
取标记组件,qu'biao'ji'zu'jian
取标签,qu'biao'qian
取表头行数,qu'biao'tou'hang'shu
取表头列数,qu'biao'tou'lie'shu
取操作系统类别,qu'cao'zuo'xi'tong'lei'bie
取重复文本,qu'chong'fu'wen'ben
取重复字节集,qu'chong'fu'zi'jie'ji
取创建时间,qu'chuang'jian'shi'jian
取窗口句柄,qu'chuang'kou'ju'bing
取磁盘卷标,qu'ci'pan'juan'biao
取磁盘剩余空间,qu'ci'pan'sheng'yu'kong'jian
取磁盘总空间,qu'ci'pan'zong'kong'jian
取错误,qu'cuo'wu
取错误码,qu'cuo'wu'ma
取错误信息,qu'cuo'wu'xin'xi
取打印页高,qu'da'yin'ye'gao
取打印页宽,qu'da'yin'ye'kuan
取代码,qu'dai'ma
取当前库,qu'dang'qian'ku
取当前目录,qu'dang'qian'mu'lu
取当前索引,qu'dang'qian'suo'yin
取点,qu'dian
取顶端可见项目,qu'ding'duan'ke'jian'xiang'mu
取读写位置,qu'du'xie'wei'zhi
取对齐方式,qu'dui'qi'fang'shi
取对象,qu'dui'xiang
取发音数目,qu'fa'yin'shu'mu
取反,qu'fan
取分钟,qu'fen'zhong
取符号,qu'fu'hao
取高度,qu'gao'du
取光标行号,qu'guang'biao'hang'hao
取光标列号,qu'guang'biao'lie'hao
取行高,qu'hang'gao
取行数,qu'hang'shu
取回客户,qu'hui'ke'hu
取回数据,qu'hui'shu'ju
取回图片,qu'hui'tu'pian
取回字体,qu'hui'zi'ti
取记录号,qu'ji'lu'hao
取记录数,qu'ji'lu'shu
取剪辑板文本,qu'jian'ji'ban'wen'ben
取焦点项目,qu'jiao'dian'xiang'mu
取接口,qu'jie'kou
取绝对值,qu'jue'dui'zhi
取空白文本,qu'kong'bai'wen'ben
取空白字节集,qu'kong'bai'zi'jie'ji
取库文件名,qu'ku'wen'jian'ming
取宽度,qu'kuan'du
取类型,qu'lei'xing
取连接文本,qu'lian'jie'wen'ben
取列宽,qu'lie'kuan
取列数,qu'lie'shu
取临时文件名,qu'lin'shi'wen'jian'ming
取逻辑值,qu'luo'ji'zhi
取密码方式,qu'mi'ma'fang'shi
取秒,qu'miao
取命令行,qu'ming'ling'hang
取默认底色,qu'mo'ren'di'se
取某月天数,qu'mou'yue'tian'shu
取年份,qu'nian'fen
取配置节名,qu'pei'zhi'jie'ming
取拼音,qu'pin'yin
取平均值,qu'ping'jun'zhi
取屏幕高度,qu'ping'mu'gao'du
取屏幕宽度,qu'ping'mu'kuan'du
取启动时间,qu'qi'dong'shi'jian
取日,qu'ri
取日期,qu'ri'qi
取设备句柄,qu'she'bei'ju'bing
取声母,qu'sheng'mu
取时间,qu'shi'jian
取时间部分,qu'shi'jian'bu'fen
取时间间隔,qu'shi'jian'jian'ge
取事件组件,qu'shi'jian'zu'jian
取十六进制文本,qu'shi'liu'jin'zhi'wen'ben
取鼠标垂直位置,qu'shu'biao'chui'zhi'wei'zhi
取鼠标水平位置,qu'shu'biao'shui'ping'wei'zhi
取数据,qu'shu'ju
取数据类型尺寸,qu'shu'ju'lei'xing'chi'cun
取数值,qu'shu'zhi
取数值注册项,qu'shu'zhi'zhu'ce'xiang
取数组成员数,qu'shu'zu'cheng'yuan'shu
取数组下标,qu'shu'zu'xia'biao
取随机数,qu'sui'ji'shu
取索引名,qu'suo'yin'ming
取索引数,qu'suo'yin'shu
取索引字段,qu'suo'yin'zi'duan
取所有被选择项目,qu'suo'you'bei'xuan'ze'xiang'mu
取所有发音,qu'suo'you'fa'yin
取所有纸张类型,qu'suo'you'zhi'zhang'lei'xing
取图片,qu'tu'pian
取图片高度,qu'tu'pian'gao'du
取图片宽度,qu'tu'pian'kuan'du
取文本,qu'wen'ben
取文本长度,qu'wen'ben'chang'du
取文本色,qu'wen'ben'se
取文本输入格式,qu'wen'ben'shu'ru'ge'shi
取文本右边,qu'wen'ben'you'bian
取文本中间,qu'wen'ben'zhong'jian
取文本注册项,qu'wen'ben'zhu'ce'xiang
取文本左边,qu'wen'ben'zuo'bian
取文件长度,qu'wen'jian'chang'du
取文件尺寸,qu'wen'jian'chi'cun
取文件时间,qu'wen'jian'shi'jian
取文件属性,qu'wen'jian'shu'xing
取系统语言,qu'xi'tong'yu'yan
取现行时间,qu'xian'xing'shi'jian
取项目数,qu'xiang'mu'shu
取项目数值,qu'xiang'mu'shu'zhi
取项目文本,qu'xiang'mu'wen'ben
取消重画,qu'xiao'chong'hua
取消打印,qu'xiao'da'yin
取小时,qu'xiao'shi
取星期几,qu'xing'qi'ji
取选择列数,qu'xuan'ze'lie'shu
取选择行数,qu'xuan'ze'xing'shu
取颜色数,qu'yan'se'shu
取颜色值,qu'yan'se'zhi
取已选择项目数,qu'yi'xuan'ze'xiang'mu'shu
取硬盘特征字,qu'ying'pan'te'zheng'zi
取用户区高度,qu'yong'hu'qu'gao'du
取用户区宽度,qu'yong'hu'qu'kuan'du
取月份,qu'yue'fen
取韵母,qu'yun'mu
取运行目录,qu'yun'xing'mu'lu
取整,qu'zheng
取只读方式,qu'zhi'du'fang'shi
取执行文件名,qu'zhi'xing'wen'jian'ming
取主机名,qu'zhu'ji'ming
取自定义纸张大小,qu'zi'ding'yi'zhi'zhang'da'xiao
取字段尺寸,qu'zi'duan'chi'cun
取字段类型,qu'zi'duan'lei'xing
取字段名,qu'zi'duan'ming
取字段数,qu'zi'duan'shu
取子夹名称,qu'zi'jia'ming'cheng
取子夹数目,qu'zi'jia'shu'mu
取字节集,qu'zi'jie'ji
取字节集长度,qu'zi'jie'ji'chang'du
取字节集数据,qu'zi'jie'ji'shu'ju
取字节集右边,qu'zi'jie'ji'you'bian
取字节集中间,qu'zi'jie'ji'zhong'jian
取字节集注册项,qu'zi'jie'ji'zhu'ce'xiang
取字节集左边,qu'zi'jie'ji'zuo'bian
取字体尺寸,qu'zi'ti'chi'cun
取字体名,qu'zi'ti'ming
取字体属性,qu'zi'ti'shu'xing
取最大时间,qu'zui'da'shi'jian
取最大值,qu'zui'da'zhi
取最小时间,qu'zui'xiao'shi'jian
取最小值,qu'zui'xiao'zhi
全部复制,quan'bu'fu'zhi
全部关闭,quan'bu'guan'bi
全部解锁,quan'bu'jie'suo
全部选择,quan'bu'xuan'ze
日期方法,ri'qi'fang'fa
如果,ru'guo
如果真,ru'guo'zhen
删除,shan'chu
删除成员,shan'chu'cheng'yuan
删除列,shan'chu'lie
删除目录,shan'chu'mu'lu
删除数据,shan'chu'shu'ju
删除文件,shan'chu'wen'jian
删除项目,shan'chu'xiang'mu
删除行,shan'chu'xing
删除注册项,shan'chu'zhu'ce'xiang
删除自定义纸张类型,shan'chu'zi'ding'yi'zhi'zhang'lei'xing
删全部空,shan'quan'bu'kong
删首空,shan'shou'kong
删首尾空,shan'shou'wei'kong
删尾空,shan'wei'kong
删线条,shan'xian'tiao
是否被合并,shi'fou'bei'he'bing
是否被选择,shi'fou'bei'xuan'ze
是否被选中,shi'fou'bei'xuan'zhong
是否被允许,shi'fou'bei'yun'xu
是否为空,shi'fou'wei'kong
是否为调试版,shi'fou'wei'tiao'shi'ban
是否相等,shi'fou'xiang'deng
是否已创建,shi'fou'yi'chuang'jian
是否已打开,shi'fou'yi'da'kai
是否已加密,shi'fou'yi'jia'mi
是否已删除,shi'fou'yi'shan'chu
是否有线条,shi'fou'you'xian'tiao
是否运算正确,shi'fou'yun'suan'zheng'que
是否在文件尾,shi'fou'zai'wen'jian'wei
是否支持多用户,shi'fou'zhi'chi'duo'yong'hu
时间到文本,shi'jian'dao'wen'ben
事件转移,shi'jian'zhuan'yi
首记录前,shou'ji'lu'qian
输出调试文本,shu'chu'tiao'shi'wen'ben
输入框,shu'ru'kuang
输入字比较,shu'ru'zi'bi'jiao
数值到大写,shu'zhi'dao'da'xie
数值到格式文本,shu'zhi'dao'ge'shi'wen'ben
数值到金额,shu'zhi'dao'jin'e
数值方法,shu'zhi'fang'fa
数组排序,shu'zu'pai'xu
数组清零,shu'zu'qing'ling
刷新,shua'xin
刷新显示,shua'xin'xian'shi
四舍五入,si'she'wu'ru
索引查找,suo'yin'cha'zhao
锁住记录,suo'zhu'ji'lu
锁住数据库,suo'zhu'shu'ju'ku
锁住文件,suo'zhu'wen'jian
锁住增删,suo'zhu'zeng'shan
弹出菜单,tan'chu'cai'dan
弹出托盘菜单,tan'chu'tuo'pan'cai'dan
替换,ti'huan
替换打开,ti'huan'da'kai
提交事务,ti'jiao'shi'wu
填充矩形,tian'chong'ju'xing
添加,tian'jia
添加行,tian'jia'xing
跳出循环,tiao'chu'xun'huan
跳到,tiao'dao
跳过,tiao'guo
调整层次,tiao'zheng'ceng'ci
跳转,tiao'zhuan
停止,ting'zhi
停止播放,ting'zhi'bo'fang
通信测试,tong'xin'ce'shi
通用方法,tong'yong'fang'fa
投递信息,tou'di'xin'xi
位或,wei'huo
尾记录后,wei'ji'lu'hou
位取反,wei'qu'fan
位异或,wei'yi'huo
位与,wei'yu
文本比较,wen'ben'bi'jiao
文本方法,wen'ben'fang'fa
文本替换,wen'ben'ti'huan
文件到单元格,wen'jian'dao'dan'yuan'ge
文件更名,wen'jian'geng'ming
文件是否存在,wen'jian'shi'fou'cun'zai
相乘,xiang'cheng
相除,xiang'chu
相加,xiang'jia
相减,xiang'jian
销毁,xiao'hui
小于,xiao'yu
小于或等于,xiao'yu'huo'deng'yu
写出,xie'chu
写出缓存,xie'chu'huan'cun
写出数据,xie'chu'shu'ju
写出所有缓存,xie'chu'suo'you'huan'cun
写出文本,xie'chu'wen'ben
写出字节集,xie'chu'zi'jie'ji
写到内存,xie'dao'nei'cun
写到文件,xie'dao'wen'jian
写环境变量,xie'huan'jing'bian'liang
写配置项,xie'pei'zhi'xiang
写属性,xie'shu'xing
写文本行,xie'wen'ben'hang
卸载图片,xie'zai'tu'pian
写注册项,xie'zhu'ce'xiang
写字段,xie'zi'duan
信号操作,xin'hao'cao'zuo
新建索引,xin'jian'suo'yin
信息框,xin'xi'kuang
修改,xiu'gai
选择,xuan'ze
选择项目,xuan'ze'xiang'mu
选中项目,xuan'zhong'xiang'mu
循环判断首,xun'huan'pan'duan'shou
循环判断尾,xun'huan'pan'duan'wei
寻找文本,xun'zhao'wen'ben
寻找文件,xun'zhao'wen'jian
寻找字节集,xun'zhao'zi'jie'ji
延时,yan'shi
移到文件首,yi'dao'wen'jian'shou
移到文件尾,yi'dao'wen'jian'wei
移动,yi'dong
移动读写位置,yi'dong'du'xie'wei'zhi
移动文件,yi'dong'wen'jian
右移,you'yi
运行,yun'xing
允许,yun'xu
允许重画,yun'xu'chong'hua
载入,zai'ru
载入图片,zai'ru'tu'pian
暂停,zan'ting
增减时间,zeng'jian'shi'jian
粘贴,zhan'tie
粘贴到光标处,zhan'tie'dao'guang'biao'chu
整除,zheng'chu
置背景色,zhi'bei'jing'se
置边距,zhi'bian'ju
置表头行数,zhi'biao'tou'hang'shu
置表头列数,zhi'biao'tou'lie'shu
置初始属性,zhi'chu'shi'shu'xing
置磁盘卷标,zhi'ci'pan'juan'biao
置错误提示管理,zhi'cuo'wu'ti'shi'guan'li
置打印设置,zhi'da'yin'she'zhi
置当前库,zhi'dang'qian'ku
置当前索引,zhi'dang'qian'suo'yin
置等待鼠标,zhi'deng'dai'shu'biao
置顶端可见项目,zhi'ding'duan'ke'jian'xiang'mu
指定时间,zhi'ding'shi'jian
置对齐方式,zhi'dui'qi'fang'shi
置父窗口,zhi'fu'chuang'kou
置光标,zhi'guang'biao
置行高,zhi'hang'gao
置加锁重试时间,zhi'jia'suo'chong'shi'shi'jian
置剪辑板文本,zhi'jian'ji'ban'wen'ben
置焦点项目,zhi'jiao'dian'xiang'mu
置类型,zhi'lei'xing
置列宽,zhi'lie'kuan
置密码方式,zhi'mi'ma'fang'shi
置数据,zhi'shu'ju
置数据库密码,zhi'shu'ju'ku'mi'ma
置随机数种子,zhi'sui'ji'shu'zhong'zi
置托盘图标,zhi'tuo'pan'tu'biao
置外形图片,zhi'wai'xing'tu'pian
置文本,zhi'wen'ben
置文本色,zhi'wen'ben'se
置文本输入格式,zhi'wen'ben'shu'ru'ge'shi
置文件属性,zhi'wen'jian'shu'xing
置现行时间,zhi'xian'xing'shi'jian
置项目数值,zhi'xiang'mu'shu'zhi
置项目文本,zhi'xiang'mu'wen'ben
置写出位置,zhi'xie'chu'wei'zhi
执行,zhi'xing
指针到文本,zhi'zhen'dao'wen'ben
指针到字节集,zhi'zhen'dao'zi'jie'ji
置只读方式,zhi'zhi'du'fang'shi
置自定义纸张类型,zhi'zi'ding'yi'zhi'zhang'lei'xing
置子夹名称,zhi'zi'jia'ming'cheng
置字体尺寸,zhi'zi'ti'chi'cun
置字体名,zhi'zi'ti'ming
置字体属性,zhi'zi'ti'shu'xing
注册项是否存在,zhu'ce'xiang'shi'fou'cun'zai
转换为主机名,zhuan'huan'wei'zhu'ji'ming
字符,zi'fu
字节集到单元格,zi'jie'ji'dao'dan'yuan'ge
字节集替换,zi'jie'ji'ti'huan
子文本替换,zi'wen'ben'ti'huan
子字节集替换,zi'zi'jie'ji'ti'huan
左移,zuo'yi
