安全出水量,an'quan'chu'shui'liang
干旱,gan'han
干湖,gan'hu
干溪,gan'xi
高程,gao'cheng
弓形湖,gong'xing'hu
沟谷,gou'gu
观察性流域,guan'cha'xing'liu'yu
过程线,guo'cheng'xian
过度抽取,guo'du'chou'qu
海拔,hai'ba
海滨,hai'bin
海勒邵模拟,hai'le'shao'mo'ni
海平面,hai'ping'mian
海滩,hai'tan
海湾,hai'wan
海啸,hai'xiao
旱谷,han'gu
含沙量,han'sha'liang
河川径流,he'chuan'jing'liu
河床,he'chuang
河谷调蓄量,he'gu'tiao'xu'liang
河口,he'kou
河流,he'liu
河流等级,he'liu'deng'ji
河流流域,he'liu'liu'yu
河流频数,he'liu'pin'shuo
河流深潭,he'liu'shen'tan
河流弯曲度,he'liu'wan'qu'du
河流学,he'liu'xue
河流纵断面,he'liu'zong'duan'mian
河流纵剖面,he'liu'zong'pou'mian
河曲,he'qu
河湾,he'wan
河网密度,he'wang'mi'du
河网形式,he'wang'xing'shi
洪泛平源,hong'fan'ping'yuan
洪泛区,hong'fan'qu
洪峰,hong'feng
洪峰流量,hong'feng'liu'liang
洪痕,hong'hen
洪水,hong'shui
洪水标记,hong'shui'biao'ji
洪水过程线,hong'shui'guo'cheng'xian
洪水河槽,hong'shui'he'cao
湖滨,hu'bin
湖冰,hu'bing
湖面波动,hu'mian'bo'dong
湖泊,hu'po
湖泊率,hu'po'lv
湖泊水文学,hu'po'shui'wen'xue
湖水对流,hu'shui'dui'liu
湖滩,hu'tan
湖沼水文学,hu'zhao'shui'wen'xue
湖沼学,hu'zhao'xue
回归水,hui'gui'shui
汇流时间,hui'liu'shi'jian
灰岩,hui'yan
混合长度,hun'he'chang'du
基本测站,ji'ben'ce'zhan
基本水文站,ji'ben'shui'wen'zhan
季节性河流,ji'jie'xing'he'liu
季节性湖泊,ji'jie'xing'hu'po
急流,ji'liu
激流,ji'liu
集水面积,ji'shui'mian'ji
急滩,ji'tan
积雪产水量,ji'xue'chan'shui'liang
假潮,jia'chao
间断河,jian'duan'he
减速流,jian'su'liu
间歇河,jian'xie'he
江河,jiang'he
截淤效率,jie'yu'xiao'lv
津浪,jin'lang
净暴雨量,jing'bao'yu'liang
径流,jing'liu
径流实验站,jing'liu'shi'yan'zhan
径流系数,jing'liu'xi'shu
径流小区,jing'liu'xiao'qu
静水,jing'shui
净雨量,jing'yu'liang
喀斯特,ka'si'te
喀斯特河流,ka'si'te'he'liu
喀斯特水文学,ka'si'te'shui'wen'xue
枯水,ku'shui
枯水河槽,ku'shui'he'cao
快速地下流,kuai'su'de'xia'liu
亏耗曲线,kui'hao'qu'xian
亏水河,kui'shui'he
拦泥效率,lan'ni'xiao'lv
淋溶,lin'rong
淋洗,lin'xi
流量,liu'liang
流量过程线,liu'liang'guo'cheng'xian
流量率,liu'liang'lv
流量模数,liu'liang'mo'shu
流域,liu'yu
流域产流面积,liu'yu'chan'liu'mian'ji
流域分水线,liu'yu'fen'shui'xian
流域管理,liu'yu'guan'li
流域面积,liu'yu'mian'ji
流域响应,liu'yu'xiang'ying
流域形态特征,liu'yu'xing'tai'te'zheng
陆地水文学,lu'di'shui'wen'xue
陆围湖泊,lu'wei'hu'po
落潮,luo'chao
落洪期,luo'hong'qi
漫灌,man'guan
面积高程曲线,mian'ji'gao'cheng'qu'xian
内海水面波动,nei'hai'shui'mian'bo'dong
内陆湖,nei'lu'hu
泥沙采样器,ni'sha'cai'yang'qi
泥石流,ni'shi'liu
泥炭沼,ni'tan'zhao
泥沼地,ni'zhao'di
牛轭湖,niu'e'hu
排水沟,pai'shui'gou
旁侧入流,pang'ce'ru'liu
泡沸,pao'fei
片流,pian'liu
片蚀,pian'shi
片状流,pian'zhuang'liu
平均潮位,ping'jun'chao'wei
平均海平面,ping'jun'hai'ping'mian
平行板模型,ping'xing'ban'mo'xing
坡面流,po'mian'liu
坡面渗流,po'mian'shen'liu
瀑布,pu'bu
栖留河,qi'liu'he
气象年,qi'xiang'nian
潜冰,qian'bing
潜流,qian'liu
浅滩,qian'tan
牵引力,qian'yin'li
区间来水,qu'jian'lai'shui
区间入流,qu'jian'ru'liu
曲流,qu'liu
曲流带,qu'liu'dai
曲线长度,qu'xian'chang'du
确定水文学,que'ding'shui'wen'xue
壤中流,rang'zhong'liu
热负荷,re'fu'he
融雪,rong'xue
融雪洪水,rong'xue'hong'shui
乳浊性,ru'zhuo'xing
沙滩,sha'tan
沙洲,sha'zhou
山洪,shan'hong
山洪暴发,shan'hong'bao'fa
山溪,shan'xi
上升水位,shang'sheng'shui'wei
上游,shang'you
上游段,shang'you'duan
上游河道,shang'you'he'dao
上涨水位,shang'zhang'shui'wei
蛇曲,she'qu
深泓线,shen'hong'xian
渗坑,shen'keng
渗漏损失,shen'lou'sun'shi
深切河,shen'qie'he
生态系统,sheng'tai'xi'tong
湿年,shi'nian
湿润带,shi'run'dai
湿润区,shi'run'qu
实验流域,shi'yan'liu'yu
输沙量,shu'sha'liang
输沙率,shu'sha'lv
输沙能力,shu'sha'neng'li
水滨,shui'bin
水层翻腾,shui'ceng'fan'teng
水道测量学,shui'dao'ce'liang'xue
水化学,shui'hua'xue
水界,shui'jie
水量平衡,shui'liang'ping'heng
水量损失,shui'liang'sun'shi
水流中线,shui'liu'zhong'xian
水流轴线,shui'liu'zhou'xian
水面流速,shui'mian'liu'su
水面蒸发,shui'mian'zheng'fa
水面蒸发量,shui'mian'zheng'fa'liang
水内冰,shui'nei'bing
水体,shui'ti
水网,shui'wang
水位,shui'wei
水文测站,shui'wen'ce'zhan
水文地理学,shui'wen'di'li'xue
水文干旱,shui'wen'gan'han
水文气象学,shui'wen'qi'xiang'xue
水文情势,shui'wen'qing'shi
水文学,shui'wen'xue
水文循环,shui'wen'xun'huan
水文要素,shui'wen'yao'su
水系,shui'xi
水系出口,shui'xi'chu'kou
水系形式,shui'xi'xing'shi
水循环,shui'xun'huan
朔望大潮,shuo'wang'da'chao
泰森多边形,tai'sen'duo'bian'xing
填洼量,tian'wa'liang
透光层,tou'guang'ceng
土内水流,tu'nei'shui'liu
湍流,tuan'liu
退潮,tui'chao
退水段,tui'shui'duan
退水期,tui'shui'qi
退水曲线,tui'shui'qu'xian
洼地蓄水量,wa'di'xu'shui'liang
洼淀,wa'dian
弯曲率,wan'qu'lv
溪谷,xi'gu
细谷,xi'gu
下游,xia'you
下游河段,xia'you'he'duan
咸水侵占,xian'shui'qin'zhan
咸水入侵,xian'shui'ru'qin
陷穴,xian'xue
相对蒸发量,xiang'dui'zheng'fa'liang
小潮,xiao'chao
小方格网法,xiao'fang'ge'wang'fa
小水库,xiao'shui'ku
屑冰,xie'bing
泻湖,xie'hu
泄水孔,xie'shui'kong
斜温层,xie'wen'ceng
蓄水,xu'shui
蓄水量,xu'shui'liang
蓄水量方程,xu'shui'liang'fang'cheng
蓄水系数,xu'shui'xi'shu
悬河,xuan'he
悬移质,xuan'yi'zhi
淹没,yan'mo
盐侵,yan'qin
岩溶,yan'rong
岩溶河流,yan'rong'he'liu
岩溶水文学,yan'rong'shui'wen'xue
盐水分界面,yan'shui'fen'jie'mian
盐水入侵,yan'shui'ru'qin
盐水楔,yan'shui'xie
盐跃层,yan'yue'ceng
引力,yin'li
赢水河,ying'shui'he
盈水河,ying'shui'he
应用水文学,ying'yong'shui'wen'xue
永久测站,yong'jiu'ce'zhan
有效降雨,you'xiao'jiang'yu
跃温层,yue'wen'ceng
涨潮,zhang'chao
涨洪段,zhang'hong'duan
沼地,zhao'di
沼泽,zhao'ze
真光层,zhen'guang'ceng
正常年,zheng'chang'nian
蒸发机会,zheng'fa'ji'hui
蒸发率,zheng'fa'lv
蒸发强度,zheng'fa'qiang'du
蒸散,zheng'san
蒸散发量,zheng'san'fa'liang
滞后时间,zhi'hou'shi'jian
直接径流,zhi'jie'jing'liu
支流,zhi'liu
滞流量,zhi'liu'liang
滞留时间,zhi'liu'shi'jian
滞水,zhi'shui
中泓线,zhong'hong'xian
骤发洪水,zhou'fa'hong'shui
骤发性河流,zhou'fa'xing'he'liu
周转,zhou'zhuan
周转率,zhou'zhuan'lv
周转时间,zhou'zhuan'shi'jian
主水文站,zhu'shui'wen'zhan
专用水文站,zhuan'yong'shui'wen'zhan
自记水位计,zi'ji'shui'wei'ji
自然堤,zi'ran'di
滋育湖,zi'yu'hu
综合过程线,zong'he'guo'cheng'xian
总径流深,zong'jing'liu'shen
纵剖面,zong'pou'mian
总蒸发量,zong'zheng'fa'liang
阻滞水流,zu'zhi'shui'liu
最大瞬时,zui'da'shun'shi
最高洪水位,zui'gao'hong'shui'wei
最深谷底线,zui'shen'gu'di'xian
