安全,an'quan
亟欲,ji'yu
集中控制,ji'zhong'kong'zhi
甲冠天下,jia'guan'tian'xia
歼戮,jian'lu
剑眉一剔,jian'mei'yi'ti
减速顶,jian'su'ding
减速器,jian'su'qi
减震器,jian'zhen'qi
交叉渡线,jiao'cha'du'xian
接车,jie'che
桀桀,jie'jie
桀桀狂笑,jie'jie'kuang'xiao
接近区段,jie'jin'qu'duan
解体,jie'ti
京包线,jing'bao'xian
京哈线,jing'ha'xian
京沪线,jing'hu'xian
京九线,jing'jiu'xian
就戮,jiu'lu
局长,ju'zhang
遽止,ju'zhi
绝缘节,jue'yuan'jie
绝缘结,jue'yuan'jie
咔喳,ka'zha
开行,kai'xing
可靠性,ke'kao'xing
客运专线,ke'yun'zhuan'xian
空调,kong'tiao
控制台,kong'zhi'tai
快轨,kuai'gui
快速,kuai'su
狂飚如潮,kuang'biao'ru'chao
睽隔多年,kui'ge'duo'nian
昆明铁路局,kun'ming'tie'lu'ju
蓝光,lan'guang
蓝色,lan'se
兰州交通大学,lan'zhou'jiao'tong'da'xue
兰州铁道学院,lan'zhou'tie'dao'xue'yuan
兰州铁路局,lan'zhou'tie'lu'ju
劳动强度,lao'dong'qiang'du
联动,lian'dong
联锁,lian'suo
梁孟,liang'meng
列车管理信息系统,lie'che'guan'li'xin'xi'xi'tong
列车长,lie'che'zhang
列车自动防护系统,lie'che'zi'dong'fang'hu'xi'tong
列车自动驾驶系统,lie'che'zi'dong'jia'shi'xi'tong
列车自动控制系统,lie'che'zi'dong'kong'zhi'xi'tong
列调,lie'tiao
临客,lin'ke
灵枢,ling'shu
溜放,liu'fang
柳局,liu'ju
刘志军,liu'zhi'jun
柳州铁路局,liu'zhou'tie'lu'ju
路基,lu'ji
路肩,lu'jian
鹿死谁手,lu'si'shui'shou
抡头,lun'tou
落地雷,luo'di'lei
逻辑电路,luo'ji'dian'lu
洛阳信息工程学校,luo'yang'xin'xi'gong'cheng'xue'xiao
绿灯,lv'deng
滤光,lv'guang
绿光,lv'guang
旅客列车,lv'ke'lie'che
绿闪,lv'shan
埋电缆,mai'dian'lan
漫空杖,man'kong'zhang
冒进,mao'jin
懵然无觉,meng'ran'wu'jue
面冷心狠,mian'leng'xin'hen
名耆,ming'qi
名园古刹,ming'yuan'gu'cha
明珠线,ming'zhu'xian
目露悸容,mu'lu'ji'rong
目露凶光,mu'lu'xiong'guang
目无余子,mu'wu'yu'zi
南昌铁路局,nan'chang'tie'lu'ju
内昆线,nei'kun'xian
内燃机车,nei'ran'ji'che
内梯透镜,nei'ti'tou'jing
狞恶,ning'e
凝思须臾,ning'si'xu'yu
宁为鸡头,ning'wei'ji'tou
狞笑,ning'xiao
拧折,ning'zhe
欧洲列车管理信息系统,ou'zhou'lie'che'guan'li'xin'xi'xi'tong
欧洲列车控制系统,ou'zhou'lie'che'kong'zhi'xi'tong
判若两人,pan'ruo'liang'ren
僻异怪诡,pi'yi'guai'gui
平调,ping'diao
平面调车,ping'mian'diao'che
普客,pu'ke
奇奥,qi'ao
奇奥不测,qi'ao'bu'ce
骑鹤西归,qi'he'xi'gui
期门,qi'men
崎岖,qi'qu
其他词汇,qi'ta'ci'hui
前尘往事,qian'chen'wang'shi
桥梁,qiao'liang
秦岭隧道,qin'ling'sui'dao
秦沈专线,qin'shen'zhuan'xian
轻不着力,qing'bu'zhuo'li
青出于蓝更胜于蓝,qing'chu'yu'lan'geng'sheng'yu'lan
晴空如洗,qing'kong'ru'xi
清啸,qing'xiao
青藏铁路,qing'zang'tie'lu
青藏线,qing'zang'xian
区段,qu'duan
区间,qu'jian
全路通信信号研究设计院,quan'lu'tong'xin'xin'hao'yan'jiu'she'ji'yuan
人神共鉴,ren'shen'gong'jian
熔断器,rong'duan'qi
冗余,rong'yu
瑞雪飘飘,rui'xue'piao'piao
色灯,se'deng
色灯信号机,se'deng'xin'hao'ji
森沉,sen'chen
上海铁道大学,shang'hai'tie'dao'da'xue
上海铁路局,shang'hai'tie'lu'ju
尚未可知,shang'wei'ke'zhi
上行,shang'xing
韶山,shao'shan
设计能力,she'ji'neng'li
沈阳局,shen'yang'ju
沈阳铁路局,shen'yang'tie'lu'ju
声光报警,sheng'guang'bao'jing
胜之不武,sheng'zhi'bu'wu
施工进度,shi'gong'jin'du
时序电路,shi'xu'dian'lu
首车,shou'che
售票,shou'piao
疏勒河,shu'le'he
双动,shuang'dong
双动道岔,shuang'dong'dao'cha
双黄,shuang'huang
双线,shuang'xian
水电段,shui'dian'duan
四更将残,si'geng'jiang'can
四开,si'kai
诉衷谈往,su'zhong'tan'wang
隧道,sui'dao
隧道挖掘机,sui'dao'wa'jue'ji
弹指,tan'zhi
提速,ti'su
天府之星,tian'fu'zhi'xing
天罡,tian'gang
调幅,tiao'fu
调监,tiao'jian
调频,tiao'pin
调相,tiao'xiang
铁道部,tie'dao'bu
铁道部第二勘测设计院,tie'dao'bu'di'er'kan'ce'she'ji'yuan
铁道部第三勘测设计院,tie'dao'bu'di'san'kan'ce'she'ji'yuan
铁道部第四勘测设计院,tie'dao'bu'di'si'kan'ce'she'ji'yuan
铁道部第一勘测设计院,tie'dao'bu'di'yi'kan'ce'she'ji'yuan
铁道医学院,tie'dao'yi'xue'yuan
铁路,tie'lu
铁路分局,tie'lu'fen'ju
铁路局,tie'lu'ju
铁路信号,tie'lu'xin'hao
通过,tong'guo
通过能力,tong'guo'neng'li
通过信号机,tong'guo'xin'hao'ji
通信,tong'xin
通信机房,tong'xin'ji'fang
同轴电缆,tong'zhou'dian'lan
推峰,tui'feng
退票,tui'piao
托梁换柱,tuo'liang'huan'zhu
挖电缆沟,wa'dian'lan'gou
外门,wai'men
万里一碧,wan'li'yi'bi
尾车,wei'che
微机监测,wei'ji'jian'ce
微机联锁,wei'ji'lian'suo
纹波,wen'bo
紊乱如麻,wen'luan'ru'ma
无岔区段,wu'cha'qu'duan
无分轩轾,wu'fen'xuan'zhi
无缝,wu'feng
乌局,wu'ju
无绝缘,wu'jue'yuan
乌鲁木齐铁路局,wu'lu'mu'qi'tie'lu'ju
毋为牛后,wu'wei'niu'hou
无线调度,wu'xian'diao'du
无源应答器,wu'yuan'ying'da'qi
西风卷帘,xi'feng'juan'lian
奚落,xi'luo
西门子,xi'men'zi
西南交通大学,xi'nan'jiao'tong'da'xue
下行,xia'xing
贤契,xian'qi
襄樊,xiang'fan
消卸,xiao'xie
小站,xiao'zhan
信号,xin'hao
信号灯,xin'hao'deng
信号电缆,xin'hao'dian'lan
信号工,xin'hao'gong
信号工区,xin'hao'gong'qu
信号机,xin'hao'ji
信号机房,xin'hao'ji'fang
信号楼,xin'hao'lou
信号施工,xin'hao'shi'gong
辛辣诡异,xin'la'gui'yi
行踪飘忽,xing'zong'piao'hu
岫云,xiu'yun
玄奥晦涩,xuan'ao'hui'se
学究天人,xue'jiu'tian'ren
血涌如注,xue'yong'ru'zhu
迅快如电,xun'kuai'ru'dian
压力传感器,ya'li'chuan'gan'qi
压敏电阻,ya'min'dian'zu
遥控,yao'kong
液压转辙机,ye'ya'zhuan'zhe'ji
疑诧不信,yi'cha'bu'xin
一代新人换旧人,yi'dai'xin'ren'huan'jiu'ren
一年半载,yi'nian'ban'zai
一朝被蛇咬,yi'zhao'bei'she'yao
阴恻恻,yin'ce'ce
隐约,yin'yue
应答器,ying'da'qi
颖慧绝伦,ying'hui'jue'lun
迎面,ying'mian
雍容大度,yong'rong'da'du
涌塞,yong'sai
涌袭,yong'xi
涌霞,yong'xia
有源应答器,you'yuan'ying'da'qi
与时俱进,yu'shi'ju'jin
余威,yu'wei
玉靥,yu'ye
怨毒,yuan'du
月白,yue'bai
运输,yun'shu
运输段,yun'shu'duan
掌势,zhang'shi
郑州铁路局,zheng'zhou'tie'lu'ju
终端盒,zhong'duan'he
中国列车控制系统,zhong'guo'lie'che'kong'zhi'xi'tong
中国铁路通信信号集团公司,zhong'guo'tie'lu'tong'xin'xin'hao'ji'tuan'gong'si
中华总工会,zhong'hua'zong'gong'hui
终身不渝,zhong'shen'bu'yu
主体信号,zhu'ti'xin'hao
转站,zhuan'zhan
转辙机,zhuan'zhe'ji
追尾,zhui'wei
追踪,zhui'zong
卓著威名,zhuo'zhu'wei'ming
自动闭塞,zi'dong'bi'se
自动调车,zi'dong'diao'che
自动控制,zi'dong'kong'zhi
紫酱,zi'jiang
资质聪颖,zi'zhi'cong'ying
俎上之肉,zu'shang'zhi'rou
坐大,zuo'da
作色,zuo'se
