阿尔贝加缪,a'er'bei'jia'miu
罗伯特席勒,luo'bo'te'xi'le
罗伯特詹姆斯沃勒,luo'bo'te'zhan'mu'si'wo'le
罗曼罗兰,luo'man'luo'lan
罗素,luo'su
玛格丽特杜拉斯,ma'ge'li'te'du'la'si
玛格丽特密切,ma'ge'li'te'mi'qie
马塞尔普鲁斯特,ma'sai'er'pu'lu'si'te
迈克尔刘易斯,mai'ke'er'liu'yi'si
矛盾,mao'dun
毛姆,mao'mu
美好的旅行,mei'hao'de'lv'xing
梦的解析,meng'de'jie'xi
面纱,mian'sha
名人传,ming'ren'zhuan
莫泊桑,mo'bo'sang
莫迪亚诺,mo'di'ya'nuo
莫应丰,mo'ying'feng
穆恩,mu'en
穆斯林的葬礼,mu'si'lin'de'zang'li
尼古拉斯斯帕,ni'gu'la'si'si'pa
你往何处去,ni'wang'he'chu'qu
欧内斯特海明威,ou'nei'si'te'hai'ming'wei
帕斯捷尔纳克,pa'si'jie'er'na'ke
帕特里克莫迪亚诺,pa'te'li'ke'mo'di'ya'nuo
皮耶尔勒迈特,pi'ye'er'le'mai'te
苹果树,ping'guo'shu
乞力马扎罗的雪,qi'li'ma'zha'luo'de'xue
千只鹤,qian'zhi'he
乔万尼奥里,qiao'wan'ni'ao'li
青春追忆,qing'chun'zhui'yi
情人,qing'ren
全球通史,quan'qiu'tong'shi
人类简史从动物到上帝,ren'lei'jian'shi'cong'dong'wu'dao'shang'di
人类群星闪耀时,ren'lei'qun'xing'shan'yao'shi
人民的名义,ren'min'de'ming'yi
人性的弱点,ren'xing'de'ruo'dian
日瓦戈医生,ri'wa'ge'yi'sheng
萨特,sa'te
三个火枪手,san'ge'huo'qiang'shou
莎士比亚,sha'shi'bi'ya
山音,shan'yin
少女的港湾,shao'nv'de'gang'wan
神们自己,shen'men'zi'ji
生命册,sheng'ming'ce
生为女人,sheng'wei'nv'ren
时间简史,shi'jian'jian'shi
时间旅行者的妻子,shi'jian'lv'xing'zhe'de'qi'zi
世界的凛冬,shi'jie'de'lin'dong
世界金融新秩序,shi'jie'jin'rong'xin'zhi'xu
世界秩序,shi'jie'zhi'xu
十日谈,shi'ri'tan
守住中国人的底线,shou'zhu'zhong'guo'ren'de'di'xian
鼠疫,shu'yi
水孩子,shui'hai'zi
水浒新传,shui'hu'xin'zhuan
说谎者的扑克牌,shuo'huang'zhe'de'pu'ke'pai
斯巴达克斯,si'ba'da'ke'si
四十五卫士,si'shi'wu'wei'shi
司汤达,si'tang'da
死亡游戏,si'wang'you'xi
随机漫步的傻瓜,sui'ji'man'bu'de'sha'gua
所罗门诺瑟普,suo'luo'men'nuo'se'pu
泰戈尔,tai'ge'er
汤姆克兰西,tang'mu'ke'lan'xi
天上再见,tian'shang'zai'jian
田园交响曲,tian'yuan'jiao'xiang'qu
童年,tong'nian
托尔斯泰,tuo'er'si'tai
托克维尔,tuo'ke'wei'er
陀思妥耶夫斯基,tuo'si'tuo'ye'fu'si'ji
万历十五年,wan'li'shi'wu'nian
王安忆,wang'an'yi
王蒙,wang'meng
王朔,wang'shuo
王小波,wang'xiao'bo
未来简史从智人到智神,wei'lai'jian'shi'cong'zhi'ren'dao'zhi'shen
韦兰,wei'lan
为奴十二年,wei'nu'shi'er'nian
我的哲学发展,wo'de'zhe'xue'fa'zhan
我叫刘跃进,wo'jiao'liu'yue'jin
我是你爸爸,wo'shi'ni'ba'ba
乌合之众,wu'he'zhi'zhong
乌合之众大众心理研究,wu'he'zhi'zhong'da'zhong'xin'li'yan'jiu
西顿,xi'dun
西顿动物记,xi'dun'dong'wu'ji
西方美术简史,xi'fang'mei'shu'jian'shi
西方哲学简史,xi'fang'zhe'xue'jian'shi
西格蒙德弗洛伊德,xi'ge'meng'de'fu'luo'yi'de
希勒,xi'le
西蒙蒙蒂菲奥里,xi'meng'meng'di'fei'ao'li
肖洛霍夫,xiao'luo'huo'fu
性爱与婚姻,xing'ai'yu'hun'yin
幸福之路,xing'fu'zhi'lu
许三观卖血记,xu'san'guan'mai'xue'ji
雪国,xue'guo
亚当斯密,ya'dang'si'mi
亚尔培萨伐龙,ya'er'pei'sa'fa'long
羊脂球,yang'zhi'qiu
姚雪垠,yao'xue'yin
耶路撒冷三千年,ye'lu'sa'leng'san'qian'nian
夜巡,ye'xun
一半是火焰一半是海水,yi'ban'shi'huo'yan'yi'ban'shi'hai'shui
一个广告人的自白,yi'ge'guang'gao'ren'de'zi'bai
一个陌生女人的来信,yi'ge'mo'sheng'nv'ren'de'lai'xin
一句顶一万句,yi'ju'ding'yi'wan'ju
银行家的情人,yin'hang'jia'de'qing'ren
鹰翼行动,ying'yi'xing'dong
影子武士,ying'zi'wu'shi
永别了武器,yong'bie'le'wu'qi
永恒的边缘,yong'heng'de'bian'yuan
永恒的终结,yong'heng'de'zhong'jie
尤瓦尔赫拉利,you'wa'er'he'la'li
余华,yu'hua
玉响,yu'xiang
园丁集,yuan'ding'ji
约翰高尔斯华绥,yue'han'gao'er'si'hua'sui
约翰克里斯多夫,yue'han'ke'li'si'duo'fu
月亮与六便士,yue'liang'yu'liu'bian'shi
再爱一次,zai'ai'yi'ci
在人间高尔基,zai'ren'jian'gao'er'ji
债券投资策略,zhai'quan'tou'zi'ce'lue
战争与和平,zhan'zheng'yu'he'ping
张恨水,zhang'hen'shui
致敬加泰罗尼亚,zhi'jing'jia'tai'luo'ni'ya
中国艺术简史,zhong'guo'yi'shu'jian'shi
周大新,zhou'da'xin
周梅森,zhou'mei'sen
追忆似水年华,zhui'yi'si'shui'nian'hua
自食恶果欧洲即将沦为第三世界,zi'shi'e'guo'ou'zhou'ji'jiang'lun'wei'di'san'shi'jie
子夜,zi'ye
宗教与科学,zong'jiao'yu'ke'xue
最初的体验,zui'chu'de'ti'yan
罪与罚,zui'yu'fa
左拉,zuo'la
