熬鳔,ao'biao
打眼,da'yan
大眼儿贼,da'yan'er'zei
打夜作,da'ye'zuo
打一晃,da'yi'huang
打印子,da'yin'zi
打游飞,da'you'fei
打圆盘,da'yuan'pan
大约莫儿,da'yue'mo'er
打坠咕噜,da'zhui'gu'lu
搭桌,da'zhuo
大嘴马虎,da'zui'ma'hu
待见,dai'jian
逮小辫儿,dai'xiao'bian'er
淡巴嘴儿,dan'ba'zui'er
单儿,dan'er
但泽沟,dan'ze'gou
刀把,dao'ba
捯饬,dao'chi
道儿,dao'er
倒杆儿,dao'gan'er
刀螂,dao'lang
倒卧,dao'wo
倒血霉,dao'xue'mei
得记,de'ji
得空儿,de'kong'er
得了吧,de'le'ba
得楞,de'leng
德性,de'xing
得亏,dei'kui
等雷,deng'lei
蹬腿儿,deng'tui'er
滴点儿了,di'dian'er'le
嘀咕,di'gu
地界儿,di'jie'er
地起,di'qi
垫吧,dian'ba
电棒儿,dian'bang'er
踮脚儿,dian'jiao'er
电烙子,dian'lao'zi
掂配,dian'pei
电熨台,dian'yun'tai
吊膀,diao'bang
叼扯,diao'che
吊猴儿,diao'hou'er
调侃儿,diao'kan'er
掉链子,diao'lian'zi
钓鱼儿,diao'yu'er
吊纸,diao'zhi
叠了,die'le
顶不济,ding'bu'ji
顶对,ding'dui
顶蘑菇,ding'mo'gu
顶戗,ding'qiang
动劲儿,dong'jin'er
动弹,dong'tan
逗根儿,dou'gen'er
逗咳嗽,dou'ke'sou
抖了,dou'le
逗闷子,dou'men'zi
镀乐,du'le
堵头儿,du'tou'er
断顿儿,duan'dun'er
断间,duan'jian
兑鼓,dui'gu
堆故,dui'gu
趸货,dun'huo
二巴根儿,er'ba'gen'er
二茬儿,er'cha'er
二虎,er'hu
耳会,er'hui
二来来,er'lai'lai
二雷子,er'lei'zi
耳旁风,er'pang'feng
二五眼,er'wu'yan
发孩儿,fa'hai'er
发丧,fa'sang
发小儿,fa'xiao'er
翻儿了,fan'er'le
翻翻,fan'fan
饭口,fan'kou
房盖儿,fang'gai'er
放肝气,fang'gan'qi
飞花,fei'hua
废物蛋,fei'wu'dan
废物点心,fei'wu'dian'xin
废物鸡,fei'wu'ji
份儿,fen'er
奋秋,fen'qiu
浮囊,fu'nang
服软儿,fu'ruan'er
符神儿,fu'shen'er
洑水,fu'shui
浮头儿,fu'tou'er
旮旯,ga'la
嘎嘛,ga'ma
嘎头,ga'tou
嘎鱼,ga'yu
嘎杂子,ga'za'zi
旮子,ga'zi
盖儿虫,gai'er'chong
盖了帽儿了,gai'le'mao'er'le
改锥,gai'zhui
杆儿拉,gan'er'la
干饭,gan'fan
钢板儿,gang'ban'er
钢猛锅,gang'meng'guo
杠头,gang'tou
刚头儿,gang'tou'er
杠着,gang'zhe
搞把儿,gao'ba'er
高底儿,gao'di'er
疙疸洼,ge'da'wa
个勒崩子,ge'le'beng'zi
各了崩子,ge'le'beng'zi
咯孬,ge'nao
个扭儿,ge'niu'er
搁其末末,ge'qi'mo'mo
隔色,ge'se
个头儿,ge'tou'er
硌窝儿,ge'wo'er
个月期程,ge'yue'qi'cheng
哏儿,gen'er
艮三声,gen'san'sheng
跟手儿,gen'shou'er
弓子,gong'zi
够板,gou'ban
够口儿,gou'kou'er
狗抛,gou'pao
狗碰头儿,gou'peng'tou'er
狗骑兔子,gou'qi'tu'zi
勾欠,gou'qian
够呛,gou'qiang
勾腮帮子,gou'sai'bang'zi
鼓棒槌,gu'bang'chui
鼓掇,gu'duo
骨立,gu'li
挂斗,gua'dou
呱唧,gua'ji
刮净,gua'jing
褂子,gua'zi
拐子,guai'zi
灌篓儿,guan'lou'er
灌米,guan'mi
关钱,guan'qian
光屁流儿,guang'pi'liu'er
归了包堆,gui'le'bao'dui
归其,gui'qi
归齐,gui'qi
鬼市儿,gui'shi'er
滚刀肉,gun'dao'rou
锅巴菜,guo'ba'cai
果篦儿,guo'bi'er
过儿,guo'er
过节儿,guo'jie'er
果头,guo'tou
果子汤,guo'zi'tang
哈拉子,ha'la'zi
蛤蟆,ha'ma
蛤蟆秧子,ha'ma'yang'zi
害孩子,hai'hai'zi
海了去了,hai'le'qu'le
寒谗,han'chan
号儿,hao'er
好活儿,hao'huo'er
好么,hao'me
好么眼儿,hao'me'yan'er
喝变,he'bian
喝噔,he'deng
喝儿唬,he'er'hu
喝雷捣撇子,he'lei'dao'pie'zi
喝里下,he'li'xia
喝破烂,he'po'lan
喝破烂的,he'po'lan'de
合着,he'zhe
黑更,hei'geng
黑晌儿,hei'shang'er
横是,heng'shi
横丝肉,heng'si'rou
红萝陪,hong'luo'pei
哄弄,hong'nong
哄弄局儿,hong'nong'ju'er
红眼儿,hong'yan'er
猴儿,hou'er
齁儿,hou'er
后子,hou'zi
胡巴拉臭,hu'ba'la'chou
胡不拉,hu'bu'la
护犊子,hu'du'zi
胡儿天,hu'er'tian
糊弄局,hu'nong'ju
胡吣,hu'qin
胡嘬,hu'zuo
话沽,hua'gu
黄瓜鱼,huang'gua'yu
混儿,hun'er
霍霍,huo'huo
火筷子,huo'kuai'zi
火柿子,huo'shi'zi
急赤白脸,ji'chi'bai'lian
鸡蛋果子,ji'dan'guo'zi
挤斗,ji'dou
集市儿,ji'shi'er
鸡争根儿,ji'zheng'gen'er
鸡子亮,ji'zi'liang
家达子,jia'da'zi
夹剪,jia'jian
家巧儿,jia'qiao'er
尖儿,jian'er
拣直走,jian'zhi'zou
酱豆腐,jiang'dou'fu
浆子,jiang'zi
犟嘴,jiang'zui
脚豆,jiao'dou
街底儿,jie'di'er
接风儿,jie'feng'er
介玩意儿,jie'wan'yi'er
介小子,jie'xiao'zi
井闭子,jing'bi'zi
酒地儿,jiu'di'er
揪儿,jiu'er
就乎,jiu'hu
卷铺盖,juan'pu'gai
卷圈,juan'quan
砍大头,kan'da'tou
看夜儿,kan'ye'er
砍仔儿,kan'zai'er
扛旗儿,kang'qi'er
科冷牛,ke'leng'niu
辣豆腐,la'dou'fu
辣糊儿,la'hu'er
拉拉万,la'la'wan
辣面,la'mian
拉锁,la'suo
辣子,la'zi
榔头,lang'tou
老鼻子,lao'bi'zi
老坦儿,lao'tan'er
老乌灵,lao'wu'ling
冷年糕,leng'nian'gao
棱子,leng'zi
楞子,leng'zi
力巴儿,li'ba'er
离机,li'ji
离鸡,li'ji
离了歪斜,li'le'wai'xie
练摊,lian'tan
撂旱地,liao'han'di
撂了,liao'le
凌拍子,ling'pai'zi
凌眼,ling'yan
拢子,long'zi
瞜兮,lou'xi
炉灰,lu'hui
路子,lu'zi
罗罗杠,luo'luo'gang
萝陪,luo'pei
螺嗦,luo'suo
绿豆菜,lv'dou'cai
麻号,ma'hao
嘛事儿,ma'shi'er
嘛玩,ma'wan
嘛玩意儿,ma'wan'yi'er
毛刺儿,mao'ci'er
毛儿嫩,mao'er'nen
猫腻,mao'ni
没治了,mei'zhi'le
门儿清,men'er'qing
闷葫芦,men'hu'lu
苗或,miao'huo
灭了儿,mie'le'er
谬儿,miu'er
磨奋,mo'fen
拿分,na'fen
拿龙,na'long
耐人,nai'ren
闹春,nao'chun
挠儿,nao'er
瑙袖子,nao'xiu'zi
孬鱼,nao'yu
内嘛,nei'ma
恁么,nen'me
能内梗,neng'nei'geng
你了可够哏儿的,ni'le'ke'gou'gen'er'de
你说嘛儿,ni'shuo'ma'er
腻歪,ni'wai
念经的,nian'jing'de
念山音,nian'shan'yin
蔫损,nian'sun
喏喏,nuo'nuo
螃海,pang'hai
胖头,pang'tou
抛砖引玉,pao'zhuan'yin'yu
坯柴,pi'chai
片砍,pian'kan
撇列,pie'lie
贫气,pin'qi
汽车楼子,qi'che'lou'zi
起哄架秧,qi'hong'jia'yang
齐眉穗儿,qi'mei'sui'er
起腻,qi'ni
起子,qi'zi
掐个儿,qia'ge'er
卡子,qia'zi
前脸儿,qian'lian'er
青酱,qing'jiang
青辣子,qing'la'zi
轻钱儿惹重钱儿,qing'qian'er're'zhong'qian'er
球克,qiu'ke
绕麻儿,rao'ma'er
惹惹,re're
撒呓挣,sa'yi'zheng
三蹦子,san'beng'zi
散火儿,san'huo'er
三尾巴腔子,san'wei'ba'qiang'zi
上亮子,shang'liang'zi
生炉子,sheng'lu'zi
拾不起个儿,shi'bu'qi'ge'er
食火,shi'huo
拾毛蓝的,shi'mao'lan'de
实轴饽饽,shi'zhou'bo'bo
手潮,shou'chao
树彪子,shu'biao'zi
树妞子,shu'niu'zi
刷浆,shua'jiang
水楼子,shui'lou'zi
水猫,shui'mao
顺鸟,shun'niao
撕把,si'ba
肆横,si'heng
死签儿,si'qian'er
送路,song'lu
素肚,su'du
蒜毫,suan'hao
祟乎,sui'hu
唆了,suo'le
唆了蜜,suo'le'mi
梭子,suo'zi
塌秧,ta'yang
抬槓,tai'gang
弹球,tan'qiu
糖堆儿,tang'dui'er
糖苗或,tang'miao'huo
桃儿,tao'er
掏轮儿,tao'lun'er
滕饭,teng'fan
踢蹬罐儿,ti'deng'guan'er
踢脚儿,ti'jiao'er
挑扣,tiao'kou
铁刨花,tie'bao'hua
筒子,tong'zi
秃子花,tu'zi'hua
团粉,tuan'fen
推头,tui'tou
拖斗,tuo'dou
歪脖蜡,wai'bo'la
崴了,wai'le
崴泥,wai'ni
弯脖儿,wan'bo'er
玩意儿,wan'yi'er
窝脖儿,wo'bo'er
稀里马虎,xi'li'ma'hu
西排,xi'pai
瞎八,xia'ba
下巴嗑子,xia'ba'ke'zi
瞎掰,xia'bai
瞎蛾子,xia'e'zi
鲜货,xian'huo
香乾,xiang'qian
小布鱼,xiao'bu'yu
鞋蹋,xie'ta
惺惺,xing'xing
秀眯,xiu'mi
踅摸,xue'mo
牙花子,ya'hua'zi
烟火,yan'huo
芫荽,yan'sui
烟油子,yan'you'zi
洋白菜,yang'bai'cai
洋灰,yang'hui
洋蜡,yang'la
羊蝎子,yang'xie'zi
要麻儿,yao'ma'er
钥素,yao'su
窑性,yao'xing
咬鱼儿,yao'yu'er
夜儿个,ye'er'ge
夜黑晌儿,ye'hei'shang'er
也了盖,ye'le'gai
夜猫子,ye'mao'zi
业障,ye'zhang
一边儿,yi'bian'er
一担一挑,yi'dan'yi'tiao
一六够,yi'liu'gou
胰子,yi'zi
胰子粉,yi'zi'fen
赢果儿,ying'guo'er
油葫芦,you'hu'lu
淤贴,yu'tie
凿吧,zao'ba
糟改,zao'gai
赠歪,zeng'wai
扎猛子,zha'meng'zi
扎星针,zha'xing'zhen
占火,zhan'huo
笊篱,zhao'li
招应,zhao'ying
折饼儿,zhe'bing'er
摺咧,zhe'lie
挣崴,zheng'wai
皱巴,zhou'ba
转莲籽儿,zhuan'lian'zi'er
自个儿,zi'ge'er
滋歪,zi'wai
紫盐,zi'yan
走鸡,zou'ji
揍兴,zou'xing
嘴巴子,zui'ba'zi
嘴子,zui'zi
嘬瘪子,zuo'bie'zi
坐地炮,zuo'di'pao
坐水,zuo'shui
