阿桃,a'tao
垂直扣杀,chui'zhi'kou'sha
慈不二,ci'bu'er
慈郎,ci'lang
慈丸,ci'wan
大阪大妈,da'ban'da'ma
大爆炸,da'bao'zha
大车轮山岚回击,da'che'lun'shan'lan'hui'ji
大饭匙倩,da'fan'chi'qian
大和大佑,da'he'da'you
大猫,da'mao
大曲龙次,da'qu'long'ci
大石,da'shi
大石领域,da'shi'ling'yu
大石秀一郎,da'shi'xiu'yi'lang
单手波动球,dan'shou'bo'dong'qiu
德川和也,de'chuan'he'ye
登山,deng'shan
第四重回击,di'si'zhong'hui'ji
帝王,di'wang
第五重回击,di'wu'zhong'hui'ji
荻之介,di'zhi'jie
叠影海市蜃楼,die'ying'hai'shi'shen'lou
东方雅美,dong'fang'ya'mei
动如雷霆,dong'ru'lei'ting
动态视力,dong'tai'shi'li
动物组,dong'wu'zu
都忍,dou'ren
渡边,du'bian
渡边修,du'bian'xiu
毒蛇,du'she
毒手,du'shou
短蛇球,duan'she'qiu
恶魔化,e'mo'hua
二次元同调,er'ci'yuan'tong'diao
二刀流,er'dao'liu
饭匙倩,fan'chi'qian
飞燕还巢,fei'yan'hai'chao
芬达,fen'da
凤长太郎,feng'chang'tai'lang
凤狗狗,feng'gou'gou
凤凰回闪,feng'huang'hui'shan
风林阴山雷,feng'lin'yin'shan'lei
封锁内心,feng'suo'nei'xin
腹黑熊,fu'hei'xiong
腐基,fu'ji
蝮蛇,fu'she
蜉蝣笼罩,fu'you'long'zhao
高桥广树,gao'qiao'guang'shu
高速发球,gao'su'fa'qiu
搞笑双打,gao'xiao'shuang'da
搞笑双人组,gao'xiao'shuang'ren'zu
搞笑网球,gao'xiao'wang'qiu
跟上节拍,gen'shang'jie'pai
宫本完,gong'ben'wan
狗剩,gou'sheng
够天才吧,gou'tian'cai'ba
谷吉木辛,gu'ji'mu'xin
观不二,guan'bu'er
关根和喜,guan'gen'he'xi
关西狼,guan'xi'lang
观裕,guan'yu
观月,guan'yue
观月初,guan'yue'chu
观月前辈,guan'yue'qian'bei
诡计发球,gui'ji'fa'qiu
鬼十次郎,gui'shi'ci'lang
海带,hai'dai
海带头,hai'dai'tou
海堂,hai'tang
海堂飞沫,hai'tang'fei'mo
海堂熏,hai'tang'xun
海堂薰,hai'tang'xun
海堂叶末,hai'tang'ye'mo
海外远征组,hai'wai'yuan'zheng'zu
海贼的号角,hai'zei'de'hao'jiao
好像很有趣呢,hao'xiang'hen'you'qu'ne
河不二,he'bu'er
河村,he'cun
河村隆,he'cun'long
赫卡同克瑞斯的守卫,he'ka'tong'ke'rui'si'de'shou'wei
和越,he'yue
和奏,he'zou
黑外套回归组,hei'wai'tao'hui'gui'zu
黑羽春风,hei'yu'chun'feng
后场领域,hou'chang'ling'yu
猴子山大王,hou'zi'shan'dai'wang
胡狼,hu'lang
狐狸,hu'li
虎炮,hu'pao
桦地,hua'di
桦地崇弘,hua'di'chong'hong
桦迹,hua'ji
幻像球,huan'xiang'qiu
皇帝,huang'di
黄金搭档,huang'jin'da'dang
黄金双打,huang'jin'shuang'da
黄金右腕,huang'jin'you'wan
黄金之手,huang'jin'zhi'shou
荒妹,huang'mei
荒木宏文,huang'mu'hong'wen
回旋蛇镖,hui'xuan'she'biao
回旋蛇球,hui'xuan'she'qiu
迹部,ji'bu
迹部大爷,ji'bu'da'ye
迹不二,ji'bu'er
迹部景吾,ji'bu'jing'wu
迹部君,ji'bu'jun
迹部王国,ji'bu'wang'guo
迹部様,ji'bu'yang
迹部总受,ji'bu'zong'shou
迹慈,ji'ci
鸡蛋头,ji'dan'tou
疾如风,ji'ru'feng
基斯,ji'si
迹越,ji'yue
迹佐,ji'zuo
甲斐田,jia'fei'tian
甲斐田幸,jia'fei'tian'xing
甲斐田雪,jia'fei'tian'xue
甲斐裕次郎,jia'fei'yu'ci'lang
加藤和树,jia'teng'he'shu
加藤胜郎,jia'teng'sheng'lang
加治将树,jia'zhi'jiang'shu
教授,jiao'shou
皆川纯子,jie'chuan'chun'zi
芥川慈郎,jie'chuan'ci'lang
杰克桑原,jie'ke'sang'yuan
芥末,jie'mo
芥末寿司,jie'mo'shou'si
近角抽球,jin'jiao'chou'qiu
金色小春,jin'se'xiao'chun
金太郎,jin'tai'lang
近藤孝行,jin'teng'xiao'xing
津田健次郎,jin'tian'jian'ci'lang
金田一郎,jin'tian'yi'lang
鲸井康介,jing'jing'kang'jie
精市,jing'shi
景吾,jing'wu
景吾君,jing'wu'jun
久岛薰,jiu'dao'xun
九州双雄,jiu'zhou'shuang'xiong
橘不二,ju'bu'er
菊不二,ju'bu'er
狙击网球,ju'ji'wang'qiu
橘桔平,ju'ju'ping
桔平,ju'ping
菊丸,ju'wan
菊丸光束,ju'wan'guang'shu
菊丸火箭炮,ju'wan'huo'jian'pao
菊丸扣杀,ju'wan'kou'sha
菊丸英二,ju'wan'ying'er
橘杏,ju'xing
巨熊回击,ju'xiong'hui'ji
菊越,ju'yue
橘子少年,ju'zi'shao'nian
君岛育斗,jun'dao'yu'dou
卡鲁宾,ka'lu'bin
烤肉奉行,kao'rou'feng'xing
克拉克,ke'la'ke
空蝉,kong'chan
袴田伊藏,ku'tian'yi'cang
堀尾,ku'wei
堀尾聪史,ku'wei'cong'shi
快速发球,kuai'su'fa'qiu
快速截击,kuai'su'jie'ji
葵剑太郎,kui'jian'tai'lang
浪川大辅,lang'chuan'da'fu
浪速之星,lang'su'zhi'xing
老狐狸,lao'hu'li
镭射管束,lei'she'guan'shu
雷射死光,lei'she'si'guang
理查德坂田,li'cha'de'ban'tian
立海大附属中学,li'hai'da'fu'shu'zhong'xue
立海大三连霸没有死角,li'hai'da'san'lian'ba'mei'you'si'jiao
立海三连霸,li'hai'san'lian'ba
莉莉亚安德藏兔座,li'li'ya'an'de'cang'tu'zuo
莲二,lian'er
莲姬,lian'ji
镰鼬,lian'you
烈风扇,lie'feng'shan
林修,lin'xiu
凌空抽射,ling'kong'chou'she
铃木惷,ling'mu'chun
铃木裕树,ling'mu'yu'shu
零式发球,ling'shi'fa'qiu
零食削球,ling'shi'xiao'qiu
六角中,liu'jiao'zhong
柳莲二,liu'lian'er
柳切,liu'qie
柳仁,liu'ren
柳生,liu'sheng
柳生比吕士,liu'sheng'bi'lv'shi
柳泽慎也,liu'ze'shen'ye
泷荻之介,long'di'zhi'jie
龙卷风杀球,long'juan'feng'sha'qiu
龙卷风蛇球,long'juan'feng'she'qiu
龙马,long'ma
龙马殿,long'ma'dian
龙马君,long'ma'jun
龙崎堇,long'qi'jin
龙崎樱乃,long'qi'ying'nai
龙雅,long'ya
陆奥悠步,lu'ao'you'bu
陆奥悠马,lu'ao'you'ma
螺旋激光束,luo'xuan'ji'guang'shu
迈向失意的遁走曲,mai'xiang'shi'yi'de'dun'zou'qu
鳗鱼茶,man'yu'cha
猫殿,mao'dian
毛利寿三郎,mao'li'shou'san'lang
猫猫,mao'mao
帽子组,mao'zi'zu
美人组,mei'ren'zu
门协悟,men'xie'wu
梦境,meng'jing
猛兽的气息,meng'shou'de'qi'xi
面瘫,mian'tan
绵羊,mian'yang
绵羊宝宝,mian'yang'bao'bao
灭五感,mie'wu'gan
名古屋星德,ming'gu'wu'xing'de
模仿王子,mo'fang'wang'zi
魔术截击,mo'shu'jie'ji
木更津淳,mu'geng'jin'chun
木更津亮,mu'geng'jin'liang
木手,mu'shou
木手永四郎,mu'shou'yong'si'lang
南圭介,nan'gui'jie
南健太郎,nan'jian'tai'lang
楠田敏之,nan'tian'min'zhi
难知如阴,nan'zhi'ru'yin
内村京介,nei'cun'jing'jie
你还差得远呢,ni'hai'cha'de'yuan'ne
女神,nv'shen
女王,nv'wang
攀月截击,pan'yue'jie'ji
平等院凤凰,ping'deng'yuan'feng'huang
平古场,ping'gu'chang
平古场凛,ping'gu'chang'lin
平理惇平,ping'li'dun'ping
平善之,ping'shan'zhi
破灭的轮舞曲,po'mie'de'lun'wu'qu
破灭的探戈,po'mie'de'tan'ge
瀑布发球,pu'bu'fa'qiu
噗哩,pu'li
麒麟落地,qi'lin'luo'di
七校总攻,qi'xiao'zong'gong
欺诈师,qi'zha'shi
欺诈师的乐园,qi'zha'shi'de'le'yuan
千白,qian'bai
谦白,qian'bai
前辈们都很讨厌啊,qian'bei'men'dou'hen'tao'yan'a
千锤百炼,qian'chui'bai'lian
千锤百炼之究极,qian'chui'bai'lian'zhi'jiu'ji
乾海,qian'hai
千橘,qian'ju
乾柳,qian'liu
千石清纯,qian'shi'qing'chun
潜水式截击,qian'shui'shi'jie'ji
千岁美由纪,qian'sui'mei'you'ji
千岁千里,qian'sui'qian'li
前卫杀手,qian'wei'sha'shou
谦也,qian'ye
乾贞治,qian'zhen'zhi
乾汁,qian'zhi
切兔,qie'tu
切丸,qie'wan
切原,qie'yuan
切原赤也,qie'yuan'chi'ye
侵略如火,qin'lue'ru'huo
青春学园,qing'chun'xue'yuan
青春学园中等部,qing'chun'xue'yuan'zhong'deng'bu
青醋,qing'cu
擎天柱,qing'tian'zhu
青学,qing'xue
青学大脑,qing'xue'da'nao
青学的帝王,qing'xue'de'di'wang
青酢,qing'zuo
秋庭红叶,qiu'ting'hong'ye
曲球扣杀球,qu'qiu'kou'sha'qiu
去英国拆城堡,qu'ying'guo'chai'cheng'bao
拳击式网球,quan'ji'shi'wang'qiu
裙带菜,qun'dai'cai
染红吧,ran'hong'ba
忍不二,ren'bu'er
忍迹,ren'ji
仁柳,ren'liu
仁丸,ren'wan
仁王,ren'wang
仁王幻影,ren'wang'huan'ying
仁王雅治,ren'wang'ya'zhi
忍岳,ren'yue
忍足,ren'zu
忍足和美,ren'zu'he'mei
忍足惠里奈,ren'zu'hui'li'nai
忍足谦也,ren'zu'qian'ye
忍足万里子,ren'zu'wan'li'zi
忍足翔太,ren'zu'xiang'tai
忍足瑛士,ren'zu'ying'shi
忍足侑士,ren'zu'you'shi
忍足宗也,ren'zu'zong'ye
日吉,ri'ji
日吉若,ri'ji'ruo
宍户,rou'hu
宍户亮,rou'hu'liang
宍户前辈,rou'hu'qian'bei
宍户学长,rou'hu'xue'zhang
柔韧回击,rou'ren'hui'ji
柔韧扣杀,rou'ren'kou'sha
入江奏多,ru'jiang'zou'duo
入樽式扣杀,ru'zun'shi'kou'sha
若人弘,ruo'ren'hong
若岳,ruo'yue
三重回击,san'chong'hui'ji
三津谷亚玖斗,san'jin'gu'ya'jiu'dou
三年六组,san'nian'liu'zu
桑巴舞步,sang'ba'wu'bu
森辰德,sen'chen'de
沙丁鱼汁,sha'ding'yu'zhi
杀人网球,sha'ren'wang'qiu
杀手,sha'shou
山吹中学,shan'chui'zhong'xue
上网扣杀暴风球,shang'wang'kou'sha'bao'feng'qiu
烧肉奉行,shao'rou'feng'xing
蛇球,she'qiu
神城玲治,shen'cheng'ling'zhi
身怀千技的天才,shen'huai'qian'ji'de'tian'cai
榊监督,shen'jian'du
绅士,shen'shi
深司,shen'si
榊太郎,shen'tai'lang
神尾,shen'wei
神尾明,shen'wei'ming
神隐,shen'yin
神之梦境,shen'zhi'meng'jing
神之子,shen'zhi'zi
胜郎,sheng'lang
圣鲁道夫,sheng'lu'dao'fu
圣书,sheng'shu
胜雄,sheng'xiong
胜者是冰帝,sheng'zhe'shi'bing'di
室町十次,shi'ding'shi'ci
时间差地狱,shi'jian'cha'di'yu
石菊,shi'ju
石田铁,shi'tian'tie
石田银,shi'tian'yin
石丸,shi'wan
狮子的气息,shi'zi'de'qi'xi
十字架之刑,shi'zi'jia'zhi'xing
手下留情啊,shou'xia'liu'qing'a
手冢,shou'zhong
手冢彩菜,shou'zhong'cai'cai
手冢国光,shou'zhong'guo'guang
手冢国晴,shou'zhong'guo'qing
手冢国一,shou'zhong'guo'yi
手冢幻影,shou'zhong'huan'ying
手冢领域,shou'zhong'ling'yu
手冢魅影,shou'zhong'mei'ying
蔬菜汁,shu'cai'zhi
数据狂,shu'ju'kuang
数据男,shu'ju'nan
数据网球,shu'ju'wang'qiu
树树,shu'shu
树希彦,shu'xi'yan
双部,shuang'bu
双不二,shuang'bu'er
双美人,shuang'mei'ren
双手波动球,shuang'shou'bo'dong'qiu
双太子,shuang'tai'zi
双天才,shuang'tian'cai
水野胜雄,shui'ye'sheng'xiong
瞬间式发球,shun'jian'shi'fa'qiu
私立比嘉中,si'li'bi'jia'zhong
四天宝寺,si'tian'bao'si
四天宝寺的天才,si'tian'bao'si'de'tian'cai
松本亲彦,song'ben'qin'yan
碎碎念君,sui'sui'nian'jun
穗摘,sui'zhai
锁闭心扉,suo'bi'xin'fei
缩地法,suo'di'fa
太大意了,tai'da'yi'le
太松懈了,tai'song'xie'le
太田翔,tai'tian'xiang
坛太一,tan'tai'yi
唐怀瑟发球,tang'huai'se'fa'qiu
桃城,tao'cheng
桃城前辈,tao'cheng'qian'bei
桃城武,tao'cheng'wu
桃海,tao'hai
桃越,tao'yue
桃子,tao'zi
特技击球,te'ji'ji'qiu
特制惩罚茶,te'zhi'cheng'fa'cha
天才,tian'cai
天根光,tian'gen'guang
天神耕介,tian'shen'geng'jie
天使化,tian'shi'hua
天衣无缝,tian'yi'wu'feng
天衣无缝之究级,tian'yi'wu'feng'zhi'jiu'ji
田志仁,tian'zhi'ren
田志仁慧,tian'zhi'ren'hui
田中浩平,tian'zhong'hao'ping
田中洋平,tian'zhong'yang'ping
跳跃波动球,tiao'yue'bo'dong'qiu
跳跃截球,tiao'yue'jie'qiu
同调,tong'diao
恸哭的舞曲,tong'ku'de'wu'qu
兔切,tu'qie
腿子卡,tui'zi'ka
外旋发球单脚小碎步,wai'xuan'fa'qiu'dan'jiao'xiao'sui'bu
丸慈,wan'ci
丸井,wan'jing
丸井文太,wan'jing'wen'tai
完美堡垒,wan'mei'bao'lei
丸切,wan'qie
万有引力,wan'you'yin'li
网前抽球,wang'qian'chou'qiu
网球圣书,wang'qiu'sheng'shu
王者立海大,wang'zhe'li'hai'da
梶本贵久,wei'ben'gui'jiu
文太,wen'tai
我要把你也染红,wo'yao'ba'ni'ye'ran'hong
武帝,wu'di
武井利夫,wu'jing'li'fu
武士抽击,wu'shi'chou'ji
武术网球,wu'shu'wang'qiu
呜嘶,wu'si
鹜尾一茶,wu'wei'yi'cha
无我境界,wu'wo'jing'jie
无用的帅气,wu'yong'de'shuai'qi
喜安浩平,xi'an'hao'ping
喜来喜,xi'lai'xi
下克上,xia'ke'shang
下身式回击,xia'shen'shi'hui'ji
仙人掌,xian'ren'zhang
向日,xiang'ri
向日岳人,xiang'ri'yue'ren
相叶弘树,xiang'ye'hong'shu
想赢我还早呢,xiang'ying'wo'hai'zao'ne
小白马,xiao'bai'ma
小坂田朋香,xiao'ban'tian'peng'xiang
小不点,xiao'bu'dian
小春,xiao'chun
小谷嘉一,xiao'gu'jia'yi
小海带,xiao'hai'dai
小虎,xiao'hu
小金,xiao'jin
小景,xiao'jing
小石川健次郎,xiao'shi'chuan'jian'ci'lang
消失的发球,xiao'shi'de'fa'qiu
小坛,xiao'tan
小相叶,xiao'xiang'ye
小野坂昌也,xiao'ye'ban'chang'ye
心之瞳,xin'zhi'tong
新重炮发球,xin'zhong'pao'fa'qiu
幸不二,xing'bu'er
幸村,xing'cun
幸村精市,xing'cun'jing'shi
星花火,xing'hua'huo
幸柳,xing'liu
幸切,xing'qie
幸越,xing'yue
幸冢,xing'zhong
熊宝宝大五郎,xiong'bao'bao'da'wu'lang
熊殿,xiong'dian
熊熊,xiong'xiong
修奏,xiu'zou
徐如林,xu'ru'lin
旋风扣杀,xuan'feng'kou'sha
旋风扣杀黑龙抽击,xuan'feng'kou'sha'hei'long'chou'ji
玄一郎,xuan'yi'lang
牙膏,ya'gao
亚河,ya'he
亚久津,ya'jiu'jin
亚久津仁,ya'jiu'jin'ren
亚坛,ya'tan
雅治,ya'zhi
燕回闪,yan'hui'shan
演技派,yan'ji'pai
眼镜男,yan'jing'nan
眼镜组,yan'jing'zu
伊达晃二,yi'da'huang'er
伊达男儿,yi'da'nan'er
一球入魂,yi'qiu'ru'hun
一氏,yi'shi
一氏裕次,yi'shi'yu'ci
伊武,yi'wu
伊武深司,yi'wu'shen'si
以下克上,yi'xia'ke'shang
音速球,yin'su'qiu
赢的会是冰帝,ying'de'hui'shi'bing'di
英二,ying'er
英国式庭球城决战,ying'guo'shi'ting'qiu'cheng'jue'zhan
樱井雅也,ying'jing'ya'ye
英式庭球决战,ying'shi'ting'qiu'jue'zhan
樱田通,ying'tian'tong
影子分身,ying'zi'fen'shen
右端韦太郎,you'duan'wei'tai'lang
侑士,you'shi
有四个肺的男人,you'si'ge'fei'de'nan'ren
预测球路,yu'ce'qiu'lu
裕观,yu'guan
裕太,yu'tai
宇宙大爆炸,yu'zhou'da'bao'zha
远山,yuan'shan
远山金太郎,yuan'shan'jin'tai'lang
原哲也,yuan'zhe'ye
圆桌抽击,yuan'zhuo'chou'ji
元祖魔王,yuan'zu'mo'wang
越不二,yue'bu'er
月返,yue'fan
月亮短球,yue'liang'duan'qiu
月亮截击,yue'liang'jie'ji
月面翻身截击,yue'mian'fan'shen'jie'ji
越前,yue'qian
越前菜菜子,yue'qian'cai'cai'zi
越前龙马,yue'qian'long'ma
越前龙雅,yue'qian'long'ya
越前伦子,yue'qian'lun'zi
越前南次郎,yue'qian'nan'ci'lang
越前总受,yue'qian'zong'shou
岳人,yue'ren
越智月光,yue'zhi'yue'guang
杂技击球,za'ji'ji'qiu
暂时麻痹,zan'shi'ma'bi
斋藤工,zhai'teng'gong
真不二,zhen'bu'er
真迹,zhen'ji
真切,zhen'qie
真忍,zhen'ren
真田,zhen'tian
真田玄一郎,zhen'tian'xuan'yi'lang
真田玄右卫门,zhen'tian'xuan'you'wei'men
真田左助,zhen'tian'zuo'zhu
真幸,zhen'xing
真越,zhen'yue
真冢,zhen'zhong
指节发球,zhi'jie'fa'qiu
知念,zhi'nian
置鲇,zhi'nian
知念宽,zhi'nian'kuan
置鲇龙太郎,zhi'nian'long'tai'lang
植物组,zhi'wu'zu
冢不二,zhong'bu'er
种岛修二,zhong'dao'xiu'er
中河内外道,zhong'he'nei'wai'dao
冢迹,zhong'ji
重炮发球,zhong'pao'fa'qiu
冢越,zhong'yue
周助,zhou'zhu
竹内伦子,zhu'nei'lun'zi
主上,zhu'shang
棕熊落网,zong'xiong'luo'wang
诹访部,zou'fang'bu
诹访部顺一,zou'fang'bu'shun'yi
走钢丝,zou'gang'si
奏迹,zou'ji
足立理,zu'li'li
佐伯虎次郎,zuo'bo'hu'ci'lang
佐不二,zuo'bu'er
左撇子杀手,zuo'pie'zi'sha'shou
左右快速移动,zuo'you'kuai'su'yi'dong
