斑点,ban'dian
粘合剂,nian'he'ji
凝胶薄层色谱法,ning'jiao'bao'ceng'se'pu'fa
凝胶过滤色谱法,ning'jiao'guo'lv'se'pu'fa
凝胶渗透色谱法,ning'jiao'shen'tou'se'pu'fa
凝胶渗透色谱仪,ning'jiao'shen'tou'se'pu'yi
浓缩区薄层板,nong'suo'qu'bao'ceng'ban
浓缩柱,nong'suo'zhu
排除极限,pai'chu'ji'xian
平面色谱法,ping'mian'se'pu'fa
气动泵,qi'dong'beng
前伸峰,qian'shen'feng
亲和色谱法,qin'he'se'pu'fa
区带,qu'dai
区带脱尾,qu'dai'tuo'wei
溶剂强度参数,rong'ji'qiang'du'can'shu
溶质迁移距离,rong'zhi'qian'yi'ju'li
溶质性能检测器,rong'zhi'xing'neng'jian'ce'qi
蠕动泵,ru'dong'beng
三阶中心矩,san'jie'zhong'xin'ju
色谱峰,se'pu'feng
色谱图,se'pu'tu
色谱柱,se'pu'zhu
上行展开,shang'xing'zhan'kai
烧结板,shao'jie'ban
渗透极限,shen'tou'ji'xian
生物自显影法,sheng'wu'zi'xian'ying'fa
疏水作用色谱法,shu'shui'zuo'yong'se'pu'fa
双向展开,shuang'xiang'zhan'kai
死时间,si'shi'jian
死体积,si'ti'ji
梯度薄层板,ti'du'bao'ceng'ban
梯度洗脱,ti'du'xi'tuo
梯度展开,ti'du'zhan'kai
体积标记器,ti'ji'biao'ji'qi
填充毛细管柱,tian'chong'mao'xi'guan'zhu
调整保留时间,tiao'zheng'bao'liu'shi'jian
调整保留体积,tiao'zheng'bao'liu'ti'ji
停流进样,ting'liu'jin'yang
统计矩,tong'ji'ju
涂布器,tu'bu'qi
脱气,tuo'qi
拖尾峰,tuo'wei'feng
拖尾因子,tuo'wei'yin'zi
外标法,wai'biao'fa
往复泵,wang'fu'beng
微分检测器,wei'fen'jian'ce'qi
微径柱,wei'jing'zhu
微粒柱,wei'li'zhu
吸附剂,xi'fu'ji
洗脱体积,xi'tuo'ti'ji
洗脱序列,xi'tuo'xu'lie
下行展开,xia'xing'zhan'kai
显谱,xian'pu
显色剂,xian'se'ji
线性溶剂强度洗脱,xian'xing'rong'ji'qiang'du'xi'tuo
相对保留值,xiang'dui'bao'liu'zhi
相对比移值,xiang'dui'bi'yi'zhi
向心展开,xiang'xin'zhan'kai
循环洗脱,xun'huan'xi'tuo
液固色谱法,ye'gu'se'pu'fa
液相色谱法,ye'xiang'se'pu'fa
液相色谱仪,ye'xiang'se'pu'yi
液相载荷量,ye'xiang'zai'he'liang
液相总体积,ye'xiang'zong'ti'ji
液液色谱法,ye'ye'se'pu'fa
一阶原点矩,yi'jie'yuan'dian'ju
抑制柱,yi'zhi'zhu
荧光薄层板,ying'guang'bo'ceng'ban
荧光检测器,ying'guang'jian'ce'qi
预饱和柱,yu'bao'he'zhu
预柱,yu'zhu
原点,yuan'dian
原位定量,yuan'wei'ding'liang
匀浆填充,yun'jiang'tian'chong
载板,zai'ban
载体,zai'ti
展开,zhan'kai
展开剂,zhan'kai'ji
展开室,zhan'kai'shi
折光率检测器,zhe'guang'lv'jian'ce'qi
折合板高,zhe'he'ban'gao
正相液相色谱法,zheng'xiang'ye'xiang'se'pu'fa
制备薄层色谱法,zhi'bei'bao'ceng'se'pu'fa
制备液相色谱法,zhi'bei'ye'xiang'se'pu'fa
制备液相色谱仪,zhi'bei'ye'xiang'se'pu'yi
纸色谱法,zhi'se'pu'fa
中文,zhong'wen
柱后反应器,zhu'hou'fan'ying'qi
柱流失,zhu'liu'shi
柱上富集,zhu'shang'fu'ji
柱上检测,zhu'shang'jian'ce
注射泵,zhu'she'beng
柱寿命,zhu'shou'ming
柱填充剂,zhu'tian'chong'ji
柱外体积,zhu'wai'ti'ji
柱外效应,zhu'wai'xiao'ying
柱液相色谱法,zhu'ye'xiang'se'pu'fa
紫外可见光检测器,zi'wai'ke'jian'guang'jian'ce'qi
总体性能检测器,zong'ti'xing'neng'jian'ce'qi
组合柱,zu'he'zhu
